university	embark	name
0119	1	Becker College
0120	1	Beckfield College
0121	1	Bel-Rea Institute of Animal Technology
0122	1	Belhaven College
0123	1	Bellevue Community College
0124	1	Bellevue University Undergraduate Online
0125	1	Bellingham Technical College
0126	1	Belmont Abbey College
0127	1	Benedict College
0128	1	Bennington College
0129	1	Bentley College McCallum Grad School of Business
0130	1	Berea College
0131	1	Bergen County Technical Schools
0132	1	Berkeley College - Bergen Campus
0133	1	Berkeley College - Middlesex Campus
0134	1	Berkeley College - New York City Campus
0135	1	Berkeley College of West Paterson
0136	1	Berkeley College of White Plains
0137	1	Berry College
0138	1	Beta Tech (Virginia)
0139	1	Bethany College (WV)
0140	1	Bethel College (KS)
0141	1	Bethel College (MN)
0142	1	Bethune-Cookman College
0143	1	Beulah Heights Bible College
0144	1	Bevill State Community College
0145	1	Bidwell Training Center
0146	1	Biola University
0147	1	Birmingham-Southern College
0148	1	Bishop State Community College
0149	1	Bismarck State College
0150	1	Bladen Community College
0151	1	Blessing-Rieman College of Nursing
0152	1	Blinn College
0153	1	Blue Mountain College
0154	1	Blue Mountain Community College
0155	1	Blue Ridge Community College (Virginia)
0156	1	Bluefield State College
0157	1	Bluffton College
0158	1	Boonslick Technical Education Center
0159	1	Boston College
0160	1	Boston Conservatory
0161	1	Boston University
0162	1	Boston University College of Communication
0163	1	Boston University College of Engineering
0164	1	Boston University College of Fine Arts
0165	1	Boston University Executive MBA Program
0166	1	Boston University Graduate Management Programs
0167	1	Boston University Graduate Medical Sciences
0168	1	Boston University Sargent Coll of Health
0169	1	Boston University School of Law LL.M. in Tax
0170	1	Boston University School of Theology
0171	1	Bowie State University
0172	1	Bowling Green Technical College
0173	1	Bowling Green Technical College - Glasgow Campus
0174	1	Bradford College
0175	1	Bradley University
0176	1	Bramson ORT Technical Institute
0177	1	Brandeis University - The Heller Graduate School
0178	1	Branford Hall Career Institute
0179	1	Brenau University The Women's College
0180	1	Brescia University
0181	1	Brevard Community College
0182	1	Brewton-Parker College
0183	1	Briar Cliff University
0184	1	Briarwood College
0185	1	Brick Computer Science Institute
0186	1	Bridgewater College
0187	1	Bridgewater State College
0188	1	Brigham Young University
0189	1	Bristol Community College
0190	1	Broadcasting Institute of Maryland
0191	1	Brookhaven College
0192	1	Broward Community College
0193	1	Brown College of Court Reporting
0194	1	Brown University Graduate School
0195	1	Brunswick Community College
0196	1	Bryan Career College (Kansas)
0197	1	Bryan Career College (Missouri)
0198	1	Bryan College of Court Reporting
0199	1	Bryant
0200	1	Bryant
0201	1	Bryant College
0202	1	Bryman College - Whittier
0203	1	Bryn Athyn College of the New Church
0204	1	Bryn Mawr College
0205	1	Buena Vista University
0206	1	Burdett College (Boston)
0207	1	Burdett College (Worcester)
0208	1	Burlington County College
0209	1	Business Informatics Center College for Business
0210	1	Business Training Institute
0211	1	Butler County Community College (Kansas)
0212	1	Butler County Community College (Pennsylvania)
0213	1	Butler University
0214	1	Butte College
0215	1	Cabarrus College of Health Sciences
0216	1	Cabrini College
0217	1	Cal Poly Pomona College of Business Administration
0218	1	Caldwell Community College
0219	1	California College of Arts
0220	1	California Design College
0221	1	California Institute of Technology, Graduate
0222	1	California Institute of Technology, Undergraduate
0223	1	California Institute of the Arts
0224	1	California Lutheran University
0225	1	California Paramedical and Technical College
0226	1	California State University San Marcos ALCI
0227	1	California State University, East Bay
0228	1	California State University, Fresno
0229	1	California State University-Dominguez Hills
0230	1	California State University-Sacramento
0231	1	California State University-Stanislaus
0232	1	California University of Pennsylvania
0233	1	Camden County College
0234	1	Cankdeska Cikana Community College
0235	1	Cape Cod Community College
0236	1	Cape Fear Community College
0237	1	Capella University
0238	1	Capitol City Careers
0239	1	Capitol City Trade and Technical School
0240	1	Capitol College
0241	1	Capri College (Cedar Rapids)
0242	1	Capri College (Dubuque)
0243	1	Career Academy (Alaska)
0244	1	Career Advancement
0245	1	Career College of Northern Nevada
0246	1	Career Colleges of Chicago
0247	1	Career Technical College
0248	1	Carlos Albizu University
0249	1	Carnegie Institute
0250	1	Carnegie Mellon University Undergraduate
0251	1	Carolinas College of Health Sciences
0252	1	Carroll College (WI)
0253	1	Carteret Community College
0254	1	Cascade College
0255	1	Casper College
0256	1	Catawba College
0257	1	Catherine E. Hinds Institute of Esthetics
0258	1	Cedar Valley College
0259	1	Centenary College of Louisiana
0260	1	Central Alabama Community College
0261	1	Central Baptist College
0262	1	Central Carolina Technical College
0263	1	Central College
0264	1	Central Community College - Grand Island Campus
0265	1	Central Community College - Hastings Campus
0266	1	Central Community College - Program of Practical Nursing, Kearney Center
0267	1	Central Kentucky Technical College
0268	1	Central Lakes College
0269	1	Central Maine Medical Center School of Nursing
0270	1	Central Methodist College
0271	1	Central Ohio Technical College
0272	1	Central Oklahoma Area Vocational-Technical Center
0273	1	Central Oregon Community College
0274	1	Central Pennsylvania College
0275	1	Central State University
0276	1	Central Washington University
0277	1	Centralia College
0278	1	Centre College
0279	1	Certified Careers Institute (Clearfield)
0280	1	Chabot College
0281	1	Champlain College Online
0282	1	Chandler-Gilbert Community College
0283	1	Charleston Cosmetology Institute
0284	1	Charleston Southern University
0285	1	Charter College
0286	1	Chattahoochee Technical Institute
0287	1	Chesapeake College
0288	1	Chestnut Hill College
0289	1	Chicago State University
0290	1	Chippewa Valley Technical College
0291	1	Chisholm Trail Technology Center
0292	1	Chowan College
0293	1	Christian Brothers University
0294	1	Christian Heritage College
0295	1	Cincinnati Bible College and Seminary
0296	1	Cincinnati State Technical and Community College
0297	1	Circleville Bible College
0298	1	Citrus College
0299	1	City College (Casselberry)
0300	1	City College of San Francisco
0301	1	City University of New York (CUNY)
0302	1	Clark Atlanta University
0303	1	Clark State Community College
0304	1	Clark University
0305	1	Clarke College
0306	1	Clayton College
0307	1	Clearfield County Career and Technology Center
0308	1	Cleary University
0309	1	Clemson University
0310	1	Clemson University MBA Program Application
0311	1	Cleveland Community College
0312	1	Cleveland Institute of Art
0313	1	Cleveland Institute of Dental and Medical Assistants (Cleveland)
0314	1	Cleveland Institute of Dental and Medical Assistants (Lyndhurst)
0315	1	Cleveland Institute of Dental and Medical Assistants (Mentor)
0316	1	Cleveland State University
0317	1	Clinton Technical Institute
0318	1	Cloud County Community College
0319	1	Coahoma Community College
0320	1	Coastal Georgia Community College
0321	1	Coffeyville Community College
0322	1	Coker College
0323	1	Colby College
0324	1	Colby Community College
0325	1	College Misericordia
0326	1	College of Aeronautics
0327	1	College of Alameda
0328	1	College of Eastern Utah
0329	1	College of Hair Design (Iowa)
0330	1	College of Hair Design (Nebraska)
0331	1	College of Legal Arts
0332	1	College of Marin
0333	1	College of Mount Saint Vincent
0334	1	College of Saint Rose Undergraduate Application
0335	1	College of Southern Idaho
0336	1	College of St. Joseph in Vermont
0337	1	College of the Atlantic
0338	1	College of the Canyons
0339	1	College of the Holy Cross
0340	1	College of the Mainland
0341	1	College of the Redwoods
0342	1	College of the Siskiyous - Yreka Campus
0343	1	College of the Southwest
0344	1	College of William and Mary
0345	1	College of William and Mary MBA
0346	1	College of Wooster Freshman Application
0347	1	CollegeAmerica - Colorado
0348	1	CollegeAmerica - Fort Collins
0349	1	Collin County Community College District
0350	1	Colorado Christian University
0351	1	Colorado College
0352	1	Colorado Mountain College - Spring Valley Campus
0353	1	Columbia Basin College
0354	1	Columbia College-Hollywood
0355	1	Columbia Gorge Community College
0356	1	Columbia GSAS College of Physicians
0357	1	Columbia International University
0358	1	Columbia School of International
0359	1	Columbia State Community College
0360	1	Columbia University School of the Arts
0361	1	Columbus State Community College
0362	1	Columbus Technical Institute
0363	1	Comair Aviation Academy
0364	1	Commonwealth Technical Institute at HGA
0365	1	Community College of Allegheny County
0366	1	Community College of Philadelphia
0367	1	Community College of Rhode Island - Flanagan Campus
0368	1	Community College of Rhode Island - Knight Campus
0369	1	Community College of Southern Nevada
0370	1	Community College of Southern Nevada - Cheyenne Campus
0371	1	Computer Career Center (New York)
0372	1	Computer Learning Network (Altoona)
0373	1	Computer Learning Network (Mechanicsburg)
0374	1	Conception Seminary College
0375	1	ConCorde Career Institute (Garden Grove)
0376	1	ConCorde Career Institute (Jacksonville)
0377	1	ConCorde Career Institute (San Bernardino)
0378	1	ConCorde Career Institute (San Diego)
0379	1	Concorde Career Institute (Tampa)
0380	1	Concorde Career Institute (Tennessee)
0381	1	Concordia College (NE)
0382	1	Concordia U - West Suburban College of Nursing
0383	1	Concordia University
0384	1	Concordia University Irvine
0385	1	Concordia University, River Forest
0386	1	Connecticut Center for Massage Therapy (Westport)
0387	1	Connecticut Center for Massage Therapy, Inc. (Newington)
0388	1	Connecticut College
0389	1	Conservatory of Recording Arts and Sciences
0390	1	Contra Costa College
0391	1	Copiah-Lincoln Community College
0392	1	Copper Mountain College
0393	1	Coppin State College
0394	1	Cornell University
0395	1	Cornell University Graduate School of Management
0396	1	Cornell University Transfer Application
0397	1	Cornerstone University
0398	1	Cornish College of the Arts
0399	1	Cossatot Technical College
0400	1	County College of Morris
0401	1	Cowley County Community College
0402	1	Coyne American Institute
0403	1	Craven Community College
0404	1	Creighton University
0405	1	Crowder College
0406	1	Crown College
0407	1	Crown College (Tacoma, WA)
0408	1	CSC Institute
0409	1	Cuesta College
0410	1	Culinary Arts Institute of Louisiana
0411	1	Cumberland County College
0412	1	Cumberland County Technical Education Center
0413	1	CUNY - Brooklyn College
0414	1	CUNY - Hunter College
0415	1	CUNY - Queens College
0416	1	Cutting Edge Hairstyling Academy
0417	1	Cuyahoga Community College
0418	1	Cypress College
0419	1	Dabney S. Lancaster Community College
0420	1	Dakota Wesleyan University
0421	1	Danville Area Community College
0422	1	Danville Community College
0423	1	Dartmouth College, Tuck School of Business
0424	1	Davenport University (Kalamazoo)
0425	1	Davenport University (South Bend/Mishawaka)
0426	1	Davidson College (Part 2)
0427	1	Davidson County Community College
0428	1	Davis
0429	1	Davis Applied Technology Center
0430	1	Dawson Community College
0431	1	De Anza College
0432	1	Deaconess College of Nursing
0433	1	Decker College of Business Technology
0434	1	Delaware College of Art and Design
0435	1	Delaware County Community College
0436	1	Delaware Technical
0437	1	Delaware Valley College
0438	1	Delgado Community College - West Bank
0439	1	Delta State University
0440	1	Denver Technical College at Colorado Springs
0441	1	DePauw University
0442	1	Des Moines Area Community College
0443	1	Des Moines Area Community College - Carroll Campus
0444	1	Desert Institute of the Healing Arts
0445	1	DeVry - Addison
0446	1	DeVry - Chicago
0447	1	DeVry - Columbus
0448	1	DeVry - Decatur
0449	1	DeVry - Fremont
0450	1	DeVry - Irving
0451	1	DeVry - Kansas City
0452	1	DeVry - Long Island City
0453	1	DeVry - North Brunswick
0454	1	DeVry - Pamona
0455	1	DeVry - Phoenix
0456	1	DeVry University, Denver
0457	1	DeVry University, Seattle
0458	1	Dickinson College
0459	1	Diesel Driving Academy, Inc. (Shreveport)
0460	1	Dillard University
0461	1	Divers Academy of the Eastern Seaboard
0462	1	Divers Institute of Technology
0463	1	Dodge City Community College
0464	1	Dominican School of Philosophy and Theology
0465	1	Douglas MacArthur State Technical College
0466	1	Drake Business School (Astoria)
0467	1	Draughons Junior College (Kentucky)
0468	1	Drexel University
0469	1	DuBois Business College
0470	1	DuBois Business College (Oil City)
0471	1	Duke Fuqua School of Business EMBA Programs
0472	1	Duke University Transfer Application
0473	1	Duquesne University
0474	1	Durango Air Service
0475	1	Durham Technical Community College
0476	1	Dyersburg State Community College
0477	1	DYouville College
0478	1	Earlham College Undergraduate Application
0479	1	East Arkansas Community College
0480	1	East Carolina University
0481	1	East Central Community College
0482	1	East Coast Aero Tech
0483	1	East Mississippi Community College (Scooba)
0484	1	East Tennessee State University
0485	1	East Texas Baptist University
0486	1	Eastern Arizona College - Graham County Community College District
0487	1	Eastern College of Health Vocations (Arkansas)
0488	1	Eastern College of Health Vocations (Louisiana)
0489	1	Eastern Idaho Technical College
0490	1	Eastern Shore Community College
0491	1	Eastern University
0492	1	Eastfield College
0493	1	Eastman School of Music, University of Rochester
0494	1	Eckerd College
0495	1	ECPI of Charlotte
0496	1	Edgecombe Community College
0497	1	Edgewood College
0498	1	Edison Community College (Florida)
0499	1	Edmonds Community College
0500	1	Education America - Fort Worth Campus
0501	1	Education America - Houston
0502	1	Education America - Remington College (Baton Rouge)
0503	1	Education America - Southeast College of Technology (Tennessee)
0504	1	El Centro College
0505	1	El Paso Community College
0506	1	Elgin Community College
0507	1	Eli Whitney Regional Vocational-Technical School
0508	1	Elizabeth City State University
0509	1	Elizabethtown Community College
0510	1	Elmira Business Institute
0511	1	Elmira College
0512	1	Emerson College Graduate Studies
0513	1	Emerson University
0514	1	Emil Fries School of Piano Tuning
0515	1	Emory University
0516	1	Emory University Undergraduate Transfer App
0517	1	Empire College
0518	1	Engine City Technical Institute
0519	1	Erie Business Center
0520	1	ESADE Business School
0521	1	Essex County College
0522	1	Estrella Mountain Community College
0523	1	Eton Technical Institute (Federal Way)
0524	1	Eton Technical Institute (Port Orchard)
0525	1	Everett Community College
0526	1	Evergreen Valley College
0527	1	Fairfield University
0528	1	Fairfield University Graduate School of Business
0529	1	Fairleigh Dickinson University Undergraduate
0530	1	Fairmont State College
0531	1	Fashion Institute of Design
0532	1	Fashion Institute of Design
0533	1	Faulkner University
0534	1	Fayette Plateau Vocational-Technical Center
0535	1	Ferris State University Undergraduate Application
0536	1	Ferrum College
0537	1	First Coast Technical Institute
0538	1	Fitchburg State College
0539	1	Fleet Business School
0540	1	FlightSafety Academy
0541	1	Floraison Academy of Floral Design
0542	1	Florida A
0543	1	Florida A
0544	1	Florida Atlantic University
0545	1	Florida College
0546	1	Florida College of Natural Health (Pompano Beach)
0547	1	Florida Community College at Jacksonville
0548	1	Florida Institute of Ultrasound, Inc.
0549	1	Florida International University MBA PMKT
0550	1	Florida National College - Bird Road Campus
0551	1	Florida School of the Arts
0552	1	Florida Southern College
0553	1	Fond du Lac Tribal and Community College
0554	1	Fontbonne University
0555	1	Fordham Graduate School of Arts
0556	1	Fordham Graduate School of Business Administration
0557	1	Fordham University Undergraduate Application
0558	1	Forsyth Technical Community College
0559	1	Fort Lewis College
0560	1	Fox College
0561	1	Fox Valley Technical College
0562	1	Framingham State College
0563	1	Francis Tuttle Vocational-Technical Center
0564	1	Franciscan University of Steubenville
0565	1	Franklin
0566	1	Franklin College
0567	1	Franklin Pierce College
0568	1	Franklin University
0569	1	French Culinary Institute
0570	1	Fresno Institute of Technology
0571	1	Frostburg State University
0572	1	Furman University
0573	1	Gainesville College
0574	1	Galveston College
0575	1	Gannon University
0576	1	Garden City Community College
0577	1	Gardner-Webb University
0578	1	Garland County Community College
0579	1	Gateway Community College (Connecticut)
0580	1	Gavilan College
0581	1	Gemological Institute of America (California)
0582	1	George Mason University
0583	1	George T. Baker Aviation School
0584	1	Georgetown University
0585	1	Georgia College
0586	1	Georgia Institute of Technology
0587	1	Georgia Military College
0588	1	Georgia Southern University
0589	1	Georgia State University
0590	1	Gettysburg College
0591	1	Gibson Technical Center
0592	1	Glen Oaks Community College
0593	1	Glenville State College
0594	1	Globe College
0595	1	Gloucester County College
0596	1	Golden Gate University
0597	1	Golden Gate University M.B.A. Program
0598	1	Goldey-Beacom College
0599	1	Golf Academy of San Diego
0600	1	Gonzaga University
0601	1	Gonzaga University Grad
0602	1	Goodwin Institute
0603	1	Gordon College
0604	1	Goshen College
0605	1	Goucher College
0606	1	Grace Bible College
0607	1	Graduate Faculty
0608	1	Grand Canyon University
0609	1	Grand Rapids Community College
0610	1	Grand Valley State University
0611	1	Grantham College of Engineering
0612	1	Gratz College
0613	1	Great Lakes Institute of Technology
0614	1	Great Plains Technology Center
0615	1	Green Mountain College
0616	1	Green River Community College Internat'l Program
0617	1	Greensboro College
0618	1	Greenville Technical College
0619	1	Griffin Technical College
0620	1	Grinnell College
0621	1	Grove City College
0622	1	Guilford College
0623	1	Gwynedd-Mercy College
0624	1	Hagerstown Community College
0625	1	Hallmark Institute of Aeronautics
0626	1	Hallmark Institute of Photography
0627	1	Hamilton College
0628	1	Hamline University
0629	1	Hampden-Sydney College
0630	1	Hampshire College
0631	1	Hampton University
0632	1	Harcum College
0633	1	Hardin-Simmons University
0634	1	Harding University
0635	1	Harris School of Business
0636	1	Harvard Business School
0637	1	Harvard College
0638	1	Harvard Graduate School of Arts
0639	1	Haverford College
0640	1	Hawaii Business College
0641	1	Hawaii Community College
0642	1	Hawaii Pacific University - Center for Graduate Studies
0643	1	Hawaii Pacific University Undergraduate
0644	1	Hawkeye Community College
0645	1	Hazard Technical College
0646	1	Health Enrichment Center
0647	1	Hebrew College
0648	1	Heidelberg College
0649	1	Henderson Community College
0650	1	Hennepin Technical College
0651	1	Henry Ford Community College
0652	1	Herzing College - Madison
0653	1	Herzing College - Minneapolic Drafting School Campus
0654	1	Herzing College - Orlando
0655	1	Hesston College
0656	1	Hibbing Community College
0657	1	Hickey College
0658	1	High-Tech Institute (Arizona)
0659	1	High-Tech Institute (California)
0660	1	Highland Community College (Illinois)
0661	1	Hilbert College
0662	1	Hill College
0663	1	Hillsdale College
0664	1	Hillsdale Free Will Baptist College
0665	1	Hiwassee College
0666	1	Hofstra University
0667	1	Hollins Unversity
0668	1	Holmes Community College
0669	1	Holy Family University
0670	1	Holy Names College
0671	1	Holyoke Community College
0672	1	Hondros College
0673	1	Honolulu Community College
0674	1	Hood College
0675	1	Houston Baptist University
0676	1	Howard Payne University
0677	1	Howard University
0678	1	Huntington College of Dental Technology
0679	1	Hussian School of Art
0680	1	ICM School of Business
0681	1	Idaho State University - College of Technology
0682	1	IESE Business School
0683	1	IHM Health Studies Center
0684	1	Ilisagvik College
0685	1	Illinois College
0686	1	Illinois Eastern Community Colleges; Frontier Community College
0687	1	Illinois Eastern Community Colleges; Lincoln Trail College
0688	1	Illinois Eastern Community Colleges; Wabash Valley College
0689	1	Illinois School of Health Careers
0690	1	Illinois State University
0691	1	Illinois Valley Community College
0692	1	Illinois Wesleyan University
0693	1	Independence Community College
0694	1	Indiana Business College (Columbus)
0695	1	Indiana Business College (Evansville)
0696	1	Indiana Business College (Fort Wayne)
0697	1	Indiana Business College (Indianapolis)
0698	1	Indiana Business College (Lafayette)
0699	1	Indiana Business College (Marion)
0700	1	Indiana Business College (Terre Haute)
0701	1	Indiana University - Bloomington
0702	1	Indiana University East
0703	1	Indiana University Northwest
0704	1	Indiana University Southeast
0705	1	Indiana University-Kokomo
0706	1	Indiana University-Purdue Univ. Fort Wayne
0707	1	Indiana University-Purdue University Indianapolis
0708	1	Institute for Business and Technology
0709	1	Institute of American Indian and Alaska Native Culture and Arts Development
0710	1	Institute of Aviation - University of Illinois
0711	1	Institute of Career Education
0712	1	Institute of Design and Construction
0713	1	Institute of Electronic Technology
0714	1	Intellitec College (Grand Junction)
0715	1	Interactive College of Technology (Kentucky)
0716	1	Interboro Institute
0717	1	International Academy of Design - Tampa
0718	1	International Academy of Design and Technology
0719	1	International Air Academy (California)
0720	1	International Business College (El Paso)
0721	1	International Business College (Lubbock)
0722	1	International Business School (Denton)
0723	1	International Business School (Sherman)
0724	1	International College of Broadcasting
0725	1	International School of Skin
0726	1	International Schools
0727	1	International University of Japan
0728	1	Iowa Central Community College - Fort Dodge Center
0729	1	Iowa Lakes Community College - Emmetsburg Campus
0730	1	Iowa Lakes Community College - Estherville Campus
0731	1	Iowa State University
0732	1	Iowa Wesleyan College
0733	1	Irvine Valley College
0734	1	Island Drafting
0735	1	Itasca Community College
0736	1	ITT Technical Institute (Alabama)
0737	1	ITT Technical Institute (Anaheim)
0738	1	ITT Technical Institute (Arkansas)
0739	1	ITT Technical Institute (Arlington)
0740	1	ITT Technical Institute (Arnold)
0741	1	ITT Technical Institute (Austin)
0742	1	ITT Technical Institute (Boston South)
0743	1	ITT Technical Institute (Bothell)
0744	1	ITT Technical Institute (Burr Ridge)
0745	1	ITT Technical Institute (Earth City)
0746	1	ITT Technical Institute (Fort Wayne)
0747	1	ITT Technical Institute (Getzville)
0748	1	ITT Technical Institute (Houston South)
0749	1	ITT Technical Institute (Houston West)
0750	1	ITT Technical Institute (Idaho)
0751	1	ITT Technical Institute (Jacksonville)
0752	1	ITT Technical Institute (Lathrop)
0753	1	ITT Technical Institute (Liverpool)
0754	1	ITT Technical Institute (Louisiana)
0755	1	ITT Technical Institute (Maitland)
0756	1	ITT Technical Institute (Matteson)
0757	1	ITT Technical Institute (Memphis)
0758	1	ITT Technical Institute (Miami)
0759	1	ITT Technical Institute (Monroeville)
0760	1	ITT Technical Institute (Mount Prospect)
0761	1	ITT Technical Institute (Nashville)
0762	1	ITT Technical Institute (Nevada)
0763	1	ITT Technical Institute (New Mexico)
0764	1	ITT Technical Institute (Newburgh)
0765	1	ITT Technical Institute (Norwood)
0766	1	ITT Technical Institute (Oxnard)
0767	1	ITT Technical Institute (Pittsburgh)
0768	1	ITT Technical Institute (Rancho Cordova)
0769	1	ITT Technical Institute (Richardson)
0770	1	ITT Technical Institute (Richmond)
0771	1	ITT Technical Institute (San Bernardino)
0772	1	ITT Technical Institute (Santa Clara)
0773	1	ITT Technical Institute (Seattle)
0774	1	ITT Technical Institute (Spokane)
0775	1	ITT Technical Institute (Strongsville)
0776	1	ITT Technical Institute (Sylmar)
0777	1	ITT Technical Institute (Tampa)
0778	1	ITT Technical Institute (Tucson)
0779	1	ITT Technical Institute (Utah)
0780	1	ITT Technical Institute (Youngstown)
0781	1	Ivy Tech State College
0782	1	Ivy Tech State College - Columbus
0783	1	Ivy Tech State College - Elkhart
0784	1	Ivy Tech State College - Indianapolis
0785	1	Ivy Tech State College - Marion
0786	1	Ivy Tech State College - Muncie
0787	1	Ivy Tech State College - Richmond
0788	1	Ivy Tech State College - Sellersburg
0789	1	Ivy Tech State College - Southwest Region
0790	1	Ivy Tech State College - Terre Haute
0791	1	J. Mack Robinson College of Busines, GSU
0792	1	J. Sargeant Reynolds Community College
0793	1	Jacksonville University Grad
0794	1	James H. Faulkner State Community College
0795	1	Jamestown Business College
0796	1	Jamestown College
0797	1	Jefferson College
0798	1	Jefferson Community College (Kentucky)
0799	1	Jefferson County-DuBois Area Vocational Technical School
0800	1	Jefferson Davis Community College
0801	1	Jefferson State Community College
0802	1	John A. Gupton College
0803	1	John Carroll University Undergraduate
0804	1	John F. Kennedy University
0805	1	John M. Patterson State Technical College
0806	1	John Tyler Community College
0807	1	Johns Hopkins University
0808	1	Johnson
0809	1	Johnson
0810	1	Johnson Bible College
0811	1	Johnson County Community College
0812	1	Judson College (AL)
0813	1	Juniata College
0814	1	Kalamazoo Valley Community College
0815	1	Kansas City Area Technical School
0816	1	Kansas City Art Institute
0817	1	Kansas City Kansas Community College
0818	1	Kansas State University
0819	1	Kaskaskia College
0820	1	Kean University
0821	1	Keene State College
0822	1	Keiser Career Institute - Cooper City
0823	1	Keiser Career Institute - Lake Worth Campus
0824	1	Keiser Career Institute - Port St. Lucie
0825	1	Keiser College - Lakeland
0826	1	Kellogg Community College
0827	1	Kent State University
0828	1	Kent State University - Stark Regional Campus
0829	1	Kent State University - Tuscarawas Campus
0830	1	Kent State University Trumbull Campus
0831	1	Kentucky State University
0832	1	Kentucky Wesleyan College
0833	1	Kenyon College
0834	1	Kerr Business College
0835	1	Kettering College of Medical Arts
0836	1	Kettering University
0837	1	King College (TN)
0838	1	Kings College (PA)
0839	1	Kirtland Community College
0840	1	Kishwaukee College
0841	1	Klamath Community College
0842	1	Knox College
0843	1	Kutztown University of Pennsylvania
0844	1	Laboratory Institute of Merchandising
0845	1	Lackawanna Junior College
0846	1	Lafayette College
0847	1	Lake Forest GSM MBA Application
0848	1	Lake Land College
0849	1	Lake Superior College
0850	1	Lake Tahoe Community College
0851	1	Lake Washington Technical College
0852	1	Lake-Sumter Community College
0853	1	Lakeland Medical-Dental Academy
0854	1	Lamar Community College
0855	1	Lamar State College - Orange
0856	1	Lamar State College - Port Arthur Campus
0857	1	Lamar University
0858	1	Lambuth University
0859	1	Lander University
0860	1	Laney Graduate School | Emory University
0861	1	Lanier Technical Institute
0862	1	Lasell College
0863	1	Lawrence Technological University
0864	1	Lawrence University
0865	1	LDS Business College
