university	matchcollege	type
0433	1	Private For-Profit, Less-Than 2-Year
0434	1	Private For-Profit, Less-Than 2-Year
0435	1	Private For-Profit, Less-Than 2-Year
0436	1	Private For-Profit, Less-Than 2-Year
0437	1	Private For-Profit, Less-Than 2-Year
0438	1	Private For-Profit, Less-Than 2-Year
0439	1	Private For-Profit, Less-Than 2-Year
0440	1	Public, 4-Year or Above
0441	1	Public, 4-Year or Above
0442	1	Public, 4-Year or Above
0443	1	Public, 4-Year or Above
0444	1	Public, 4-Year or Above
0445	1	Public, 2-Year
0446	1	Public, 2-Year
0447	1	Public, 2-Year
0448	1	Public, 2-Year
0449	1	Public, 2-Year
0450	1	Public, 2-Year
0451	1	Public, 2-Year
0452	1	Private Not-For-Profit, 4-Year or Above
0453	1	Private For-Profit, 4-Year or Above
0454	1	Private Not-For-Profit, 4-Year or Above
0455	1	Private Not-For-Profit, 4-Year or Above
0456	1	Private Not-For-Profit, 4-Year or Above
0457	1	Private Not-For-Profit, 4-Year or Above
0458	1	Private Not-For-Profit, 4-Year or Above
0459	1	Private Not-For-Profit, 4-Year or Above
0460	1	Private Not-For-Profit, 4-Year or Above
0461	1	Private For-Profit, 2-Year
0462	1	Private For-Profit, 2-Year
0463	1	Private For-Profit, Less-Than 2-Year
0464	1	Private For-Profit, Less-Than 2-Year
0465	1	Private For-Profit, Less-Than 2-Year
0466	1	Private For-Profit, Less-Than 2-Year
0467	1	Private For-Profit, Less-Than 2-Year
0468	1	Private For-Profit, Less-Than 2-Year
0469	1	Private For-Profit, Less-Than 2-Year
0470	1	Public, 4-Year or Above
0471	1	Public, 4-Year or Above
0472	1	Public, 4-Year or Above
0473	1	Public, 4-Year or Above
0474	1	Public, 4-Year or Above
0475	1	Public, 4-Year or Above
0476	1	Public, 2-Year
0477	1	Public, 2-Year
0478	1	Public, 2-Year
0479	1	Public, 2-Year
0480	1	Public, 2-Year
0481	1	Public, 2-Year
0482	1	Public, Less-Than 2-Year
0483	1	Public, Less-Than 2-Year
0484	1	Private Not-For-Profit, 4-Year or Above
0485	1	Private Not-For-Profit, 4-Year or Above
0486	1	Private Not-For-Profit, 4-Year or Above
0487	1	Private Not-For-Profit, 4-Year or Above
0488	1	Private Not-For-Profit, 4-Year or Above
0489	1	Private Not-For-Profit, 4-Year or Above
0490	1	Private For-Profit, 4-Year or Above
0491	1	Private Not-For-Profit, 4-Year or Above
0492	1	Private Not-For-Profit, 4-Year or Above
0493	1	Private Not-For-Profit, 4-Year or Above
0494	1	Private Not-For-Profit, 4-Year or Above
0495	1	Private Not-For-Profit, 4-Year or Above
0496	1	Private Not-For-Profit, 4-Year or Above
0497	1	Private Not-For-Profit, 4-Year or Above
0498	1	Private Not-For-Profit, 4-Year or Above
0499	1	Private Not-For-Profit, 4-Year or Above
0500	1	Private Not-For-Profit, 4-Year or Above
0501	1	Private Not-For-Profit, 4-Year or Above
0502	1	Private Not-For-Profit, 4-Year or Above
0503	1	Private Not-For-Profit, 4-Year or Above
0504	1	Private Not-For-Profit, 4-Year or Above
0505	1	Private Not-For-Profit, 4-Year or Above
0506	1	Private Not-For-Profit, 4-Year or Above
0507	1	Private Not-For-Profit, 4-Year or Above
0508	1	Private Not-For-Profit, 4-Year or Above
0509	1	Private Not-For-Profit, 4-Year or Above
0510	1	Private Not-For-Profit, 4-Year or Above
0511	1	Private Not-For-Profit, 4-Year or Above
0512	1	Private Not-For-Profit, 4-Year or Above
0513	1	Private Not-For-Profit, 4-Year or Above
0514	1	Private Not-For-Profit, 4-Year or Above
0515	1	Private Not-For-Profit, 4-Year or Above
0516	1	Private Not-For-Profit, 4-Year or Above
0517	1	Private Not-For-Profit, 4-Year or Above
0518	1	Private Not-For-Profit, 4-Year or Above
0519	1	Private Not-For-Profit, 4-Year or Above
0520	1	Private Not-For-Profit, 4-Year or Above
0521	1	Private Not-For-Profit, 4-Year or Above
0522	1	Private Not-For-Profit, 4-Year or Above
0523	1	Private Not-For-Profit, 4-Year or Above
0524	1	Private Not-For-Profit, 4-Year or Above
0525	1	Private Not-For-Profit, 4-Year or Above
0526	1	Private Not-For-Profit, 4-Year or Above
0527	1	Private For-Profit, 2-Year
0528	1	Private For-Profit, 2-Year
0529	1	Private Not-For-Profit, 2-Year
0530	1	Private Not-For-Profit, 2-Year
0531	1	Private For-Profit, 2-Year
0532	1	Private Not-For-Profit, 2-Year
0533	1	Private For-Profit, Less-Than 2-Year
0534	1	Private For-Profit, Less-Than 2-Year
0535	1	Private For-Profit, Less-Than 2-Year
0536	1	Private For-Profit, Less-Than 2-Year
0537	1	Private For-Profit, Less-Than 2-Year
0538	1	Private For-Profit, Less-Than 2-Year
0539	1	Private For-Profit, Less-Than 2-Year
0540	1	Private For-Profit, Less-Than 2-Year
0541	1	Private For-Profit, Less-Than 2-Year
0542	1	Private For-Profit, Less-Than 2-Year
0543	1	Private For-Profit, Less-Than 2-Year
0544	1	Public, 4-Year or Above
0545	1	Public, 4-Year or Above
0546	1	Public, 4-Year or Above
0547	1	Public, 4-Year or Above
0548	1	Public, 4-Year or Above
0549	1	Public, 4-Year or Above
0550	1	Public, 4-Year or Above
0551	1	Public, 4-Year or Above
0552	1	Public, 4-Year or Above
0553	1	Public, 4-Year or Above
0554	1	Public, 4-Year or Above
0555	1	Public, 4-Year or Above
0556	1	Public, 2-Year
0557	1	Public, 2-Year
0558	1	Public, 2-Year
0559	1	Public, 2-Year
0560	1	Public, 2-Year
0561	1	Public, 2-Year
0562	1	Public, 2-Year
0563	1	Public, 2-Year
0564	1	Public, 2-Year
0565	1	Private Not-For-Profit, 4-Year or Above
0566	1	Private Not-For-Profit, 4-Year or Above
0567	1	Private Not-For-Profit, 4-Year or Above
0568	1	Private Not-For-Profit, 4-Year or Above
0569	1	Private Not-For-Profit, 4-Year or Above
0570	1	Private Not-For-Profit, 4-Year or Above
0571	1	Private Not-For-Profit, 4-Year or Above
0572	1	Private For-Profit, 4-Year or Above
0573	1	Private Not-For-Profit, 4-Year or Above
0574	1	Private Not-For-Profit, 4-Year or Above
0575	1	Private Not-For-Profit, 4-Year or Above
0576	1	Private Not-For-Profit, 4-Year or Above
0577	1	Private Not-For-Profit, 4-Year or Above
0578	1	Private Not-For-Profit, 4-Year or Above
0579	1	Private Not-For-Profit, 4-Year or Above
0580	1	Private Not-For-Profit, 4-Year or Above
0581	1	Private Not-For-Profit, 4-Year or Above
0582	1	Private Not-For-Profit, 4-Year or Above
0583	1	Private Not-For-Profit, 4-Year or Above
0584	1	Private Not-For-Profit, 4-Year or Above
0585	1	Private Not-For-Profit, 4-Year or Above
0586	1	Private For-Profit, 2-Year
0587	1	Private For-Profit, Less-Than 2-Year
0588	1	Private For-Profit, Less-Than 2-Year
0589	1	Private For-Profit, Less-Than 2-Year
0590	1	Private For-Profit, Less-Than 2-Year
0591	1	Private For-Profit, Less-Than 2-Year
0592	1	Private For-Profit, Less-Than 2-Year
0593	1	Private For-Profit, Less-Than 2-Year
0594	1	Private For-Profit, Less-Than 2-Year
0595	1	Private For-Profit, Less-Than 2-Year
0596	1	Private For-Profit, Less-Than 2-Year
0597	1	Public, 4-Year or Above
0598	1	Public, 4-Year or Above
0599	1	Public, 4-Year or Above
0600	1	Public, 4-Year or Above
0601	1	Public, 4-Year or Above
0602	1	Public, 4-Year or Above
0603	1	Public, 2-Year
0604	1	Public, 2-Year
0605	1	Public, 2-Year
0606	1	Public, 2-Year
0607	1	Public, 2-Year
0608	1	Public, 2-Year
0609	1	Public, 2-Year
0610	1	Public, 2-Year
0611	1	Public, 2-Year
0612	1	Public, 2-Year
0613	1	Public, 2-Year
0614	1	Public, 2-Year
0615	1	Public, 2-Year
0616	1	Public, 2-Year
0617	1	Public, 2-Year
0618	1	Public, 2-Year
0619	1	Public, 2-Year
0620	1	Public, 2-Year
0621	1	Private Not-For-Profit, 4-Year or Above
0622	1	Private Not-For-Profit, 4-Year or Above
0623	1	Private Not-For-Profit, 4-Year or Above
0624	1	Private Not-For-Profit, 4-Year or Above
0625	1	Private Not-For-Profit, 4-Year or Above
0626	1	Private Not-For-Profit, 4-Year or Above
0627	1	Private Not-For-Profit, 4-Year or Above
0628	1	Private For-Profit, 4-Year or Above
0629	1	Private Not-For-Profit, 4-Year or Above
0630	1	Private Not-For-Profit, 4-Year or Above
0631	1	Private For-Profit, 4-Year or Above
0632	1	Private Not-For-Profit, 4-Year or Above
0633	1	Private Not-For-Profit, 4-Year or Above
0634	1	Private For-Profit, 4-Year or Above
0635	1	Private Not-For-Profit, 4-Year or Above
0636	1	Private Not-For-Profit, 4-Year or Above
0637	1	Private For-Profit, 4-Year or Above
0638	1	Private Not-For-Profit, 4-Year or Above
0639	1	Private Not-For-Profit, 4-Year or Above
0640	1	Private For-Profit, 2-Year
0641	1	Private For-Profit, 2-Year
0642	1	Private Not-For-Profit, 2-Year
0643	1	Private Not-For-Profit, Less-Than 2-Year
0644	1	Private For-Profit, Less-Than 2-Year
0645	1	Public, 4-Year or Above
0646	1	Public, 4-Year or Above
0647	1	Public, 4-Year or Above
0648	1	Public, 4-Year or Above
0649	1	Public, 4-Year or Above
0650	1	Public, 2-Year
0651	1	Public, 2-Year
0652	1	Public, 2-Year
0653	1	Public, 2-Year
0654	1	Public, 2-Year
0655	1	Public, 2-Year
0656	1	Public, 2-Year
0657	1	Public, 2-Year
0658	1	Private Not-For-Profit, 4-Year or Above
0659	1	Private Not-For-Profit, 4-Year or Above
0660	1	Private Not-For-Profit, 4-Year or Above
0661	1	Private Not-For-Profit, 4-Year or Above
0662	1	Private Not-For-Profit, 4-Year or Above
0663	1	Private Not-For-Profit, 4-Year or Above
0664	1	Private Not-For-Profit, 4-Year or Above
0665	1	Private For-Profit, Less-Than 2-Year
0666	1	Private For-Profit, Less-Than 2-Year
0667	1	Private For-Profit, Less-Than 2-Year
0668	1	Public, 4-Year or Above
0669	1	Public, 4-Year or Above
0670	1	Public, 4-Year or Above
0671	1	Public, 4-Year or Above
0672	1	Public, 4-Year or Above
0673	1	Public, 4-Year or Above
0674	1	Public, 4-Year or Above
0675	1	Public, 2-Year
0676	1	Public, 2-Year
0677	1	Public, 2-Year
0678	1	Public, 2-Year
0679	1	Public, 2-Year
0680	1	Public, 2-Year
0681	1	Public, 2-Year
0682	1	Public, 2-Year
0683	1	Public, 2-Year
0684	1	Public, 2-Year
0685	1	Public, 2-Year
0686	1	Public, 2-Year
0687	1	Public, Less-Than 2-Year
0688	1	Public, Less-Than 2-Year
