university	collegeprowler	name
0225	1	Brio Academy of Fairfield
0226	1	Brittany Beauty School - Bronx
0227	1	Brookhaven College
0228	1	Brooklyn College
0229	1	Brooklyn Law School
0230	1	Brookstone College - Charlotte
0231	1	Brown Mackie College - Akron
0232	1	Brown Mackie College - Kansas City
0233	1	Brown Mackie College - Merrillville
0234	1	Brown Mackie College - Miami
0235	1	Brown Mackie College - Michigan City
0236	1	Bryan College - Gold River
0237	1	Bryan College - Springfield
0238	1	Bryant & Stratton College - Cleveland
0239	1	Bryant & Stratton College - Greece
0240	1	Bryant & Stratton College - Milwaukee
0241	1	Bryant & Stratton College - Virginia Beach
0242	1	Bryn Athyn College of the New Church
0243	1	Buckeye Joint Vocational School
0244	1	Bucks County Community College
0245	1	Buena Vista University
0246	1	Bunker Hill Community College
0247	1	Butera School of Art
0248	1	Butler Community College
0249	1	Butler County Community College
0250	1	Butler University
0251	1	Kalamazoo College
0252	1	Kankakee Community College
0253	1	Kansas City Kansas Community College
0254	1	Kaplan Career Institute - Detroit
0255	1	Kaplan Career Institute - Nashville
0256	1	Kaplan College - Columbus
0257	1	Kaplan College - Palm Springs
0258	1	Kaplan College - Riverside
0259	1	Kaplan College - San Diego
0260	1	Kaplan College - Vista
0261	1	Kaplan University - Council Bluffs
0262	1	Kaplan University - Lincoln
0263	1	Kaplan University - Mason City
0264	1	Katharine Gibbs School - New York City
0265	1	Katharine Gibbs School - Norristown
0266	1	Kauai Community College
0267	1	Kaw Area Technical School
0268	1	Kay Harvey Academy of Hair Design
0269	1	Kean University
0270	1	Keene Beauty Academy
0271	1	Kellogg Community College
0272	1	Kennebec Valley Community College
0273	1	Kenneth Shuler School of Cosmetology & Nails
0274	1	Kenneth Shuler School of Cosmetology - Columbia
0275	1	Kenneth Shuler School of Cosmetology - Spartanburg
0276	1	Kennett Career & Technology Center
0277	1	Kenrick Glennon Seminary
0278	1	Kent State University - Ashtabula
0279	1	Kent State University - Trumbull
0280	1	Kentucky Christian University
0281	1	Kentucky Mountain Bible College
0282	1	Kettering College of Medical Arts
0283	1	Kettering University
0284	1	Key College
0285	1	Keyskills Learning
0286	1	Keystone Technical Institute
0287	1	Kiamichi Technology Center - Hugo
0288	1	Kiamichi Technology Center - Spiro
0289	1	Kiamichi Technology Center - Talihina
0290	1	Kilgore College
0291	1	King's College
0292	1	King's College & Seminary
0293	1	Knowledge Systems Institute
0294	1	Knox County Career Center
0295	1	Kutztown University of Pennsylvania
0296	1	La Belle Beauty Academy
0297	1	LA College International
0298	1	La James College of Hairstyling & Cosmetology
0299	1	La James International College - Cedar Falls
0300	1	La James International College - Davenport
0301	1	La James International College - Ford Dodge
0302	1	La Salle University
0303	1	La'James International College
0304	1	Lac Courte Oreilles Ojibwa Community College
0305	1	Ladera Career Paths Training Centers
0306	1	LaGrange College
0307	1	Laguna College of Art & Design
0308	1	Lake Erie College of Osteopathic Medicine
0309	1	Lake Forest Graduate School of Management
0310	1	Lake Superior State University
0311	1	Lake Tahoe Community College
0312	1	Lake Technical Center
0313	1	Lake Washington Technical College
0314	1	Lakeland College
0315	1	Lakes Region Community College
0316	1	Lakeshore Technical College
0317	1	Lamar Community College
0318	1	Lamar Institute of Technology
0319	1	Lambuth University
0320	1	Lancaster School of Cosmetology
0321	1	Lansdale School of Cosmetology Inc
0322	1	Lansing Community College
0323	1	Las Vegas College
0324	1	Lasell College
0325	1	Lassen Community College
0326	1	Latter - day Saints Business College
0327	1	Laurel Business Institute
0328	1	Laurel Technical Institute
0329	1	Laurus Technical Institute
0330	1	Lawrence Memorial Hospital School of Nursing
0331	1	Lawrence Technological University
0332	1	Le Cordon Bleu College of Culinary Arts - Atlanta
0333	1	Lebanon College
0334	1	Lebanon County Area Vocational Technical School
0335	1	Lee College
0336	1	Lee University
0337	1	Lees - McRae College
0338	1	Lees School of Cosmetology
0339	1	Lehigh Valley College
0340	1	Lenape Area Vocational Technical School Practical Nursing Program
0341	1	Lenoir - Rhyne University
0342	1	Lesley University
0343	1	LeTourneau University
0344	1	Lewis - Clark State College
0345	1	Lexington Healing Arts Academy
0346	1	Lia Schorr Institute of Cosmetic Skin Care Training
0347	1	Liceo de Arte - Dise - O y Comercio
0348	1	Lincoln College
0349	1	Lincoln College of New England
0350	1	Lincoln College of Technology - Denver
0351	1	Lincoln College of Technology - Grand Prairie
0352	1	Lincoln College of Technology - Melrose Park
0353	1	Lincoln Technical Institute
0354	1	Lincoln Technical Institute - Allentown
0355	1	Lincoln Technical Institute - Brockton
0356	1	Lincoln Technical Institute - Edison
0357	1	Lincoln Technical Institute - Mahwah
0358	1	Lincoln Technical Institute - Mount Laurel
0359	1	Lincoln Technical Institute - Philadelphia
0360	1	Lincoln University - Oakland
0361	1	Lincoln University of Pennsylvania
0362	1	Lindsey Wilson College
0363	1	Linn State Technical College
0364	1	Little Priest Tribal College
0365	1	Loma Linda University
0366	1	Long Island Beauty School
0367	1	Long Island Beauty School Inc
0368	1	Long Island University - C W Post Campus
0369	1	Long Island University - Rockland Campus
0370	1	Long Island University - Westchester Campus
0371	1	Lorain County Joint Vocational School District
0372	1	Loraines Academy Inc
0373	1	Los Angeles County College of Nursing & Allied Health
0374	1	Los Angeles Mission College
0375	1	Los Angeles Music Academy
0376	1	Los Angeles ORT Technical Institute
0377	1	Los Angeles Southwest College
0378	1	Louisburg College
0379	1	Louisiana Culinary Institute
0380	1	Louisiana State University - Alexandria
0381	1	Louisiana State University - Shreveport
0382	1	Louisiana State University Health Sciences Center - Shreveport
0383	1	Louisiana Tech University
0384	1	Louisiana Technical College - Acadian
0385	1	Louisiana Technical College - Alexandria
0386	1	Louisiana Technical College - Ascension
0387	1	Louisiana Technical College - Bastrop
0388	1	Louisiana Technical College - Gulf Area
0389	1	Louisiana Technical College - North Central
0390	1	Louisiana Technical College - Northeast LA Branch
0391	1	Louisiana Technical College - Ruston
0392	1	Louisiana Technical College - Tallulah
0393	1	Louisiana Technical College - Young Memorial
0394	1	Louisville Bible College
0395	1	Lourdes College
0396	1	Lowell Academy Hairstyling Institute
0397	1	Loyola University New Orleans
0398	1	Lurleen B Wallace Community College
0399	1	Lutheran School of Theology at Chicago
0400	1	Lutheran Theological Seminary at Gettysburg
0401	1	Lutheran Theological Seminary at Philadelphia
0402	1	Lutheran Theological Southern Seminary
0403	1	Lycoming College
0404	1	Lyme Academy College of Fine Arts
0405	1	Lyndon State College
0406	1	MacCormac College
0407	1	MacMurray College
0408	1	Macon State College
0409	1	Madison Adult Career Center
0410	1	Madison Area Technical College
0411	1	Madison Oneida BOCES - Practical Nursing Program
0412	1	Magdalen College
0413	1	Make - up Designory
0414	1	Malone University
0415	1	Manatee Technical Institute
0416	1	Manchester Community College - Connecticut
0417	1	Manchester Community College - New Hampshire
0418	1	Manhattan School of Music
0419	1	Mansfield University of Pennsylvania
0420	1	Maple Springs Baptist Bible College & Seminary
0421	1	Marian Court College
0422	1	Maricopa Beauty College LLC
0423	1	Marinello School of Beauty - Huntington Beach
0424	1	Marinello School of Beauty - North Hollywood
0425	1	Marinello School of Beauty - Reseda
0426	1	Marinello School of Beauty - West Covina
0427	1	Marion County Community Technical & Adult Education Center
0428	1	Marion Military Institute
0429	1	Marion Technical College
0430	1	MarJon School of Beauty Culture Ltd
0431	1	Marlboro College Graduate Center
0432	1	Mars Hill Graduate School
0433	1	Marshalltown Community College
0434	1	Martin University
0435	1	Mary Lanning Memorial Hospital School of Radiologic Technology
0436	1	Maryville College
0437	1	Massachusetts Bay Community College
0438	1	Massachusetts School of Law
0439	1	Massachusetts School of Professional Psychology
0440	1	Massage Therapy Training Institute Inc
0441	1	Mayland Community College
0442	1	Mayo Graduate School
0443	1	Mayo School of Health Sciences
0444	1	McCann School of Business & Technology
0445	1	McDaniel College
0446	1	MCed Career College
0447	1	McKendree University
0448	1	McMurry University
0449	1	McNeese State University
0450	1	Mech - Tech College LLC
0451	1	Med - Assist School of Hawaii Inc
0452	1	Medcenter One College of Nursing
0453	1	MedCentral College of Nursing
0454	1	Medical College of Wisconsin
0455	1	Medical Training College
0456	1	Medix School - Smyrna
0457	1	Medvance Institute - Baton Rouge
0458	1	Medvance Institute - Cookeville
0459	1	Medvance Institute - Fort Lauderdale
0460	1	Meharry Medical College
0461	1	Memphis College of Art
0462	1	Mendocino College
0463	1	Mercer County Community College
0464	1	Mercy Hospital School of Practical Nursing
0465	1	Mercy Hospital School of Radiologic Technology
0466	1	Mercy/St. Luke's School of Radiologic Technology
0467	1	Meredith College
0468	1	Meredith Manor International Equestrian Center
0469	1	Meridian Community College
0470	1	Merkaz Bnos - Business School
0471	1	Merrell University of Beauty Arts & Science
0472	1	Merrillville Beauty College
0473	1	Messenger College
0474	1	Methodist College of Nursing
0475	1	Methodist Theological School in Ohio
0476	1	Metropolitan Community College - Maple Woods
0477	1	MGH Institute of Health Professions
0478	1	Miami - Jacobs Career College - Dayton
0479	1	Miami Ad School - Miami Beach
0480	1	Miami Ad School - San Francisco
0481	1	Miami University - Hamilton
0482	1	Miami University - Middletown
0483	1	Michigan Career & Technical Institute
0484	1	Michigan College of Beauty - Troy
0485	1	Michigan School of Professional Psychology
0486	1	Michigan State University College of Law
0487	1	Mid - America Christian University
0488	1	Mid - America College of Funeral Service
0489	1	Mid - Continent University
0490	1	Mid - South Community College
0491	1	Middle Georgia College
0492	1	Midland College
0493	1	Midland Lutheran College
0494	1	Midlands Technical College
0495	1	Midstate College
0496	1	Midway College
0497	1	Midwest Institute
0498	1	Midwest Technical Institute
0499	1	Midwestern Baptist Theological Seminary
0500	1	Midwestern University - Glendale
0501	1	Mifflin - Juniata Career & Technology Center
0502	1	Milan Institute - Clovis
0503	1	Milan Institute - San Antonio
0504	1	Milan Institute - Sparks
0505	1	Miles Community College
0506	1	Miller - Motte Technical College - Clarksville
0507	1	Mineral Area College
0508	1	Minnesota School of Business - Brooklyn Center
0509	1	Minnesota School of Business - Plymouth
0510	1	Minnesota School of Business - Waite Park
0511	1	Minnesota West Community & Technical College
0512	1	Miss Martys Hair Academy & Esthetics Institute
0513	1	Mission College
0514	1	Mississippi State University
0515	1	Mississippi Valley State University
0516	1	Missouri Tech
0517	1	Mitchell Community College
0518	1	MJ's Beauty Academy Inc
0519	1	Modern Technology School
0520	1	Mojave Barber College
0521	1	Molloy College
0522	1	Monongalia County Technical Education Center
0523	1	Monroe College
0524	1	Monroe Community College
0525	1	Monterey Institute of International Studies
0526	1	Monterey Peninsula College
0527	1	Montgomery Beauty School
0528	1	Montgomery Community College
0529	1	Montgomery County Community College - Central Campus
0530	1	Montreat College
0531	1	Moraine Park Technical College
0532	1	Morehead State University
0533	1	Morehouse College
0534	1	Morgan Community College
0535	1	Morningside College
0536	1	Morrisville State College
0537	1	Mott Community College
0538	1	Moultrie Technical College
0539	1	Mount Aloysius College
0540	1	Mount Angel Seminary
0541	1	Mount Ida College
0542	1	Mount Marty College
0543	1	Mount Olive College
0544	1	Mount Saint Mary College
0545	1	Mount St. Mary's College
0546	1	Mountain Empire Community College
0547	1	Mountain View College
0548	1	Mountaineer Beauty College
0549	1	Mountainland Applied Technology College
0550	1	Mountainside Hospital School of Nursing
0551	1	Mr Jim's College of Cosmetology
0552	1	Mt Hood Community College
0553	1	Mt Sierra College
0554	1	MTI Business College Inc
0555	1	MTTI - WellSpring Center for Natural Health & Wellness
0556	1	Muhlenberg Harold B. & Dorothy A Snyder Schools - School of Imaging
0557	1	Muhlenberg Harold B. & Dorothy A. Snyder Schools - School of Nursing
0558	1	Murray State College
0559	1	Muskingum College
0560	1	Myotherapy Institute
0561	1	Napa Valley College
0562	1	Naropa University
0563	1	Nash Community College
0564	1	National American University - Bloomington
0565	1	National American University - Ellsworth AFB Extension
0566	1	National American University - Independence
0567	1	National American University - Rapid City
0568	1	National College - Lexington
0569	1	National College - Salem
0570	1	National College of Business & Technology - Nashville
0571	1	National College of Business & Technology - Rio Grande
0572	1	National Graduate School of Quality Management
0573	1	National Latino Education Institute
0574	1	National Park Community College
0575	1	Naugatuck Valley Community College
0576	1	Navajo Technical College
0577	1	Navarro College
0578	1	Nebraska College of Technical Agriculture
0579	1	Nebraska Wesleyan University
0580	1	Neosho Beauty College
0581	1	Neumont University
0582	1	Nevada Career Institute
0583	1	Nevada State College
0584	1	New Age Training
0585	1	New Castle School of Trades
0586	1	New Directions Hair Academy
0587	1	New England College of Business & Finance
0588	1	New England Culinary Institute at Essex
0589	1	New England Hair Academy
0590	1	New England Law - Boston
0591	1	New England Tractor Trailer Training School - Rhode Island
0592	1	New Hampshire Institute of Art
0593	1	New Jersey Institute of Technology
0594	1	New Mexico Highlands University
0595	1	New Mexico Institute of Mining & Technology
0596	1	New Mexico Junior College
0597	1	New Mexico State University - Dona Ana
0598	1	New Mexico State University - Grants
0599	1	New Orleans Baptist Theological Seminary
0600	1	New Saint Andrews College
0601	1	New School of Radio & Television
0602	1	New Wave Hair Academy - Memphis
0603	1	New York Academy of Art
0604	1	New York Career Institute
0605	1	New York College of Traditional Chinese Medicine
0606	1	New York Conservatory for Dramatic Arts
0607	1	New York Institute of Technology - Old Westbury
0608	1	New York International Beauty School Ltd
0609	1	New York Law School
0610	1	New York Medical College
0611	1	Newbridge College - Long Beach
0612	1	Newbridge College - Santa Ana
0613	1	Newman University
0614	1	Newport Business Institute - Williamsport
0615	1	NHTI - Concord's Community College
0616	1	Niagara University
0617	1	Nicholls State University
0618	1	Nicolet Area Technical College
0619	1	Norfolk State University
0620	1	North - West College - Glendale
0621	1	North - West College - Pomona
0622	1	North Arkansas College
0623	1	North Bennet Street School
0624	1	North Central Kansas Technical College
0625	1	North Central Michigan College
0626	1	North Central University
0627	1	North Dakota State University
0628	1	North Florida Community College
0629	1	North Georgia College & State University
0630	1	North Georgia Technical College
0631	1	North Hennepin Community College
0632	1	North Lake College
0633	1	North Metro Technical College
0634	1	North Westchester School of Hair - Cosmetology
0635	1	Northcentral University
0636	1	Northcoast Medical Training Academy
0637	1	Northeast Alabama Community College
0638	1	Northeast Community College
0639	1	Northeast Iowa Community College - Calmar
0640	1	Northeast Mississippi Community College
0641	1	Northeastern Hospital School of Nursing
0642	1	Northeastern Ohio Universities Colleges of Medicine & Pharmacy
0643	1	Northeastern Seminary
0644	1	Northeastern State University
0645	1	Northern Oklahoma College
0646	1	Northern Tier Career Center
0647	1	Northhaven Academy
0648	1	Northland Career Center
0649	1	Northland College
0650	1	Northwest College - Aloha
0651	1	Northwest College - Powell
0652	1	Northwest College of Art
0653	1	Northwest College of Hair Design - Clackamas
0654	1	Northwest Indian College
0655	1	Northwest Mississippi Community College
0656	1	Northwest Nannies Institute
0657	1	Northwest Regional Technology Institute
0658	1	Northwest State Community College
0659	1	Northwest Technical College
0660	1	Northwest Technical Institute - Springdale
0661	1	Northwest Technology Center - Fairview
0662	1	Northwest University
0663	1	Northwestern College
0664	1	Northwestern Oklahoma State University
0665	1	Northwestern Polytechnic University
0666	1	Northwestern State University of Louisiana
0667	1	Northwestern Technical College
0668	1	Northwestern Technological Institute
0669	1	Norwalk Community College
0670	1	Nossi College of Art
0671	1	Nunez Community College
0672	1	O'More College of Design
0673	1	Oak Hills Christian College
0674	1	Oakbridge Academy of Arts
0675	1	Oblate School of Theology
0676	1	Ocean County Vocational - Technical School
0677	1	Ogle School of Hair Design - Arlington
0678	1	Ogle School of Hair Design - Hurst
0679	1	Ohio Business College - Sandusky
0680	1	Ohio Center for Broadcasting - Cincinnati
0681	1	Ohio College of Massotherapy Inc
0682	1	Ohio Dominican University
0683	1	Ohio State College of Barber Styling
0684	1	Ohio State University - Lima Campus
0685	1	Ohio State University - Newark Campus
0686	1	Ohio State University Agricultural Technical Institute
0687	1	Ohio University - Zanesville Campus
0688	1	Ohio Valley College of Technology
0689	1	Ohio Valley Hospital School of Nursing
0690	1	Ohio Valley University
0691	1	Oklahoma City University
0692	1	Oklahoma Health Academy - Tulsa
0693	1	Oklahoma School of Photography
0694	1	Oklahoma Wesleyan University
0695	1	Olivet College
0696	1	Onondaga Cortland Madison BOCES
0697	1	Orange - Ulster BOCES - School of Practical Nursing
0698	1	Oregon Health & Science University
0699	1	Orlando Culinary Academy
0700	1	Orleans Niagara BOCES - Practical Nursing Program
0701	1	Ottawa University - Jeffersonville
0702	1	Ottawa University - Kansas City
0703	1	Ottawa University - Milwaukee
0704	1	Otterbein University
0705	1	Our Lady of Holy Cross College
0706	1	Our Lady of the Lake College
0707	1	Owens Community College
0708	1	Owensboro Community & Technical College
0709	1	Oxnard College
0710	1	Ozark Christian College
0711	1	Pacific College of Oriental Medicine - New York
0712	1	Pacific Graduate School of Psychology
0713	1	Pacific Lutheran Theological Seminary
0714	1	Pacific Lutheran University
0715	1	Pacifica Graduate Institute
0716	1	Paier College of Art Inc
0717	1	Palmer College of Chiropractic
0718	1	Panola College
0719	1	Paramount Beauty Academy
0720	1	Paris II Educational Center
0721	1	Parisian Beauty School
0722	1	Parker College of Chiropractic
0723	1	Parkland College
0724	1	Paroba College of Cosmetology
0725	1	Patricia Stevens College
0726	1	Patrick Henry Community College
0727	1	Paul Mitchell the School - Costa Mesa
0728	1	Paul Mitchell The School - Louisville
0729	1	Paul Mitchell the School - Nashville
0730	1	Paul Smiths College of Arts & Science
0731	1	PC Tech Learning Center
0732	1	Pellissippi State Technical Community College
0733	1	Peninsula College
0734	1	Penn State Berks
0735	1	Penn State Fayette - Eberly Campus
0736	1	Penn State Lehigh Valley
0737	1	Penn State New Kensington
0738	1	Penn State Schuylkill
0739	1	Penn State Wilkes - Barre
0740	1	Pennsylvania Academy of Cosmetology Arts & Sciences - Du Bois
0741	1	Pennsylvania College of Technology
0742	1	Pennsylvania Institute of Taxidermy Inc
0743	1	Pennsylvania Myotherapy Institute
0744	1	Pensacola School of Massage Therapy & Health Careers
0745	1	Performance Training
0746	1	Perry Technical Institute
0747	1	Pfeiffer University
0748	1	Phagans Beauty College
0749	1	Phagans Central Oregon Beauty College
0750	1	Phagans Medford Beauty School
0751	1	Phagans School of Beauty
0752	1	Philadelphia Biblical University - Wisconsin Wilderness
0753	1	Philadelphia College of Osteopathic Medicine
0754	1	Philadelphia University
0755	1	Philander Smith College
0756	1	Piedmont Baptist College & Graduate School
0757	1	Pierce College
0758	1	Pierre's School of Cosmetology
0759	1	Pine Technical College
0760	1	Pineville Beauty School
0761	1	Pinnacle Institute of Cosmetology
0762	1	Pioneer Pacific College
0763	1	Pioneer Technology Center
0764	1	Pittsburg State University
0765	1	Pittsburgh Theological Seminary
0766	1	Pivot Point Beauty School - Bloomingdale
0767	1	PJ's College of Cosmetology - Bowling Green
0768	1	PJ's College of Cosmetology - Clarksville
0769	1	PJA School
0770	1	Platt College - OKC Central Campus
0771	1	Platt College - Oklahoma City
0772	1	Platt College - Ontario
0773	1	Plaza Beauty School
0774	1	Plymouth State University
0775	1	Polaris Career Center
0776	1	Ponce School of Medicine
0777	1	Pontifical Catholic University of Puerto Rico
0778	1	Pontifical College Josephinum
0779	1	Porter & Chester Institute of Branford
0780	1	Portfolio Center
0781	1	Portsmouth Beauty School of Hair Design
0782	1	Practical Nurse Program Canton City Schools
0783	1	Prairie State College
0784	1	Praxis Institute
0785	1	Precision Manufacturing Institute
0786	1	Presbyterian College
0787	1	Princeton Theological Seminary
0788	1	Principia College
0789	1	Prism Career Institute - Cherry Hill
0790	1	Prism Career Institute - Philadelphia
0791	1	Prism Career Institute - West Atlantic City
0792	1	Professional Beauty School - Sunnyside
0793	1	Professional Business College
0794	1	Professional Careers Institute
0795	1	Professional Golfers Career College
0796	1	Pruonto's Hair Design Institute Inc
0797	1	Quinnipiac University
0798	1	Ralph R Willis Career & Technical Center
0799	1	Ramirez College of Business & Technology
0800	1	Randolph Community College
0801	1	Raphaels School of Beauty Culture Inc - Boardman
0802	1	Rasmussen College - Mankato
0803	1	Rasmussen College – Wausau
