university	collegenavigator	phone
0602	1	(510) 666-8248 x107
0603	1	(562) 408-6969
0604	1	(510) 523-1050
0605	1	(417) 862-5700
0606	1	(660) 263-3900 x110
0607	1	(660) 248-3391
0608	1	(816) 960-2008
0609	1	(573) 214-3809
0610	1	(314) 434-4044
0611	1	(417) 269-8669
0612	1	(417) 269-8987
0613	1	(573) 288-6000
0614	1	(314) 868-8196
0615	1	(573) 392-8060
0616	1	(417) 864-7220
0617	1	(314) 862-3456
0618	1	(800) 955-2527
0619	1	(314) 340-3366
0620	1	(314) 647-8080
0621	1	(816) 942-5474
0622	1	(816) 472-4852
0623	1	(573) 717-1123
0624	1	(314) 792-6100
0625	1	(636) 696-4850
0626	1	(573) 681-5000
0627	1	(636) 949-2000
0628	1	(417) 624-7070 x156
0629	1	(816) 604-6500
0630	1	(816) 437-3000
0631	1	(573) 431-4593
0632	1	(877) 434-1115
0633	1	(660) 269-2690
0634	1	(816) 268-5400
0635	1	(417) 448-2016
0636	1	(573) 659-3100
0637	1	(660) 359-3948 x1418
0638	1	(816) 858-5505
0639	1	(660) 562-1212
0640	1	(417) 624-2518
0641	1	(314) 371-0236
0642	1	(800) 787-6456
0643	1	(573) 458-0160 x16008
0644	1	(314) 837-6777
0645	1	(816) 932-2233
0646	1	(816) 483-9600
0647	1	(559) 456-2777
0648	1	(916) 565-2955
0649	1	(415) 955-2100
0650	1	(951) 729-5320
0651	1	(417) 256-2256
0652	1	(636) 922-8000
0653	1	(573) 442-2211
0654	1	(573) 840-9600
0655	1	(573) 335-9977
0656	1	(573) 882-2121
0657	1	(816) 943-9600
0658	1	(417) 887-5795
0659	1	(816) 861-1000
0660	1	(314) 264-1000 x1020
0661	1	(636) 940-4102
0662	1	(800) 962-7682 x1300
0663	1	(573) 642-3361
0664	1	(662) 627-2571
0665	1	(601) 643-5101
0666	1	(601) 849-0112
0667	1	(662) 280-1443
0668	1	(601) 635-2111
0669	1	(601) 261-0111
0670	1	(662) 472-2312
0671	1	(601) 862-8000
0672	1	(601) 362-6940
0673	1	(662) 254-9041
0674	1	(601) 276-2000
0675	1	(601) 977-7700
0676	1	(662) 915-7211
0677	1	(601) 266-1000
0678	1	(415) 282-7600
0679	1	(714) 432-7879
0680	1	(916) 929-9700
0681	1	(406) 587-1264
0682	1	(406) 377-3396
0683	1	(406) 638-3100 x101
0684	1	(800) 541-9281
0685	1	(406) 994-0211
0686	1	(406) 247-3000
0687	1	(406) 265-3700
0688	1	(336) 578-2002
0689	1	(919) 572-1625 x7012
0690	1	(828) 262-2000
0691	1	(828) 883-8292
0692	1	(704) 403-1555
0693	1	(910) 893-1200 x1265
0694	1	(910) 362-7000
0695	1	(704) 395-9272
0696	1	(252) 222-6000
0697	1	(704) 637-4111
0698	1	(704) 330-2722
0699	1	(704) 971-8546
0700	1	(252) 638-7200
0701	1	(828) 225-3993
0702	1	(704) 894-2000
0703	1	(336) 249-8186
0704	1	(919) 536-7200 x1015
0705	1	(252) 823-5166
0706	1	(252) 335-3400
0707	1	(336) 278-2000
0708	1	(800) 233-3271
0709	1	(910) 672-1111
0710	1	(704) 922-6200
0711	1	(336) 272-7102
0712	1	(252) 536-7242
0713	1	(336) 841-9000
0714	1	(336) 819-5900
0715	1	(980) 598-1000
0716	1	(919) 934-3051
0717	1	(828) 898-5241 x0
0718	1	(704) 216-6000
0719	1	(919) 496-2521
0720	1	(910) 392-4660
0721	1	(704) 878-3200
0722	1	(828) 669-8012
0723	1	(310) 531-9700
0724	1	(510) 217-4700
0725	1	(619) 234-2181 x309
0726	1	(704) 658-1950
0727	1	(252) 443-4011
0728	1	(336) 334-7500
0729	1	(919) 530-6100
0730	1	(252) 985-5100
0731	1	(336) 633-0200
0732	1	(910) 410-1700
0733	1	(704) 216-3602
0734	1	(704) 982-0121
0735	1	(704) 717-2392
0736	1	(800) 233-3271
0737	1	(919) 962-2211
0738	1	(336) 334-5000
0739	1	(704) 504-5409
0740	1	(252) 492-2061
0741	1	(919) 866-5000
0742	1	(828) 771-2000
0743	1	(919) 470-7348 x7344
0744	1	(336) 838-6100
0745	1	(252) 291-1195
0746	1	(701) 252-3467
0747	1	(701) 478-6292
0748	1	(701) 772-2728
0749	1	(701) 223-8804 x108
0750	1	(701) 323-6271
0751	1	(701) 231-8011
0752	1	(701) 478-1772
0753	1	(402) 398-5527
0754	1	(308) 432-6000
0755	1	(402) 466-4774
0756	1	(402) 463-2402
0757	1	(402) 463-4521
0758	1	(402) 421-7410
0759	1	(619) 474-6607 x0
0760	1	(714) 517-1945
0761	1	(408) 428-0208
0762	1	(323) 299-8133
0763	1	(949) 341-9800
0764	1	(402) 331-3694
0765	1	(402) 471-3333
0766	1	(402) 898-1000
0767	1	(402) 393-2933 x1007
0768	1	(603) 646-1110
0769	1	(603) 792-1400
0770	1	(603) 228-3000
0771	1	(603) 352-1909
0772	1	(603) 524-3207 x701
0773	1	(603) 882-6923
0774	1	(603) 298-5199
0775	1	(603) 436-7775
0776	1	(603) 641-4321
0777	1	(856) 755-4800
0778	1	(609) 645-3635
0779	1	(609) 625-1111
0780	1	(973) 278-5400
0781	1	(973) 748-9000
0782	1	(732) 224-2345
0783	1	(800) 232-2774
0784	1	(908) 412-8600
0785	1	(570) 429-4321 x2414
0786	1	(973) 328-5000
0787	1	(856) 691-8600
0788	1	(908) 352-5509
0789	1	(973) 408-3000
0790	1	(201) 216-9901 x15
0791	1	(201) 327-8877
0792	1	(201) 692-2000
0793	1	(201) 559-6000
0794	1	(732) 987-2200
0795	1	(856) 468-5000
0796	1	(201) 833-3374 x3374
0797	1	(908) 737-5326
0798	1	(973) 778-8136
0799	1	(916) 649-2400 x230
0800	1	(213) 484-8850
0801	1	(530) 895-2511
0802	1	(916) 646-3523
0803	1	(951) 689-5771
0804	1	(818) 710-1310
0805	1	(714) 635-6585 x212
0806	1	(559) 251-4215
0807	1	(732) 548-8798 x42117
0808	1	(201) 845-6868
0809	1	(973) 655-4000
0810	1	(908) 668-2400
0811	1	(201) 659-0303
0812	1	(732) 247-5241
0813	1	(201) 487-2203 x10
0814	1	(201) 761-0144
0815	1	(732) 287-3622 x13
0816	1	(856) 317-0100
0817	1	(908) 526-1200
0818	1	(609) 896-5000
0819	1	(856) 225-6095
0820	1	(732) 932-1766
0821	1	(973) 353-1766
0822	1	(201) 761-6000
0823	1	(973) 882-4875
0824	1	(609) 771-1855
0825	1	(505) 559-5200
0826	1	(505) 254-7777
0827	1	(505) 769-2811
0828	1	(575) 556-1080
0829	1	(575) 562-1011
0830	1	(800) 428-8324
0831	1	(575) 234-9200
0832	1	(575) 527-7500
0833	1	(505) 984-6000
0834	1	(505) 888-0020
0835	1	(505) 662-5919
0836	1	(575) 392-6561
0837	1	(505) 538-6336
0838	1	(256) 766-6610
0839	1	(256) 539-0834
0840	1	(256) 782-5781
0841	1	(251) 580-2100
0842	1	(256) 306-2500
0843	1	(310) 826-7622
0844	1	(626) 395-6811
0845	1	(707) 654-1000
0846	1	(661) 654-2782
0847	1	(530) 898-6116
0848	1	(702) 688-4300
0849	1	(702) 567-1920 x148
0850	1	(702) 992-2000
0851	1	(702) 458-9650
0852	1	(702) 369-9944
0853	1	(702) 895-3011
0854	1	(775) 828-7999
0855	1	(702) 990-4433
0856	1	(775) 445-3000
0857	1	(212) 290-2289
0858	1	(212) 227-6353
0859	1	(718) 575-3223
0860	1	(518) 262-3125
0861	1	(212) 645-3300
0862	1	(212) 875-4400
0863	1	(845) 758-6822
0864	1	(845) 343-2171 x302
0865	1	(718) 729-0909
0866	1	(212) 986-4343
0867	1	(914) 694-1122
0868	1	(718) 261-5800
0869	1	(607) 778-5000
0870	1	(585) 292-5627
0871	1	(315) 652-6500
0872	1	(716) 883-7000
0873	1	(845) 623-6339
0874	1	(516) 877-1225
0875	1	(718) 422-1212
0876	1	(716) 376-8268
0877	1	(315) 253-0361
0878	1	(800) 654-3210
0879	1	(718) 339-2640
0880	1	(716) 652-8900 x7086
0881	1	(212) 307-0388
0882	1	(518) 562-4200
0883	1	(518) 561-0100
0884	1	(585) 271-1320
0885	1	(212) 854-1754
0886	1	(914) 337-9300
0887	1	(585) 344-0886
0888	1	(212) 353-4100
0889	1	(845) 452-9600
0890	1	(212) 220-8000
0891	1	(718) 289-5100
0892	1	(718) 951-5000
0893	1	(212) 650-7000
0894	1	(718) 982-2000
0895	1	(212) 772-4000
0896	1	(657) 278-2011
0897	1	(562) 985-4111
0898	1	(530) 674-9199
0899	1	(650) 306-3100
0900	1	(718) 260-5500
0901	1	(845) 359-7800
0902	1	(914) 361-6537
0903	1	(518) 243-4471
0904	1	(607) 733-7177
0905	1	(607) 735-1800
0906	1	(800) 223-3271
0907	1	(518) 464-8500
0908	1	(212) 219-8890
0909	1	(212) 944-5900 x3063
0910	1	(315) 859-4011
0911	1	(516) 796-1000
0912	1	(914) 633-2000
0913	1	(607) 274-3011
0914	1	(716) 338-1000
0915	1	(518) 783-0808
0916	1	(315) 279-5000
0917	1	(212) 752-1530
0918	1	(718) 939-5100
0919	1	(718) 780-1953
0920	1	(212) 247-3434
0921	1	(718) 862-8000
0922	1	(914) 694-2200
0923	1	(518) 438-3111
0924	1	(518) 471-3260
0925	1	(212) 255-8240 x30
0926	1	(718) 234-4000
0927	1	(718) 418-2790
0928	1	(315) 792-5400
0929	1	(516) 678-5000
0930	1	(914) 632-5400
0931	1	(716) 849-6887
0932	1	(315) 451-2430
0933	1	(585) 389-2525
0934	1	(323) 254-2203
0935	1	(619) 338-0813
0936	1	(916) 722-8200
0937	1	(510) 420-5100
0938	1	(925) 609-6650
0939	1	(916) 361-1660
0940	1	(510) 276-3888
0941	1	(518) 438-7682 x1
0942	1	(315) 568-3000
0943	1	(212) 725-9400
0944	1	(716) 633-0355
0945	1	(212) 261-1500
0946	1	(212) 431-2100
0947	1	(212) 998-1212
0948	1	(716) 614-6222
0949	1	(607) 431-2562
0950	1	(212) 346-1200
0951	1	(518) 327-6000
0952	1	(718) 260-3100
0953	1	(212) 226-7300
0954	1	(845) 471-0330
0955	1	(585) 922-4274
0956	1	(585) 475-2411
0957	1	(212) 327-8000
0958	1	(585) 385-8000
0959	1	(914) 968-6200
0960	1	(845) 398-4000
0961	1	(914) 874-2500 x2507
0962	1	(718) 817-8797
0963	1	(518) 783-2300
0964	1	(315) 475-5142
0965	1	(212) 840-7111
0966	1	(585) 271-3657
0967	1	(315) 448-5040
0968	1	(315) 229-5011
0969	1	(718) 990-6161
0970	1	(516) 364-4344 x13
0971	1	(212) 675-6655
0972	1	(877) 696-7411
0973	1	(845) 295-4136
0974	1	(585) 245-5211
0975	1	(516) 876-3000
0976	1	(315) 267-2000
