university	princetonreview	type
0176	1	Private
0177	1	Private
0178	1	Private
0179	1	Private
0180	1	Private
0181	1	Private
0182	1	Private
0183	1	Private
0184	1	Private
0185	1	Private
0186	1	Private
0187	1	Private
0188	1	Private
0189	1	Private
0190	1	Private
0191	1	Private
0192	1	Private
0193	1	Private
0194	1	Public
0195	1	Private
0196	1	Private
0197	1	Private
0198	1	Public
0199	1	Public
0200	1	Public
0201	1	Private
0202	1	Public
0203	1	Private
0204	1	Public
0205	1	Private
0206	1	Private
0207	1	Private
0208	1	Private
0209	1	Private
0210	1	Public
0211	1	Public
0212	1	Public
0213	1	Private
0214	1	Private
0215	1	Private
0216	1	Private
0217	1	Private
0218	1	Private
0219	1	Public
0220	1	Private
0221	1	Private
0222	1	Private
0223	1	Private
0224	1	Private
0225	1	Private
0226	1	Private
0227	1	Private
0228	1	Private
0229	1	Private
0230	1	Private
0231	1	Private
0232	1	Private
0233	1	Private
0234	1	Public
0235	1	Public
0236	1	Private
0237	1	Private
0238	1	Private
0239	1	Private
0240	1	Private
0241	1	Private
0242	1	Private
0243	1	Private
0244	1	Private
0245	1	Private
0246	1	Private
0247	1	Private
0248	1	Private
0249	1	Private
0250	1	Private
0251	1	Private
0252	1	Private
0253	1	Private
0254	1	Private
0255	1	Private
0256	1	Private
0257	1	Public
0258	1	Public
0259	1	Private
0260	1	Private
0261	1	Private
0262	1	Private
0263	1	Public
0264	1	Public
0265	1	Public
0266	1	Private
0267	1	Public
0268	1	Private
0269	1	Private
0270	1	Private
0271	1	Private
0272	1	Private
0273	1	Private
0274	1	Public
0275	1	Private
0276	1	Private
0277	1	Private
0278	1	Public
0279	1	Private
0280	1	Private
0281	1	Private
0282	1	Private
0283	1	Private
0284	1	Private
0285	1	Private
0286	1	Private
0287	1	Private
0288	1	Private
0289	1	Private
0290	1	Public
0291	1	Public
0292	1	Public
0293	1	Private
0294	1	Private
0295	1	Public
0296	1	Private
0297	1	Private
0298	1	Private
0299	1	Private
0300	1	Private
0301	1	Private
0302	1	Private
0303	1	Private
0304	1	Private
0305	1	Private
0306	1	Public
0307	1	Private
0308	1	Private
0309	1	Private
0310	1	Public
0311	1	Private
0312	1	Public
0313	1	Private
0314	1	Private
0315	1	Private
0316	1	Public
0317	1	Private
0318	1	Public
0319	1	Private
0320	1	Private
0321	1	Private
0322	1	Public
0323	1	Private
0324	1	Private
0325	1	Private
0326	1	Public
0327	1	Private
0328	1	Public
0329	1	Public
0330	1	Private
0331	1	Private
0332	1	Private
0333	1	Private
0334	1	Private
0335	1	Private
0336	1	Public
0337	1	Private
0338	1	Private
0339	1	Private
0340	1	Private
0341	1	Private
0342	1	Private
0343	1	Private
0344	1	Private
0345	1	Private
0346	1	Private
0347	1	Public
0348	1	Public
0349	1	Private
0350	1	Private
0351	1	Private
0352	1	Private
0353	1	Private
0354	1	Private
0355	1	Private
0356	1	Private
0357	1	Private
0358	1	Private
0359	1	Public
0360	1	Private
0361	1	Private
0362	1	Private
0363	1	Private
0364	1	Private
0365	1	Private
0366	1	Private
0367	1	Private
0368	1	Private
0369	1	Public
0370	1	Private
0371	1	Private
0372	1	Private
0373	1	Private
0374	1	Public
0375	1	Private
0376	1	Public
0377	1	Public
0378	1	Private
0379	1	Public
0380	1	Private
0381	1	Public
0382	1	Private
0383	1	Private
0384	1	Private
0385	1	Private
0386	1	Public
0387	1	Public
0388	1	Public
0389	1	Public
0390	1	Public
0391	1	Public
0392	1	Public
0393	1	Public
0394	1	Public
0395	1	Public
0396	1	Public
0397	1	Private
0398	1	Private
0399	1	Private
0400	1	Private
0401	1	Private
0402	1	Private
0403	1	Private
0404	1	Private
0405	1	Private
0406	1	Public
0407	1	Private
0408	1	Private
0409	1	Private
0410	1	Private
0411	1	Private
0412	1	Private
0413	1	Private
0414	1	Public
0415	1	Public
0416	1	Private
0417	1	Private
0418	1	Public
0419	1	Public
0420	1	Private
0421	1	Private
0422	1	Public
0423	1	Private
0424	1	Private
0425	1	Private
0426	1	Private
0427	1	Public
0428	1	Private
0429	1	Public
0430	1	Public
0431	1	Public
0432	1	Private
0433	1	Public
0434	1	Private
0435	1	Public
0436	1	Public
0437	1	Public
0438	1	Public
0439	1	Private
0440	1	Private
0441	1	Private
0442	1	Public
0443	1	Private
0444	1	Private
0445	1	Private
0446	1	Private
0447	1	Public
0448	1	Public
0449	1	Private
0450	1	Private
0451	1	Private
0452	1	Private
0453	1	Private
0454	1	Public
0455	1	Public
0456	1	Public
0457	1	Public
0458	1	Public
0459	1	Public
0460	1	Public
0461	1	Public
0462	1	Public
0463	1	Public
0464	1	Public
0465	1	Public
0466	1	Public
0467	1	Public
0468	1	Public
0469	1	Public
0470	1	Public
0471	1	Public
0472	1	Private
0473	1	Private
0474	1	Public
0475	1	Public
0476	1	Public
0477	1	Private
0478	1	Private
0479	1	Public
0480	1	Private
0481	1	Private
0482	1	Public
0483	1	Public
0484	1	Public
0485	1	Public
0486	1	Public
0487	1	Private
0488	1	Public
0489	1	Public
0490	1	Public
0491	1	Public
0492	1	Public
0493	1	Public
0494	1	Public
0495	1	Public
0496	1	Public
0497	1	Public
0498	1	Private
0499	1	Public
0500	1	Public
0501	1	Public
0502	1	Public
0503	1	Public
0504	1	Public
0505	1	Public
0506	1	Public
0507	1	Public
0508	1	Public
0509	1	Public
0510	1	Public
0511	1	Public
0512	1	Public
0513	1	Public
0514	1	Public
0515	1	Public
0516	1	Public
0517	1	Public
0518	1	Public
0519	1	Public
0520	1	Public
0521	1	Private
0522	1	Public
0523	1	Public
0524	1	Private
0525	1	Public
0526	1	Public
0527	1	Public
0528	1	Private
0529	1	Private
0530	1	Private
0531	1	Public
0532	1	Private
0533	1	Private
0534	1	Private
0535	1	Private
0536	1	Private
0537	1	Public
0538	1	Private
0539	1	Public
0540	1	Public
0541	1	Private
0542	1	Private
0543	1	Public
0544	1	Public
0545	1	Private
0546	1	Private
0547	1	Public
0548	1	Public
0549	1	Public
0550	1	Public
0551	1	Public
0552	1	Public
0553	1	Public
0554	1	Public
0555	1	Public
0556	1	Public
0557	1	Public
0558	1	Public
0559	1	Private
0560	1	Public
0561	1	Private
0562	1	Private
0563	1	Private
0564	1	Private
0565	1	Private
0566	1	Public
0567	1	Private
0568	1	Private
0569	1	Private
0570	1	Private
0571	1	Private
0572	1	Private
0573	1	Private
0574	1	Private
0575	1	Private
0576	1	Public
0577	1	Private
0578	1	Private
0579	1	Private
0580	1	Public
0581	1	Private
0582	1	Private
0583	1	Private
0584	1	Private
0585	1	Private
0586	1	Public
0587	1	Public
0588	1	Private
0589	1	Private
0590	1	Private
0591	1	Private
0592	1	Public
0593	1	Public
0594	1	Private
0595	1	Private
0596	1	Private
0597	1	Private
0598	1	Private
0599	1	Private
0600	1	Private
0601	1	Private
0602	1	Private
0603	1	Private
0604	1	Public
0605	1	Public
0606	1	Private
0607	1	Private
0608	1	Private
0609	1	Public
0610	1	Public
0611	1	Private
0612	1	Private
0613	1	Private
0614	1	Private
