university	collegeboard	type
0197	1	Proprietary
0198	1	Proprietary
0199	1	Proprietary
0200	1	Proprietary
0201	1	Proprietary
0202	1	Public
0203	1	Private
0204	1	Private
0205	1	Private
0206	1	Public
0207	1	Proprietary
0208	1	Proprietary
0209	1	Proprietary
0210	1	Proprietary
0211	1	Proprietary
0212	1	Proprietary
0213	1	Proprietary
0214	1	Proprietary
0215	1	Public
0216	1	Private
0217	1	Private
0218	1	Private
0219	1	Private
0220	1	Public
0221	1	Public
0222	1	Private
0223	1	Proprietary
0224	1	Proprietary
0225	1	Proprietary
0226	1	Proprietary
0227	1	Private
0228	1	Private
0229	1	Private
0230	1	Private
0231	1	Proprietary
0232	1	Private
0233	1	Public
0234	1	Public
0235	1	Public
0236	1	Public
0237	1	Public
0238	1	Private
0239	1	Private
0240	1	Public
0241	1	Private
0242	1	Private
0243	1	Private
0244	1	Private
0245	1	Proprietary
0246	1	Private
0247	1	Private
0248	1	Private
0249	1	Private
0250	1	Private
0251	1	Public
0252	1	Public
0253	1	Public
0254	1	Private
0255	1	Private
0256	1	Public
0257	1	Public
0258	1	Public
0259	1	Private
0260	1	Proprietary
0261	1	Private
0262	1	Proprietary
0263	1	Private
0264	1	Proprietary
0265	1	Public
0266	1	Public
0267	1	Public
0268	1	Private
0269	1	Public
0270	1	Public
0271	1	Private
0272	1	Public
0273	1	Public
0274	1	Proprietary
0275	1	Public
0276	1	Private
0277	1	Public
0278	1	Public
0279	1	Public
0280	1	Public
0281	1	Public
0282	1	Public
0283	1	Private
0284	1	Public
0285	1	Proprietary
0286	1	Proprietary
0287	1	Proprietary
0288	1	Proprietary
0289	1	Proprietary
0290	1	Proprietary
0291	1	Private
0292	1	Private
0293	1	Private
0294	1	Private
0295	1	Private
0296	1	Proprietary
0297	1	Proprietary
0298	1	Proprietary
0299	1	Proprietary
0300	1	Proprietary
0301	1	Proprietary
0302	1	Public
0303	1	Public
0304	1	Private
0305	1	Proprietary
0306	1	Public
0307	1	Proprietary
0308	1	Proprietary
0309	1	Proprietary
0310	1	Proprietary
0311	1	Proprietary
0312	1	Proprietary
0313	1	Proprietary
0314	1	Proprietary
0315	1	Proprietary
0316	1	Proprietary
0317	1	Proprietary
0318	1	Proprietary
0319	1	Proprietary
0320	1	Proprietary
0321	1	Proprietary
0322	1	Proprietary
0323	1	Proprietary
0324	1	Proprietary
0325	1	Proprietary
0326	1	Proprietary
0327	1	Proprietary
0328	1	Proprietary
0329	1	Proprietary
0330	1	Proprietary
0331	1	Proprietary
0332	1	Proprietary
0333	1	Proprietary
0334	1	Proprietary
0335	1	Proprietary
0336	1	Proprietary
0337	1	Public
0338	1	Public
0339	1	Public
0340	1	Public
0341	1	Public
0342	1	Public
0343	1	Public
0344	1	Public
0345	1	Public
0346	1	Public
0347	1	Public
0348	1	Private
0349	1	Public
0350	1	Proprietary
0351	1	Public
0352	1	Private
0353	1	Public
0354	1	Public
0355	1	Private
0356	1	Private
0357	1	Public
0358	1	Private
0359	1	Public
0360	1	Private
0361	1	Private
0362	1	Private
0363	1	Private
0364	1	Private
0365	1	Public
0366	1	Public
0367	1	Public
0368	1	Proprietary
0369	1	Private
0370	1	Private
0371	1	Private
0372	1	Private
0373	1	Private
0374	1	Public
0375	1	Public
0376	1	Public
0377	1	Proprietary
0378	1	Proprietary
0379	1	Proprietary
0380	1	Proprietary
0381	1	Proprietary
0382	1	Proprietary
0383	1	Proprietary
0384	1	Proprietary
0385	1	Proprietary
0386	1	Proprietary
0387	1	Proprietary
0388	1	Proprietary
0389	1	Proprietary
0390	1	Proprietary
0391	1	Proprietary
0392	1	Private
0393	1	Proprietary
0394	1	Proprietary
0395	1	Public
0396	1	Proprietary
0397	1	Proprietary
0398	1	Public
0399	1	Private
0400	1	Public
0401	1	Public
0402	1	Public
0403	1	Public
0404	1	Private
0405	1	Private
0406	1	Private
0407	1	Private
0408	1	Private
0409	1	Private
0410	1	Public
0411	1	Public
0412	1	Public
0413	1	Public
0414	1	Proprietary
0415	1	Proprietary
0416	1	Private
0417	1	Private
0418	1	Private
0419	1	Private
0420	1	Public
0421	1	Private
0422	1	Public
0423	1	Public
0424	1	Public
0425	1	Public
0426	1	Public
0427	1	Private
0428	1	Public
0429	1	Public
0430	1	Public
0431	1	Private
0432	1	Proprietary
0433	1	Private
0434	1	Public
0435	1	Private
0436	1	Public
0437	1	Public
0438	1	Proprietary
0439	1	Public
0440	1	Public
0441	1	Public
0442	1	Private
0443	1	Public
0444	1	Private
0445	1	Private
0446	1	Proprietary
0447	1	Public
0448	1	Private
0449	1	Public
0450	1	Proprietary
0451	1	Private
0452	1	Public
0453	1	Private
0454	1	Proprietary
0455	1	Proprietary
0456	1	Proprietary
0457	1	Proprietary
0458	1	Proprietary
0459	1	Private
0460	1	Private
0461	1	Private
0462	1	Private
0463	1	Private
0464	1	Private
0465	1	Private
0466	1	Private
0467	1	Public
0468	1	Public
0469	1	Private
0470	1	Private
0471	1	Proprietary
0472	1	Proprietary
0473	1	Proprietary
0474	1	Proprietary
0475	1	Proprietary
0476	1	Public
0477	1	Private
0478	1	Private
0479	1	Public
0480	1	Public
0481	1	Private
0482	1	Private
0483	1	Public
0484	1	Private
0485	1	Public
0486	1	Public
0487	1	Public
0488	1	Public
0489	1	Public
0490	1	Public
0491	1	Private
0492	1	Public
0493	1	Public
0494	1	Public
0495	1	Public
0496	1	Public
0497	1	Proprietary
0498	1	Proprietary
0499	1	Proprietary
0500	1	Public
0501	1	Private
0502	1	Private
0503	1	Private
0504	1	Private
0505	1	Private
0506	1	Public
0507	1	Private
0508	1	Public
0509	1	Private
0510	1	Private
0511	1	Private
0512	1	Private
0513	1	Private
0514	1	Private
0515	1	Public
0516	1	Public
0517	1	Private
0518	1	Private
0519	1	Private
0520	1	Public
0521	1	Private
0522	1	Private
0523	1	Public
0524	1	Private
0525	1	Private
0526	1	Private
0527	1	Private
0528	1	Private
0529	1	Public
0530	1	Private
0531	1	Private
0532	1	Public
0533	1	Private
0534	1	Private
0535	1	Public
0536	1	Public
0537	1	Public
0538	1	Private
0539	1	Private
0540	1	Private
0541	1	Private
0542	1	Private
0543	1	Private
0544	1	Public
0545	1	Public
0546	1	Private
0547	1	Public
0548	1	Public
0549	1	Proprietary
0550	1	Proprietary
0551	1	Proprietary
0552	1	Private
0553	1	Public
0554	1	Public
0555	1	Public
0556	1	Public
0557	1	Public
0558	1	Private
0559	1	Public
0560	1	Public
0561	1	Public
0562	1	Private
0563	1	Public
0564	1	Private
0565	1	Private
0566	1	Public
0567	1	Public
0568	1	Private
0569	1	Public
0570	1	Public
0571	1	Private
0572	1	Public
0573	1	Private
0574	1	Private
0575	1	Private
0576	1	Public
0577	1	Private
0578	1	Private
0579	1	Private
0580	1	Public
0581	1	Private
0582	1	Public
0583	1	Private
0584	1	Proprietary
0585	1	Proprietary
0586	1	Private
0587	1	Public
0588	1	Public
0589	1	Public
0590	1	Public
0591	1	Public
0592	1	Public
0593	1	Public
0594	1	Private
0595	1	Public
0596	1	Private
0597	1	Public
0598	1	Public
0599	1	Public
0600	1	Public
0601	1	Public
0602	1	Public
0603	1	Public
0604	1	Public
0605	1	Proprietary
0606	1	Proprietary
0607	1	Public
0608	1	Proprietary
0609	1	Proprietary
0610	1	Proprietary
0611	1	Private
0612	1	Private
0613	1	Public
0614	1	Proprietary
0615	1	Public
0616	1	Proprietary
0617	1	Proprietary
0618	1	Public
0619	1	Public
0620	1	Public
0621	1	Proprietary
0622	1	Private
0623	1	Private
0624	1	Private
0625	1	Public
0626	1	Private
0627	1	Public
0628	1	Public
0629	1	Public
0630	1	Public
0631	1	Proprietary
0632	1	Private
0633	1	Public
0634	1	Public
0635	1	Public
0636	1	Private
0637	1	Private
0638	1	Public
0639	1	Public
0640	1	Public
0641	1	Public
0642	1	Public
0643	1	Public
0644	1	Public
0645	1	Public
0646	1	Private
0647	1	Private
0648	1	Private
0649	1	Public
0650	1	Public
0651	1	Private
0652	1	Public
0653	1	Public
0654	1	Private
0655	1	Public
0656	1	Public
0657	1	Public
0658	1	Private
0659	1	Private
0660	1	Private
0661	1	Public
0662	1	Private
0663	1	Public
0664	1	Public
0665	1	Private
0666	1	Private
0667	1	Public
0668	1	Public
0669	1	Public
0670	1	Private
0671	1	Public
0672	1	Public
0673	1	Proprietary
0674	1	Public
0675	1	Private
0676	1	Private
0677	1	Private
0678	1	Private
0679	1	Private
0680	1	Private
0681	1	Public
0682	1	Proprietary
0683	1	Proprietary
0684	1	Proprietary
0685	1	Proprietary
0686	1	Proprietary
0687	1	Proprietary
0688	1	Proprietary
0689	1	Proprietary
0690	1	Proprietary
0691	1	Proprietary
0692	1	Proprietary
0693	1	Proprietary
0694	1	Proprietary
0695	1	Proprietary
0696	1	Proprietary
0697	1	Proprietary
0698	1	Proprietary
0699	1	Private
0700	1	Private
0701	1	Proprietary
0702	1	Proprietary
0703	1	Proprietary
0704	1	Private
0705	1	Private
0706	1	Public
0707	1	Private
0708	1	Public
0709	1	Public
0710	1	Private
0711	1	Public
0712	1	Private
0713	1	Proprietary
0714	1	Public
0715	1	Private
0716	1	Proprietary
0717	1	Private
0718	1	Proprietary
0719	1	Private
0720	1	Private
0721	1	Public
0722	1	Public
0723	1	Public
0724	1	Public
0725	1	Public
0726	1	Private
0727	1	Public
0728	1	Proprietary
0729	1	Private
0730	1	Private
0731	1	Private
0732	1	Private
0733	1	Private
0734	1	Proprietary
0735	1	Proprietary
0736	1	Private
0737	1	Private
0738	1	Public
0739	1	Public
0740	1	Private
0741	1	Private
0742	1	Private
0743	1	Private
0744	1	Public
0745	1	Public
0746	1	Public
0747	1	Private
0748	1	Private
0749	1	Public
0750	1	Public
0751	1	Private
0752	1	Public
0753	1	Public
0754	1	Public
0755	1	Public
0756	1	Public
0757	1	Private
0758	1	Public
0759	1	Public
0760	1	Public
0761	1	Public
0762	1	Private
0763	1	Public
0764	1	Public
0765	1	Public
0766	1	Public
0767	1	Public
0768	1	Public
0769	1	Private
0770	1	Public
0771	1	Public
0772	1	Public
0773	1	Public
0774	1	Public
0775	1	Public
0776	1	Public
0777	1	Public
0778	1	Private
0779	1	Public
0780	1	Public
0781	1	Private
0782	1	Public
0783	1	Proprietary
0784	1	Public
0785	1	Public
0786	1	Public
0787	1	Public
0788	1	Private
0789	1	Private
0790	1	Public
0791	1	Private
0792	1	Public
0793	1	Private
0794	1	Private
0795	1	Public
0796	1	Private
0797	1	Private
0798	1	Private
0799	1	Private
0800	1	Private
0801	1	Private
0802	1	Private
0803	1	Private
0804	1	Private
0805	1	Private
0806	1	Private
0807	1	Private
0808	1	Proprietary
0809	1	Public
0810	1	Public
0811	1	Private
0812	1	Private
0813	1	Private
0814	1	Proprietary
0815	1	Private
0816	1	Proprietary
0817	1	Public
0818	1	Public
0819	1	Public
0820	1	Proprietary
0821	1	Public
0822	1	Public
0823	1	Public
0824	1	Public
0825	1	Public
0826	1	Public
0827	1	Private
0828	1	Public
0829	1	Private
0830	1	Public
0831	1	Proprietary
0832	1	Private
0833	1	Public
0834	1	Private
0835	1	Public
0836	1	Public
0837	1	Private
0838	1	Public
0839	1	Public
0840	1	Private
0841	1	Public
0842	1	Private
0843	1	Private
0844	1	Public
0845	1	Private
0846	1	Public
0847	1	Public
0848	1	Private
0849	1	Public
0850	1	Private
0851	1	Private
0852	1	Proprietary
0853	1	Private
0854	1	Private
0855	1	Private
0856	1	Proprietary
0857	1	Private
0858	1	Public
0859	1	Private
0860	1	Public
0861	1	Private
0862	1	Public
0863	1	Public
0864	1	Proprietary
0865	1	Proprietary
0866	1	Public
0867	1	Private
0868	1	Private
0869	1	Public
0870	1	Public
0871	1	Public
0872	1	Private
0873	1	Public
0874	1	Private
0875	1	Public
0876	1	Public
0877	1	Public
0878	1	Public
0879	1	Public
0880	1	Public
0881	1	Public
0882	1	Public
0883	1	Public
0884	1	Public
0885	1	Proprietary
0886	1	Private
0887	1	Public
0888	1	Proprietary
0889	1	Private
0890	1	Proprietary
0891	1	Public
0892	1	Private
0893	1	Public
0894	1	Private
0895	1	Private
0896	1	Private
0897	1	Private
0898	1	Public
0899	1	Public
0900	1	Private
0901	1	Private
0902	1	Public
0903	1	Public
0904	1	Public
0905	1	Public
0906	1	Public
0907	1	Public
0908	1	Private
0909	1	Private
0910	1	Proprietary
0911	1	Proprietary
0912	1	Proprietary
0913	1	Proprietary
0914	1	Proprietary
0915	1	Proprietary
0916	1	Public
0917	1	Private
0918	1	Public
0919	1	Proprietary
0920	1	Private
0921	1	Private
0922	1	Public
0923	1	Private
0924	1	Private
0925	1	Proprietary
0926	1	Proprietary
0927	1	Proprietary
0928	1	Proprietary
0929	1	Public
0930	1	Public
0931	1	Private
0932	1	Private
0933	1	Private
0934	1	Public
0935	1	Private
0936	1	Private
0937	1	Private
0938	1	Proprietary
0939	1	Public
0940	1	Public
0941	1	Private
0942	1	Public
0943	1	Private
0944	1	Public
0945	1	Public
0946	1	Public
0947	1	Public
0948	1	Private
0949	1	Public
0950	1	Private
0951	1	Public
0952	1	Public
0953	1	Proprietary
0954	1	Proprietary
0955	1	Proprietary
0956	1	Proprietary
0957	1	Proprietary
0958	1	Proprietary
0959	1	Proprietary
0960	1	Proprietary
0961	1	Private
0962	1	Proprietary
0963	1	Proprietary
0964	1	Proprietary
0965	1	Proprietary
0966	1	Proprietary
0967	1	Proprietary
0968	1	Private
0969	1	Public
0970	1	Private
0971	1	Public
0972	1	Private
0973	1	Private
0974	1	Public
0975	1	Proprietary
0976	1	Proprietary
0977	1	Private
0978	1	Private
0979	1	Private
0980	1	Public
0981	1	Public
0982	1	Private
0983	1	Private
0984	1	Public
0985	1	Private
0986	1	Public
0987	1	Public
0988	1	Public
0989	1	Private
0990	1	Public
0991	1	Private
0992	1	Public
0993	1	Private
0994	1	Private
0995	1	Public
0996	1	Private
0997	1	Public
0998	1	Private
0999	1	Proprietary
1000	1	Public
1001	1	Private
1002	1	Private
1003	1	Public
1004	1	Private
1005	1	Private
1006	1	Private
1007	1	Private
1008	1	Public
1009	1	Public
1010	1	Public
1011	1	Public
1012	1	Public
1013	1	Private
1014	1	Public
1015	1	Public
1016	1	Public
1017	1	Private
1018	1	Private
1019	1	Private
1020	1	Private
1021	1	Private
1022	1	Proprietary
1023	1	Public
1024	1	Public
1025	1	Public
1026	1	Private
1027	1	Private
1028	1	Private
1029	1	Private
1030	1	Private
1031	1	Private
1032	1	Public
1033	1	Private
1034	1	Public
1035	1	Public
1036	1	Public
1037	1	Public
1038	1	Private
1039	1	Public
1040	1	Public
1041	1	Public
1042	1	Proprietary
1043	1	Proprietary
1044	1	Proprietary
1045	1	Proprietary
1046	1	Proprietary
1047	1	Proprietary
1048	1	Proprietary
1049	1	Public
1050	1	Proprietary
1051	1	Proprietary
1052	1	Proprietary
1053	1	Public
1054	1	Private
1055	1	Public
1056	1	Public
1057	1	Public
1058	1	Private
1059	1	Public
1060	1	Private
1061	1	Public
1062	1	Proprietary
1063	1	Private
1064	1	Private
1065	1	Public
1066	1	Private
1067	1	Public
1068	1	Private
1069	1	Public
1070	1	Private
1071	1	Private
1072	1	Public
1073	1	Public
1074	1	Public
1075	1	Public
1076	1	Public
1077	1	Private
1078	1	Private
1079	1	Private
1080	1	Private
1081	1	Public
1082	1	Private
1083	1	Public
1084	1	Private
1085	1	Public
1086	1	Proprietary
1087	1	Proprietary
1088	1	Private
1089	1	Public
1090	1	Public
1091	1	Public
1092	1	Private
1093	1	Public
1094	1	Private
1095	1	Private
1096	1	Public
1097	1	Public
1098	1	Public
1099	1	Proprietary
1100	1	Proprietary
1101	1	Public
1102	1	Public
1103	1	Public
1104	1	Public
1105	1	Public
1106	1	Public
1107	1	Public
1108	1	Public
1109	1	Public
1110	1	Public
1111	1	Proprietary
1112	1	Proprietary
1113	1	Proprietary
1114	1	Public
1115	1	Public
1116	1	Public
1117	1	Public
1118	1	Public
1119	1	Public
1120	1	Public
1121	1	Public
1122	1	Private
1123	1	Public
1124	1	Public
1125	1	Private
1126	1	Proprietary
1127	1	Public
1128	1	Public
1129	1	Public
1130	1	Public
1131	1	Public
1132	1	Private
1133	1	Public
1134	1	Private
1135	1	Private
1136	1	Public
1137	1	Proprietary
1138	1	Private
1139	1	Private
1140	1	Public
1141	1	Private
1142	1	Private
1143	1	Private
1144	1	Private
1145	1	Private
1146	1	Public
1147	1	Proprietary
1148	1	Proprietary
1149	1	Public
1150	1	Public
1151	1	Public
1152	1	Public
1153	1	Public
1154	1	Private
1155	1	Proprietary
1156	1	Private
1157	1	Private
1158	1	Proprietary
1159	1	Proprietary
1160	1	Public
1161	1	Private
1162	1	Private
1163	1	Private
1164	1	Public
1165	1	Private
1166	1	Private
1167	1	Private
1168	1	Public
1169	1	Public
1170	1	Public
1171	1	Private
1172	1	Private
1173	1	Private
1174	1	Private
1175	1	Private
1176	1	Private
1177	1	Private
1178	1	Private
1179	1	Private
1180	1	Private
1181	1	Private
1182	1	Private
1183	1	Public
1184	1	Private
1185	1	Private
1186	1	Public
1187	1	Private
1188	1	Private
1189	1	Private
1190	1	Public
1191	1	Private
1192	1	Public
1193	1	Private
1194	1	Proprietary
1195	1	Private
1196	1	Public
1197	1	Proprietary
1198	1	Proprietary
1199	1	Public
1200	1	Private
1201	1	Private
1202	1	Private
1203	1	Private
1204	1	Private
1205	1	Private
1206	1	Public
1207	1	Proprietary
1208	1	Public
1209	1	Public
1210	1	Public
1211	1	Proprietary
1212	1	Proprietary
1213	1	Public
1214	1	Proprietary
1215	1	Private
1216	1	Public
1217	1	Public
1218	1	Public
1219	1	Public
1220	1	Public
1221	1	Public
1222	1	Public
1223	1	Public
1224	1	Public
1225	1	Public
1226	1	Public
1227	1	Public
1228	1	Public
1229	1	Public
1230	1	Private
1231	1	Private
1232	1	Public
1233	1	Public
1234	1	Private
1235	1	Public
1236	1	Public
1237	1	Private
1238	1	Public
1239	1	Public
1240	1	Public
1241	1	Private
1242	1	Proprietary
1243	1	Proprietary
1244	1	Public
1245	1	Public
1246	1	Public
1247	1	Public
1248	1	Public
1249	1	Public
1250	1	Private
1251	1	Private
1252	1	Private
1253	1	Public
1254	1	Public
1255	1	Public
1256	1	Public
1257	1	Public
1258	1	Public
1259	1	Public
1260	1	Public
1261	1	Private
1262	1	Public
1263	1	Public
1264	1	Public
1265	1	Public
1266	1	Private
1267	1	Private
1268	1	Public
1269	1	Private
1270	1	Public
1271	1	Private
1272	1	Public
1273	1	Public
1274	1	Private
1275	1	Private
1276	1	Private
1277	1	Public
1278	1	Private
1279	1	Public
1280	1	Public
1281	1	Proprietary
1282	1	Proprietary
1283	1	Proprietary
1284	1	Proprietary
1285	1	Proprietary
1286	1	Public
1287	1	Private
1288	1	Private
1289	1	Private
1290	1	Private
1291	1	Private
1292	1	Private
1293	1	Public
1294	1	Public
1295	1	Private
1296	1	Public
1297	1	Public
1298	1	Private
1299	1	Proprietary
1300	1	Private
1301	1	Proprietary
1302	1	Private
1303	1	Private
1304	1	Public
1305	1	Private
1306	1	Public
1307	1	Private
1308	1	Private
1309	1	Private
1310	1	Private
1311	1	Private
1312	1	Public
1313	1	Proprietary
1314	1	Proprietary
1315	1	Private
1316	1	Public
1317	1	Private
1318	1	Private
1319	1	Private
1320	1	Private
1321	1	Public
1322	1	Proprietary
1323	1	Public
1324	1	Public
1325	1	Public
1326	1	Public
1327	1	Public
1328	1	Public
1329	1	Public
1330	1	Public
1331	1	Private
1332	1	Public
1333	1	Public
1334	1	Public
1335	1	Public
1336	1	Public
1337	1	Public
1338	1	Private
1339	1	Private
1340	1	Public
1341	1	Public
1342	1	Public
1343	1	Public
1344	1	Public
1345	1	Private
1346	1	Private
1347	1	Private
1348	1	Public
1349	1	Public
1350	1	Public
1351	1	Public
1352	1	Public
1353	1	Public
1354	1	Public
1355	1	Public
1356	1	Public
1357	1	Public
1358	1	Public
1359	1	Public
1360	1	Private
1361	1	Public
1362	1	Public
1363	1	Public
1364	1	Public
1365	1	Public
1366	1	Public
1367	1	Public
1368	1	Public
1369	1	Public
1370	1	Private
1371	1	Public
1372	1	Proprietary
1373	1	Private
1374	1	Public
1375	1	Public
1376	1	Public
1377	1	Public
1378	1	Public
1379	1	Public
1380	1	Public
1381	1	Public
1382	1	Public
1383	1	Public
1384	1	Public
1385	1	Public
1386	1	Private
1387	1	Public
1388	1	Public
1389	1	Public
1390	1	Private
1391	1	Private
1392	1	Public
1393	1	Public
1394	1	Public
1395	1	Public
1396	1	Public
1397	1	Public
1398	1	Private
1399	1	Private
1400	1	Public
1401	1	Private
1402	1	Proprietary
1403	1	Proprietary
1404	1	Proprietary
1405	1	Proprietary
1406	1	Proprietary
1407	1	Public
1408	1	Private
1409	1	Public
1410	1	Public
1411	1	Proprietary
1412	1	Proprietary
1413	1	Proprietary
1414	1	Public
1415	1	Public
1416	1	Public
1417	1	Public
1418	1	Public
1419	1	Public
1420	1	Private
1421	1	Private
1422	1	Private
1423	1	Public
1424	1	Private
1425	1	Private
1426	1	Public
1427	1	Public
1428	1	Public
1429	1	Public
1430	1	Public
1431	1	Public
1432	1	Public
1433	1	Public
1434	1	Private
1435	1	Private
1436	1	Private
1437	1	Private
1438	1	Public
1439	1	Public
1440	1	Public
1441	1	Public
1442	1	Public
1443	1	Public
1444	1	Proprietary
1445	1	Private
1446	1	Private
1447	1	Public
1448	1	Public
1449	1	Public
1450	1	Public
1451	1	Private
1452	1	Private
1453	1	Private
1454	1	Private
1455	1	Public
1456	1	Private
1457	1	Public
1458	1	Public
1459	1	Public
1460	1	Public
1461	1	Public
1462	1	Public
1463	1	Public
1464	1	Public
1465	1	Public
1466	1	Public
1467	1	Public
1468	1	Public
1469	1	Public
1470	1	Public
1471	1	Public
1472	1	Public
1473	1	Public
1474	1	Public
1475	1	Public
1476	1	Public
1477	1	Public
1478	1	Public
1479	1	Private
1480	1	Private
1481	1	Private
1482	1	Public
1483	1	Private
1484	1	Public
1485	1	Private
1486	1	Private
1487	1	Private
1488	1	Proprietary
1489	1	Proprietary
1490	1	Proprietary
1491	1	Proprietary
1492	1	Proprietary
1493	1	Proprietary
1494	1	Proprietary
1495	1	Private
1496	1	Public
1497	1	Private
1498	1	Proprietary
1499	1	Private
1500	1	Private
1501	1	Private
1502	1	Private
1503	1	Public
1504	1	Proprietary
1505	1	Public
1506	1	Public
1507	1	Private
1508	1	Public
1509	1	Proprietary
1510	1	Proprietary
1511	1	Proprietary
1512	1	Public
1513	1	Public
1514	1	Public
1515	1	Private
1516	1	Private
1517	1	Private
1518	1	Public
1519	1	Proprietary
1520	1	Private
1521	1	Public
1522	1	Private
1523	1	Private
1524	1	Private
1525	1	Public
1526	1	Proprietary
1527	1	Private
1528	1	Public
1529	1	Private
1530	1	Private
1531	1	Private
1532	1	Public
1533	1	Private
1534	1	Private
1535	1	Private
1536	1	Public
1537	1	Public
1538	1	Public
1539	1	Public
1540	1	Private
1541	1	Public
1542	1	Public
1543	1	Public
1544	1	Private
1545	1	Public
1546	1	Private
1547	1	Public
1548	1	Private
1549	1	Private
1550	1	Private
1551	1	Public
1552	1	Public
1553	1	Public
1554	1	Proprietary
1555	1	Public
1556	1	Proprietary
1557	1	Proprietary
1558	1	Public
1559	1	Proprietary
1560	1	Proprietary
1561	1	Proprietary
1562	1	Proprietary
1563	1	Proprietary
1564	1	Proprietary
1565	1	Proprietary
1566	1	Public
1567	1	Public
1568	1	Public
1569	1	Public
1570	1	Public
1571	1	Public
1572	1	Public
1573	1	Private
1574	1	Public
1575	1	Proprietary
1576	1	Public
1577	1	Public
1578	1	Public
1579	1	Public
1580	1	Public
1581	1	Public
1582	1	Proprietary
1583	1	Public
1584	1	Public
1585	1	Public
1586	1	Public
1587	1	Private
1588	1	Private
1589	1	Private
1590	1	Public
1591	1	Proprietary
1592	1	Proprietary
1593	1	Proprietary
1594	1	Proprietary
1595	1	Proprietary
1596	1	Proprietary
1597	1	Proprietary
1598	1	Proprietary
1599	1	Proprietary
1600	1	Proprietary
1601	1	Proprietary
1602	1	Proprietary
1603	1	Public
1604	1	Private
1605	1	Private
1606	1	Private
1607	1	Private
1608	1	Private
1609	1	Private
1610	1	Private
1611	1	Private
1612	1	Private
1613	1	Private
1614	1	Private
1615	1	Private
