university	collegenavigator	type
0077	1	4-year, Private not-for-profit
0078	1	&lt; 2-year, Private for-profit
0079	1	4-year, Private not-for-profit
0080	1	4-year, Private not-for-profit
0081	1	&lt; 2-year, Private for-profit
0082	1	2-year, Public
0083	1	2-year, Private for-profit
0084	1	4-year, Private not-for-profit
0085	1	4-year, Private not-for-profit
0086	1	2-year, Public
0087	1	&lt; 2-year, Private not-for-profit
0088	1	4-year, Private not-for-profit
0089	1	2-year, Public
0090	1	2-year, Public
0091	1	4-year, Private not-for-profit
0092	1	4-year, Private for-profit
0093	1	4-year, Private for-profit
0094	1	4-year, Public
0095	1	&lt; 2-year, Private for-profit
0096	1	4-year, Public
0097	1	4-year, Private for-profit
0098	1	4-year, Private for-profit
0099	1	4-year, Public
0100	1	2-year, Public
0101	1	&lt; 2-year, Private for-profit
0102	1	2-year, Private for-profit
0103	1	2-year, Public
0104	1	4-year, Public
0105	1	4-year, primarily associate's, Private for-profit
0106	1	2-year, Public
0107	1	2-year, Public
0108	1	&lt; 2-year, Private for-profit
0109	1	&lt; 2-year, Private for-profit
0110	1	2-year, Public
0111	1	2-year, Public
0112	1	4-year, primarily associate's, Public
0113	1	2-year, Public
0114	1	4-year, Private not-for-profit
0115	1	4-year, primarily associate's, Private not-for-profit
0116	1	2-year, Private for-profit
0117	1	4-year, Private for-profit
0118	1	&lt; 2-year, Private for-profit
0119	1	4-year, Private not-for-profit
0120	1	4-year, Private not-for-profit
0121	1	2-year, Public
0122	1	4-year, primarily associate's, Private not-for-profit
0123	1	4-year, Private not-for-profit
0124	1	4-year, Private not-for-profit
0125	1	4-year, Private not-for-profit
0126	1	2-year, Public
0127	1	2-year, Public
0128	1	2-year, Private for-profit
0129	1	2-year, Private for-profit
0130	1	2-year, Private for-profit
0131	1	4-year, Public
0132	1	4-year, Private not-for-profit
0133	1	4-year, Private for-profit
0134	1	4-year, Private not-for-profit
0135	1	2-year, Public
0136	1	2-year, Public
0137	1	2-year, Private for-profit
0138	1	4-year, Public
0139	1	4-year, Private for-profit
0140	1	&lt; 2-year, Private for-profit
0141	1	4-year, Private not-for-profit
0142	1	4-year, Private not-for-profit
0143	1	4-year, Private not-for-profit
0144	1	4-year, primarily associate's, Private for-profit
0145	1	2-year, Public
0146	1	2-year, Private for-profit
0147	1	2-year, Private for-profit
0148	1	2-year, Private for-profit
0149	1	4-year, Private not-for-profit
0150	1	2-year, Private for-profit
0151	1	4-year, Private for-profit
0152	1	4-year, Private for-profit
0153	1	4-year, Private for-profit
0154	1	4-year, primarily associate's, Private for-profit
0155	1	&lt; 2-year, Private for-profit
0156	1	4-year, Private for-profit
0157	1	&lt; 2-year, Public
0158	1	&lt; 2-year, Private for-profit
0159	1	&lt; 2-year, Private for-profit
0160	1	&lt; 2-year, Private for-profit
0161	1	&lt; 2-year, Private for-profit
0162	1	&lt; 2-year, Private for-profit
0163	1	4-year, Private not-for-profit
0164	1	4-year, primarily associate's, Private for-profit
0165	1	2-year, Public
0166	1	2-year, Public
0167	1	2-year, Public
0168	1	4-year, Private not-for-profit
0169	1	4-year, Private not-for-profit
0170	1	4-year, Private not-for-profit
0171	1	4-year, Private not-for-profit
0172	1	&lt; 2-year, Private for-profit
0173	1	4-year, Private not-for-profit
0174	1	&lt; 2-year, Private for-profit
0175	1	&lt; 2-year, Private for-profit
0176	1	&lt; 2-year, Private for-profit
0177	1	&lt; 2-year, Private for-profit
0178	1	2-year, Private for-profit
0179	1	&lt; 2-year, Private for-profit
0180	1	2-year, Public
0181	1	&lt; 2-year, Private for-profit
0182	1	&lt; 2-year, Private for-profit
0183	1	4-year, primarily associate's, Private for-profit
0184	1	4-year, primarily associate's, Private for-profit
0185	1	2-year, Public
0186	1	2-year, Public
0187	1	2-year, Private for-profit
0188	1	4-year, Private not-for-profit
0189	1	2-year, Public
0190	1	4-year, Private not-for-profit
0191	1	4-year, Private not-for-profit
0192	1	4-year, primarily associate's, Private for-profit
0193	1	&lt; 2-year, Private for-profit
0194	1	4-year, Private not-for-profit
0195	1	&lt; 2-year, Private for-profit
0196	1	4-year, Private not-for-profit
0197	1	4-year, Private not-for-profit
0198	1	2-year, Private for-profit
0199	1	4-year, Private not-for-profit
0200	1	4-year, Private for-profit
0201	1	2-year, Public
0202	1	&lt; 2-year, Private for-profit
0203	1	&lt; 2-year, Private for-profit
0204	1	4-year, primarily associate's, Private for-profit
0205	1	4-year, Private for-profit
0206	1	&lt; 2-year, Private for-profit
0207	1	&lt; 2-year, Private for-profit
0208	1	&lt; 2-year, Private for-profit
0209	1	&lt; 2-year, Private for-profit
0210	1	&lt; 2-year, Private for-profit
0211	1	2-year, Public
0212	1	2-year, Public
0213	1	4-year, Private not-for-profit
0214	1	4-year, Private not-for-profit
0215	1	&lt; 2-year, Private for-profit
0216	1	4-year, Private for-profit
0217	1	2-year, Private for-profit
0218	1	&lt; 2-year, Private for-profit
0219	1	4-year, Public
0220	1	&lt; 2-year, Private for-profit
0221	1	2-year, Public
0222	1	4-year, Public
0223	1	4-year, Private not-for-profit
0224	1	4-year, Private not-for-profit
0225	1	4-year, Private for-profit
0226	1	4-year, Private not-for-profit
0227	1	&lt; 2-year, Private for-profit
0228	1	&lt; 2-year, Private for-profit
0229	1	&lt; 2-year, Private for-profit
0230	1	4-year, primarily associate's, Private not-for-profit
0231	1	4-year, Private not-for-profit
0232	1	&lt; 2-year, Private for-profit
0233	1	4-year, Private not-for-profit
0234	1	4-year, Public
0235	1	4-year, Public
0236	1	&lt; 2-year, Private for-profit
0237	1	4-year, Private not-for-profit
0238	1	2-year, Private for-profit
0239	1	2-year, Private for-profit
0240	1	2-year, Private for-profit
0241	1	4-year, Private not-for-profit
0242	1	&lt; 2-year, Private for-profit
0243	1	2-year, Private for-profit
0244	1	4-year, Public
0245	1	4-year, primarily associate's, Private for-profit
0246	1	4-year, Private not-for-profit
0247	1	4-year, Private not-for-profit
0248	1	&lt; 2-year, Private for-profit
0249	1	4-year, Private not-for-profit
0250	1	&lt; 2-year, Private for-profit
0251	1	2-year, Private for-profit
0252	1	4-year, primarily associate's, Private for-profit
0253	1	4-year, primarily associate's, Private for-profit
0254	1	2-year, Private for-profit
0255	1	&lt; 2-year, Private for-profit
0256	1	4-year, Public
0257	1	4-year, Public
0258	1	4-year, Public
0259	1	4-year, Private not-for-profit
0260	1	2-year, Private for-profit
0261	1	4-year, primarily associate's, Private for-profit
0262	1	2-year, Public
0263	1	2-year, Public
0264	1	&lt; 2-year, Private for-profit
0265	1	2-year, Private for-profit
0266	1	2-year, Private for-profit
0267	1	2-year, Private for-profit
0268	1	4-year, primarily associate's, Private not-for-profit
0269	1	4-year, Private not-for-profit
0270	1	&lt; 2-year, Private for-profit
0271	1	&lt; 2-year, Private for-profit
0272	1	4-year, Public
0273	1	&lt; 2-year, Private for-profit
0274	1	&lt; 2-year, Private for-profit
0275	1	2-year, Private not-for-profit
0276	1	&lt; 2-year, Private for-profit
0277	1	4-year, Private not-for-profit
0278	1	&lt; 2-year, Private for-profit
0279	1	4-year, Private not-for-profit
0280	1	4-year, Private not-for-profit
0281	1	4-year, Private not-for-profit
0282	1	4-year, Private not-for-profit
0283	1	2-year, Public
0284	1	&lt; 2-year, Private for-profit
0285	1	&lt; 2-year, Private for-profit
0286	1	&lt; 2-year, Private for-profit
0287	1	4-year, Private not-for-profit
0288	1	4-year, Private not-for-profit
0289	1	2-year, Public
0290	1	4-year, Private not-for-profit
0291	1	2-year, Private for-profit
0292	1	4-year, Private not-for-profit
0293	1	4-year, Private not-for-profit
0294	1	&lt; 2-year, Public
0295	1	2-year, Public
0296	1	4-year, Private not-for-profit
0297	1	2-year, Public
0298	1	4-year, primarily associate's, Public
0299	1	2-year, Public
0300	1	2-year, Public
0301	1	2-year, Public
0302	1	4-year, Public
0303	1	4-year, primarily associate's, Private for-profit
0304	1	2-year, Public
0305	1	2-year, Public
0306	1	&lt; 2-year, Private for-profit
0307	1	&lt; 2-year, Private for-profit
0308	1	4-year, Private for-profit
0309	1	4-year, Private not-for-profit
0310	1	4-year, Private not-for-profit
0311	1	4-year, Private not-for-profit
0312	1	&lt; 2-year, Private for-profit
0313	1	4-year, Private not-for-profit
0314	1	4-year, Private not-for-profit
0315	1	4-year, Private not-for-profit
0316	1	4-year, Private not-for-profit
0317	1	4-year, primarily associate's, Private for-profit
0318	1	4-year, primarily associate's, Private for-profit
0319	1	2-year, Private for-profit
0320	1	2-year, Private for-profit
0321	1	2-year, Private for-profit
0322	1	2-year, Private for-profit
0323	1	&lt; 2-year, Private not-for-profit
0324	1	2-year, Private for-profit
0325	1	2-year, Public
0326	1	&lt; 2-year, Private for-profit
0327	1	4-year, primarily associate's, Private for-profit
0328	1	4-year, primarily associate's, Private for-profit
0329	1	2-year, Public
0330	1	2-year, Private for-profit
0331	1	4-year, Private not-for-profit
0332	1	4-year, primarily associate's, Private for-profit
0333	1	2-year, Private for-profit
0334	1	4-year, Private not-for-profit
0335	1	2-year, Public
0336	1	4-year, Private not-for-profit
0337	1	4-year, primarily associate's, Private for-profit
0338	1	4-year, Private not-for-profit
0339	1	4-year, Private not-for-profit
0340	1	4-year, Private not-for-profit
0341	1	4-year, Public
0342	1	4-year, Public
0343	1	&lt; 2-year, Private for-profit
0344	1	&lt; 2-year, Private for-profit
0345	1	&lt; 2-year, Private for-profit
0346	1	4-year, primarily associate's, Private for-profit
0347	1	4-year, Private not-for-profit
0348	1	&lt; 2-year, Private for-profit
0349	1	&lt; 2-year, Private for-profit
0350	1	2-year, Private for-profit
0351	1	2-year, Private not-for-profit
0352	1	2-year, Private for-profit
0353	1	2-year, Private for-profit
0354	1	2-year, Public
0355	1	2-year, Public
0356	1	2-year, Private for-profit
0357	1	2-year, Private for-profit
0358	1	4-year, Private not-for-profit
0359	1	2-year, Public
0360	1	4-year, Public
0361	1	4-year, Public
0362	1	4-year, Public
0363	1	4-year, Private not-for-profit
0364	1	4-year, Public
0365	1	&lt; 2-year, Private for-profit
0366	1	2-year, Private for-profit
0367	1	&lt; 2-year, Private for-profit
0368	1	2-year, Public
0369	1	&lt; 2-year, Private for-profit
0370	1	2-year, Private for-profit
0371	1	2-year, Private for-profit
0372	1	&lt; 2-year, Private for-profit
0373	1	2-year, Public
0374	1	&lt; 2-year, Private for-profit
0375	1	4-year, Private not-for-profit
0376	1	2-year, Private for-profit
0377	1	&lt; 2-year, Private for-profit
0378	1	&lt; 2-year, Private for-profit
0379	1	4-year, Private not-for-profit
0380	1	&lt; 2-year, Public
0381	1	4-year, Private not-for-profit
0382	1	&lt; 2-year, Private for-profit
0383	1	2-year, Private for-profit
0384	1	4-year, Private not-for-profit
0385	1	&lt; 2-year, Public
0386	1	2-year, Public
0387	1	4-year, primarily associate's, Private not-for-profit
0388	1	4-year, Private not-for-profit
0389	1	4-year, Private not-for-profit
0390	1	4-year, Private not-for-profit
0391	1	4-year, Private not-for-profit
0392	1	4-year, Private not-for-profit
0393	1	4-year, Private not-for-profit
0394	1	4-year, Public
0395	1	2-year, Public
0396	1	2-year, Private for-profit
0397	1	2-year, Public
0398	1	4-year, Private not-for-profit
0399	1	4-year, Private not-for-profit
0400	1	4-year, Private not-for-profit
0401	1	&lt; 2-year, Private for-profit
0402	1	&lt; 2-year, Private for-profit
0403	1	4-year, Private not-for-profit
0404	1	&lt; 2-year, Private for-profit
0405	1	4-year, Public
0406	1	4-year, Private not-for-profit
0407	1	4-year, Private not-for-profit
0408	1	&lt; 2-year, Private for-profit
0409	1	4-year, Private not-for-profit
0410	1	2-year, Private not-for-profit
0411	1	&lt; 2-year, Private for-profit
0412	1	&lt; 2-year, Private for-profit
0413	1	&lt; 2-year, Private for-profit
0414	1	4-year, Private not-for-profit
0415	1	4-year, Private not-for-profit
0416	1	2-year, Public
0417	1	2-year, Public
0418	1	&lt; 2-year, Private for-profit
0419	1	4-year, Private not-for-profit
0420	1	2-year, Private for-profit
0421	1	4-year, Private not-for-profit
0422	1	4-year, primarily associate's, Private for-profit
0423	1	4-year, Private not-for-profit
0424	1	4-year, Private not-for-profit
0425	1	4-year, Private not-for-profit
0426	1	2-year, Public
0427	1	2-year, Public
0428	1	2-year, Private for-profit
0429	1	&lt; 2-year, Public
0430	1	4-year, Private not-for-profit
0431	1	2-year, Public
0432	1	4-year, Private not-for-profit
0433	1	4-year, Private for-profit
0434	1	4-year, Private not-for-profit
0435	1	2-year, Public
0436	1	2-year, Private for-profit
0437	1	&lt; 2-year, Private for-profit
0438	1	&lt; 2-year, Private for-profit
0439	1	4-year, Private not-for-profit
0440	1	4-year, Private not-for-profit
0441	1	4-year, Private not-for-profit
0442	1	&lt; 2-year, Private for-profit
0443	1	2-year, Private for-profit
0444	1	4-year, Public
0445	1	4-year, Public
0446	1	4-year, Public
0447	1	4-year, Private for-profit
0448	1	&lt; 2-year, Public
0449	1	2-year, Private not-for-profit
0450	1	4-year, Private not-for-profit
0451	1	4-year, Private not-for-profit
0452	1	4-year, Public
0453	1	&lt; 2-year, Private for-profit
0454	1	2-year, Public
0455	1	&lt; 2-year, Private for-profit
0456	1	2-year, Public
0457	1	2-year, Public
0458	1	4-year, primarily associate's, Private for-profit
0459	1	4-year, Private not-for-profit
0460	1	&lt; 2-year, Private for-profit
0461	1	4-year, Private not-for-profit
0462	1	&lt; 2-year, Private for-profit
0463	1	4-year, Private not-for-profit
0464	1	4-year, primarily associate's, Private not-for-profit
0465	1	&lt; 2-year, Private for-profit
0466	1	4-year, Public
0467	1	4-year, Private not-for-profit
0468	1	4-year, Private for-profit
0469	1	2-year, Public
0470	1	&lt; 2-year, Private for-profit
0471	1	4-year, Private not-for-profit
0472	1	4-year, primarily associate's, Private for-profit
0473	1	2-year, Private for-profit
0474	1	&lt; 2-year, Private for-profit
0475	1	&lt; 2-year, Private for-profit
0476	1	&lt; 2-year, Private for-profit
0477	1	4-year, Private not-for-profit
0478	1	2-year, Private for-profit
0479	1	2-year, Public
0480	1	&lt; 2-year, Private for-profit
0481	1	&lt; 2-year, Private for-profit
0482	1	4-year, Private not-for-profit
0483	1	&lt; 2-year, Private for-profit
0484	1	2-year, Private for-profit
0485	1	2-year, Public
0486	1	4-year, Private not-for-profit
0487	1	4-year, Public
0488	1	&lt; 2-year, Private for-profit
0489	1	&lt; 2-year, Private for-profit
0490	1	4-year, Public
0491	1	4-year, Public
0492	1	4-year, Public
0493	1	2-year, Public
0494	1	4-year, Private not-for-profit
0495	1	2-year, Public
0496	1	&lt; 2-year, Private for-profit
0497	1	4-year, primarily associate's, Private not-for-profit
0498	1	4-year, primarily associate's, Private not-for-profit
0499	1	4-year, primarily associate's, Private not-for-profit
0500	1	&lt; 2-year, Private for-profit
0501	1	2-year, Private for-profit
0502	1	4-year, Public
0503	1	4-year, Private not-for-profit
0504	1	4-year, Private not-for-profit
0505	1	4-year, Private not-for-profit
0506	1	4-year, Private not-for-profit
0507	1	4-year, Private not-for-profit
0508	1	4-year, Private not-for-profit
0509	1	4-year, primarily associate's, Private for-profit
0510	1	&lt; 2-year, Private for-profit
0511	1	4-year, Private not-for-profit
0512	1	&lt; 2-year, Private for-profit
0513	1	&lt; 2-year, Private for-profit
0514	1	2-year, Public
0515	1	4-year, Private not-for-profit
0516	1	4-year, Private not-for-profit
0517	1	&lt; 2-year, Private for-profit
0518	1	4-year, primarily associate's, Private for-profit
0519	1	4-year, primarily associate's, Private for-profit
0520	1	4-year, primarily associate's, Private for-profit
0521	1	2-year, Public
0522	1	2-year, Public
0523	1	2-year, Public
0524	1	4-year, Private not-for-profit
0525	1	&lt; 2-year, Private for-profit
0526	1	&lt; 2-year, Private for-profit
0527	1	4-year, Private not-for-profit
0528	1	4-year, Public
0529	1	4-year, Public
0530	1	2-year, Public
0531	1	2-year, Public
0532	1	2-year, Public
0533	1	2-year, Public
0534	1	2-year, Public
0535	1	4-year, Private not-for-profit
0536	1	&lt; 2-year, Private for-profit
0537	1	&lt; 2-year, Private for-profit
0538	1	&lt; 2-year, Private for-profit
0539	1	&lt; 2-year, Private for-profit
0540	1	&lt; 2-year, Private for-profit
0541	1	&lt; 2-year, Private for-profit
0542	1	2-year, Private for-profit
0543	1	4-year, primarily associate's, Private for-profit
0544	1	4-year, Private not-for-profit
0545	1	&lt; 2-year, Private for-profit
0546	1	&lt; 2-year, Private for-profit
0547	1	&lt; 2-year, Private for-profit
0548	1	4-year, Public
0549	1	&lt; 2-year, Private for-profit
0550	1	4-year, Private for-profit
0551	1	2-year, Public
0552	1	2-year, Public
0553	1	4-year, Private not-for-profit
0554	1	4-year, Private not-for-profit
0555	1	4-year, Private not-for-profit
0556	1	2-year, Public
0557	1	4-year, Private not-for-profit
0558	1	4-year, Public
0559	1	4-year, Private for-profit
0560	1	2-year, Public
0561	1	4-year, Private for-profit
0562	1	&lt; 2-year, Private for-profit
0563	1	&lt; 2-year, Private for-profit
0564	1	2-year, Public
0565	1	4-year, primarily associate's, Private for-profit
0566	1	2-year, Private for-profit
0567	1	2-year, Public
0568	1	2-year, Private for-profit
0569	1	4-year, Private not-for-profit
0570	1	2-year, Public
0571	1	4-year, primarily associate's, Private for-profit
0572	1	4-year, primarily associate's, Private for-profit
0573	1	&lt; 2-year, Private for-profit
0574	1	&lt; 2-year, Private for-profit
0575	1	4-year, Private for-profit
0576	1	4-year, primarily associate's, Private for-profit
0577	1	2-year, Public
0578	1	2-year, Public
0579	1	4-year, Private not-for-profit
0580	1	&lt; 2-year, Private for-profit
0581	1	4-year, Private for-profit
0582	1	4-year, Private for-profit
0583	1	4-year, primarily associate's, Private for-profit
0584	1	&lt; 2-year, Private for-profit
0585	1	&lt; 2-year, Private for-profit
0586	1	2-year, Public
0587	1	2-year, Public
0588	1	2-year, Public
0589	1	2-year, Public
0590	1	4-year, Public
0591	1	4-year, Private not-for-profit
0592	1	4-year, Public
0593	1	4-year, Private not-for-profit
0594	1	2-year, Public
0595	1	2-year, Private not-for-profit
0596	1	4-year, Private not-for-profit
0597	1	4-year, Private not-for-profit
0598	1	&lt; 2-year, Public
0599	1	4-year, Private for-profit
0600	1	4-year, Private not-for-profit
0601	1	2-year, Private for-profit
0602	1	4-year, Private not-for-profit
0603	1	2-year, Private for-profit
0604	1	&lt; 2-year, Private for-profit
0605	1	2-year, Private for-profit
0606	1	4-year, Private not-for-profit
0607	1	4-year, Private not-for-profit
0608	1	4-year, Private not-for-profit
0609	1	&lt; 2-year, Public
0610	1	4-year, Private not-for-profit
0611	1	2-year, Private not-for-profit
0612	1	2-year, Private not-for-profit
0613	1	4-year, Private not-for-profit
0614	1	&lt; 2-year, Private for-profit
0615	1	&lt; 2-year, Public
0616	1	4-year, primarily associate's, Private for-profit
0617	1	4-year, Private not-for-profit
0618	1	4-year, primarily associate's, Private for-profit
0619	1	4-year, Public
0620	1	&lt; 2-year, Private for-profit
0621	1	2-year, Private for-profit
0622	1	4-year, Private not-for-profit
0623	1	&lt; 2-year, Public
0624	1	4-year, Private not-for-profit
0625	1	&lt; 2-year, Private for-profit
0626	1	4-year, Public
0627	1	4-year, Private not-for-profit
0628	1	4-year, Private not-for-profit
0629	1	2-year, Public
0630	1	2-year, Public
0631	1	2-year, Public
0632	1	4-year, Private not-for-profit
0633	1	&lt; 2-year, Public
0634	1	4-year, Private not-for-profit
0635	1	&lt; 2-year, Public
0636	1	2-year, Public
0637	1	2-year, Public
0638	1	&lt; 2-year, Public
0639	1	4-year, Public
0640	1	4-year, Private not-for-profit
0641	1	4-year, primarily associate's, Private not-for-profit
0642	1	&lt; 2-year, Private for-profit
0643	1	2-year, Public
0644	1	4-year, Private not-for-profit
0645	1	4-year, Private not-for-profit
0646	1	4-year, Private not-for-profit
0647	1	4-year, Private not-for-profit
0648	1	4-year, Private not-for-profit
0649	1	4-year, Private not-for-profit
0650	1	&lt; 2-year, Private for-profit
0651	1	&lt; 2-year, Public
0652	1	2-year, Public
0653	1	4-year, Private not-for-profit
0654	1	2-year, Public
0655	1	&lt; 2-year, Private for-profit
0656	1	4-year, Public
0657	1	4-year, Private for-profit
0658	1	4-year, Private for-profit
0659	1	2-year, Private for-profit
0660	1	4-year, primarily associate's, Private for-profit
0661	1	2-year, Private for-profit
0662	1	2-year, Private not-for-profit
0663	1	4-year, Private not-for-profit
0664	1	2-year, Public
0665	1	2-year, Public
0666	1	2-year, Public
0667	1	&lt; 2-year, Private for-profit
0668	1	2-year, Public
0669	1	&lt; 2-year, Private for-profit
0670	1	2-year, Public
0671	1	2-year, Public
0672	1	&lt; 2-year, Private for-profit
0673	1	4-year, Public
0674	1	2-year, Public
0675	1	4-year, Private not-for-profit
0676	1	4-year, Public
0677	1	4-year, Public
0678	1	4-year, Private not-for-profit
0679	1	&lt; 2-year, Private for-profit
0680	1	&lt; 2-year, Private for-profit
0681	1	2-year, Private for-profit
0682	1	2-year, Public
0683	1	2-year, Public
0684	1	2-year, Public
0685	1	4-year, Public
0686	1	2-year, Public
0687	1	4-year, Public
0688	1	2-year, Public
0689	1	4-year, Private not-for-profit
0690	1	4-year, Public
0691	1	4-year, Private not-for-profit
0692	1	4-year, primarily associate's, Private not-for-profit
0693	1	4-year, Private not-for-profit
0694	1	2-year, Public
0695	1	&lt; 2-year, Private for-profit
0696	1	2-year, Public
0697	1	4-year, Private not-for-profit
0698	1	2-year, Public
0699	1	4-year, Private for-profit
0700	1	2-year, Public
0701	1	4-year, Private for-profit
0702	1	4-year, Private not-for-profit
0703	1	2-year, Public
0704	1	2-year, Public
0705	1	2-year, Public
0706	1	4-year, Public
0707	1	4-year, Private not-for-profit
0708	1	&lt; 2-year, Private for-profit
0709	1	4-year, Public
0710	1	2-year, Public
0711	1	4-year, Private not-for-profit
0712	1	2-year, Public
0713	1	4-year, Private not-for-profit
0714	1	4-year, primarily associate's, Private for-profit
0715	1	4-year, primarily associate's, Private not-for-profit
0716	1	2-year, Public
0717	1	4-year, Private not-for-profit
0718	1	4-year, Private not-for-profit
0719	1	2-year, Private not-for-profit
0720	1	4-year, primarily associate's, Private for-profit
0721	1	2-year, Public
0722	1	4-year, Private not-for-profit
0723	1	4-year, Private for-profit
0724	1	4-year, Private for-profit
0725	1	&lt; 2-year, Private for-profit
0726	1	2-year, Private for-profit
0727	1	2-year, Public
0728	1	4-year, Public
0729	1	4-year, Public
0730	1	4-year, Private not-for-profit
0731	1	2-year, Public
0732	1	2-year, Public
0733	1	2-year, Public
0734	1	2-year, Public
0735	1	4-year, Private for-profit
0736	1	&lt; 2-year, Private for-profit
0737	1	4-year, Public
0738	1	4-year, Public
0739	1	4-year, Private for-profit
0740	1	2-year, Public
0741	1	2-year, Public
0742	1	4-year, Private not-for-profit
0743	1	2-year, Private not-for-profit
0744	1	2-year, Public
0745	1	2-year, Public
0746	1	4-year, Private not-for-profit
0747	1	2-year, Private for-profit
0748	1	2-year, Private for-profit
0749	1	2-year, Private for-profit
0750	1	4-year, Private not-for-profit
0751	1	4-year, Public
0752	1	2-year, Private for-profit
0753	1	2-year, Private not-for-profit
0754	1	4-year, Public
0755	1	4-year, Private not-for-profit
0756	1	4-year, Private not-for-profit
0757	1	2-year, Private not-for-profit
0758	1	2-year, Private for-profit
0759	1	2-year, Private for-profit
0760	1	4-year, Private not-for-profit
0761	1	&lt; 2-year, Private for-profit
0762	1	&lt; 2-year, Private for-profit
0763	1	4-year, Private not-for-profit
0764	1	2-year, Private for-profit
0765	1	2-year, Public
0766	1	4-year, primarily associate's, Private for-profit
0767	1	2-year, Private for-profit
0768	1	4-year, Private not-for-profit
0769	1	&lt; 2-year, Private for-profit
0770	1	4-year, Public
0771	1	4-year, Public
0772	1	2-year, Public
0773	1	2-year, Public
0774	1	&lt; 2-year, Private for-profit
0775	1	&lt; 2-year, Private for-profit
0776	1	4-year, Public
0777	1	&lt; 2-year, Private for-profit
0778	1	&lt; 2-year, Private for-profit
0779	1	2-year, Public
0780	1	4-year, Private for-profit
0781	1	4-year, Private not-for-profit
0782	1	2-year, Public
0783	1	&lt; 2-year, Private for-profit
0784	1	&lt; 2-year, Private for-profit
0785	1	&lt; 2-year, Private for-profit
0786	1	2-year, Public
0787	1	2-year, Public
0788	1	&lt; 2-year, Private for-profit
0789	1	4-year, Private not-for-profit
0790	1	2-year, Private for-profit
0791	1	2-year, Private for-profit
0792	1	4-year, Private not-for-profit
0793	1	4-year, Private not-for-profit
0794	1	4-year, Private not-for-profit
0795	1	2-year, Public
0796	1	2-year, Private not-for-profit
0797	1	4-year, Public
0798	1	&lt; 2-year, Private for-profit
0799	1	2-year, Private for-profit
0800	1	2-year, Private for-profit
0801	1	2-year, Public
0802	1	&lt; 2-year, Private for-profit
0803	1	4-year, Private not-for-profit
0804	1	&lt; 2-year, Private for-profit
0805	1	&lt; 2-year, Private for-profit
0806	1	4-year, primarily associate's, Private not-for-profit
0807	1	&lt; 2-year, Private for-profit
0808	1	&lt; 2-year, Private for-profit
0809	1	4-year, Public
0810	1	2-year, Private not-for-profit
0811	1	&lt; 2-year, Private for-profit
0812	1	4-year, Private not-for-profit
0813	1	&lt; 2-year, Private for-profit
0814	1	&lt; 2-year, Private for-profit
0815	1	&lt; 2-year, Private for-profit
0816	1	&lt; 2-year, Private for-profit
0817	1	2-year, Public
0818	1	4-year, Private not-for-profit
