university	studentaid	name
0102	1	Pinellas Technical Education Centers - Clearwater
0103	1	Pitt Community College
0104	1	Pittsburgh Technical Institute
0105	1	PJA School
0106	1	Plaza Business Institute
0107	1	Plymouth State College
0108	1	Point Loma Nazarene University
0109	1	Point Park College
0110	1	Polk Community College
0111	1	Polytechnic University
0112	1	Polytechnic University of Puerto Rico
0113	1	Portland Community College
0114	1	Portland State University
0115	1	Post University
0116	1	Potomac State College of West Virginia University
0117	1	Prairie View A&M University
0118	1	Pratt Community College
0119	1	Pratt Institute
0120	1	Premiere Career College
0121	1	Presbyterian College
0122	1	Prescott College
0123	1	Prince George's Community College
0124	1	Prince William Sound Community College
0125	1	Providence College and Theological Seminary
0126	1	Pulaski Technical College
0127	1	Purdue University
0128	1	Purdue University - Calumet
0129	1	Putnam County Technical Center
0130	1	Rensselaer at Hartford
0131	1	Research College of Nursing
0132	1	Rhode Island School of Design
0133	1	Rhodes College
0134	1	Rhodes State College
0135	1	Rice University
0136	1	Rich Mountain Community College
0137	1	Richard Bland College
0138	1	Ricks College
0139	1	Ridgewater College - Hutchinson
0140	1	Ringling School of Art and Design
0141	1	Ripon College
0142	1	River Parishes Community College
0143	1	Riverland Community College - Austin
0144	1	Riverside City College
0145	1	Rivier College
0146	1	Roanoke Bible College
0147	1	Roanoke College
0148	1	Roanoke-Chowan Community College
0149	1	Robert Morgan Vocational-Technical Center
0150	1	Robert Morris University
0151	1	Rochester Business Institute
0152	1	Rochester Institute of Technology
0153	1	Rockingham Community College
0154	1	Rockland Community College
0155	1	Rockland Community College - Haverstraw Learning Center
0156	1	Rocky Mountain College of Art + Design
0157	1	Rogers State University
0158	1	L. E. Fletcher Technical Community College
0159	1	La Salle University
0160	1	Laboratory Institute of Merchandising
0161	1	Laboure College
0162	1	Lac Courte Oreilles Ojibwa Community College
0163	1	Lackawanna College - Scranton
0164	1	LaGrange College
0165	1	LaGuardia Community College
0166	1	Laguna College of Art and Design
0167	1	Lake Forest College
0168	1	Lake Land College
0169	1	Lake Region State College
0170	1	Lake Tahoe Community College
0171	1	Lake Washington Technical College
0172	1	Lake-Sumter Community College
0173	1	Lakeland College
0174	1	Lakeland Community College
0175	1	Lakeshore Technical College
0176	1	Lakeview College of Nursing
0177	1	Lamar Community College
0178	1	Lamar University
0179	1	Lambuth University
0180	1	Lancaster Bible College
0181	1	Rolla Technical Institute
0182	1	Rosedale Technical Institute
0183	1	Rowan University
0184	1	Rowan-Cabarrus Community College
0185	1	Roxbury Community College
0186	1	Rush University
0187	1	Russell Sage College
0188	1	Rust College
0189	1	Rutgers University - Camden Campus
0190	1	Rutgers University - Camden College of Arts and Sciences
0191	1	Rutgers University - College of Nursing
0192	1	Rutgers University - College of Pharmacy
0193	1	Rutgers University - Mason Gross School of the Arts
0194	1	Rutgers University - New Brunswick Campus
0195	1	Rutgers University - Newark Campus
0196	1	Rutgers University - School of Engineering
0197	1	Ryerson Polytechnic University
0198	1	Saint Mary's University of Minnesota
0199	1	Saint Mary-of-the-Woods College
0200	1	Saint Paul Technical College
0201	1	Saint Paul's College
0202	1	Saint Peter's College
0203	1	Saint Petersburg College - Clearwater Campus
0204	1	Saint Petersburg College - Tarpon Springs Campus
0205	1	Saint Xavier University
0206	1	Salem Community College
0207	1	Salem County Vocational-Technical Schools
0208	1	Salem International University
0209	1	Salem State College
0210	1	Salisbury State University
0211	1	Salish Kootenai College
0212	1	Salt Lake Community College
0213	1	Samford University
0214	1	Sampson Community College
0215	1	Samuel Merritt University
0216	1	San Diego Christian College
0217	1	San Diego Mesa College
0218	1	San Diego Miramar College
0219	1	San Diego State University
0220	1	San Francisco Art Institute
0221	1	San Francisco Conservatory of Music
0222	1	San Jose State University
0223	1	San Juan College
0224	1	Sandersville Technical College
0225	1	Sanford-Brown College - St. Charles
0226	1	Santa Barbara City College
0227	1	Santa Clara University
0228	1	Santa Fe College
0229	1	Santa Fe Community College - Santa Fe
0230	1	Santa Rosa Junior College
0231	1	Sarah Lawrence College
0232	1	Sarasota County Technical Institute
0233	1	Savannah College of Art and Design, The
0234	1	Savannah State University
0235	1	Schenectady County Community College
0236	1	School of the Art Institute of Chicago, The
0237	1	School of Visual Arts
0238	1	Scott Community College
0239	1	Scottsdale Community College
0240	1	Seattle Central Community College
0241	1	Seattle Pacific University
0242	1	Seattle University
0243	1	Seminary Extension Independent Study Institute
0244	1	Seminole Community College
0245	1	Seminole State College
0246	1	Seton Hall University
0247	1	Seton Hill University
0248	1	Seward County Community College
0249	1	Shaw University
0250	1	Shawnee State University
0251	1	Sheldon Jackson College
0252	1	Shenandoah University
0253	1	Shepherd University
0254	1	Shippensburg University of Pennsylvania
0255	1	Shorter University
0256	1	Siena College
0257	1	Sierra Nevada College
0258	1	Sikeston Career and Technology Center
0259	1	Silver Lake College
0260	1	Simmons Institute of Funeral Service, Inc.
0261	1	Simon Fraser University
0262	1	Simon's Rock College of Bard
0263	1	Simpson College - Redding
0264	1	Simpson University
0265	1	Sitting Bull College
0266	1	Skidmore College
0267	1	Skyline College
0268	1	Slippery Rock University of Pennsylvania
0269	1	Snead State Community College
0270	1	Snow College
0271	1	Sojourner-Douglass College
0272	1	Soka University of America
0273	1	Solano Community College
0274	1	Somerset Community College
0275	1	Somerset County Technical Institute
0276	1	Sonoma State University
0277	1	South Carolina State University
0278	1	South Dakota State University
0279	1	South Hills School of Business and Technology - Main Campus
0280	1	South Mountain Community College
0281	1	South Piedmont Community College
0282	1	South Plains College - Levelland
0283	1	South Puget Sound Community College
0284	1	South Seattle Community College
0285	1	Southeast Arkansas College
0286	1	Southeast Community College - Lincoln Campus
0287	1	Southeast Community College - Milford Campus
0288	1	Southeast Kentucky Community and Technical College
0289	1	Southeast Missouri State University
0290	1	Southeast Technical Institute
0291	1	Southeastern Baptist College
0292	1	Southeastern Bible College - Birmingham
0293	1	Southeastern Community College
0294	1	Southeastern Community College - West Burlington
0295	1	Southeastern Oklahoma State University
0296	1	Southeastern Technical College
0297	1	Southern Arkansas University - Magnolia
0298	1	Southern California Institute of Architecture
0299	1	Southern Connecticut State University
0300	1	Southern Crescent Technical College
0301	1	Southern Illinois University - Carbondale
0302	1	Southern Illinois University Edwardsville
0303	1	Southern Methodist University
0304	1	Southern Nazarene University
0305	1	Southern Oregon University
0306	1	Southern Polytechnic State University
0307	1	Southern Union State Community College
0308	1	Southern University and A&M College
0309	1	Southern University at New Orleans
0310	1	Southern University in Shreveport
0311	1	Southern West Virginia Community & Technical College
0312	1	Southside Virginia Community College
0313	1	Southwest Georgia Technical College
0314	1	Southwest Kansas Technical School
0315	1	Southwest Missouri State University - West Plains
0316	1	Southwest Tennessee Community College
0317	1	Southwest Virginia Community College
0318	1	Southwest Wisconsin Technical College
0319	1	Southwestern Adventist University
0320	1	Southwestern Assemblies of God University
0321	1	Southwestern Baptist Theological Seminary
0322	1	Southwestern Christian College
0323	1	Southwestern College - Kansas
0324	1	Southwestern College - Northern Kentucky Campus
0325	1	Southwestern Community College
0326	1	Southwestern Michigan College
0327	1	Southwestern Oklahoma State University
0328	1	Southwestern Oregon Community College
0329	1	Southwestern University
0330	1	Macalester College
0331	1	MacCormac College
0332	1	MacMurray College
0333	1	Macomb Community College
0334	1	Macomb Community College - Center Campus
0335	1	Macon State College
0336	1	Macon Technical Institute
0337	1	Madonna University
0338	1	Magnolia Bible College
0339	1	Maine College of Art
0340	1	Malone College
0341	1	Manatee Community College
0342	1	Manhattan Area Technical College
0343	1	Manhattan Christian College
0344	1	Manhattan College
0345	1	Manhattanville College
0346	1	Maple Woods Community College
0347	1	Maranatha Baptist Bible College
0348	1	Spalding University
0349	1	Spartanburg Community College
0350	1	Spartanburg Methodist College
0351	1	Spelman College
0352	1	Spokane Falls Community College
0353	1	Spoon River College
0354	1	Spring Hill College
0355	1	Springfield College
0356	1	Springfield Technical Community College
0357	1	St. Ambrose University
0358	1	St. Andrews Presbyterian College
0359	1	St. Bonaventure University
0360	1	St. Cloud State University
0361	1	St. Francis College
0362	1	St. Francis Medical Ctr/College of Nursing
0363	1	St. Gregory's University
0364	1	St. John Fisher College
0365	1	St. John Vianney College Seminary
0366	1	St. John's College - Annapolis
0367	1	St. John's University
0368	1	St. Joseph's College, Brooklyn Campus
0369	1	St. Joseph's College, Suffolk Campus
0370	1	St. Joseph's Hospital School of Nursing
0371	1	St. Mary's College of Maryland
0372	1	St. Thomas Aquinas College
0373	1	St. Thomas University
0374	1	St. Vincent's College
0375	1	Stark State College of Technology
0376	1	State University College at Brockport
0377	1	State University College at Fredonia
0378	1	State University College at New Paltz
0379	1	State University College at Old Westbury
0380	1	State University College at Oneonta
0381	1	State University College at Plattsburgh
0382	1	State University College at Potsdam
0383	1	State University of New York at Albany
0384	1	State University of New York at Binghamton
0385	1	State University of New York at Buffalo
0386	1	State University of New York at Stony Brook
0387	1	State University of New York Downstate Medical Center
0388	1	Stautzenberger College - South
0389	1	Stephen F. Austin State University
0390	1	Sterling College
0391	1	Sterling College - Craftsbury Common
0392	1	Stetson University
0393	1	Stillman College
0394	1	Stonehill College
0395	1	Strayer University - Lexington Campus
0396	1	Suffolk County Community College
0397	1	Suffolk County Community College - Western
0398	1	Suffolk University
0399	1	Sullivan County Community College
0400	1	Sullivan University
0401	1	Sunbridge College
0402	1	SUNY College of Agriculture & Technology at Cobleskill
0403	1	SUNY College of Agriculture & Technology at Morrisville
0404	1	SUNY College of Environmental Science & Forestry
0405	1	SUNY College of Technology at Alfred
0406	1	SUNY College of Technology at Farmingdale
0407	1	SUNY Empire State College - Central New York Center
0408	1	SUNY Empire State College - Genesee Valley Center
0409	1	SUNY Empire State College - Hudson Valley Center
0410	1	SUNY Empire State College - Long Island Center
0411	1	SUNY Empire State College - Northeast Center
0412	1	SUNY Empire State College - Van Arsdale Center for Labor Studies
0413	1	SUNY Institute of Technology at Utica/Rome
0414	1	Surry Community College
0415	1	Sussex County Community College
0416	1	Swedish Institute, Inc.
0417	1	Syracuse University
0418	1	Terra State Community College
0419	1	Texas A&M International University
0420	1	Texas A&M University - Corpus Christi
0421	1	Texas A&M University - Kingsville
0422	1	Texas A&M University - Texarkana
0423	1	Texas Chiropractic College
0424	1	Texas Christian University
0425	1	Texas Lutheran University
0426	1	Texas State University - San Marcos
0427	1	Texas Tech University
0428	1	Texas Woman's University
0429	1	Thaddeus Stevens College of Technology
0430	1	The College of Westchester
0431	1	The Evergreen State College
0432	1	Thomas Aquinas College
0433	1	Thomas Edison State College
0434	1	Thomas Jefferson University
0435	1	Thomas More College
0436	1	Thomas Technical Institute
0437	1	Thomas University
0438	1	Thompson Institute
0439	1	Three Rivers Community College
0440	1	TN Tech Center at Athens
0441	1	TN Tech Center at Dickson
0442	1	TN Tech Center at Hohenwald
0443	1	TN Tech Center at Jacksboro
0444	1	TN Tech Center at Jackson
0445	1	TN Tech Center at Livingston
0446	1	TN Tech Center at Morristown
0447	1	TN Tech Center at Nashville
0448	1	TN Tech Center at Oneida/Huntsville
0449	1	TN Tech Center at Shelbyville
0450	1	Tom P. Haney Technical Center
0451	1	Towson University
0452	1	Treasure Valley Community College
0453	1	Trenholm State Technical College
0454	1	Trent University
0455	1	Trevecca Nazarene University
0456	1	Tri-County Technical College
0457	1	Tri-County Technical School
0458	1	Tri-State College of Acupuncture
0459	1	Tri-State University
0460	1	Triangle Tech - Greensburg
0461	1	Triangle Tech - Pittsburgh
0462	1	Trident Technical College - Charleston
0463	1	Trinidad State Junior College
0464	1	Trinity Baptist College
0465	1	Trinity Bible College
0466	1	Trinity Christian College
0467	1	Trinity College
0468	1	Trinity College of Nursing
0469	1	Trinity College of Vermont
0470	1	Trinity International University
0471	1	Trinity Lutheran College
0472	1	Trinity University
0473	1	Trinity Western University
0474	1	Trocaire College
0475	1	Truett-McConnell College
0476	1	Truman State University
0477	1	Tufts University
0478	1	Tulane University
0479	1	Tulsa Community College - Metro Campus
0480	1	Tulsa Community College - Tulsa
0481	1	Turtle Mountain Community College
0482	1	Tusculum College
0483	1	Tuskegee University
0484	1	Tyler Junior College
0485	1	Tyndale University College and Seminary
0486	1	United States Naval Academy
0487	1	United Tribes Technical College
0488	1	Unity College
0489	1	Univ. of Medicine & Dentistry of New Jersey - School of Nursing
0490	1	Universal Business and Media School
0491	1	Universal Technical Institute
0492	1	Universidad del Turabo
0493	1	University of Akron, The
0494	1	University of Alabama - Huntsville
0495	1	University of Alabama at Birmingham
0496	1	University of Alaska - Anchorage
0497	1	University of Alaska - Fairbanks
0498	1	University of Alaska Anchorage - Kodiak College
0499	1	University of Alaska Anchorage - Matanuska-Susitna College
0500	1	University of Alaska Fairbanks - Kuskokwim Campus
0501	1	University of Alaska Fairbanks - Northwest Campus
0502	1	University of Alaska Southeast - Juneau Campus
0503	1	University of Alaska Southeast - Sitka Campus
0504	1	University of Alberta
0505	1	University of Arkansas - Fayetteville
0506	1	University of Arkansas - Fort Smith
0507	1	University of Arkansas - Little Rock
0508	1	Napa Valley College
0509	1	Nassau Community College
0510	1	National College of Business & Technology - Charlottesville
0511	1	National College of Business & Technology - Florence
0512	1	National College of Business & Technology - Lexington
0513	1	National Conservatory of Dramatic Arts
0514	1	National Hispanic University, The
0515	1	University of British Columbia
0516	1	University of Calgary
0517	1	University of Central Arkansas
0518	1	University of Charleston
0519	1	University of Cincinnati - Clermont College
0520	1	University of Cincinnati - Omi College of Applied Sciences
0521	1	University of Cincinnati - University College
0522	1	University of Colorado - Boulder
0523	1	University of Colorado - Colorado Springs
0524	1	University of Colorado Denver
0525	1	University of Connecticut
0526	1	University of Dallas
0527	1	University of Delaware
0528	1	University of Denver
0529	1	University of Detroit Mercy
0530	1	University of Evansville
0531	1	University of Findlay, The
0532	1	University of Florida
0533	1	University of Georgia
0534	1	University of Guam
0535	1	University of Guelph
0536	1	University of Hartford
0537	1	University of Hawaii - Manoa
0538	1	University of Hawaii - West Oahu
0539	1	University of Houston
0540	1	University of Houston - Clearlake
0541	1	University of Houston - Downtown
0542	1	University of Houston - Victoria
0543	1	University of Idaho
0544	1	University of Illinois - Springfield
0545	1	University of Illinois - Urbana
0546	1	University of Indianapolis
0547	1	University of Kansas - Lawrence
0548	1	University of Kansas - Medical Center - Kansas City
0549	1	University of Kentucky
0550	1	University of Louisiana - Lafayette
0551	1	University of Louisiana - Monroe
0552	1	University of Louisville
0553	1	University of Maine
0554	1	University of Maine - Farmington
0555	1	University of Maine - Fort Kent
0556	1	University of Maine - Machias
0557	1	University of Mary Hardin-Baylor
0558	1	University of Mary Washington
0559	1	University of Maryland - Baltimore
0560	1	University of Maryland - College Park
0561	1	University of Maryland - Eastern Shore
0562	1	University of Maryland - University College
0563	1	University of Massachusetts - Amherst
0564	1	University of Massachusetts - Boston
0565	1	University of Massachusetts - Dartmouth
0566	1	University of Michigan - Ann Arbor
0567	1	University of Michigan - Dearborn
0568	1	University of Minnesota - Duluth
0569	1	University of Minnesota - Morris
0570	1	University of Minnesota - Twin Cities
0571	1	University of Missouri - Kansas City
0572	1	University of Missouri - Rolla
0573	1	University of Nebraska - Lincoln
0574	1	University of Nevada - Las Vegas
0575	1	University of Nevada - Reno
0576	1	University of New Brunswick
0577	1	University of New Hampshire
0578	1	University of New Mexico - Main Campus
0579	1	University of New Mexico - Valencia Campus
0580	1	University of New Orleans
0581	1	University of North Alabama
0582	1	University of North Carolina at Asheville
0583	1	University of North Carolina at Charlotte
0584	1	University of North Carolina at Greensboro
0585	1	University of North Dakota
0586	1	University of North Texas
0587	1	University of Northwestern Ohio
0588	1	University of Notre Dame
0589	1	University of Oklahoma
0590	1	University of Oklahoma - Health Sciences Center
0591	1	University of Oregon
0592	1	University of Phoenix - Louisville
0593	1	University of Pittsburgh - Johnstown
0594	1	University of Pittsburgh - Titusville
0595	1	University of Portland
0596	1	University of Prince Edward Island
0597	1	University of Puerto Rico - Arecibo Campus
0598	1	University of Puerto Rico - Bayamon University College
0599	1	University of Puerto Rico - Cayey University College
0600	1	University of Puerto Rico - Humacao University College
0601	1	University of Puerto Rico - La Montana University College
0602	1	University of Puerto Rico - Mayaguez
0603	1	University of Puerto Rico - Medical Sciences Campus
0604	1	University of Puerto Rico - Ponce University College
0605	1	University of Puerto Rico - Rio Piedras Campus
0606	1	University of Redlands
0607	1	University of Regina
0608	1	University of Richmond
0609	1	University of Rio Grande
0610	1	University of Saint Francis - Indiana
0611	1	University of Saint Mary
0612	1	University of San Diego
0613	1	University of Saskatchewan
0614	1	University of Science and Arts of Oklahoma
0615	1	University of Scranton
0616	1	University of Sioux Falls
0617	1	University of South Alabama
0618	1	University of South Carolina - Aiken
0619	1	University of South Carolina - Beaufort Campus
0620	1	University of South Carolina - Lancaster Campus
0621	1	University of South Carolina - Union Campus
0622	1	University of South Carolina Sumter
0623	1	University of South Carolina Upstate
0624	1	University of South Dakota - Vermillion
0625	1	University of Southern Indiana
0626	1	University of Southern Maine
0627	1	University of St. Francis
0628	1	University of St. Thomas - TX
0629	1	University of Tampa
0630	1	University of Tennessee - Chattanooga
0631	1	University of Tennessee Health Science Center, Memphis
0632	1	University of Texas - Brownsville and Texas Southmost College
0633	1	University of Texas - Dallas
0634	1	University of Texas - El Paso
0635	1	University of Texas - Health Science Center - San Antonio
0636	1	University of Texas - Medical Branch at Galveston
0637	1	University of Texas - Pan American
0638	1	University of Texas - Permian Basin
0639	1	University of Texas - San Antonio
0640	1	University of the Cumberlands
0641	1	University of the District of Columbia
0642	1	University of the Sacred Heart
0643	1	University of Toledo
0644	1	University of Toronto
0645	1	University of Utah
0646	1	University of Vermont
0647	1	University of Virginia
0648	1	University of Virginia - College at Wise
0649	1	University of Washington
0650	1	University of West Florida
0651	1	University of West Los Angeles
0652	1	University of Wisconsin - Baraboo-Sauk County
0653	1	University of Wisconsin - Barron Campus
0654	1	University of Wisconsin - Eau Claire
0655	1	University of Wisconsin - Fox Valley
0656	1	University of Wisconsin - Green Bay
0657	1	University of Wisconsin - LaCrosse
0658	1	University of Wisconsin - Madison
0659	1	University of Wisconsin - Manitowoc Campus
0660	1	University of Wisconsin - Marathon Campus
0661	1	University of Wisconsin - Marinette
0662	1	University of Wisconsin - Marshfield-Wood County Campus
0663	1	University of Wisconsin - Oshkosh
0664	1	University of Wisconsin - Richland
0665	1	University of Wisconsin - River Falls
0666	1	University of Wisconsin - Stevens Point
0667	1	University of Wisconsin - Superior
0668	1	University of Wisconsin - Washington County Campus
0669	1	University of Wisconsin - Whitewater
0670	1	University of Wisconsin Colleges
0671	1	University of Wisconsin Sheboygan
0672	1	Upper Iowa University
0673	1	Ursinus College
0674	1	Utah College of Applied Technology - Bridgerland
0675	1	Utah College of Applied Technology - Davis
0676	1	Utah College of Applied Technology - Mountainland
0677	1	Utah College of Applied Technology - Ogden-Weber
0678	1	Utah College of Applied Technology - Uintah Basin
0679	1	Utica College
0680	1	Utica School of Commerce - Utica
0681	1	Virginia Commonwealth University
0682	1	Virginia Highlands Community College
0683	1	Virginia Intermont College
0684	1	Virginia Wesleyan College
0685	1	Viterbo University
0686	1	Volunteer State Community College
0687	1	Wayland Baptist University
0688	1	Wayne Community College
0689	1	Wayne State College
0690	1	Waynesville Technical Academy
0691	1	Webb Institute
0692	1	Webber College
0693	1	Wentworth Military Academy and Junior College
0694	1	Wesley College
0695	1	Wesleyan College
0696	1	West Chester University of Pennsylvania
0697	1	West Georgia Technical College
0698	1	West Kentucky Community and Technical College
0699	1	West Shore Community College
0700	1	West Suburban College of Nursing
0701	1	West Virginia Business College
0702	1	West Virginia Junior College - Charleston
0703	1	West Virginia Northern Community College
0704	1	West Virginia University - Parkersburg
0705	1	West Virginia University Institute of Technology
0706	1	Western Area Career & Technology Center
0707	1	Western Connecticut State University
0708	1	Western Illinois University
0709	1	Western Iowa Tech Community College - Sioux City
0710	1	Western Kentucky University
0711	1	Western New England College
0712	1	Western New Mexico University
0713	1	Western Oklahoma Area Vocational Technical School
0714	1	Western Oregon University
0715	1	Western Piedmont Community College
0716	1	Western State College of Colorado
0717	1	Western Washington University
0718	1	Western Wisconsin Technical College
0719	1	Western Wyoming Community College
0720	1	Westfield State College
0721	1	Westminster College - Missouri
0722	1	Westside Technical Center
0723	1	Wharton County Junior College
0724	1	Whatcom Community College
0725	1	Wheaton College
0726	1	Wheeling Jesuit University
0727	1	Wheelock College
0728	1	Whittier College
0729	1	Whitworth College
0730	1	Widener University
0731	1	Oak Hills Christian College
0732	1	Oakland Community College - Orchard Ridge Campus
0733	1	Oakland Community College - Royal Oak Campus
0734	1	Oakland University
0735	1	Oakton Community College
0736	1	Oakwood College
0737	1	Oberlin College
0738	1	Occidental College
0739	1	Oglala Lakota College
0740	1	Oglethorpe University
0741	1	Ohio Northern University
0742	1	Ohio State University, The - Lima
0743	1	Ohio State University, The - Mansfield
0744	1	Ohio University
0745	1	Ohio University - Chillicothe Campus
0746	1	Widener University School of Law
0747	1	Wiley College
0748	1	Wilkes-Barre Area Vocational Technical School
0749	1	William Jessup University
0750	1	William Jewell College
0751	1	William Woods University
0752	1	Williams College
0753	1	Williamson Free School of Mechanical Trades, The
0754	1	Wilmington College - Ohio
0755	1	Wilson Technical Community College
0756	1	Windward Community College
0757	1	Wingate University
0758	1	Winona State University - Rochester Center
0759	1	Winthrop University
0760	1	Wiregrass Georgia Technical College
0761	1	Wisconsin Indianhead Technical College
0762	1	Withlacoochee Technical Institute
0763	1	Wood Tobe Coburn School
0764	1	Woodbury College
0765	1	Woodbury University
0766	1	Woodland Community College
0767	1	Worcester Polytechnic Institute
0768	1	Wytheville Community College
0769	1	Pace University
0770	1	Pacific Lutheran Theological Seminary
0771	1	Pacific Northwest College of Art
0772	1	Pacific Oaks College
0773	1	Pacific States University
0774	1	Pacific Union College
0775	1	Paine College
0776	1	Palm Beach Atlantic University
0777	1	Palm Beach Community College - Eissey Campus
0778	1	Palo Alto College
0779	1	Palomar College
0780	1	Panola College
0781	1	Paradise Valley Community College
0782	1	Park University
0783	1	Parkland College
0784	1	Pasco-Hernando Community College - New Port Richey
0785	1	Passaic County Community College
0786	1	Queensborough Community College
0787	1	Quincy University
0788	1	Quinsigamond Community College
0789	1	Rabbinical College of America
0790	1	Radford University
0791	1	Ramapo College of New Jersey
0792	1	Randolph College
0793	1	Randolph Community College
0794	1	Randolph-Macon College
0795	1	Ranger College
0796	1	Rappahannock Community College - Glenns Campus
0797	1	Red Rocks Community College
0798	1	Redlands Community College
0799	1	Reed College
0800	1	Refrigeration School, The
0801	1	Regis College
0802	1	Regis University
0803	1	Reinhardt College
0804	1	Sage Junior College of Albany
0805	1	Saginaw Valley State University
0806	1	Saint Anselm College
0807	1	Saint Charles County Community College
0808	1	Saint Cloud Technical College
0809	1	Saint Francis University
0810	1	Saint John's College of Nursing
0811	1	Saint John's University
0812	1	Saint Joseph Seminary College
0813	1	Saint Joseph's College (Maine)
0814	1	Saint Joseph's University
0815	1	Saint Leo University
0816	1	Saint Louis Community College - Florissant Valley Campus
0817	1	Saint Louis Community College - Forest Park Campus
0818	1	Saint Louis Community College - Meramec Campus
0819	1	Saint Luke's College
0820	1	Talladega College
0821	1	Tallahassee Community College
0822	1	Talmudic University of Florida
0823	1	Tarleton State University
0824	1	Tarrant County Junior College
0825	1	Taylor Business Institute - Chicago
0826	1	TCI - The College for Technology
0827	1	Temple University
0828	1	Tennessee Technological University
0829	1	Cabarrus College of Health Sciences
0830	1	Cabell County Career Technology Center
0831	1	Cabrillo College
0832	1	Cabrini College
0833	1	Cal Maritime
0834	1	Cal Poly San Luis Obispo
0835	1	California Baptist University
0836	1	California College of the Arts
0837	1	California Culinary Academy
0838	1	California Institute of Technology
0839	1	California Institute of the Arts
0840	1	California University of Pennsylvania
0841	1	Cambria County Area Community College
0842	1	Cambria-Rowe Business College - Johnstown
0843	1	Cambridge College - Cambridge
0844	1	Cambridge Community College Campus of Anoka-Ramsey
0845	1	UC Berkeley
0846	1	UC Davis
0847	1	UC Los Angeles
0848	1	UC San Diego
0849	1	UC Santa Cruz
0850	1	Ultrasound Diagnostic School - Atlanta
0851	1	Ultrasound Diagnostic School - Carle Place
0852	1	Ultrasound Diagnostic School - Dallas
0853	1	Ultrasound Diagnostic School - Elmsford
0854	1	Ultrasound Diagnostic School - Jacksonville
0855	1	Ultrasound Diagnostic School - Lauderdale Lakes
0856	1	Ultrasound Diagnostic School - New York City
0857	1	Umpqua Community College
0858	1	Union Institute and University, The
0859	1	Union University
0860	1	United States Air Force Academy
0861	1	United States Merchant Marine Academy
0862	1	United States Military Academy
0863	1	Valencia Community College - Orlando
0864	1	Valley College of Technology
