university	collegeboard	name
0305	1	Island Drafting and Technical Institute
0306	1	Isothermal Community College
0307	1	ITT Technical Institute: Arlington
0308	1	ITT Technical Institute: Austin
0309	1	ITT Technical Institute: Bensalem
0310	1	ITT Technical Institute: Eden Prairie
0311	1	ITT Technical Institute: Fort Wayne
0312	1	ITT Technical Institute: Ft. Lauderdale
0313	1	ITT Technical Institute: Greenfield
0314	1	ITT Technical Institute: Houston
0315	1	ITT Technical Institute: Indianapolis
0316	1	ITT Technical Institute: King of Prussia
0317	1	ITT Technical Institute: Knoxville
0318	1	ITT Technical Institute: Lake Mary
0319	1	ITT Technical Institute: Lathrop
0320	1	ITT Technical Institute: Little Rock
0321	1	ITT Technical Institute: Memphis
0322	1	ITT Technical Institute: Miami
0323	1	ITT Technical Institute: Mount Prospect
0324	1	ITT Technical Institute: Nashville
0325	1	ITT Technical Institute: Norwood
0326	1	ITT Technical Institute: Omaha
0327	1	ITT Technical Institute: Portland
0328	1	ITT Technical Institute: San Antonio
0329	1	ITT Technical Institute: San Bernardino
0330	1	ITT Technical Institute: San Diego
0331	1	ITT Technical Institute: Seattle
0332	1	ITT Technical Institute: Spokane
0333	1	ITT Technical Institute: Strongsville
0334	1	Art Institute of Houston
0335	1	Art Institute of Las Vegas
0336	1	Art Institute of Philadelphia
0337	1	Ivy Tech Community College: Central Indiana
0338	1	Ivy Tech Community College: Columbus
0339	1	Ivy Tech Community College: East Central
0340	1	Ivy Tech Community College: North Central
0341	1	Ivy Tech Community College: Northeast
0342	1	Ivy Tech Community College: Northwest
0343	1	Ivy Tech Community College: Richmond
0344	1	Ivy Tech Community College: South Central
0345	1	Ivy Tech Community College: Southeast
0346	1	Ivy Tech Community College: Southwest
0347	1	Jackson Community College
0348	1	Jacksonville College
0349	1	James A. Rhodes State College
0350	1	Jamestown Business College
0351	1	Jamestown Community College
0352	1	Jefferson College of Health Sciences
0353	1	Jefferson Community College
0354	1	Jefferson State Community College
0355	1	Jewish Theological Seminary of America
0356	1	John A. Gupton College
0357	1	John A. Logan College
0358	1	John Brown University
0359	1	John Tyler Community College
0360	1	Johns Hopkins University
0361	1	Johnson & Wales University: Charlotte
0362	1	Johnson & Wales University: Denver
0363	1	Johnson Bible College
0364	1	Johnson C. Smith University
0365	1	Johnson County Community College
0366	1	Johnston Community College
0367	1	Jones County Junior College
0368	1	Jones International University
0369	1	Judson College
0370	1	Judson University
0371	1	Juilliard School
0372	1	Juniata College
0373	1	Kalamazoo College
0374	1	Kanawha Valley Community and Technical College
0375	1	Kankakee Community College
0376	1	Kansas City Kansas Community College
0377	1	Kaplan Career Institute: Pittsburgh
0378	1	Kaplan College: Columbus
0379	1	Kaplan College: Dayton
0380	1	Kaplan College: Denver
0381	1	Kaplan College: Hammond
0382	1	Kaplan College: Indianapolis
0383	1	Kaplan College: Las Vegas
0384	1	Kaplan College: Phoenix
0385	1	Kaplan College: San Diego
0386	1	Kaplan College: Vista
0387	1	Kaplan University: Cedar Rapids
0388	1	Art Institute of Portland
0389	1	Art Institute of Washington
0390	1	Art Institute of York
0391	1	Art Institutes International Minnesota
0392	1	Asbury College
0393	1	Kaplan University: Lincoln
0394	1	Kaplan University: Omaha
0395	1	Kean University
0396	1	Keiser Career College: Greenacres
0397	1	Keiser Career College: Miami Lakes
0398	1	Kellogg Community College
0399	1	Kendall College
0400	1	Kennebec Valley Community College
0401	1	Kennesaw State University
0402	1	Kent State University: Salem
0403	1	Kent State University: Trumbull
0404	1	Kentucky Christian University
0405	1	Kentucky Mountain Bible College
0406	1	Kenyon College
0407	1	Kettering College of Medical Arts
0408	1	Kilian Community College
0409	1	King College
0410	1	Kirkwood Community College
0411	1	Kirtland Community College
0412	1	Kishwaukee College
0413	1	Kutztown University of Pennsylvania
0414	1	L'Ecole Culinaire
0415	1	LA College International
0416	1	Laboure College
0417	1	Lackawanna College
0418	1	Lafayette College
0419	1	Laguna College of Art and Design
0420	1	Lake Area Technical Institute
0421	1	Lake Forest College
0422	1	Lake Land College
0423	1	Lake Michigan College
0424	1	Lake Region State College
0425	1	Lake Washington Technical College
0426	1	Lake-Sumter Community College
0427	1	Lakeland College
0428	1	Lakeland Community College
0429	1	Lamar Institute of Technology
0430	1	Lamar State College at Orange
0431	1	Lambuth University
0432	1	Lamson College
0433	1	Lancaster Bible College
0434	1	Lander University
0435	1	Landing School of Boatbuilding and Design
0436	1	Laney College
0437	1	Langston University
0438	1	Lansdale School of Business
0439	1	Lansing Community College
0440	1	Laredo Community College
0441	1	Las Positas College
0442	1	Lasell College
0443	1	Lassen Community College
0444	1	Laura and Alvin Siegal College of Judaic Studies
0445	1	Ashland University
0446	1	Ashworth College
0447	1	Asnuntuck Community College
0448	1	Assumption College
0449	1	Athens Technical College
0450	1	ATI Career Training Center: Dallas
0451	1	Laurel University
0452	1	Lawson State Community College
0453	1	LDS Business College
0454	1	Le Cordon Bleu College of Culinary Arts: Atlanta
0455	1	Le Cordon Bleu College of Culinary Arts: Chicago
0456	1	Le Cordon Bleu College of Culinary Arts: Los Angeles
0457	1	Le Cordon Bleu College of Culinary Arts: Minneapolis-St. Paul
0458	1	Le Cordon Bleu College of Culinary Arts: Scottsdale
0459	1	Le Moyne College
0460	1	Lebanon College
0461	1	Lebanon Valley College
0462	1	Lee University
0463	1	Lees-McRae College
0464	1	Lehigh University
0465	1	LeMoyne-Owen College
0466	1	LeTourneau University
0467	1	Lewis and Clark Community College
0468	1	Lewis-Clark State College
0469	1	Lincoln Christian University
0470	1	Lincoln College
0471	1	Lincoln College of New England: Briarwood
0472	1	Lincoln College of New England: Suffield
0473	1	Lincoln College of Technology: Denver
0474	1	Lincoln Technical Institute: Northeast Philadelphia
0475	1	Lincoln Technical Institute: Philadelphia
0476	1	Lincoln University
0477	1	Lindenwood University
0478	1	Lindsey Wilson College
0479	1	Linn State Technical College
0480	1	Linn-Benton Community College
0481	1	Little Big Horn College
0482	1	Livingstone College
0483	1	Lone Star College System
0484	1	Long Island University: C. W. Post Campus
0485	1	Longwood University
0486	1	Lord Fairfax Community College
0487	1	Los Angeles City College
0488	1	Los Angeles Mission College
0489	1	Los Angeles Trade and Technical College
0490	1	Los Angeles Valley College
0491	1	Louisiana College
0492	1	Louisiana State University at Alexandria
0493	1	Louisiana State University at Eunice
0494	1	Louisiana State University Health Sciences Center
0495	1	Louisiana State University in Shreveport
0496	1	Louisiana Tech University
0497	1	ATI Career Training Center: Ft. Lauderdale
0498	1	ATI Career Training Center: Oakland Park
0499	1	ATI College of Health
0500	1	Atlanta Technical College
0501	1	Atlantic College
0502	1	Atlantic Union College
0503	1	Loyola University Maryland
0504	1	Loyola University New Orleans
0505	1	Lubbock Christian University
0506	1	Luna Community College
0507	1	Luther Rice University
0508	1	Luzerne County Community College
0509	1	Lyme Academy College of Fine Arts
0510	1	Lynchburg College
0511	1	Lyon College
0512	1	Macalester College
0513	1	MacCormac College
0514	1	MacMurray College
0515	1	Macon State College
0516	1	Madison Area Technical College
0517	1	Madonna University
0518	1	Maharishi University of Management
0519	1	Maine College of Art
0520	1	Maine Maritime Academy
0521	1	Malone University
0522	1	Manchester College
0523	1	Manchester Community College
0524	1	Manhattan Christian College
0525	1	Manhattan College
0526	1	Manhattan School of Music
0527	1	Mannes College The New School for Music
0528	1	Manor College
0529	1	Mansfield University of Pennsylvania
0530	1	Maria College
0531	1	Marian Court College
0532	1	Marion Technical College
0533	1	Marist College
0534	1	Marlboro College
0535	1	Marshall University
0536	1	Marshalltown Community College
0537	1	Martin Community College
0538	1	Martin Luther College
0539	1	Marygrove College
0540	1	Maryland Institute College of Art
0541	1	Marylhurst University
0542	1	Marymount University
0543	1	Marywood University
0544	1	Massachusetts College of Art and Design
0545	1	Massachusetts College of Liberal Arts
0546	1	Massachusetts College of Pharmacy and Health Sciences
0547	1	Massasoit Community College
0548	1	Mayville State University
0549	1	McCann School of Business and Technology: Dickson City
0550	1	McCann School of Business and Technology: Hazleton
0551	1	McCann School of Business and Technology: Sunbury
0552	1	McDaniel College
0553	1	McDowell Technical Community College
0554	1	McGill University
0555	1	McHenry County College
0556	1	McLennan Community College
0557	1	McNeese State University
0558	1	Medcenter One College of Nursing
0559	1	Medical University of South Carolina
0560	1	Memorial University of Newfoundland
0561	1	Mendocino College
0562	1	Menlo College
0563	1	Alamance Community College
0564	1	Alaska Bible College
0565	1	Alaska Pacific University
0566	1	Albany State University
0567	1	Albany Technical College
0568	1	Albright College
0569	1	Alcorn State University
0570	1	Auburn University at Montgomery
0571	1	Augsburg College
0572	1	Augusta State University
0573	1	Augustana College
0574	1	Aultman College of Nursing and Health Sciences
0575	1	Austin College
0576	1	Merced College
0577	1	Mercy College
0578	1	Mercyhurst College
0579	1	Meredith College
0580	1	Meridian Community College
0581	1	Merrimack College
0582	1	Mesabi Range Community and Technical College
0583	1	Messiah College
0584	1	Metro Business College
0585	1	Metro Business College: Rolla
0586	1	Metropolitan Career Center Computer Technology Institute
0587	1	Metropolitan Community College
0588	1	Metropolitan Community College: Business & Technology
0589	1	Metropolitan Community College: Longview
0590	1	Metropolitan State College of Denver
0591	1	Miami Dade College
0592	1	Miami University: Middletown
0593	1	Miami University: Oxford
0594	1	Michigan Jewish Institute
0595	1	Mid Michigan Community College
0596	1	Mid-Atlantic Christian University
0597	1	Mid-Plains Community College Area
0598	1	Mid-South Community College
0599	1	Mid-State Technical College
0600	1	Middle Georgia College
0601	1	Middle Georgia Technical College
0602	1	Middle Tennessee State University
0603	1	Midland College
0604	1	Midlands Technical College
0605	1	Midstate College
0606	1	Mildred Elley
0607	1	Miles Community College
0608	1	Miller-Motte Technical College
0609	1	Miller-Motte Technical College: Conway
0610	1	Miller-Motte Technical College: Lynchburg
0611	1	Milligan College
0612	1	Millikin University
0613	1	Mineral Area College
0614	1	Minneapolis Business College
0615	1	Minneapolis Community and Technical College
0616	1	Minnesota School of Business: Brooklyn Center
0617	1	Minnesota School of Business: St. Cloud
0618	1	Minnesota State College - Southeast Technical
0619	1	Minnesota West Community and Technical College
0620	1	Austin Community College
0621	1	Aviation Institute of Maintenance: Virginia Beach
0622	1	Avila University
0623	1	Babson College
0624	1	Bacone College
0625	1	Minot State University
0626	1	Misericordia University
0627	1	Mission College
0628	1	Mississippi Delta Community College
0629	1	Mississippi University for Women
0630	1	Mississippi Valley State University
0631	1	Missouri Technical School
0632	1	Missouri Valley College
0633	1	Mitchell Community College
0634	1	Modesto Junior College
0635	1	Mohave Community College
0636	1	Monmouth College
0637	1	Monmouth University
0638	1	Monroe Community College
0639	1	Monroe County Community College
0640	1	Montana State University: Billings
0641	1	Montana State University: Bozeman
0642	1	Montana State University: Northern
0643	1	Montana Tech of the University of Montana
0644	1	Montcalm Community College
0645	1	Montgomery County Community College
0646	1	Montreat College
0647	1	Moody Bible Institute
0648	1	Moore College of Art and Design
0649	1	Moorpark College
0650	1	Moraine Park Technical College
0651	1	Morehouse College
0652	1	Morgan Community College
0653	1	Morgan State University
0654	1	Morningside College
0655	1	Morton College
0656	1	Motlow State Community College
0657	1	Mott Community College
0658	1	Mount Aloysius College
0659	1	Mount Olive College
0660	1	Mount Saint Mary College
0661	1	Mount San Jacinto College
0662	1	Mount St. Mary's University
0663	1	Mountain Empire Community College
0664	1	Mt. Hood Community College
0665	1	Muhlenberg College
0666	1	Multnomah University
0667	1	Murray State College
0668	1	Muscatine Community College
0669	1	Muskegon Community College
0670	1	Muskingum University
0671	1	Napa Valley College
0672	1	Nash Community College
0673	1	Nashville Auto-Diesel College
0674	1	Bainbridge College
0675	1	Baker College of Auburn Hills
0676	1	Baker College of Cadillac
0677	1	Baker College of Clinton Township
0678	1	Baker College of Flint
0679	1	Baker College of Muskegon
0680	1	Baker College of Port Huron
0681	1	Nashville State Community College
0682	1	National American University: Lee's Summit
0683	1	National American University: Rio Rancho
0684	1	National College: Bluefield
0685	1	National College: Bristol
0686	1	National College: Charlottesville
0687	1	National College: Cincinnati
0688	1	National College: Danville
0689	1	National College: Dayton
0690	1	National College: Harrisonburg
0691	1	National College: Indianapolis
0692	1	National College: Knoxville
0693	1	National College: Lexington
0694	1	National College: Louisville
0695	1	National College: Martinsville
0696	1	National College: Memphis
0697	1	National College: Nashville
0698	1	National College: Richmond
0699	1	National Labor College
0700	1	National University
0701	1	National University College: Arecibo
0702	1	National University College: Bayamon
0703	1	National University College: Ponce
0704	1	National University of Health Sciences
0705	1	National-Louis University
0706	1	Navarro College
0707	1	Nebraska Christian College
0708	1	Nebraska College of Technical Agriculture
0709	1	Nebraska Indian Community College
0710	1	Nebraska Methodist College of Nursing and Allied Health
0711	1	Neosho County Community College
0712	1	Neumann University
0713	1	Neumont University
0714	1	Nevada State College
0715	1	New England College
0716	1	New England College of Business and Finance
0717	1	New England Conservatory of Music
0718	1	New England Institute of Art
0719	1	New England Institute of Technology
0720	1	New Hope Christian College
0721	1	New Jersey City University
0722	1	New Jersey Institute of Technology
0723	1	New Mexico Highlands University
0724	1	New Mexico Institute of Mining and Technology
0725	1	New Mexico State University at Grants
0726	1	New Orleans Baptist Theological Seminary: Leavell College
0727	1	New River Community and Technical College
0728	1	New York Career Institute
0729	1	New York Institute of Technology
0730	1	New York School of Interior Design
0731	1	New York University
0732	1	Newbury College
0733	1	Newman University
0734	1	Newport Business Institute: Lower Burrell
0735	1	Newport Business Institute: Williamsport
0736	1	Nichols College
0737	1	Baker University
0738	1	Bakersfield College
0739	1	Baltimore City Community College
0740	1	Baltimore International College
0741	1	Baptist Bible College
0742	1	Baptist College of Florida
0743	1	Baptist College of Health Sciences
0744	1	Norfolk State University
0745	1	North Carolina Central University
0746	1	North Carolina State University
0747	1	North Carolina Wesleyan College
0748	1	North Central College
0749	1	North Central Kansas Technical College
0750	1	North Central Michigan College
0751	1	North Central University
0752	1	North Country Community College
0753	1	North Dakota State College of Science
0754	1	North Florida Community College
0755	1	North Georgia College & State University
0756	1	North Georgia Technical College
0757	1	North Greenville University
0758	1	North Hennepin Community College
0759	1	North Idaho College
0760	1	North Iowa Area Community College
0761	1	North Lake College
0762	1	North Park University
0763	1	Northcentral Technical College
0764	1	Northeast Community College
0765	1	Northeast Mississippi Community College
0766	1	Northeast Texas Community College
0767	1	Northeastern Oklahoma Agricultural and Mechanical College
0768	1	Northeastern State University
0769	1	Northeastern University
0770	1	Northern Essex Community College
0771	1	Northern Illinois University
0772	1	Northern Kentucky University
0773	1	Northern Marianas College
0774	1	Northern Michigan University
0775	1	Northern Oklahoma College
0776	1	Northern State University
0777	1	Northern Virginia Community College
0778	1	Northland International University
0779	1	Northland Pioneer College
0780	1	Northwest Arkansas Community College
0781	1	Northwest Christian University
0782	1	Northwest College
0783	1	Northwest College of Art
0784	1	Northwest Indian College
0785	1	Northwest Kansas Technical College
0786	1	Northwest Mississippi Community College
0787	1	Northwest Missouri State University
0788	1	Northwest Nazarene University
0789	1	Northwest School of Wooden Boatbuilding
0790	1	Northwestern Michigan College
0791	1	Northwestern Polytechnic University
0792	1	Northwestern State University
0793	1	Northwestern University
0794	1	Northwood University: Michigan
0795	1	Norwalk Community College
0796	1	Norwich University
0797	1	Nossi College of Art
0798	1	Notre Dame College
0799	1	Notre Dame de Namur University
0800	1	Nova Southeastern University
0801	1	Baptist University of the Americas
0802	1	Bard College at Simon's Rock
0803	1	Barry University
0804	1	Barton College
0805	1	Nyack College
0806	1	O'More College of Design
0807	1	Oak Hills Christian College
0808	1	Oakbridge Academy of Arts
0809	1	Oakland Community College
0810	1	Oakland University
0811	1	Oakwood University
0812	1	Oberlin College
0813	1	Oglethorpe University
0814	1	Ohio Business College: Columbus
0815	1	Ohio Christian University
0816	1	Ohio College of Massotherapy
0817	1	Ohio State University Agricultural Technical Institute
0818	1	Ohio State University: Lima Campus
0819	1	Ohio State University: Marion Campus
0820	1	Ohio Technical College
0821	1	Ohio University
0822	1	Ohio University: Chillicothe Campus
0823	1	Ohio University: Eastern Campus
0824	1	Ohio University: Lancaster Campus
0825	1	Ohio University: Southern Campus at Ironton
0826	1	Ohio University: Zanesville Campus
0827	1	Ohio Valley University
0828	1	Ohlone College
0829	1	Ohr Somayach Tanenbaum Education Center
0830	1	Oklahoma State University
0831	1	Olean Business Institute
0832	1	Olivet College
0833	1	Olympic College
0834	1	Oral Roberts University
0835	1	Orange Coast College
0836	1	Orangeburg-Calhoun Technical College
0837	1	Oregon College of Art & Craft
0838	1	Oregon Health & Science University
0839	1	Oregon Institute of Technology
0840	1	Orleans Technical Institute
0841	1	Otero Junior College
0842	1	Ottawa University
0843	1	Ouachita Baptist University
0844	1	Ouachita Technical College
0845	1	Our Lady of the Lake College
0846	1	Owens Community College: Toledo
0847	1	Owensboro Community and Technical College
0848	1	Oxford College of Emory University
0849	1	Ozarks Technical Community College
0850	1	Pace University
0851	1	Pace University: Pleasantville/Briarcliff
0852	1	Pacific College of Oriental Medicine: San Diego
0853	1	Pacific Lutheran University
0854	1	Pacific States University
0855	1	Pacific University
0856	1	Paier College of Art
0857	1	Paine College
0858	1	Palau Community College
0859	1	Palm Beach Atlantic University
0860	1	Palo Verde College
0861	1	Bastyr University
0862	1	Bates Technical College
0863	1	Baton Rouge Community College
0864	1	Baton Rouge School of Computers
0865	1	Bauder College
0866	1	Bay Mills Community College
0867	1	Bay State College
0868	1	Park University
0869	1	Parkland College
0870	1	Pasadena City College
0871	1	Patrick Henry Community College
0872	1	Patten University
0873	1	Paul D. Camp Community College
0874	1	Peace College
0875	1	Pearl River Community College
0876	1	Penn State Abington
0877	1	Penn State Berks
0878	1	Penn State Fayette, The Eberly Campus
0879	1	Penn State Hazleton
0880	1	Penn State Lehigh Valley
0881	1	Penn State Schuylkill
0882	1	Penn State Shenango
0883	1	Penn State University Park
0884	1	Penn State Wilkes-Barre
0885	1	Pennco Tech
0886	1	Pennsylvania College of Art and Design
0887	1	Pennsylvania Highlands Community College
0888	1	Pennsylvania Institute of Health and Technology
0889	1	Pennsylvania Institute of Technology
0890	1	Pennsylvania School of Business
0891	1	Pensacola State College
0892	1	Pepperdine University
0893	1	Peru State College
0894	1	Pfeiffer University
0895	1	Philadelphia Biblical University
0896	1	Philander Smith College
0897	1	Phillips Beth Israel School of Nursing
0898	1	Phillips Community College of the University of Arkansas
0899	1	Phoenix College
0900	1	Piedmont Baptist College and Graduate School
0901	1	Piedmont College
0902	1	Piedmont Community College
0903	1	Pierce College
0904	1	Pima Community College
0905	1	Pine Technical College
0906	1	Pitt Community College
0907	1	Pittsburg State University
