university	usnews	name
0124	1	Gwynedd-Mercy College
0125	1	Hamilton College
0126	1	Hamline University
0127	1	Hampden-Sydney College
0128	1	Hampshire College
0129	1	Hampton University
0130	1	Hannibal-LaGrange College
0131	1	Hanover College
0132	1	Harding University
0133	1	Hardin-Simmons University
0134	1	Hartwick College
0135	1	Harvard University
0136	1	Harvey Mudd College
0137	1	Hastings College
0138	1	Haverford College
0139	1	Hawaii Pacific University
0140	1	Heidelberg University
0141	1	Henderson State University
0142	1	Hendrix College
0143	1	High Point University
0144	1	Hilbert College
0145	1	Hillsdale College
0146	1	Hiram College
0147	1	Hobart and William Smith Colleges
0148	1	Hofstra University
0149	1	Hollins University
0150	1	Holy Family University
0151	1	Hood College
0152	1	Hope College
0153	1	Houghton College
0154	1	Houston Baptist University
0155	1	Howard Payne University
0156	1	Howard University
0157	1	Humboldt State University
0158	1	Huntington University
0159	1	Illinois College
0160	1	Illinois Institute of Technology
0161	1	Illinois State University
0162	1	Illinois Wesleyan University
0163	1	Immaculata University
0164	1	Indiana University--Bloomington
0165	1	Indiana University--Kokomo
0166	1	Indiana Wesleyan University
0167	1	Iona College
0168	1	Iowa State University
0169	1	Ithaca College
0170	1	Jacksonville State University
0171	1	Jacksonville University
0172	1	James Madison University
0173	1	Jamestown College
0174	1	John Brown University
0175	1	John Carroll University
0176	1	Johns Hopkins University
0177	1	Johnson and Wales University
0178	1	Judson University
0179	1	Juniata College
0180	1	Kalamazoo College
0181	1	Kansas State University
0182	1	Kansas Wesleyan University
0183	1	Kean University
0184	1	Keene State College
0185	1	Kennesaw State University
0186	1	Kent State University
0187	1	Kentucky State University
0188	1	Kenyon College
0189	1	Keuka College
0190	1	Keystone College
0191	1	King College
0192	1	King's College
0193	1	Knox College
0194	1	Kutztown University of Pennsylvania
0195	1	Lafayette College
0196	1	LaGrange College
0197	1	Lake Erie College
0198	1	Lake Forest College
0199	1	Lake Superior State University
0200	1	Lander University
0201	1	La Salle University
0202	1	Lasell College
0203	1	Lawrence Technological University
0204	1	Lawrence University
0205	1	Lebanon Valley College
0206	1	Lee University
0207	1	Lehigh University
0208	1	Le Moyne College
0209	1	Lenoir-Rhyne University
0210	1	Lesley University
0211	1	LeTourneau University
0212	1	Lewis &amp; Clark College
0213	1	Lewis-Clark State College
0214	1	Lewis University
0215	1	Limestone College
0216	1	Lincoln Memorial University
0217	1	Linfield College
0218	1	Lipscomb University
0219	1	Longwood University
0220	1	Loras College
0221	1	Louisiana College
0222	1	Louisiana State University--Baton Rouge
0223	1	Loyola Marymount University
0224	1	Loyola University Chicago
0225	1	Loyola University Maryland
0226	1	Loyola University New Orleans
0227	1	Luther College
0228	1	Lycoming College
0229	1	Lynchburg College
0230	1	Lynn University
0231	1	Lyon College
0232	1	Macalester College
0233	1	MacMurray College
0234	1	Madonna University
0235	1	Maine Maritime Academy
0236	1	Malone University
0237	1	Manchester College
0238	1	Manhattan College
0239	1	Manhattanville College
0240	1	Mansfield University of Pennsylvania
0241	1	Maranatha Baptist Bible College
0242	1	Marian University
0243	1	Marian University
0244	1	Marietta College
0245	1	Marist College
0246	1	Marquette University
0247	1	Marshall University
0248	1	Mars Hill College
0249	1	Mary Baldwin College
0250	1	Marymount University
0251	1	Maryville College
0252	1	Maryville University of St. Louis
0253	1	Marywood University
0254	1	Massachusetts Institute of Technology
0255	1	Massachusetts Maritime Academy
0256	1	Master's College and Seminary
0257	1	Mayville State University
0258	1	McDaniel College
0259	1	McKendree University
0260	1	McMurry University
0261	1	Mercer University
0262	1	Mercyhurst College
0263	1	Meredith College
0264	1	Merrimack College
0265	1	Messiah College
0266	1	Methodist University
0267	1	Miami University--Oxford
0268	1	Michigan State University
0269	1	Michigan Technological University
0270	1	Middlebury College
0271	1	Middle Tennessee State University
0272	1	Midland Lutheran College
0273	1	Millersville University of Pennsylvania
0274	1	Milligan College
0275	1	Millikin University
0276	1	Millsaps College
0277	1	Mills College
0278	1	Milwaukee School of Engineering
0279	1	Minnesota State University--Mankato
0280	1	Minnesota State University--Moorhead
0281	1	Misericordia University
0282	1	Mississippi College
0283	1	Mississippi State University
0284	1	Mississippi University for Women
0285	1	Missouri Southern State University
0286	1	Missouri State University
0287	1	Missouri University of Science &amp; Technology
0288	1	Missouri Western State University
0289	1	Molloy College
0290	1	Monmouth College
0291	1	Monmouth University
0292	1	Montana State University
0293	1	Montana State University--Billings
0294	1	Montana State University--Northern
0295	1	Montana Tech of the University of Montana
0296	1	Montclair State University
0297	1	Montreat College
0298	1	Moravian College
0299	1	Morehead State University
0300	1	Bay Path College
0301	1	Belhaven University
0302	1	Bellarmine University
0303	1	Belmont Abbey College
0304	1	Belmont University
0305	1	Beloit College
0306	1	Bemidji State University
0307	1	Benedict College
0308	1	Benedictine College
0309	1	Benedictine University
0310	1	Bennington College
0311	1	Bentley University
0312	1	Berea College
0313	1	Berry College
0314	1	Bethany College
0315	1	Bethany College
0316	1	Bethany University
0317	1	Bethel College
0318	1	Bethel College
0319	1	Bethel University
0320	1	Bethune-Cookman University
0321	1	Binghamton University--SUNY
0322	1	Biola University
0323	1	Birmingham-Southern College
0324	1	Blackburn College
0325	1	Morehouse College
0326	1	Morningside College
0327	1	Mount Aloysius College
0328	1	Mount Holyoke College
0329	1	Mount Ida College
0330	1	Mount Mercy College
0331	1	Mount St. Mary College
0332	1	Mount St. Mary's College
0333	1	Mount St. Mary's University
0334	1	Mount Vernon Nazarene University
0335	1	Muhlenberg College
0336	1	Murray State University
0337	1	Muskingum University
0338	1	Nazareth College
0339	1	Nebraska Wesleyan University
0340	1	Newberry College
0341	1	New College of Florida
0342	1	New England College
0343	1	New Jersey Institute of Technology
0344	1	New Mexico Institute of Mining and Technology
0345	1	New School
0346	1	New York Institute of Technology
0347	1	New York University
0348	1	Niagara University
0349	1	North Carolina Central University
0350	1	North Carolina State University--Raleigh
0351	1	North Carolina Wesleyan College
0352	1	North Central College
0353	1	North Central University
0354	1	North Dakota State University
0355	1	Northeastern University
0356	1	Northern Kentucky University
0357	1	Northern Michigan University
0358	1	Northern State University
0359	1	North Georgia College and State University
0360	1	Northland College
0361	1	North Park University
0362	1	Northwest Christian University
0363	1	Northwestern College
0364	1	Northwestern College
0365	1	Northwestern Oklahoma State University
0366	1	Northwestern State University of Louisiana
0367	1	Northwestern University
0368	1	Northwest Missouri State University
0369	1	Northwest Nazarene University
0370	1	Northwest University
0371	1	Norwich University
0372	1	Notre Dame College of Ohio
0373	1	Notre Dame de Namur University
0374	1	Oakwood University
0375	1	Oberlin College
0376	1	Occidental College
0377	1	Oglethorpe University
0378	1	Ohio Dominican University
0379	1	Ohio Northern University
0380	1	Ohio State University--Columbus
0381	1	Ohio University
0382	1	Ohio Valley University
0383	1	Ohio Wesleyan University
0384	1	Oklahoma Baptist University
0385	1	Oklahoma Christian University
0386	1	Oklahoma City University
0387	1	Oklahoma Panhandle State University
0388	1	Oklahoma State University
0389	1	Oklahoma Wesleyan University
0390	1	Olivet Nazarene University
0391	1	Oregon Institute of Technology
0392	1	Oregon State University
0393	1	Otterbein College
0394	1	Ouachita Baptist University
0395	1	Our Lady of Holy Cross College
0396	1	Our Lady of the Lake University
0397	1	Pace University
0398	1	Pacific Lutheran University
0399	1	Pacific Union College
0400	1	Pacific University
0401	1	Palm Beach Atlantic University
0402	1	Pennsylvania College of Technology
0403	1	Pennsylvania State University--University Park
0404	1	Pepperdine University
0405	1	Pfeiffer University
0406	1	Philadelphia Biblical University
0407	1	Philadelphia University
0408	1	Philander Smith College
0409	1	Piedmont College
0410	1	Pittsburg State University
0411	1	Pitzer College
0412	1	Plymouth State University
0413	1	Point Loma Nazarene University
0414	1	Point Park University
0415	1	Polytechnic Institute of New York University
0416	1	Pomona College
0417	1	Presbyterian College
0418	1	Prescott College
0419	1	Princeton University
0420	1	Principia College
0421	1	Providence College
0422	1	Purchase College--SUNY
0423	1	Purdue University--West Lafayette
0424	1	Queens University of Charlotte
0425	1	Quincy University
0426	1	Quinnipiac University
0427	1	Radford University
0428	1	Ramapo College of New Jersey
0429	1	Randolph College
0430	1	Randolph-Macon College
0431	1	Reed College
0432	1	Regis University
0433	1	Reinhardt University
0434	1	Rensselaer Polytechnic Institute
0435	1	Rhode Island College
0436	1	Rhodes College
0437	1	Rice University
0438	1	Richard Stockton College of New Jersey
0439	1	Rider University
0440	1	Ripon College
0441	1	Roanoke College
0442	1	Robert Morris University
0443	1	Robert Morris University
0444	1	Roberts Wesleyan College
0445	1	Rochester Institute of Technology
0446	1	Rockford College
0447	1	Rockhurst University
0448	1	Rocky Mountain College
0449	1	Roger Williams University
0450	1	Rollins College
0451	1	Roosevelt University
0452	1	Rosemont College
0453	1	Rowan University
0454	1	Russell Sage College
0455	1	Rutgers, the State University of New Jersey--Camden
0456	1	Rutgers, the State University of New Jersey--Newark
0457	1	Rutgers, the State University of New Jersey--New Brunswick
0458	1	Sacred Heart University
0459	1	Salem College
0460	1	Salisbury University
0461	1	Salve Regina University
0462	1	Samford University
0463	1	San Diego State University
0464	1	San Francisco State University
0465	1	San Jose State University
0466	1	Santa Clara University
0467	1	Santa Fe University of Art and Design
0468	1	Schreiner University
0469	1	Scripps College
0470	1	Seattle Pacific University
0471	1	Seattle University
0472	1	Seton Hall University
0473	1	Seton Hill University
0474	1	Sewanee--University of the South
0475	1	Shawnee State University
0476	1	Shenandoah University
0477	1	Shepherd University
0478	1	Shippensburg University of Pennsylvania
0479	1	Shorter College
0480	1	Siena College
0481	1	Silver Lake College
0482	1	Simmons College
0483	1	Simpson College
0484	1	Skidmore College
0485	1	Slippery Rock University of Pennsylvania
0486	1	Smith College
0487	1	Sonoma State University
0488	1	South Carolina State University
0489	1	Southeastern University
0490	1	Southeast Missouri State University
0491	1	Southern Adventist University
0492	1	Southern Arkansas University
0493	1	Southern Connecticut State University
0494	1	Southern Illinois University--Carbondale
0495	1	Southern Illinois University--Edwardsville
0496	1	Southern Methodist University
0497	1	Southern Nazarene University
0498	1	Southern New Hampshire University
0499	1	Southern Oregon University
0500	1	Southern Polytechnic State University
0501	1	Southern Utah University
0502	1	Southern Wesleyan University
0503	1	Southwest Baptist University
0504	1	Southwestern College
0505	1	Southwestern University
0506	1	Southwest Minnesota State University
0507	1	Spelman College
0508	1	Spring Arbor University
0509	1	Springfield College
0510	1	Spring Hill College
0511	1	St. Ambrose University
0512	1	Stanford University
0513	1	St. Anselm College
0514	1	St. Bonaventure University
0515	1	St. Catherine University
0516	1	St. Cloud State University
0517	1	St. Edward's University
0518	1	Stephen F. Austin State University
0519	1	Stetson University
0520	1	Stevens Institute of Technology
0521	1	Stevenson University
0522	1	St. Francis College
0523	1	St. Francis University
0524	1	St. Gregory's University
0525	1	Stillman College
0526	1	St. John Fisher College
0527	1	St. John's College
0528	1	St. John's College
0529	1	St. John's University
0530	1	St. John's University
0531	1	St. Joseph College
0532	1	St. Joseph's College
0533	1	St. Joseph's College New York
0534	1	St. Joseph's University
0535	1	St. Lawrence University
0536	1	St. Leo University
0537	1	St. Louis University
0538	1	St. Martin's University
0539	1	St. Mary-of-the-Woods College
0540	1	St. Mary's College
0541	1	St. Mary's College of California
0542	1	St. Mary's College of Maryland
0543	1	St. Mary's University of Minnesota
0544	1	St. Mary's University of San Antonio
0545	1	St. Michael's College
0546	1	St. Norbert College
0547	1	St. Olaf College
0548	1	Stonehill College
0549	1	Stony Brook--SUNY
0550	1	St. Peter's College
0551	1	St. Thomas Aquinas College
0552	1	St. Thomas University
0553	1	St. Vincent College
0554	1	St. Xavier University
0555	1	Suffolk University
0556	1	SUNY College--Cortland
0557	1	SUNY College of Agriculture and Technology--Cobleskill
0558	1	SUNY College of Environmental Science and Forestry
0559	1	SUNY College of Technology--Alfred
0560	1	SUNY College of Technology--Delhi
0561	1	SUNY College--Oneonta
0562	1	SUNY College--Potsdam
0563	1	SUNY--Fredonia
0564	1	SUNY--Geneseo
0565	1	SUNY Institute of Technology--Utica/Rome
0566	1	SUNY Maritime College
0567	1	SUNY--New Paltz
0568	1	SUNY--Oswego
0569	1	SUNY--Plattsburgh
0570	1	Susquehanna University
0571	1	Swarthmore College
0572	1	Sweet Briar College
0573	1	Syracuse University
0574	1	Tabor College
0575	1	Bloomsburg University of Pennsylvania
0576	1	Bluefield College
0577	1	Blue Mountain College
0578	1	Bluffton University
0579	1	Boise State University
0580	1	Boston College
0581	1	Boston University
0582	1	Bowdoin College
0583	1	Bowling Green State University
0584	1	Bradley University
0585	1	Brandeis University
0586	1	Brenau University
0587	1	Brescia University
0588	1	Briar Cliff University
0589	1	Bridgewater College
0590	1	Brigham Young University--Idaho
0591	1	Brigham Young University--Provo
0592	1	Brown University
0593	1	Bryan College
0594	1	Bryant University
0595	1	Bryn Mawr College
0596	1	Bucknell University
0597	1	Buena Vista University
0598	1	Buffalo State College--SUNY
0599	1	Butler University
0600	1	Taylor University
0601	1	Temple University
0602	1	Tennessee Technological University
0603	1	Tennessee Wesleyan College
0604	1	Texas A&amp;M International University
0605	1	Texas A&amp;M University--College Station
0606	1	Texas A&amp;M University--Corpus Christi
0607	1	Texas Christian University
0608	1	Texas State University--San Marcos
0609	1	Texas Tech University
0610	1	Texas Wesleyan University
0611	1	Thomas Aquinas College
0612	1	Thomas College
0613	1	Thomas More College
0614	1	Toccoa Falls College
0615	1	Tougaloo College
0616	1	Touro College
0617	1	Towson University
0618	1	Transylvania University
0619	1	Trine University
0620	1	Trinity Christian College
0621	1	Trinity College
0622	1	Trinity University
0623	1	Troy University
0624	1	Truman State University
0625	1	Tufts University
0626	1	Tulane University
0627	1	Tuskegee University
0628	1	Union College
0629	1	Union College
0630	1	Union University
0631	1	United States Air Force Academy
0632	1	United States Coast Guard Academy
0633	1	United States Merchant Marine Academy
0634	1	United States Military Academy
0635	1	United States Naval Academy
0636	1	University at Albany--SUNY
0637	1	University at Buffalo--SUNY
0638	1	University of Alabama
0639	1	University of Alabama--Birmingham
0640	1	University of Alabama--Huntsville
0641	1	University of Alaska--Anchorage
0642	1	University of Arizona
0643	1	University of Arkansas
0644	1	University of Arkansas--Pine Bluff
0645	1	University of California--Berkeley
0646	1	University of California--Davis
0647	1	University of California--Irvine
0648	1	University of California--Los Angeles
0649	1	University of California--Riverside
0650	1	University of California--San Diego
0651	1	University of California--Santa Barbara
0652	1	University of California--Santa Cruz
0653	1	University of Central Arkansas
0654	1	University of Central Florida
0655	1	University of Central Missouri
0656	1	University of Charleston
0657	1	University of Chicago
0658	1	University of Cincinnati
0659	1	University of Colorado--Boulder
0660	1	University of Colorado--Colorado Springs
0661	1	University of Colorado--Denver
0662	1	University of Connecticut
0663	1	University of Dallas
0664	1	University of Dayton
0665	1	University of Delaware
0666	1	University of Denver
0667	1	University of Detroit Mercy
0668	1	University of Dubuque
0669	1	University of Evansville
0670	1	University of Findlay
0671	1	University of Florida
0672	1	University of Georgia
0673	1	University of Hartford
0674	1	University of Hawaii--Manoa
0675	1	University of Idaho
0676	1	University of Illinois--Chicago
0677	1	University of Illinois--Springfield
0678	1	University of Illinois--Urbana-Champaign
0679	1	University of Indianapolis
0680	1	University of Iowa
0681	1	University of Kansas
0682	1	University of Kentucky
0683	1	University of La Verne
0684	1	University of Louisville
0685	1	University of Maine
0686	1	University of Maine--Farmington
0687	1	University of Maine--Fort Kent
0688	1	University of Mary
0689	1	University of Mary Hardin-Baylor
0690	1	University of Maryland--Baltimore County
0691	1	University of Maryland--College Park
0692	1	University of Mary Washington
0693	1	University of Massachusetts--Amherst
0694	1	University of Massachusetts--Dartmouth
0695	1	University of Massachusetts--Lowell
0696	1	University of Miami
0697	1	University of Michigan--Ann Arbor
0698	1	University of Michigan--Dearborn
0699	1	University of Michigan--Flint
0700	1	University of Minnesota--Crookston
0701	1	University of Minnesota--Duluth
0702	1	University of Minnesota--Morris
0703	1	University of Minnesota--Twin Cities
0704	1	University of Mississippi
0705	1	University of Missouri
0706	1	University of Mobile
0707	1	University of Montana
0708	1	University of Montana--Western
0709	1	University of Montevallo
0710	1	University of Mount Union
0711	1	University of Nebraska--Kearney
0712	1	University of Nebraska--Lincoln
0713	1	University of Nebraska--Omaha
0714	1	University of Nevada--Reno
0715	1	University of New England
0716	1	University of New Hampshire
0717	1	University of New Haven
0718	1	University of North Alabama
0719	1	University of North Carolina--Asheville
0720	1	University of North Carolina--Chapel Hill
0721	1	University of North Carolina--Charlotte
0722	1	University of North Carolina--Greensboro
0723	1	University of North Carolina--Wilmington
0724	1	University of North Dakota
0725	1	University of Northern Iowa
0726	1	University of North Florida
0727	1	University of Notre Dame
0728	1	University of Oklahoma
0729	1	University of Oregon
0730	1	University of Pennsylvania
0731	1	University of Pittsburgh
0732	1	University of Pittsburgh--Bradford
0733	1	University of Pittsburgh--Johnstown
0734	1	University of Portland
0735	1	University of Puget Sound
0736	1	University of Redlands
0737	1	University of Rhode Island
0738	1	University of Richmond
0739	1	University of Rochester
0740	1	University of San Diego
0741	1	University of San Francisco
0742	1	University of Science and Arts of Oklahoma
0743	1	University of Scranton
0744	1	University of Sioux Falls
0745	1	University of South Alabama
0746	1	University of South Carolina
0747	1	University of South Carolina--Aiken
0748	1	University of South Carolina--Upstate
0749	1	University of Southern California
0750	1	University of Southern Maine
0751	1	University of South Florida
0752	1	University of St. Francis
0753	1	University of St. Francis
0754	1	University of St. Thomas
0755	1	University of St. Thomas
0756	1	University of Tampa
0757	1	University of Tennessee
0758	1	University of Tennessee--Chattanooga
0759	1	University of Tennessee--Martin
0760	1	University of Texas--Austin
0761	1	University of Texas--Dallas
0762	1	University of Texas of the Permian Basin
0763	1	University of Texas--San Antonio
0764	1	University of Texas--Tyler
0765	1	University of the Cumberlands
0766	1	University of the Incarnate Word
0767	1	University of the Ozarks
0768	1	University of the Pacific
0769	1	University of the Southwest
0770	1	University of Tulsa
0771	1	University of Utah
0772	1	University of Vermont
0773	1	University of Virginia
0774	1	University of Washington
0775	1	University of Wisconsin--Eau Claire
0776	1	University of Wisconsin--La Crosse
0777	1	University of Wisconsin--Madison
0778	1	University of Wisconsin--Oshkosh
0779	1	University of Wisconsin--Platteville
0780	1	University of Wisconsin--River Falls
0781	1	University of Wisconsin--Stevens Point
0782	1	University of Wisconsin--Stout
0783	1	University of Wisconsin--Superior
0784	1	University of Wisconsin--Whitewater
0785	1	University of Wyoming
0786	1	Ursinus College
0787	1	Ursuline College
0788	1	Utah State University
0789	1	Utica College
0790	1	Valdosta State University
0791	1	Valley City State University
0792	1	Valparaiso University
0793	1	Vanderbilt University
0794	1	Vanguard University of Southern California
0795	1	Vassar College
0796	1	Vaughn College of Aeronautics and Technology
0797	1	Vermont Technical College
0798	1	Villanova University
0799	1	Virginia Commonwealth University
0800	1	Virginia Military Institute
0801	1	Virginia State University
0802	1	Virginia Tech
0803	1	Virginia Union University
0804	1	Wabash College
0805	1	Wagner College
0806	1	Wake Forest University
0807	1	Walla Walla University
0808	1	Walsh University
0809	1	Warner Pacific College
0810	1	Warner University
0811	1	Warren Wilson College
0812	1	Wartburg College
0813	1	Washburn University
0814	1	Washington and Jefferson College
0815	1	Washington and Lee University
0816	1	Washington College
0817	1	Washington State University
0818	1	Washington University in St. Louis
0819	1	Wayland Baptist University
0820	1	Waynesburg University
0821	1	Wayne State College
0822	1	Weber State University
0823	1	Webster University
0824	1	Wellesley College
0825	1	Wells College
0826	1	Wesleyan College
0827	1	Wesleyan University
0828	1	Wesley College
0829	1	West Chester University of Pennsylvania
0830	1	Western Carolina University
0831	1	Western Illinois University
0832	1	Western Kentucky University
0833	1	Western Michigan University
0834	1	Western New England College
0835	1	Western Oregon University
0836	1	Western Washington University
0837	1	Westfield State College
0838	1	West Liberty University
0839	1	Westminster College
0840	1	Westminster College
0841	1	Westminster College
0842	1	Westmont College
0843	1	West Texas A&amp;M University
0844	1	West Virginia University
0845	1	West Virginia University Institute of Technology
0846	1	Wheaton College
0847	1	Wheaton College
0848	1	Wheeling Jesuit University
0849	1	Wheelock College
0850	1	Cabrini College
0851	1	Caldwell College
0852	1	California Baptist University
0853	1	California Institute of Technology
0854	1	California Lutheran University
0855	1	California Maritime Academy
0856	1	California Polytechnic State University--San Luis Obispo
0857	1	California State Polytechnic University--Pomona
0858	1	California State University--Chico
0859	1	California State University--Fresno
0860	1	California State University--Fullerton
0861	1	California State University--Long Beach
0862	1	California State University--Northridge
0863	1	California State University--Sacramento
0864	1	California State University--San Bernardino
0865	1	California State University--San Marcos
0866	1	California State University--Stanislaus
0867	1	Calvin College
0868	1	Campbellsville University
0869	1	Campbell University
0870	1	Canisius College
0871	1	Capital University
0872	1	Cardinal Stritch University
0873	1	Carleton College
0874	1	Carnegie Mellon University
0875	1	Whitman College
0876	1	Whittier College
0877	1	Whitworth University
0878	1	Widener University
0879	1	Wilkes University
0880	1	Willamette University
0881	1	William Jewell College
0882	1	William Paterson University of New Jersey
0883	1	Williams Baptist College
0884	1	Williams College
0885	1	William Woods University
0886	1	Wilmington College
0887	1	Wilson College
0888	1	Winona State University
0889	1	Winston-Salem State University
0890	1	Winthrop University
0891	1	Wisconsin Lutheran College
0892	1	Wittenberg University
0893	1	Wofford College
0894	1	Woodbury University
0895	1	Worcester Polytechnic Institute
0896	1	Xavier University
0897	1	Xavier University of Louisiana
0898	1	Yale University
0899	1	Yeshiva University
0900	1	York College
0901	1	York College of Pennsylvania
0902	1	Carroll College
0903	1	Carroll University
0904	1	Carson-Newman College
0905	1	Carthage College
0906	1	Case Western Reserve University
0907	1	Catawba College
0908	1	Catholic University of America
0909	1	Cazenovia College
0910	1	Cedarville University
0911	1	Central College
0912	1	Central Connecticut State University
0913	1	Central Methodist University
0914	1	Central Washington University
0915	1	Centre College
0916	1	Chadron State College
0917	1	Chaminade University of Honolulu
0918	1	Champlain College
0919	1	Chapman University
0920	1	Charleston Southern University
0921	1	Chatham University
0922	1	Chestnut Hill College
0923	1	Christian Brothers University
0924	1	The Citadel
0925	1	Claflin University
0926	1	Claremont McKenna College
0927	1	Clarion University of Pennsylvania
0928	1	Clarke University
0929	1	Clarkson University
0930	1	Clark University
0931	1	Clayton State University
0932	1	Clearwater Christian College
0933	1	Clemson University
0934	1	Coe College
0935	1	Coker College
0936	1	Colby College
0937	1	Colby-Sawyer College
0938	1	Colgate University
0939	1	College at Brockport--SUNY
0940	1	College of Charleston
0941	1	College of Idaho
0942	1	College of Mount St. Joseph
0943	1	College of Mount St. Vincent
0944	1	College of New Jersey
0945	1	College of Notre Dame of Maryland
0946	1	College of Our Lady of the Elms
0947	1	College of St. Benedict
0948	1	College of St. Elizabeth
0949	1	College of St. Mary
0950	1	College of St. Rose
0951	1	College of St. Scholastica
0952	1	College of the Atlantic
0953	1	College of the Holy Cross
0954	1	College of the Ozarks
0955	1	College of William and Mary
0956	1	College of Wooster
0957	1	Colorado Christian University
0958	1	Colorado College
0959	1	Colorado School of Mines
0960	1	Colorado State University
0961	1	Columbia College
0962	1	Columbia College
0963	1	Columbia University
0964	1	Concordia College
0965	1	Concordia College--Moorhead
0966	1	Concordia University
0967	1	Concordia University
0968	1	Concordia University
0969	1	Concordia University Chicago
0970	1	Concordia University--St. Paul
0971	1	Concordia University Texas
0972	1	Concordia University Wisconsin
0973	1	Concord University
0974	1	Connecticut College
0975	1	Converse College
0976	1	Cooper Union
0977	1	Corban University
0978	1	Cornell College
0979	1	Cornell University
0980	1	Covenant College
0981	1	Creighton University
0982	1	Crown College
0983	1	Culver-Stockton College
0984	1	CUNY--Baruch College
0985	1	CUNY--Brooklyn College
0986	1	CUNY--City College
0987	1	CUNY--Hunter College
0988	1	CUNY--John Jay College of Criminal Justice
0989	1	CUNY--Lehman College
0990	1	CUNY--Queens College
0991	1	Curry College
0992	1	Dakota State University
0993	1	Dakota Wesleyan University
0994	1	Dallas Baptist University
0995	1	Dartmouth College
0996	1	Davidson College
0997	1	Davis and Elkins College
0998	1	Defiance College
0999	1	Delaware Valley College
1000	1	Delta State University
1001	1	Denison University
1002	1	DePaul University
1003	1	DePauw University
1004	1	DeSales University
1005	1	Dickinson College
1006	1	Dickinson State University
1007	1	Doane College
1008	1	Dominican University
1009	1	Dominican University of California
1010	1	Dordt College
1011	1	Drake University
1012	1	Drew University
1013	1	Drexel University
1014	1	Drury University
1015	1	Duke University
1016	1	Duquesne University
1017	1	D'Youville College
1018	1	Earlham College
1019	1	Eastern Connecticut State University
1020	1	Eastern Illinois University
1021	1	Eastern Kentucky University
1022	1	Eastern Mennonite University
1023	1	Eastern Michigan University
1024	1	Eastern Nazarene College
1025	1	Eastern University
1026	1	Eastern Washington University
