university	matchcollege	website
0105	1	www.hawaii.hawaii.edu
0106	1	www.honolulu.hawaii.edu
0107	1	kapiolani.hawaii.edu
0108	1	www.kauai.hawaii.edu
0109	1	www.leeward.hawaii.edu
0110	1	windward.hawaii.edu
0111	1	www.chaminade.edu
0112	1	www.hpu.edu
0113	1	acupuncture-hi.com
0114	1	www.hti.edu
0115	1	www.mash.edu
0116	1	WWW.TIPHAWAII.COM
0117	1	www.boisestate.edu
0118	1	www.csi.edu
0119	1	www.eitc.edu
0120	1	www.nic.edu
0121	1	www.boisebible.edu
0122	1	WWW.ITT-TECH.EDU
0123	1	www.nnu.edu
0124	1	www.collegeofidaho.edu
0125	1	www.apollocollege.edu
0126	1	careerbeautycollege.com
0127	1	www.headmastersschoolhairdesign.com
0128	1	www.razzledazzlecollege.com
0129	1	www.eiu.edu
0130	1	www.govst.edu
0131	1	www.niu.edu
0132	1	www.siuc.edu
0133	1	www.siue.edu
0134	1	www.uic.edu
0135	1	www.illinois.edu
0136	1	hwashington.ccc.edu
0137	1	malcolmx.ccc.edu
0138	1	wright.ccc.edu
0139	1	www.dacc.edu
0140	1	www.elgin.edu
0141	1	www.heartland.edu
0142	1	www.icc.edu
0143	1	www.iecc.edu
0144	1	www.iecc.edu
0145	1	www.jalc.edu
0146	1	www.kaskaskia.edu
0147	1	www.lakelandcollege.edu
0148	1	www.mchenry.edu
0149	1	www.morton.edu
0150	1	www.oakton.edu
0151	1	www.prairiestate.edu
0152	1	www.sic.edu
0153	1	www.swic.edu
0154	1	www.src.edu
0155	1	www.triton.edu
0156	1	www.waubonsee.edu
0157	1	www.schools.lth5.k12.il.us
0158	1	www.adler.edu
0159	1	www.aurora.edu
0160	1	www.bradley.edu
0161	1	www.ctschicago.edu
0162	1	www.devry.edu
0163	1	www.dom.edu
0164	1	www.erikson.edu
0165	1	www.northshore.org
0166	1	www.greenville.edu
0167	1	WWW.INTERIORDESIGN.EDU
0168	1	www.htc.edu
0169	1	www.ic.edu
0170	1	www.iit.edu
0171	1	www.icsw.edu
0172	1	www.judsonu.edu
0173	1	www.kendall.edu
0174	1	www.lccs.edu
0175	1	www.meadville.edu
0176	1	www.monm.edu
0177	1	www.nl.edu
0178	1	northcentralcollege.edu
0179	1	www.northpark.edu
0180	1	www.robertmorris.edu
0181	1	www.rockford.edu
0182	1	www.roosevelt.edu
0183	1	WWW.RUSHU.RUSH.EDU
0184	1	sacn.edu
0185	1	www.saic.edu
0186	1	www.shimer.edu
0187	1	www.spertus.edu
0188	1	www.st-johns.org
0189	1	www.trinitycollegeqc.edu
0190	1	WWW.UCHICAGO.EDU
0191	1	www.vandercook.edu
0192	1	www.wheaton.edu
0193	1	www.advocatehealth.com
0194	1	www.coyneamerican.edu
0195	1	www.foxcollege.edu
0196	1	www.gbeautyinstitutes.com
0197	1	www.quinnipiac.edu
0198	1	www.maccormac.edu
0199	1	www.morrison.tec.il.us
0200	1	www.mrjohns.com
0201	1	www.sparkscollege.org
0202	1	www.cotedu.com
0203	1	WWW.CHICNET.ORG
0204	1	www.cbcon51st.org
0205	1	www.cameobeautyacademy.com
0206	1	www.gbeautyinstitutes.com
0207	1	midwesttech.edu
0208	1	nilesbeautyschool.com
0209	1	www.uscart.com
0210	1	www.bsu.edu
0211	1	www.indstate.edu
0212	1	www.iue.edu
0213	1	www.iuk.edu
0214	1	www.iupui.edu
0215	1	www.iusb.edu
0216	1	www.ius.edu
0217	1	www.calumet.purdue.edu
0218	1	www.vinu.edu
0219	1	www.ivytech.edu
0220	1	www.ivytech.edu
0221	1	www.ivytech.edu
0222	1	www.ivytech.edu
0223	1	www.ivytech.edu
0224	1	www.ivytech.edu
0225	1	www.goivytech.net
0226	1	www.ivytech.edu
0227	1	www.mcslink.net
0228	1	www.anderson.edu
0229	1	www.bethelcollege.edu
0230	1	www.allalliedhealthschools.com
0231	1	www.butler.edu
0232	1	www.ccsj.edu
0233	1	www.cts.edu
0234	1	www.depauw.edu
0235	1	www.earlham.edu
0236	1	www.hanover.edu
0237	1	www.huntington.edu
0238	1	www.ibcschools.edu
0239	1	www.itt-tech.edu
0240	1	www.itt-tech.edu
0241	1	www.manchester.edu
0242	1	www.saintmarys.edu
0243	1	www.saintmeinrad.edu
0244	1	www.trine.edu
0245	1	www.evansville.edu
0246	1	www.sf.edu
0247	1	www.wabash.edu
0248	1	www.ancilla.edu
0249	1	www.ccr.edu
0250	1	www.medtechcollege.com
0251	1	www.steson.org
0252	1	www.thehairartsacademy.com
0253	1	idealbeautyacademy.net
0254	1	lafayettebeautyacademy.com
0255	1	GOTOPJS.COM
0256	1	rogershairacademy.com
0257	1	www.successbarberschool.com
0258	1	www.uni.edu
0259	1	www.dmacc.edu
0260	1	www.eicc.edu
0261	1	www.ellsworthcollege.com
0262	1	www.hawkeyecollege.edu
0263	1	www.iowacentral.edu
0264	1	www.iavalley.edu
0265	1	www.aib.edu
0266	1	www.ashford.edu
0267	1	www.clarke.edu
0268	1	www.coe.edu
0269	1	www.cornellcollege.edu
0270	1	www.dordt.edu
0271	1	www.emmaus.edu
0272	1	www.faith.edu
0273	1	www.iwc.edu
0274	1	www.luther.edu
0275	1	www.mum.edu
0276	1	www.uiu.edu
0277	1	www.waldorf.edu
0278	1	www.wartburg.edu
0279	1	www.wartburgseminary.edu
0280	1	americancollegeofhair.com
0281	1	www.americancollegeofhair.com
0282	1	www.capricollege.com
0283	1	www.capricollege.com
0284	1	www.capricollege.edu
0285	1	CHD.net
0286	1	www.iowahealth.org
0287	1	IOWASCHOOLOFBEAUTY.COM
0288	1	IOWASCHOOLOFBEAUTY.COM
0289	1	iowaschoolofbeauty.com
0290	1	www.lajames.com
0291	1	lajames.net
0292	1	lajames.net
0293	1	www.vatterott-college.edu
0294	1	www.emporia.edu
0295	1	www.wichita.edu
0296	1	www.allencc.edu
0297	1	www.butlercc.edu
0298	1	www.coffeyville.edu
0299	1	www.cowley.edu
0300	1	www.fhtc.edu
0301	1	www.fortscott.edu
0302	1	www.gcccks.edu
0303	1	www.hutchcc.edu
0304	1	www.labette.edu
0305	1	www.matc.net
0306	1	www.ncktc.edu
0307	1	www.salinatech.com
0308	1	www.watc.edu
0309	1	www.kats.tec.ks.us
0310	1	www.bakeru.edu
0311	1	www.bethanylb.edu
0312	1	www.bethelks.edu
0313	1	www.cbts.edu
0314	1	www.centralchristian.edu
0315	1	donnelly.edu
0316	1	www.friends.edu
0317	1	www.mcpherson.edu
0318	1	www.mnu.edu
0319	1	www.ottawa.edu
0320	1	www.sckans.edu
0321	1	www.sterling.edu
0322	1	www.tabor.edu
0323	1	www.bryancollege.com
0324	1	www.aibonline.org
0325	1	www.bmsi.edu
0326	1	cuttingedge-kc.com
0327	1	www.vksc.edu
0328	1	xenonintl.com
0329	1	www.xenonintl.com
0330	1	www.eku.edu
0331	1	www.uky.edu
0332	1	www.louisville.edu
0333	1	www.wku.edu
0334	1	www.bowlinggreen.kctcs.edu
0335	1	www.jefferson.kctcs.edu
0336	1	WWW.MADCC.KCTCS.EDU
0337	1	www.maycc.kctcs.edu
0338	1	www.southeast.kctcs.edu
0339	1	www.asburyseminary.edu
0340	1	www.beckfield.edu
0341	1	www.brescia.edu
0342	1	www.centre.edu
0343	1	www.georgetowncollege.edu
0344	1	www.kmbc.edu
0345	1	www.lextheo.edu
0346	1	www.lpts.edu
0347	1	www.midcontinent.edu
0348	1	www.midway.edu
0349	1	www.pc.edu
0350	1	www.sccky.edu
0351	1	www.sbts.edu
0352	1	www.unionky.edu
0353	1	www.galencollege.edu
0354	1	www.Paducahtech.edu
0355	1	GOTOPJS.COM
0356	1	www.empire.edu
0357	1	www.empire.edu
0358	1	www.empire.edu
0359	1	www.cte.edu
0360	1	www.gram.edu
0361	1	www.lsus.edu
0362	1	www.lsu.edu
0363	1	www.sh.lsuhsc.edu
0364	1	www.nicholls.edu
0365	1	www.subr.edu
0366	1	www.suno.edu
0367	1	www.ulm.edu
0368	1	www.uno.edu
0369	1	WWW.DCC.EDU
0370	1	www.ftcc.edu
0371	1	www.lsue.edu
0372	1	www.rpcc.edu
0373	1	www.southlouisiana.edu
0374	1	www.susla.edu
0375	1	www.sowela.edu
0376	1	www.lacollege.edu
0377	1	www.loyno.edu
0378	1	www.nds.edu
0379	1	www.xula.edu
0380	1	www.brc.edu
0381	1	www.camelotcollege.com
0382	1	www.cameroncollege.com
0383	1	www.deltatech.edu
0384	1	www.iticollege.edu
0385	1	www.medvance.edu
0386	1	remingtoncollege.edu
0387	1	www.ascensioncollege.org
0388	1	www.avedainstitutesbb.com
0389	1	www.deltacollege.com
0390	1	www.dda.edu
0391	1	omegainstitutes.com
0392	1	SLBC-HOUMA.COM
0393	1	www.stageoneinc.com
0394	1	www.stevensonsacademy.com
0395	1	www.umaine.edu
0396	1	www.umm.maine.edu
0397	1	www.cmcc.edu
0398	1	www.nmcc.edu
0399	1	www.yccc.edu
0400	1	www.colby.edu
0401	1	www.coa.edu
0402	1	www.husson.edu
0403	1	www.sjcme.edu
0404	1	www.unity.edu
0405	1	bealcollege.edu
0406	1	www.birthwisemidwifery.org
0407	1	portal.kaplanuniversity.edu
0408	1	www.mercyhospital.org
0409	1	www.landingschool.edu
0410	1	www.empire.edu
0411	1	home.nau.edu
0412	1	www.cgc.maricopa.edu
0413	1	www.dinecollege.edu
0414	1	www.emc.maricopa.edu
0415	1	www.mohave.edu
0416	1	www.anthem.edu
0417	1	www.asaom.edu
0418	1	www.gcu.edu
0419	1	www.ncu.edu
0420	1	www.pihma.edu
0421	1	www.theartcenter.edu
0422	1	www.aipx.aii.edu
0423	1	www.artinstitutes.edu
0424	1	www.phoenix.edu
0425	1	www.wintu.edu
0426	1	www.arizonacollege.edu
0427	1	www.collegeamerica.edu
0428	1	www.kc-phoenix.com
0429	1	www.lamsoncollege.com
0430	1	uticorp.com
0431	1	uticorp.com
0432	1	www.ait-schools.com
0433	1	www.arizonaacademy.com
0434	1	artisticbeautycolleges.com
0435	1	www.empire.edu
0436	1	cortiva.com
0437	1	www.cortiva.com
0438	1	www.intlacademy.biz
0439	1	www.roberto-venn.com
0440	1	www.coppin.edu
0441	1	www.smcm.edu
0442	1	www.ubalt.edu
0443	1	www.umbc.edu
0444	1	www.umes.edu
0445	1	www.allegany.edu
0446	1	www.aacc.edu
0447	1	www.chesapeake.edu
0448	1	www.hagerstowncc.edu
0449	1	www.howardcc.edu
0450	1	www.montgomerycollege.edu
0451	1	www.ccbcmd.edu
0452	1	www.ndm.edu
0453	1	getinfo.kaplancollege.com
0454	1	www.jhu.edu
0455	1	www.mica.edu
0456	1	www.msmary.edu
0457	1	WWW.TAI.EDU
0458	1	www.stevenson.edu
0459	1	www.cuc.edu
0460	1	www.washcoll.edu
0461	1	www.tesst.com
0462	1	WWW.TESST.COM
0463	1	www.americanbeautyacademy.org
0464	1	www.AwardBeautySchool.com
0465	1	www.hairex.com
0466	1	www.lincolntech.com
0467	1	www.baltimorestudio.net
0468	1	medixschool.edu
0469	1	www.MontgomeryBeautySchool.com
0470	1	www.bridgew.edu
0471	1	WWW.UML.EDU
0472	1	www.umass.edu
0473	1	www.umassmed.edu
0474	1	www.wsc.ma.edu
0475	1	www.worcester.edu
0476	1	www.capecod.edu
0477	1	www.hcc.mass.edu
0478	1	www.massbay.edu
0479	1	www.northshore.edu
0480	1	www.rcc.mass.edu
0481	1	www.stcc.edu
0482	1	www.bluehills.org
0483	1	www.sti-tech.info
0484	1	www.aic.edu
0485	1	www.ants.edu
0486	1	www.assumption.edu
0487	1	www.babson.edu
0488	1	www.simons-rock.edu
0489	1	www.baypath.edu
0490	1	www.baystate.edu
0491	1	www.becker.edu
0492	1	www.berklee.edu
0493	1	www.bc.edu
0494	1	www.bu.edu
0495	1	www.brandeis.edu
0496	1	WWW.CAMBRIDGECOLLEGE.EDU
0497	1	www.clarku.edu
0498	1	www.elms.edu
0499	1	www.holycross.edu
0500	1	www.csld.edu
0501	1	www.emerson.edu
0502	1	www.emmanuel.edu
0503	1	www.fisher.edu
0504	1	www.harvard.edu
0505	1	hchc.edu
0506	1	www.lasell.edu
0507	1	www.mcphs.edu
0508	1	www.mslaw.edu
0509	1	www.merrimack.edu
0510	1	www.mtholyoke.edu
0511	1	www.mountida.edu
0512	1	www.ngs.edu
0513	1	www.neco.edu
0514	1	www.nesl.edu
0515	1	www.newbury.edu
0516	1	www.pmc.edu
0517	1	www.regiscollege.edu
0518	1	www.smfa.edu
0519	1	www.snesl.edu
0520	1	www.spfldcol.edu
0521	1	www.suffolk.edu
0522	1	www.newenglandconservatory.edu
0523	1	www.tufts.edu
0524	1	www.wellesley.edu
0525	1	www.wheatoncollege.edu
0526	1	www.wheelock.edu
0527	1	www.FINE-NE.COM
0528	1	www.gibbsboston.edu
0529	1	www.laboure.edu
0530	1	www.lmregisnurse.org
0531	1	www.NESOP.com
0532	1	www.nbss.org
0533	1	www.bancroftsmt.com
0534	1	www.empire.edu
0535	1	www.empire.edu
0536	1	www.everest.edu
0537	1	hallmark.edu
0538	1	www.lincolntech.com
0539	1	www.lowellacademy.com
0540	1	www.mpi.edu
0541	1	www.retstech.com
0542	1	www.rob-roy.com
0543	1	www.sctrain.com
0544	1	www.emich.edu
0545	1	www.gvsu.edu
0546	1	www.lssu.edu
0547	1	www.msu.edu
0548	1	www.mtu.edu
0549	1	www.nmu.edu
0550	1	www.oakland.edu
0551	1	www.svsu.edu
0552	1	www.umich.edu
0553	1	www.umd.umich.edu
0554	1	www.umflint.edu
0555	1	www.wayne.edu
0556	1	www.alpenacc.edu
0557	1	www.baycollege.edu
0558	1	glenoaks.edu
0559	1	www.michigan.gov
0560	1	www.montcalm.edu
0561	1	www.mcc.edu
0562	1	www.schoolcraft.edu
0563	1	www.wccnet.edu
0564	1	www.westshore.edu
0565	1	www.alma.edu
0566	1	www.andrews.edu
0567	1	www.aquinas.edu
0568	1	www.avemarialaw.edu
0569	1	www.cornerstone.edu
0570	1	www.davenport.edu
0571	1	www.etseminary.org
0572	1	www.itt-tech.edu
0573	1	www.kzoo.edu
0574	1	www.madonna.edu
0575	1	www.marygrove.edu
0576	1	www.mji.edu
0577	1	www.mispp.edu
0578	1	www.law.msu.edu
0579	1	www.mts.edu
0580	1	WWW.SHMS.EDU
0581	1	www.sienaheights.edu
0582	1	www.arbor.edu
0583	1	www.millercollege.edu
0584	1	www.cooley.edu
0585	1	www.westernsem.edu
0586	1	www.miat.edu
0587	1	www.empire.edu
0588	1	davidpressleyschool.com
0589	1	www.dorsey.edu
0590	1	www.everest.edu
0591	1	MichiganCollegeBeauty.com
0592	1	www.northwesterntech.org
0593	1	www.rossmedicaleducation.com
0594	1	www.rossmedicaleducation.com
0595	1	virginiafarrell.com
0596	1	virginiafarrell.com
0597	1	www.mnsu.edu
0598	1	www.mnstate.edu
0599	1	www.southwestmsu.edu
0600	1	www.umcrookston.edu
0601	1	www.d.umn.edu
0602	1	www.winona.edu
0603	1	www.alextech.edu
0604	1	www.anokaramsey.edu
0605	1	www.century.edu
0606	1	www.dctc.edu
0607	1	www.fdltcc.edu
0608	1	www.hennepintech.edu
0609	1	www.hibbing.edu
0610	1	www.inverhills.edu
0611	1	WWW.ITASCACC.EDU
0612	1	www.minneapolis.edu
0613	1	www.southeastmn.edu
0614	1	www.nhcc.edu
0615	1	www.northlandcollege.edu
0616	1	www.pinetech.edu
0617	1	www.rrcc.mnscu.edu
0618	1	www.riverland.edu
0619	1	www.rctc.edu
0620	1	www.sctc.edu
0621	1	www.alfredadler.edu
0622	1	www.stkate.edu
0623	1	www.cva.edu
0624	1	www.cord.edu
0625	1	www.csp.edu
0626	1	www.crown.edu
0627	1	WWW.GUSTAVUS.EDU
0628	1	www.herzing.edu
0629	1	www.luthersem.edu
0630	1	www.macalester.edu
0631	1	www.msbcollege.edu
0632	1	www.nwc.edu
0633	1	www.nwhealth.edu
0634	1	www.rasmussen.edu
0635	1	www.smumn.edu
0636	1	www.stolaf.edu
0637	1	www.aim.artinstitutes.edu
0638	1	www.unitedseminary.edu
0639	1	www.wmitchell.edu
0640	1	minneapolisbusinesscollege.edu
0641	1	www.nti.edu
0642	1	www.wetcc.org
0643	1	www.eastmetrooic.org
0644	1	www.modelcollegeofhairdesign.com
0645	1	www.alcorn.edu
0646	1	www.deltastate.edu
0647	1	www.jsums.edu
0648	1	www.mvsu.edu
0649	1	www.olemiss.edu
0650	1	www.colin.edu
0651	1	www.iccms.edu
0652	1	www.jcjc.edu
0653	1	www.meridiancc.edu
0654	1	www.msdelta.edu
0655	1	www.nemcc.edu
0656	1	www.northwestms.edu
0657	1	www.smcc.edu
0658	1	www.magnolia.edu
0659	1	www.millsaps.edu
0660	1	www.mc.edu
0661	1	www.rustcollege.edu
0662	1	www.tougaloo.edu
0663	1	www.wbs.edu
0664	1	www.wesleycollege.edu
0665	1	www.ChrisBeautyCollege.com
0666	1	www.magnoliacollegeofcosmetology.com
0667	1	www.academyofhair.com
0668	1	www.hssu.edu
0669	1	www.lincolnu.edu
0670	1	www.missouriwestern.edu
0671	1	www.nwmissouri.edu
0672	1	www.truman.edu
0673	1	www.ucmo.edu
0674	1	www.umsl.edu
0675	1	www.crowder.edu
0676	1	www.eldoncareercenter.org
0677	1	www.hannibal.tec.mo.us
0678	1	www.hillyardtech.com
0679	1	www.linnstate.edu
0680	1	www.mineralarea.edu
0681	1	www.macc.edu
0682	1	www.nicholscareercenter.org
0683	1	www.ncmissouri.edu
0684	1	www.otc.edu
0685	1	sfccmo.edu
0686	1	www.trcc.edu
0687	1	www.btec.boonville.k12.mo.us
0688	1	www.capectc.org
0689	1	www.washington.k12.mo.us
0690	1	www.franklintechjoplin.com
0691	1	www.grts.org
0692	1	www.kennett.k12.mo.us
0693	1	www.kirksville.k12.mo.us
0694	1	www.lexlaray.com
0695	1	www.northlandcareercenter.com
0696	1	www.r1schools.org
0697	1	www.marshallschools.com
0698	1	www.sikeston.k12.mo.us
0699	1	waynesville.k12.mo.us
0700	1	www.agts.edu
0701	1	www.cbcag.edu
0702	1	www.centralmethodist.edu
0703	1	www.cofo.edu
0704	1	www.ccis.edu
0705	1	WWW.CSL.EDU
0706	1	www.drury.edu
0707	1	www.evangel.edu
0708	1	www.hlg.edu
0709	1	www.hickeycollege.edu
0710	1	www.itt-tech.edu
0711	1	www.coxcollege.edu
0712	1	www.logan.edu
0713	1	www.maryville.edu
0714	1	www.midwest.edu
0715	1	www.nts.edu
0716	1	www.park.edu
0717	1	www.ranken.edu
0718	1	www.rockhurst.edu
0719	1	www.imagine.slu.edu
0720	1	www.sbuniv.edu
0721	1	www.stlcop.edu
0722	1	www.stephens.edu
0723	1	www.wustl.edu
0724	1	WWW.WESTMINSTER-MO.EDU
0725	1	www.jewell.edu
0726	1	www.bryancollege.com
0727	1	www.cottey.edu
0728	1	WWW.METROBUSINESSCOLLEGE.EDU
0729	1	midwestinstitute.com
0730	1	PCITRAINING.EDU
0731	1	www.southeastmissourihospitalcollege.edu
0732	1	www.slchc.com
0733	1	www.americancollegeofhairdesign.com
0734	1	www.chillicothecosmetology.com
0735	1	neoshobeautycollege.com
0736	1	parisii.net
0737	1	www.pmtc.edu
0738	1	SAINTLOUISHAIRACADEMY.COM
0739	1	www.montana.edu
0740	1	www.msubillings.edu
0741	1	www.mtech.edu
0742	1	www.umt.edu
0743	1	www.umwestern.edu
0744	1	www.fbcc.edu
0745	1	www.fpcc.edu
0746	1	milescc.edu
0747	1	www.msugf.edu
0748	1	www.umhelena.edu
0749	1	www.carroll.edu
0750	1	www.skc.edu
0751	1	www.academycosmetology.com
0752	1	www.bfcc.org
0753	1	www.csc.edu
0754	1	www.peru.edu
0755	1	www.unomaha.edu
0756	1	www.wsc.edu
0757	1	www.mpcc.edu
0758	1	www.thenicc.edu
0759	1	BELLEVUE.EDU
0760	1	www.bryanlghcollege.org
0761	1	www.clarksoncollege.edu
0762	1	WWW.CSM.EDU
0763	1	www.creighton.edu
0764	1	www.dana.edu
0765	1	www.doane.edu
0766	1	www.MLC.edu
0767	1	nechristian.edu
0768	1	www.methodistcollege.edu
0769	1	www.nebrwesleyan.edu
0770	1	www.josephscollege.com
0771	1	www.lajamesinternational.com
0772	1	www.myotherapy.edu
0773	1	www.ucha.com
0774	1	vatterott-college.edu
0775	1	www.csn.edu
0776	1	www.unlv.edu
0777	1	www.wnc.edu
0778	1	www.tmcc.edu
0779	1	www.sierranevada.edu
0780	1	www.usn.edu
0781	1	www.academylasvegas.com
0782	1	northwesthealthcareers.com
0783	1	www.granite.edu
0784	1	www.plymouth.edu
0785	1	www.greatbay.edu
0786	1	www.lrcc.edu
0787	1	www.nashuacc.edu
0788	1	www.rivervalley.edu
0789	1	www.chestercollege.edu
0790	1	www.colby-sawyer.edu
0791	1	www.dwc.edu
0792	1	www.piercelaw.edu
0793	1	www.franklinpierce.edu
0794	1	www.hesser.edu
0795	1	www.magdalen.edu
0796	1	www.anselm.edu
0797	1	continentalacademie.net
0798	1	empirebeautyschools.com
0799	1	www.estheticsinstitute.net
0800	1	WWW.KEENEBEAUTYACADEMY.COM
0801	1	www.neschoolofhairdesign.com
0802	1	www.portsmouthbeautyschool.com
0803	1	www.sjhacademiccenter.org
0804	1	WWW.SAUMAG.EDU
0805	1	www.uca.edu
0806	1	www.anc.edu
0807	1	cccua.edu
0808	1	WWW.EACC.EDU
0809	1	www.npcc.edu
0810	1	www.nwacc.edu
0811	1	www.pccua.edu
0812	1	www.pulaskitech.edu
0813	1	www.rmcc.edu
0814	1	www.uaccb.edu
0815	1	www.uaccm.edu
0816	1	www.crti.tec.ar.us
0817	1	www.ecollege.edu
0818	1	www.harding.edu
0819	1	www.ozarks.edu
0820	1	www.wbcoll.edu
0821	1	www.baptisthealthschools.org
0822	1	www.jrmc.org
0823	1	www.arkadelphiabeautycollege.com
0824	1	www.fayettevillebeautycollege.edu
0825	1	LSCTraining.com
0826	1	www.mellies.org
0827	1	www.kean.edu
0828	1	www.njit.edu
0829	1	www.ramapo.edu
0830	1	www.rowan.edu
0831	1	www.tcnj.edu
0832	1	www.tesc.edu
0833	1	www.umdnj.edu
0834	1	www.wpunj.edu
0835	1	www.bcc.edu
0836	1	WWW.CCM.EDU
0837	1	www.cccnj.edu
0838	1	www.essex.edu
0839	1	www.gccnj.edu
0840	1	www.mccc.edu
0841	1	www.middlesexcc.edu
0842	1	www.raritanval.edu
0843	1	www.scti.org
0844	1	www.warren.edu
0845	1	www.fdu.edu
0846	1	www.felician.edu
0847	1	www.spc.edu
0848	1	www.shu.edu
0849	1	www.stevens.edu
0850	1	www.acs350.org
0851	1	rbmc.org
0852	1	WWW.DUCRET.EDU
0853	1	www.healthcaretraininginstitute.com
0854	1	www.microtechtrainingcenter.com
0855	1	WWW.MUHLENBERGSCHOOLS.ORG
0856	1	WWW.SB-NJ.COM
0857	1	www.teterboroschool.com
0858	1	www.capriinstitute.com
0859	1	www.cortiva.com
0860	1	www.eastwickcolleges.com
0861	1	WWW.LINCOLNTECH.COM
0862	1	www.lincolntech.com
0863	1	www.omegacareers.com
0864	1	www.parisianbeautyacademy.com
0865	1	www.iaia.edu
0866	1	www.nmhu.edu
0867	1	nnmc.edu
0868	1	www.cnm.edu
0869	1	www.luna.edu
0870	1	www.mesalands.edu
0871	1	www.nmjc.edu
0872	1	www.nmmi.edu
0873	1	WWW.SANJUANCOLLEGE.EDU
0874	1	www.sfccnm.edu
0875	1	www.sipi.edu
0876	1	www.swc.edu
0877	1	www.mtti.org
0878	1	www.ccny.cuny.edu
0879	1	www.csi.cuny.edu
0880	1	www.hunter.cuny.edu
0881	1	www.mec.cuny.edu
0882	1	www.stonybrook.edu
0883	1	www.potsdam.edu
0884	1	www.albany.edu
0885	1	www.fredonia.edu
0886	1	www.geneseo.edu
0887	1	www.cortland.edu
0888	1	WWW.OLDWESTBURY.EDU
0889	1	www.oneonta.edu
0890	1	www.purchase.edu
0891	1	www.esf.edu
0892	1	www.alfredstate.edu
0893	1	www.canton.edu
0894	1	www.esc.edu
0895	1	WWW.USMMA.EDU
0896	1	www.usma.edu
0897	1	WWW.SUNYACC.EDU
0898	1	www.clinton.edu
0899	1	www.bmcc.cuny.edu
0900	1	www.hostos.cuny.edu
0901	1	www.lagcc.cuny.edu
0902	1	www.Qcc.cuny.edu
0903	1	www.ecc.edu
0904	1	www.herkimer.edu
0905	1	www.sunyjcc.edu
0906	1	www.sunyjefferson.edu
0907	1	www.monroecc.edu
0908	1	www.ncc.edu
0909	1	www.niagaracc.suny.edu
0910	1	www3.sunysuffolk.edu
