university	embark	type
0483	1	Public
0484	1	PUBLIC
0485	1	PRIVATE
0486	1	Public
0487	1	Private
0488	1	Private
0489	1	Public
0490	1	Public
0491	1	PRIVATE
0492	1	Public
0493	1	PRIVATE
0494	1	PRIVATE
0495	1	Private
0496	1	Public
0497	1	PRIVATE
0498	1	Public
0499	1	Public
0500	1	Private
0501	1	Private
0502	1	Private
0503	1	Private
0504	1	Public
0505	1	Public
0506	1	Public
0507	1	Public
0508	1	PUBLIC
0509	1	Public
0510	1	Private
0511	1	PRIVATE
0512	1	Private
0513	1	PRIVATE
0514	1	Private
0515	1	Private
0516	1	PRIVATE
0517	1	Private
0518	1	Private
0519	1	Private
0520	1	Private
0521	1	Public
0522	1	Public
0523	1	Private
0524	1	Private
0525	1	Public
0526	1	Public
0527	1	PRIVATE
0528	1	Private
0529	1	PRIVATE
0530	1	PUBLIC
0531	1	Private
0532	1	Private
0533	1	PRIVATE
0534	1	Public
0535	1	PUBLIC
0536	1	PRIVATE
0537	1	Public
0538	1	PUBLIC
0539	1	Private
0540	1	Private
0541	1	Private
0542	1	PUBLIC
0543	1	Public
0544	1	PUBLIC
0545	1	PRIVATE
0546	1	Private
0547	1	Public
0548	1	Private
0549	1	Public
0550	1	Private
0551	1	Public
0552	1	PRIVATE
0553	1	Public
0554	1	PRIVATE
0555	1	Private
0556	1	Private
0557	1	PRIVATE
0558	1	Public
0559	1	PUBLIC
0560	1	Private
0561	1	Public
0562	1	PUBLIC
0563	1	Public
0564	1	PRIVATE
0565	1	PRIVATE
0566	1	PRIVATE
0567	1	PRIVATE
0568	1	PRIVATE
0569	1	Private
0570	1	Private
0571	1	PUBLIC
0572	1	PRIVATE
0573	1	Public
0574	1	Public
0575	1	PRIVATE
0576	1	Public
0577	1	PRIVATE
0578	1	Public
0579	1	Public
0580	1	Public
0581	1	Private
0582	1	PUBLIC
0583	1	Public
0584	1	PRIVATE
0585	1	PUBLIC
0586	1	PUBLIC
0587	1	Public
0588	1	PUBLIC
0589	1	PUBLIC
0590	1	PRIVATE
0591	1	Public
0592	1	Public
0593	1	PUBLIC
0594	1	Private
0595	1	Public
0596	1	PRIVATE
0597	1	Private
0598	1	PRIVATE
0599	1	Private
0600	1	PRIVATE
0601	1	Private
0602	1	Private
0603	1	PRIVATE
0604	1	PRIVATE
0605	1	PRIVATE
0606	1	PRIVATE
0607	1	Private
0608	1	PRIVATE
0609	1	Public
0610	1	PUBLIC
0611	1	Private
0612	1	PRIVATE
0613	1	Private
0614	1	Public
0615	1	PRIVATE
0616	1	Public
0617	1	PRIVATE
0618	1	Public
0619	1	Public
0620	1	PRIVATE
0621	1	PRIVATE
0622	1	PRIVATE
0623	1	PRIVATE
0624	1	Public
0625	1	Private
0626	1	Private
0627	1	PRIVATE
0628	1	PRIVATE
0629	1	PRIVATE
0630	1	PRIVATE
0631	1	PRIVATE
0632	1	Private
0633	1	PRIVATE
0634	1	PRIVATE
0635	1	Private
0636	1	Private
0637	1	PRIVATE
0638	1	Private
0639	1	PRIVATE
0640	1	Private
0641	1	Public
0642	1	Private
0643	1	PRIVATE
0644	1	Public
0645	1	Public
0646	1	Private
0647	1	PRIVATE
0648	1	PRIVATE
0649	1	Public
0650	1	Public
0651	1	Public
0652	1	Private
0653	1	Private
0654	1	Private
0655	1	Private
0656	1	Public
0657	1	Private
0658	1	Private
0659	1	Private
0660	1	Public
0661	1	PRIVATE
0662	1	Public
0663	1	PRIVATE
0664	1	PRIVATE
0665	1	Private
0666	1	PRIVATE
0667	1	PRIVATE
0668	1	Public
0669	1	PRIVATE
0670	1	PRIVATE
0671	1	Public
0672	1	Private
0673	1	Public
0674	1	PRIVATE
0675	1	PRIVATE
0676	1	PRIVATE
0677	1	PRIVATE
0678	1	Private
0679	1	Private
0680	1	Private
0681	1	Public
0682	1	Private
0683	1	Private
0684	1	Public
0685	1	PRIVATE
0686	1	Public
0687	1	Public
0688	1	Public
0689	1	Private
0690	1	PUBLIC
0691	1	Public
0692	1	PRIVATE
0693	1	Public
0694	1	Private
0695	1	Private
0696	1	Private
0697	1	Private
0698	1	Private
0699	1	Private
0700	1	Private
0701	1	PUBLIC
0702	1	PUBLIC
0703	1	PUBLIC
0704	1	PUBLIC
0705	1	PUBLIC
0706	1	PUBLIC
0707	1	PUBLIC
0708	1	Private
0709	1	Public
0710	1	Public
0711	1	Private
0712	1	Private
0713	1	Private
0714	1	Private
0715	1	Private
0716	1	Private
0717	1	PROPRIETAR
0718	1	PROPRIETAR
0719	1	Private
0720	1	Private
0721	1	Private
0722	1	Private
0723	1	Private
0724	1	Private
0725	1	Private
0726	1	Private
0727	1	Private
0728	1	Public
0729	1	Public
0730	1	Public
0731	1	PUBLIC
0732	1	PRIVATE
0733	1	Public
0734	1	Private
0735	1	Public
0736	1	Private
0737	1	Private
0738	1	Private
0739	1	Private
0740	1	Private
0741	1	Private
0742	1	Private
0743	1	Private
0744	1	Private
0745	1	Private
0746	1	Private
0747	1	Private
0748	1	Private
0749	1	Private
0750	1	Private
0751	1	Private
0752	1	Private
0753	1	Private
0754	1	Private
0755	1	Private
0756	1	Private
0757	1	Private
0758	1	Private
0759	1	Private
0760	1	Private
0761	1	Private
0762	1	Private
0763	1	Private
0764	1	Private
0765	1	Private
0766	1	Private
0767	1	Private
0768	1	Private
0769	1	Private
0770	1	Private
0771	1	Private
0772	1	Private
0773	1	Private
0774	1	Private
0775	1	Private
0776	1	Private
0777	1	Private
0778	1	Private
0779	1	Private
0780	1	Private
0781	1	Public
0782	1	Public
0783	1	Public
0784	1	Public
0785	1	Public
0786	1	Public
0787	1	Public
0788	1	Public
0789	1	Public
0790	1	Public
0791	1	Public
0792	1	Public
0793	1	Private
0794	1	Public
0795	1	Private
0796	1	PRIVATE
0797	1	Public
0798	1	Public
0799	1	Public
0800	1	Public
0801	1	Public
0802	1	Private
0803	1	PRIVATE
0804	1	PRIVATE
0805	1	Public
0806	1	Public
0807	1	PRIVATE
0808	1	PRIVATE
0809	1	PRIVATE
0810	1	PRIVATE
0811	1	Public
0812	1	PRIVATE
0813	1	PRIVATE
0814	1	Public
0815	1	Public
0816	1	PRIVATE
0817	1	Public
0818	1	PUBLIC
0819	1	Public
0820	1	PUBLIC
0821	1	PUBLIC
0822	1	Private
0823	1	Private
0824	1	Private
0825	1	Private
0826	1	Public
0827	1	PUBLIC
0828	1	Public
0829	1	Public
0830	1	Public
0831	1	PUBLIC
0832	1	PRIVATE
0833	1	PRIVATE
0834	1	Private
0835	1	Private
0836	1	PRIVATE
0837	1	PRIVATE
0838	1	PRIVATE
0839	1	Public
0840	1	Public
0841	1	Public
0842	1	PRIVATE
0843	1	PUBLIC
0844	1	PROPRIETAR
0845	1	Private
0846	1	PRIVATE
0847	1	Private
0848	1	Public
0849	1	Public
0850	1	Public
0851	1	Public
0852	1	Public
0853	1	Private
0854	1	Public
0855	1	Public
0856	1	Public
0857	1	PUBLIC
0858	1	PRIVATE
0859	1	PUBLIC
0860	1	Private
0861	1	Public
0862	1	PRIVATE
0863	1	PRIVATE
0864	1	PRIVATE
0865	1	Private
0866	1	Private
0867	1	Public
0868	1	Private
0869	1	Public
0870	1	PRIVATE
0871	1	PRIVATE
0872	1	Public
0873	1	Public
0874	1	Private
0875	1	Private
0876	1	PRIVATE
0877	1	PRIVATE
0878	1	Public
0879	1	PRIVATE
0880	1	PRIVATE
0881	1	PRIVATE
0882	1	Public
0883	1	Public
0884	1	PRIVATE
0885	1	PRIVATE
0886	1	Public
0887	1	PRIVATE
0888	1	Private
0889	1	Private
0890	1	Private
0891	1	PUBLIC
0892	1	PUBLIC
0893	1	PRIVATE
0894	1	Public
0895	1	Private
0896	1	PRIVATE
0897	1	Public
0898	1	PRIVATE
0899	1	Public
0900	1	PRIVATE
0901	1	Public
0902	1	Public
0903	1	Public
0904	1	Public
0905	1	Public
0906	1	Public
0907	1	PUBLIC
0908	1	Public
0909	1	Public
0910	1	PUBLIC
0911	1	PUBLIC
0912	1	Public
0913	1	Public
0914	1	Public
0915	1	Public
0916	1	Public
0917	1	Public
0918	1	Public
0919	1	Public
0920	1	Public
0921	1	Public
0922	1	Public
0923	1	Public
0924	1	Public
0925	1	Public
0926	1	Public
0927	1	Public
0928	1	Public
0929	1	Public
0930	1	Public
0931	1	Public
0932	1	Public
0933	1	Public
0934	1	Public
0935	1	Public
0936	1	Public
0937	1	Public
0938	1	Public
0939	1	Private
0940	1	PRIVATE
0941	1	Public
0942	1	PRIVATE
0943	1	Private
0944	1	Private
0945	1	Private
0946	1	PRIVATE
0947	1	PRIVATE
0948	1	PRIVATE
0949	1	PRIVATE
0950	1	Public
0951	1	PRIVATE
0952	1	PRIVATE
0953	1	PRIVATE
0954	1	PRIVATE
0955	1	PUBLIC
0956	1	PRIVATE
0957	1	PRIVATE
0958	1	Private
0959	1	Private
0960	1	Public
0961	1	Public
0962	1	Public
0963	1	Private
0964	1	PRIVATE
0965	1	PRIVATE
0966	1	PUBLIC
0967	1	Public
0968	1	PRIVATE
0969	1	Public
0970	1	PRIVATE
0971	1	PUBLIC
0972	1	Private
0973	1	Private
0974	1	Private
0975	1	Private
0976	1	PRIVATE
0977	1	PRIVATE
0978	1	PRIVATE
0979	1	PRIVATE
0980	1	PRIVATE
0981	1	PRIVATE
0982	1	PUBLIC
0983	1	PRIVATE
0984	1	PUBLIC
0985	1	Public
0986	1	Public
0987	1	PUBLIC
0988	1	Private
0989	1	Private
0990	1	PRIVATE
0991	1	Public
0992	1	Public
0993	1	PUBLIC
0994	1	Public
0995	1	PRIVATE
0996	1	Public
0997	1	PUBLIC
0998	1	PRIVATE
0999	1	PRIVATE
1000	1	Private
1001	1	Private
1002	1	Private
1003	1	PRIVATE
1004	1	Private
1005	1	PRIVATE
1006	1	Public
1007	1	Public
1008	1	Public
1009	1	PRIVATE
1010	1	PRIVATE
1011	1	Public
1012	1	Public
1013	1	PUBLIC
1014	1	Private
1015	1	Public
1016	1	Public
1017	1	Private
1018	1	Private
1019	1	PUBLIC
1020	1	Public
1021	1	Public
1022	1	Public
1023	1	Public
1024	1	Public
1025	1	Public
1026	1	Public
1027	1	Private
1028	1	Private
1029	1	PUBLIC
1030	1	PUBLIC
1031	1	Private
1032	1	Private
1033	1	PUBLIC
1034	1	PRIVATE
1035	1	PRIVATE
1036	1	Public
1037	1	Public
1038	1	Private
1039	1	Private
1040	1	Public
1041	1	PUBLIC
1042	1	PUBLIC
1043	1	Public
1044	1	PUBLIC
1045	1	Public
1046	1	Public
1047	1	Public
1048	1	PRIVATE
1049	1	PUBLIC
1050	1	Public
1051	1	Public
1052	1	Public
1053	1	Public
1054	1	Public
1055	1	Private
1056	1	Public
1057	1	Public
1058	1	Public
1059	1	PUBLIC
1060	1	Public
1061	1	Public
1062	1	PUBLIC
1063	1	Public
1064	1	PRIVATE
1065	1	Public
1066	1	Public
1067	1	Public
1068	1	PRIVATE
1069	1	PRIVATE
1070	1	PRIVATE
1071	1	Public
1072	1	Public
1073	1	Public
1074	1	PRIVATE
1075	1	PRIVATE
1076	1	Public
1077	1	PRIVATE
1078	1	Public
1079	1	Public
1080	1	Private
1081	1	Public
1082	1	PRIVATE
1083	1	PRIVATE
1084	1	PRIVATE
1085	1	PRIVATE
1086	1	Public
1087	1	Private
1088	1	Public
1089	1	Private
1090	1	Private
1091	1	PUBLIC
1092	1	Public
1093	1	Private
1094	1	Private
1095	1	Public
1096	1	Public
1097	1	Public
1098	1	Private
1099	1	Public
1100	1	Private
1101	1	Private
1102	1	Private
1103	1	Private
1104	1	Private
1105	1	Private
1106	1	Private
1107	1	Private
1108	1	Public
1109	1	Private
1110	1	Public
1111	1	Public
1112	1	PRIVATE
1113	1	PRIVATE
1114	1	Private
1115	1	Public
1116	1	PRIVATE
1117	1	PUBLIC
1118	1	PRIVATE
1119	1	Private
1120	1	Private
1121	1	Private
1122	1	Public
1123	1	Public
1124	1	Public
1125	1	Public
1126	1	Public
1127	1	Public
1128	1	PUBLIC
1129	1	PUBLIC
1130	1	Public
1131	1	PUBLIC
1132	1	Public
1133	1	Public
1134	1	PUBLIC
1135	1	Private
1136	1	Private
1137	1	Private
1138	1	PRIVATE
1139	1	Private
1140	1	Private
1141	1	PRIVATE
1142	1	Private
1143	1	PUBLIC
1144	1	PRIVATE
1145	1	Public
1146	1	Public
1147	1	PRIVATE
1148	1	PRIVATE
1149	1	Public
1150	1	Public
1151	1	Public
1152	1	Public
1153	1	PUBLIC
1154	1	PUBLIC
1155	1	PRIVATE
1156	1	Public
1157	1	Public
1158	1	PRIVATE
1159	1	Public
1160	1	Public
1161	1	Public
1162	1	Public
1163	1	Public
1164	1	Public
1165	1	Private
1166	1	Private
1167	1	PUBLIC
1168	1	PUBLIC
1169	1	Public
1170	1	PROPRIETAR
1171	1	PRIVATE
1172	1	Public
1173	1	Public
1174	1	Public
1175	1	Public
1176	1	PRIVATE
1177	1	Public
1178	1	Public
1179	1	Public
1180	1	Public
1181	1	Public
1182	1	Private
1183	1	PUBLIC
1184	1	PRIVATE
1185	1	Private
1186	1	PRIVATE
1187	1	Private
1188	1	Private
1189	1	Private
1190	1	PRIVATE
1191	1	Private
1192	1	Private
1193	1	PRIVATE
1194	1	Public
1195	1	PUBLIC
1196	1	Public
1197	1	Public
1198	1	Public
1199	1	Public
1200	1	Private
1201	1	Private
1202	1	Private
1203	1	Public
1204	1	PUBLIC
1205	1	Private
1206	1	PRIVATE
1207	1	Public
1208	1	PRIVATE
1209	1	PRIVATE
1210	1	PUBLIC
1211	1	PUBLIC
1212	1	Private
1213	1	Private
1214	1	Public
1215	1	Public
1216	1	Public
1217	1	Public
1218	1	PRIVATE
1219	1	PRIVATE
1220	1	Public
1221	1	PRIVATE
1222	1	Private
1223	1	Public
1224	1	Public
1225	1	Private
1226	1	Public
1227	1	Public
1228	1	Private
1229	1	PRIVATE
1230	1	PRIVATE
1231	1	PRIVATE
1232	1	PRIVATE
1233	1	PRIVATE
1234	1	Public
1235	1	PRIVATE
1236	1	Public
1237	1	Public
1238	1	Private
1239	1	Public
1240	1	PRIVATE
1241	1	Public
1242	1	Public
1243	1	Public
1244	1	Private
1245	1	Public
1246	1	Public
1247	1	Private
1248	1	Private
1249	1	Public
1250	1	Public
1251	1	Public
1252	1	Public
1253	1	Public
1254	1	Public
1255	1	PUBLIC
1256	1	Public
1257	1	Public
1258	1	PRIVATE
1259	1	Public
1260	1	PRIVATE
1261	1	PRIVATE
1262	1	Public
1263	1	Public
1264	1	Public
1265	1	Public
1266	1	Private
1267	1	Public
1268	1	Private
1269	1	Public
1270	1	PUBLIC
1271	1	Private
1272	1	PRIVATE
1273	1	Private
1274	1	Private
1275	1	Public
1276	1	PRIVATE
1277	1	Private
1278	1	Private
1279	1	Public
1280	1	PROPRIETAR
1281	1	PUBLIC
1282	1	Public
1283	1	PRIVATE
1284	1	PRIVATE
1285	1	PRIVATE
1286	1	Public
1287	1	Public
1288	1	Private
1289	1	PRIVATE
1290	1	PRIVATE
1291	1	Private
1292	1	PRIVATE
1293	1	Public
1294	1	Public
1295	1	Public
1296	1	Public
1297	1	PUBLIC
1298	1	PUBLIC
1299	1	Public
1300	1	Public
1301	1	PRIVATE
1302	1	Public
1303	1	PUBLIC
1304	1	Public
1305	1	PUBLIC
1306	1	Public
1307	1	Public
1308	1	Public
1309	1	Private
1310	1	PRIVATE
1311	1	PRIVATE
1312	1	Public
1313	1	PRIVATE
1314	1	Private
1315	1	PRIVATE
1316	1	Public
1317	1	Private
1318	1	PUBLIC
1319	1	PRIVATE
1320	1	Private
1321	1	Private
1322	1	PRIVATE
1323	1	Public
1324	1	PUBLIC
1325	1	Public
1326	1	Public
1327	1	PRIVATE
1328	1	PRIVATE
1329	1	Public
1330	1	PRIVATE
1331	1	Public
1332	1	Public
1333	1	Private
1334	1	PRIVATE
1335	1	Public
1336	1	PRIVATE
1337	1	PRIVATE
1338	1	PRIVATE
1339	1	Public
1340	1	PRIVATE
1341	1	Public
1342	1	PRIVATE
1343	1	Private
1344	1	PRIVATE
1345	1	Public
1346	1	PRIVATE
1347	1	PRIVATE
1348	1	Private
1349	1	Private
1350	1	Public
1351	1	Public
1352	1	Private
1353	1	PRIVATE
1354	1	PUBLIC
1355	1	PUBLIC
1356	1	Public
1357	1	Public
1358	1	PRIVATE
1359	1	Public
1360	1	Private
1361	1	PRIVATE
1362	1	PRIVATE
1363	1	PRIVATE
1364	1	Public
1365	1	PRIVATE
1366	1	Public
1367	1	PRIVATE
1368	1	PRIVATE
1369	1	PRIVATE
1370	1	PRIVATE
1371	1	Public
1372	1	PRIVATE
1373	1	PRIVATE
1374	1	Public
1375	1	PRIVATE
1376	1	PRIVATE
1377	1	Public
1378	1	Public
1379	1	Public
1380	1	PUBLIC
1381	1	PRIVATE
1382	1	Public
1383	1	PRIVATE
1384	1	Public
1385	1	PRIVATE
1386	1	Public
1387	1	Public
1388	1	PRIVATE
1389	1	PRIVATE
1390	1	PUBLIC
1391	1	Public
1392	1	Public
1393	1	Public
1394	1	Private
1395	1	PUBLIC
1396	1	Private
1397	1	PRIVATE
1398	1	PRIVATE
1399	1	Public
1400	1	Public
1401	1	Private
1402	1	Public
1403	1	Public
1404	1	Public
1405	1	PRIVATE
1406	1	PRIVATE
1407	1	Public
1408	1	Public
1409	1	Private
1410	1	PRIVATE
1411	1	Private
1412	1	Private
1413	1	Private
1414	1	Private
1415	1	Private
1416	1	Public
1417	1	PRIVATE
1418	1	Public
1419	1	Public
1420	1	PUBLIC
1421	1	Public
1422	1	PRIVATE
1423	1	Public
1424	1	PRIVATE
1425	1	Private
1426	1	Public
1427	1	PRIVATE
1428	1	Private
1429	1	PRIVATE
1430	1	PRIVATE
1431	1	PRIVATE
1432	1	Public
1433	1	PRIVATE
1434	1	PUBLIC
1435	1	PRIVATE
1436	1	Public
1437	1	Public
1438	1	PUBLIC
1439	1	Public
1440	1	PRIVATE
1441	1	PUBLIC
1442	1	Public
1443	1	Public
1444	1	Public
1445	1	Public
1446	1	Public
1447	1	Public
1448	1	Public
1449	1	PUBLIC
1450	1	Public
1451	1	PRIVATE
1452	1	Public
1453	1	PRIVATE
1454	1	PRIVATE
1455	1	PUBLIC
1456	1	PUBLIC
1457	1	PUBLIC
1458	1	Public
1459	1	PRIVATE
1460	1	Private
1461	1	Private
1462	1	PUBLIC
1463	1	Public
1464	1	PUBLIC
1465	1	Public
1466	1	PUBLIC
1467	1	PRIVATE
1468	1	Public
1469	1	Public
1470	1	Public
1471	1	Public
1472	1	Private
1473	1	Public
