university	collegetoolkit	name
0163	1	City Colleges of Chicago-Kennedy-King College
0164	1	City Colleges of Chicago-Malcolm X College
0165	1	City Colleges of Chicago-Olive-Harvey College
0166	1	City Colleges of Chicago-Wilbur Wright College
0167	1	Coyne American Institute Inc
0168	1	Elgin Community College
0169	1	Fox College Inc
0170	1	Heartland Community College
0171	1	Highland Community College
0172	1	Illinois Central College
0173	1	Illinois Eastern Community Colleges-Olney Central College
0174	1	Illinois Valley Community College
0175	1	John A Logan College
0176	1	John Wood Community College
0177	1	Joliet Junior College
0178	1	Kaskaskia College
0179	1	Lake Land College
0180	1	Lincoln College of Technology
0181	1	MacCormac College
0182	1	McHenry County College
0183	1	Moraine Valley Community College
0184	1	Morrison Institute of Technology
0185	1	Oakton Community College
0186	1	Parkland College
0187	1	Prairie State College
0188	1	Rasmussen College-Aurora
0189	1	Rend Lake College
0190	1	Shawnee Community College
0191	1	Taylor Business Institute
0192	1	The College of Office Technology
0193	1	The Cooking and Hospitality Institute of Chicago
0194	1	Triton College
0195	1	Zarem Golde ORT Technical Institute
0196	1	Anderson University
0197	1	Brown Mackie College-Indianapolis
0198	1	Brown Mackie College-Merrillville
0199	1	Christian Theological Seminary
0200	1	DePauw University
0201	1	DeVry University-Indiana
0202	1	Franklin College
0203	1	Harrison College-Fort Wayne
0204	1	Harrison College-Muncie
0205	1	Huntington University
0206	1	Indiana Institute of Technology
0207	1	International Business College
0208	1	ITT Technical Institute-Indianapolis
0209	1	ITT Technical Institute-Newburgh
0210	1	Marian University
0211	1	Martin University
0212	1	Purdue University-North Central Campus
0213	1	Saint Josephs College
0214	1	Saint Mary's College
0215	1	Trine University
0216	1	Trine University-Fort Wayne Regional Campus
0217	1	University of Evansville
0218	1	University of Saint Francis-Ft Wayne
0219	1	Valparaiso University
0220	1	Wabash College
0221	1	College of Court Reporting Inc
0222	1	Harrison College-Anderson
0223	1	Harrison College-Columbus
0224	1	Harrison College-Indianapolis East
0225	1	Harrison College-Northwest
0226	1	Ivy Tech Community College-Central Indiana
0227	1	Ivy Tech Community College-East Central
0228	1	Ivy Tech Community College-Kokomo
0229	1	Ivy Tech Community College-Lafayette
0230	1	Ivy Tech Community College-Northeast
0231	1	Ivy Tech Community College-Northwest
0232	1	Ivy Tech Community College-South Central
0233	1	Ivy Tech Community College-Southeast
0234	1	Ivy Tech Community College-Southwest
0235	1	Ivy Tech Community College-Wabash Valley
0236	1	Kaplan College-Hammond
0237	1	AIB College of Business
0238	1	Allen College
0239	1	Buena Vista University
0240	1	Clarke College
0241	1	Cornell College
0242	1	Des Moines University-Osteopathic Medical Center
0243	1	Divine Word College
0244	1	Emmaus Bible College
0245	1	Graceland University-Lamoni
0246	1	Iowa Wesleyan College
0247	1	Kaplan University
0248	1	Kaplan University-Cedar Falls Campus
0249	1	Kaplan University-Cedar Rapids Campus
0250	1	Kaplan University-Council Bluffs Campus
0251	1	Kaplan University-Des Moines Campus
0252	1	Mount Mercy College
0253	1	Palmer College of Chiropractic
0254	1	Simpson College
0255	1	Waldorf College
0256	1	Wartburg College
0257	1	Wartburg Theological Seminary
0258	1	Des Moines Area Community College
0259	1	Eastern Iowa Community College District
0260	1	Hawkeye Community College
0261	1	Iowa Central Community College
0262	1	Kirkwood Community College
0263	1	Marshalltown Community College
0264	1	North Iowa Area Community College
0265	1	Northeast Iowa Community College-Calmar
0266	1	Southwestern Community College
0267	1	Western Iowa Tech Community College
0268	1	Barclay College
0269	1	Benedictine College
0270	1	Bethany College
0271	1	Central Christian College of Kansas
0272	1	Cleveland Chiropractic College
0273	1	Donnelly College
0274	1	Haskell Indian Nations University
0275	1	Kansas Wesleyan University
0276	1	Manhattan Christian College
0277	1	MidAmerica Nazarene University
0278	1	National American University-Wichita
0279	1	Ottawa University
0280	1	Ottawa University-Kansas City
0281	1	Sterling College
0282	1	Tabor College
0283	1	The Art Institutes International-Kansas City
0284	1	University of Saint Mary
0285	1	Wichita State University
0286	1	Allen County Community College
0287	1	Brown Mackie College-Kansas City
0288	1	Brown Mackie College-Salina
0289	1	Butler Community College
0290	1	Coffeyville Community College
0291	1	Dodge City Community College
0292	1	Manhattan Area Technical College
0293	1	Northwest Kansas Technical College
0294	1	Pinnacle Career Institute
0295	1	Seward County Community College and Area Technical School
0296	1	Vatterott College-Wichita
0297	1	Wichita Area Technical College
0298	1	Asbury Theological Seminary
0299	1	Campbellsville University
0300	1	DeVry University-Kentucky
0301	1	Frontier School of Midwifery and Family Nursing
0302	1	ITT Technical Institute-Lexington
0303	1	Kentucky State University
0304	1	Kentucky Wesleyan College
0305	1	Lexington Theological Seminary
0306	1	Louisville Presbyterian Theological Seminary
0307	1	Mid-Continent University
0308	1	Murray State University
0309	1	National College-Lexington
0310	1	Big Sandy Community and Technical College
0311	1	Bluegrass Community and Technical College
0312	1	Brown Mackie College-Hopkinsville
0313	1	Brown Mackie College-Northern Kentucky
0314	1	Daymar College-Paducah Main
0315	1	Elizabethtown Community and Technical College
0316	1	Galen College of Nursing-Louisville
0317	1	Henderson Community College
0318	1	Hopkinsville Community College
0319	1	Madisonville Community College
0320	1	Maysville Community and Technical College
0321	1	Somerset Community College
0322	1	Southwestern College
0323	1	Spencerian College
0324	1	Spencerian College-Lexington
0325	1	Centenary College of Louisiana
0326	1	Dillard University
0327	1	Grambling State University
0328	1	Herzing University
0329	1	Louisiana College
0330	1	Louisiana State University at Alexandria
0331	1	Louisiana State University Health Sciences Center-Shreveport
0332	1	McNeese State University
0333	1	Southern University at New Orleans
0334	1	University of Louisiana Monroe
0335	1	Baton Rouge School of Computers
0336	1	Blue Cliff College
0337	1	Blue Cliff College-Houma
0338	1	Blue Cliff College-Lafayette
0339	1	Bossier Parish Community College
0340	1	Camelot College
0341	1	Cameron College
0342	1	Delgado Community College
0343	1	Delta School of Business and Technology
0344	1	L E Fletcher Technical Community College
0345	1	Louisiana Culinary Institute
0346	1	Louisiana Delta Community College
0347	1	Louisiana State University-Eunice
0348	1	Louisiana Technical College-Alexandria Campus
0349	1	Louisiana Technical College-Florida Parishes
0350	1	Louisiana Technical College-Gulf Area Campus
0351	1	Louisiana Technical College-Lafayette Campus
0352	1	Louisiana Technical College-Lafourche Campus
0353	1	Louisiana Technical College-Northeast LA Branch Campus
0354	1	Louisiana Technical College-Oakdale Campus
0355	1	Louisiana Technical College-Ruston Campus
0356	1	Louisiana Technical College-Shelby Jackson Campus
0357	1	Louisiana Technical College-Shreveport-Bossier Campus
0358	1	Louisiana Technical College-Tallulah Campus
0359	1	Louisiana Technical College-West Jefferson Campus
0360	1	Medvance Institute of Baton Rouge
0361	1	Remington College-Lafayette Campus
0362	1	Sowela Technical Community College
0363	1	College of the Atlantic
0364	1	Husson University
0365	1	Maine College of Art
0366	1	Maine Maritime Academy
0367	1	New England School of Communications
0368	1	Saint Joseph's College of Maine
0369	1	University of Maine at Augusta
0370	1	University of Maine at Farmington
0371	1	University of Maine at Fort Kent
0372	1	University of Maine at Presque Isle
0373	1	University of New England
0374	1	University of Southern Maine
0375	1	Andover College
0376	1	Beal College
0377	1	Central Maine Community College
0378	1	Central Maine Medical Center College of Nursing and Health Professions
0379	1	Eastern Maine Community College
0380	1	Kennebec Valley Community College
0381	1	Northern Maine Community College
0382	1	Southern Maine Community College
0383	1	Washington County Community College
0384	1	Anthem College-Phoenix
0385	1	Apollo College-Phoenix Inc
0386	1	Argosy University-Phoenix
0387	1	Chamberlain College of Nursing-Phoenix Campus
0388	1	College America
0389	1	Collins College
0390	1	Dine College
0391	1	Everest College-Phoenix
0392	1	Grand Canyon University
0393	1	International Baptist College
0394	1	ITT Technical Institute-Phoenix
0395	1	ITT Technical Institute-Tempe
0396	1	ITT Technical Institute-Tucson
0397	1	Ottawa University-Phoenix
0398	1	Phoenix School of Law
0399	1	Prescott College
0400	1	Southwest College of Naturopathic Medicine & Health Sciences
0401	1	The Art Center Design College-Tucson
0402	1	The Art Institute of Phoenix
0403	1	The Art Institute of Tucson
0404	1	Thunderbird School of Global Management
0405	1	University of Advancing Technology
0406	1	University of Phoenix-Online Campus
0407	1	Arizona Automotive Institute
0408	1	Arizona Western College
0409	1	Brookline College
0410	1	Estrella Mountain Community College
0411	1	Glendale Community College
0412	1	Kaplan College
0413	1	Lamson College
0414	1	Northland Pioneer College
0415	1	Phoenix College
0416	1	Pima Medical Institute
0417	1	Refrigeration School Inc
0418	1	Scottsdale Community College
0419	1	South Mountain Community College
0420	1	Southwest Institute of Healing Arts
0421	1	Yavapai College
0422	1	Capitol College
0423	1	College of Notre Dame of Maryland
0424	1	Frostburg State University
0425	1	Johns Hopkins University
0426	1	Kaplan University
0427	1	Morgan State University
0428	1	National Labor College
0429	1	United States Naval Academy
0430	1	University of Baltimore
0431	1	University of Maryland-University College
0432	1	Washington Bible College-Capital Bible Seminary
0433	1	Allegany College of Maryland
0434	1	Anne Arundel Community College
0435	1	Carroll Community College
0436	1	Cecil College
0437	1	Chesapeake College
0438	1	Garrett College
0439	1	Hagerstown Community College
0440	1	Harford Community College
0441	1	Prince George's Community College
0442	1	TESST College of Technology-Baltimore
0443	1	The Community College of Baltimore County
0444	1	Wor-Wic Community College
0445	1	American International College
0446	1	Andover Newton Theological School
0447	1	Bard College at Simon's Rock
0448	1	Benjamin Franklin Institute of Technology
0449	1	Berklee College of Music
0450	1	Bridgewater State College
0451	1	Curry College
0452	1	Eastern Nazarene College
0453	1	Emerson College
0454	1	Endicott College
0455	1	Fisher College
0456	1	Franklin W. Olin College of Engineering
0457	1	Gordon College
0458	1	Gordon-Conwell Theological Seminary
0459	1	Lesley University
0460	1	Massachusetts School of Law
0461	1	Montserrat College of Art
0462	1	Mount Ida College
0463	1	National Graduate School of Quality Management
0464	1	New England Law-Boston
0465	1	New England School of Acupuncture
0466	1	Newbury College-Brookline
0467	1	Regis College
0468	1	Simmons College
0469	1	The New England Institute of Art
0470	1	Tufts University
0471	1	University of Massachusetts Medical School Worcester
0472	1	University of Massachusetts-Boston
0473	1	University of Massachusetts-Dartmouth
0474	1	University of Massachusetts-Lowell
0475	1	University of Phoenix-Boston Campus
0476	1	University of Phoenix-Central Massachusetts Campus
0477	1	Wheaton College
0478	1	Berkshire Community College
0479	1	Bristol Community College
0480	1	Gibbs College-Boston
0481	1	Greenfield Community College
0482	1	Holyoke Community College
0483	1	ITT Technical Institute-Woburn
0484	1	Lawrence Memorial Hospital School of Nursing
0485	1	Massachusetts Bay Community College
0486	1	Massasoit Community College
0487	1	Middlesex Community College
0488	1	Mount Wachusett Community College
0489	1	North Shore Community College
0490	1	Quincy College
0491	1	Roxbury Community College
0492	1	Springfield Technical Community College
0493	1	Urban College of Boston
0494	1	Adrian College
0495	1	Alma College
0496	1	Andrews University
0497	1	Aquinas College
0498	1	Baker College Center for Graduate Studies
0499	1	Baker College of Auburn Hills
0500	1	Baker College of Flint
0501	1	Baker College of Jackson
0502	1	Calvin College
0503	1	College for Creative Studies
0504	1	Concordia University-Ann Arbor
0505	1	Cranbrook Academy of Art
0506	1	Ferris State University
0507	1	International Academy of Design and Technology
0508	1	ITT Technical Institute-Wyoming
0509	1	Kuyper College
0510	1	Lake Superior State University
0511	1	Michigan Jewish Institute
0512	1	Michigan Theological Seminary
0513	1	Northern Michigan University
0514	1	Rochester College
0515	1	University of Detroit Mercy
0516	1	University of Michigan-Dearborn
0517	1	Walsh College of Accountancy and Business Administration
0518	1	Wayne State University
0519	1	Alpena Community College
0520	1	Bay Mills Community College
0521	1	Grand Rapids Community College
0522	1	Henry Ford Community College
0523	1	ITT Technical Institute-Canton
0524	1	ITT Technical Institute-Troy
0525	1	Jackson Community College
0526	1	Kalamazoo Valley Community College
0527	1	Kirtland Community College
0528	1	Mott Community College
0529	1	North Central Michigan College
0530	1	Northwestern Michigan College
0531	1	Oakland Community College
0532	1	Schoolcraft College
0533	1	Wayne County Community College District
0534	1	West Shore Community College
0535	1	Academy College
0536	1	Bethany Lutheran College
0537	1	Bethel University
0538	1	Brown College
0539	1	Crossroads College
0540	1	DeVry University-Minnesota
0541	1	Duluth Business University
0542	1	Martin Luther College
0543	1	Mayo Medical School
0544	1	Minneapolis College of Art and Design
0545	1	Minnesota School of Business
0546	1	Minnesota School of Business-Waite Park
0547	1	National American University-Bloomington
0548	1	National American University-Roseville
0549	1	Northwestern College
0550	1	Rasmussen College-Eagan
0551	1	Rasmussen College-Lake Elmo
0552	1	Saint Cloud State University
0553	1	Saint Johns University
0554	1	St. Catherine University
0555	1	United Theological Seminary of the Twin Cities
0556	1	University of Minnesota-Morris
0557	1	University of Phoenix-Minneapolis/St Paul Campus
0558	1	William Mitchell College of Law
0559	1	Century Community and Technical College
0560	1	Dakota County Technical College
0561	1	High-Tech Institute-Minnesota
0562	1	Inver Hills Community College
0563	1	Itasca Community College
0564	1	Minneapolis Community and Technical College
0565	1	Minnesota State Community and Technical College
0566	1	Northland Community and Technical College
0567	1	Northwest Technical College
0568	1	Northwest Technical Institute
0569	1	Rainy River Community College
0570	1	Riverland Community College
0571	1	Saint Cloud Technical College
0572	1	South Central College
0573	1	Delta State University
0574	1	Magnolia Bible College
0575	1	Wesley Biblical Seminary
0576	1	Wesley College
0577	1	Antonelli College
0578	1	Coahoma Community College
0579	1	East Central Community College
0580	1	Hinds Community College
0581	1	Holmes Community College
0582	1	Itawamba Community College
0583	1	Mississippi Gulf Coast Community College
0584	1	Northwest Mississippi Community College
0585	1	Virginia College-Jackson
0586	1	A T Still University of Health Sciences
0587	1	Assemblies of God Theological Seminary
0588	1	Baptist Bible College and Graduate School
0589	1	Central Bible College
0590	1	Central Methodist University-College of Liberal Arts & Sciences
0591	1	Chamberlain College of Nursing-St Louis Campus
0592	1	College of the Ozarks
0593	1	Colorado Technical University
0594	1	Conception Seminary College
0595	1	Drury University
0596	1	Eden Theological Seminary
0597	1	Hannibal-Lagrange College
0598	1	Harris-Stowe State University
0599	1	Hickey College
0600	1	ITT Technical Institute-Arnold
0601	1	Kansas City University of Medicine and Biosciences
0602	1	Lincoln University
0603	1	Maryville University of Saint Louis
0604	1	Messenger College
0605	1	Midwestern Baptist Theological Seminary
0606	1	Missouri Baptist University
0607	1	Missouri Southern State University
0608	1	Missouri Tech
0609	1	Missouri Valley College
0610	1	Missouri Western State University
0611	1	National American University-Independence
0612	1	National American University-Zona Rosa
0613	1	Nazarene Theological Seminary
0614	1	Ranken Technical College
0615	1	Saint Lukes College
0616	1	Saint Paul School of Theology
0617	1	Sanford-Brown College
0618	1	St Louis College of Pharmacy
0619	1	Truman State University
0620	1	University of Central Missouri
0621	1	University of Missouri-St Louis
0622	1	University of Phoenix-Kansas City Campus
0623	1	Vatterott College
0624	1	Webster University
0625	1	Westminster College
0626	1	Allied College South
0627	1	Bryan College
0628	1	Concorde Career Colleges
0629	1	Cottey College
0630	1	Crowder College
0631	1	High-Tech Institute-Kansas City
0632	1	Jefferson College
0633	1	Metro Business College of Cape Girardeau
0634	1	Metropolitan Community College-Business & Technology
0635	1	Metropolitan Community College-Longview
0636	1	Midwest Institute
0637	1	Missouri State University-West Plains
0638	1	Moberly Area Community College
0639	1	North Central Missouri College
0640	1	Ozarks Technical Community College
0641	1	Pinnacle Career Institute-North Kansas City
0642	1	Saint Louis Community College-Wildwood
0643	1	Sanford-Brown College
0644	1	St. Louis College of Health Careers
0645	1	State Fair Community College
0646	1	Three Rivers Community College
0647	1	Vatterot College-O'Fallon Campus
0648	1	Vatterott College
0649	1	Vatterott College
0650	1	Vatterott College
0651	1	Wentworth Military Academy
0652	1	Montana State University-Northern
0653	1	Montana Tech of the University of Montana
0654	1	Chief Dull Knife College
0655	1	Dawson Community College
0656	1	Miles Community College
0657	1	Montana State University-Great Falls College of Technology
0658	1	Montana Tech-College of Technology
0659	1	BryanLGH College of Health Sciences
0660	1	College of Saint Mary
0661	1	Grace University
0662	1	Hastings College
0663	1	ITT Technical Institute-Omaha
0664	1	Kaplan University-Omaha Campus
0665	1	Midland Lutheran College
0666	1	Nebraska Christian College
0667	1	Nebraska Methodist College of Nursing & Allied Health
0668	1	Nebraska Wesleyan University
0669	1	The Creative Center
0670	1	Union College
0671	1	University of Nebraska at Kearney
0672	1	University of Nebraska at Omaha
0673	1	York College
0674	1	Central Community College
0675	1	Myotherapy Institute
0676	1	Nebraska College of Technical Agriculture
0677	1	Northeast Community College
0678	1	College of Southern Nevada
0679	1	DeVry University-Nevada
0680	1	International Academy of Design and Technology
0681	1	Nevada State College
0682	1	Sierra Nevada College
0683	1	The Art Institute of Las Vegas
0684	1	Western Nevada College
0685	1	Career College of Northern Nevada
0686	1	Truckee Meadows Community College
0687	1	Antioch University New England
0688	1	Chester College of New England
0689	1	Colby-Sawyer College
0690	1	Franklin Pierce Law Center
0691	1	Hesser College
0692	1	New England College
0693	1	Rivier College
0694	1	Thomas More College of Liberal Arts
0695	1	Lebanon College
0696	1	Manchester Community College
0697	1	Nashua Community College
0698	1	NHTI-Concord's Community College
0699	1	Central Baptist College
0700	1	Crowley's Ridge College
0701	1	Ecclesia College
0702	1	John Brown University
0703	1	Lyon College
0704	1	Philander Smith College
0705	1	Southern Arkansas University Main Campus
0706	1	University of Arkansas at Little Rock
0707	1	University of Arkansas at Monticello
0708	1	University of Arkansas at Pine Bluff
0709	1	University of Arkansas for Medical Sciences
0710	1	University of Arkansas-Fort Smith
0711	1	University of Phoenix-Little Rock Campus
0712	1	University of Phoenix-Northwest Arkansas Campus
0713	1	University of the Ozarks
0714	1	Arkansas State University-Beebe
0715	1	Arkansas State University-Newport
0716	1	Cossatot Community College of the University of Arkansas
0717	1	Mid-South Community College
0718	1	National Park Community College
0719	1	NorthWest Arkansas Community College
0720	1	Ouachita Technical College
0721	1	Phillips Community College of the University of Arkansas
0722	1	Pulaski Technical College
0723	1	Remington College-Little Rock Campus
0724	1	Rich Mountain Community College
0725	1	South Arkansas Community College
0726	1	Southeast Arkansas College
0727	1	University of Arkansas Community College-Batesville
0728	1	University of Arkansas Community College-Hope
0729	1	Berkeley College
0730	1	Caldwell College
0731	1	Centenary College
0732	1	DeVry University-New Jersey
0733	1	Felician College
0734	1	Georgian Court University
0735	1	New Jersey City University
0736	1	New Jersey Institute of Technology
0737	1	Ramapo College of New Jersey
0738	1	Rider University
0739	1	Saint Peter's College
0740	1	Seton Hall University
0741	1	Somerset Christian College
0742	1	Stevens Institute of Technology
0743	1	The Richard Stockton College of New Jersey
0744	1	Thomas Edison State College
0745	1	University of Medicine and Dentistry of New Jersey
0746	1	University of Phoenix-Jersey City Campus
0747	1	Brookdale Community College
0748	1	Eastern International College
0749	1	Eastern International College
0750	1	Gibbs College
0751	1	Hudson County Community College
0752	1	Ocean County College
0753	1	Raritan Valley Community College
0754	1	Sussex County Community College
0755	1	College of Santa Fe
0756	1	National American University-Albuquerque
0757	1	New Mexico Highlands University
0758	1	Southwestern College
0759	1	St John's College
0760	1	University of New Mexico-Main Campus
0761	1	University of the Southwest
0762	1	Western New Mexico University
0763	1	Central New Mexico Community College
0764	1	Clovis Community College
0765	1	Eastern New Mexico University-Roswell Campus
0766	1	Luna Community College
0767	1	Mesalands Community College
0768	1	New Mexico State University-Dona Ana
0769	1	Pima Medical Institute
0770	1	Southwestern Indian Polytechnic Institute
0771	1	University of New Mexico-Taos Branch
0772	1	Albany Law School
0773	1	Albany Medical College
0774	1	Alfred University
0775	1	American Musical and Dramatic Academy
0776	1	Bank Street College of Education
0777	1	Bard College
0778	1	Berkeley College
0779	1	Boricua College
0780	1	Briarcliffe College
0781	1	Brooklyn Law School
0782	1	Bryant and Stratton College-Southtowns Campus
0783	1	Cazenovia College
0784	1	Christ the King Seminary
0785	1	Columbia University in the City of New York
0786	1	Concordia College-New York
0787	1	Culinary Institute of America
0788	1	CUNY Bernard M Baruch College
0789	1	CUNY College of Staten Island
0790	1	CUNY Graduate School and University Center
0791	1	CUNY John Jay College Criminal Justice
0792	1	CUNY Lehman College
0793	1	CUNY York College
0794	1	Daemen College
0795	1	Davis College
0796	1	Dominican College of Blauvelt
0797	1	D'Youville College
0798	1	Elmira College
0799	1	Farmingdale State College
0800	1	Fashion Institute of Technology
0801	1	Globe Institute of Technology
0802	1	Hartwick College
0803	1	Hebrew Union College-Jewish Institute of Religion
0804	1	Hilbert College
0805	1	Hobart William Smith Colleges
0806	1	Iona College
0807	1	Jamestown Business College
0808	1	Jewish Theological Seminary of America
0809	1	Long Island University-Brentwood
0810	1	Long Island University-C W Post Campus
0811	1	Manhattan College
0812	1	Manhattan School of Music
0813	1	Manhattanville College
0814	1	Marist College
0815	1	Medaille College
0816	1	Metropolitan College of New York
0817	1	Molloy College
0818	1	Morrisville State College
0819	1	Mount Sinai School of Medicine
0820	1	Nazareth College
0821	1	New York Academy of Art
0822	1	New York College of Podiatric Medicine
0823	1	New York Law School
0824	1	New York Medical College
0825	1	Pace University-New York
0826	1	Pacific College of Oriental Medicine-New York
0827	1	Paul Smiths College of Arts and Science
0828	1	Plaza College
0829	1	Polytechnic Institute of New York University
0830	1	Pratt Institute-Main
0831	1	Sage College of Albany
0832	1	Saint Bonaventure University
0833	1	Saint Josephs Seminary and College
0834	1	Saint Thomas Aquinas College
0835	1	Saint Vladimirs Orthodox Theological Seminary
0836	1	Sarah Lawrence College
0837	1	Siena College
0838	1	SUNY at Fredonia
0839	1	SUNY at Geneseo
0840	1	SUNY College at Oneonta
0841	1	SUNY College at Plattsburgh
0842	1	SUNY College of Agriculture and Technology at Cobleskill
0843	1	SUNY College of Technology at Delhi
0844	1	SUNY Health Science Center at Brooklyn
0845	1	SUNY Institute of Technology at Utica-Rome
0846	1	Swedish Institute a College of Health Sciences
0847	1	Teachers College at Columbia University
0848	1	The College of New Rochelle
0849	1	The College of Westchester
0850	1	United States Merchant Marine Academy
0851	1	Wells College
0852	1	Yeshiva University
0853	1	Adirondack Community College
0854	1	American Academy McAllister Institute of Funeral Service
0855	1	American Academy of Dramatic Arts
0856	1	Broome Community College
0857	1	Business Informatics Center Inc
0858	1	Cayuga County Community College
0859	1	Columbia-Greene Community College
0860	1	Crouse Hospital School of Nursing
0861	1	CUNY Borough of Manhattan Community College
0862	1	CUNY Bronx Community College
0863	1	CUNY Queensborough Community College
0864	1	Dorothea Hopfer School of Nursing-Mt Vernon Hospital
0865	1	Dutchess Community College
0866	1	Elmira Business Institute
0867	1	Erie Community College
0868	1	Finger Lakes Community College
0869	1	Hudson Valley Community College
0870	1	ITT Technical Institute-Albany
0871	1	ITT Technical Institute-Getzville
0872	1	ITT Technical Institute-Liverpool
0873	1	Jamestown Community College
0874	1	Katharine Gibbs School
0875	1	Long Island College Hospital of Brooklyn School of Nursing
0876	1	Mandl The College of Allied Health
0877	1	Maria College of Albany
0878	1	Memorial Hospital School of Nursing
0879	1	Mohawk Valley Community College-Utica Branch
