university	ecampustours	type
0532	1	Private not-for-profit- 4-year or above
0533	1	Private not-for-profit- 4-year or above
0534	1	Private not-for-profit- 4-year or above
0535	1	Private not-for-profit- 4-year or above
0536	1	Private not-for-profit- 4-year or above
0537	1	Private not-for-profit- 4-year or above
0538	1	Private not-for-profit- 4-year or above
0539	1	Private not-for-profit- 4-year or above
0540	1	Private not-for-profit- 4-year or above
0541	1	Private for-profit- 4-year or above
0542	1	Public- 4-year or above
0543	1	Private not-for-profit- 4-year or above
0544	1	Public- 4-year or above
0545	1	Private not-for-profit- 4-year or above
0546	1	Private not-for-profit- 4-year or above
0547	1	Private not-for-profit- 4-year or above
0548	1	Private not-for-profit- 4-year or above
0549	1	Private not-for-profit- 4-year or above
0550	1	Private not-for-profit- 4-year or above
0551	1	Private not-for-profit- 4-year or above
0552	1	Private not-for-profit- 4-year or above
0553	1	Public- 4-year or above
0554	1	Private not-for-profit- 4-year or above
0555	1	Private not-for-profit- 4-year or above
0556	1	Private not-for-profit- 4-year or above
0557	1	Private not-for-profit- 4-year or above
0558	1	Private not-for-profit- 4-year or above
0559	1	Private not-for-profit- 4-year or above
0560	1	Private not-for-profit- 4-year or above
0561	1	Public- 4-year or above
0562	1	Private not-for-profit- 4-year or above
0563	1	Public- 4-year or above
0564	1	Private not-for-profit- 4-year or above
0565	1	Public- 4-year or above
0566	1	Private not-for-profit- 4-year or above
0567	1	Private not-for-profit- 4-year or above
0568	1	Public- 4-year or above
0569	1	Private for-profit- 2-year
0570	1	Private not-for-profit- 4-year or above
0571	1	Private not-for-profit- 4-year or above
0572	1	Private not-for-profit- 4-year or above
0573	1	Private not-for-profit- 4-year or above
0574	1	Private not-for-profit- 4-year or above
0575	1	Public- 2-year
0576	1	Public- 4-year or above
0577	1	Private not-for-profit- 4-year or above
0578	1	Public- 4-year or above
0579	1	Private not-for-profit- 4-year or above
0580	1	Private for-profit- 2-year
0581	1	Private not-for-profit- 4-year or above
0582	1	Private not-for-profit- 4-year or above
0583	1	Private not-for-profit- 4-year or above
0584	1	Private not-for-profit- 4-year or above
0585	1	Public- 2-year
0586	1	Public- 4-year or above
0587	1	Private not-for-profit- 4-year or above
0588	1	Private not-for-profit- 4-year or above
0589	1	Private not-for-profit- 4-year or above
0590	1	Private not-for-profit- 4-year or above
0591	1	Public- 4-year or above
0592	1	Private not-for-profit- 4-year or above
0593	1	Private not-for-profit- 4-year or above
0594	1	Private not-for-profit- 4-year or above
0595	1	Private not-for-profit- 4-year or above
0596	1	Private not-for-profit- 4-year or above
0597	1	Public- 4-year or above
0598	1	Private not-for-profit- 4-year or above
0599	1	Private not-for-profit- 4-year or above
0600	1	Public- 2-year
0601	1	Public- 4-year or above
0602	1	Public- 4-year or above
0603	1	Private not-for-profit- 4-year or above
0604	1	Private not-for-profit- 4-year or above
0605	1	Public- 4-year or above
0606	1	Private not-for-profit- 4-year or above
0607	1	Private not-for-profit- 4-year or above
0608	1	Private not-for-profit- 4-year or above
0609	1	Public- 2-year
0610	1	Private not-for-profit- 4-year or above
0611	1	Private not-for-profit- 4-year or above
0612	1	Private not-for-profit- 4-year or above
0613	1	Public- 4-year or above
0614	1	Private not-for-profit- 4-year or above
0615	1	Public- 4-year or above
0616	1	Public- 4-year or above
0617	1	Public- 4-year or above
0618	1	Private not-for-profit- 4-year or above
0619	1	Public- 4-year or above
0620	1	Private not-for-profit- 4-year or above
0621	1	Private not-for-profit- 4-year or above
0622	1	Private not-for-profit- 4-year or above
0623	1	Private not-for-profit- 4-year or above
0624	1	Public- 2-year
0625	1	Private not-for-profit- 4-year or above
0626	1	Private not-for-profit- 4-year or above
0627	1	Public- 4-year or above
0628	1	Private not-for-profit- 4-year or above
0629	1	Public- 2-year
0630	1	Public- 2-year
0631	1	Private not-for-profit- 4-year or above
0632	1	Private not-for-profit- 4-year or above
0633	1	Private not-for-profit- 4-year or above
0634	1	Private not-for-profit- 4-year or above
0635	1	Private not-for-profit- 4-year or above
0636	1	Private not-for-profit- 4-year or above
0637	1	Private not-for-profit- 4-year or above
0638	1	Public- 4-year or above
0639	1	Private not-for-profit- 4-year or above
0640	1	Public- 4-year or above
0641	1	Private not-for-profit- 4-year or above
0642	1	Public- 2-year
0643	1	Public- 4-year or above
0644	1	Private not-for-profit- 4-year or above
0645	1	Private not-for-profit- 4-year or above
0646	1	Public- 4-year or above
0647	1	Private not-for-profit- 4-year or above
0648	1	Private not-for-profit- 4-year or above
0649	1	Private not-for-profit- 4-year or above
0650	1	Private not-for-profit- 4-year or above
0651	1	Private not-for-profit- 4-year or above
0652	1	Private not-for-profit- 4-year or above
0653	1	Private not-for-profit- 4-year or above
0654	1	Private not-for-profit- 4-year or above
0655	1	Private not-for-profit- 4-year or above
0656	1	Private for-profit- 4-year or above
0657	1	Private not-for-profit- 4-year or above
0658	1	Private not-for-profit- 4-year or above
0659	1	Public- 4-year or above
0660	1	Public- 4-year or above
0661	1	Private not-for-profit- 4-year or above
0662	1	Private not-for-profit- 4-year or above
0663	1	Private not-for-profit- 4-year or above
0664	1	Private not-for-profit- 4-year or above
0665	1	Private not-for-profit- 4-year or above
0666	1	Private not-for-profit- 4-year or above
0667	1	Private not-for-profit- 4-year or above
0668	1	Private not-for-profit- 4-year or above
0669	1	Private not-for-profit- 4-year or above
0670	1	Private not-for-profit- 4-year or above
0671	1	Private not-for-profit- 4-year or above
0672	1	Private not-for-profit- 4-year or above
0673	1	Private not-for-profit- 4-year or above
0674	1	Private not-for-profit- 4-year or above
0675	1	Private not-for-profit- 4-year or above
0676	1	Private not-for-profit- 4-year or above
0677	1	Private not-for-profit- 4-year or above
0678	1	Public- 4-year or above
0679	1	Private not-for-profit- 4-year or above
0680	1	Private not-for-profit- 2-year
0681	1	Private not-for-profit- 4-year or above
0682	1	Public- 4-year or above
0683	1	Public- 4-year or above
0684	1	Private not-for-profit- 4-year or above
0685	1	Private not-for-profit- 4-year or above
0686	1	Private not-for-profit- 4-year or above
0687	1	Private not-for-profit- 4-year or above
0688	1	Private not-for-profit- 4-year or above
0689	1	Private not-for-profit- 4-year or above
0690	1	Private not-for-profit- 4-year or above
0691	1	Private for-profit- 2-year
0692	1	Private not-for-profit- 4-year or above
0693	1	Private not-for-profit- 4-year or above
0694	1	Private not-for-profit- 4-year or above
0695	1	Private not-for-profit- 4-year or above
0696	1	Private not-for-profit- 4-year or above
0697	1	Private not-for-profit- 4-year or above
0698	1	Private not-for-profit- 4-year or above
0699	1	Public- 4-year or above
0700	1	Private not-for-profit- 4-year or above
0701	1	Private not-for-profit- 4-year or above
0702	1	Private not-for-profit- 4-year or above
0703	1	Public- 4-year or above
0704	1	Public- 4-year or above
0705	1	Private not-for-profit- 4-year or above
0706	1	Private not-for-profit- 4-year or above
0707	1	Private not-for-profit- 4-year or above
0708	1	Private not-for-profit- 4-year or above
0709	1	Private not-for-profit- 4-year or above
0710	1	Private not-for-profit- 4-year or above
0711	1	Private not-for-profit- 4-year or above
0712	1	Private not-for-profit- 4-year or above
0713	1	Private not-for-profit- 4-year or above
0714	1	Private not-for-profit- 4-year or above
0715	1	Private not-for-profit- 4-year or above
0716	1	Private not-for-profit- 4-year or above
0717	1	Public- 4-year or above
0718	1	Private not-for-profit- 4-year or above
0719	1	Private not-for-profit- 4-year or above
0720	1	Public- 4-year or above
0721	1	Private for-profit- 4-year or above
0722	1	Private not-for-profit- 4-year or above
0723	1	Private not-for-profit- 4-year or above
0724	1	Private not-for-profit- 4-year or above
0725	1	Private not-for-profit- 4-year or above
0726	1	Private not-for-profit- 4-year or above
0727	1	Private not-for-profit- 4-year or above
0728	1	Private not-for-profit- 4-year or above
0729	1	Private not-for-profit- 4-year or above
0730	1	Private not-for-profit- 4-year or above
0731	1	Private not-for-profit- 4-year or above
0732	1	Private for-profit- 4-year or above
0733	1	Private not-for-profit- 4-year or above
0734	1	Private not-for-profit- 4-year or above
0735	1	Public- 2-year
0736	1	Private not-for-profit- 4-year or above
0737	1	Private not-for-profit- 4-year or above
0738	1	Private not-for-profit- 4-year or above
