university	usnews	phone
0282	1	(601) 925-3800
0283	1	(662) 325-2224
0284	1	(662) 329-7106
0285	1	(417) 625-9378
0286	1	(800) 492-7900
0287	1	(573) 341-4165
0288	1	(816) 271-4266
0289	1	(888) 466-5569
0290	1	(800) 747-2687
0291	1	(800) 543-9671
0292	1	(406) 994-2452
0293	1	(406) 657-2158
0294	1	(406) 265-3704
0295	1	(406) 496-4256
0296	1	(973) 655-4444
0297	1	(800) 622-6968
0298	1	(610) 861-1320
0299	1	(606) 783-2000
0300	1	(413) 565-1331
0301	1	(601) 968-5940
0302	1	(502) 452-8131
0303	1	(704) 825-6665
0304	1	(615) 460-6785
0305	1	(608) 363-2500
0306	1	(218) 755-2040
0307	1	(803) 253-5143
0308	1	(800) 467-5340
0309	1	(630) 829-6300
0310	1	(800) 833-6845
0311	1	(781) 891-2244
0312	1	(859) 985-3500
0313	1	(706) 236-2215
0314	1	(304) 829-7611
0315	1	(800) 826-2281
0316	1	(800) 843-9410
0317	1	(800) 522-1887
0318	1	(800) 422-4101
0319	1	(800) 255-8706
0320	1	(800) 448-0228
0321	1	(607) 777-2171
0322	1	(562) 903-4752
0323	1	(205) 226-4696
0324	1	(800) 233-3550
0325	1	(404) 215-2632
0326	1	(712) 274-5111
0327	1	(814) 886-6383
0328	1	(413) 538-2023
0329	1	(617) 928-4535
0330	1	(319) 368-6460
0331	1	(845) 569-3248
0332	1	(310) 954-4250
0333	1	(800) 448-4347
0334	1	(866) 462-6868
0335	1	(484) 664-3200
0336	1	(270) 809-3741
0337	1	(740) 826-8137
0338	1	(585) 389-2860
0339	1	(402) 465-2218
0340	1	(800) 845-4955
0341	1	(941) 487-5000
0342	1	(800) 521-7642
0343	1	(973) 596-3300
0344	1	(505) 835-5424
0345	1	(877) 528-3321
0346	1	(516) 686-7520
0347	1	(212) 998-4500
0348	1	(716) 286-8700
0349	1	(919) 530-6298
0350	1	(919) 515-2434
0351	1	(800) 488-6292
0352	1	(630) 637-5800
0353	1	(800) 289-6222
0354	1	(701) 231-8643
0355	1	(617) 373-2200
0356	1	(800) 637-9948
0357	1	(906) 227-2650
0358	1	(800) 678-5330
0359	1	(800) 498-9581
0360	1	(715) 682-1224
0361	1	(773) 244-5500
0362	1	(541) 684-7201
0363	1	(712) 707-7130
0364	1	(800) 827-6827
0365	1	(580) 327-8545
0366	1	(800) 426-3754
0367	1	(847) 491-7271
0368	1	(800) 633-1175
0369	1	(208) 467-8000
0370	1	(425) 889-5231
0371	1	(800) 468-6679
0372	1	(216) 373-5355
0373	1	(650) 508-3600
0374	1	(256) 726-7356
0375	1	(440) 775-8411
0376	1	(800) 825-5262
0377	1	(404) 364-8307
0378	1	(614) 251-4500
0379	1	(888) 408-4668
0380	1	(614) 292-3980
0381	1	(740) 593-4100
0382	1	(877) 446-8668
0383	1	(740) 368-3020
0384	1	(405) 878-2023
0385	1	(405) 425-5050
0386	1	(405) 208-5050
0387	1	(800) 664-6778
0388	1	(405) 744-5358
0389	1	(866) 222-8226
0390	1	(815) 939-5011
0391	1	(541) 885-1155
0392	1	(541) 737-4411
0393	1	(614) 823-1500
0394	1	(870) 245-5110
0395	1	(504) 398-2175
0396	1	(800) 436-6558
0397	1	(212) 346-1323
0398	1	(800) 274-6758
0399	1	(707) 965-6336
0400	1	(800) 677-6712
0401	1	(888) 468-6722
0402	1	(570) 327-4761
0403	1	(814) 865-5471
0404	1	(310) 506-4392
0405	1	(800) 338-2060
0406	1	(215) 702-4235
0407	1	(215) 951-2800
0408	1	(501) 370-5221
0409	1	(800) 277-7020
0410	1	(800) 854-7488
0411	1	(909) 621-8129
0412	1	(603) 535-2237
0413	1	(619) 849-2273
0414	1	(800) 321-0129
0415	1	(718) 260-3100
0416	1	(909) 621-8134
0417	1	(864) 833-8230
0418	1	(877) 350-2100
0419	1	(609) 258-3060
0420	1	(618) 374-5181
0421	1	(401) 865-2535
0422	1	(914) 251-6300
0423	1	(765) 494-1776
0424	1	(800) 849-0202
0425	1	(217) 228-5210
0426	1	(800) 462-1944
0427	1	(540) 831-5371
0428	1	(201) 684-7300
0429	1	(800) 745-7692
0430	1	(800) 888-1762
0431	1	(503) 777-7511
0432	1	(303) 458-4900
0433	1	(770) 720-5526
0434	1	(518) 276-6216
0435	1	(800) 669-5760
0436	1	(800) 844-5969
0437	1	(713) 348-7423
0438	1	(609) 652-4261
0439	1	(609) 896-5042
0440	1	(920) 748-8337
0441	1	(540) 375-2270
0442	1	(312) 935-4400
0443	1	(412) 397-5200
0444	1	(585) 594-6400
0445	1	(585) 475-6631
0446	1	(815) 226-4050
0447	1	(816) 501-4100
0448	1	(406) 657-1026
0449	1	(401) 254-3500
0450	1	(407) 646-2161
0451	1	(312) 341-3515
0452	1	(800) 331-0708
0453	1	(856) 256-4200
0454	1	(888) 837-9724
0455	1	(856) 225-6104
0456	1	(973) 353-5205
0457	1	(732) 932-4636
0458	1	(203) 371-7880
0459	1	(336) 721-2621
0460	1	(410) 543-6161
0461	1	(888) 467-2583
0462	1	(800) 888-7218
0463	1	(619) 594-6336
0464	1	(415) 338-6486
0465	1	(408) 283-7500
0466	1	(408) 554-4700
0467	1	(505) 473-6133
0468	1	(800) 343-4919
0469	1	(800) 770-1333
0470	1	(800) 366-3344
0471	1	(206) 296-2000
0472	1	(973) 761-9332
0473	1	(724) 838-4255
0474	1	(800) 522-2234
0475	1	(800) 959-2778
0476	1	(540) 665-4581
0477	1	(304) 876-5212
0478	1	(717) 477-1231
0479	1	(800) 868-6980
0480	1	(888) 287-4362
0481	1	(920) 686-6175
0482	1	(800) 345-8468
0483	1	(515) 961-1624
0484	1	(518) 580-5570
0485	1	(800) 929-4778
0486	1	(413) 585-2500
0487	1	(707) 664-2778
0488	1	(803) 536-7185
0489	1	(863) 667-5018
0490	1	(573) 651-2590
0491	1	(423) 236-2844
0492	1	(870) 235-4040
0493	1	(203) 392-5656
0494	1	(618) 536-4405
0495	1	(618) 650-3705
0496	1	(800) 323-0672
0497	1	(405) 491-6324
0498	1	(603) 645-9611
0499	1	(541) 552-6411
0500	1	(678) 915-4188
0501	1	(435) 586-7740
0502	1	(864) 644-5550
0503	1	(800) 526-5859
0504	1	(620) 229-6236
0505	1	(800) 252-3166
0506	1	(507) 537-6286
0507	1	(800) 982-2411
0508	1	(800) 968-0011
0509	1	(413) 748-3136
0510	1	(251) 380-3030
0511	1	(563) 333-6300
0512	1	(650) 723-2091
0513	1	(603) 641-7500
0514	1	(800) 462-5050
0515	1	(800) 945-4599
0516	1	(320) 308-2244
0517	1	(512) 448-8500
0518	1	(936) 468-2504
0519	1	(800) 688-0101
0520	1	(201) 216-5194
0521	1	(410) 486-7001
0522	1	(718) 489-5200
0523	1	(814) 472-3100
0524	1	(405) 878-5444
0525	1	(205) 366-8837
0526	1	(585) 385-8064
0527	1	(410) 263-2371
0528	1	(800) 331-5232
0529	1	(320) 363-2196
0530	1	(718) 990-2000
0531	1	(860) 231-5216
0532	1	(219) 866-6170
0533	1	(718) 940-5800
0534	1	(610) 660-1300
0535	1	(315) 229-5261
0536	1	(800) 334-5532
0537	1	(314) 977-2500
0538	1	(800) 368-8803
0539	1	(800) 926-7692
0540	1	(574) 284-4587
0541	1	(925) 631-4224
0542	1	(800) 492-7181
0543	1	(507) 457-1700
0544	1	(210) 436-3126
0545	1	(800) 762-8000
0546	1	(800) 236-4878
0547	1	(507) 786-3025
0548	1	(508) 565-1373
0549	1	(631) 632-6868
0550	1	(201) 761-7100
0551	1	(845) 398-4100
0552	1	(305) 628-6546
0553	1	(800) 782-5549
0554	1	(773) 298-3050
0555	1	(617) 573-8460
0556	1	(607) 753-4711
0557	1	(518) 255-5525
0558	1	(315) 470-6600
0559	1	(800) 425-3733
0560	1	(607) 746-4550
0561	1	(607) 436-2524
0562	1	(315) 267-2180
0563	1	(800) 252-1212
0564	1	(585) 245-5571
0565	1	(315) 792-7500
0566	1	(718) 409-7221
0567	1	(845) 257-3200
0568	1	(315) 312-2250
0569	1	(888) 673-0012
0570	1	(800) 326-9672
0571	1	(610) 328-8300
0572	1	(800) 381-6142
0573	1	(315) 443-3611
0574	1	(620) 947-3121
0575	1	(570) 389-4316
0576	1	(276) 326-4272
0577	1	(662) 685-4161
0578	1	(800) 488-3257
0579	1	(208) 426-1156
0580	1	(617) 552-3100
0581	1	(617) 353-2300
0582	1	(207) 725-3100
0583	1	(419) 372-2478
0584	1	(800) 447-6460
0585	1	(781) 736-3500
0586	1	(770) 534-6100
0587	1	(270) 686-4241
0588	1	(712) 279-5200
0589	1	(800) 759-8328
0590	1	(208) 496-1036
0591	1	(801) 422-2507
0592	1	(401) 863-2378
0593	1	(800) 277-9522
0594	1	(800) 622-7001
0595	1	(610) 526-5152
0596	1	(570) 577-1101
0597	1	(800) 383-9600
0598	1	(716) 878-4017
0599	1	(888) 940-8100
0600	1	(765) 998-5134
0601	1	(215) 204-7200
0602	1	(800) 255-8881
0603	1	(423) 746-5286
0604	1	(956) 326-2200
0605	1	(979) 845-3741
0606	1	(361) 825-2624
0607	1	(817) 257-7490
0608	1	(512) 245-2364
0609	1	(806) 742-1480
0610	1	(817) 531-4458
0611	1	(800) 634-9797
0612	1	(800) 339-7001
0613	1	(800) 825-4557
0614	1	(706) 886-6831
0615	1	(601) 977-7765
0616	1	(718) 252-7800
0617	1	(410) 704-2113
0618	1	(859) 233-8242
0619	1	(260) 665-4100
0620	1	(800) 748-0085
0621	1	(860) 297-2180
0622	1	(800) 874-6489
0623	1	(334) 670-3179
0624	1	(660) 785-4114
0625	1	(617) 627-3170
0626	1	(504) 865-5731
0627	1	(334) 727-8500
0628	1	(888) 843-6688
0629	1	(800) 228-4600
0630	1	(800) 338-6466
0631	1	(800) 443-9266
0632	1	(800) 883-8724
0633	1	(516) 773-5391
0634	1	(845) 938-4041
0635	1	(410) 293-4361
0636	1	(518) 442-5435
0637	1	(716) 645-6900
0638	1	(205) 348-5666
0639	1	(205) 934-8221
0640	1	(256) 824-6070
0641	1	(907) 786-1480
0642	1	(520) 621-3237
0643	1	(800) 377-8632
0644	1	(870) 575-8492
0645	1	(510) 642-3175
0646	1	(530) 752-2971
0647	1	(949) 824-6703
0648	1	(310) 825-3101
0649	1	(951) 827-3411
0650	1	(858) 534-4831
0651	1	(805) 893-2485
0652	1	(831) 459-4008
0653	1	(501) 450-3128
0654	1	(407) 823-3000
0655	1	(660) 543-4290
0656	1	(800) 995-4682
0657	1	(773) 702-8650
0658	1	(513) 556-1100
0659	1	(303) 492-6301
0660	1	(719) 255-3383
0661	1	(303) 556-2704
0662	1	(860) 486-3137
0663	1	(972) 721-5266
0664	1	(937) 229-4411
0665	1	(302) 831-8123
0666	1	(303) 871-2036
0667	1	(313) 993-1245
0668	1	(800) 722-5583
0669	1	(812) 488-2468
0670	1	(800) 548-0932
0671	1	(352) 392-1365
0672	1	(706) 542-8776
0673	1	(860) 768-4296
0674	1	(808) 956-8975
0675	1	(888) 884-3246
0676	1	(312) 996-4350
0677	1	(217) 206-4847
0678	1	(217) 333-0302
0679	1	(317) 788-3216
0680	1	(800) 553-4692
0681	1	(785) 864-3911
0682	1	(859) 257-2000
0683	1	(800) 876-4858
0684	1	(502) 852-6531
0685	1	(877) 486-2364
0686	1	(207) 778-7050
0687	1	(207) 834-7600
0688	1	(701) 355-8030
0689	1	(254) 295-4520
0690	1	(410) 455-2291
0691	1	(301) 314-8385
0692	1	(540) 654-2000
0693	1	(413) 545-0222
0694	1	(508) 999-8605
0695	1	(978) 934-3931
0696	1	(305) 284-4323
0697	1	(734) 764-7433
0698	1	(313) 593-5100
0699	1	(810) 762-3300
0700	1	(800) 232-6466
0701	1	(218) 726-7171
0702	1	(888) 866-3382
0703	1	(800) 752-1000
0704	1	(662) 915-7226
0705	1	(573) 882-7786
0706	1	(251) 442-2273
0707	1	(800) 462-8636
0708	1	(406) 683-7331
0709	1	(205) 665-6030
0710	1	(330) 823-2590
0711	1	(308) 865-8526
0712	1	(800) 742-8800
0713	1	(402) 554-2393
0714	1	(775) 784-4700
0715	1	(207) 283-0171
0716	1	(603) 862-1360
0717	1	(203) 932-7319
0718	1	(256) 765-4608
0719	1	(828) 251-6481
0720	1	(919) 966-3621
0721	1	(704) 687-2213
0722	1	(336) 334-5243
0723	1	(910) 962-3243
0724	1	(800) 225-5863
0725	1	(800) 772-2037
0726	1	(904) 620-2624
0727	1	(574) 631-7505
0728	1	(405) 325-2252
0729	1	(800) 232-3825
0730	1	(215) 898-7507
0731	1	(412) 624-7488
0732	1	(814) 362-7555
0733	1	(800) 765-4875
0734	1	(888) 627-5601
0735	1	(253) 879-3211
0736	1	(800) 455-5064
0737	1	(401) 874-7100
0738	1	(804) 289-8640
0739	1	(585) 275-3221
0740	1	(619) 260-4506
0741	1	(415) 422-6563
0742	1	(405) 574-1357
0743	1	(570) 941-7540
0744	1	(605) 331-6600
0745	1	(251) 460-6141
0746	1	(803) 777-7700
0747	1	(803) 641-3366
0748	1	(864) 503-5246
0749	1	(213) 740-1111
0750	1	(207) 780-5670
0751	1	(813) 974-3350
0752	1	(800) 735-7500
0753	1	(260) 434-3279
0754	1	(651) 962-6150
0755	1	(713) 525-3500
0756	1	(888) 646-2738
0757	1	(865) 974-2184
0758	1	(423) 425-4662
0759	1	(800) 829-8861
0760	1	(512) 475-7440
0761	1	(972) 883-2270
0762	1	(432) 552-2605
0763	1	(800) 669-0919
0764	1	(903) 566-7202
0765	1	(800) 343-1609
0766	1	(210) 829-6005
0767	1	(479) 979-1227
0768	1	(800) 959-2867
0769	1	(575) 392-6563
0770	1	(918) 631-2307
0771	1	(801) 581-7281
0772	1	(802) 656-3370
0773	1	(434) 982-3200
0774	1	(206) 543-9686
0775	1	(715) 836-5415
0776	1	(608) 785-8939
0777	1	(608) 262-3961
0778	1	(920) 424-0202
0779	1	(715) 608-1125
0780	1	(715) 425-3500
0781	1	(715) 346-2441
0782	1	(715) 232-1411
0783	1	(715) 394-8230
0784	1	(262) 472-1440
0785	1	(307) 766-5160
0786	1	(610) 409-3200
0787	1	(440) 449-4203
0788	1	(435) 797-1079
0789	1	(315) 792-3006
0790	1	(229) 333-5791
0791	1	(701) 845-7101
0792	1	(888) 468-2576
0793	1	(800) 288-0432
0794	1	(800) 722-6279
0795	1	(845) 437-7300
0796	1	(718) 429-6600
0797	1	(802) 728-1244
0798	1	(610) 519-4000
0799	1	(800) 841-3638
0800	1	(800) 767-4207
0801	1	(804) 524-5902
0802	1	(540) 231-6267
0803	1	(804) 257-5600
0804	1	(800) 345-5385
0805	1	(718) 390-3411
0806	1	(336) 758-5201
0807	1	(509) 527-2327
0808	1	(800) 362-9846
0809	1	(503) 517-1020
0810	1	(800) 309-9563
0811	1	(800) 934-3536
0812	1	(319) 352-8264
0813	1	(785) 670-1030
0814	1	(724) 223-6025
0815	1	(540) 463-8710
0816	1	(410) 778-7700
0817	1	(888) 468-6978
0818	1	(800) 638-0700
0819	1	(806) 291-3500
0820	1	(800) 225-7393
0821	1	(800) 228-9972
0822	1	(801) 626-6744
0823	1	(314) 968-6991
0824	1	(781) 283-2270
0825	1	(800) 952-9355
0826	1	(800) 447-6610
0827	1	(860) 685-3000
0828	1	(302) 736-2400
0829	1	(610) 436-3414
0830	1	(828) 227-7317
0831	1	(309) 298-3157
0832	1	(270) 745-2551
0833	1	(269) 387-2000
0834	1	(413) 782-1321
0835	1	(503) 838-8211
0836	1	(360) 650-3440
0837	1	(413) 572-5218
0838	1	(304) 336-8076
0839	1	(800) 475-3361
0840	1	(800) 942-8033
0841	1	(801) 832-2200
0842	1	(800) 777-9011
0843	1	(806) 651-2020
0844	1	(800) 344-9881
0845	1	(304) 442-3167
0846	1	(630) 752-5005
0847	1	(508) 286-8251
0848	1	(800) 624-6992
0849	1	(617) 879-2206
0850	1	(610) 902-8552
0851	1	(973) 618-3500
0852	1	(877) 228-8866
0853	1	(626) 395-6341
0854	1	(877) 258-3678
0855	1	(800) 561-1945
0856	1	(805) 756-2311
0857	1	(909) 869-3210
0858	1	(800) 542-4426
0859	1	(559) 278-2261
0860	1	(657) 278-2371
0861	1	(562) 985-5471
0862	1	(818) 677-3700
0863	1	(916) 278-3901
0864	1	(909) 537-5188
0865	1	(760) 750-4848
0866	1	(209) 667-3152
0867	1	(616) 526-6106
0868	1	(270) 789-5220
0869	1	(910) 893-1320
0870	1	(800) 843-1517
0871	1	(866) 544-6175
0872	1	(414) 410-4040
0873	1	(507) 222-4190
0874	1	(412) 268-2082
0875	1	(509) 527-5176
0876	1	(562) 907-4238
0877	1	(800) 533-4668
0878	1	(610) 499-4126
0879	1	(570) 408-4400
0880	1	(503) 370-6303
0881	1	(888) 253-9355
0882	1	(973) 720-2125
0883	1	(800) 722-4434
0884	1	(413) 597-2211
0885	1	(573) 592-4221
0886	1	(937) 382-6661
0887	1	(800) 421-8402
0888	1	(507) 457-5100
0889	1	(336) 750-2070
0890	1	(803) 323-2191
0891	1	(414) 443-8811
0892	1	(937) 327-6314
0893	1	(864) 597-4130
0894	1	(818) 767-0888
0895	1	(508) 831-5286
0896	1	(877) 982-3648
0897	1	(504) 520-7388
0898	1	(203) 432-9316
0899	1	(212) 960-5277
0900	1	(800) 950-9675
0901	1	(717) 849-1600
0902	1	(406) 447-4384
0903	1	(262) 524-7220
0904	1	(800) 678-9061
0905	1	(262) 551-6000
0906	1	(216) 368-4450
0907	1	(800) 228-2922
0908	1	(800) 673-2772
0909	1	(800) 654-3210
0910	1	(800) 233-2784
0911	1	(641) 628-7600
0912	1	(860) 832-2278
0913	1	(660) 248-6251
0914	1	(866) 298-4968
0915	1	(859) 238-5350
0916	1	(308) 432-6263
0917	1	(808) 735-4735
0918	1	(800) 570-5858
0919	1	(888) 282-7759
0920	1	(843) 863-7050
0921	1	(800) 837-1290
0922	1	(215) 248-7001
0923	1	(901) 321-3205
0924	1	(843) 953-5230
0925	1	(803) 535-5340
0926	1	(909) 621-8088
0927	1	(814) 393-2306
0928	1	(563) 588-6316
0929	1	(800) 527-6577
0930	1	(508) 793-7431
0931	1	(678) 466-4115
0932	1	(800) 348-4463
0933	1	(864) 656-2287
0934	1	(319) 399-8500
0935	1	(843) 383-8050
0936	1	(800) 723-3032
0937	1	(800) 272-1015
0938	1	(315) 228-7401
0939	1	(585) 395-2751
0940	1	(843) 953-5670
0941	1	(800) 224-3246
0942	1	(513) 244-4531
0943	1	(718) 405-3267
0944	1	(609) 771-2131
0945	1	(410) 532-5330
0946	1	(800) 255-3567
0947	1	(320) 363-2196
0948	1	(973) 290-4700
0949	1	(402) 399-2407
0950	1	(518) 454-5150
0951	1	(218) 723-6046
0952	1	(800) 528-0025
0953	1	(508) 793-2443
0954	1	(800) 222-0525
0955	1	(757) 221-4223
0956	1	(800) 877-9905
0957	1	(303) 963-3200
0958	1	(719) 389-6344
0959	1	(303) 273-3220
0960	1	(970) 491-6909
0961	1	(573) 875-7352
0962	1	(800) 277-1301
0963	1	(212) 854-2522
0964	1	(334) 874-5700
0965	1	(800) 699-9897
0966	1	(800) 253-0680
0967	1	(800) 535-5494
0968	1	(949) 854-8002
0969	1	(708) 209-3100
0970	1	(651) 641-8230
0971	1	(800) 865-4282
0972	1	(262) 243-4300
0973	1	(304) 384-5249
0974	1	(860) 439-2200
0975	1	(864) 596-9040
0976	1	(212) 353-4120
0977	1	(800) 845-3005
0978	1	(800) 747-1112
0979	1	(607) 255-5241
0980	1	(706) 820-2398
0981	1	(800) 282-5835
0982	1	(952) 446-4142
0983	1	(800) 537-1883
0984	1	(646) 312-1400
0985	1	(718) 951-5001
0986	1	(212) 650-6977
0987	1	(212) 772-4490
0988	1	(212) 237-8869
0989	1	(718) 960-8131
0990	1	(718) 997-5600
0991	1	(800) 669-0686
0992	1	(888) 378-9988
0993	1	(800) 333-8506
0994	1	(214) 333-5360
0995	1	(603) 646-2875
0996	1	(800) 768-0380
