university	collegeprowler	type
0635	1	Private For-Profit
0636	1	Private For-Profit
0637	1	Public
0638	1	Public
0639	1	Public
0640	1	Public
0641	1	Private Non-Profit
0642	1	Public
0643	1	Private Non-Profit
0644	1	Public
0645	1	Public
0646	1	Public
0647	1	Private For-Profit
0648	1	Public
0649	1	Private Non-Profit
0650	1	Private For-Profit
0651	1	Public
0652	1	Private For-Profit
0653	1	Private For-Profit
0654	1	Public
0655	1	Public
0656	1	Private For-Profit
0657	1	Private For-Profit
0658	1	Public
0659	1	Public
0660	1	Public
0661	1	Public
0662	1	Private Non-Profit
0663	1	Private For-Profit
0664	1	Public
0665	1	Private Non-Profit
0666	1	Public
0667	1	Public
0668	1	Private For-Profit
0669	1	Public
0670	1	Private For-Profit
0671	1	Public
0672	1	Private Non-Profit
0673	1	Private Non-Profit
0674	1	Private For-Profit
0675	1	Private Non-Profit
0676	1	Public
0677	1	Private For-Profit
0678	1	Private For-Profit
0679	1	Private For-Profit
0680	1	Private For-Profit
0681	1	Private Non-Profit
0682	1	Private Non-Profit
0683	1	Private For-Profit
0684	1	Public
0685	1	Public
0686	1	Public
0687	1	Public
0688	1	Private For-Profit
0689	1	Private Non-Profit
0690	1	Private Non-Profit
0691	1	Private Non-Profit
0692	1	Private For-Profit
0693	1	Private For-Profit
0694	1	Private Non-Profit
0695	1	Private Non-Profit
0696	1	Public
0697	1	Public
0698	1	Public
0699	1	Private For-Profit
0700	1	Public
0701	1	Private Non-Profit
0702	1	Private Non-Profit
0703	1	Private Non-Profit
0704	1	Private Non-Profit
0705	1	Private Non-Profit
0706	1	Private Non-Profit
0707	1	Public
0708	1	Public
0709	1	Public
0710	1	Private Non-Profit
0711	1	Private For-Profit
0712	1	Private Non-Profit
0713	1	Private Non-Profit
0714	1	Private Non-Profit
0715	1	Private For-Profit
0716	1	Private For-Profit
0717	1	Private Non-Profit
0718	1	Public
0719	1	Private For-Profit
0720	1	Private For-Profit
0721	1	Private For-Profit
0722	1	Private Non-Profit
0723	1	Public
0724	1	Private For-Profit
0725	1	Private For-Profit
0726	1	Public
0727	1	Private For-Profit
0728	1	Private For-Profit
0729	1	Private For-Profit
0730	1	Private Non-Profit
0731	1	Private For-Profit
0732	1	Public
0733	1	Public
0734	1	Public
0735	1	Public
0736	1	Public
0737	1	Public
0738	1	Public
0739	1	Public
0740	1	Private For-Profit
0741	1	Public
0742	1	Private For-Profit
0743	1	Private For-Profit
0744	1	Private For-Profit
0745	1	Private For-Profit
0746	1	Private Non-Profit
0747	1	Private Non-Profit
0748	1	Private For-Profit
0749	1	Private For-Profit
0750	1	Private For-Profit
0751	1	Private For-Profit
0752	1	Private Non-Profit
0753	1	Private Non-Profit
0754	1	Private Non-Profit
0755	1	Private Non-Profit
0756	1	Private Non-Profit
0757	1	Public
0758	1	Private For-Profit
0759	1	Public
0760	1	Private For-Profit
0761	1	Private For-Profit
0762	1	Private For-Profit
0763	1	Public
0764	1	Public
0765	1	Private Non-Profit
0766	1	Private For-Profit
0767	1	Private For-Profit
0768	1	Private For-Profit
0769	1	Private For-Profit
0770	1	Private For-Profit
0771	1	Private For-Profit
0772	1	Private For-Profit
0773	1	Private For-Profit
0774	1	Public
0775	1	Public
0776	1	Private Non-Profit
0777	1	Private Non-Profit
0778	1	Private Non-Profit
0779	1	Private For-Profit
0780	1	Private For-Profit
0781	1	Private For-Profit
0782	1	Public
0783	1	Public
0784	1	Private For-Profit
0785	1	Private Non-Profit
0786	1	Private Non-Profit
0787	1	Private Non-Profit
0788	1	Private Non-Profit
0789	1	Private For-Profit
0790	1	Private For-Profit
0791	1	Private For-Profit
0792	1	Private For-Profit
0793	1	Private Non-Profit
0794	1	Private For-Profit
0795	1	Private For-Profit
0796	1	Private For-Profit
0797	1	Private Non-Profit
0798	1	Public
0799	1	Private For-Profit
0800	1	Public
0801	1	Private For-Profit
0802	1	Private For-Profit
0803	1	Private For-Profit
0804	1	Public
0805	1	Private Non-Profit
0806	1	Public
0807	1	Public
0808	1	Private For-Profit
0809	1	Private For-Profit
0810	1	Private For-Profit
0811	1	Private For-Profit
0812	1	Private Non-Profit
0813	1	Private Non-Profit
0814	1	Private Non-Profit
0815	1	Private Non-Profit
0816	1	Private For-Profit
0817	1	Private For-Profit
0818	1	Private For-Profit
0819	1	Private For-Profit
0820	1	Private For-Profit
0821	1	Private For-Profit
0822	1	Private For-Profit
0823	1	Private For-Profit
0824	1	Private For-Profit
0825	1	Public
0826	1	Public
0827	1	Private For-Profit
0828	1	Public
0829	1	Private For-Profit
0830	1	Private Non-Profit
0831	1	Private For-Profit
0832	1	Private Non-Profit
0833	1	Private Non-Profit
0834	1	Private Non-Profit
0835	1	Private Non-Profit
0836	1	Public
0837	1	Private Non-Profit
0838	1	Private Non-Profit
0839	1	Public
0840	1	Private For-Profit
0841	1	Private Non-Profit
0842	1	Private Non-Profit
0843	1	Private For-Profit
0844	1	Private For-Profit
0845	1	Private For-Profit
0846	1	Public
0847	1	Public
0848	1	Private For-Profit
0849	1	Private For-Profit
0850	1	Public
0851	1	Private Non-Profit
0852	1	Private Non-Profit
0853	1	Private Non-Profit
0854	1	Private Non-Profit
0855	1	Private Non-Profit
0856	1	Private Non-Profit
0857	1	Private Non-Profit
0858	1	Private Non-Profit
0859	1	Private Non-Profit
0860	1	Private Non-Profit
0861	1	Public
0862	1	Public
0863	1	Private Non-Profit
0864	1	Private Non-Profit
0865	1	Private Non-Profit
0866	1	Private Non-Profit
0867	1	Public
0868	1	Private Non-Profit
0869	1	Private Non-Profit
0870	1	Public
0871	1	Private For-Profit
0872	1	Public
0873	1	Private For-Profit
0874	1	Private For-Profit
0875	1	Private Non-Profit
0876	1	Public
0877	1	Public
0878	1	Public
0879	1	Private Non-Profit
0880	1	Private For-Profit
0881	1	Private For-Profit
0882	1	Private For-Profit
0883	1	Private For-Profit
0884	1	Public
0885	1	Public
0886	1	Public
0887	1	Public
0888	1	Private For-Profit
0889	1	Private For-Profit
0890	1	Private For-Profit
0891	1	Private For-Profit
0892	1	Private For-Profit
0893	1	Private For-Profit
0894	1	Private For-Profit
0895	1	Private Non-Profit
0896	1	Private For-Profit
0897	1	Private For-Profit
0898	1	Private For-Profit
0899	1	Private For-Profit
0900	1	Public
0901	1	Private For-Profit
0902	1	Private For-Profit
0903	1	Public
0904	1	Public
0905	1	Private Non-Profit
0906	1	Private For-Profit
0907	1	Public
0908	1	Private Non-Profit
0909	1	Private For-Profit
0910	1	Private Non-Profit
0911	1	Public
0912	1	Private Non-Profit
0913	1	Public
0914	1	Private Non-Profit
0915	1	Private For-Profit
0916	1	Private Non-Profit
0917	1	Private Non-Profit
0918	1	Private For-Profit
0919	1	Private Non-Profit
0920	1	Private Non-Profit
0921	1	Public
0922	1	Public
0923	1	Private For-Profit
0924	1	Public
0925	1	Private For-Profit
0926	1	Public
0927	1	Private Non-Profit
0928	1	Public
0929	1	Public
0930	1	Public
0931	1	Private For-Profit
0932	1	Private For-Profit
0933	1	Public
0934	1	Public
0935	1	Private For-Profit
0936	1	Public
0937	1	Private For-Profit
0938	1	Private For-Profit
0939	1	Private For-Profit
0940	1	Public
0941	1	Private Non-Profit
0942	1	Public
0943	1	Private For-Profit
0944	1	Private Non-Profit
0945	1	Public
0946	1	Public
0947	1	Private For-Profit
0948	1	Private For-Profit
0949	1	Private Non-Profit
0950	1	Private For-Profit
0951	1	Private For-Profit
0952	1	Public
0953	1	Private Non-Profit
0954	1	Public
0955	1	Public
0956	1	Private For-Profit
0957	1	Public
0958	1	Public
0959	1	Public
0960	1	Public
0961	1	Public
0962	1	Private For-Profit
0963	1	Private For-Profit
0964	1	Private Non-Profit
0965	1	Public
0966	1	Private For-Profit
0967	1	Public
0968	1	Public
0969	1	Private Non-Profit
0970	1	Private Non-Profit
0971	1	Private For-Profit
0972	1	Private For-Profit
0973	1	Private For-Profit
0974	1	Public
0975	1	Public
0976	1	Private Non-Profit
0977	1	Public
0978	1	Public
0979	1	Public
0980	1	Public
0981	1	Private For-Profit
0982	1	Private Non-Profit
0983	1	Private For-Profit
0984	1	Private For-Profit
0985	1	Public
0986	1	Private Non-Profit
0987	1	Private Non-Profit
0988	1	Private Non-Profit
0989	1	Private Non-Profit
0990	1	Private For-Profit
0991	1	Private Non-Profit
0992	1	Private Non-Profit
0993	1	Private Non-Profit
0994	1	Private Non-Profit
0995	1	Private For-Profit
0996	1	Private Non-Profit
0997	1	Private Non-Profit
0998	1	Private Non-Profit
0999	1	Private Non-Profit
1000	1	Private Non-Profit
1001	1	Private Non-Profit
1002	1	Private For-Profit
1003	1	Private For-Profit
1004	1	Public
1005	1	Private For-Profit
1006	1	Private Non-Profit
1007	1	Private For-Profit
1008	1	Private For-Profit
1009	1	Public
1010	1	Public
1011	1	Public
1012	1	Public
1013	1	Public
1014	1	Public
1015	1	Public
1016	1	Public
1017	1	Private For-Profit
1018	1	Private For-Profit
1019	1	Private Non-Profit
1020	1	Private Non-Profit
1021	1	Private For-Profit
1022	1	Private Non-Profit
1023	1	Private For-Profit
1024	1	Private For-Profit
1025	1	Private For-Profit
1026	1	Private For-Profit
1027	1	Public
1028	1	Private Non-Profit
1029	1	Public
1030	1	Public
1031	1	Private For-Profit
1032	1	Private Non-Profit
1033	1	Private Non-Profit
1034	1	Private For-Profit
1035	1	Public
1036	1	Private For-Profit
1037	1	Private Non-Profit
1038	1	Private Non-Profit
1039	1	Public
1040	1	Private For-Profit
1041	1	Public
1042	1	Private Non-Profit
1043	1	Public
1044	1	Public
1045	1	Private Non-Profit
1046	1	Private Non-Profit
1047	1	Public
1048	1	Private For-Profit
1049	1	Private For-Profit
1050	1	Public
1051	1	Public
1052	1	Public
1053	1	Public
1054	1	Public
1055	1	Public
1056	1	Private For-Profit
1057	1	Private For-Profit
1058	1	Private For-Profit
1059	1	Private Non-Profit
1060	1	Private For-Profit
1061	1	Private For-Profit
1062	1	Private For-Profit
1063	1	Public
1064	1	Public
1065	1	Private For-Profit
1066	1	Private For-Profit
1067	1	Private For-Profit
1068	1	Private For-Profit
1069	1	Private For-Profit
1070	1	Private For-Profit
1071	1	Private For-Profit
1072	1	Private For-Profit
1073	1	Private For-Profit
1074	1	Private For-Profit
1075	1	Private For-Profit
1076	1	Private For-Profit
1077	1	Private Non-Profit
1078	1	Private For-Profit
1079	1	Private Non-Profit
1080	1	Private Non-Profit
1081	1	Private For-Profit
1082	1	Private For-Profit
1083	1	Private For-Profit
1084	1	Private For-Profit
1085	1	Private For-Profit
1086	1	Private For-Profit
1087	1	Private For-Profit
1088	1	Private For-Profit
1089	1	Private For-Profit
1090	1	Private For-Profit
1091	1	Private For-Profit
1092	1	Private Non-Profit
1093	1	Private For-Profit
1094	1	Private Non-Profit
1095	1	Private Non-Profit
1096	1	Private For-Profit
1097	1	Private Non-Profit
1098	1	Private For-Profit
1099	1	Private For-Profit
1100	1	Private Non-Profit
1101	1	Private Non-Profit
1102	1	Private Non-Profit
1103	1	Private Non-Profit
1104	1	Private For-Profit
1105	1	Public
1106	1	Private For-Profit
1107	1	Private Non-Profit
1108	1	Public
1109	1	Public
1110	1	Private For-Profit
1111	1	Private For-Profit
1112	1	Private For-Profit
1113	1	Private For-Profit
1114	1	Public
1115	1	Public
1116	1	Public
1117	1	Public
1118	1	Private For-Profit
1119	1	Public
1120	1	Private Non-Profit
1121	1	Private Non-Profit
1122	1	Private Non-Profit
1123	1	Private Non-Profit
1124	1	Private Non-Profit
1125	1	Public
1126	1	Public
1127	1	Public
1128	1	Public
1129	1	Private For-Profit
1130	1	Private Non-Profit
1131	1	Private For-Profit
1132	1	Public
1133	1	Public
1134	1	Private For-Profit
1135	1	Private Non-Profit
1136	1	Private Non-Profit
1137	1	Private For-Profit
1138	1	Private For-Profit
1139	1	Public
1140	1	Public
1141	1	Private Non-Profit
1142	1	Private Non-Profit
1143	1	Private For-Profit
1144	1	Private For-Profit
1145	1	Private For-Profit
1146	1	Private For-Profit
1147	1	Private Non-Profit
1148	1	Private Non-Profit
1149	1	Public
1150	1	Public
1151	1	Public
1152	1	Public
1153	1	Public
1154	1	Public
1155	1	Public
1156	1	Public
1157	1	Public
1158	1	Private Non-Profit
1159	1	Private Non-Profit
1160	1	Private Non-Profit
1161	1	Public
1162	1	Public
1163	1	Private Non-Profit
1164	1	Private Non-Profit
1165	1	Public
1166	1	Public
1167	1	Public
1168	1	Public
1169	1	Public
1170	1	Public
1171	1	Public
1172	1	Public
1173	1	Public
1174	1	Public
1175	1	Public
1176	1	Public
1177	1	Public
1178	1	Public
1179	1	Public
1180	1	Public
1181	1	Public
1182	1	Public
1183	1	Private For-Profit
1184	1	Private For-Profit
1185	1	Private For-Profit
1186	1	Private For-Profit
