university	princetonreview	name
0180	1	Harvey Mudd College
0181	1	Hastings College
0182	1	Haverford College
0183	1	Hawaii Pacific University
0184	1	Hendrix College
0185	1	Hillsdale College
0186	1	Hiram College
0187	1	Hobart and William Smith Colleges
0188	1	Hofstra University
0189	1	Hollins University
0190	1	Hood College
0191	1	Hope College
0192	1	Houghton College
0193	1	Howard University
0194	1	Humboldt State University
0195	1	Huntingdon College
0196	1	Illinois Institute of Technology
0197	1	Illinois Wesleyan University
0198	1	Indiana State University
0199	1	Indiana University--Bloomington
0200	1	Indiana University of Pennsylvania
0201	1	Iona College
0202	1	Iowa State University
0203	1	Ithaca College
0204	1	James Madison University
0205	1	Jamestown College
0206	1	John Carroll University
0207	1	Johns Hopkins University
0208	1	Juniata College
0209	1	Kalamazoo College
0210	1	Kansas State University
0211	1	Keene State College
0212	1	Kentucky State University
0213	1	Kentucky Wesleyan College
0214	1	Kenyon College
0215	1	Kettering University
0216	1	King College
0217	1	King's College (PA)
0218	1	Knox College
0219	1	Kutztown University of Pennsylvania
0220	1	Lafayette College
0221	1	Lake Forest College
0222	1	Lancaster Bible College &amp; Graduate School
0223	1	La Roche College
0224	1	Lawrence Tech (MI)
0225	1	Lawrence University
0226	1	Lebanon Valley College
0227	1	Lee University
0228	1	Lehigh University
0229	1	Le Moyne College
0230	1	Lesley College at Lesley University
0231	1	Lewis &amp; Clark College
0232	1	Lewis University
0233	1	Linfield College
0234	1	Longwood University
0235	1	Louisiana State University--Baton Rouge
0236	1	Lourdes College
0237	1	Loyola University Maryland
0238	1	Loyola Marymount University
0239	1	Loyola University New Orleans
0240	1	Loyola University of Chicago
0241	1	Luther College
0242	1	Lycoming College
0243	1	Lynchburg College
0244	1	Lyon College
0245	1	Macalester College
0246	1	Manchester College
0247	1	Manhattanville College
0248	1	Marietta College
0249	1	Marist College
0250	1	Marlboro College
0251	1	Marquette University
0252	1	Mary Baldwin College
0253	1	Maryland Institute College of Art
0254	1	Maryville College
0255	1	Marywood University
0256	1	Massachusetts Institute of Technology
0257	1	Mayville State University
0258	1	McGill University
0259	1	Menlo College
0260	1	Mercer University
0261	1	Meredith College
0262	1	Merrimack College
0263	1	Miami University
0264	1	Michigan State University
0265	1	Michigan Technological University
0266	1	Middlebury College
0267	1	Middle Tennessee State University
0268	1	Millikin University
0269	1	Millsaps College
0270	1	Mills College
0271	1	Milwaukee School of Engineering
0272	1	Minneapolis College of Art and Design
0273	1	Mississippi College
0274	1	Missouri State University
0275	1	Molloy College
0276	1	Monmouth College
0277	1	Monmouth University (NJ)
0278	1	Montana Tech of the Univ. of Montana
0279	1	Montreat College
0280	1	Moore College of Art &amp; Design
0281	1	Moravian College
0282	1	Morehouse College
0283	1	Morningside College
0284	1	Mountain State University
0285	1	Mount Holyoke College
0286	1	Muhlenberg College
0287	1	Nazareth College
0288	1	Nebraska Wesleyan University
0289	1	Neumann College
0290	1	New College of Florida
0291	1	New Jersey Institute of Technology
0292	1	New Mexico Institute of Mining &amp; Technology
0293	1	New York University
0294	1	Niagara University
0295	1	North Carolina State University
0296	1	North Central College
0297	1	Northeastern University
0298	1	Northland College
0299	1	Northwestern College (IA)
0300	1	Northwestern University
0301	1	Northwest Nazarene University
0302	1	Oberlin College
0303	1	Occidental College
0304	1	Oglethorpe University
0305	1	Ohio Northern University
0306	1	Ohio University--Athens
0307	1	Ohio Wesleyan University
0308	1	Oklahoma Baptist University
0309	1	Oklahoma Christian University
0310	1	Oklahoma State University
0311	1	Oral Roberts University
0312	1	Oregon State University
0313	1	Pace University
0314	1	Pacific University
0315	1	Palm Beach Atlantic University
0316	1	Pennsylvania State University--University Park
0317	1	Pepperdine University
0318	1	Pittsburg State University
0319	1	Pitzer College
0320	1	Polytechnic Institute of NYU - Brooklyn
0321	1	Pomona College
0322	1	Portland State University
0323	1	Prescott College
0324	1	Princeton University
0325	1	Providence College
0326	1	Purdue University--West Lafayette
0327	1	Quinnipiac University
0328	1	Radford University
0329	1	Ramapo College of New Jersey
0330	1	Randolph College
0331	1	Reed College
0332	1	Regis College
0333	1	Rensselaer Polytechnic Institute
0334	1	Rhodes College
0335	1	Rice University
0336	1	The Richard Stockton College of New Jersey
0337	1	Rider University
0338	1	Ripon College
0339	1	Roanoke College
0340	1	Roberts Wesleyan College
0341	1	Rochester Institute of Technology
0342	1	Rockford College
0343	1	Roger Williams University
0344	1	Rollins College
0345	1	Rose-Hulman Institute of Technology
0346	1	Rosemont College
0347	1	Rowan University
0348	1	Rutgers, The State University of New Jersey--New Brunswick
0349	1	Sacred Heart University
0350	1	Saint Anselm College
0351	1	Saint Joseph's College (IN)
0352	1	Saint Joseph's University (PA)
0353	1	Saint Louis University
0354	1	Saint Mary's College (IN)
0355	1	Saint Mary's College (CA)
0356	1	Saint Mary's University of Minnesota
0357	1	Saint Michael's College
0358	1	St. Olaf College
0359	1	Salisbury University
0360	1	Salve Regina University
0361	1	Samford University
0362	1	Santa Clara University
0363	1	Sarah Lawrence College
0364	1	Scripps College
0365	1	Seattle Pacific University
0366	1	Seattle University
0367	1	Seton Hill University
0368	1	Sewanee--The University of the South
0369	1	Shepherd University
0370	1	Shorter College
0371	1	Siena College
0372	1	Simmons College
0373	1	Skidmore College
0374	1	Slippery Rock University of Pennsylvania
0375	1	Smith College
0376	1	Sonoma State University
0377	1	Southeast Missouri State University
0378	1	Southern Adventist University
0379	1	Southern Illinois University Carbondale
0380	1	Southern Methodist University
0381	1	Southern Utah University
0382	1	Southwestern University
0383	1	Spelman College
0384	1	St. Ambrose University
0385	1	Stanford University
0386	1	State University of New York at Albany
0387	1	State University of New York at Binghamton
0388	1	State University of New York at Geneseo
0389	1	State University of New York--The College at Brockport
0390	1	State University of New York--College of Environmental Science and Forestry
0391	1	State University of New York--Fredonia
0392	1	State University of New York--Maritime College
0393	1	State University of New York--Oswego
0394	1	State University of New York--Purchase College
0395	1	State University of New York--Stony Brook University
0396	1	State University of New York--University at Buffalo
0397	1	St. Bonaventure University
0398	1	St. Edward's University
0399	1	Sterling College
0400	1	Sterling College (VT)
0401	1	Stevens Institute of Technology
0402	1	St. John's College (MD)
0403	1	St. John's College, Santa Fe
0404	1	St. John's University--Queens
0405	1	St. Lawrence University
0406	1	St. Mary's College of Maryland
0407	1	St. Norbert College
0408	1	Suffolk University
0409	1	Susquehanna University
0410	1	Swarthmore College
0411	1	Sweet Briar College
0412	1	Syracuse University
0413	1	Taylor University
0414	1	Temple University
0415	1	Texas A&amp;M University--College Station
0416	1	Texas Christian University
0417	1	Texas Lutheran University
0418	1	Texas State University--San Marcos
0419	1	Texas Tech University
0420	1	The Art Institute of Boston at Lesley University
0421	1	The Catholic University of America
0422	1	The College of New Jersey
0423	1	College of Saint Scholastica
0424	1	College of St. Catherine
0425	1	The College of Wooster
0426	1	The Cooper Union for the Advancement of Science and Art
0427	1	The Evergreen State College
0428	1	The George Washington University
0429	1	The Ohio State University--Columbus
0430	1	The University of Akron
0431	1	University of Alabama at Birmingham
0432	1	The University of Findlay
0433	1	The University of Montana
0434	1	University of Scranton
0435	1	The University of South Dakota
0436	1	The University of Texas at Arlington
0437	1	The University of Texas at Austin
0438	1	The University of Texas at Dallas
0439	1	The University of Tulsa
0440	1	Thomas Aquinas College
0441	1	Toccoa Falls College
0442	1	Towson University
0443	1	Transylvania University
0444	1	Trinity College (CT)
0445	1	Trinity University
0446	1	Trine University
0447	1	Troy University--Troy (formerly Troy State University)
0448	1	Truman State University
0449	1	Tufts University
0450	1	Tulane University
0451	1	Tuskegee University
0452	1	Union College (NY)
0453	1	Union University
0454	1	United States Air Force Academy
0455	1	United States Coast Guard Academy
0456	1	United States Merchant Marine Academy
0457	1	West Point – The United States Military Academy
0458	1	United States Naval Academy
0459	1	University of Alabama--Tuscaloosa
0460	1	University of Alaska--Fairbanks
0461	1	University of Arizona
0462	1	University of Arkansas--Fayetteville
0463	1	University of California--Davis
0464	1	University of California--Irvine
0465	1	University of California--Los Angeles
0466	1	University of California--Riverside
0467	1	University of California--San Diego
0468	1	University of California--Santa Barbara
0469	1	University of California--Santa Cruz
0470	1	University of Central Florida
0471	1	University of Central Missouri
0472	1	University of Charleston
0473	1	University of Chicago
0474	1	University of Cincinnati
0475	1	University of Colorado--Boulder
0476	1	University of Connecticut
0477	1	University of Dallas
0478	1	University of Dayton
0479	1	University of Delaware
0480	1	University of Denver
0481	1	University of Evansville
0482	1	University of Florida
0483	1	University of Georgia
0484	1	University of Houston
0485	1	University of Illinois at Urbana-Champaign
0486	1	University of Iowa
0487	1	American Jewish University
0488	1	University of Kansas
0489	1	University of Kentucky
0490	1	University of Louisiana at Lafayette
0491	1	University of Maine
0492	1	University of Maine-Fort Kent
0493	1	University of Maryland, Baltimore County
0494	1	University of Maryland, College Park
0495	1	University of Mary Washington
0496	1	University of Massachusetts-Amherst
0497	1	University of Massachusetts Boston
0498	1	University of Miami
0499	1	University of Michigan--Ann Arbor
0500	1	University of Michigan-Flint
0501	1	University of Minnesota, Crookston
0502	1	University of Minnesota--Twin Cities
0503	1	University of Mississippi
0504	1	University of Missouri
0505	1	University of Missouri-Kansas City
0506	1	Missouri University of Science and Technology (formerly University of Missouri--Rolla)
0507	1	University of Nebraska at Omaha
0508	1	University of Nebraska--Lincoln
0509	1	University of New Hampshire
0510	1	University of New Mexico
0511	1	University of New Orleans
0512	1	The University of North Carolina at Asheville
0513	1	The University of North Carolina at Chapel Hill
0514	1	The University of North Carolina at Greensboro
0515	1	The University of North Carolina at Pembroke
0516	1	University of North Carolina--Wilmington
0517	1	University of North Dakota
0518	1	University of Northern Iowa
0519	1	University of North Florida
0520	1	University of North Texas
0521	1	University of Notre Dame
0522	1	University of Oklahoma
0523	1	University of Oregon
0524	1	University of Pennsylvania
0525	1	University of Pittsburgh at Bradford
0526	1	University of Pittsburgh at Johnstown
0527	1	University of Pittsburgh--Pittsburgh Campus
0528	1	University of Portland
0529	1	University of Puget Sound
0530	1	University of Redlands
0531	1	University of Rhode Island
0532	1	University of Richmond
0533	1	University of Rochester
0534	1	University of Saint Mary (KS) (formerly Saint Mary College)
0535	1	University of San Diego
0536	1	University of San Francisco
0537	1	University of South Carolina--Columbia
0538	1	University of Southern California
0539	1	University of Southern Maine
0540	1	University of South Florida
0541	1	University of St. Francis
0542	1	University of St. Thomas
0543	1	University of Tennessee at Martin
0544	1	University of Tennessee
0545	1	University of the Arts
0546	1	University of the Pacific
0547	1	University of Toronto
0548	1	University of Utah
0549	1	University of Vermont
0550	1	University of Virginia
0551	1	University of Washington
0552	1	University of West Florida
0553	1	University of West Georgia
0554	1	University of Wisconsin-Eau Claire
0555	1	University of Wisconsin-Madison
0556	1	University of Wisconsin-Milwaukee
0557	1	University of Wisconsin-River Falls
0558	1	University of Wyoming
0559	1	Ursinus College
0560	1	Utah State University
0561	1	Valparaiso University
0562	1	Vanderbilt University
0563	1	Vanguard University of Southern California
0564	1	Vassar College
0565	1	Villanova University
0566	1	Virginia Tech
0567	1	Virginia Wesleyan College
0568	1	Wabash College
0569	1	Wagner College
0570	1	Wake Forest University
0571	1	Walla Walla University
0572	1	Warren Wilson College
0573	1	Wartburg College
0574	1	Washington College
0575	1	Washington &amp; Jefferson College
0576	1	Washington State University
0577	1	Washington University in St. Louis
0578	1	Webber International University
0579	1	Webb Institute
0580	1	Weber State University
0581	1	Wellesley College
0582	1	Wells College
0583	1	Wentworth Institute of Technology
0584	1	Wesleyan College
0585	1	Wesleyan University
0586	1	Western Illinois University
0587	1	Western Michigan University
0588	1	Westminster College of Salt Lake City
0589	1	Westminster College (MO)
0590	1	Westminster College (PA)
0591	1	Westmont College
0592	1	West Texas A&amp;M University
0593	1	West Virginia University
0594	1	West Virginia Wesleyan College
0595	1	Wheaton College (IL)
0596	1	Wheaton College (MA)
0597	1	Whitman College
0598	1	Whittier College
0599	1	Whitworth University
0600	1	Wilkes University
0601	1	Willamette University
0602	1	William Jewell College
0603	1	Williams College
0604	1	Winona State University
0605	1	Winthrop University
0606	1	Wittenberg University
0607	1	Wofford College
0608	1	Worcester Polytechnic Institute
0609	1	Worcester State College
0610	1	Wright State University
0611	1	Xavier University of Louisiana
0612	1	Xavier University (OH)
0613	1	Yale University
0614	1	York College of Pennsylvania
