job	nettemps	location
0089	1	Middleboro MA
0090	1	Montvale NJ
0091	1	Eden Prairie MN
0092	1	Oxnard CA
0093	1	Windsor CT
0094	1	Springfield MA
0095	1	Hartford CT
0096	1	Hartford CT
0097	1	Hartford CT
0098	1	Hartford CT
0099	1	Hartford CT
0100	1	Nashville TN
0101	1	Hartford CT
0102	1	Hartford CT
0103	1	Hartford CT
0104	1	Philadelphia PA
0105	1	Philadelphia PA
0106	1	Windsor CT
0107	1	Hartford CT
0108	1	Hartford CT
0109	1	Hartford CT
0110	1	Hartford CT
0111	1	Hunt Valley MD
0112	1	Orlando FL
0113	1	Hartford CT
0114	1	Hartford CT
0115	1	Hartford CT
0116	1	Greenwood Village CO
0117	1	Windsor CT
0118	1	Windsor CT
0119	1	Hartford CT
0120	1	Hartford CT
0121	1	Summit NJ
0122	1	New York NY
0123	1	New York NY
0124	1	Melville NY
0125	1	New York NY
0126	1	New York NY
0127	1	Summit NJ
0128	1	Melville NY
0129	1	Richmond VA
0130	1	Raleigh NC
0131	1	Raleigh NC
0132	1	Minneapolis MN
0133	1	Minneapolis MN
0134	1	Southfield MI
0135	1	Southfield MI
0136	1	Fairfax VA
0137	1	New York NY
0138	1	New York NY
0139	1	Princeton NJ
0140	1	Amesbury MA
0141	1	Waltham MA
0142	1	Boston MA
0143	1	Amesbury MA
0144	1	Cambridge MA
0145	1	Haverhill MA
0146	1	Tampa FL
0147	1	Boston MA
0148	1	Atlanta GA
0149	1	Providence RI
0150	1	Tuscaloosa AL
0151	1	Nashville TN
0152	1	Nashville TN
0153	1	Saginaw MI
0154	1	Daytona Beach FL
0155	1	Detroit MI
0156	1	Columbus OH
0157	1	Columbus OH
0158	1	Detroit MI
0159	1	Columbus OH
0160	1	Kansas City MO
0161	1	Albany NY
0162	1	Albany NY
0163	1	Albany NY
0164	1	New York NY
0165	1	Boulder CO
0166	1	Boulder CO
0167	1	Boulder CO
0168	1	Bloomington IL
0169	1	Herndon VA
0170	1	Herndon VA
0171	1	Reston VA
0172	1	Chicago IL
0173	1	Reston VA
0174	1	Atlanta GA
0175	1	New York NY
0176	1	New York NY
0177	1	New York NY
0178	1	New York NY
0179	1	New York NY
0180	1	Greenwich CT
0181	1	Herndon VA
0182	1	Herndon VA
0183	1	Herndon VA
0184	1	Herndon VA
0185	1	Fort Lee NJ
0186	1	Fort Lee NJ
0187	1	Greenbelt MD
0188	1	New York NY
0189	1	Allendale NJ
0190	1	New York NY
0191	1	Cary NC
0192	1	Cary NC
0193	1	East Rutherford NJ
0194	1	Dallas TX
0195	1	Herndon VA
0196	1	The Woodlands TX
0197	1	Ann Arbor MI
0198	1	Portsmouth NH
0199	1	Providence RI
0200	1	King of Prussia PA
0201	1	Tallahassee FL
0202	1	Atlanta GA
0203	1	Oklahoma City OK
0204	1	Danbury CT
0205	1	Danbury CT
0206	1	Danbury CT
0207	1	Collegeville PA
0208	1	Westport CT
0209	1	Chicago IL
0210	1	Chicago IL
0211	1	San Francisco CA
0212	1	San Francisco CA
0213	1	San Jose CA
0214	1	Foster City CA
0215	1	Walnut Creek CA
0216	1	Foster City CA
0217	1	Foster City CA
0218	1	San Jose CA
0219	1	Highlands Ranch CO
0220	1	New York NY
0221	1	Foster City CA
0222	1	Brisbane CA
0223	1	Walnut Creek CA
0224	1	South San Francisco CA
0225	1	San Francisco CA
0226	1	Foster City CA
0227	1	Foster City CA
0228	1	Wilmington DE
0229	1	Jersey City NJ
0230	1	New York NY
0231	1	Hoboken NJ
0232	1	Seattle WA
0233	1	Baltimore MD
0234	1	Denver CO
0235	1	Trenton NJ
0236	1	South Plainfield NJ
0237	1	Dallas TX
0238	1	Chicago IL
0239	1	Dallas TX
0240	1	Charlotte NC
0241	1	Scottsdale AZ
0242	1	Scottsdale AZ
0243	1	Mason OH
0244	1	Beaverton OR
0245	1	Alpharetta GA
0246	1	Rochester MN
0247	1	West Point PA
0248	1	Columbus OH
0249	1	Auburn Hills MI
0250	1	Irving TX
0251	1	New York NY
0252	1	Pittsburgh PA
0253	1	Boulder CO
0254	1	Malvern PA
0255	1	Pittsburgh PA
0256	1	Rosemont IL
0257	1	Kansas City MO
0258	1	Phoenix AZ
0259	1	Aurora CO
0260	1	Rochester MN
0261	1	Overland Park KS
0262	1	Malvern PA
0263	1	New Haven CT
0264	1	San Ramon CA
0265	1	New Haven CT
0266	1	Dearborn MI
0267	1	Regina SK
0268	1	Chicago IL
0269	1	Santa Ana CA
0270	1	Louisville KY
0271	1	Austin TX
0272	1	Austin TX
0273	1	Lansing MI
0274	1	Gaithersburg MD
0275	1	New York NY
0276	1	Baltimore MD
0277	1	Cherry Hill NJ
0278	1	Tampa FL
0279	1	Raleigh NC
0280	1	Atlanta GA
0281	1	Hartford CT
0282	1	Washington DC
0283	1	Austin TX
0284	1	El Monte CA
0285	1	Brentwood NY
0286	1	Brentwood NY
0287	1	Hopewell NJ
0288	1	New York NY
0289	1	New York NY
0290	1	Hopewell NJ
0291	1	Palo Alto CA
0292	1	New York NY
0293	1	Allentown PA
0294	1	Denver CO
0295	1	New York NY
0296	1	Ashburn VA
0297	1	Washington DC
0298	1	White Plains NY
0299	1	Washington DC
0300	1	Arlington VA
0301	1	Bethesda MD
0302	1	Fort Myers FL
0303	1	Fort Myers FL
0304	1	Fort Myers FL
0305	1	Bowie MD
0306	1	White Plains NY
0307	1	Pittsburgh PA
0308	1	Fairfax VA
0309	1	Hicksville NY
0310	1	Sterling Heights MI
0311	1	Richmond VA
0312	1	Norwich CT
0313	1	Nashville TN
0314	1	Fort Myers FL
0315	1	Fort Wayne IN
0316	1	San Francisco CA
0317	1	Mc Kinney TX
0318	1	Garland TX
0319	1	Irving TX
0320	1	Stennis Space Center MS
0321	1	Hollywood FL
0322	1	Menands NY
0323	1	Norwich CT
0324	1	Stennis Space Center MS
0325	1	Boston MA
0326	1	Baltimore MD
0327	1	Baltimore MD
0328	1	Greenville SC
0329	1	Baltimore MD
0330	1	Baltimore MD
0331	1	Columbia MD
0332	1	Baltimore MD
0333	1	Baltimore MD
0334	1	Plano TX
0335	1	Phoenix AZ
0336	1	Minneapolis MN
0337	1	Dickinson ND
0338	1	Pleasanton CA
0339	1	Pleasanton CA
0340	1	Dallas TX
0341	1	San Francisco CA
0342	1	Washington DC
0343	1	Chicago IL
0344	1	Cleveland OH
0345	1	Cary NC
0346	1	Cary NC
0347	1	New York NY
0348	1	New York NY
0349	1	New York NY
0350	1	New York NY
0351	1	Reston VA
0352	1	Jersey City NJ
0353	1	Jersey City NJ
0354	1	Jersey City NJ
0355	1	Jersey City NJ
0356	1	Jersey City NJ
0357	1	Herndon VA
0358	1	Herndon VA
0359	1	Columbus OH
0360	1	Columbus OH
0361	1	Cleveland OH
0362	1	Columbus OH
0363	1	Columbus OH
0364	1	Columbus OH
0365	1	Columbus OH
0366	1	Columbus OH
0367	1	Secaucus NJ
0368	1	Park Ridge NJ
0369	1	New York NY
0370	1	New York NY
0371	1	New York NY
0372	1	New York NY
0373	1	New York NY
0374	1	Parsippany NJ
0375	1	New York NY
0376	1	New York NY
0377	1	New York NY
0378	1	Ramsey NJ
0379	1	Fort Lee NJ
0380	1	Ramsey NJ
0381	1	Ramsey NJ
0382	1	Ramsey NJ
0383	1	New York NY
0384	1	Stamford CT
0385	1	Fort Lee NJ
0386	1	New York NY
0387	1	Salt Lake City UT
0388	1	New York NY
0389	1	Bridgewater NJ
0390	1	Stamford CT
0391	1	Stamford CT
0392	1	Charles City IA
0393	1	Allentown PA
0394	1	Metuchen NJ
0395	1	Collegeville PA
0396	1	Allentown PA
0397	1	Kalamazoo MI
0398	1	Collegeville PA
0399	1	Collegeville PA
0400	1	La Jolla CA
0401	1	Collegeville PA
0402	1	Allentown PA
0403	1	Thief River Falls MN
0404	1	Center Valley PA
0405	1	Eden Prairie MN
0406	1	Bridgewater NJ
0407	1	Allentown PA
0408	1	Secaucus NJ
0409	1	New London CT
0410	1	Allentown PA
0411	1	Lansing MI
0412	1	Harrisburg PA
0413	1	Pearl River NY
0414	1	Groton CT
0415	1	Pearl River NY
0416	1	Austin TX
0417	1	Memphis TN
0418	1	Kalamazoo MI
0419	1	Pearl River NY
0420	1	Bridgewater NJ
0421	1	New York NY
0422	1	New York NY
0423	1	Center Valley PA
0424	1	Metuchen NJ
0425	1	Metuchen NJ
0426	1	Allentown PA
0427	1	New York NY
0428	1	Jersey City NJ
0429	1	New York NY
0430	1	Stamford CT
0431	1	Charlotte NC
0432	1	New York NY
0433	1	Parsippany NJ
0434	1	Morristown NJ
0435	1	New York NY
0436	1	New York NY
0437	1	Bentonville AR
0438	1	New York NY
0439	1	Parsippany NJ
0440	1	Dallas TX
0441	1	New York NY
0442	1	New York NY
0443	1	Piscataway NJ
0444	1	Portsmouth NH
0445	1	New York NY
0446	1	New York NY
0447	1	New York NY
0448	1	Lake Zurich IL
0449	1	Merrimack NH
0450	1	Watertown MA
0451	1	Watertown MA
0452	1	Watertown MA
0453	1	Watertown MA
0454	1	Merrimack NH
0455	1	Seattle WA
0456	1	Alexandria VA
0457	1	Merrimack NH
0458	1	Fort Meade MD
0459	1	Washington DC
0460	1	Fort Meade MD
0461	1	Quantico VA
0462	1	Fort Belvoir VA
0463	1	Washington DC
0464	1	Arlington VA
0465	1	Annapolis Junction MD
0466	1	Bolling AFB DC
0467	1	Herndon VA
0468	1	Clarksburg WV
0469	1	Mc Lean VA
0470	1	Fort Meade MD
0471	1	Westfield MA
0472	1	Fairfax VA
0473	1	Falls Church VA
0474	1	Herndon VA
0475	1	Fort Meade MD
0476	1	Hanover MD
0477	1	Annapolis Junction MD
0478	1	Annapolis Junction MD
0479	1	Fort Meade MD
0480	1	Annapolis Junction MD
0481	1	Chantilly VA
0482	1	Washington DC
0483	1	Mc Lean VA
0484	1	Reston VA
0485	1	Fort Meade MD
0486	1	Annapolis Junction MD
0487	1	Falls Church VA
0488	1	Raritan NJ
0489	1	Bridgewater NJ
0490	1	Roseland NJ
0491	1	Cincinnati OH
0492	1	Cincinnati OH
0493	1	Chandler AZ
0494	1	Chandler AZ
0495	1	San Mateo CA
0496	1	San Mateo CA
0497	1	Santa Monica CA
0498	1	Irving TX
0499	1	Peoria IL
0500	1	New Brunswick NJ
0501	1	Washington DC
0502	1	Skillman NJ
0503	1	Raritan NJ
0504	1	Raritan NJ
0505	1	Raritan NJ
0506	1	Raritan NJ
0507	1	Alexandria VA
0508	1	Raritan NJ
0509	1	Minneapolis MN
0510	1	Chandler AZ
0511	1	Charlotte NC
0512	1	Minneapolis MN
0513	1	San Francisco CA
0514	1	Chicago IL
0515	1	Piscataway NJ
0516	1	Piscataway NJ
0517	1	San Francisco CA
0518	1	New York NY
0519	1	Stamford CT
0520	1	New York NY
0521	1	New York NY
0522	1	NY
0523	1	NY
0524	1	NY
0525	1	White Plains NY
0526	1	New York NY
0527	1	New York NY
0528	1	Los Angeles CA
0529	1	Charlotte NC
0530	1	Wilmington DE
0531	1	San Francisco CA
0532	1	Richmond VA
0533	1	Charlotte NC
0534	1	Tempe AZ
0535	1	Tempe AZ
0536	1	San Francisco CA
0537	1	Des Moines IA
0538	1	San Francisco CA
0539	1	Charlotte NC
0540	1	Tempe AZ
0541	1	Des Moines IA
0542	1	Chandler AZ
0543	1	Charlotte NC
0544	1	Minneapolis MN
0545	1	San Francisco CA
0546	1	San Francisco CA
0547	1	Northfield IL
0548	1	Chandler AZ
0549	1	Minneapolis MN
0550	1	Minneapolis MN
0551	1	Minneapolis MN
0552	1	Charlotte NC
0553	1	Rancho Cordova CA
0554	1	Charlotte NC
0555	1	San Francisco CA
0556	1	Minneapolis MN
0557	1	Charlotte NC
0558	1	Des Moines IA
0559	1	Phoenix AZ
0560	1	San Francisco CA
0561	1	Charlotte NC
0562	1	Tempe AZ
0563	1	San Francisco CA
0564	1	San Francisco CA
0565	1	Minneapolis MN
0566	1	Chandler AZ
0567	1	Charlotte NC
0568	1	Minneapolis MN
0569	1	Charlotte NC
0570	1	Minneapolis MN
0571	1	Charlotte NC
0572	1	Irwindale CA
0573	1	Conshohocken PA
0574	1	Rockaway NJ
0575	1	Jersey City NJ
0576	1	Jersey City NJ
0577	1	Dallas TX
0578	1	Palo Verde AZ
0579	1	Newark DE
0580	1	Jersey City NJ
0581	1	New York NY
0582	1	Boston MA
0583	1	Albany NY
0584	1	Albany NY
0585	1	Albany NY
0586	1	Jersey City NJ
0587	1	Albany NY
0588	1	New York NY
0589	1	Jersey City NJ
0590	1	New York NY
0591	1	Tampa FL
0592	1	Jersey City NJ
0593	1	Jersey City NJ
0594	1	Boston MA
0595	1	Jersey City NJ
0596	1	New York NY
0597	1	Jersey City NJ
0598	1	Jersey City NJ
0599	1	Jersey City NJ
0600	1	New York NY
0601	1	Jersey City NJ
0602	1	Wakefield MA
0603	1	Charlottesville VA
0604	1	Chicago IL
0605	1	Columbus OH
0606	1	Orlando FL
0607	1	Orlando FL
0608	1	Columbus OH
0609	1	Chicago IL
0610	1	Albany NY
0611	1	Jersey City NJ
0612	1	Jersey City NJ
0613	1	Columbus OH
0614	1	New York NY
0615	1	Columbus OH
0616	1	Columbus OH
0617	1	Chicago IL
0618	1	New York NY
0619	1	Chicago IL
0620	1	Columbus OH
0621	1	Charlotte NC
0622	1	Charlotte NC
0623	1	Jersey City NJ
0624	1	Marlborough MA
0625	1	Sacramento CA
0626	1	Marlborough MA
0627	1	Marlborough MA
0628	1	Boston MA
0629	1	Irvine CA
0630	1	Irvine CA
0631	1	Los Angeles CA
0632	1	Brea CA
0633	1	Orange CA
0634	1	Boston MA
0635	1	Santa Ana CA
0636	1	Boston MA
0637	1	Glendale CA
0638	1	New York NY
0639	1	Lexington KY
0640	1	Charleston WV
0641	1	Boston MA
0642	1	Santa Ana CA
0643	1	New York NY
0644	1	New York NY
0645	1	New York NY
0646	1	Fountain Valley CA
0647	1	New York NY
0648	1	Costa Mesa CA
0649	1	Costa Mesa CA
0650	1	Boston MA
0651	1	Huntington Beach CA
0652	1	Huntington Beach CA
0653	1	Boston MA
0654	1	Boston MA
0655	1	Costa Mesa CA
0656	1	Aliso Viejo CA
0657	1	Charleston WV
0658	1	Boston MA
0659	1	Parkersburg WV
0660	1	Boston MA
0661	1	Huntington Beach CA
0662	1	Boston MA
0663	1	Ontario CA
0664	1	Sacramento CA
0665	1	Orange CA
0666	1	Huntington WV
0667	1	San Francisco CA
0668	1	San Francisco CA
0669	1	San Francisco CA
0670	1	San Francisco CA
0671	1	San Francisco CA
0672	1	San Francisco CA
0673	1	Glendale AZ
0674	1	San Francisco CA
0675	1	San Francisco CA
0676	1	San Francisco CA
0677	1	San Francisco CA
0678	1	San Francisco CA
0679	1	Corpus Christi TX
0680	1	Bakersfield CA
0681	1	Los Angeles CA
0682	1	Los Angeles CA
0683	1	Los Angeles CA
0684	1	Los Angeles CA
0685	1	Los Angeles CA
0686	1	Los Angeles CA
0687	1	Los Angeles CA
0688	1	Los Angeles CA
0689	1	Los Angeles CA
0690	1	Los Angeles CA
0691	1	New York NY
0692	1	Chicago IL
0693	1	New York NY
0694	1	New York NY
0695	1	New York NY
0696	1	Jersey City NJ
0697	1	Indianapolis IN
0698	1	Charlotte NC
0699	1	Austin TX
0700	1	Charlotte NC
0701	1	Cambridge MA
0702	1	Boston MA
0703	1	Los Angeles CA
0704	1	Los Angeles CA
0705	1	Los Angeles CA
0706	1	Los Angeles CA
0707	1	Chicago IL
0708	1	Chicago IL
0709	1	Chicago IL
0710	1	Austin TX
0711	1	Houston TX
0712	1	San Antonio TX
0713	1	Pasadena TX
0714	1	Austin TX
0715	1	Atlanta GA
0716	1	San Antonio TX
0717	1	Dallas TX
0718	1	McAllen TX
0719	1	Austin TX
0720	1	San Antonio TX
0721	1	Houston TX
0722	1	New York NY
0723	1	New York NY
0724	1	Albany NY
0725	1	New York NY
0726	1	New York NY
0727	1	New York NY
0728	1	New York NY
0729	1	New York NY
0730	1	New York NY
0731	1	New York NY
0732	1	New York NY
0733	1	New York NY
0734	1	New York NY
0735	1	Fullerton CA
0736	1	Hollywood FL
0737	1	San Diego CA
0738	1	San Francisco CA
0739	1	Coral Springs FL
0740	1	Cape Coral FL
0741	1	Tallahassee FL
0742	1	Orlando FL
0743	1	McAllen TX
0744	1	Miami FL
0745	1	San Jose CA
0746	1	Saint Petersburg FL
0747	1	Jacksonville FL
0748	1	Tampa FL
0749	1	Miami FL
0750	1	Irvine CA
0751	1	Sacramento CA
0752	1	Oakland CA
0753	1	Sacramento CA
0754	1	Fresno CA
0755	1	North Hollywood CA
0756	1	San Francisco CA
0757	1	Chico CA
0758	1	San Francisco CA
0759	1	Los Angeles CA
0760	1	Riverside CA
0761	1	Los Angeles CA
0762	1	Stockton CA
0763	1	New York NY
0764	1	Aurora CO
0765	1	Nashville TN
0766	1	Chicago IL
0767	1	Bridgewater NJ
0768	1	Bridgewater NJ
0769	1	Philadelphia PA
0770	1	Foxboro MA
0771	1	New York NY
0772	1	New York NY
0773	1	Poughkeepsie NY
0774	1	Tampa FL
0775	1	Austin TX
0776	1	Tampa FL
0777	1	Tampa FL
0778	1	Chesterfield MO
0779	1	Chavies KY
0780	1	Lock Haven PA
0781	1	Houston TX
0782	1	New York NY
0783	1	Irvine CA
0784	1	Ann Arbor MI
0785	1	Dallas TX
0786	1	Raritan NJ
0787	1	Raritan NJ
0788	1	Los Angeles CA
0789	1	Bridgewater NJ
0790	1	Raritan NJ
0791	1	Raritan NJ
0792	1	Englewood CO
0793	1	East Aurora NY
0794	1	Richmond CA
0795	1	East Aurora NY
0796	1	East Aurora NY
0797	1	San Diego CA
0798	1	Indianapolis IN
0799	1	Indianapolis IN
0800	1	Dulles VA
0801	1	East Aurora NY
0802	1	East Aurora NY
0803	1	East Aurora NY
0804	1	Eagan MN
0805	1	San Diego CA
0806	1	San Diego CA
0807	1	Dulles VA
0808	1	East Aurora NY
0809	1	East Aurora NY
0810	1	East Aurora NY
0811	1	Dulles VA
0812	1	East Aurora NY
0813	1	San Diego CA
0814	1	San Diego CA
0815	1	East Aurora NY
0816	1	Washington DC
0817	1	New York NY
0818	1	New York NY
0819	1	New York NY
0820	1	New York NY
0821	1	Stamford CT
0822	1	Darien CT
0823	1	Los Angeles CA
0824	1	Cedar Rapids IA
0825	1	Colorado Springs CO
0826	1	Austin TX
0827	1	Chelmsford MA
0828	1	Sudbury MA
0829	1	Crownsville MD
0830	1	Sacramento CA
0831	1	Silicon Valley CA
0832	1	Sudbury MA
0833	1	Littleton MA
0834	1	Mansfield MA
0835	1	Houston TX
0836	1	Greensboro NC
0837	1	Wilton CT
0838	1	Newark NJ
0839	1	Raleigh NC
0840	1	East Hanover NJ
0841	1	Chicago IL
0842	1	Florham Park NJ
0843	1	Baltimore MD
0844	1	Washington DC
0845	1	Vienna VA
0846	1	Vienna VA
0847	1	Southborough MA
0848	1	New York NY
0849	1	Basking Ridge NJ
0850	1	Houston TX
0851	1	Houston TX
0852	1	Fort Wayne IN
0853	1	New York NY
0854	1	Sudbury MA
0855	1	Union NJ
0856	1	Rockville MD
0857	1	Orlando FL
0858	1	Dothan AL
0859	1	Suffern NY
0860	1	New York NY
0861	1	Charlotte NC
0862	1	Bakersfield CA
0863	1	Princeton NJ
0864	1	Saint Paul MN
0865	1	Minneapolis MN
0866	1	Minneapolis MN
0867	1	Denver CO
0868	1	Lincoln NE
0869	1	Los Angeles CA
0870	1	Springfield MA
0871	1	Waterbury CT
0872	1	San Diego CA
0873	1	Chantilly VA
0874	1	Hartford CT
0875	1	Enfield CT
0876	1	Richmond VA
0877	1	North Wales PA
0878	1	New York NY
0879	1	Hartford CT
0880	1	Raleigh NC
0881	1	Hartford CT
0882	1	New York NY
0883	1	Florham Park NJ
0884	1	Uniondale NY
0885	1	Saint Paul MN
0886	1	Detroit MI
0887	1	Cedar Rapids IA
0888	1	New York NY
0889	1	Boston MA
0890	1	Wayland MA
0891	1	Haverhill MA
0892	1	New Britain CT
0893	1	San Diego CA
0894	1	Rocky Hill CT
0895	1	Los Angeles CA
0896	1	Toledo OH
0897	1	Boston MA
0898	1	Lakewood CO
0899	1	Fort Collins CO
0900	1	Arvada CO
0901	1	Westlake Village CA
0902	1	Cincinnati OH
0903	1	Washington DC
0904	1	Fort Worth TX
0905	1	Carle Place NY
0906	1	Rochester NY
0907	1	Clarksburg MD
0908	1	Chicago IL
0909	1	Los Angeles CA
0910	1	Philadelphia PA
0911	1	Phoenix AZ
0912	1	Knoxville TN
0913	1	Baltimore MD
0914	1	Los Angeles CA
0915	1	Seattle WA
0916	1	East Brunswick NJ
0917	1	Hopewell NJ
0918	1	Hartford CT
0919	1	Philadelphia PA
0920	1	Rochester NY
0921	1	Charlotte NC
0922	1	Newport News VA
0923	1	Melbourne FL
0924	1	Walnut Creek CA
0925	1	Las Vegas NV
0926	1	Boston MA
0927	1	San Francisco CA
0928	1	Pittsburgh PA
0929	1	Pittsburgh PA
0930	1	Pittsburgh PA
0931	1	Charlotte NC
0932	1	Wallingford CT
0933	1	Las Vegas NV
0934	1	Hartford CT
0935	1	Stamford CT
0936	1	Tucson AZ
0937	1	Charlotte NC
0938	1	Los Angeles CA
0939	1	Tustin CA
0940	1	Wallingford CT
0941	1	Chicago IL
0942	1	Foxboro MA
0943	1	Jericho NY
0944	1	Washington DC
0945	1	New York NY
0946	1	Burlington MA
0947	1	Hartford CT
0948	1	East Hanover NJ
0949	1	Orlando FL
0950	1	Bartlesville OK
0951	1	East Hanover NJ
0952	1	Florham Park NJ
0953	1	New York NY
0954	1	New York NY
0955	1	Florham Park NJ
0956	1	Kalamazoo MI
0957	1	Collegeville PA
0958	1	Mobile AL
0959	1	Colorado Springs CO
0960	1	Cambridge MA
0961	1	Albany NY
0962	1	Bridgewater NJ
0963	1	Garden City NY
0964	1	Minneapolis MN
0965	1	North Chelmsford MA
0966	1	Richardson TX
0967	1	San Jose CA
0968	1	Chantilly VA
0969	1	Washington DC
0970	1	Mobile AL
0971	1	Washington DC
0972	1	Hartford CT
0973	1	Westfield MA
0974	1	Worcester MA
0975	1	Harrisburg PA
0976	1	Mc Lean VA
0977	1	Cedar Rapids IA
0978	1	Temecula CA
0979	1	Los Angeles CA
0980	1	Redwood City CA
0981	1	Alexandria VA
0982	1	Westbrook CT
0983	1	Wallingford CT
0984	1	Utica NY
0985	1	Santa Rosa CA
0986	1	Charlotte NC
0987	1	Richmond VA
0988	1	Melbourne FL
0989	1	New York NY
0990	1	Los Angeles CA
0991	1	Los Angeles CA
0992	1	New York NY
0993	1	Bloomington IN
0994	1	San Antonio TX
0995	1	Orlando FL
0996	1	Saint Petersburg FL
0997	1	Jacksonville FL
0998	1	Fort Collins CO
0999	1	Aurora CO
1000	1	Denver CO
1001	1	Aurora CO
1002	1	Denver CO
1003	1	Nashville TN
1004	1	Nashville TN
1005	1	Nashville TN
1006	1	Berlin CT
1007	1	Framingham MA
1008	1	Dallas TX
1009	1	Dallas TX
1010	1	Jacksonville FL
1011	1	Framingham MA
1012	1	Irvine CA
1013	1	Houston TX
1014	1	Lowell MA
1015	1	San Francisco CA
1016	1	Los Angeles CA
1017	1	Memphis TN
1018	1	Memphis TN
1019	1	Hartford CT
1020	1	Santa Clara CA
1021	1	Mobile AL
1022	1	South San Francisco CA
1023	1	Bridgewater NJ
1024	1	Baltimore MD
1025	1	Bridgewater NJ
1026	1	Washington DC
1027	1	Washington DC
1028	1	Washington DC
1029	1	Dallas TX
1030	1	San Antonio TX
1031	1	Houston TX
1032	1	New York NY
1033	1	New York NY
1034	1	Baltimore MD
1035	1	Boston MA
1036	1	Arlington VA
1037	1	Orlando FL
1038	1	Orlando FL
1039	1	Cambridge MA
1040	1	Sanford NC
1041	1	New York NY
1042	1	Nashua NH
1043	1	Phoenix AZ
1044	1	San Diego CA
1045	1	Rocky Hill CT
1046	1	East Hanover NJ
1047	1	Westbrook CT
1048	1	Garden City NY
1049	1	Garden City NY
1050	1	New York NY
1051	1	Glastonbury CT
1052	1	Minneapolis MN
1053	1	Cedar Rapids IA
1054	1	Clarksburg MD
1055	1	Franklin MA
1056	1	Bridgeport CT
1057	1	New Haven CT
1058	1	Waterbury CT
1059	1	Elgin IL
1060	1	Fort Worth TX
1061	1	Mobile AL
1062	1	Toledo OH
1063	1	Detroit MI
1064	1	Denver CO
1065	1	New York NY
1066	1	New York NY
1067	1	Rochester NY
1068	1	Los Angeles CA
1069	1	New York NY
1070	1	Boca Raton FL
1071	1	Mc Lean VA
1072	1	Pittsburgh PA
1073	1	Pittsburgh PA
1074	1	Monroeville PA
1075	1	Pittsburgh PA
1076	1	Wallingford CT
1077	1	Waterbury CT
1078	1	Mobile AL
1079	1	Billerica MA
1080	1	Las Vegas NV
1081	1	North Las Vegas NV
1082	1	Los Angeles CA
1083	1	Washington DC
1084	1	Washington DC
1085	1	Washington DC
1086	1	Florham Park NJ
1087	1	Bridgewater NJ
1088	1	New York NY
1089	1	Elkridge MD
1090	1	East Hanover NJ
1091	1	Kalamazoo MI
1092	1	Kalamazoo MI
1093	1	San Diego CA
1094	1	Portland ME
1095	1	San Jose CA
1096	1	San Jose CA
1097	1	Solana Beach CA
1098	1	Mobile AL
1099	1	Ramsey NJ
1100	1	Chantilly VA
1101	1	Milford MA
1102	1	Bloomfield CT
1103	1	Chelmsford MA
1104	1	Los Angeles CA
1105	1	San Antonio TX
1106	1	Albany NY
1107	1	Orlando FL
1108	1	Tampa FL
1109	1	Jacksonville FL
1110	1	Aurora CO
1111	1	Denver CO
1112	1	Murfreesboro TN
1113	1	Nashville TN
1114	1	Wallingford CT
1115	1	Chicago IL
1116	1	Fresno CA
1117	1	Mobile AL
