auto	carquotes	engine
0090	1	1.8L Gas I4, 140 HP
0091	1	1.8L Gas I4, 140 HP
0092	1	1.8L Gas I4, 140 HP
0093	1	1.8L Gas I4, 140 HP
0094	1	1.8L Gas I4, 140 HP
0095	1	2.0L Gas I4, 197 HP
0096	1	1.8L Gas I4, 140 HP
0097	1	1.8L Gas I4, 140 HP
0098	1	1.8L Gas I4, 140 HP
0099	1	1.8L Gas I4, 140 HP
0100	1	1.8L Gas I4, 140 HP
0101	1	1.8L Gas I4, 140 HP
0102	1	1.8L Gas I4, 140 HP
0103	1	1.8L Gas I4, 140 HP
0104	1	1.8L Gas I4, 140 HP
0105	1	1.8L Gas I4, 140 HP
0106	1	2.0L Gas I4, 197 HP
0107	1	2.0L Gas I4, 197 HP
0108	1	2.0L Gas I4, 197 HP
0109	1	2.4L Gas I4, 180 HP
0110	1	2.4L Gas I4, 180 HP
0111	1	2.4L Gas I4, 180 HP
0112	1	2.4L Gas I4, 180 HP
0113	1	2.4L Gas I4, 180 HP
0114	1	2.4L Gas I4, 180 HP
0115	1	2.4L Gas I4, 166 HP
0116	1	1.5L Gas I4, 117 HP
0117	1	1.5L Gas I4, 117 HP
0118	1	1.5L Gas I4, 117 HP
0119	1	1.3L Hybrid I4, 98 HP
0120	1	1.3L Hybrid I4, 98 HP
0121	1	3.5L Gas V6, 244 HP
0122	1	3.5L Gas V6, 244 HP
0123	1	3.5L Gas V6, 244 HP
0124	1	3.5L Gas V6, 250 HP
0125	1	3.5L Gas V6, 250 HP
0126	1	3.5L Gas V6, 250 HP
0127	1	3.5L Gas V6, 250 HP
0128	1	3.5L Gas V6, 250 HP
0129	1	3.5L Gas V6, 250 HP
0130	1	3.5L Gas V6, 250 HP
0131	1	3.5L Gas V6, 250 HP
0132	1	3.5L Gas V6, 250 HP
0133	1	3.5L Gas V6, 250 HP
0134	1	3.5L Gas V6, 250 HP
0135	1	3.2L Gas I6, 230 HP
0136	1	5.0L Gas V8, 375 HP
0137	1	5.0L Gas V8, 375 HP
0138	1	5.0L Gas V8, 375 HP
0139	1	5.0L Gas V8, 510 HP
0140	1	5.0L Gas V8, 375 HP
0141	1	5.0L Gas V8, 375 HP
0142	1	5.0L Gas V8, 510 HP
0143	1	2.4L Gas I4, 162 HP
0144	1	2.4L Gas I4, 162 HP
0145	1	3.8L Gas V6, 225 HP
0146	1	3.8L Gas V6, 225 HP
0147	1	2.4L Gas I4, 160 HP
0148	1	2.0L Gas I4, 148 HP
0149	1	2.0L Gas I4, 148 HP
0150	1	2.4L Gas I4, 168 HP
0151	1	2.0L Gas I4, 148 HP
0152	1	2.4L Gas I4, 168 HP
0153	1	2.4L Gas I4, 168 HP
0154	1	2.0L Gas I4, 291 HP
0155	1	3.0L Gas V6, 230 HP
0156	1	3.0L Gas V6, 230 HP
0157	1	2.0L Gas I4, 148 HP
0158	1	2.0L Gas I4, 148 HP
0159	1	2.4L Gas I4, 162 HP
0160	1	3.8L Gas V6, 225 HP
0161	1	2.4L Gas I4, 160 HP
0162	1	2.0L Gas I4, 152 HP
0163	1	2.4L Gas I4, 168 HP
0164	1	2.0L Gas I4, 291 HP
0165	1	2.0L Gas I4, 291 HP
0166	1	2.0L Gas I4, 291 HP
0167	1	2.4L Gas I4, 168 HP
0168	1	2.4L Gas I4, 168 HP
0169	1	3.0L Gas V6, 230 HP
0170	1	3.0L Gas V6, 230 HP
0171	1	2.5L Gas Flat 4, 170 HP
0172	1	2.5L Gas Flat 4, 170 HP
0173	1	2.5L Gas Flat 4, 170 HP
0174	1	2.5L Gas Flat 4, 170 HP
0175	1	2.5L Turbo Gas Flat 4, 224 HP
0176	1	2.5L Gas Flat 4, 170 HP
0177	1	2.5L Gas Flat 4, 170 HP
0178	1	2.5L Gas Flat 4, 170 HP
0179	1	2.5L Gas Flat 4, 170 HP
0180	1	2.5L Gas Flat 4, 170 HP
0181	1	2.5L Turbo Gas Flat 4, 265 HP
0182	1	2.5L Turbo Gas Flat 4, 265 HP
0183	1	2.5L Turbo Gas Flat 4, 265 HP
0184	1	2.5L Turbo Gas Flat 4, 265 HP
0185	1	2.5L Turbo Gas Flat 4, 265 HP
0186	1	2.5L Turbo Gas Flat 4, 305 HP
0187	1	2.5L Turbo Gas Flat 4, 305 HP
0188	1	2.5L Turbo Gas Flat 4, 305 HP
0189	1	2.5L Gas Flat 4, 170 HP
0190	1	2.5L Gas Flat 4, 170 HP
0191	1	2.5L Gas Flat 4, 170 HP
0192	1	2.5L Gas Flat 4, 170 HP
0193	1	2.5L Gas Flat 4, 170 HP
0194	1	2.5L Gas Flat 4, 170 HP
0195	1	2.5L Turbo Gas Flat 4, 265 HP
0196	1	2.5L Turbo Gas Flat 4, 265 HP
0197	1	2.5L Turbo Gas Flat 4, 265 HP
0198	1	2.5L Turbo Gas Flat 4, 305 HP
0199	1	2.5L Gas Flat 4, 170 HP
0200	1	3.6L Gas Flat 6, 256 HP
0201	1	3.6L Gas Flat 6, 256 HP
0202	1	3.6L Gas Flat 6, 256 HP
0203	1	2.5L Gas Flat 4, 170 HP
0204	1	2.5L Gas Flat 4, 170 HP
0205	1	2.5L Gas Flat 4, 170 HP
0206	1	2.5L Gas Flat 4, 170 HP
0207	1	2.5L Gas Flat 4, 170 HP
0208	1	3.6L Gas Flat 6, 256 HP
0209	1	3.6L Gas Flat 6, 256 HP
0210	1	3.6L Gas Flat 6, 256 HP
0211	1	2.5L Gas Flat 4, 170 HP
0212	1	2.5L Gas Flat 4, 170 HP
0213	1	2.5L Gas Flat 4, 170 HP
0214	1	3.6L Gas Flat 6, 256 HP
0215	1	3.6L Gas Flat 6, 256 HP
0216	1	3.6L Gas Flat 6, 256 HP
0217	1	3.6L Gas Flat 6, 256 HP
0218	1	3.6L Gas Flat 6, 256 HP
0219	1	3.6L Gas Flat 6, 256 HP
0220	1	2.5L Turbo Gas 4-Cyl, 224 HP
0221	1	2.5L Gas Flat 4-Cyl, 170 HP
0222	1	2.5L Gas Flat 4-Cyl, 170 HP
0223	1	2.5L Gas Flat 4-Cyl, 170 HP
0224	1	2.5L Turbo Gas 4-Cyl, 224 HP
0225	1	2.5L Gas Flat 4-Cyl, 170 HP
0226	1	2.5L Gas Flat 4-Cyl, 170 HP
0227	1	2.5L Gas Flat 4-Cyl, 170 HP
0228	1	2.5L Gas Flat 4-Cyl, 170 HP
0229	1	2.5L Gas Flat 4-Cyl, 170 HP
0230	1	2.5L Gas Flat 4-Cyl, 170 HP
0231	1	2.5L Gas Flat 4-Cyl Turbo, 224 HP
0232	1	2.5L Gas Flat 4-Cyl, 170 HP
0233	1	2.5L Turbo Gas 4-Cyl, 265 HP
0234	1	2.5L Turbo Gas 4-Cyl, 265 HP
0235	1	2.5L Gas Flat 4-Cyl, 170 HP
0236	1	2.5L Gas Flat 4-Cyl, 170 HP
0237	1	2.5L Gas Flat 4-Cyl, 170 HP
0238	1	2.5L Turbo Gas 4-Cyl, 265 HP
0239	1	2.5L Turbo Gas 4-Cyl, 305 HP
0240	1	2.5L Turbo Gas 4-Cyl, 305 HP
0241	1	2.5L Turbo Gas 4-Cyl, 305 HP
0242	1	2.5L Turbo Gas 4-Cyl, 305 HP
0243	1	2.5L Gas Flat 4-Cyl, 170 HP
0244	1	3.6L Gas 6-Cyl, 256 HP
0245	1	2.5L Turbo Gas 4-Cyl, 265 HP
0246	1	3.6L Gas 6-Cyl, 256 HP
0247	1	3.6L Gas 6-Cyl, 256 HP
0248	1	2.5L Gas Flat 4-Cyl, 170 HP
0249	1	2.5L Gas Flat 4-Cyl, 170 HP
0250	1	2.5L Gas Flat 4-Cyl, 170 HP
0251	1	2.5L Gas Flat 4-Cyl, 170 HP
0252	1	2.5L Gas Flat 4-Cyl, 170 HP
0253	1	2.5L Gas Flat 4-Cyl, 170 HP
0254	1	2.5L Gas Flat 4-Cyl, 170 HP
0255	1	2.5L Gas Flat 4-Cyl, 170 HP
0256	1	2.5L Turbo Gas 4-Cyl, 265 HP
0257	1	2.5L Turbo Gas 4-Cyl, 265 HP
0258	1	3.6L Gas 6-Cyl, 256 HP
0259	1	2.5L Gas 4-Cyl, 170 HP
0260	1	3.6L Gas 6-Cyl, 256 HP
0261	1	2.5L Gas 4-Cyl, 170 HP
0262	1	3.6L Gas 6-Cyl, 256 HP
0263	1	2.5L Gas 4-Cyl, 170 HP
0264	1	2.5L Gas 4-Cyl, 170 HP
0265	1	2.5L Gas 4-Cyl, 170 HP
0266	1	2.5L Gas 4-Cyl, 170 HP
0267	1	2.5L Gas 4-Cyl, 170 HP
0268	1	3.6L Gas 6-Cyl, 256 HP
0269	1	3.6L Gas 6-Cyl, 256 HP
0270	1	3.6L Gas 6-cyl, 256 HP
0271	1	3.6L Gas V6, 288 HP
0272	1	3.6L Gas V6, 288 HP
0273	1	3.6L Gas V6, 288 HP
0274	1	3.6L Gas V6, 288 HP
0275	1	3.6L Gas V6, 280 HP
0276	1	3.6L Gas V6, 280 HP
0277	1	3.9L Gas V6 FlexFuel, 227 HP
0278	1	2.4L Gas L4, 182 HP
0279	1	2.4L Gas L4, 182 HP
0280	1	2.4L Gas L4, 182 HP
0281	1	2.4L Gas L4, 182 HP
0282	1	2.0L Gas L4 Turbo, 220 HP
0283	1	2.0L Gas L4 Turbo, 220 HP
0284	1	3.6L Gas V6, 288 HP
0285	1	3.6L Gas V6, 288 HP
0286	1	3.6L Gas V6, 288 HP
0287	1	3.0L Gas V6, 255 HP
0288	1	3.0L Gas V6, 252 HP
0289	1	2.4L Gas L4, 182 HP
0290	1	3.9L Gas V6 FlexFuel, 227 HP
0291	1	3.9L Gas V6 FlexFuel, 227 HP
0292	1	3.9L Gas V6 FlexFuel, 227 HP
0293	1	3.9L Gas V6 FlexFuel, 227 HP
0294	1	3.7L Gas 5, 239 HP
0295	1	3.7L Gas 5, 239 HP
0296	1	3.7L Gas 5, 239 HP
0297	1	5.3L Flex Fuel V8, 300 HP
0298	1	5.3L Flex Fuel V8, 300 HP
0299	1	3.5L Gas V6, 272 HP
0300	1	3.5L Gas V6, 303 HP
0301	1	4.6L Gas V8, 342 HP
0302	1	4.6L Gas V8, 301 HP
0303	1	2.4L Hybrid I4, 147 HP
0304	1	2.5L Gas V6, 204 HP
0305	1	2.5L Gas V6, 204 HP
0306	1	2.5L Gas V6, 204 HP
0307	1	2.5L Gas V6, 204 HP
0308	1	5.0L Gas V8, 416 HP
0309	1	4.6L Gas V8, 380 HP
0310	1	5.0L Hybrid V8, 389 HP
0311	1	3.5L Gas V6, 275 HP
0312	1	3.5L Hybrid V6, 245 HP
0313	1	3.5L Hybrid V6, 245 HP
0314	1	3.5L Gas V6, 272 HP
0315	1	3.5L Gas V6, 303 HP
0316	1	3.5L Gas V6, 303 HP
0317	1	3.5L Hybrid V6, 292 HP
0318	1	2.4L Hybrid I4, 147 HP
0319	1	2.4L Hybrid I4, 147 HP
0320	1	2.5L Gas V6, 204 HP
0321	1	2.5L Gas V6, 204 HP
0322	1	3.5L Gas V6, 306 HP
0323	1	4.6L Gas V8, 380 HP
0324	1	5.7L Gas V8, 383 HP
0325	1	3.5L Gas V6, 275 HP
0326	1	4.3L Gas V8, 288 HP
0327	1	3.7L Gas V6, 332 HP
0328	1	3.7L Gas V6, 332 HP
0329	1	2.5L Gas I4, 175 HP
0330	1	3.5L Gas V6, 270 HP
0331	1	2.5L Hybrid I4, 158 HP
0332	1	5.6L Gas V8, 317 HP
0333	1	5.6L Gas V8, 317 HP
0334	1	5.6L Gas V8, 317 HP
0335	1	5.6L Gas V8, 317 HP
0336	1	1.8L Gas I4, 122 HP
0337	1	1.8L Gas I4, 122 HP
0338	1	2.5L Gas 4-cyl, 152 HP
0339	1	2.5L Gas 4-cyl, 152 HP
0340	1	2.5L Gas 4-cyl, 152 HP
0341	1	4.0L Gas V6, 261 HP
0342	1	4.0L Gas V6, 261 HP
0343	1	4.0L Gas V6, 261 HP
0344	1	4.0L Gas V6, 261 HP
0345	1	4.0L Gas V6, 261 HP
0346	1	4.0L Gas V6, 261 HP
0347	1	4.0L Gas V6, 261 HP
0348	1	4.0L Gas V6, 261 HP
0349	1	4.0L Gas V6, 261 HP
0350	1	4.0L Gas V6, 261 HP
0351	1	1.6L Gas Turbo I4, 188 HP
0352	1	1.6L Gas Turbo I4, 188 HP
0353	1	1.6L Gas Turbo I4, 188 HP
0354	1	1.6L Gas Turbo I4, 188 HP
0355	1	1.6L Gas Turbo I4, 188 HP
0356	1	Electric Pwr
0357	1	Electric Pwr
0358	1	3.5L Gas V6, 290 HP
0359	1	3.5L Gas V6, 265 HP
0360	1	4.0L Gas V6, 266 HP
0361	1	4.0L Gas V6, 266 HP
0362	1	4.0L Gas V6, 266 HP
0363	1	4.0L Gas V6, 266 HP
0364	1	4.0L Gas V6, 266 HP
0365	1	4.0L Gas V6, 266 HP
0366	1	5.6L Gas V8, 310 HP
0367	1	3.5L Gas V6, 253 HP
0368	1	3.5L Gas V6, 253 HP
0369	1	2.5L Gas I4, 170 HP
0370	1	2.5L Gas I4, 170 HP
0371	1	2.0L Gas I4, 140 HP
0372	1	2.0L Gas I4, 140 HP
0373	1	2.0L Gas I4, 140 HP
0374	1	5.6L Gas V8, 317 HP
0375	1	5.6L Gas V8, 317 HP
0376	1	5.6L Gas V8, 317 HP
0377	1	5.6L Gas V8, 317 HP
0378	1	5.6L Gas V8, 317 HP
0379	1	1.6L Gas 4-cyl, 107 HP
0380	1	1.6L Gas 4-cyl, 107 HP
0381	1	1.8L Gas 4-cyl, 122 HP
0382	1	4.0L Gas V6, 261 HP
0383	1	4.0L Gas V6, 261 HP
0384	1	4.0L Gas V6, 261 HP
0385	1	3.7L Gas V6, 332 HP
0386	1	3.7L Gas V6, 332 HP
0387	1	3.7L Gas V6, 332 HP
0388	1	3.7L Gas V6, 332 HP
0389	1	2.5L Gas I4, 175 HP
0390	1	2.5L Gas I4, 175 HP
0391	1	2.5L Hybrid I4, 198 HP
0392	1	5.6L Gas V8, 317 HP
0393	1	5.6L Gas V8, 317 HP
0394	1	1.8L Gas I4, 122 HP
0395	1	1.8L Gas I4, 122 HP
0396	1	4.0L Gas V6, 261 HP
0397	1	4.0L Gas V6, 261 HP
0398	1	4.0L Gas V6, 261 HP
0399	1	4.0L Gas V6, 261 HP
0400	1	4.0L Gas V6, 261 HP
0401	1	4.0L Gas V6, 261 HP
0402	1	4.0L Gas V6, 261 HP
0403	1	4.0L Gas V6, 261 HP
0404	1	4.0L Gas V6, 261 HP
0405	1	4.0L Gas V6, 261 HP
0406	1	4.0L Gas V6, 261 HP
0407	1	3.8L Gas V6, 485 HP
0408	1	3.5L Gas V6, 290 HP
0409	1	3.5L Gas V6, 290 HP
0410	1	3.5L Gas V6, 290 HP
0411	1	3.5L Gas V6, 265 HP
0412	1	3.5L Gas V6, 265 HP
0413	1	3.5L Gas V6, 265 HP
0414	1	3.5L Gas V6, 265 HP
0415	1	3.5L Gas V6, 265 HP
0416	1	3.5L Gas V6, 265 HP
0417	1	4.0L Gas V6, 266 HP
0418	1	2.5L Gas I4, 170 HP
0419	1	2.5L Gas I4, 170 HP
0420	1	2.5L Gas I4, 170 HP
0421	1	2.5L Gas I4, 170 HP
0422	1	2.5L Gas I4, 170 HP
0423	1	2.0L Gas I4, 140 HP
0424	1	2.0L Gas I4, 140 HP
0425	1	2.5L Gas I4, 177 HP
0426	1	2.5L Gas I4, 200 HP
0427	1	5.6L Gas V8, 317 HP
0428	1	5.6L Gas V8, 317 HP
0429	1	5.6L Gas V8, 317 HP
0430	1	5.6L Gas V8, 317 HP
0431	1	5.6L Gas V8, 317 HP
0432	1	5.6L Gas V8, 317 HP
0433	1	5.6L Gas V8, 317 HP
0434	1	5.6L Gas V8, 317 HP
0435	1	1.6L Gas 4-cyl, 107 HP
0436	1	1.8L Gas 4-cyl, 122 HP
0437	1	4.0L Gas V6, 261 HP
0438	1	4.0L Gas V6, 261 HP
0439	1	4.0L Gas V6, 261 HP
0440	1	4.0L Gas V6, 261 HP
0441	1	2.5L Gas I4, 152 HP
0442	1	2.5L Gas I4, 152 HP
0443	1	4.0L Gas V6, 261 HP
0444	1	2.4L Gas I4, 166 HP
0445	1	2.4L Gas I4, 166 HP
0446	1	2.4L Gas I4, 166 HP
0447	1	2.4L Gas I4, 185 HP
0448	1	2.4L Gas I4, 180 HP
0449	1	2.4L Gas I4, 180 HP
0450	1	2.4L Gas I4, 180 HP
0451	1	2.0L Gas I4, 150 HP
0452	1	2.0L Gas I4, 150 HP
0453	1	2.0L Gas I4, 150 HP
0454	1	2.0L Gas I4, 150 HP
0455	1	2.0L Gas I4, 150 HP
0456	1	2.0L Gas I4, 150 HP
0457	1	2.5L Gas I4, 152 HP
0458	1	4.0L Gas V6, 261 HP
0459	1	4.0L Gas V6, 261 HP
0460	1	4.0L Gas V6, 261 HP
0461	1	2.4L Gas I4, 166 HP
0462	1	2.4L Gas I4, 166 HP
0463	1	2.4L Gas I4, 166 HP
0464	1	3.2L Gas V6, 230 HP
0465	1	2.4L Gas I4, 185 HP
0466	1	2.4L Gas I4, 180 HP
0467	1	2.4L Gas I4, 185 HP
0468	1	2.4L Gas I4, 180 HP
0469	1	2.4L Gas I4, 185 HP
0470	1	2.4L Gas I4, 180 HP
0471	1	2.4L Gas I4, 180 HP
0472	1	2.0L Gas I4, 150 HP
0473	1	2.0L Gas I4, 150 HP
0474	1	2.0L Gas I4, 150 HP
0475	1	2.0L Gas I4, 150 HP
0476	1	2.0L Gas I4, 150 HP
0477	1	3.6L Gas V6, 290 HP
0478	1	3.6L Gas V6, 290 HP
0479	1	3.7L Gas V6, 210 HP
0480	1	3.7L Gas V6, 210 HP
0481	1	3.7L Gas V6, 210 HP
0482	1	3.7L Gas V6, 210 HP
0483	1	3.7L Gas V6, 210 HP
0484	1	2.4L Gas I4, 172 HP
0485	1	3.8L Gas V6, 202 HP
0486	1	5.7L Gas V8, 357 HP
0487	1	3.7L Gas V6, 210 HP
0488	1	5.7L Gas V8, 357 HP
0489	1	2.4L Gas I4, 172 HP
0490	1	2.4L Gas I4, 172 HP
0491	1	3.7L Gas V6, 210 HP
0492	1	3.7L Gas V6, 210 HP
0493	1	6.1L Gas V8, 420 HP
0494	1	3.7L Gas V6, 210 HP
0495	1	3.7L Gas V6, 210 HP
0496	1	3.7L Gas V6, 210 HP
0497	1	2.4L Gas I4, 172 HP
0498	1	2.4L Gas I4, 172 HP
0499	1	2.4L Gas I4, 172 HP
0500	1	3.8L Gas V6, 202 HP
0501	1	3.8L Gas V6, 202 HP
0502	1	3.8L Gas V6, 202 HP
0503	1	3.8L Gas V6, 205 HP
0504	1	3.6L Gas V6, 304 HP
0505	1	3.6L Gas V6, 304 HP
0506	1	3.0L Gas V6, 270 HP
0507	1	3.6L Gas V6, 304 HP
0508	1	3.0L Gas V6, 270 HP
0509	1	3.0L Gas V6, 270 HP
0510	1	3.0L Gas V6, 270 HP
0511	1	3.0L Gas V6, 270 HP
0512	1	3.0L Gas V6, 270 HP
0513	1	3.0L Gas V6, 270 HP
0514	1	3.6L Gas V6, 304 HP
0515	1	6.2L Gas V8, 556 HP
0516	1	6.2L Gas V8, 556 HP
0517	1	6.2L Supercharged Gas V8, 556 HP
0518	1	4.6L Gas V8, 275 HP
0519	1	4.6L Gas V8, 275 HP
0520	1	4.6L Gas V8, 275 HP
0521	1	6.2L Gas V8, 403 HP
0522	1	6.2L Gas V8, 403 HP
0523	1	6.2L Gas V8, 403 HP
0524	1	6.2L Gas V8, 403 HP
0525	1	6.2L Gas V8, 403 HP
0526	1	6.2L Gas V8, 403 HP
0527	1	6.2L Gas V8, 403 HP
0528	1	6.2L Gas V8, 403 HP
0529	1	6.0L Hybrid V8, 332 HP
0530	1	3.0L Gas V6, 265 HP
0531	1	3.0L Gas V6, 265 HP
0532	1	3.0L Gas V6, 265 HP
0533	1	3.0L Gas V6, 265 HP
0534	1	3.0L Gas V6, 265 HP
0535	1	2.8L Turbo Gas V6, 300 HP
0536	1	3.6L Gas V6, 302 HP
0537	1	3.6L Gas V6, 302 HP
0538	1	3.0L Gas V6, 270 HP
0539	1	3.0L Gas V6, 270 HP
0540	1	3.6L Gas V6, 304 HP
0541	1	3.0L Gas V6, 270 HP
0542	1	3.0L Gas V6, 270 HP
0543	1	3.0L Gas V6, 270 HP
0544	1	3.6L Gas V6, 304 HP
0545	1	3.0L Gas V6, 270 HP
0546	1	3.6L Gas V6, 304 HP
0547	1	3.6L Gas V6, 304 HP
0548	1	6.2L Gas V8, 556 HP
0549	1	4.6L Gas V8, 275 HP
0550	1	6.2L Gas V8, 403 HP
0551	1	6.2L Gas V8, 403 HP
0552	1	6.2L Gas V8, 403 HP
0553	1	6.2L Gas V8, 403 HP
0554	1	6.2L Gas V8, 403 HP
0555	1	6.2L Gas V8, 403 HP
0556	1	6.2L Gas V8, 403 HP
0557	1	6.0L Hybrid V8, 332 HP
0558	1	3.0L Gas V6, 265 HP
0559	1	3.0L Gas V6, 265 HP
0560	1	3.0L Gas V6, 265 HP
0561	1	3.0L Gas V6, 265 HP
0562	1	3.0L Gas V6, 265 HP
0563	1	3.0L Gas V6, 265 HP
0564	1	2.8L Turbo Gas V6, 300 HP
0565	1	3.6L Gas V6, 302 HP
0566	1	3.6L Gas V6, 302 HP
0567	1	1.6L Gas I4, 110 HP
0568	1	1.6L Gas I4, 110 HP
0569	1	1.6L Gas I4, 110 HP
0570	1	1.6L Gas I4, 110 HP
0571	1	3.3L Gas V6, 260 HP
0572	1	3.8L Gas V6, 283 HP
0573	1	1.8L Gas I4, 148 HP
0574	1	1.8L Gas I4, 148 HP
0575	1	2.0L Gas I4, 138 HP
0576	1	4.6L Gas V8, 378 HP
0577	1	4.6L Gas V8, 378 HP
0578	1	2.0L Turbo Gas I4, 210 HP
0579	1	2.0L Turbo Gas I4, 210 HP
0580	1	3.8L Gas V6, 306 HP
0581	1	2.4L Gas I4, 175 HP
0582	1	3.5L Gas V6, 276 HP
0583	1	3.5L Gas V6, 276 HP
0584	1	3.5L Gas V6
0585	1	2.4L Gas I4, 198 HP
0586	1	2.4L Gas I4, 198 HP
0587	1	2.4L Gas I4, 200 HP
0588	1	2.4L Gas I4, 198 HP
0589	1	2.0L Turbo Gas I4, 274 HP
0590	1	2.0L Turbo Gas I4, 274 HP
0591	1	2.4L Gas I4, 176 HP
0592	1	2.4L Gas I4, 176 HP
0593	1	3.8L Gas V6, 260 HP
0594	1	3.8L Gas V6, 260 HP
0595	1	3.8L Gas V6, 260 HP
0596	1	1.6L Gas I4, 110 HP
0597	1	1.6L Gas I4, 110 HP
0598	1	1.6L Gas I4, 110 HP
0599	1	1.6L Gas I4, 110 HP
0600	1	1.6L Gas I4, 110 HP
0601	1	1.6L Gas I4, 110 HP
0602	1	3.3L Gas V6, 234 HP
0603	1	3.8L Gas V6, 263 HP
0604	1	2.0L Gas I4, 138 HP
0605	1	2.0L Gas I4, 138 HP
0606	1	3.8L Gas V6, 290 HP
0607	1	4.6L Gas V8, 378 HP
0608	1	2.0L Turbo Gas I4, 210 HP
0609	1	3.8L Gas V6, 306 HP
0610	1	3.8L Gas V6, 306 HP
0611	1	3.8L Gas V6, 306 HP
0612	1	3.8L Gas V6, 306 HP
0613	1	3.8L Gas V6, 306 HP
0614	1	2.0L Turbo Gas I4, 210 HP
0615	1	2.4L Gas I4, 175 HP
0616	1	2.4L Gas I4, 175 HP
0617	1	3.5L Gas V6, 276 HP
0618	1	3.5L Gas V6, 276 HP
0619	1	2.4L Gas I4, 175 HP
0620	1	2.4L Gas I4, 175 HP
0621	1	2.4L Gas I4, 175 HP
0622	1	2.4L Gas I4, 175 HP
0623	1	3.3L Gas V6, 249 HP
0624	1	2.4L Gas I4, 176 HP
0625	1	2.4L Gas I4, 176 HP
0626	1	2.4L Gas I4, 176 HP
0627	1	3.8L Gas V6, 260 HP
