auto	carquotes	fuel_economy
0138	1	12 mpg City, 17 mpg Hwy
0139	1	12 mpg City, 17 mpg Hwy
0140	1	12 mpg City, 17 mpg Hwy
0141	1	12 mpg City, 18 mpg Hwy
0142	1	12 mpg City, 17 mpg Hwy
0143	1	20 mpg City, 28 mpg Hwy
0144	1	20 mpg City, 28 mpg Hwy
0145	1	15 mpg City, 21 mpg Hwy
0146	1	15 mpg City, 21 mpg Hwy
0147	1	21 mpg City, 30 mpg Hwy
0148	1	24 mpg City, 33 mpg Hwy
0149	1	25 mpg City, 33 mpg Hwy
0150	1	22 mpg City, 31 mpg Hwy
0151	1	25 mpg City, 33 mpg Hwy
0152	1	22 mpg City, 31 mpg Hwy
0153	1	23 mpg City, 29 mpg Hwy
0154	1	17 mpg City, 22 mpg Hwy
0155	1	19 mpg City, 25 mpg Hwy
0156	1	18 mpg City, 24 mpg Hwy
0157	1	25 mpg City, 31 mpg Hwy
0158	1	25 mpg City, 31 mpg Hwy
0159	1	20 mpg City, 27 mpg Hwy
0160	1	15 mpg City, 21 mpg Hwy
0161	1	21 mpg City, 30 mpg Hwy
0162	1	23 mpg City, 30 mpg Hwy
0163	1	20 mpg City, 27 mpg Hwy
0164	1	16 mpg City, 22 mpg Hwy
0165	1	17 mpg City, 22 mpg Hwy
0166	1	17 mpg City, 22 mpg Hwy
0167	1	21 mpg City, 25 mpg Hwy
0168	1	21 mpg City, 25 mpg Hwy
0169	1	18 mpg City, 24 mpg Hwy
0170	1	18 mpg City, 24 mpg Hwy
0171	1	21 mpg City, 27 mpg Hwy
0172	1	21 mpg City, 27 mpg Hwy
0173	1	21 mpg City, 27 mpg Hwy
0174	1	21 mpg City, 27 mpg Hwy
0175	1	19 mpg City, 24 mpg Hwy
0176	1	21 mpg City, 27 mpg Hwy
0177	1	21 mpg City, 27 mpg Hwy
0178	1	20 mpg City, 27 mpg Hwy
0179	1	20 mpg City, 27 mpg Hwy
0180	1	20 mpg City, 26 mpg Hwy
0181	1	19 mpg City, 25 mpg Hwy
0182	1	19 mpg City, 25 mpg Hwy
0183	1	19 mpg City, 25 mpg Hwy
0184	1	19 mpg City, 25 mpg Hwy
0185	1	19 mpg City, 25 mpg Hwy
0186	1	17 mpg City, 23 mpg Hwy
0187	1	17 mpg City, 23 mpg Hwy
0188	1	17 mpg City, 23 mpg Hwy
0189	1	20 mpg City, 27 mpg Hwy
0190	1	20 mpg City, 26 mpg Hwy
0191	1	20 mpg City, 27 mpg Hwy
0192	1	20 mpg City, 26 mpg Hwy
0193	1	20 mpg City, 26 mpg Hwy
0194	1	20 mpg City, 26 mpg Hwy
0195	1	19 mpg City, 25 mpg Hwy
0196	1	19 mpg City, 25 mpg Hwy
0197	1	19 mpg City, 25 mpg Hwy
0198	1	17 mpg City, 23 mpg Hwy
0199	1	19 mpg City, 27 mpg Hwy
0200	1	18 mpg City, 25 mpg Hwy
0201	1	18 mpg City, 25 mpg Hwy
0202	1	18 mpg City, 25 mpg Hwy
0203	1	23 mpg City, 31 mpg Hwy
0204	1	23 mpg City, 31 mpg Hwy
0205	1	23 mpg City, 31 mpg Hwy
0206	1	23 mpg City, 31 mpg Hwy
0207	1	22 mpg City, 29 mpg Hwy
0208	1	18 mpg City, 25 mpg Hwy
0209	1	18 mpg City, 25 mpg Hwy
0210	1	18 mpg City, 25 mpg Hwy
0211	1	22 mpg City, 29 mpg Hwy
0212	1	19 mpg City, 27 mpg Hwy
0213	1	19 mpg City, 27 mpg Hwy
0214	1	16 mpg City, 21 mpg Hwy
0215	1	16 mpg City, 21 mpg Hwy
0216	1	16 mpg City, 21 mpg Hwy
0217	1	16 mpg City, 21 mpg Hwy
0218	1	16 mpg City, 21 mpg Hwy
0219	1	16 mpg City, 21 mpg Hwy
0220	1	19 mpg City, 24 mpg Hwy
0221	1	20 mpg City, 26 mpg Hwy
0222	1	20 mpg City, 26 mpg Hwy
0223	1	20 mpg City, 26 mpg Hwy
0224	1	19 mpg City, 24 mpg Hwy
0225	1	20 mpg City, 27 mpg Hwy
0226	1	20 mpg City, 26 mpg Hwy
0227	1	20 mpg City, 27 mpg Hwy
0228	1	20 mpg City, 26 mpg Hwy
0229	1	20 mpg City, 27 mpg Hwy
0230	1	20 mpg City, 26 mpg Hwy
0231	1	19 mpg City, 24 mpg Hwy
0232	1	20 mpg City, 27 mpg Hwy
0233	1	18 mpg City, 25 mpg Hwy
0234	1	18 mpg City, 25 mpg Hwy
0235	1	20 mpg City, 27 mpg Hwy
0236	1	20 mpg City, 27 mpg Hwy
0237	1	20 mpg City, 26 mpg Hwy
0238	1	18 mpg City, 25 mpg Hwy
0239	1	18 mpg City, 25 mpg Hwy
0240	1	18 mpg City, 25 mpg Hwy
0241	1	18 mpg City, 25 mpg Hwy
0242	1	18 mpg City, 25 mpg Hwy
0243	1	19 mpg City, 27 mpg Hwy
0244	1	18 mpg City, 25 mpg Hwy
0245	1	19 mpg City, 27 mpg Hwy
0246	1	18 mpg City, 25 mpg Hwy
0247	1	18 mpg City, 25 mpg Hwy
0248	1	19 mpg City, 27 mpg Hwy
0249	1	19 mpg City, 27 mpg Hwy
0250	1	23 mpg City, 31 mpg Hwy
0251	1	23 mpg City, 31 mpg Hwy
0252	1	23 mpg City, 31 mpg Hwy
0253	1	23 mpg City, 31 mpg Hwy
0254	1	23 mpg City, 31 mpg Hwy
0255	1	23 mpg City, 31 mpg Hwy
0256	1	19 mpg City, 27 mpg Hwy
0257	1	19 mpg City, 27 mpg Hwy
0258	1	18 mpg City, 25 mpg Hwy
0259	1	19 mpg City, 27 mpg Hwy
0260	1	18 mpg City, 25 mpg Hwy
0261	1	19 mpg City, 27 mpg Hwy
0262	1	18 mpg City, 25 mpg Hwy
0263	1	19 mpg City, 27 mpg Hwy
0264	1	19 mpg City, 27 mpg Hwy
0265	1	22 mpg City, 29 mpg Hwy
0266	1	22 mpg City, 29 mpg Hwy
0267	1	22 mpg City, 29 mpg Hwy
0268	1	18 mpg City, 25 mpg Hwy
0269	1	18 mpg City, 25 mpg Hwy
0270	1	16 mpg City, 21 mpg Hwy
0271	1	17 mpg City, 24 mpg Hwy
0272	1	17 mpg City, 24 mpg Hwy
0273	1	16 mpg City, 22 mpg Hwy
0274	1	16 mpg City, 22 mpg Hwy
0275	1	16 mpg City, 26 mpg Hwy
0276	1	17 mpg City, 27 mpg Hwy
0277	1	17 mpg City, 27 mpg Hwy
0278	1	19 mpg City, 30 mpg Hwy
0279	1	19 mpg City, 30 mpg Hwy
0280	1	19 mpg City, 30 mpg Hwy
0281	1	19 mpg City, 30 mpg Hwy
0282	1	-
0283	1	-
0284	1	16 mpg City, 22 mpg Hwy
0285	1	17 mpg City, 24 mpg Hwy
0286	1	17 mpg City, 24 mpg Hwy
0287	1	17 mpg City, 26 mpg Hwy
0288	1	16 mpg City, 25 mpg Hwy
0289	1	19 mpg City, 30 mpg Hwy
0290	1	17 mpg City, 26 mpg Hwy
0291	1	17 mpg City, 26 mpg Hwy
0292	1	17 mpg City, 26 mpg Hwy
0293	1	17 mpg City, 26 mpg Hwy
0294	1	14 mpg City, 18 mpg Hwy
0295	1	14 mpg City, 18 mpg Hwy
0296	1	14 mpg City, 18 mpg Hwy
0297	1	13 mpg City, 16 mpg Hwy
0298	1	13 mpg City, 16 mpg Hwy
0299	1	19 mpg City, 27 mpg Hwy
0300	1	19 mpg City, 26 mpg Hwy
0301	1	17 mpg City, 24 mpg Hwy
0302	1	15 mpg City, 20 mpg Hwy
0303	1	35 mpg City, 34 mpg Hwy
0304	1	18 mpg City, 26 mpg Hwy
0305	1	21 mpg City, 29 mpg Hwy
0306	1	20 mpg City, 26 mpg Hwy
0307	1	18 mpg City, 26 mpg Hwy
0308	1	16 mpg City, 23 mpg Hwy
0309	1	16 mpg City, 24 mpg Hwy
0310	1	19 mpg City, 23 mpg Hwy
0311	1	18 mpg City, 24 mpg Hwy
0312	1	32 mpg City, 28 mpg Hwy
0313	1	30 mpg City, 28 mpg Hwy
0314	1	19 mpg City, 27 mpg Hwy
0315	1	19 mpg City, 26 mpg Hwy
0316	1	18 mpg City, 25 mpg Hwy
0317	1	22 mpg City, 25 mpg Hwy
0318	1	35 mpg City, 34 mpg Hwy
0319	1	35 mpg City, 34 mpg Hwy
0320	1	21 mpg City, 29 mpg Hwy
0321	1	20 mpg City, 26 mpg Hwy
0322	1	18 mpg City, 25 mpg Hwy
0323	1	16 mpg City, 24 mpg Hwy
0324	1	12 mpg City, 18 mpg Hwy
0325	1	18 mpg City, 25 mpg Hwy
0326	1	16 mpg City, 23 mpg Hwy
0327	1	18 mpg City, 25 mpg Hwy
0328	1	18 mpg City, 25 mpg Hwy
0329	1	23 mpg City, 31 mpg Hwy
0330	1	20 mpg City, 27 mpg Hwy
0331	1	33 mpg City, 33 mpg Hwy
0332	1	13 mpg City, 19 mpg Hwy
0333	1	13 mpg City, 19 mpg Hwy
0334	1	13 mpg City, 19 mpg Hwy
0335	1	12 mpg City, 18 mpg Hwy
0336	1	27 mpg City, 31 mpg Hwy
0337	1	27 mpg City, 31 mpg Hwy
0338	1	19 mpg City, 23 mpg Hwy
0339	1	17 mpg City, 22 mpg Hwy
0340	1	17 mpg City, 22 mpg Hwy
0341	1	16 mpg City, 20 mpg Hwy
0342	1	15 mpg City, 20 mpg Hwy
0343	1	15 mpg City, 20 mpg Hwy
0344	1	16 mpg City, 20 mpg Hwy
0345	1	15 mpg City, 20 mpg Hwy
0346	1	15 mpg City, 20 mpg Hwy
0347	1	15 mpg City, 20 mpg Hwy
0348	1	14 mpg City, 19 mpg Hwy
0349	1	15 mpg City, 20 mpg Hwy
0350	1	14 mpg City, 19 mpg Hwy
0351	1	27 mpg City, 32 mpg Hwy
0352	1	27 mpg City, 32 mpg Hwy
0353	1	24 mpg City, 31 mpg Hwy
0354	1	25 mpg City, 30 mpg Hwy
0355	1	25 mpg City, 30 mpg Hwy
0356	1	106 mpg City, 92 mpg Hwy
0357	1	106 mpg City, 92 mpg Hwy
0358	1	19 mpg City, 26 mpg Hwy
0359	1	18 mpg City, 23 mpg Hwy
0360	1	15 mpg City, 22 mpg Hwy
0361	1	15 mpg City, 22 mpg Hwy
0362	1	15 mpg City, 22 mpg Hwy
0363	1	14 mpg City, 20 mpg Hwy
0364	1	14 mpg City, 20 mpg Hwy
0365	1	14 mpg City, 20 mpg Hwy
0366	1	13 mpg City, 18 mpg Hwy
0367	1	16 mpg City, 24 mpg Hwy
0368	1	16 mpg City, 24 mpg Hwy
0369	1	22 mpg City, 28 mpg Hwy
0370	1	22 mpg City, 26 mpg Hwy
0371	1	27 mpg City, 34 mpg Hwy
0372	1	27 mpg City, 34 mpg Hwy
0373	1	27 mpg City, 34 mpg Hwy
0374	1	13 mpg City, 18 mpg Hwy
0375	1	13 mpg City, 18 mpg Hwy
0376	1	13 mpg City, 18 mpg Hwy
0377	1	12 mpg City, 17 mpg Hwy
0378	1	12 mpg City, 17 mpg Hwy
0379	1	26 mpg City, 34 mpg Hwy
0380	1	26 mpg City, 34 mpg Hwy
0381	1	26 mpg City, 31 mpg Hwy
0382	1	15 mpg City, 21 mpg Hwy
0383	1	15 mpg City, 21 mpg Hwy
0384	1	15 mpg City, 20 mpg Hwy
0385	1	18 mpg City, 25 mpg Hwy
0386	1	18 mpg City, 25 mpg Hwy
0387	1	18 mpg City, 25 mpg Hwy
0388	1	18 mpg City, 25 mpg Hwy
0389	1	23 mpg City, 32 mpg Hwy
0390	1	23 mpg City, 31 mpg Hwy
0391	1	35 mpg City, 33 mpg Hwy
0392	1	12 mpg City, 18 mpg Hwy
0393	1	12 mpg City, 18 mpg Hwy
0394	1	24 mpg City, 29 mpg Hwy
0395	1	28 mpg City, 30 mpg Hwy
0396	1	16 mpg City, 20 mpg Hwy
0397	1	15 mpg City, 20 mpg Hwy
0398	1	15 mpg City, 20 mpg Hwy
0399	1	14 mpg City, 19 mpg Hwy
0400	1	15 mpg City, 19 mpg Hwy
0401	1	14 mpg City, 19 mpg Hwy
0402	1	14 mpg City, 19 mpg Hwy
0403	1	15 mpg City, 20 mpg Hwy
0404	1	15 mpg City, 19 mpg Hwy
0405	1	14 mpg City, 19 mpg Hwy
0406	1	14 mpg City, 19 mpg Hwy
0407	1	15 mpg City, 21 mpg Hwy
0408	1	19 mpg City, 26 mpg Hwy
0409	1	19 mpg City, 26 mpg Hwy
0410	1	19 mpg City, 26 mpg Hwy
0411	1	18 mpg City, 23 mpg Hwy
0412	1	18 mpg City, 23 mpg Hwy
0413	1	18 mpg City, 23 mpg Hwy
0414	1	18 mpg City, 23 mpg Hwy
0415	1	18 mpg City, 23 mpg Hwy
0416	1	18 mpg City, 23 mpg Hwy
0417	1	14 mpg City, 20 mpg Hwy
0418	1	22 mpg City, 27 mpg Hwy
0419	1	22 mpg City, 27 mpg Hwy
0420	1	21 mpg City, 26 mpg Hwy
0421	1	21 mpg City, 26 mpg Hwy
0422	1	22 mpg City, 27 mpg Hwy
0423	1	26 mpg City, 34 mpg Hwy
0424	1	26 mpg City, 34 mpg Hwy
0425	1	24 mpg City, 30 mpg Hwy
0426	1	21 mpg City, 28 mpg Hwy
0427	1	13 mpg City, 17 mpg Hwy
0428	1	13 mpg City, 17 mpg Hwy
0429	1	12 mpg City, 17 mpg Hwy
0430	1	13 mpg City, 17 mpg Hwy
0431	1	13 mpg City, 17 mpg Hwy
0432	1	13 mpg City, 17 mpg Hwy
0433	1	12 mpg City, 17 mpg Hwy
0434	1	12 mpg City, 17 mpg Hwy
0435	1	26 mpg City, 33 mpg Hwy
0436	1	28 mpg City, 34 mpg Hwy
0437	1	15 mpg City, 21 mpg Hwy
0438	1	15 mpg City, 21 mpg Hwy
0439	1	16 mpg City, 20 mpg Hwy
0440	1	15 mpg City, 20 mpg Hwy
0441	1	19 mpg City, 23 mpg Hwy
0442	1	19 mpg City, 23 mpg Hwy
0443	1	15 mpg City, 19 mpg Hwy
0444	1	19 mpg City, 26 mpg Hwy
0445	1	19 mpg City, 25 mpg Hwy
0446	1	19 mpg City, 23 mpg Hwy
0447	1	21 mpg City, 31 mpg Hwy
0448	1	23 mpg City, 30 mpg Hwy
0449	1	23 mpg City, 30 mpg Hwy
0450	1	22 mpg City, 29 mpg Hwy
0451	1	23 mpg City, 31 mpg Hwy
0452	1	22 mpg City, 30 mpg Hwy
0453	1	22 mpg City, 30 mpg Hwy
0454	1	21 mpg City, 28 mpg Hwy
0455	1	21 mpg City, 28 mpg Hwy
0456	1	-
0457	1	19 mpg City, 23 mpg Hwy
0458	1	15 mpg City, 20 mpg Hwy
0459	1	15 mpg City, 20 mpg Hwy
0460	1	15 mpg City, 19 mpg Hwy
0461	1	19 mpg City, 26 mpg Hwy
0462	1	19 mpg City, 25 mpg Hwy
0463	1	19 mpg City, 23 mpg Hwy
0464	1	17 mpg City, 23 mpg Hwy
0465	1	21 mpg City, 31 mpg Hwy
0466	1	23 mpg City, 31 mpg Hwy
0467	1	20 mpg City, 29 mpg Hwy
0468	1	23 mpg City, 30 mpg Hwy
0469	1	20 mpg City, 29 mpg Hwy
0470	1	23 mpg City, 30 mpg Hwy
0471	1	22 mpg City, 29 mpg Hwy
0472	1	22 mpg City, 30 mpg Hwy
0473	1	22 mpg City, 29 mpg Hwy
0474	1	21 mpg City, 28 mpg Hwy
0475	1	21 mpg City, 28 mpg Hwy
0476	1	21 mpg City, 28 mpg Hwy
0477	1	16 mpg City, 22 mpg Hwy
0478	1	16 mpg City, 22 mpg Hwy
0479	1	16 mpg City, 22 mpg Hwy
0480	1	16 mpg City, 22 mpg Hwy
0481	1	15 mpg City, 21 mpg Hwy
0482	1	16 mpg City, 22 mpg Hwy
0483	1	15 mpg City, 21 mpg Hwy
0484	1	22 mpg City, 28 mpg Hwy
0485	1	15 mpg City, 19 mpg Hwy
0486	1	15 mpg City, 20 mpg Hwy
0487	1	14 mpg City, 19 mpg Hwy
0488	1	14 mpg City, 19 mpg Hwy
0489	1	23 mpg City, 28 mpg Hwy
0490	1	23 mpg City, 28 mpg Hwy
0491	1	16 mpg City, 21 mpg Hwy
0492	1	15 mpg City, 20 mpg Hwy
0493	1	12 mpg City, 16 mpg Hwy
0494	1	16 mpg City, 22 mpg Hwy
0495	1	15 mpg City, 21 mpg Hwy
0496	1	15 mpg City, 21 mpg Hwy
0497	1	23 mpg City, 28 mpg Hwy
0498	1	23 mpg City, 28 mpg Hwy
0499	1	23 mpg City, 28 mpg Hwy
0500	1	15 mpg City, 19 mpg Hwy
0501	1	15 mpg City, 19 mpg Hwy
0502	1	15 mpg City, 19 mpg Hwy
0503	1	15 mpg City, 19 mpg Hwy
0504	1	17 mpg City, 26 mpg Hwy
0505	1	17 mpg City, 26 mpg Hwy
0506	1	18 mpg City, 27 mpg Hwy
0507	1	18 mpg City, 27 mpg Hwy
0508	1	18 mpg City, 27 mpg Hwy
0509	1	18 mpg City, 27 mpg Hwy
0510	1	18 mpg City, 27 mpg Hwy
0511	1	18 mpg City, 27 mpg Hwy
0512	1	18 mpg City, 26 mpg Hwy
0513	1	18 mpg City, 26 mpg Hwy
0514	1	18 mpg City, 27 mpg Hwy
0515	1	12 mpg City, 18 mpg Hwy
0516	1	14 mpg City, 19 mpg Hwy
0517	1	14 mpg City, 19 mpg Hwy
0518	1	15 mpg City, 23 mpg Hwy
0519	1	15 mpg City, 23 mpg Hwy
0520	1	15 mpg City, 23 mpg Hwy
0521	1	13 mpg City, 18 mpg Hwy
0522	1	13 mpg City, 18 mpg Hwy
0523	1	14 mpg City, 18 mpg Hwy
0524	1	13 mpg City, 18 mpg Hwy
0525	1	13 mpg City, 18 mpg Hwy
0526	1	13 mpg City, 18 mpg Hwy
0527	1	13 mpg City, 18 mpg Hwy
0528	1	13 mpg City, 18 mpg Hwy
0529	1	20 mpg City, 23 mpg Hwy
0530	1	18 mpg City, 25 mpg Hwy
0531	1	18 mpg City, 25 mpg Hwy
0532	1	18 mpg City, 25 mpg Hwy
0533	1	17 mpg City, 23 mpg Hwy
0534	1	17 mpg City, 23 mpg Hwy
0535	1	15 mpg City, 22 mpg Hwy
0536	1	18 mpg City, 27 mpg Hwy
0537	1	18 mpg City, 27 mpg Hwy
0538	1	16 mpg City, 26 mpg Hwy
0539	1	16 mpg City, 26 mpg Hwy
0540	1	18 mpg City, 27 mpg Hwy
0541	1	18 mpg City, 26 mpg Hwy
0542	1	18 mpg City, 27 mpg Hwy
0543	1	18 mpg City, 27 mpg Hwy
0544	1	18 mpg City, 26 mpg Hwy
0545	1	18 mpg City, 26 mpg Hwy
0546	1	18 mpg City, 26 mpg Hwy
0547	1	18 mpg City, 26 mpg Hwy
0548	1	14 mpg City, 19 mpg Hwy
0549	1	15 mpg City, 23 mpg Hwy
0550	1	13 mpg City, 20 mpg Hwy
0551	1	14 mpg City, 20 mpg Hwy
0552	1	14 mpg City, 20 mpg Hwy
0553	1	14 mpg City, 20 mpg Hwy
0554	1	-
0555	1	13 mpg City, 20 mpg Hwy
0556	1	13 mpg City, 20 mpg Hwy
0557	1	21 mpg City, 22 mpg Hwy
0558	1	18 mpg City, 25 mpg Hwy
0559	1	18 mpg City, 25 mpg Hwy
0560	1	18 mpg City, 25 mpg Hwy
0561	1	17 mpg City, 23 mpg Hwy
0562	1	17 mpg City, 23 mpg Hwy
0563	1	17 mpg City, 23 mpg Hwy
0564	1	17 mpg City, 23 mpg Hwy
0565	1	18 mpg City, 27 mpg Hwy
0566	1	18 mpg City, 27 mpg Hwy
0567	1	28 mpg City, 34 mpg Hwy
0568	1	28 mpg City, 34 mpg Hwy
0569	1	27 mpg City, 36 mpg Hwy
0570	1	27 mpg City, 36 mpg Hwy
0571	1	20 mpg City, 28 mpg Hwy
0572	1	19 mpg City, 27 mpg Hwy
0573	1	29 mpg City, 40 mpg Hwy
0574	1	29 mpg City, 40 mpg Hwy
0575	1	23 mpg City, 31 mpg Hwy
0576	1	16 mpg City, 24 mpg Hwy
0577	1	17 mpg City, 25 mpg Hwy
0578	1	20 mpg City, 30 mpg Hwy
0579	1	20 mpg City, 30 mpg Hwy
0580	1	17 mpg City, 26 mpg Hwy
0581	1	19 mpg City, 26 mpg Hwy
0582	1	20 mpg City, 26 mpg Hwy
0583	1	20 mpg City, 26 mpg Hwy
0584	1	-
0585	1	22 mpg City, 35 mpg Hwy
0586	1	22 mpg City, 35 mpg Hwy
0587	1	22 mpg City, 35 mpg Hwy
0588	1	22 mpg City, 35 mpg Hwy
0589	1	22 mpg City, 33 mpg Hwy
0590	1	22 mpg City, 33 mpg Hwy
0591	1	23 mpg City, 31 mpg Hwy
0592	1	23 mpg City, 31 mpg Hwy
0593	1	17 mpg City, 23 mpg Hwy
0594	1	17 mpg City, 23 mpg Hwy
0595	1	16 mpg City, 22 mpg Hwy
0596	1	28 mpg City, 34 mpg Hwy
0597	1	27 mpg City, 36 mpg Hwy
0598	1	28 mpg City, 34 mpg Hwy
0599	1	27 mpg City, 36 mpg Hwy
0600	1	28 mpg City, 34 mpg Hwy
0601	1	27 mpg City, 36 mpg Hwy
0602	1	18 mpg City, 26 mpg Hwy
0603	1	17 mpg City, 26 mpg Hwy
0604	1	26 mpg City, 34 mpg Hwy
0605	1	23 mpg City, 31 mpg Hwy
0606	1	18 mpg City, 27 mpg Hwy
0607	1	17 mpg City, 25 mpg Hwy
0608	1	21 mpg City, 30 mpg Hwy
0609	1	17 mpg City, 26 mpg Hwy
0610	1	17 mpg City, 27 mpg Hwy
0611	1	17 mpg City, 26 mpg Hwy
0612	1	17 mpg City, 26 mpg Hwy
0613	1	17 mpg City, 27 mpg Hwy
0614	1	21 mpg City, 30 mpg Hwy
