auto	aol	fuel_economy
0192	1	21 City / 25 Hwy
0193	1	18 City / 24 Hwy
0194	1	18 City / 24 Hwy
0195	1	16 City / 24 Hwy
0196	1	15 City / 23 Hwy
0197	1	15 City / 23 Hwy
0198	1	14 City / 19 Hwy
0199	1	15 City / 20 Hwy
0200	1	15 City / 20 Hwy
0201	1	15 City / 21 Hwy
0202	1	15 City / 21 Hwy
0203	1	15 City / 21 Hwy
0204	1	13 City / 18 Hwy
0205	1	15 City / 21 Hwy
0206	1	14 City / 19 Hwy
0207	1	15 City / 21 Hwy
0208	1	14 City / 19 Hwy
0209	1	13 City / 18 Hwy
0210	1	15 City / 21 Hwy
0211	1	13 City / 18 Hwy
0212	1	13 City / 18 Hwy
0213	1	15 City / 20 Hwy
0214	1	14 City / 19 Hwy
0215	1	14 City / 19 Hwy
0216	1	14 City / 19 Hwy
0217	1	15 City / 20 Hwy
0218	1	14 City / 19 Hwy
0219	1	14 City / 18 Hwy
0220	1	15 City / 21 Hwy
0221	1	13 City / 18 Hwy
0222	1	15 City / 21 Hwy
0223	1	15 City / 21 Hwy
0224	1	15 City / 21 Hwy
0225	1	15 City / 21 Hwy
0226	1	15 City / 21 Hwy
0227	1	15 City / 21 Hwy
0228	1	14 City / 19 Hwy
0229	1	14 City / 19 Hwy
0230	1	13 City / 18 Hwy
0231	1	15 City / 21 Hwy
0232	1	12 City / 18 Hwy
0233	1	15 City / 20 Hwy
0234	1	15 City / 21 Hwy
0235	1	15 City / 20 Hwy
0236	1	14 City / 19 Hwy
0237	1	15 City / 21 Hwy
0238	1	15 City / 21 Hwy
0239	1	15 City / 21 Hwy
0240	1	14 City / 18 Hwy
0241	1	14 City / 18 Hwy
0242	1	15 City / 21 Hwy
0243	1	13 City / 18 Hwy
0244	1	15 City / 21 Hwy
0245	1	14 City / 19 Hwy
0246	1	15 City / 22 Hwy
0247	1	13 City / 18 Hwy
0248	1	15 City / 21 Hwy
0249	1	13 City / 18 Hwy
0250	1	13 City / 18 Hwy
0251	1	15 City / 20 Hwy
0252	1	14 City / 19 Hwy
0253	1	14 City / 19 Hwy
0254	1	14 City / 19 Hwy
0255	1	15 City / 21 Hwy
0256	1	15 City / 20 Hwy
0257	1	14 City / 18 Hwy
0258	1	13 City / 18 Hwy
0259	1	14 City / 18 Hwy
0260	1	13 City / 18 Hwy
0261	1	15 City / 21 Hwy
0262	1	15 City / 21 Hwy
0263	1	15 City / 21 Hwy
0264	1	15 City / 21 Hwy
0265	1	15 City / 21 Hwy
0266	1	15 City / 21 Hwy
0267	1	14 City / 19 Hwy
0268	1	15 City / 21 Hwy
0269	1	13 City / 19 Hwy
0270	1	14 City / 19 Hwy
0271	1	15 City / 22 Hwy
0272	1	13 City / 18 Hwy
0273	1	15 City / 21 Hwy
0274	1	13 City / 18 Hwy
0275	1	13 City / 18 Hwy
0276	1	20 City / 27 Hwy
0277	1	20 City / 26 Hwy
0278	1	20 City / 26 Hwy
0279	1	21 City / 27 Hwy
0280	1	21 City / 27 Hwy
0281	1	19 City / 25 Hwy
0282	1	19 City / 25 Hwy
0283	1	19 City / 25 Hwy
0284	1	22 City / 28 Hwy
0285	1	21 City / 28 Hwy
0286	1	21 City / 28 Hwy
0287	1	22 City / 31 Hwy
0288	1	22 City / 31 Hwy
0289	1	19 City / 29 Hwy
0290	1	22 City / 31 Hwy
0291	1	22 City / 31 Hwy
0292	1	22 City / 31 Hwy
0293	1	27 City / 35 Hwy
0294	1	15 City / 19 Hwy
0295	1	15 City / 19 Hwy
0296	1	23 City / 34 Hwy
0297	1	23 City / 34 Hwy
0298	1	23 City / 33 Hwy
0299	1	23 City / 34 Hwy
0300	1	23 City / 32 Hwy
0301	1	22 City / 33 Hwy
0302	1	22 City / 25 Hwy
0303	1	22 City / 25 Hwy
0304	1	22 City / 25 Hwy
0305	1	21 City / 26 Hwy
0306	1	21 City / 26 Hwy
0307	1	21 City / 26 Hwy
0308	1	21 City / 26 Hwy
0309	1	23 City / 28 Hwy
0310	1	21 City / 28 Hwy
0311	1	21 City / 28 Hwy
0312	1	20 City / 26 Hwy
0313	1	20 City / 26 Hwy
0314	1	22 City / 30 Hwy
0315	1	51 City / 48 Hwy
0316	1	51 City / 48 Hwy
0317	1	21 City / 28 Hwy
0318	1	21 City / 28 Hwy
0319	1	21 City / 28 Hwy
0320	1	21 City / 27 Hwy
0321	1	21 City / 27 Hwy
0322	1	21 City / 27 Hwy
0323	1	16 City / 22 Hwy
0324	1	16 City / 22 Hwy
0325	1	16 City / 22 Hwy
0326	1	16 City / 21 Hwy
0327	1	16 City / 21 Hwy
0328	1	15 City / 21 Hwy
0329	1	15 City / 21 Hwy
0330	1	15 City / 21 Hwy
0331	1	16 City / 20 Hwy
0332	1	21 City / 30 Hwy
0333	1	21 City / 30 Hwy
0334	1	51 City / 48 Hwy
0335	1	51 City / 48 Hwy
0336	1	51 City / 48 Hwy
0337	1	22 City / 28 Hwy
0338	1	19 City / 27 Hwy
0339	1	19 City / 27 Hwy
0340	1	19 City / 27 Hwy
0341	1	21 City / 27 Hwy
0342	1	19 City / 26 Hwy
0343	1	21 City / 28 Hwy
0344	1	21 City / 28 Hwy
0345	1	21 City / 28 Hwy
0346	1	21 City / 28 Hwy
0347	1	21 City / 27 Hwy
0348	1	21 City / 27 Hwy
0349	1	19 City / 26 Hwy
0350	1	20 City / 26 Hwy
0351	1	20 City / 28 Hwy
0352	1	20 City / 26 Hwy
0353	1	20 City / 26 Hwy
0354	1	19 City / 26 Hwy
0355	1	20 City / 26 Hwy
0356	1	20 City / 28 Hwy
0357	1	20 City / 26 Hwy
0358	1	20 City / 28 Hwy
0359	1	18 City / 25 Hwy
0360	1	17 City / 23 Hwy
0361	1	17 City / 23 Hwy
0362	1	17 City / 25 Hwy
0363	1	17 City / 25 Hwy
0364	1	17 City / 25 Hwy
0365	1	17 City / 24 Hwy
0366	1	17 City / 24 Hwy
0367	1	16 City / 23 Hwy
0368	1	16 City / 23 Hwy
0369	1	22 City / 30 Hwy
0370	1	22 City / 33 Hwy
0371	1	22 City / 28 Hwy
0372	1	19 City / 27 Hwy
0373	1	19 City / 27 Hwy
0374	1	21 City / 27 Hwy
0375	1	19 City / 26 Hwy
0376	1	19 City / 26 Hwy
0377	1	22 City / 33 Hwy
0378	1	22 City / 33 Hwy
0379	1	20 City / 28 Hwy
0380	1	18 City / 24 Hwy
0381	1	20 City / 28 Hwy
0382	1	17 City / 21 Hwy
0383	1	23 City / 28 Hwy
0384	1	22 City / 27 Hwy
0385	1	21 City / 30 Hwy
0386	1	21 City / 30 Hwy
0387	1	17 City / 26 Hwy
0388	1	17 City / 26 Hwy
0389	1	17 City / 26 Hwy
0390	1	17 City / 26 Hwy
0391	1	21 City / 30 Hwy
0392	1	22 City / 31 Hwy
0393	1	15 City / 19 Hwy
0394	1	15 City / 19 Hwy
0395	1	15 City / 19 Hwy
0396	1	15 City / 19 Hwy
0397	1	15 City / 19 Hwy
0398	1	15 City / 19 Hwy
0399	1	14 City / 18 Hwy
0400	1	14 City / 18 Hwy
0401	1	15 City / 19 Hwy
0402	1	15 City / 19 Hwy
0403	1	15 City / 19 Hwy
0404	1	15 City / 21 Hwy
0405	1	14 City / 20 Hwy
0406	1	14 City / 18 Hwy
0407	1	14 City / 20 Hwy
0408	1	14 City / 18 Hwy
0409	1	14 City / 20 Hwy
0410	1	15 City / 21 Hwy
0411	1	14 City / 20 Hwy
0412	1	14 City / 20 Hwy
0413	1	14 City / 18 Hwy
0414	1	15 City / 21 Hwy
0415	1	14 City / 20 Hwy
0416	1	14 City / 20 Hwy
0417	1	14 City / 18 Hwy
0418	1	14 City / 18 Hwy
0419	1	14 City / 18 Hwy
0420	1	19 City / 29 Hwy
0421	1	17 City / 26 Hwy
0422	1	19 City / 29 Hwy
0423	1	19 City / 29 Hwy
0424	1	18 City / 25 Hwy
0425	1	18 City / 25 Hwy
0426	1	17 City / 23 Hwy
0427	1	16 City / 21 Hwy
0428	1	15 City / 21 Hwy
0429	1	16 City / 21 Hwy
0430	1	16 City / 21 Hwy
0431	1	21 City / 30 Hwy
0432	1	17 City / 26 Hwy
0433	1	17 City / 27 Hwy
0434	1	17 City / 26 Hwy
0435	1	26 City / 34 Hwy
0436	1	26 City / 34 Hwy
0437	0	<NULL>
0438	0	<NULL>
0439	0	<NULL>
0440	0	<NULL>
0441	0	<NULL>
0442	0	<NULL>
0443	0	<NULL>
0444	0	<NULL>
0445	0	<NULL>
0446	0	<NULL>
0447	0	<NULL>
0448	0	<NULL>
0449	0	<NULL>
0450	0	<NULL>
0451	0	<NULL>
0452	0	<NULL>
0453	0	<NULL>
0454	0	<NULL>
0455	0	<NULL>
0456	0	<NULL>
0457	0	<NULL>
0458	0	<NULL>
0459	0	<NULL>
0460	0	<NULL>
0461	0	<NULL>
0462	0	<NULL>
0463	0	<NULL>
0464	0	<NULL>
0465	0	<NULL>
0466	0	<NULL>
0467	0	<NULL>
0468	0	<NULL>
0469	0	<NULL>
0470	0	<NULL>
0471	0	<NULL>
0472	0	<NULL>
0473	0	<NULL>
0474	0	<NULL>
0475	0	<NULL>
0476	0	<NULL>
0477	1	22 City / 32 Hwy
0478	1	22 City / 32 Hwy
0479	1	22 City / 32 Hwy
0480	1	20 City / 29 Hwy
0481	1	20 City / 29 Hwy
0482	1	20 City / 29 Hwy
0483	1	17 City / 28 Hwy
0484	1	17 City / 28 Hwy
0485	1	16 City / 24 Hwy
0486	1	17 City / 28 Hwy
0487	1	16 City / 24 Hwy
0488	1	17 City / 29 Hwy
0489	1	16 City / 24 Hwy
0490	1	22 City / 32 Hwy
0491	1	20 City / 29 Hwy
0492	1	20 City / 29 Hwy
0493	1	20 City / 29 Hwy
0494	1	15 City / 21 Hwy
0495	1	15 City / 20 Hwy
0496	1	16 City / 20 Hwy
0497	1	15 City / 20 Hwy
0498	1	14 City / 18 Hwy
0499	1	15 City / 20 Hwy
0500	1	15 City / 20 Hwy
0501	1	15 City / 20 Hwy
0502	1	14 City / 18 Hwy
0503	1	14 City / 19 Hwy
0504	1	14 City / 18 Hwy
0505	1	21 City / 28 Hwy
0506	1	21 City / 28 Hwy
0507	1	19 City / 27 Hwy
0508	1	22 City / 29 Hwy
0509	1	18 City / 25 Hwy
0510	1	18 City / 25 Hwy
0511	1	27 City / 36 Hwy
0512	1	15 City / 20 Hwy
0513	1	14 City / 18 Hwy
0514	1	15 City / 20 Hwy
0515	1	15 City / 20 Hwy
0516	1	15 City / 20 Hwy
0517	1	14 City / 18 Hwy
0518	1	14 City / 18 Hwy
0519	1	22 City / 28 Hwy
0520	1	21 City / 28 Hwy
0521	1	21 City / 28 Hwy
0522	1	21 City / 28 Hwy
0523	1	19 City / 27 Hwy
0524	1	19 City / 27 Hwy
0525	1	22 City / 29 Hwy
0526	1	18 City / 25 Hwy
0527	1	18 City / 25 Hwy
0528	1	18 City / 25 Hwy
0529	1	18 City / 24 Hwy
0530	1	18 City / 24 Hwy
0531	1	18 City / 24 Hwy
0532	1	18 City / 24 Hwy
0533	1	16 City / 22 Hwy
0534	1	16 City / 22 Hwy
0535	1	15 City / 21 Hwy
0536	1	15 City / 21 Hwy
0537	1	15 City / 21 Hwy
0538	1	15 City / 21 Hwy
0539	1	15 City / 21 Hwy
0540	1	18 City / 25 Hwy
0541	1	15 City / 20 Hwy
0542	1	15 City / 19 Hwy
0543	1	15 City / 19 Hwy
0544	1	15 City / 19 Hwy
0545	1	15 City / 19 Hwy
0546	1	15 City / 19 Hwy
0547	1	15 City / 20 Hwy
0548	1	13 City / 17 Hwy
0549	1	13 City / 17 Hwy
0550	1	13 City / 17 Hwy
0551	1	15 City / 19 Hwy
0552	1	15 City / 20 Hwy
0553	1	14 City / 18 Hwy
0554	1	15 City / 20 Hwy
0555	1	14 City / 18 Hwy
0556	1	13 City / 17 Hwy
0557	1	14 City / 19 Hwy
0558	1	13 City / 17 Hwy
0559	1	14 City / 19 Hwy
0560	1	13 City / 17 Hwy
0561	1	15 City / 20 Hwy
0562	1	14 City / 18 Hwy
0563	1	15 City / 20 Hwy
0564	1	14 City / 18 Hwy
0565	1	14 City / 19 Hwy
0566	1	13 City / 17 Hwy
0567	1	20 City / 25 Hwy
0568	1	19 City / 25 Hwy
0569	1	19 City / 25 Hwy
0570	1	29 City / 35 Hwy
0571	1	22 City / 31 Hwy
0572	1	20 City / 28 Hwy
0573	1	17 City / 25 Hwy
0574	1	27 City / 33 Hwy
0575	1	27 City / 33 Hwy
0576	1	27 City / 33 Hwy
0577	1	25 City / 35 Hwy
0578	1	25 City / 37 Hwy
0579	1	25 City / 37 Hwy
0580	1	22 City / 30 Hwy
0581	1	25 City / 35 Hwy
0582	1	25 City / 37 Hwy
0583	1	25 City / 37 Hwy
0584	1	25 City / 34 Hwy
0585	1	26 City / 36 Hwy
0586	1	22 City / 32 Hwy
0587	1	24 City / 34 Hwy
0588	1	23 City / 33 Hwy
0589	1	30 City / 42 Hwy
0590	1	23 City / 33 Hwy
0591	1	24 City / 31 Hwy
0592	1	21 City / 28 Hwy
0593	1	21 City / 28 Hwy
0594	1	20 City / 26 Hwy
0595	1	20 City / 26 Hwy
0596	1	21 City / 31 Hwy
0597	1	21 City / 31 Hwy
0598	1	21 City / 31 Hwy
0599	1	18 City / 25 Hwy
0600	1	40 City / 45 Hwy
0601	1	15 City / 20 Hwy
0602	1	16 City / 20 Hwy
0603	1	16 City / 20 Hwy
0604	1	15 City / 20 Hwy
0605	1	16 City / 20 Hwy
0606	1	16 City / 20 Hwy
0607	1	14 City / 18 Hwy
0608	1	13 City / 17 Hwy
0609	1	13 City / 17 Hwy
0610	1	16 City / 20 Hwy
0611	1	14 City / 18 Hwy
0612	1	14 City / 19 Hwy
0613	1	13 City / 17 Hwy
0614	1	13 City / 17 Hwy
0615	1	13 City / 17 Hwy
0616	1	13 City / 17 Hwy
0617	1	15 City / 20 Hwy
0618	1	14 City / 18 Hwy
0619	1	14 City / 19 Hwy
0620	1	13 City / 17 Hwy
0621	1	13 City / 17 Hwy
0622	1	13 City / 17 Hwy
0623	1	40 City / 43 Hwy
0624	1	26 City / 34 Hwy
0625	1	21 City / 29 Hwy
0626	1	17 City / 22 Hwy
0627	1	22 City / 32 Hwy
0628	1	20 City / 29 Hwy
0629	1	20 City / 29 Hwy
0630	1	22 City / 32 Hwy
0631	1	22 City / 32 Hwy
0632	1	22 City / 32 Hwy
0633	1	20 City / 29 Hwy
0634	1	20 City / 29 Hwy
0635	1	20 City / 29 Hwy
0636	1	18 City / 29 Hwy
0637	1	18 City / 29 Hwy
0638	1	19 City / 29 Hwy
0639	1	19 City / 29 Hwy
0640	1	18 City / 24 Hwy
0641	1	18 City / 24 Hwy
0642	1	18 City / 24 Hwy
0643	1	19 City / 24 Hwy
0644	1	18 City / 24 Hwy
0645	1	18 City / 24 Hwy
0646	1	16 City / 22 Hwy
0647	1	16 City / 22 Hwy
0648	1	16 City / 22 Hwy
0649	1	17 City / 23 Hwy
0650	1	17 City / 23 Hwy
0651	1	16 City / 21 Hwy
0652	1	16 City / 21 Hwy
0653	1	17 City / 25 Hwy
0654	1	16 City / 25 Hwy
0655	1	17 City / 25 Hwy
0656	1	17 City / 25 Hwy
0657	1	17 City / 23 Hwy
0658	1	16 City / 23 Hwy
0659	1	17 City / 23 Hwy
0660	1	18 City / 25 Hwy
0661	1	21 City / 29 Hwy
0662	1	13 City / 17 Hwy
0663	1	13 City / 17 Hwy
0664	1	13 City / 17 Hwy
0665	1	13 City / 17 Hwy
0666	1	13 City / 17 Hwy
0667	1	13 City / 17 Hwy
0668	1	13 City / 17 Hwy
0669	1	15 City / 20 Hwy
0670	1	13 City / 17 Hwy
0671	1	13 City / 17 Hwy
0672	1	13 City / 17 Hwy
0673	1	13 City / 17 Hwy
0674	1	13 City / 17 Hwy
0675	1	18 City / 27 Hwy
0676	1	15 City / 24 Hwy
0677	1	27 City / 36 Hwy
0678	1	15 City / 20 Hwy
0679	1	13 City / 17 Hwy
0680	1	13 City / 17 Hwy
0681	1	13 City / 17 Hwy
0682	1	13 City / 17 Hwy
0683	1	13 City / 17 Hwy
0684	1	13 City / 18 Hwy
0685	1	13 City / 17 Hwy
0686	1	17 City / 26 Hwy
0687	1	16 City / 25 Hwy
0688	1	16 City / 23 Hwy
0689	1	18 City / 27 Hwy
0690	1	17 City / 25 Hwy
0691	1	17 City / 25 Hwy
0692	1	18 City / 27 Hwy
0693	1	17 City / 25 Hwy
0694	1	17 City / 25 Hwy
0695	1	17 City / 24 Hwy
0696	1	17 City / 25 Hwy
0697	1	16 City / 23 Hwy
0698	1	17 City / 22 Hwy
0699	1	20 City / 28 Hwy
0700	1	15 City / 19 Hwy
0701	1	15 City / 19 Hwy
0702	1	15 City / 19 Hwy
0703	1	18 City / 24 Hwy
0704	1	18 City / 24 Hwy
0705	1	18 City / 24 Hwy
0706	1	17 City / 23 Hwy
0707	1	17 City / 23 Hwy
0708	1	17 City / 23 Hwy
0709	1	16 City / 23 Hwy
0710	1	17 City / 25 Hwy
0711	1	11 City / 17 Hwy
0712	1	10 City / 16 Hwy
0713	1	10 City / 16 Hwy
0714	1	13 City / 17 Hwy
0715	1	13 City / 16 Hwy
0716	1	13 City / 16 Hwy
0717	1	13 City / 17 Hwy
0718	1	33 City / 34 Hwy
0719	1	20 City / 27 Hwy
0720	1	19 City / 30 Hwy
0721	1	17 City / 26 Hwy
0722	1	17 City / 26 Hwy
0723	1	17 City / 27 Hwy
0724	1	16 City / 25 Hwy
0725	1	21 City / 29 Hwy
0726	1	19 City / 26 Hwy
0727	1	20 City / 28 Hwy
0728	1	21 City / 27 Hwy
0729	1	19 City / 26 Hwy
0730	1	20 City / 25 Hwy
0731	1	13 City / 18 Hwy
0732	1	13 City / 18 Hwy
0733	1	12 City / 17 Hwy
0734	1	12 City / 17 Hwy
0735	1	12 City / 17 Hwy
0736	1	13 City / 18 Hwy
0737	1	13 City / 18 Hwy
0738	1	13 City / 18 Hwy
0739	1	12 City / 17 Hwy
0740	1	12 City / 17 Hwy
0741	1	12 City / 17 Hwy
0742	1	13 City / 18 Hwy
0743	1	12 City / 17 Hwy
0744	1	31 City / 35 Hwy
0745	0	<NULL>
0746	0	<NULL>
0747	0	<NULL>
0748	0	<NULL>
0749	0	<NULL>
0750	0	<NULL>
0751	0	<NULL>
0752	0	<NULL>
0753	0	<NULL>
0754	0	<NULL>
0755	0	<NULL>
0756	1	16 City / 22 Hwy
0757	1	16 City / 22 Hwy
0758	1	33 City / 33 Hwy
0759	1	35 City / 33 Hwy
0760	1	16 City / 22 Hwy
0761	1	16 City / 22 Hwy
0762	1	16 City / 22 Hwy
0763	1	16 City / 23 Hwy
0764	1	16 City / 23 Hwy
0765	1	17 City / 25 Hwy
0766	1	13 City / 18 Hwy
0767	1	12 City / 17 Hwy
0768	1	12 City / 17 Hwy
0769	1	12 City / 17 Hwy
0770	1	13 City / 18 Hwy
0771	1	13 City / 18 Hwy
0772	1	13 City / 18 Hwy
0773	1	12 City / 17 Hwy
0774	1	12 City / 17 Hwy
0775	1	12 City / 17 Hwy
0776	1	13 City / 18 Hwy
0777	1	12 City / 17 Hwy
0778	1	19 City / 30 Hwy
0779	1	19 City / 30 Hwy
0780	1	17 City / 27 Hwy
0781	1	13 City / 17 Hwy
0782	1	13 City / 17 Hwy
0783	1	13 City / 17 Hwy
0784	1	22 City / 31 Hwy
0785	1	19 City / 26 Hwy
0786	1	19 City / 26 Hwy
0787	1	18 City / 25 Hwy
0788	1	17 City / 23 Hwy
0789	1	17 City / 23 Hwy
0790	1	17 City / 25 Hwy
0791	1	21 City / 30 Hwy
0792	1	30 City / 42 Hwy
0793	1	21 City / 28 Hwy
0794	1	21 City / 30 Hwy
0795	1	18 City / 24 Hwy
0796	1	18 City / 24 Hwy
0797	1	17 City / 22 Hwy
0798	1	17 City / 22 Hwy
0799	1	17 City / 22 Hwy
0800	1	18 City / 25 Hwy
0801	1	17 City / 23 Hwy
0802	1	17 City / 23 Hwy
0803	0	<NULL>
0804	0	<NULL>
0805	0	<NULL>
0806	0	<NULL>
0807	0	<NULL>
0808	0	<NULL>
0809	0	<NULL>
0810	0	<NULL>
0811	0	<NULL>
0812	0	<NULL>
0813	0	<NULL>
0814	0	<NULL>
0815	0	<NULL>
0816	0	<NULL>
0817	0	<NULL>
0818	0	<NULL>
0819	0	<NULL>
0820	0	<NULL>
0821	0	<NULL>
0822	0	<NULL>
0823	0	<NULL>
0824	0	<NULL>
0825	0	<NULL>
0826	1	17 City / 23 Hwy
0827	1	17 City / 23 Hwy
0828	1	17 City / 22 Hwy
0829	1	17 City / 22 Hwy
0830	1	15 City / 22 Hwy
0831	1	15 City / 22 Hwy
0832	1	14 City / 20 Hwy
0833	1	14 City / 20 Hwy
0834	1	14 City / 20 Hwy
0835	0	<NULL>
0836	0	<NULL>
0837	1	21 City / 30 Hwy
0838	1	21 City / 30 Hwy
0839	1	19 City / 26 Hwy
0840	1	16 City / 24 Hwy
0841	1	18 City / 27 Hwy
0842	1	18 City / 27 Hwy
0843	1	19 City / 28 Hwy
0844	1	19 City / 28 Hwy
0845	1	15 City / 22 Hwy
0846	1	15 City / 22 Hwy
0847	1	15 City / 22 Hwy
