auto	carquotes	price
0141	1	MSRP: $78,425
0142	1	MSRP: $73,345
0143	1	MSRP: $19,999
0144	1	MSRP: $24,699
0145	1	MSRP: $28,299
0146	1	MSRP: $32,099
0147	1	MSRP: $23,999
0148	1	MSRP: $15,195
0149	1	MSRP: $17,495
0150	1	MSRP: $19,495
0151	1	MSRP: $17,895
0152	1	MSRP: $19,895
0153	1	MSRP: $20,895
0154	1	MSRP: $37,195
0155	1	MSRP: $25,795
0156	1	MSRP: $27,795
0157	1	MSRP: $19,495
0158	1	MSRP: $21,695
0159	1	MSRP: $21,699
0160	1	MSRP: $29,999
0161	1	MSRP: $21,599
0162	1	MSRP: $17,890
0163	1	MSRP: $19,190
0164	1	MSRP: $33,590
0165	1	MSRP: $38,990
0166	1	MSRP: $35,790
0167	1	MSRP: $22,240
0168	1	MSRP: $23,940
0169	1	MSRP: $26,390
0170	1	MSRP: $29,250
0171	1	MSRP: $20,495
0172	1	MSRP: $21,695
0173	1	MSRP: $24,195
0174	1	MSRP: $26,495
0175	1	MSRP: $29,995
0176	1	MSRP: $24,195
0177	1	MSRP: $27,995
0178	1	MSRP: $18,495
0179	1	MSRP: $18,495
0180	1	MSRP: $19,495
0181	1	MSRP: $25,495
0182	1	MSRP: $27,995
0183	1	MSRP: $27,995
0184	1	MSRP: $28,995
0185	1	MSRP: $28,995
0186	1	MSRP: $33,995
0187	1	MSRP: $37,345
0188	1	MSRP: $37,345
0189	1	MSRP: $18,995
0190	1	MSRP: $19,995
0191	1	MSRP: $19,995
0192	1	MSRP: $20,995
0193	1	MSRP: $19,995
0194	1	MSRP: $20,995
0195	1	MSRP: $25,495
0196	1	MSRP: $27,995
0197	1	MSRP: $28,995
0198	1	MSRP: $35,995
0199	1	MSRP: $20,995
0200	1	MSRP: $24,995
0201	1	MSRP: $25,995
0202	1	MSRP: $28,295
0203	1	MSRP: $25,295
0204	1	MSRP: $21,995
0205	1	MSRP: $25,295
0206	1	MSRP: $21,995
0207	1	MSRP: $24,195
0208	1	MSRP: $29,195
0209	1	MSRP: $31,495
0210	1	MSRP: $31,495
0211	1	MSRP: $25,495
0212	1	MSRP: $24,495
0213	1	MSRP: $24,495
0214	1	MSRP: $32,495
0215	1	MSRP: $32,495
0216	1	MSRP: $32,495
0217	1	MSRP: $32,495
0218	1	MSRP: $35,795
0219	1	MSRP: $35,795
0220	1	MSRP: $26,495
0221	1	MSRP: $21,495
0222	1	MSRP: $25,995
0223	1	MSRP: $27,795
0224	1	MSRP: $30,295
0225	1	MSRP: $20,695
0226	1	MSRP: $21,895
0227	1	MSRP: $17,495
0228	1	MSRP: $18,495
0229	1	MSRP: $18,495
0230	1	MSRP: $19,495
0231	1	MSRP: $26,995
0232	1	MSRP: $18,995
0233	1	MSRP: $24,995
0234	1	MSRP: $28,495
0235	1	MSRP: $18,995
0236	1	MSRP: $19,995
0237	1	MSRP: $22,995
0238	1	MSRP: $29,995
0239	1	MSRP: $36,995
0240	1	MSRP: $38,795
0241	1	MSRP: $36,995
0242	1	MSRP: $32,995
0243	1	MSRP: $19,995
0244	1	MSRP: $27,995
0245	1	MSRP: $29,995
0246	1	MSRP: $24,995
0247	1	MSRP: $25,995
0248	1	MSRP: $22,490
0249	1	MSRP: $23,485
0250	1	MSRP: $22,495
0251	1	MSRP: $22,990
0252	1	MSRP: $22,990
0253	1	MSRP: $23,490
0254	1	MSRP: $25,990
0255	1	MSRP: $27,990
0256	1	MSRP: $30,990
0257	1	MSRP: $32,987
0258	1	MSRP: $28,990
0259	1	MSRP: $24,295
0260	1	MSRP: $28,995
0261	1	MSRP: $22,995
0262	1	MSRP: $30,995
0263	1	MSRP: $25,290
0264	1	MSRP: $25,290
0265	1	MSRP: $25,795
0266	1	MSRP: $26,290
0267	1	MSRP: $28,990
0268	1	MSRP: $31,990
0269	1	MSRP: $33,990
0270	1	MSRP: $37,995
0271	1	MSRP: $35,615
0272	1	MSRP: $38,730
0273	1	MSRP: $37,615
0274	1	MSRP: $44,095
0275	1	MSRP: $33,070
0276	1	MSRP: $33,765
0277	1	MSRP: $29,730
0278	1	MSRP: $26,245
0279	1	MSRP: $26,245
0280	1	MSRP: $26,245
0281	1	MSRP: $26,245
0282	1	MSRP: $28,745
0283	1	MSRP: $28,745
0284	1	MSRP: $43,995
0285	1	MSRP: $35,515
0286	1	MSRP: $38,630
0287	1	MSRP: $27,085
0288	1	MSRP: $31,820
0289	1	MSRP: $26,245
0290	1	MSRP: $29,230
0291	1	MSRP: $30,930
0292	1	MSRP: $34,830
0293	1	MSRP: $35,730
0294	1	MSRP: $35,960
0295	1	MSRP: $30,915
0296	1	MSRP: $33,485
0297	1	MSRP: $35,680
0298	1	MSRP: $39,205
0299	1	MSRP: $35,525
0300	1	MSRP: $46,000
0301	1	MSRP: $54,470
0302	1	MSRP: $52,345
0303	1	MSRP: $35,100
0304	1	MSRP: $32,145
0305	1	MSRP: $33,315
0306	1	MSRP: $35,775
0307	1	MSRP: $39,890
0308	1	MSRP: $59,010
0309	1	MSRP: $65,380
0310	1	MSRP: $110,000
0311	1	MSRP: $39,375
0312	1	MSRP: $43,235
0313	1	MSRP: $44,825
0314	1	MSRP: $35,175
0315	1	MSRP: $45,600
0316	1	MSRP: $47,550
0317	1	MSRP: $57,450
0318	1	MSRP: $34,650
0319	1	MSRP: $37,420
0320	1	MSRP: $33,315
0321	1	MSRP: $35,775
0322	1	MSRP: $37,595
0323	1	MSRP: $70,925
0324	1	MSRP: $76,905
0325	1	MSRP: $37,625
0326	1	MSRP: $68,405
0327	1	MSRP: $37,520
0328	1	MSRP: $36,580
0329	1	MSRP: $22,940
0330	1	MSRP: $27,770
0331	1	MSRP: $26,780
0332	1	MSRP: $37,910
0333	1	MSRP: $42,840
0334	1	MSRP: $50,090
0335	1	MSRP: $52,890
0336	1	MSRP: $16,650
0337	1	MSRP: $21,190
0338	1	MSRP: $17,750
0339	1	MSRP: $18,800
0340	1	MSRP: $21,980
0341	1	MSRP: $21,520
0342	1	MSRP: $26,170
0343	1	MSRP: $22,810
0344	1	MSRP: $22,770
0345	1	MSRP: $28,430
0346	1	MSRP: $24,240
0347	1	MSRP: $28,930
0348	1	MSRP: $25,510
0349	1	MSRP: $25,470
0350	1	MSRP: $31,080
0351	1	MSRP: $18,960
0352	1	MSRP: $23,050
0353	1	MSRP: $22,550
0354	1	MSRP: $22,260
0355	1	MSRP: $24,550
0356	1	MSRP: $32,780
0357	1	MSRP: $33,720
0358	1	MSRP: $33,530
0359	1	MSRP: $39,140
0360	1	MSRP: $27,840
0361	1	MSRP: $31,190
0362	1	MSRP: $35,490
0363	1	MSRP: $29,840
0364	1	MSRP: $33,190
0365	1	MSRP: $37,490
0366	1	MSRP: $42,600
0367	1	MSRP: $30,900
0368	1	MSRP: $41,350
0369	1	MSRP: $23,220
0370	1	MSRP: $25,660
0371	1	MSRP: $17,450
0372	1	MSRP: $17,450
0373	1	MSRP: $18,850
0374	1	MSRP: $28,820
0375	1	MSRP: $29,370
0376	1	MSRP: $31,470
0377	1	MSRP: $36,750
0378	1	MSRP: $34,350
0379	1	MSRP: $9,990
0380	1	MSRP: $11,240
0381	1	MSRP: $13,520
0382	1	MSRP: $23,850
0383	1	MSRP: $25,840
0384	1	MSRP: $30,100
0385	1	MSRP: $38,620
0386	1	MSRP: $40,870
0387	1	MSRP: $42,170
0388	1	MSRP: $31,710
0389	1	MSRP: $22,940
0390	1	MSRP: $23,440
0391	1	MSRP: $26,780
0392	1	MSRP: $52,490
0393	1	MSRP: $43,110
0394	1	MSRP: $13,990
0395	1	MSRP: $17,450
0396	1	MSRP: $20,440
0397	1	MSRP: $21,490
0398	1	MSRP: $24,920
0399	1	MSRP: $24,190
0400	1	MSRP: $26,660
0401	1	MSRP: $27,710
0402	1	MSRP: $27,620
0403	1	MSRP: $26,620
0404	1	MSRP: $24,990
0405	1	MSRP: $29,060
0406	1	MSRP: $29,820
0407	1	MSRP: $80,790
0408	1	MSRP: $30,690
0409	1	MSRP: $33,410
0410	1	MSRP: $33,410
0411	1	MSRP: $28,340
0412	1	MSRP: $30,460
0413	1	MSRP: $37,110
0414	1	MSRP: $29,940
0415	1	MSRP: $32,060
0416	1	MSRP: $38,710
0417	1	MSRP: $29,540
0418	1	MSRP: $20,460
0419	1	MSRP: $22,050
0420	1	MSRP: $21,710
0421	1	MSRP: $23,300
0422	1	MSRP: $24,060
0423	1	MSRP: $16,600
0424	1	MSRP: $18,560
0425	1	MSRP: $19,580
0426	1	MSRP: $20,080
0427	1	MSRP: $26,540
0428	1	MSRP: $28,540
0429	1	MSRP: $34,270
0430	1	MSRP: $29,090
0431	1	MSRP: $30,740
0432	1	MSRP: $36,640
0433	1	MSRP: $36,470
0434	1	MSRP: $39,340
0435	1	MSRP: $12,090
0436	1	MSRP: $16,780
0437	1	MSRP: $23,550
0438	1	MSRP: $25,720
0439	1	MSRP: $24,800
0440	1	MSRP: $30,700
0441	1	MSRP: $17,595
0442	1	MSRP: $18,999
0443	1	MSRP: $28,950
0444	1	MSRP: $19,199
0445	1	MSRP: $23,199
0446	1	MSRP: $22,799
0447	1	MSRP: $18,999
0448	1	MSRP: $21,899
0449	1	MSRP: $23,999
0450	1	MSRP: $25,349
0451	1	MSRP: $16,999
0452	1	MSRP: $17,749
0453	1	MSRP: $18,899
0454	1	MSRP: $18,499
0455	1	MSRP: $19,249
0456	1	MSRP: $17,699
0457	1	MSRP: $17,520
0458	1	MSRP: $23,245
0459	1	MSRP: $25,125
0460	1	MSRP: $28,850
0461	1	MSRP: $19,099
0462	1	MSRP: $20,749
0463	1	MSRP: $22,199
0464	1	MSRP: $25,699
0465	1	MSRP: $18,999
0466	1	MSRP: $20,599
0467	1	MSRP: $22,599
0468	1	MSRP: $23,699
0469	1	MSRP: $24,499
0470	1	MSRP: $25,599
0471	1	MSRP: $22,899
0472	1	MSRP: $17,299
0473	1	MSRP: $15,899
0474	1	MSRP: $17,999
0475	1	MSRP: $18,749
0476	1	MSRP: $19,999
0477	1	MSRP: $38,820
0478	1	MSRP: $41,120
0479	1	MSRP: $23,250
0480	1	MSRP: $26,650
0481	1	MSRP: $28,250
0482	1	MSRP: $23,250
0483	1	MSRP: $24,865
0484	1	MSRP: $17,695
0485	1	MSRP: $29,245
0486	1	MSRP: $40,210
0487	1	MSRP: $33,575
0488	1	MSRP: $42,830
0489	1	MSRP: $23,385
0490	1	MSRP: $16,865
0491	1	MSRP: $30,710
0492	1	MSRP: $32,680
0493	1	MSRP: $43,325
0494	1	MSRP: $23,255
0495	1	MSRP: $24,865
0496	1	MSRP: $28,735
0497	1	MSRP: $22,800
0498	1	MSRP: $15,365
0499	1	MSRP: $16,865
0500	1	MSRP: $21,165
0501	1	MSRP: $26,255
0502	1	MSRP: $28,775
0503	1	MSRP: $27,930
0504	1	MSRP: $42,605
0505	1	MSRP: $40,065
0506	1	MSRP: $39,765
0507	1	MSRP: $41,565
0508	1	MSRP: $38,365
0509	1	MSRP: $41,420
0510	1	MSRP: $41,320
0511	1	MSRP: $41,565
0512	1	MSRP: $40,165
0513	1	MSRP: $43,220
0514	1	MSRP: $50,965
0515	1	MSRP: $62,165
0516	1	MSRP: $62,165
0517	1	MSRP: $62,165
0518	1	MSRP: $46,680
0519	1	MSRP: $54,825
0520	1	MSRP: $47,180
0521	1	MSRP: $65,710
0522	1	MSRP: $71,825
0523	1	MSRP: $84,845
0524	1	MSRP: $68,265
0525	1	MSRP: $74,380
0526	1	MSRP: $61,885
0527	1	MSRP: $67,075
0528	1	MSRP: $69,465
0529	1	MSRP: $88,140
0530	1	MSRP: $38,260
0531	1	MSRP: $42,450
0532	1	MSRP: $44,895
0533	1	MSRP: $40,755
0534	1	MSRP: $46,095
0535	1	MSRP: $52,360
0536	1	MSRP: $47,280
0537	1	MSRP: $50,820
0538	1	MSRP: $35,165
0539	1	MSRP: $37,865
0540	1	MSRP: $46,865
0541	1	MSRP: $41,065
0542	1	MSRP: $38,265
0543	1	MSRP: $41,565
0544	1	MSRP: $43,365
0545	1	MSRP: $40,165
0546	1	MSRP: $45,265
0547	1	MSRP: $50,565
0548	1	MSRP: $60,720
0549	1	MSRP: $51,525
0550	1	MSRP: $71,160
0551	1	MSRP: $71,215
0552	1	MSRP: $74,205
0553	1	MSRP: $84,180
0554	1	MSRP: $67,600
0555	1	MSRP: $66,610
0556	1	MSRP: $69,000
0557	1	MSRP: $73,425
0558	1	MSRP: $33,830
0559	1	MSRP: $37,410
0560	1	MSRP: $44,395
0561	1	MSRP: $39,905
0562	1	MSRP: $45,495
0563	1	MSRP: $48,040
0564	1	MSRP: $49,315
0565	1	MSRP: $50,385
0566	1	MSRP: $55,945
0567	1	MSRP: $9,985
0568	1	MSRP: $15,345
0569	1	MSRP: $16,145
0570	1	MSRP: $14,695
0571	1	MSRP: $25,495
0572	1	MSRP: $30,095
0573	1	MSRP: $14,830
0574	1	MSRP: $17,080
0575	1	MSRP: $15,995
0576	1	MSRP: $58,000
0577	1	MSRP: $43,000
0578	1	MSRP: $23,500
0579	1	MSRP: $26,750
0580	1	MSRP: $26,750
0581	1	MSRP: $21,695
0582	1	MSRP: $27,895
0583	1	MSRP: $30,695
0584	1	MSRP: $26,595
0585	1	MSRP: $20,195
0586	1	MSRP: $25,295
0587	1	MSRP: $22,595
0588	1	MSRP: $25,295
0589	1	MSRP: $24,145
0590	1	MSRP: $27,045
0591	1	MSRP: $21,845
0592	1	MSRP: $24,695
0593	1	MSRP: $28,145
0594	1	MSRP: $34,195
0595	1	MSRP: $30,045
0596	1	MSRP: $11,995
0597	1	MSRP: $12,995
0598	1	MSRP: $16,195
0599	1	MSRP: $16,995
0600	1	MSRP: $13,645
0601	1	MSRP: $14,645
0602	1	MSRP: $24,970
0603	1	MSRP: $29,570
0604	1	MSRP: $16,895
0605	1	MSRP: $15,995
0606	1	MSRP: $33,000
0607	1	MSRP: $39,500
0608	1	MSRP: $22,000
0609	1	MSRP: $25,000
0610	1	MSRP: $31,000
0611	1	MSRP: $28,500
0612	1	MSRP: $30,500
0613	1	MSRP: $32,000
0614	1	MSRP: $23,750
0615	1	MSRP: $21,695
0616	1	MSRP: $26,645
0617	1	MSRP: $27,895
0618	1	MSRP: $30,295
0619	1	MSRP: $18,700
0620	1	MSRP: $19,900
0621	1	MSRP: $22,050
0622	1	MSRP: $24,550
0623	1	MSRP: $26,550
0624	1	MSRP: $18,995
0625	1	MSRP: $19,995
0626	1	MSRP: $21,495
0627	1	MSRP: $30,045
0628	1	MSRP: $48,160
0629	1	MSRP: $49,200
0630	1	MSRP: $40,995
0631	1	MSRP: $34,330
0632	1	MSRP: $59,320
0633	1	MSRP: $62,220
0634	1	MSRP: $46,925
0635	1	MSRP: $48,160
0636	1	MSRP: $41,270
0637	1	MSRP: $43,160
0638	1	MSRP: $46,195
0639	1	MSRP: $36,115
0640	1	MSRP: $57,115
0641	1	MSRP: $46,925
0642	1	MSRP: $21,275
0643	1	MSRP: $21,275
0644	1	MSRP: $21,275
0645	1	MSRP: $21,275
0646	1	MSRP: $24,080
0647	1	MSRP: $28,480
0648	1	MSRP: $20,490
0649	1	MSRP: $21,165
0650	1	MSRP: $24,710
0651	1	MSRP: $29,060
0652	1	MSRP: $19,275
0653	1	MSRP: $28,250
0654	1	MSRP: $26,225
0655	1	MSRP: $30,375
0656	1	MSRP: $24,820
0657	1	MSRP: $29,420
0658	1	MSRP: $31,415
0659	1	MSRP: $20,475
0660	1	MSRP: $16,495
0661	1	MSRP: $37,650
0662	1	MSRP: $39,685
0663	1	MSRP: $35,685
0664	1	MSRP: $22,490
0665	1	MSRP: $19,720
0666	1	MSRP: $20,770
0667	1	MSRP: $21,175
0668	1	MSRP: $24,890
0669	1	MSRP: $17,300
0670	1	MSRP: $17,470
0671	1	MSRP: $18,300
0672	1	MSRP: $26,880
0673	1	MSRP: $31,995
0674	1	MSRP: $28,545
0675	1	MSRP: $34,895
0676	1	MSRP: $29,995
0677	1	MSRP: $34,600
0678	1	MSRP: $37,490
0679	1	MSRP: $43,145
0680	1	MSRP: $19,385
0681	1	MSRP: $26,850
0682	1	MSRP: $23,625
0683	1	MSRP: $24,915
0684	1	MSRP: $23,960
0685	1	MSRP: $25,555
0686	1	MSRP: $26,305
0687	1	MSRP: $25,360
0688	1	MSRP: $28,235
0689	1	MSRP: $39,580
0690	1	MSRP: $40,205
0691	1	MSRP: $56,730
0692	1	MSRP: $43,430
0693	1	MSRP: $52,915
0694	1	MSRP: $52,915
0695	1	MSRP: $59,955
0696	1	MSRP: $59,955
0697	1	MSRP: $25,700
0698	1	MSRP: $39,645
0699	1	MSRP: $25,545
0700	1	MSRP: $30,750
0701	1	MSRP: $16,365
0702	1	MSRP: $20,220
0703	1	MSRP: $21,350
0704	1	MSRP: $21,315
0705	1	MSRP: $25,735
0706	1	MSRP: $24,390
0707	1	MSRP: $25,045
0708	1	MSRP: $25,925
0709	1	MSRP: $24,450
0710	1	MSRP: $27,525
0711	1	MSRP: $24,265
0712	1	MSRP: $26,410
0713	1	MSRP: $26,275
0714	1	MSRP: $27,665
0715	1	MSRP: $36,860
0716	1	MSRP: $29,245
0717	1	MSRP: $39,395
0718	1	MSRP: $29,130
0719	1	MSRP: $29,470
0720	1	MSRP: $30,715
0721	1	MSRP: $39,920
0722	1	MSRP: $31,705
0723	1	MSRP: $27,925
0724	1	MSRP: $29,750
0725	1	MSRP: $12,855
0726	1	MSRP: $13,155
0727	1	MSRP: $13,955
0728	1	MSRP: $37,765
0729	1	MSRP: $35,700
0730	1	MSRP: $30,915
0731	1	MSRP: $39,800
0732	1	MSRP: $27,500
0733	1	MSRP: $27,945
0734	1	MSRP: $35,285
0735	1	MSRP: $19,395
0736	1	MSRP: $20,445
0737	1	MSRP: $25,840
0738	1	MSRP: $25,925
0739	1	MSRP: $22,165
0740	1	MSRP: $23,165
0741	1	MSRP: $20,850
0742	1	MSRP: $21,900
0743	1	MSRP: $15,450
0744	1	MSRP: $20,150
0745	1	MSRP: $17,750
0746	1	MSRP: $24,180
0747	1	MSRP: $27,750
0748	1	MSRP: $33,220
0749	1	MSRP: $31,650
0750	1	MSRP: $34,670
0751	1	MSRP: $34,900
0752	1	MSRP: $41,220
0753	1	MSRP: $22,110
0754	1	MSRP: $22,800
0755	1	MSRP: $23,800
0756	1	MSRP: $26,600
0757	1	MSRP: $28,070
0758	1	MSRP: $21,400
0759	1	MSRP: $21,675
0760	1	MSRP: $24,775
0761	1	MSRP: $26,055
0762	1	MSRP: $26,705
0763	1	MSRP: $32,620
0764	1	MSRP: $34,620
0765	1	MSRP: $37,720
0766	1	MSRP: $42,255
0767	1	MSRP: $49,140
0768	1	MSRP: $32,485
0769	1	MSRP: $29,235
0770	1	MSRP: $24,540
0771	1	MSRP: $26,215
0772	1	MSRP: $24,690
0773	1	MSRP: $16,230
0774	1	MSRP: $16,245
0775	1	MSRP: $19,305
0776	1	MSRP: $25,460
0777	1	MSRP: $22,475
0778	1	MSRP: $23,215
0779	1	MSRP: $24,770
0780	1	MSRP: $25,650
0781	1	MSRP: $23,455
0782	1	MSRP: $25,655
0783	1	MSRP: $24,985
0784	1	MSRP: $23,785
0785	1	MSRP: $28,230
0786	1	MSRP: $25,940
0787	1	MSRP: $39,395
0788	1	MSRP: $27,705
0789	1	MSRP: $28,705
0790	1	MSRP: $28,035
0791	1	MSRP: $29,035
0792	1	MSRP: $28,990
0793	1	MSRP: $38,620
0794	1	MSRP: $39,920
0795	1	MSRP: $31,280
0796	1	MSRP: $42,455
0797	1	MSRP: $27,725
0798	1	MSRP: $12,605
0799	1	MSRP: $13,405
0800	1	MSRP: $13,705
0801	1	MSRP: $13,365
0802	1	MSRP: $14,165
0803	1	MSRP: $36,110
0804	1	MSRP: $39,160
0805	1	MSRP: $49,310
0806	1	MSRP: $14,100
0807	1	MSRP: $12,115
0808	1	MSRP: $15,365
0809	1	MSRP: $36,650
0810	1	MSRP: $22,680
0811	1	MSRP: $23,880
0812	1	MSRP: $27,225
0813	1	MSRP: $30,945
0814	1	MSRP: $39,035
0815	1	MSRP: $42,585
0816	1	MSRP: $42,585
0817	1	MSRP: $43,585
0818	1	MSRP: $19,290
0819	1	MSRP: $25,085
0820	1	MSRP: $26,275
0821	1	MSRP: $22,590
0822	1	MSRP: $23,845
0823	1	MSRP: $28,135
0824	1	MSRP: $28,975
0825	1	MSRP: $58,600
0826	1	MSRP: $53,600
0827	1	MSRP: $53,600
0828	1	MSRP: $58,600
0829	1	MSRP: $48,950
0830	1	MSRP: $48,950
0831	1	MSRP: $109,800
0832	1	MSRP: $54,790
0833	1	MSRP: $54,790
0834	1	MSRP: $74,305
0835	1	MSRP: $74,305
0836	1	MSRP: $18,175
0837	1	MSRP: $18,175
0838	1	MSRP: $22,745
0839	1	MSRP: $23,910
0840	1	MSRP: $30,070
0841	1	MSRP: $25,980
0842	1	MSRP: $29,300
0843	1	MSRP: $42,180
0844	1	MSRP: $29,300
0845	1	MSRP: $30,185
0846	1	MSRP: $30,185
0847	1	MSRP: $29,910
0848	1	MSRP: $37,975
0849	1	MSRP: $28,710
0850	1	MSRP: $28,710
0851	1	MSRP: $29,220
0852	1	MSRP: $44,505
0853	1	MSRP: $32,265
0854	1	MSRP: $44,505
0855	1	MSRP: $34,380
0856	1	MSRP: $18,720
0857	1	MSRP: $19,720
0858	1	MSRP: $19,030
0859	1	MSRP: $25,605
0860	1	MSRP: $22,825
0861	1	MSRP: $25,235
0862	1	MSRP: $27,015
0863	1	MSRP: $29,610
0864	1	MSRP: $28,140
0865	1	MSRP: $32,275
0866	1	MSRP: $38,430
0867	1	MSRP: $30,585
0868	1	MSRP: $33,380
0869	1	MSRP: $38,730
0870	1	MSRP: $29,375
0871	1	MSRP: $30,360
0872	1	MSRP: $33,225
0873	1	MSRP: $34,615
0874	1	MSRP: $41,775
0875	1	MSRP: $44,670
0876	1	MSRP: $41,490
0877	1	MSRP: $47,820
0878	1	MSRP: $31,160
0879	1	MSRP: $30,920
0880	1	MSRP: $38,385
0881	1	MSRP: $33,100
0882	1	MSRP: $41,340
0883	1	MSRP: $36,800
0884	1	MSRP: $30,340
0885	1	MSRP: $33,295
0886	1	MSRP: $44,060
0887	1	MSRP: $39,055
0888	1	MSRP: $35,710
0889	1	MSRP: $32,240
0890	1	MSRP: $32,045
0891	1	MSRP: $44,255
0892	1	MSRP: $35,000
0893	1	MSRP: $36,035
0894	1	MSRP: $31,795
0895	1	MSRP: $31,760
0896	1	MSRP: $34,945
0897	1	MSRP: $39,360
0898	1	MSRP: $34,955
0899	1	MSRP: $42,510
0900	1	MSRP: $36,210
0901	1	MSRP: $32,030
0902	1	MSRP: $35,230
0903	1	MSRP: $39,620
0904	1	MSRP: $38,380
0905	1	MSRP: $36,520
0906	1	MSRP: $41,605
0907	1	MSRP: $41,795
0908	1	MSRP: $38,340
0909	1	MSRP: $44,945
0910	1	MSRP: $44,755
0911	1	MSRP: $33,965
0912	1	MSRP: $33,565
0913	1	MSRP: $33,760
0914	1	MSRP: $36,715
0915	1	MSRP: $44,950
0916	1	MSRP: $53,170
0917	1	MSRP: $47,280
0918	1	MSRP: $46,025
0919	1	MSRP: $42,420
0920	1	MSRP: $41,630
0921	1	MSRP: $53,540
0922	1	MSRP: $37,975
0923	1	MSRP: $33,865
0924	1	MSRP: $39,975
0925	1	MSRP: $38,775
0926	1	MSRP: $45,905
0927	1	MSRP: $51,855
0928	1	MSRP: $14,250
0929	1	MSRP: $11,965
0930	1	MSRP: $30,945
