auto	cars	price
0270	1	$120,250 &#150; $134,200
0271	1	$1,380,000
0272	1	$366,000 &#150; $455,500
0273	1	$372,500 &#150; $412,000
0274	1	$417,000 &#150; $506,500
0275	1	$423,500 &#150; $462,000
0276	1	$14,180 &#150; $15,635
0277	1	$21,700 &#150; $33,035
0278	1	$28,805 &#150; $34,215
0279	1	$15,345 &#150; $22,145
0280	1	$23,340
0281	1	$21,990 &#150; $33,340
0282	1	$29,135 &#150; $34,535
0283	1	$15,800 &#150; $23,010
0284	1	$18,510 &#150; $23,240
0285	1	$18,600 &#150; $28,540
0286	1	$19,990 &#150; $29,320
0287	1	$23,700
0288	1	$22,960 &#150; $28,400
0289	1	$23,110 &#150; $28,550
0290	1	$26,645 &#150; $32,140
0291	1	$26,795 &#150; $32,290
0292	1	$20,405 &#150; $28,915
0293	1	$20,555 &#150; $29,065
0294	0	<NULL>
0295	1	$34,600 &#150; $36,600
0296	1	$183,000
0297	1	$48,050 &#150; $85,750
0298	1	$48,850 &#150; $87,600
0299	1	$50,240 &#150; $51,740
0300	1	$33,600 &#150; $57,350
0301	1	$33,990 &#150; $58,200
0302	1	$110,400 &#150; $207,170
0303	1	$113,150 &#150; $209,300
0304	1	$72,400 &#150; $97,950
0305	1	$74,000 &#150; $99,050
0306	1	$104,000 &#150; $122,700
0307	1	$105,750 &#150; $124,450
0308	1	$59,950 &#150; $82,850
0309	1	$60,950 &#150; $84,450
0310	1	$35,500 &#150; $37,500
0311	1	$45,700 &#150; $91,050
0312	1	$46,490 &#150; $92,590
0313	1	$49,300 &#150; $50,800
0314	1	$87,950 &#150; $201,150
0315	1	$91,000 &#150; $209,000
0316	1	$102,600 &#150; $198,750
0317	1	$46,900 &#150; $66,650
0318	1	$47,650 &#150; $53,300
0319	1	$35,995 &#150; $44,550
0320	1	$35,995 &#150; $44,550
0321	1	$28,180
0322	1	$21,860 &#150; $28,480
0323	1	$29,810
0324	1	$29,935
0325	1	$23,560 &#150; $27,380
0326	1	$23,565 &#150; $27,385
0327	1	$30,105 &#150; $31,855
0328	1	$30,115 &#150; $31,865
0329	1	$22,025 &#150; $28,645
0330	1	$28,345
0331	1	$29,480 &#150; $37,180
0332	1	$285,000
0333	1	$363,000
0334	1	$340,990
0335	1	$177,600 &#150; $202,500
0336	1	$177,600 &#150; $202,500
0337	1	$182,800 &#150; $207,700
0338	0	<NULL>
0339	1	$201,500 &#150; $231,400
0340	1	$201,500 &#150; $231,400
0341	1	$267,000 &#150; $280,400
0342	0	<NULL>
0343	0	<NULL>
0344	1	$18,800 &#150; $24,250
0345	1	$19,400 &#150; $24,850
0346	1	$20,450
0347	1	$21,100
0348	1	$22,300 &#150; $27,150
0349	1	$23,000 &#150; $27,850
0350	1	$24,050
0351	1	$24,800
0352	1	$19,190 &#150; $27,590
0353	1	$18,495 &#150; $22,995
0354	1	$20,699 &#150; $28,089
0355	1	$18,999 &#150; $29,089
0356	1	$27,999 &#150; $31,499
0357	1	$28,299 &#150; $33,599
0358	1	$21,599 &#150; $23,999
0359	1	$21,599 &#150; $23,999
0360	1	$14,790 &#150; $27,190
0361	1	$15,195 &#150; $27,695
0362	1	$33,590 &#150; $40,990
0363	1	$33,995 &#150; $37,195
0364	1	$16,995 &#150; $28,095
0365	1	$20,840 &#150; $29,250
0366	1	$21,995 &#150; $27,795
0367	1	$18,960 &#150; $24,550
0368	1	$32,780 &#150; $33,720
0369	1	$30,410 &#150; $40,870
0370	1	$19,900 &#150; $30,100
0371	1	$19,900 &#150; $30,100
0372	1	$26,780
0373	1	$26,780
0374	1	$37,510 &#150; $52,490
0375	1	$37,910 &#150; $52,890
0376	1	$13,990 &#150; $20,440
0377	1	$17,540 &#150; $29,820
0378	1	$17,750 &#150; $31,630
0379	1	$80,790 &#150; $83,040
0380	1	$84,060
0381	1	$30,690 &#150; $33,410
0382	1	$30,810 &#150; $33,530
0383	1	$28,340 &#150; $38,710
0384	1	$28,500 &#150; $39,140
0385	1	$27,540 &#150; $42,300
0386	1	$27,840 &#150; $42,600
0387	1	$20,460 &#150; $25,310
0388	1	$20,810 &#150; $25,660
0389	1	$15,420 &#150; $20,080
0390	1	$15,520 &#150; $20,080
0391	1	$26,540 &#150; $39,340
0392	1	$26,820 &#150; $39,620
0393	1	$9,990 &#150; $16,780
0394	1	$9,990 &#150; $16,900
0395	1	$22,750 &#150; $30,700
0396	1	$23,850 &#150; $29,050
0397	0	<NULL>
0398	1	$16,100 &#150; $20,875
0399	1	$47,600 &#150; $61,200
0400	1	$67,700
0401	1	$89,800 &#150; $132,600
0402	1	$46,700 &#150; $104,800
0403	1	$77,800 &#150; $143,800
0404	1	$77,800 &#150; $172,100
0405	1	$47,600 &#150; $58,000
0406	1	$45,500 &#150; $126,300
0407	1	$51,400 &#150; $61,500
0408	1	$51,400 &#150; $61,500
0409	1	$74,400 &#150; $135,300
0410	1	$245,000
0411	1	$408,000
0412	1	$443,000
0413	1	$380,000 &#150; $450,000
0414	1	$49,165
0415	1	$28,900 &#150; $45,080
0416	1	$38,525 &#150; $49,565
0417	0	<NULL>
0418	1	$18,275
0419	1	$17,100 &#150; $18,620
0420	1	$15,850 &#150; $18,320
0421	1	$16,000
0422	1	$14,900
0423	1	$15,045 &#150; $16,905
0424	1	$11,990 &#150; $20,990
0425	1	$33,995 &#150; $37,345
0426	1	$19,995 &#150; $29,995
0427	1	$19,995 &#150; $31,395
0428	1	$22,995 &#150; $30,995
0429	1	$20,295 &#150; $28,495
0430	1	$20,495 &#150; $29,995
0431	1	$17,495 &#150; $28,995
0432	1	$17,495 &#150; $28,995
0433	1	$19,995
0434	1	$23,195 &#150; $31,495
0435	1	$30,495 &#150; $35,795
0436	1	$30,495 &#150; $35,795
0437	1	$88,900
0438	1	$85,500
0439	1	$88,900
0440	1	$89,000
0441	1	$44,550
0442	1	$49,600 &#150; $51,900
0443	1	$59,700 &#150; $62,000
0444	1	$36,750 &#150; $41,050
0445	1	$29,150 &#150; $34,200
0446	1	$29,450 &#150; $34,500
0447	1	$36,050 &#150; $40,350
0448	1	$36,350 &#150; $40,650
0449	1	$33,150 &#150; $45,000
0450	1	$33,650 &#150; $45,500
0451	1	$40,600 &#150; $51,200
0452	1	$41,100 &#150; $58,700
0453	1	$45,950 &#150; $48,250
0454	1	$51,250 &#150; $55,950
0455	1	$56,000
0456	1	$56,000 &#150; $58,300
0457	1	$60,600
0458	1	$63,900 &#150; $66,200
0459	1	$63,900 &#150; $66,200
0460	1	$78,450 &#150; $85,550
0461	1	$70,650 &#150; $75,050
0462	1	$82,000 &#150; $88,900
0463	1	$82,500 &#150; $89,400
0464	1	$137,000
0465	1	$137,000
0466	1	$102,300 &#150; $106,200
0467	1	$122,000 &#150; $128,900
0468	1	$55,400 &#150; $67,050
0469	1	$55,400 &#150; $67,050
0470	1	$85,700
0471	1	$102,350 &#150; $108,150
0472	1	$38,850
0473	1	$47,600 &#150; $56,300
0474	1	$46,300 &#150; $58,900
0475	1	$85,700
0476	1	$56,500 &#150; $67,200
0477	1	$57,000 &#150; $67,700
0478	1	$89,200
0479	1	$46,000 &#150; $51,900
0480	1	$46,500 &#150; $61,550
0481	1	$18,999 &#150; $26,899
0482	1	$17,520 &#150; $28,850
0483	1	$17,595 &#150; $28,950
0484	1	$19,099 &#150; $27,199
0485	1	$19,199 &#150; $24,849
0486	1	$18,999 &#150; $27,149
0487	1	$13,359 &#150; $19,999
0488	1	$13,499 &#150; $18,899
0489	1	$109,000 &#150; $128,500
0490	1	$109,000 &#150; $128,500
0491	1	$27,500 &#150; $39,800
0492	1	$32,445 &#150; $35,685
0493	1	$19,395 &#150; $29,045
0494	1	$26,150
0495	1	$21,400 &#150; $28,070
0496	1	$24,460 &#150; $39,970
0497	1	$29,675 &#150; $39,835
0498	1	$27,945 &#150; $35,285
0499	1	$19,720 &#150; $29,370
0500	1	$26,575
0501	1	$15,450 &#150; $18,960
0502	1	$24,180 &#150; $25,770
0503	1	$25,290 &#150; $26,880
0504	1	$25,855 &#150; $34,670
0505	1	$27,390 &#150; $36,345
0506	1	$34,900 &#150; $41,220
0507	1	$37,490 &#150; $43,145
0508	1	$65,970
0509	1	$68,020
0510	1	$16,700 &#150; $20,920
0511	1	$21,650 &#150; $28,320
0512	1	$21,675 &#150; $27,985
0513	1	$21,925 &#150; $28,235
0514	1	$39,030 &#150; $59,405
0515	1	$39,580 &#150; $59,955
0516	1	$24,540 &#150; $37,865
0517	1	$15,345 &#150; $27,250
0518	1	$16,365 &#150; $27,525
0519	1	$23,455 &#150; $42,455
0520	1	$23,935 &#150; $42,455
0521	1	$26,275 &#150; $29,550
0522	1	$26,475 &#150; $29,750
0523	1	$12,605 &#150; $13,365
0524	1	$12,855 &#150; $13,615
0525	1	$60,565
0526	1	$17,620 &#150; $22,760
0527	1	$23,465 &#150; $24,070
0528	1	$14,995 &#150; $24,730
0529	1	$44,450 &#150; $57,500
0530	1	$27,760 &#150; $33,080
0531	1	$28,200 &#150; $39,990
0532	1	$32,390 &#150; $35,950
0533	1	$32,940 &#150; $36,100
0534	1	$17,965 &#150; $23,435
0535	1	$23,690 &#150; $29,605
0536	1	$18,295 &#150; $24,990
0537	1	$18,690 &#150; $27,390
0538	1	$27,195 &#150; $28,755
0539	1	$25,900 &#150; $42,500
0540	1	$23,200 &#150; $33,500
0541	1	$23,485 &#150; $34,775
0542	1	$40,850 &#150; $44,350
0543	1	$32,395 &#150; $41,550
0544	1	$24,600 &#150; $26,950
0545	1	$37,700
0546	1	$24,100 &#150; $26,300
0547	1	$40,000
0548	1	$39,950
0549	1	$26,200 &#150; $31,350
0550	1	$27,750 &#150; $31,150
0551	1	$39,200 &#150; $50,950
0552	1	$36,950 &#150; $40,700
0553	1	$28,700 &#150; $33,050
0554	1	$29,000 &#150; $32,850
0555	1	$33,550 &#150; $38,000
0556	1	$32,400 &#150; $41,550
0557	1	$37,950 &#150; $42,800
0558	1	$32,000 &#150; $38,000
0559	1	$37,700 &#150; $47,500
0560	1	$38,200 &#150; $48,000
0561	1	$26,245 &#150; $28,745
0562	1	$26,245 &#150; $33,015
0563	1	$35,515 &#150; $43,995
0564	1	$35,615 &#150; $44,095
0565	1	$26,995 &#150; $33,765
0566	1	$29,230 &#150; $42,515
0567	1	$29,730 &#150; $44,460
0568	1	$35,165 &#150; $50,965
0569	1	$33,830 &#150; $51,860
0570	1	$35,165 &#150; $50,565
0571	1	$46,280 &#150; $59,475
0572	1	$46,680 &#150; $59,875
0573	1	$62,495 &#150; $84,125
0574	1	$63,160 &#150; $84,790
0575	1	$65,100 &#150; $86,680
0576	1	$65,765 &#150; $87,345
0577	1	$61,420 &#150; $69,000
0578	1	$61,885 &#150; $69,465
0579	1	$73,425 &#150; $87,725
0580	1	$73,840 &#150; $88,140
0581	1	$33,830 &#150; $52,360
0582	1	$46,845 &#150; $70,335
0583	1	$47,280 &#150; $56,380
0584	1	$22,680 &#150; $33,945
0585	1	$16,275 &#150; $21,975
0586	1	$40,280
0587	1	$22,615 &#150; $29,970
0588	1	$27,965 &#150; $44,255
0589	1	$28,805 &#150; $44,950
0590	1	$35,725 &#150; $48,865
0591	1	$36,110 &#150; $49,310
0592	1	$11,965 &#150; $15,365
0593	1	$11,965 &#150; $15,365
0594	1	$22,680 &#150; $39,650
0595	1	$14,990 &#150; $24,535
0596	1	$16,985 &#150; $28,915
0597	1	$17,045 &#150; $28,975
0598	1	$48,930 &#150; $106,880
0599	1	$48,950 &#150; $109,800
0600	1	$22,745 &#150; $30,070
0601	1	$24,655 &#150; $32,070
0602	1	$24,860 &#150; $32,970
0603	1	$25,775 &#150; $39,630
0604	1	$25,980 &#150; $39,835
0605	1	$29,095 &#150; $41,975
0606	1	$29,300 &#150; $46,375
0607	1	$18,720 &#150; $26,255
0608	1	$18,720 &#150; $19,720
0609	1	$24,290 &#150; $29,930
0610	1	$24,390 &#150; $29,930
0611	1	$21,825 &#150; $26,955
0612	1	$21,975 &#150; $27,015
0613	1	$20,850 &#150; $41,775
0614	1	$20,850 &#150; $41,775
0615	1	$38,340 &#150; $47,820
0616	1	$38,340 &#150; $47,820
0617	1	$27,465 &#150; $43,405
0618	1	$27,685 &#150; $43,920
0619	1	$40,635 &#150; $55,625
0620	1	$40,925 &#150; $56,170
0621	1	$37,280 &#150; $53,615
0622	1	$37,570 &#150; $54,160
0623	1	$50,720 &#150; $53,525
0624	1	$50,735 &#150; $53,540
0625	1	$29,224 &#150; $39,985
0626	1	$29,224 &#150; $39,975
0627	1	$19,245 &#150; $23,745
0628	1	$30,160 &#150; $38,660
0629	1	$27,260 &#150; $37,415
0630	1	$38,010 &#150; $44,865
0631	1	$18,275
0632	1	$20,120 &#150; $32,710
0633	1	$25,175 &#150; $35,875
0634	1	$27,215 &#150; $43,150
0635	1	$34,680 &#150; $50,645
0636	1	$20,230 &#150; $21,730
0637	1	$19,245 &#150; $23,545
0638	1	$16,880 &#150; $19,995
0639	1	$16,880 &#150; $20,085
0640	1	$23,245 &#150; $41,230
0641	1	$24,590 &#150; $34,445
0642	1	$25,170 &#150; $32,320
0643	1	$22,755 &#150; $33,180
0644	1	$23,110 &#150; $33,535
0645	1	$29,195 &#150; $43,795
0646	1	$21,800 &#150; $28,360
0647	1	$21,800 &#150; $30,595
0648	1	$20,845 &#150; $29,745
0649	1	$22,245 &#150; $34,440
0650	1	$21,590 &#150; $28,500
0651	1	$22,245 &#150; $28,995
0652	1	$20,610 &#150; $42,650
0653	1	$20,610 &#150; $41,585
0654	1	$27,545 &#150; $44,980
0655	1	$35,120 &#150; $51,465
0656	1	$90,255 &#150; $91,005
