auto	motortrend	model
0053	1	2010 Porsche 911 GT3 Coupe
0054	1	2010 Porsche 911 Turbo Coupe
0055	1	2010 Porsche 911 Turbo Convertible
0056	1	2011 Porsche Boxster Spyder Convertible
0057	1	2011 Porsche Cayenne Base Sport Utility
0058	1	2011 Porsche Cayenne S Sport Utility
0059	1	2011 Porsche Cayenne S Hybrid Sport Utility
0060	1	2011 Porsche Cayenne Turbo Sport Utility
0061	1	2010 Porsche Cayenne Base Sport Utility
0062	1	2010 Porsche Cayenne S Sport Utility
0063	1	2010 Porsche Cayenne GTS Sport Utility
0064	1	2010 Porsche Cayenne Turbo Sport Utility
0065	1	2010 Porsche Cayenne Turbo S Sport Utility
0066	1	2010 Porsche Panamera S Hatchback
0067	1	2010 Porsche Panamera 4S Hatchback
0068	1	2010 Porsche Panamera Turbo Hatchback
0069	1	2011 Buick Enclave CX Sport Utility
0070	1	2011 Buick Enclave CXL Sport Utility
0071	1	2011 Buick LaCrosse CX Sedan
0072	1	2011 Buick LaCrosse CXL Sedan
0073	1	2011 Buick LaCrosse CXS Sedan
0074	1	2010 Buick LaCrosse CX Sedan
0075	1	2010 Buick LaCrosse CXL Sedan
0076	1	2010 Buick LaCrosse CXS Sedan
0077	1	2011 Buick Lucerne CX Sedan
0078	1	2011 Buick Lucerne CXL Sedan
0079	1	2011 Buick Lucerne CXL Premium Sedan
0080	1	2011 Buick Lucerne Super Sedan
0081	1	2011 Buick Regal CXL Sedan
0082	1	2010 Lamborghini Gallardo LP560-4 Coupe
0083	1	2010 Lamborghini Gallardo Spyder Convertible
0084	1	2010 Lamborghini Murcielago LP640 Coupe
0085	1	2010 Lamborghini Murcielago LP640 Roadster
0086	1	2010 Lamborghini Murcielago LP670-4 SV Coupe
0087	1	2010 Rolls Royce Ghost Base Sedan
0088	1	2010 Rolls Royce Phantom Base Sedan
0089	1	2010 Rolls Royce Phantom Coupe Coupe
0090	1	2010 Rolls Royce Phantom Drophead Coupe Convertible
0091	1	2010 Rolls Royce Phantom EWB Sedan
0092	1	2011 Cadillac CTS Base Sedan
0093	1	2011 Cadillac CTS Base Coupe
0094	1	2011 Cadillac CTS Luxury Sedan
0095	1	2011 Cadillac CTS Base Wagon
0096	1	2011 Cadillac CTS Performance Sedan
0097	1	2011 Cadillac CTS Luxury Wagon
0098	1	2011 Cadillac CTS Performance Wagon
0099	1	2011 Cadillac CTS Performance Coupe
0100	1	2011 Cadillac CTS Premium Coupe
0101	1	2011 Cadillac CTS Premium Sedan
0102	1	2011 Cadillac CTS Premium Wagon
0103	1	2010 Cadillac CTS Performance Sedan
0104	1	2010 Cadillac CTS Premium Sedan
0105	1	2011 Cadillac CTS-V Base Sedan
0106	1	2011 Cadillac CTS-V Base Coupe
0107	1	2010 Cadillac CTS-V Base Sedan
0108	1	2011 Cadillac DTS Base Sedan
0109	1	2011 Cadillac DTS Luxury Sedan
0110	1	2011 Cadillac DTS Premium Sedan
0111	1	2011 Cadillac DTS Platinum Sedan
0112	1	2011 Cadillac Escalade Base Sport Utility
0113	1	2011 Cadillac Escalade ESV Sport Utility
0114	1	2011 Cadillac Escalade Hybrid Sport Utility
0115	1	2011 Cadillac Escalade EXT Base Crew Cab Pickup
0116	1	2011 Cadillac SRX Base Sport Utility
0117	1	2011 Cadillac SRX Luxury Collection Sport Utility
0118	1	2011 Cadillac SRX Performance Collection Sport Utility
0119	1	2011 Cadillac SRX Premium Collection Sport Utility
0120	1	2011 Cadillac STS Luxury Sport Sedan
0121	1	2011 Cadillac STS Luxury Sedan
0122	1	2011 Cadillac STS Premium Sedan
0123	1	2011 Land Rover LR2 Base Sport Utility
0124	1	2010 Land Rover LR2 HSE Sport Utility
0125	1	2011 Land Rover LR4 Base Sport Utility
0126	1	2010 Land Rover LR4 Base Sport Utility
0127	1	2011 Land Rover Range Rover HSE Sport Utility
0128	1	2011 Land Rover Range Rover Supercharged Sport Utility
0129	1	2011 Land Rover Range Rover Sport HSE Sport Utility
0130	1	2011 Land Rover Range Rover Sport Supercharged Sport Utility
0131	1	2010 Land Rover Range Rover Sport HSE Sport Utility
0132	1	2011 MINI Cooper Base Hatchback
0133	1	2011 MINI Cooper Clubman Hatchback
0134	1	2011 MINI Cooper S Hatchback
0135	1	2011 MINI Cooper Clubman S Hatchback
0136	1	2011 MINI Cooper Base Convertible
0137	1	2011 MINI Cooper S Convertible
0138	1	2011 MINI Cooper John Cooper Works Hatchback
0139	1	2011 MINI Cooper John Cooper Works Clubman Hatchback
0140	1	2011 MINI Cooper John Cooper Works Convertible
0141	1	2010 MINI Cooper Base Hatchback
0142	1	2010 MINI Cooper Clubman Hatchback
0143	1	2010 MINI Cooper S Hatchback
0144	1	2010 MINI Cooper Clubman S Hatchback
0145	1	2010 MINI Cooper Base Convertible
0146	1	2010 MINI Cooper S Convertible
0147	1	2010 MINI Cooper John Cooper Works Hatchback
0148	1	2010 MINI Cooper John Cooper Works Clubman Hatchback
0149	1	2010 MINI Cooper John Cooper Works Convertible
0150	1	2010 Saab 9-3 2.0T Sedan
0151	1	2010 Saab 9-3 2.0T SportCombi Wagon
0152	1	2010 Saab 9-3 Aero Sedan
0153	1	2010 Saab 9-3 Aero SportCombi Wagon
0154	1	2010 Saab 9-3 2.0T Convertible
0155	1	2010 Saab 9-3 Aero Convertible
0156	1	2009 Saab 9-3 Aero Convertible
0157	1	2010 Saab 9-3X Base Wagon
0158	1	2011 Saab 9-5 Turbo4 Sedan
0159	1	2011 Saab 9-5 Turbo6 Sedan
0160	1	2011 Saab 9-5 Aero Sedan
0161	1	2010 Saab 9-5 Aero Sedan
0162	1	2011 Chevrolet Avalanche LS Crew Cab Pickup
0163	1	2011 Chevrolet Avalanche LT Crew Cab Pickup
0164	1	2011 Chevrolet Avalanche LTZ Crew Cab Pickup
0165	1	2010 Chevrolet Avalanche LS Crew Cab Pickup
0166	1	2010 Chevrolet Avalanche LT Crew Cab Pickup
0167	1	2010 Chevrolet Avalanche LTZ Crew Cab Pickup
0168	1	2011 Chevrolet Aveo LS Sedan
0169	1	2011 Chevrolet Aveo LT Sedan
0170	1	2011 Chevrolet Aveo5 LS Hatchback
0171	1	2011 Chevrolet Aveo5 LT Hatchback
0172	1	2010 Chevrolet Camaro LS Coupe
0173	1	2010 Chevrolet Camaro LT Coupe
0174	1	2010 Chevrolet Camaro SS Coupe
0175	1	2011 Chevrolet Colorado Base Regular Cab Pickup
0176	1	2011 Chevrolet Colorado Base Extended Cab Pickup
0177	1	2011 Chevrolet Colorado Base Crew Cab Pickup
0178	1	2011 Chevrolet Corvette Base Coupe
0179	1	2011 Chevrolet Corvette Base Convertible
0180	1	2011 Chevrolet Corvette Grand Sport Coupe
0181	1	2011 Chevrolet Corvette Grand Sport Convertible
0182	1	2011 Chevrolet Corvette Z06 Coupe
0183	1	2011 Chevrolet Corvette ZR1 Coupe
0184	1	2011 Chevrolet Cruze LS Sedan
0185	1	2011 Chevrolet Cruze LT Sedan
0186	1	2011 Chevrolet Cruze Eco Sedan
0187	1	2011 Chevrolet Cruze LTZ Sedan
0188	1	2011 Chevrolet Equinox LS Sport Utility
0189	1	2011 Chevrolet Equinox LT Sport Utility
0190	1	2011 Chevrolet Equinox LTZ Sport Utility
0191	1	2010 Chevrolet Equinox LS Sport Utility
0192	1	2010 Chevrolet Equinox LT Sport Utility
0193	1	2010 Chevrolet Equinox LTZ Sport Utility
0194	1	2011 Chevrolet Express 1500 LT Passenger Van
0195	1	2011 Chevrolet Express 2500 LT Passenger Van
0196	1	2011 Chevrolet HHR LS Sport Utility
0197	1	2011 Chevrolet HHR Panel LS Sport Utility
0198	1	2011 Chevrolet HHR LT Sport Utility
0199	1	2010 Chevrolet HHR LS Sport Utility
0200	1	2010 Chevrolet HHR Panel LS Sport Utility
0201	1	2010 Chevrolet HHR LT Sport Utility
0202	1	2010 Chevrolet HHR Panel LT Sport Utility
0203	1	2010 Chevrolet HHR SS Sport Utility
0204	1	2011 Chevrolet Impala LS Sedan
0205	1	2011 Chevrolet Impala LT Sedan
0206	1	2011 Chevrolet Impala LTZ Sedan
0207	1	2011 Chevrolet Malibu LS Sedan
0208	1	2011 Chevrolet Malibu LT Sedan
0209	1	2011 Chevrolet Malibu LTZ Sedan
0210	1	2010 Chevrolet Malibu LS Sedan
0211	1	2010 Chevrolet Malibu LT Sedan
0212	1	2010 Chevrolet Malibu LTZ Sedan
0213	1	2011 Chevrolet Silverado 1500 Short Bed Regular Cab Pickup
0214	1	2011 Chevrolet Silverado 1500 Long Bed Regular Cab Pickup
0215	1	2011 Chevrolet Silverado 1500 Standard Bed Extended Cab Pickup
0216	1	2011 Chevrolet Silverado 1500 Long Bed Extended Cab Pickup
0217	1	2011 Chevrolet Silverado 1500 Hybrid Crew Cab Pickup
0218	1	2011 Chevrolet Silverado 1500 Crew Cab Pickup
0219	1	2010 Chevrolet Silverado 1500 Short Bed Regular Cab Pickup
0220	1	2010 Chevrolet Silverado 1500 Long Bed Extended Cab Pickup
0221	1	2010 Chevrolet Silverado 1500 Hybrid Crew Cab Pickup
0222	1	2011 Chevrolet Suburban 1500 LS Sport Utility
0223	1	2011 Chevrolet Suburban 1500 LT Sport Utility
0224	1	2011 Chevrolet Suburban 1500 LTZ Sport Utility
0225	1	2011 Lexus ES350 Base Sedan
0226	1	2010 Lexus ES350 Base Sedan
0227	1	2011 Lexus GS350 Base Sedan
0228	1	2010 Lexus GS350 Base Sedan
0229	1	2011 Lexus GS450H Base Sedan
0230	1	2010 Lexus GS450H Base Sedan
0231	1	2011 Lexus GS460 Base Sedan
0232	1	2010 Lexus GS460 Base Sedan
0233	1	2011 Lexus GX460 Base Sport Utility
0234	1	2011 Lexus GX460 Premium Sport Utility
0235	1	2010 Lexus GX460 Base Sport Utility
0236	1	2011 Lexus HS250h Base Sedan
0237	1	2011 Lexus HS250h Premium Sedan
0238	1	2010 Lexus HS250h Base Sedan
0239	1	2011 Lexus IS-F Base Sedan
0240	1	2010 Lexus IS-F Base Sedan
0241	1	2011 Lexus IS250 Base Sedan
0242	1	2011 Lexus IS250 C Convertible
0243	1	2010 Lexus IS250 Base Sedan
0244	1	2010 Lexus IS250 C Convertible
0245	1	2011 Lexus IS350 Base Sedan
0246	1	2011 Lexus IS350 C Convertible
0247	1	2010 Lexus IS350 Base Sedan
0248	1	2010 Lexus IS350 C Convertible
0249	1	2011 Lexus LS460 Base Sedan
0250	1	2011 Lexus LS460 L Sedan
0251	1	2010 Lexus LS460 Base Sedan
0252	1	2010 Lexus LS460 L Sedan
0253	1	2011 Lexus LS600h L Sedan
0254	1	2010 Lexus LS600h L Sedan
0255	1	2011 Lexus LX570 Base Sport Utility
0256	1	2010 Lexus LX570 Base Sport Utility
0257	1	2011 Lexus RX350 Base Sport Utility
0258	1	2010 Lexus RX350 Base Sport Utility
0259	1	2011 Lexus RX450h Base Sport Utility
0260	1	2010 Lexus RX450h Base Sport Utility
0261	1	2010 Lexus SC430 Base Convertible
0262	1	2010 Chrysler 300 Touring Sedan
0263	1	2010 Chrysler 300 Touring Plus Sedan
0264	1	2010 Chrysler 300 S Sedan
0265	1	2010 Chrysler 300 Limited Sedan
0266	1	2010 Chrysler 300 C Sedan
0267	1	2010 Chrysler 300 SRT8 Sedan
0268	1	2009 Chrysler Aspen Hybrid Sport Utility
0269	1	2010 Chrysler PT Cruiser Classic Wagon
0270	1	2010 Chrysler Sebring Touring Sedan
0271	1	2010 Chrysler Sebring Limited Sedan
0272	1	2010 Chrysler Sebring LX Convertible
0273	1	2010 Chrysler Sebring Touring Convertible
0274	1	2010 Chrysler Sebring Limited Convertible
0275	1	2011 Chrysler Town & Country LX Passenger Minivan
0276	1	2011 Chrysler Town & Country Touring Passenger Minivan
0277	1	2011 Chrysler Town & Country Touring-L Passenger Minivan
0278	1	2011 Chrysler Town & Country Limited Passenger Minivan
0279	1	2010 Chrysler Town & Country LX Passenger Minivan
0280	1	2010 Chrysler Town & Country Touring Passenger Minivan
0281	1	2010 Chrysler Town & Country Touring Plus Passenger Minivan
0282	1	2010 Chrysler Town & Country Limited Passenger Minivan
0283	1	2011 Lincoln MKS Base Sedan
0284	1	2011 Lincoln MKS EcoBoost Sedan
0285	1	2011 Lincoln MKT Base Sport Utility
0286	1	2011 Lincoln MKX Base Sport Utility
0287	1	2011 Lincoln MKZ Base Sedan
0288	1	2011 Lincoln MKZ Hybrid Sedan
0289	1	2011 Lincoln Town Car Signature Limited Sedan
0290	1	2011 Lincoln Town Car Signature L Sedan
0291	1	2011 Scion TC Base Hatchback
0292	1	2011 Scion xB Base Hatchback
0293	1	2011 Scion xD Base Hatchback
0294	1	2011 Dodge Avenger Express Sedan
0295	1	2011 Dodge Avenger Mainstreet Sedan
0296	1	2011 Dodge Avenger LUX Sedan
0297	1	2010 Dodge Avenger SXT Sedan
0298	1	2010 Dodge Avenger Express Sedan
0299	1	2010 Dodge Avenger R/T Sedan
0300	1	2011 Dodge Caliber Express Wagon
0301	1	2011 Dodge Caliber Heat Wagon
0302	1	2011 Dodge Caliber Mainstreet Wagon
0303	1	2011 Dodge Caliber Uptown Wagon
0304	1	2011 Dodge Caliber Rush Wagon
0305	1	2010 Dodge Caliber Express Wagon
0306	1	2010 Dodge Caliber Heat Wagon
0307	1	2010 Dodge Caliber Mainstreet Wagon
0308	1	2010 Dodge Caliber Uptown Wagon
0309	1	2010 Dodge Caliber Rush Wagon
0310	1	2011 Dodge Challenger SE Coupe
0311	1	2011 Dodge Challenger R/T Coupe
0312	1	2011 Dodge Challenger SRT8 Coupe
0313	1	2010 Dodge Challenger SE Coupe
0314	1	2010 Dodge Challenger R/T Coupe
0315	1	2010 Dodge Challenger SRT8 Coupe
0316	1	2011 Dodge Charger Base Sedan
0317	1	2011 Dodge Charger RT Sedan
0318	1	2010 Dodge Charger SE Sedan
0319	1	2010 Dodge Charger SXT Sedan
0320	1	2010 Dodge Charger Rallye Sedan
0321	1	2010 Dodge Charger RT Sedan
0322	1	2010 Dodge Charger SRT8 Sedan
0323	1	2011 Dodge Dakota ST Extended Cab Pickup
0324	1	2011 Dodge Dakota Big Horn Extended Cab Pickup
0325	1	2011 Dodge Dakota Big Horn Crew Cab Pickup
0326	1	2011 Dodge Dakota Laramie Crew Cab Pickup
0327	1	2011 Dodge Dakota TRX Crew Cab Pickup
0328	1	2011 Dodge Durango Express Sport Utility
0329	1	2011 Dodge Durango Crew Sport Utility
0330	1	2011 Dodge Durango Citadel Sport Utility
0331	1	2009 Dodge Durango SE Sport Utility
0332	1	2009 Dodge Durango SLT Sport Utility
0333	1	2009 Dodge Durango Limited Hybrid Sport Utility
0334	1	2010 Dodge Grand Caravan Cargo Passenger Minivan
0335	1	2010 Dodge Grand Caravan SE Passenger Minivan
0336	1	2010 Dodge Grand Caravan Hero Passenger Minivan
0337	1	2010 Dodge Grand Caravan SXT Passenger Minivan
0338	1	2010 Dodge Grand Caravan Crew Passenger Minivan
0339	1	2010 Dodge Journey SE Sport Utility
0340	1	2010 Dodge Journey SXT Sport Utility
0341	1	2010 Dodge Journey R/T Sport Utility
0342	1	2011 Dodge Nitro Heat Sport Utility
0343	1	2011 Dodge Nitro Detonator Sport Utility
0344	1	2011 Dodge Nitro Shock Sport Utility
0345	1	2010 Dodge Nitro SE Sport Utility
0346	1	2010 Dodge Nitro Heat Sport Utility
0347	1	2010 Dodge Nitro Detonator Sport Utility
0348	1	2010 Dodge Nitro Shock Sport Utility
0349	1	2011 Dodge Ram 1500 Base Short Bed Regular Cab Pickup
0350	1	2011 Dodge Ram 1500 Base Long Bed Regular Cab Pickup
0351	1	2011 Dodge Ram 1500 Base Extended Cab Pickup
0352	1	2011 Dodge Ram 1500 Base Crew Cab Pickup
0353	1	2010 Dodge Viper SRT-10 Convertible
0354	1	2010 Dodge Viper SRT-10 Coupe
0355	1	2010 Lotus Elise Base Coupe
0356	1	2010 Lotus Elise SC Coupe
0357	1	2010 Lotus Exige S 240 Coupe
0358	1	2010 Lotus Exige S 260 Coupe
0359	1	2010 Smart fortwo pure Coupe
0360	1	2010 Smart fortwo passion Coupe
0361	1	2010 Smart fortwo passion Convertible
0362	1	2011 Aston Martin DB9 Base Coupe
0363	1	2011 Aston Martin DB9 Volante Convertible
0364	1	2010 Aston Martin DB9 Base Coupe
0365	1	2010 Aston Martin DB9 Volante Convertible
0366	1	2011 Aston Martin DBS Base Coupe
0367	1	2011 Aston Martin DBS Volante Convertible
0368	1	2010 Aston Martin DBS Base Coupe
0369	1	2010 Aston Martin DBS Volante Convertible
0370	1	2011 Aston Martin Rapide Base Sedan
0371	1	2010 Aston Martin Rapide Base Sedan
0372	1	2011 Aston Martin V12 Vantage Base Coupe
0373	1	2011 Aston Martin V8 Vantage Base Coupe
0374	1	2011 Aston Martin V8 Vantage Base Roadster
0375	1	2010 Aston Martin V8 Vantage Base Coupe
0376	1	2010 Aston Martin V8 Vantage Base Roadster
0377	1	2010 Ferrari California Base Convertible
0378	1	2010 Maserati GranTurismo Base Coupe
0379	1	2010 Maserati GranTurismo S Coupe
0380	1	2010 Maserati GranTurismo Base Convertible
0381	1	2010 Maserati Quattroporte Base Sedan
0382	1	2010 Maserati Quattroporte S Sedan
0383	1	2011 Subaru Forester 2.5X Sport Utility
0384	1	2011 Subaru Forester 2.5X Premium Sport Utility
0385	1	2011 Subaru Forester 2.5X Limited Sport Utility
0386	1	2011 Subaru Forester 2.5XT Premium Sport Utility
0387	1	2011 Subaru Forester 2.5X Touring Sport Utility
0388	1	2011 Subaru Forester 2.5XT Touring Sport Utility
0389	1	2011 Subaru Impreza 2.5i Sedan
0390	1	2011 Subaru Impreza 2.5i Wagon
0391	1	2011 Subaru Impreza 2.5i Premium Sedan
0392	1	2011 Subaru Impreza 2.5i Premium Wagon
0393	1	2011 Subaru Impreza Outback Sport Wagon
0394	1	2011 Subaru Impreza WRX Sedan
0395	1	2011 Subaru Impreza WRX Wagon
0396	1	2011 Subaru Impreza WRX Premium Sedan
0397	1	2011 Subaru Impreza WRX Premium Wagon
0398	1	2011 Subaru Impreza WRX Limited Wagon
0399	1	2011 Subaru Impreza WRX Limited Sedan
0400	1	2011 Subaru Impreza WRX STi Sedan
0401	1	2011 Subaru Impreza WRX STi Wagon
0402	1	2011 Subaru Impreza WRX STi Limited Sedan
0403	1	2011 Subaru Legacy 2.5i Sedan
0404	1	2011 Subaru Legacy 2.5i Premium Sedan
0405	1	2011 Subaru Legacy 3.6R Sedan
0406	1	2011 Subaru Legacy 2.5i Limited Sedan
0407	1	2011 Subaru Legacy 3.6R Premium Sedan
0408	1	2011 Subaru Legacy 3.6R Limited Sedan
0409	1	2011 Subaru Legacy 2.5 GT Limited Sedan
0410	1	2010 Subaru Legacy 2.5i Sedan
0411	1	2010 Subaru Legacy 2.5i Premium Sedan
0412	1	2010 Subaru Legacy 2.5i Limited Sedan
0413	1	2010 Subaru Legacy 3.6R Sedan
0414	1	2010 Subaru Legacy 2.5 GT Premium Sedan
0415	1	2010 Subaru Legacy 3.6R Limited Sedan
0416	1	2010 Subaru Legacy 2.5 GT Limited Sedan
0417	1	2011 Subaru Outback 2.5i Wagon
0418	1	2011 Subaru Outback 2.5i Premium Wagon
0419	1	2011 Subaru Outback 3.6R Wagon
0420	1	2011 Subaru Outback 2.5i Limited Wagon
0421	1	2011 Subaru Outback 3.6R Premium Wagon
0422	1	2011 Subaru Outback 3.6R Limited Wagon
0423	1	2011 Subaru Tribeca Premium Sport Utility
0424	1	2011 Subaru Tribeca Limited Sport Utility
0425	1	2011 Subaru Tribeca Touring Sport Utility
0426	1	2010 Subaru Tribeca Premium Sport Utility
0427	1	2010 Subaru Tribeca Limited Sport Utility
0428	1	2010 Subaru Tribeca Touring Sport Utility
0429	1	2011 Ford E-150 Base Cargo Van
0430	1	2011 Ford E-150 Base Extended Cargo Van
0431	1	2011 Ford E-150 XL Passenger Van
0432	1	2011 Ford E-150 XLT Passenger Van
0433	1	2011 Ford E-250 Base Cargo Van
0434	1	2011 Ford E-250 Base Extended Cargo Van
0435	1	2011 Ford E-350 Base Cargo Van
0436	1	2011 Ford E-350 Base Extended Cargo Van
0437	1	2011 Ford E-350 XL Passenger Van
0438	1	2011 Ford E-350 XL Extended Passenger Van
0439	1	2011 Ford E-350 XLT Passenger Van
0440	1	2011 Ford E-350 XLT Extended Passenger Van
0441	1	2011 Ford Edge SE Sport Utility
0442	1	2011 Ford Edge SEL Sport Utility
0443	1	2011 Ford Edge Limited Sport Utility
0444	1	2011 Ford Edge Sport Sport Utility
0445	1	2011 Ford Escape XLS Sport Utility
0446	1	2011 Ford Escape XLT Sport Utility
0447	1	2011 Ford Escape Limited Sport Utility
0448	1	2011 Ford Escape Hybrid Sport Utility
0449	1	2011 Ford Escape Hybrid Limited Sport Utility
0450	1	2011 Ford Expedition XL Sport Utility
0451	1	2011 Ford Expedition XLT Sport Utility
0452	1	2011 Ford Expedition Limited Sport Utility
0453	1	2011 Ford Expedition King Ranch Sport Utility
0454	1	2011 Ford Fiesta S Sedan
0455	1	2011 Ford Fiesta SE Sedan
0456	1	2011 Ford Fiesta SE Hatchback
0457	1	2011 Ford Fiesta SEL Sedan
0458	1	2011 Ford Fiesta SES Hatchback
0459	1	2011 Ford Flex SE Sport Utility
0460	1	2011 Ford Flex SEL Sport Utility
0461	1	2011 Ford Flex SEL EcoBoost Sport Utility
0462	1	2011 Ford Flex Limited Sport Utility
0463	1	2011 Ford Flex Titanium Sport Utility
0464	1	2011 Ford Flex Limited EcoBoost Sport Utility
0465	1	2011 Ford Flex Titanium EcoBoost Sport Utility
0466	1	2011 Ford Focus S Sedan
0467	1	2011 Ford Focus SE Sedan
0468	1	2011 Ford Focus SES Sedan
0469	1	2011 Ford Focus SEL Sedan
0470	1	2010 Maybach 57 Base Sedan
0471	1	2010 Maybach 57 S Sedan
0472	1	2010 Maybach 57 Zeppelin Sedan
0473	1	2011 Suzuki Equator Base Extended Cab Pickup
0474	1	2011 Suzuki Equator Premium Extended Cab Pickup
0475	1	2011 Suzuki Equator Sport Short Bed Crew Cab Pickup
0476	1	2011 Suzuki Equator Sport Extended Cab Pickup
0477	1	2011 Suzuki Equator Sport Long Bed Crew Cab Pickup
0478	1	2011 Suzuki Equator RMZ-4 Short Bed Crew Cab Pickup
0479	1	2010 Suzuki Equator Base Extended Cab Pickup
0480	1	2010 Suzuki Equator Comfort Extended Cab Pickup
0481	1	2010 Suzuki Equator Premium Extended Cab Pickup
0482	1	2010 Suzuki Equator Sport Extended Cab Pickup
0483	1	2010 Suzuki Equator Sport Short Bed Crew Cab Pickup
0484	1	2010 Suzuki Equator Sport Long Bed Crew Cab Pickup
0485	1	2010 Suzuki Equator RMZ-4 Short Bed Crew Cab Pickup
0486	1	2011 Suzuki Grand Vitara Base Sport Utility
0487	1	2011 Suzuki Grand Vitara Premium Sport Utility
0488	1	2011 Suzuki Grand Vitara Limited Sport Utility
0489	1	2011 Suzuki Kizashi S Sedan
0490	1	2011 Suzuki Kizashi SE Sedan
0491	1	2011 Suzuki Kizashi GTS Sedan
0492	1	2011 Suzuki Kizashi SLS Sedan
0493	1	2011 Suzuki SX4 Base Sedan
0494	1	2011 Suzuki SX4 LE Sedan
0495	1	2010 Suzuki SX4 Crossover Base Sport Utility
0496	1	2011 Suzuki SX4 Sport S Sedan
0497	1	2011 Suzuki SX4 Sport SE Sedan
0498	1	2011 Suzuki SX4 Sport GTS Sedan
0499	1	2011 GMC Acadia SL Sport Utility
0500	1	2011 GMC Acadia SLE Sport Utility
0501	1	2011 GMC Acadia SLT Sport Utility
0502	1	2011 GMC Acadia Denali Sport Utility
0503	1	2011 GMC Canyon Work Truck Regular Cab Pickup
0504	1	2011 GMC Canyon SLE Regular Cab Pickup
0505	1	2011 GMC Canyon Work Truck Extended Cab Pickup
0506	1	2011 GMC Canyon SLE Extended Cab Pickup
0507	1	2011 GMC Canyon SLE Crew Cab Pickup
0508	1	2011 GMC Canyon SLT Extended Cab Pickup
0509	1	2011 GMC Canyon SLT Crew Cab Pickup
0510	1	2011 GMC Savana 1500 Cargo Van
0511	1	2011 GMC Savana 1500 LS Passenger Van
0512	1	2011 GMC Savana 2500 LS Passenger Van
0513	1	2010 GMC Savana 1500 Cargo Van
0514	1	2011 GMC Sierra 1500 Short Bed Regular Cab Pickup
0515	1	2011 GMC Sierra 1500 Long Bed Regular Cab Pickup
0516	1	2011 GMC Sierra 1500 Short Bed Extended Cab Pickup
0517	1	2011 GMC Sierra 1500 Crew Cab Pickup
0518	1	2011 GMC Sierra 1500 Long Bed Extended Cab Pickup
0519	1	2011 GMC Sierra 1500 Hybrid Crew Cab Pickup
0520	1	2011 GMC Sierra 1500 Denali Crew Cab Pickup
0521	1	2010 GMC Sierra 1500 Long Bed Regular Cab Pickup
0522	1	2010 GMC Sierra 1500 Short Bed Extended Cab Pickup
0523	1	2010 GMC Sierra 1500 Standard Bed Extended Cab Pickup
0524	1	2010 GMC Sierra 1500 Long Bed Extended Cab Pickup
0525	1	2011 GMC Terrain SLE Sport Utility
0526	1	2011 GMC Terrain SLT Sport Utility
0527	1	2011 GMC Yukon SLE Sport Utility
0528	1	2011 GMC Yukon SLT Sport Utility
