auto	automotive	fuel_economy
0102	1	12 MPG city / 17 MPG highway
0103	1	13 MPG city / 18 MPG highway
0104	1	12 MPG city / 18 MPG highway
0105	1	27 MPG city / 35 MPG highway
0106	1	25 MPG city / 33 MPG highway
0107	1	29 MPG city / 37 MPG highway
0108	1	25 MPG city / 33 MPG highway
0109	1	27 MPG city / 35 MPG highway
0110	1	27 MPG city / 36 MPG highway
0111	1	27 MPG city / 36 MPG highway
0112	1	27 MPG city / 36 MPG highway
0113	1	25 MPG city / 33 MPG highway
0114	1	28 MPG city / 36 MPG highway
0115	1	25 MPG city / 33 MPG highway
0116	1	28 MPG city / 37 MPG highway
0117	1	25 MPG city / 33 MPG highway
0118	1	28 MPG city / 36 MPG highway
0119	1	26 MPG city / 34 MPG highway
0120	1	26 MPG city / 34 MPG highway
0121	1	26 MPG city / 34 MPG highway
0122	1	25 MPG city / 33 MPG highway
0123	1	20 MPG city / 29 MPG highway
0124	1	19 MPG city / 27 MPG highway
0125	1	17 MPG city / 27 MPG highway
0126	1	17 MPG city / 27 MPG highway
0127	1	21 MPG city / 31 MPG highway
0128	1	19 MPG city / 27 MPG highway
0129	1	19 MPG city / 27 MPG highway
0130	1	15 MPG city / 24 MPG highway
0131	1	19 MPG city / 29 MPG highway
0132	1	15 MPG city / 24 MPG highway
0133	1	19 MPG city / 29 MPG highway
0134	1	15 MPG city / 24 MPG highway
0135	1	17 MPG city / 27 MPG highway
0136	1	17 MPG city / 27 MPG highway
0137	1	20 MPG city / 33 MPG highway
0138	1	16 MPG city / 27 MPG highway
0139	1	17 MPG city / 27 MPG highway
0140	1	17 MPG city / 27 MPG highway
0141	1	17 MPG city / 27 MPG highway
0142	1	17 MPG city / 27 MPG highway
0143	1	19 MPG city / 27 MPG highway
0144	1	14 MPG city / 20 MPG highway
0145	1	12 MPG city / 16 MPG highway
0146	1	14 MPG city / 20 MPG highway
0147	1	11 MPG city / 16 MPG highway
0148	1	11 MPG city / 16 MPG highway
0149	1	11 MPG city / 16 MPG highway
0150	1	11 MPG city / 16 MPG highway
0151	1	11 MPG city / 16 MPG highway
0152	1	11 MPG city / 16 MPG highway
0153	1	16 MPG city / 23 MPG highway
0154	1	16 MPG city / 23 MPG highway
0155	1	16 MPG city / 23 MPG highway
0156	1	16 MPG city / 23 MPG highway
0157	1	16 MPG city / 23 MPG highway
0158	1	16 MPG city / 23 MPG highway
0159	1	21 MPG city / 29 MPG highway
0160	1	16 MPG city / 23 MPG highway
0161	1	27 MPG city / 35 MPG highway
0162	1	27 MPG city / 35 MPG highway
0163	1	27 MPG city / 34 MPG highway
0164	1	27 MPG city / 34 MPG highway
0165	1	14 MPG city / 22 MPG highway
0166	1	13 MPG city / 20 MPG highway
0167	1	14 MPG city / 22 MPG highway
0168	1	14 MPG city / 22 MPG highway
0169	1	13 MPG city / 20 MPG highway
0170	1	14 MPG city / 22 MPG highway
0171	1	27 MPG city / 35 MPG highway
0172	1	27 MPG city / 35 MPG highway
0173	1	27 MPG city / 34 MPG highway
0174	1	27 MPG city / 34 MPG highway
0175	1	22 MPG city / 33 MPG highway
0176	1	22 MPG city / 33 MPG highway
0177	1	22 MPG city / 33 MPG highway
0178	1	26 MPG city / 34 MPG highway
0179	1	22 MPG city / 33 MPG highway
0180	1	22 MPG city / 30 MPG highway
0181	1	22 MPG city / 33 MPG highway
0182	1	N/A MPG city / N/A MPG highway
0183	1	N/A MPG city / N/A MPG highway
0184	1	N/A MPG city / N/A MPG highway
0185	1	17 MPG city / 29 MPG highway
0186	1	16 MPG city / 24 MPG highway
0187	1	17 MPG city / 29 MPG highway
0188	1	11 MPG city / 16 MPG highway
0189	1	N/A MPG city / N/A MPG highway
0190	1	20 MPG city / 23 MPG highway
0191	1	N/A MPG city / N/A MPG highway
0192	1	11 MPG city / 16 MPG highway
0193	1	N/A MPG city / N/A MPG highway
0194	1	15 MPG city / 20 MPG highway
0195	1	N/A MPG city / N/A MPG highway
0196	1	10 MPG city / 14 MPG highway
0197	1	N/A MPG city / N/A MPG highway
0198	1	11 MPG city / 16 MPG highway
0199	1	N/A MPG city / N/A MPG highway
0200	1	N/A MPG city / N/A MPG highway
0201	1	N/A MPG city / N/A MPG highway
0202	1	N/A MPG city / N/A MPG highway
0203	1	21 MPG city / 22 MPG highway
0204	1	N/A MPG city / N/A MPG highway
0205	1	11 MPG city / 16 MPG highway
0206	1	N/A MPG city / N/A MPG highway
0207	1	14 MPG city / 19 MPG highway
0208	1	N/A MPG city / N/A MPG highway
0209	1	14 MPG city / 19 MPG highway
0210	1	N/A MPG city / N/A MPG highway
0211	1	10 MPG city / 14 MPG highway
0212	1	N/A MPG city / N/A MPG highway
0213	1	14 MPG city / 19 MPG highway
0214	1	N/A MPG city / N/A MPG highway
0215	1	N/A MPG city / N/A MPG highway
0216	1	N/A MPG city / N/A MPG highway
0217	1	25 MPG city / 37 MPG highway
0218	1	25 MPG city / 37 MPG highway
0219	1	25 MPG city / 37 MPG highway
0220	1	22 MPG city / 30 MPG highway
0221	1	25 MPG city / 37 MPG highway
0222	1	11 MPG city / 16 MPG highway
0223	1	N/A MPG city / N/A MPG highway
0224	1	11 MPG city / 16 MPG highway
0225	1	N/A MPG city / N/A MPG highway
0226	1	11 MPG city / 16 MPG highway
0227	1	N/A MPG city / N/A MPG highway
0228	1	N/A MPG city / N/A MPG highway
0229	1	17 MPG city / 23 MPG highway
0230	1	18 MPG city / 25 MPG highway
0231	1	18 MPG city / 25 MPG highway
0232	1	18 MPG city / 24 MPG highway
0233	1	18 MPG city / 24 MPG highway
0234	1	18 MPG city / 24 MPG highway
0235	1	20 MPG city / 23 MPG highway
0236	1	11 MPG city / 16 MPG highway
0237	1	11 MPG city / 16 MPG highway
0238	1	11 MPG city / 16 MPG highway
0239	1	21 MPG city / 22 MPG highway
0240	1	11 MPG city / 16 MPG highway
0241	1	11 MPG city / 16 MPG highway
0242	1	11 MPG city / 16 MPG highway
0243	1	16 MPG city / 26 MPG highway
0244	1	16 MPG city / 26 MPG highway
0245	1	16 MPG city / 26 MPG highway
0246	1	15 MPG city / 24 MPG highway
0247	1	16 MPG city / 26 MPG highway
0248	1	14 MPG city / 20 MPG highway
0249	1	16 MPG city / 26 MPG highway
0250	1	15 MPG city / 24 MPG highway
0251	1	16 MPG city / 26 MPG highway
0252	1	14 MPG city / 20 MPG highway
0253	1	14 MPG city / 20 MPG highway
0254	1	12 MPG city / 16 MPG highway
0255	1	24 MPG city / 36 MPG highway
0256	1	24 MPG city / 36 MPG highway
0257	1	N/A MPG city / N/A MPG highway
0258	1	24 MPG city / 36 MPG highway
0259	1	16 MPG city / 23 MPG highway
0260	1	16 MPG city / 23 MPG highway
0261	1	16 MPG city / 23 MPG highway
0262	1	16 MPG city / 23 MPG highway
0263	1	16 MPG city / 23 MPG highway
0264	1	16 MPG city / 23 MPG highway
0265	1	20 MPG city / 29 MPG highway
0266	1	20 MPG city / 29 MPG highway
0267	1	20 MPG city / 29 MPG highway
0268	1	20 MPG city / 29 MPG highway
0269	1	20 MPG city / 29 MPG highway
0270	1	20 MPG city / 29 MPG highway
0271	1	N/A MPG city / N/A MPG highway
0272	1	N/A MPG city / N/A MPG highway
0273	1	N/A MPG city / N/A MPG highway
0274	1	N/A MPG city / N/A MPG highway
0275	1	N/A MPG city / N/A MPG highway
0276	1	9 MPG city / 12 MPG highway
0277	1	N/A MPG city / N/A MPG highway
0278	1	N/A MPG city / N/A MPG highway
0279	1	N/A MPG city / N/A MPG highway
0280	1	N/A MPG city / N/A MPG highway
0281	1	N/A MPG city / N/A MPG highway
0282	1	N/A MPG city / N/A MPG highway
0283	1	N/A MPG city / N/A MPG highway
0284	1	8 MPG city / 12 MPG highway
0285	1	10 MPG city / 13 MPG highway
0286	1	N/A MPG city / N/A MPG highway
0287	1	9 MPG city / 12 MPG highway
0288	1	N/A MPG city / N/A MPG highway
0289	1	N/A MPG city / N/A MPG highway
0290	1	N/A MPG city / N/A MPG highway
0291	1	N/A MPG city / N/A MPG highway
0292	1	N/A MPG city / N/A MPG highway
0293	1	N/A MPG city / N/A MPG highway
0294	1	19 MPG city / 27 MPG highway
0295	1	19 MPG city / 27 MPG highway
0296	1	18 MPG city / 25 MPG highway
0297	1	20 MPG city / 27 MPG highway
0298	1	18 MPG city / 25 MPG highway
0299	1	18 MPG city / 25 MPG highway
0300	1	18 MPG city / 25 MPG highway
0301	1	18 MPG city / 25 MPG highway
0302	1	16 MPG city / 23 MPG highway
0303	1	16 MPG city / 23 MPG highway
0304	1	16 MPG city / 23 MPG highway
0305	1	16 MPG city / 23 MPG highway
0306	1	22 MPG city / 25 MPG highway
0307	1	22 MPG city / 25 MPG highway
0308	1	20 MPG city / 22 MPG highway
0309	1	20 MPG city / 22 MPG highway
0310	1	20 MPG city / 22 MPG highway
0311	1	17 MPG city / 24 MPG highway
0312	1	17 MPG city / 24 MPG highway
0313	1	12 MPG city / 18 MPG highway
0314	1	12 MPG city / 18 MPG highway
0315	1	15 MPG city / 20 MPG highway
0316	1	15 MPG city / 20 MPG highway
0317	1	15 MPG city / 20 MPG highway
0318	1	18 MPG city / 24 MPG highway
0319	1	18 MPG city / 24 MPG highway
0320	1	35 MPG city / 34 MPG highway
0321	1	35 MPG city / 34 MPG highway
0322	1	35 MPG city / 34 MPG highway
0323	1	30 MPG city / 28 MPG highway
0324	1	30 MPG city / 28 MPG highway
0325	1	16 MPG city / 23 MPG highway
0326	1	16 MPG city / 23 MPG highway
0327	1	16 MPG city / 23 MPG highway
0328	1	20 MPG city / 27 MPG highway
0329	1	21 MPG city / 30 MPG highway
0330	1	20 MPG city / 26 MPG highway
0331	1	21 MPG city / 29 MPG highway
0332	1	24 MPG city / 32 MPG highway
0333	1	24 MPG city / 32 MPG highway
0334	1	19 MPG city / 25 MPG highway
0335	1	19 MPG city / 28 MPG highway
0336	1	26 MPG city / 34 MPG highway
0337	1	17 MPG city / 26 MPG highway
0338	1	22 MPG city / 33 MPG highway
0339	1	25 MPG city / 32 MPG highway
0340	1	16 MPG city / 23 MPG highway
0341	1	16 MPG city / 23 MPG highway
0342	1	16 MPG city / 23 MPG highway
0343	1	16 MPG city / 23 MPG highway
0344	1	16 MPG city / 23 MPG highway
0345	1	N/A MPG city / N/A MPG highway
0346	1	N/A MPG city / N/A MPG highway
0347	1	N/A MPG city / N/A MPG highway
0348	1	14 MPG city / 22 MPG highway
0349	1	14 MPG city / 22 MPG highway
0350	1	14 MPG city / 22 MPG highway
0351	1	N/A MPG city / N/A MPG highway
0352	1	N/A MPG city / N/A MPG highway
0353	1	N/A MPG city / N/A MPG highway
0354	1	16 MPG city / 23 MPG highway
0355	1	13 MPG city / 19 MPG highway
0356	1	17 MPG city / 23 MPG highway
0357	1	17 MPG city / 25 MPG highway
0358	1	16 MPG city / 25 MPG highway
0359	1	17 MPG city / 25 MPG highway
0360	1	19 MPG city / 24 MPG highway
0361	1	20 MPG city / 22 MPG highway
0362	1	13 MPG city / 18 MPG highway
0363	1	16 MPG city / 27 MPG highway
0364	1	14 MPG city / 20 MPG highway
0365	1	21 MPG city / 30 MPG highway
0366	1	21 MPG city / 30 MPG highway
0367	1	20 MPG city / 29 MPG highway
0368	1	15 MPG city / 23 MPG highway
0369	1	15 MPG city / 23 MPG highway
0370	1	N/A MPG city / N/A MPG highway
0371	1	N/A MPG city / N/A MPG highway
0372	1	N/A MPG city / N/A MPG highway
0373	1	N/A MPG city / N/A MPG highway
0374	1	17 MPG city / 25 MPG highway
0375	1	16 MPG city / 23 MPG highway
0376	1	16 MPG city / 23 MPG highway
0377	1	16 MPG city / 23 MPG highway
0378	1	16 MPG city / 23 MPG highway
0379	1	17 MPG city / 25 MPG highway
0380	1	16 MPG city / 23 MPG highway
0381	1	17 MPG city / 25 MPG highway
0382	1	17 MPG city / 24 MPG highway
0383	1	41 MPG city / 36 MPG highway
0384	1	17 MPG city / 24 MPG highway
0385	1	16 MPG city / 22 MPG highway
0386	1	16 MPG city / 22 MPG highway
0387	1	N/A MPG city / N/A MPG highway
0388	1	N/A MPG city / N/A MPG highway
0389	1	9 MPG city / 13 MPG highway
0390	1	N/A MPG city / N/A MPG highway
0391	1	17 MPG city / 23 MPG highway
0392	1	17 MPG city / 23 MPG highway
0393	1	12 MPG city / 17 MPG highway
0394	1	12 MPG city / 17 MPG highway
0395	1	16 MPG city / 24 MPG highway
0396	1	16 MPG city / 24 MPG highway
0397	1	23 MPG city / 31 MPG highway
0398	1	21 MPG city / 29 MPG highway
0399	1	27 MPG city / 33 MPG highway
0400	1	26 MPG city / 32 MPG highway
0401	1	22 MPG city / 28 MPG highway
0402	1	22 MPG city / 28 MPG highway
0403	1	N/A MPG city / N/A MPG highway
0404	1	N/A MPG city / N/A MPG highway
0405	1	N/A MPG city / N/A MPG highway
0406	1	21 MPG city / 30 MPG highway
0407	1	21 MPG city / 30 MPG highway
0408	1	21 MPG city / 30 MPG highway
0409	1	16 MPG city / 21 MPG highway
0410	1	16 MPG city / 21 MPG highway
0411	1	16 MPG city / 22 MPG highway
0412	1	16 MPG city / 20 MPG highway
0413	1	16 MPG city / 20 MPG highway
0414	1	16 MPG city / 22 MPG highway
0415	1	16 MPG city / 22 MPG highway
0416	1	16 MPG city / 22 MPG highway
0417	1	N/A MPG city / N/A MPG highway
0418	1	N/A MPG city / N/A MPG highway
0419	1	N/A MPG city / N/A MPG highway
0420	1	N/A MPG city / N/A MPG highway
0421	1	N/A MPG city / N/A MPG highway
0422	1	23 MPG city / 31 MPG highway
0423	1	23 MPG city / 31 MPG highway
0424	1	23 MPG city / 31 MPG highway
0425	1	21 MPG city / 25 MPG highway
0426	1	23 MPG city / 31 MPG highway
0427	1	23 MPG city / 31 MPG highway
0428	1	23 MPG city / 29 MPG highway
0429	1	23 MPG city / 31 MPG highway
0430	1	23 MPG city / 29 MPG highway
0431	1	9 MPG city / 13 MPG highway
0432	1	9 MPG city / 13 MPG highway
0433	1	14 MPG city / 20 MPG highway
0434	1	14 MPG city / 20 MPG highway
0435	1	9 MPG city / 13 MPG highway
0436	1	9 MPG city / 13 MPG highway
0437	1	14 MPG city / 20 MPG highway
0438	1	14 MPG city / 20 MPG highway
0439	1	N/A MPG city / N/A MPG highway
0440	1	N/A MPG city / N/A MPG highway
0441	1	N/A MPG city / N/A MPG highway
0442	1	16 MPG city / 25 MPG highway
0443	1	13 MPG city / 19 MPG highway
0444	1	17 MPG city / 25 MPG highway
0445	1	N/A MPG city / N/A MPG highway
0446	1	N/A MPG city / N/A MPG highway
0447	1	N/A MPG city / N/A MPG highway
0448	1	N/A MPG city / N/A MPG highway
0449	1	N/A MPG city / N/A MPG highway
0450	1	N/A MPG city / N/A MPG highway
0451	1	N/A MPG city / N/A MPG highway
0452	1	N/A MPG city / N/A MPG highway
0453	1	N/A MPG city / N/A MPG highway
0454	1	N/A MPG city / N/A MPG highway
0455	1	17 MPG city / 23 MPG highway
0456	1	13 MPG city / 19 MPG highway
0457	1	16 MPG city / 23 MPG highway
0458	1	17 MPG city / 23 MPG highway
0459	1	18 MPG city / 26 MPG highway
0460	1	N/A MPG city / N/A MPG highway
0461	1	N/A MPG city / N/A MPG highway
0462	1	N/A MPG city / N/A MPG highway
0463	1	N/A MPG city / N/A MPG highway
0464	1	N/A MPG city / N/A MPG highway
0465	1	N/A MPG city / N/A MPG highway
0466	1	N/A MPG city / N/A MPG highway
0467	1	N/A MPG city / N/A MPG highway
0468	1	14 MPG city / 18 MPG highway
0469	1	14 MPG city / 18 MPG highway
0470	1	14 MPG city / 18 MPG highway
0471	1	9 MPG city / 12 MPG highway
0472	1	14 MPG city / 18 MPG highway
0473	1	15 MPG city / 20 MPG highway
0474	1	16 MPG city / 20 MPG highway
0475	1	15 MPG city / 20 MPG highway
0476	1	15 MPG city / 20 MPG highway
0477	1	15 MPG city / 20 MPG highway
0478	1	9 MPG city / 12 MPG highway
0479	1	N/A MPG city / N/A MPG highway
0480	1	N/A MPG city / N/A MPG highway
0481	1	N/A MPG city / N/A MPG highway
0482	1	N/A MPG city / N/A MPG highway
0483	1	16 MPG city / 23 MPG highway
0484	1	16 MPG city / 23 MPG highway
0485	1	16 MPG city / 23 MPG highway
0486	1	20 MPG city / 22 MPG highway
0487	1	14 MPG city / 20 MPG highway
0488	1	13 MPG city / 19 MPG highway
0489	1	14 MPG city / 20 MPG highway
0490	1	N/A MPG city / N/A MPG highway
0491	1	N/A MPG city / N/A MPG highway
0492	1	N/A MPG city / N/A MPG highway
0493	1	N/A MPG city / N/A MPG highway
0494	1	N/A MPG city / N/A MPG highway
0495	1	12 MPG city / 17 MPG highway
0496	1	12 MPG city / 17 MPG highway
0497	1	17 MPG city / 25 MPG highway
0498	1	16 MPG city / 23 MPG highway
0499	1	16 MPG city / 23 MPG highway
0500	1	13 MPG city / 22 MPG highway
0501	1	13 MPG city / 22 MPG highway
0502	1	N/A MPG city / N/A MPG highway
0503	1	N/A MPG city / N/A MPG highway
0504	1	N/A MPG city / N/A MPG highway
0505	1	N/A MPG city / N/A MPG highway
0506	1	N/A MPG city / N/A MPG highway
0507	1	N/A MPG city / N/A MPG highway
0508	1	N/A MPG city / N/A MPG highway
0509	1	15 MPG city / 23 MPG highway
0510	1	15 MPG city / 23 MPG highway
0511	1	19 MPG city / 25 MPG highway
0512	1	21 MPG city / 27 MPG highway
0513	1	20 MPG city / 26 MPG highway
0514	1	20 MPG city / 26 MPG highway
0515	1	20 MPG city / 26 MPG highway
0516	1	N/A MPG city / N/A MPG highway
0517	1	N/A MPG city / N/A MPG highway
0518	1	33 MPG city / 41 MPG highway
0519	1	N/A MPG city / N/A MPG highway
0520	1	33 MPG city / 41 MPG highway
0521	1	33 MPG city / 41 MPG highway
0522	1	33 MPG city / 41 MPG highway
0523	1	33 MPG city / 41 MPG highway
0524	1	33 MPG city / 41 MPG highway
0525	1	13 MPG city / 20 MPG highway
0526	1	13 MPG city / 20 MPG highway
0527	1	13 MPG city / 20 MPG highway
0528	1	13 MPG city / 20 MPG highway
0529	1	11 MPG city / 17 MPG highway
0530	1	12 MPG city / 18 MPG highway
0531	1	12 MPG city / 18 MPG highway
0532	1	12 MPG city / 18 MPG highway
0533	1	12 MPG city / 18 MPG highway
0534	1	14 MPG city / 20 MPG highway
0535	1	14 MPG city / 20 MPG highway
0536	1	12 MPG city / 19 MPG highway
0537	1	12 MPG city / 19 MPG highway
0538	1	13 MPG city / 19 MPG highway
0539	1	N/A MPG city / N/A MPG highway
0540	1	13 MPG city / 19 MPG highway
0541	1	12 MPG city / 19 MPG highway
0542	1	12 MPG city / 19 MPG highway
0543	1	12 MPG city / 19 MPG highway
0544	1	11 MPG city / 17 MPG highway
0545	1	N/A MPG city / N/A MPG highway
0546	1	11 MPG city / 18 MPG highway
0547	1	21 MPG city / 27 MPG highway
0548	1	21 MPG city / 27 MPG highway
0549	1	21 MPG city / 27 MPG highway
0550	1	19 MPG city / 24 MPG highway
0551	1	21 MPG city / 27 MPG highway
0552	1	19 MPG city / 24 MPG highway
0553	1	20 MPG city / 26 MPG highway
0554	1	19 MPG city / 24 MPG highway
0555	1	20 MPG city / 26 MPG highway
0556	1	19 MPG city / 24 MPG highway
0557	1	20 MPG city / 26 MPG highway
0558	1	22 MPG city / 29 MPG highway
0559	1	18 MPG city / 25 MPG highway
0560	1	22 MPG city / 29 MPG highway
0561	1	18 MPG city / 25 MPG highway
0562	1	22 MPG city / 29 MPG highway
0563	1	18 MPG city / 25 MPG highway
0564	1	22 MPG city / 29 MPG highway
0565	1	18 MPG city / 25 MPG highway
0566	1	22 MPG city / 29 MPG highway
0567	1	18 MPG city / 25 MPG highway
0568	1	20 MPG city / 26 MPG highway
0569	1	19 MPG city / 25 MPG highway
0570	1	20 MPG city / 26 MPG highway
0571	1	19 MPG city / 25 MPG highway
0572	1	20 MPG city / 27 MPG highway
0573	1	19 MPG city / 25 MPG highway
0574	1	20 MPG city / 26 MPG highway
0575	1	17 MPG city / 23 MPG highway
0576	1	20 MPG city / 26 MPG highway
0577	1	17 MPG city / 23 MPG highway
0578	1	19 MPG city / 25 MPG highway
0579	1	17 MPG city / 23 MPG highway
0580	1	19 MPG city / 25 MPG highway
0581	1	19 MPG city / 25 MPG highway
0582	1	19 MPG city / 24 MPG highway
0583	1	20 MPG city / 26 MPG highway
0584	1	19 MPG city / 24 MPG highway
0585	1	18 MPG city / 25 MPG highway
0586	1	20 MPG city / 27 MPG highway
0587	1	17 MPG city / 23 MPG highway
0588	1	20 MPG city / 26 MPG highway
0589	1	18 MPG city / 25 MPG highway
0590	1	16 MPG city / 21 MPG highway
0591	1	16 MPG city / 21 MPG highway
0592	1	16 MPG city / 21 MPG highway
0593	1	16 MPG city / 21 MPG highway
0594	1	16 MPG city / 21 MPG highway
0595	1	16 MPG city / 21 MPG highway
0596	1	18 MPG city / 25 MPG highway
0597	1	18 MPG city / 25 MPG highway
0598	1	23 MPG city / 31 MPG highway
0599	1	18 MPG city / 25 MPG highway
0600	1	23 MPG city / 31 MPG highway
0601	1	18 MPG city / 25 MPG highway
0602	1	23 MPG city / 31 MPG highway
0603	1	18 MPG city / 25 MPG highway
0604	1	23 MPG city / 31 MPG highway
0605	1	18 MPG city / 25 MPG highway
0606	1	18 MPG city / 25 MPG highway
0607	1	23 MPG city / 31 MPG highway
0608	1	18 MPG city / 25 MPG highway
0609	1	23 MPG city / 31 MPG highway
0610	1	10 MPG city / 12 MPG highway
0611	1	9 MPG city / 12 MPG highway
0612	1	10 MPG city / 12 MPG highway
0613	1	9 MPG city / 12 MPG highway
0614	1	N/A MPG city / N/A MPG highway
0615	1	N/A MPG city / N/A MPG highway
0616	1	N/A MPG city / N/A MPG highway
0617	1	N/A MPG city / N/A MPG highway
0618	1	N/A MPG city / N/A MPG highway
0619	1	10 MPG city / 12 MPG highway
0620	1	10 MPG city / 12 MPG highway
0621	1	N/A MPG city / N/A MPG highway
0622	1	N/A MPG city / N/A MPG highway
0623	1	28 MPG city / 37 MPG highway
0624	1	28 MPG city / 37 MPG highway
0625	1	28 MPG city / 37 MPG highway
0626	1	28 MPG city / 37 MPG highway
0627	1	28 MPG city / 37 MPG highway
0628	1	9 MPG city / 12 MPG highway
0629	1	9 MPG city / 11 MPG highway
0630	1	9 MPG city / 12 MPG highway
0631	1	9 MPG city / 11 MPG highway
0632	1	9 MPG city / 11 MPG highway
0633	1	9 MPG city / 11 MPG highway
0634	1	N/A MPG city / N/A MPG highway
0635	1	N/A MPG city / N/A MPG highway
0636	1	N/A MPG city / N/A MPG highway
0637	1	N/A MPG city / N/A MPG highway
0638	1	16 MPG city / 21 MPG highway
0639	1	16 MPG city / 22 MPG highway
0640	1	16 MPG city / 22 MPG highway
0641	1	16 MPG city / 21 MPG highway
0642	1	17 MPG city / 24 MPG highway
0643	1	16 MPG city / 22 MPG highway
0644	1	16 MPG city / 21 MPG highway
0645	1	16 MPG city / 22 MPG highway
0646	1	16 MPG city / 22 MPG highway
0647	1	16 MPG city / 22 MPG highway
0648	1	16 MPG city / 22 MPG highway
0649	1	17 MPG city / 24 MPG highway
0650	1	18 MPG city / 25 MPG highway
0651	1	18 MPG city / 25 MPG highway
0652	1	19 MPG city / 26 MPG highway
0653	1	17 MPG city / 23 MPG highway
0654	1	17 MPG city / 23 MPG highway
0655	1	17 MPG city / 23 MPG highway
0656	1	18 MPG city / 25 MPG highway
0657	1	17 MPG city / 23 MPG highway
