auto	autoweb	fuel_economy
0058	2	16/23	16 MPG City / 23 MPG Hwy
0059	2	16/23	16 MPG City / 23 MPG Hwy
0060	2	16/23	16 MPG City / 23 MPG Hwy
0061	2	17/24	17 MPG City / 24 MPG Hwy
0062	2	16/23	16 MPG City / 23 MPG Hwy
0063	2	17/24	17 MPG City / 24 MPG Hwy
0064	2	17/24	17 MPG City / 24 MPG Hwy
0065	2	16/23	16 MPG City / 23 MPG Hwy
0066	2	17/24	17 MPG City / 24 MPG Hwy
0067	2	18/24	18 MPG City / 24 MPG Hwy
0068	2	17/23	17 MPG City / 23 MPG Hwy
0069	2	17/23	17 MPG City / 23 MPG Hwy
0070	2	18/25	18 MPG City / 25 MPG Hwy
0071	2	18/24	18 MPG City / 24 MPG Hwy
0072	2	18/25	18 MPG City / 25 MPG Hwy
0073	2	18/24	18 MPG City / 24 MPG Hwy
0074	2	17/23	17 MPG City / 23 MPG Hwy
0075	2	16/21	16 MPG City / 21 MPG Hwy
0076	2	17/23	17 MPG City / 23 MPG Hwy
0077	2	18/25	18 MPG City / 25 MPG Hwy
0078	2	18/25	18 MPG City / 25 MPG Hwy
0079	2	13/17	13 MPG City / 17 MPG Hwy
0080	2	13/17	13 MPG City / 17 MPG Hwy
0081	2	13/17	13 MPG City / 17 MPG Hwy
0082	2	15/20	15 MPG City / 20 MPG Hwy
0083	2	13/17	13 MPG City / 17 MPG Hwy
0084	2	13/17	13 MPG City / 17 MPG Hwy
0085	2	13/17	13 MPG City / 17 MPG Hwy
0086	2	13/17	13 MPG City / 17 MPG Hwy
0087	2	13/17	13 MPG City / 17 MPG Hwy
0088	2	10/16	10 MPG City / 16 MPG Hwy
0089	2	/	MPG City / MPG Hwy
0090	2	/	MPG City / MPG Hwy
0091	2	/	MPG City / MPG Hwy
0092	2	/	MPG City / MPG Hwy
0093	2	/	MPG City / MPG Hwy
0094	2	/	MPG City / MPG Hwy
0095	2	/	MPG City / MPG Hwy
0096	2	/	MPG City / MPG Hwy
0097	2	/	MPG City / MPG Hwy
0098	2	11/16	11 MPG City / 16 MPG Hwy
0099	2	11/16	11 MPG City / 16 MPG Hwy
0100	2	11/16	11 MPG City / 16 MPG Hwy
0101	2	/	MPG City / MPG Hwy
0102	2	/	MPG City / MPG Hwy
0103	2	/	MPG City / MPG Hwy
0104	2	/	MPG City / MPG Hwy
0105	2	/	MPG City / MPG Hwy
0106	2	/	MPG City / MPG Hwy
0107	2	/	MPG City / MPG Hwy
0108	2	12/18	12 MPG City / 18 MPG Hwy
0109	2	13/18	13 MPG City / 18 MPG Hwy
0110	2	14/19	14 MPG City / 19 MPG Hwy
0111	2	13/18	13 MPG City / 18 MPG Hwy
0112	2	13/18	13 MPG City / 18 MPG Hwy
0113	2	14/19	14 MPG City / 19 MPG Hwy
0114	2	14/19	14 MPG City / 19 MPG Hwy
0115	2	14/19	14 MPG City / 19 MPG Hwy
0116	2	14/19	14 MPG City / 19 MPG Hwy
0117	2	13/18	13 MPG City / 18 MPG Hwy
0118	2	15/21	15 MPG City / 21 MPG Hwy
0119	2	13/18	13 MPG City / 18 MPG Hwy
0120	2	15/21	15 MPG City / 21 MPG Hwy
0121	2	15/21	15 MPG City / 21 MPG Hwy
0122	2	15/21	15 MPG City / 21 MPG Hwy
0123	2	15/20	15 MPG City / 20 MPG Hwy
0124	2	13/18	13 MPG City / 18 MPG Hwy
0125	2	13/18	13 MPG City / 18 MPG Hwy
0126	2	14/18	14 MPG City / 18 MPG Hwy
0127	2	15/22	15 MPG City / 22 MPG Hwy
0128	2	12/19	12 MPG City / 19 MPG Hwy
0129	2	14/19	14 MPG City / 19 MPG Hwy
0130	2	13/18	13 MPG City / 18 MPG Hwy
0131	2	14/19	14 MPG City / 19 MPG Hwy
0132	2	14/19	14 MPG City / 19 MPG Hwy
0133	2	15/21	15 MPG City / 21 MPG Hwy
0134	2	14/19	14 MPG City / 19 MPG Hwy
0135	2	14/19	14 MPG City / 19 MPG Hwy
0136	2	15/21	15 MPG City / 21 MPG Hwy
0137	2	13/18	13 MPG City / 18 MPG Hwy
0138	2	15/21	15 MPG City / 21 MPG Hwy
0139	2	15/21	15 MPG City / 21 MPG Hwy
0140	2	15/21	15 MPG City / 21 MPG Hwy
0141	2	15/21	15 MPG City / 21 MPG Hwy
0142	2	15/20	15 MPG City / 20 MPG Hwy
0143	2	15/20	15 MPG City / 20 MPG Hwy
0144	2	13/18	13 MPG City / 18 MPG Hwy
0145	2	13/18	13 MPG City / 18 MPG Hwy
0146	2	15/21	15 MPG City / 21 MPG Hwy
0147	2	15/22	15 MPG City / 22 MPG Hwy
0148	2	20/23	20 MPG City / 23 MPG Hwy
0149	2	20/23	20 MPG City / 23 MPG Hwy
0150	2	20/23	20 MPG City / 23 MPG Hwy
0151	2	21/22	21 MPG City / 22 MPG Hwy
0152	2	21/22	21 MPG City / 22 MPG Hwy
0153	2	21/22	21 MPG City / 22 MPG Hwy
0154	2	/	MPG City / MPG Hwy
0155	2	/	MPG City / MPG Hwy
0156	2	/	MPG City / MPG Hwy
0157	2	/	MPG City / MPG Hwy
0158	2	/	MPG City / MPG Hwy
0159	2	/	MPG City / MPG Hwy
0160	2	/	MPG City / MPG Hwy
0161	2	/	MPG City / MPG Hwy
0162	2	/	MPG City / MPG Hwy
0163	2	/	MPG City / MPG Hwy
0164	2	/	MPG City / MPG Hwy
0165	2	/	MPG City / MPG Hwy
0166	2	/	MPG City / MPG Hwy
0167	2	/	MPG City / MPG Hwy
0168	2	/	MPG City / MPG Hwy
0169	2	/	MPG City / MPG Hwy
0170	2	/	MPG City / MPG Hwy
0171	2	/	MPG City / MPG Hwy
0172	2	/	MPG City / MPG Hwy
0173	2	/	MPG City / MPG Hwy
0174	2	/	MPG City / MPG Hwy
0175	2	/	MPG City / MPG Hwy
0176	2	/	MPG City / MPG Hwy
0177	2	/	MPG City / MPG Hwy
0178	2	/	MPG City / MPG Hwy
0179	2	/	MPG City / MPG Hwy
0180	2	/	MPG City / MPG Hwy
0181	2	/	MPG City / MPG Hwy
0182	2	/	MPG City / MPG Hwy
0183	2	/	MPG City / MPG Hwy
0184	2	/	MPG City / MPG Hwy
0185	2	/	MPG City / MPG Hwy
0186	2	/	MPG City / MPG Hwy
0187	2	/	MPG City / MPG Hwy
0188	2	/	MPG City / MPG Hwy
0189	2	/	MPG City / MPG Hwy
0190	2	/	MPG City / MPG Hwy
0191	2	/	MPG City / MPG Hwy
0192	2	/	MPG City / MPG Hwy
0193	2	/	MPG City / MPG Hwy
0194	2	/	MPG City / MPG Hwy
0195	2	/	MPG City / MPG Hwy
0196	2	/	MPG City / MPG Hwy
0197	2	/	MPG City / MPG Hwy
0198	2	/	MPG City / MPG Hwy
0199	2	/	MPG City / MPG Hwy
0200	2	/	MPG City / MPG Hwy
0201	2	/	MPG City / MPG Hwy
0202	2	/	MPG City / MPG Hwy
0203	2	/	MPG City / MPG Hwy
0204	2	/	MPG City / MPG Hwy
0205	2	/	MPG City / MPG Hwy
0206	2	/	MPG City / MPG Hwy
0207	2	/	MPG City / MPG Hwy
0208	2	/	MPG City / MPG Hwy
0209	2	/	MPG City / MPG Hwy
0210	2	/	MPG City / MPG Hwy
0211	2	/	MPG City / MPG Hwy
0212	2	20/29	20 MPG City / 29 MPG Hwy
0213	2	22/32	22 MPG City / 32 MPG Hwy
0214	2	22/32	22 MPG City / 32 MPG Hwy
0215	2	20/29	20 MPG City / 29 MPG Hwy
0216	2	22/32	22 MPG City / 32 MPG Hwy
0217	2	20/29	20 MPG City / 29 MPG Hwy
0218	2	20/29	20 MPG City / 29 MPG Hwy
0219	2	13/18	13 MPG City / 18 MPG Hwy
0220	2	14/18	14 MPG City / 18 MPG Hwy
0221	2	15/21	15 MPG City / 21 MPG Hwy
0222	2	20/23	20 MPG City / 23 MPG Hwy
0223	2	21/22	21 MPG City / 22 MPG Hwy
0224	2	21/22	21 MPG City / 22 MPG Hwy
0225	2	15/21	15 MPG City / 21 MPG Hwy
0226	2	13/20	13 MPG City / 20 MPG Hwy
0227	2	15/21	15 MPG City / 21 MPG Hwy
0228	2	/	MPG City / MPG Hwy
0229	2	10/16	10 MPG City / 16 MPG Hwy
0230	2	10/16	10 MPG City / 16 MPG Hwy
0231	2	/	MPG City / MPG Hwy
0232	2	/	MPG City / MPG Hwy
0233	2	/	MPG City / MPG Hwy
0234	2	19/27	19 MPG City / 27 MPG Hwy
0235	2	22/25	22 MPG City / 25 MPG Hwy
0236	2	22/25	22 MPG City / 25 MPG Hwy
0237	2	17/24	17 MPG City / 24 MPG Hwy
0238	2	15/20	15 MPG City / 20 MPG Hwy
0239	2	35/34	35 MPG City / 34 MPG Hwy
0240	2	35/34	35 MPG City / 34 MPG Hwy
0241	2	21/30	21 MPG City / 30 MPG Hwy
0242	2	19/27	19 MPG City / 27 MPG Hwy
0243	2	21/29	21 MPG City / 29 MPG Hwy
0244	2	18/26	18 MPG City / 26 MPG Hwy
0245	2	21/29	21 MPG City / 29 MPG Hwy
0246	2	18/26	18 MPG City / 26 MPG Hwy
0247	2	18/25	18 MPG City / 25 MPG Hwy
0248	2	18/25	18 MPG City / 25 MPG Hwy
0249	2	20/27	20 MPG City / 27 MPG Hwy
0250	2	18/25	18 MPG City / 25 MPG Hwy
0251	2	16/23	16 MPG City / 23 MPG Hwy
0252	2	16/23	16 MPG City / 23 MPG Hwy
0253	2	16/24	16 MPG City / 24 MPG Hwy
0254	2	16/24	16 MPG City / 24 MPG Hwy
0255	2	12/18	12 MPG City / 18 MPG Hwy
0256	2	32/28	32 MPG City / 28 MPG Hwy
0257	2	32/28	32 MPG City / 28 MPG Hwy
0258	2	20/28	20 MPG City / 28 MPG Hwy
0259	2	20/28	20 MPG City / 28 MPG Hwy
0260	2	19/26	19 MPG City / 26 MPG Hwy
0261	2	16/24	16 MPG City / 24 MPG Hwy
0262	2	15/21	15 MPG City / 21 MPG Hwy
0263	2	15/21	15 MPG City / 21 MPG Hwy
0264	2	15/21	15 MPG City / 21 MPG Hwy
0265	2	21/30	21 MPG City / 30 MPG Hwy
0266	2	21/30	21 MPG City / 30 MPG Hwy
0267	2	17/25	17 MPG City / 25 MPG Hwy
0268	2	24/33	24 MPG City / 33 MPG Hwy
0269	2	22/31	22 MPG City / 31 MPG Hwy
0270	2	20/28	20 MPG City / 28 MPG Hwy
0271	2	17/22	17 MPG City / 22 MPG Hwy
0272	2	17/22	17 MPG City / 22 MPG Hwy
0273	2	24/32	24 MPG City / 32 MPG Hwy
0274	2	17/25	17 MPG City / 25 MPG Hwy
0275	2	20/27	20 MPG City / 27 MPG Hwy
0276	2	22/27	22 MPG City / 27 MPG Hwy
0277	2	23/28	23 MPG City / 28 MPG Hwy
0278	2	19/26	19 MPG City / 26 MPG Hwy
0279	2	21/25	21 MPG City / 25 MPG Hwy
0280	2	21/27	21 MPG City / 27 MPG Hwy
0281	2	21/25	21 MPG City / 25 MPG Hwy
0282	2	21/27	21 MPG City / 27 MPG Hwy
0283	2	18/24	18 MPG City / 24 MPG Hwy
0284	2	19/25	19 MPG City / 25 MPG Hwy
0285	2	24/31	24 MPG City / 31 MPG Hwy
0286	2	25/31	25 MPG City / 31 MPG Hwy
0287	2	/	MPG City / MPG Hwy
0288	2	26/36	26 MPG City / 36 MPG Hwy
0289	2	23/31	23 MPG City / 31 MPG Hwy
0290	2	22/32	22 MPG City / 32 MPG Hwy
0291	2	25/34	25 MPG City / 34 MPG Hwy
0292	2	25/34	25 MPG City / 34 MPG Hwy
0293	2	23/31	23 MPG City / 31 MPG Hwy
0294	2	22/32	22 MPG City / 32 MPG Hwy
0295	2	25/34	25 MPG City / 34 MPG Hwy
0296	2	23/31	23 MPG City / 31 MPG Hwy
0297	2	22/32	22 MPG City / 32 MPG Hwy
0298	2	24/34	24 MPG City / 34 MPG Hwy
0299	2	22/34	22 MPG City / 34 MPG Hwy
0300	2	22/32	22 MPG City / 32 MPG Hwy
0301	2	22/32	22 MPG City / 32 MPG Hwy
0302	2	20/28	20 MPG City / 28 MPG Hwy
0303	2	28/34	28 MPG City / 34 MPG Hwy
0304	2	27/36	27 MPG City / 36 MPG Hwy
0305	2	28/34	28 MPG City / 34 MPG Hwy
0306	2	27/36	27 MPG City / 36 MPG Hwy
0307	2	28/34	28 MPG City / 34 MPG Hwy
0308	2	27/36	27 MPG City / 36 MPG Hwy
0309	2	17/23	17 MPG City / 23 MPG Hwy
0310	2	19/25	19 MPG City / 25 MPG Hwy
0311	2	21/29	21 MPG City / 29 MPG Hwy
0312	2	20/26	20 MPG City / 26 MPG Hwy
0313	2	20/26	20 MPG City / 26 MPG Hwy
0314	2	19/25	19 MPG City / 25 MPG Hwy
0315	2	24/30	24 MPG City / 30 MPG Hwy
0316	2	24/30	24 MPG City / 30 MPG Hwy
0317	2	24/30	24 MPG City / 30 MPG Hwy
0318	2	24/30	24 MPG City / 30 MPG Hwy
0319	2	21/28	21 MPG City / 28 MPG Hwy
0320	2	22/31	22 MPG City / 31 MPG Hwy
0321	2	20/25	20 MPG City / 25 MPG Hwy
0322	2	19/24	19 MPG City / 24 MPG Hwy
0323	2	20/25	20 MPG City / 25 MPG Hwy
0324	2	18/23	18 MPG City / 23 MPG Hwy
0325	2	18/28	18 MPG City / 28 MPG Hwy
0326	2	18/28	18 MPG City / 28 MPG Hwy
0327	2	18/28	18 MPG City / 28 MPG Hwy
0328	2	18/28	18 MPG City / 28 MPG Hwy
0329	2	19/28	19 MPG City / 28 MPG Hwy
0330	2	18/25	18 MPG City / 25 MPG Hwy
0331	2	17/25	17 MPG City / 25 MPG Hwy
0332	2	17/25	17 MPG City / 25 MPG Hwy
0333	2	17/25	17 MPG City / 25 MPG Hwy
0334	2	18/28	18 MPG City / 28 MPG Hwy
0335	2	17/25	17 MPG City / 25 MPG Hwy
0336	2	18/28	18 MPG City / 28 MPG Hwy
0337	2	17/26	17 MPG City / 26 MPG Hwy
0338	2	17/25	17 MPG City / 25 MPG Hwy
0339	2	17/25	17 MPG City / 25 MPG Hwy
0340	2	18/28	18 MPG City / 28 MPG Hwy
0341	2	18/28	18 MPG City / 28 MPG Hwy
0342	2	19/26	19 MPG City / 26 MPG Hwy
0343	2	19/26	19 MPG City / 26 MPG Hwy
0344	2	19/28	19 MPG City / 28 MPG Hwy
0345	2	18/26	18 MPG City / 26 MPG Hwy
0346	2	19/28	19 MPG City / 28 MPG Hwy
0347	2	16/25	16 MPG City / 25 MPG Hwy
0348	2	17/26	17 MPG City / 26 MPG Hwy
0349	2	22/32	22 MPG City / 32 MPG Hwy
0350	2	19/29	19 MPG City / 29 MPG Hwy
0351	2	19/28	19 MPG City / 28 MPG Hwy
0352	2	17/26	17 MPG City / 26 MPG Hwy
0353	2	19/27	19 MPG City / 27 MPG Hwy
0354	2	20/30	20 MPG City / 30 MPG Hwy
0355	2	19/28	19 MPG City / 28 MPG Hwy
0356	2	16/24	16 MPG City / 24 MPG Hwy
0357	2	15/22	15 MPG City / 22 MPG Hwy
0358	2	15/21	15 MPG City / 21 MPG Hwy
0359	2	15/23	15 MPG City / 23 MPG Hwy
0360	2	17/25	17 MPG City / 25 MPG Hwy
0361	2	17/25	17 MPG City / 25 MPG Hwy
0362	2	15/22	15 MPG City / 22 MPG Hwy
0363	2	14/20	14 MPG City / 20 MPG Hwy
0364	2	14/22	14 MPG City / 22 MPG Hwy
0365	2	14/22	14 MPG City / 22 MPG Hwy
0366	2	14/20	14 MPG City / 20 MPG Hwy
0367	2	/	MPG City / MPG Hwy
0368	2	/	MPG City / MPG Hwy
0369	2	17/25	17 MPG City / 25 MPG Hwy
0370	2	15/21	15 MPG City / 21 MPG Hwy
0371	2	14/19	14 MPG City / 19 MPG Hwy
0372	2	16/23	16 MPG City / 23 MPG Hwy
0373	2	14/20	14 MPG City / 20 MPG Hwy
0374	2	12/17	12 MPG City / 17 MPG Hwy
0375	2	18/28	18 MPG City / 28 MPG Hwy
0376	2	17/24	17 MPG City / 24 MPG Hwy
0377	2	18/28	18 MPG City / 28 MPG Hwy
0378	2	18/25	18 MPG City / 25 MPG Hwy
0379	2	22/33	22 MPG City / 33 MPG Hwy
0380	2	22/33	22 MPG City / 33 MPG Hwy
0381	2	22/33	22 MPG City / 33 MPG Hwy
0382	2	23/33	23 MPG City / 33 MPG Hwy
0383	2	23/34	23 MPG City / 34 MPG Hwy
0384	2	22/33	22 MPG City / 33 MPG Hwy
0385	2	23/32	23 MPG City / 32 MPG Hwy
0386	2	23/34	23 MPG City / 34 MPG Hwy
0387	2	20/30	20 MPG City / 30 MPG Hwy
0388	2	17/26	17 MPG City / 26 MPG Hwy
0389	2	21/31	21 MPG City / 31 MPG Hwy
0390	2	21/31	21 MPG City / 31 MPG Hwy
0391	2	22/31	22 MPG City / 31 MPG Hwy
0392	2	21/31	21 MPG City / 31 MPG Hwy
0393	2	22/31	22 MPG City / 31 MPG Hwy
0394	2	19/29	19 MPG City / 29 MPG Hwy
0395	2	17/25	17 MPG City / 25 MPG Hwy
0396	2	19/28	19 MPG City / 28 MPG Hwy
0397	2	19/29	19 MPG City / 29 MPG Hwy
0398	2	17/25	17 MPG City / 25 MPG Hwy
0399	2	17/25	17 MPG City / 25 MPG Hwy
0400	2	18/27	18 MPG City / 27 MPG Hwy
0401	2	18/27	18 MPG City / 27 MPG Hwy
0402	2	17/25	17 MPG City / 25 MPG Hwy
0403	2	25/36	25 MPG City / 36 MPG Hwy
0404	2	25/36	25 MPG City / 36 MPG Hwy
0405	2	25/36	25 MPG City / 36 MPG Hwy
0406	2	25/36	25 MPG City / 36 MPG Hwy
0407	2	25/36	25 MPG City / 36 MPG Hwy
0408	2	/	MPG City / MPG Hwy
0409	2	25/36	25 MPG City / 36 MPG Hwy
0410	2	25/36	25 MPG City / 36 MPG Hwy
0411	2	25/36	25 MPG City / 36 MPG Hwy
0412	2	26/34	26 MPG City / 34 MPG Hwy
0413	2	26/34	26 MPG City / 34 MPG Hwy
0414	2	21/29	21 MPG City / 29 MPG Hwy
0415	2	21/29	21 MPG City / 29 MPG Hwy
0416	2	21/29	21 MPG City / 29 MPG Hwy
0417	2	21/29	21 MPG City / 29 MPG Hwy
0418	2	25/36	25 MPG City / 36 MPG Hwy
0419	2	26/34	26 MPG City / 34 MPG Hwy
0420	2	25/36	25 MPG City / 36 MPG Hwy
0421	2	25/36	25 MPG City / 36 MPG Hwy
0422	2	26/34	26 MPG City / 34 MPG Hwy
0423	2	26/34	26 MPG City / 34 MPG Hwy
0424	2	25/36	25 MPG City / 36 MPG Hwy
0425	2	25/36	25 MPG City / 36 MPG Hwy
0426	2	26/34	26 MPG City / 34 MPG Hwy
0427	2	26/34	26 MPG City / 34 MPG Hwy
0428	2	21/29	21 MPG City / 29 MPG Hwy
0429	2	21/29	21 MPG City / 29 MPG Hwy
0430	2	21/29	21 MPG City / 29 MPG Hwy
0431	2	21/29	21 MPG City / 29 MPG Hwy
0432	2	21/29	21 MPG City / 29 MPG Hwy
0433	2	25/36	25 MPG City / 36 MPG Hwy
0434	2	40/43	40 MPG City / 43 MPG Hwy
0435	2	40/43	40 MPG City / 43 MPG Hwy
0436	2	40/45	40 MPG City / 45 MPG Hwy
0437	2	21/28	21 MPG City / 28 MPG Hwy
0438	2	21/27	21 MPG City / 27 MPG Hwy
0439	2	21/28	21 MPG City / 28 MPG Hwy
0440	2	21/27	21 MPG City / 27 MPG Hwy
0441	2	21/27	21 MPG City / 27 MPG Hwy
0442	2	35/39	35 MPG City / 39 MPG Hwy
0443	2	35/39	35 MPG City / 39 MPG Hwy
0444	2	31/37	31 MPG City / 37 MPG Hwy
0445	2	35/39	35 MPG City / 39 MPG Hwy
0446	2	31/37	31 MPG City / 37 MPG Hwy
0447	2	20/25	20 MPG City / 25 MPG Hwy
0448	2	20/25	20 MPG City / 25 MPG Hwy
0449	2	19/24	19 MPG City / 24 MPG Hwy
0450	2	20/25	20 MPG City / 25 MPG Hwy
0451	2	19/24	19 MPG City / 24 MPG Hwy
0452	2	20/25	20 MPG City / 25 MPG Hwy
0453	2	28/35	28 MPG City / 35 MPG Hwy
0454	2	27/33	27 MPG City / 33 MPG Hwy
0455	2	27/33	27 MPG City / 33 MPG Hwy
0456	2	27/33	27 MPG City / 33 MPG Hwy
0457	2	40/43	40 MPG City / 43 MPG Hwy
0458	2	40/43	40 MPG City / 43 MPG Hwy
0459	2	18/27	18 MPG City / 27 MPG Hwy
0460	2	18/27	18 MPG City / 27 MPG Hwy
0461	2	18/27	18 MPG City / 27 MPG Hwy
0462	2	18/27	18 MPG City / 27 MPG Hwy
0463	2	18/27	18 MPG City / 27 MPG Hwy
0464	2	16/23	16 MPG City / 23 MPG Hwy
0465	2	17/23	17 MPG City / 23 MPG Hwy
0466	2	17/23	17 MPG City / 23 MPG Hwy
0467	2	16/22	16 MPG City / 22 MPG Hwy
0468	2	17/23	17 MPG City / 23 MPG Hwy
0469	2	16/22	16 MPG City / 22 MPG Hwy
0470	2	16/22	16 MPG City / 22 MPG Hwy
0471	2	15/20	15 MPG City / 20 MPG Hwy
0472	2	15/20	15 MPG City / 20 MPG Hwy
0473	2	15/20	15 MPG City / 20 MPG Hwy
0474	2	17/24	17 MPG City / 24 MPG Hwy
0475	2	16/23	16 MPG City / 23 MPG Hwy
0476	2	17/25	17 MPG City / 25 MPG Hwy
0477	2	16/22	16 MPG City / 22 MPG Hwy
0478	2	/	MPG City / MPG Hwy
0479	2	17/24	17 MPG City / 24 MPG Hwy
0480	2	18/27	18 MPG City / 27 MPG Hwy
0481	2	17/24	17 MPG City / 24 MPG Hwy
0482	2	14/20	14 MPG City / 20 MPG Hwy
0483	2	13/18	13 MPG City / 18 MPG Hwy
0484	2	14/20	14 MPG City / 20 MPG Hwy
0485	2	16/24	16 MPG City / 24 MPG Hwy
0486	2	16/24	16 MPG City / 24 MPG Hwy
0487	2	18/26	18 MPG City / 26 MPG Hwy
0488	2	19/26	19 MPG City / 26 MPG Hwy
0489	2	18/25	18 MPG City / 25 MPG Hwy
0490	2	18/25	18 MPG City / 25 MPG Hwy
0491	2	23/32	23 MPG City / 32 MPG Hwy
0492	2	23/32	23 MPG City / 32 MPG Hwy
0493	2	23/32	23 MPG City / 32 MPG Hwy
0494	2	20/27	20 MPG City / 27 MPG Hwy
0495	2	23/32	23 MPG City / 32 MPG Hwy
0496	2	20/27	20 MPG City / 27 MPG Hwy
0497	2	13/19	13 MPG City / 19 MPG Hwy
0498	2	12/18	12 MPG City / 18 MPG Hwy
0499	2	13/19	13 MPG City / 19 MPG Hwy
0500	2	12/18	12 MPG City / 18 MPG Hwy
0501	2	12/18	12 MPG City / 18 MPG Hwy
0502	2	12/18	12 MPG City / 18 MPG Hwy
0503	2	25/30	25 MPG City / 30 MPG Hwy
0504	2	27/31	27 MPG City / 31 MPG Hwy
0505	2	25/30	25 MPG City / 30 MPG Hwy
0506	2	27/31	27 MPG City / 31 MPG Hwy
0507	2	27/31	27 MPG City / 31 MPG Hwy
0508	2	25/30	25 MPG City / 30 MPG Hwy
0509	2	14/19	14 MPG City / 19 MPG Hwy
0510	2	15/19	15 MPG City / 19 MPG Hwy
0511	2	16/20	16 MPG City / 20 MPG Hwy
0512	2	15/19	15 MPG City / 19 MPG Hwy
0513	2	15/20	15 MPG City / 20 MPG Hwy
0514	2	14/19	14 MPG City / 19 MPG Hwy
0515	2	15/19	15 MPG City / 19 MPG Hwy
0516	2	15/20	15 MPG City / 20 MPG Hwy
0517	2	14/19	14 MPG City / 19 MPG Hwy
0518	2	17/22	17 MPG City / 22 MPG Hwy
0519	2	14/19	14 MPG City / 19 MPG Hwy
0520	2	14/19	14 MPG City / 19 MPG Hwy
0521	2	15/20	15 MPG City / 20 MPG Hwy
0522	2	14/19	14 MPG City / 19 MPG Hwy
0523	2	14/19	14 MPG City / 19 MPG Hwy
0524	2	15/19	15 MPG City / 19 MPG Hwy
0525	2	15/20	15 MPG City / 20 MPG Hwy
0526	2	15/20	15 MPG City / 20 MPG Hwy
0527	2	14/19	14 MPG City / 19 MPG Hwy
0528	2	14/19	14 MPG City / 19 MPG Hwy
0529	2	16/20	16 MPG City / 20 MPG Hwy
0530	2	16/20	16 MPG City / 20 MPG Hwy
0531	2	16/20	16 MPG City / 20 MPG Hwy
0532	2	15/19	15 MPG City / 19 MPG Hwy
0533	2	15/19	15 MPG City / 19 MPG Hwy
0534	2	17/22	17 MPG City / 22 MPG Hwy
0535	2	19/23	19 MPG City / 23 MPG Hwy
0536	2	17/22	17 MPG City / 22 MPG Hwy
0537	2	19/23	19 MPG City / 23 MPG Hwy
