auto	motortrend	engine
0057	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0058	1	Engine: 4.8L V-8 DOHC with variable valve timing and four valves per cylinder
0059	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0060	1	Engine: 4.8L V-8 DOHC with variable valve timing and four valves per cylinder
0061	1	Engine: 3.6L V 6 double overhead cam with VVT ( 12.3 :1 compression ratio ; four valves per cylinder)
0062	1	Engine: 4.8L V 8 double overhead cam with VVT ( 12.5 :1 compression ratio ; four valves per cylinder)
0063	1	Engine: 4.8L V 8 double overhead cam with VVT ( 12.5 :1 compression ratio ; four valves per cylinder)
0064	1	Engine: 4.8L V 8 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0065	1	Engine: 4.8L V 8 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0066	1	Engine: 4.8L V 8 double overhead cam with VVT ( 12.5 :1 compression ratio ; four valves per cylinder)
0067	1	Engine: 4.8L V 8 double overhead cam with VVT ( 12.5 :1 compression ratio ; four valves per cylinder)
0068	1	Engine: 4.8L V 8 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0069	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0070	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0071	1	Engine: 2.4L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0072	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0073	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0074	1	Engine: 3.0L V 6 double overhead cam with VVT ( 11.7 :1 compression ratio ; four valves per cylinder)
0075	1	Engine: 3.0L V 6 double overhead cam with VVT ( 11.7 :1 compression ratio ; four valves per cylinder)
0076	1	Engine: 3.6L V 6 double overhead cam with VVT ( 11.3 :1 compression ratio ; four valves per cylinder)
0077	1	Engine: 3.9L V-6 OHV with variable valve timing and two valves per cylinder
0078	1	Engine: 3.9L V-6 OHV with variable valve timing and two valves per cylinder
0079	1	Engine: 3.9L V-6 OHV with variable valve timing and two valves per cylinder
0080	1	Engine: 4.6L Northstar V-8 DOHC and four valves per cylinder
0081	1	Engine: 2.4L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0082	1	Engine: 5.2L V-10 DOHC with variable valve timing and four valves per cylinder
0083	1	Engine: 5.2L V-10 DOHC with variable valve timing and four valves per cylinder
0084	1	Engine: 6.5L V-12 DOHC with variable valve timing and four valves per cylinder
0085	1	Engine: 6.5L V-12 DOHC with variable valve timing and four valves per cylinder
0086	1	Engine: 6.5L V-12 DOHC with variable valve timing and four valves per cylinder
0087	1	Engine: 6.6L V-12 DOHC with variable valve timing and four valves per cylinder
0088	1	Engine: 6.7L V-12 DOHC with variable valve timing and four valves per cylinder
0089	1	Engine: 6.7L V-12 DOHC with variable valve timing and four valves per cylinder
0090	1	Engine: 6.7L V-12 DOHC with variable valve timing and four valves per cylinder
0091	1	Engine: 6.7L V-12 DOHC with variable valve timing and four valves per cylinder
0092	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0093	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0094	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0095	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0096	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0097	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0098	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0099	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0100	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0101	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0102	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0103	1	Engine: 3.0L V 6 double overhead cam with VVT ( 11.7 :1 compression ratio ; four valves per cylinder)
0104	1	Engine: 3.6L V 6 double overhead cam with VVT ( 11.3 :1 compression ratio ; four valves per cylinder)
0105	1	Engine: 6.2L V-8 OHV and two valves per cylinder
0106	1	Engine: 6.2L V-8 OHV and two valves per cylinder
0107	1	Engine: 6.2L V 8 overhead valve ( 9.0 :1 compression ratio ; two valves per cylinder)
0108	1	Engine: 4.6L Northstar V-8 DOHC and four valves per cylinder
0109	1	Engine: 4.6L Northstar V-8 DOHC and four valves per cylinder
0110	1	Engine: 4.6L Northstar V-8 DOHC and four valves per cylinder
0111	1	Engine: 4.6L Northstar V-8 DOHC and four valves per cylinder
0112	1	Engine: 6.2L V 8 overhead valve with VVT ( 10.5 :1 compression ratio ; two valves per cylinder)
0113	1	Engine: 6.2L V 8 overhead valve with VVT ( 10.5 :1 compression ratio ; two valves per cylinder)
0114	1	Engine: 6.0L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0115	1	Engine: 6.2L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0116	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0117	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0118	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0119	1	Engine: 3.0L V-6 DOHC with variable valve timing and four valves per cylinder
0120	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0121	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0122	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0123	1	Engine: 3.2L in-line6 DOHC with variable valve timing and four valves per cylinder
0124	1	Engine: 3.2L in-line 6 double overhead cam with VVT ( 10.8 :1 compression ratio ; four valves per cylinder)
0125	1	Engine: 5.0L V-8 DOHC with variable valve timing and four valves per cylinder
0126	1	Engine: 5.0L V 8 double overhead cam with VVT ( 11.5 :1 compression ratio ; four valves per cylinder)
0127	1	Engine: 5.0L V-8 DOHC with variable valve timing and four valves per cylinder
0128	1	Engine: 5.0L V-8 DOHC with variable valve timing and four valves per cylinder
0129	1	Engine: 5.0L V-8 DOHC with variable valve timing and four valves per cylinder
0130	1	Engine: 5.0L V-8 DOHC with variable valve timing and four valves per cylinder
0131	1	Engine: 5.0L V 8 double overhead cam with VVT ( 11.5 :1 compression ratio ; four valves per cylinder)
0132	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0133	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0134	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0135	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0136	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0137	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0138	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0139	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0140	1	Engine: 1.6L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0141	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 11.0 :1 compression ratio ; four valves per cylinder)
0142	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 11.0 :1 compression ratio ; four valves per cylinder)
0143	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0144	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0145	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 11.0 :1 compression ratio ; four valves per cylinder)
0146	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0147	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0148	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0149	1	Engine: 1.6L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0150	1	Engine: 2.0L in-line 4 double overhead cam ( 9.5 :1 compression ratio ; four valves per cylinder)
0151	1	Engine: 2.0L in-line 4 double overhead cam ( 9.5 :1 compression ratio ; four valves per cylinder)
0152	1	Engine: 2.0L in-line 4 double overhead cam ( 9.5 :1 compression ratio ; four valves per cylinder)
0153	1	Engine: 2.0L in-line 4 double overhead cam ( 9.5 :1 compression ratio ; four valves per cylinder)
0154	1	Engine: 2.0L in-line 4 double overhead cam ( 9.5 :1 compression ratio ; four valves per cylinder)
0155	1	Engine: 2.0L in-line 4 double overhead cam ( 9.5 :1 compression ratio ; four valves per cylinder)
0156	1	Engine: 2.8L V 6 double overhead cam with VVT ( 9.5 :1 compression ratio ; four valves per cylinder)
0157	1	Engine: 2.0L in-line 4 double overhead cam ( 9.5 :1 compression ratio ; four valves per cylinder)
0158	1	Engine: 2.0L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0159	1	Engine: 2.8L V-6 DOHC with variable valve timing and four valves per cylinder
0160	1	Engine: 2.8L V-6 DOHC with variable valve timing and four valves per cylinder
0161	1	Engine: 2.8L V-6 DOHC with variable valve timing and four valves per cylinder
0162	1	Engine: 5.3L V 8 overhead valve ( 9.9 :1 compression ratio ; two valves per cylinder)
0163	1	Engine: 5.3L V 8 overhead valve ( 9.9 :1 compression ratio ; two valves per cylinder)
0164	1	Engine: 5.3L V 8 overhead valve ( 9.9 :1 compression ratio ; two valves per cylinder)
0165	1	Engine: 5.3L V 8 overhead valve ( 9.9 :1 compression ratio ; two valves per cylinder)
0166	1	Engine: 5.3L V 8 overhead valve ( 9.9 :1 compression ratio ; two valves per cylinder)
0167	1	Engine: 5.3L V 8 overhead valve ( 9.9 :1 compression ratio ; two valves per cylinder)
0168	1	Engine: 1.6L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0169	1	Engine: 1.6L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0170	1	Engine: 1.6L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0171	1	Engine: 1.6L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0172	1	Engine: 3.6L V 6 double overhead cam with VVT ( 11.3 :1 compression ratio ; four valves per cylinder)
0173	1	Engine: 3.6L V 6 double overhead cam with VVT ( 11.3 :1 compression ratio ; four valves per cylinder)
0174	1	Engine: 6.2L V 8 overhead valve ( 10.7 :1 compression ratio ; two valves per cylinder)
0175	1	Engine: 2.9L Vortec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0176	1	Engine: 2.9L Vortec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0177	1	Engine: 3.7L Vortec in-linefive-cylinder DOHC with variable valve timing and four valves per cylinder
0178	1	Engine: 6.2L V-8 OHV and two valves per cylinder
0179	1	Engine: 6.2L V-8 OHV and two valves per cylinder
0180	1	Engine: 6.2L V-8 OHV and two valves per cylinder
0181	1	Engine: 6.2L V-8 OHV and two valves per cylinder
0182	1	Engine: 7.0L V-8 OHV and two valves per cylinder
0183	1	Engine: 6.2L V-8 OHV and two valves per cylinder
0184	1	Engine: 1.8L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0185	1	Engine: 1.4L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0186	1	Engine: 1.4L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0187	1	Engine: 1.4L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0188	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0189	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0190	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0191	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 11.7 :1 compression ratio ; four valves per cylinder)
0192	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 11.7 :1 compression ratio ; four valves per cylinder)
0193	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 11.7 :1 compression ratio ; four valves per cylinder)
0194	1	Engine: 5.3L Vortec V-8 OHV and two valves per cylinder
0195	1	Engine: 4.8L Vortec V-8 OHV and two valves per cylinder
0196	1	Engine: 2.2L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0197	1	Engine: 2.2L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0198	1	Engine: 2.2L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0199	1	Engine: 2.2L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0200	1	Engine: 2.2L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0201	1	Engine: 2.2L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0202	1	Engine: 2.2L in-line 4 double overhead cam with VVT ( 10.0 :1 compression ratio ; four valves per cylinder)
0203	1	Engine: 2.0L in-line 4 double overhead cam with VVT ( 9.2 :1 compression ratio ; four valves per cylinder)
0204	1	Engine: 3.5L V-6 OHV with variable valve timing and two valves per cylinder
0205	1	Engine: 3.5L V-6 OHV with variable valve timing and two valves per cylinder
0206	1	Engine: 3.9L V-6 OHV with variable valve timing and two valves per cylinder
0207	1	Engine: 2.4L Ecotec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0208	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0209	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0210	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0211	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0212	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.4 :1 compression ratio ; four valves per cylinder)
0213	1	Engine: 4.8L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0214	1	Engine: 4.3L Vortec V-6 OHV and two valves per cylinder
0215	1	Engine: 5.3L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0216	1	Engine: 5.3L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0217	1	Engine: 6.0L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0218	1	Engine: 5.3L V 8 overhead valve with VVT ( 9.9 :1 compression ratio ; two valves per cylinder)
0219	1	Engine: 4.8L V 8 overhead valve with VVT ( 8.8 :1 compression ratio ; two valves per cylinder)
0220	1	Engine: 5.3L V 8 overhead valve with VVT ( 9.9 :1 compression ratio ; two valves per cylinder)
0221	1	Engine: 6.0L V 8 overhead valve with VVT ( 10.8 :1 compression ratio ; two valves per cylinder)
0222	1	Engine: 5.3L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0223	1	Engine: 5.3L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0224	1	Engine: 5.3L Vortec V-8 OHV with variable valve timing and two valves per cylinder
0225	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0226	1	Engine: 3.5L V 6 double overhead cam with VVT ( 10.8 :1 compression ratio ; four valves per cylinder)
0227	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0228	1	Engine: 3.5L V 6 double overhead cam with VVT ( 11.5 :1 compression ratio ; four valves per cylinder)
0229	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0230	1	Engine: 3.5L V 6 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0231	1	Engine: 4.6L V-8 DOHC with variable valve timing and four valves per cylinder
0232	1	Engine: 4.6L V 8 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0233	1	Engine: 4.6L V-8 DOHC with variable valve timing and four valves per cylinder
0234	1	Engine: 4.6L V-8 DOHC with variable valve timing and four valves per cylinder
0235	1	Engine: 4.6L V 8 double overhead cam with VVT ( 10.2 :1 compression ratio ; four valves per cylinder)
0236	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0237	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0238	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 12.5 :1 compression ratio ; four valves per cylinder)
0239	1	Engine: 5.0L V-8 DOHC with variable valve timing and four valves per cylinder
0240	1	Engine: 5.0L V 8 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0241	1	Engine: 2.5L V-6 DOHC with variable valve timing and four valves per cylinder
0242	1	Engine: 2.5L V-6 DOHC with variable valve timing and four valves per cylinder
0243	1	Engine: 2.5L V 6 double overhead cam with VVT ( 12.0 :1 compression ratio ; four valves per cylinder)
0244	1	Engine: 2.5L V 6 double overhead cam with VVT ( 12.0 :1 compression ratio ; four valves per cylinder)
0245	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0246	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0247	1	Engine: 3.5L V 6 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0248	1	Engine: 3.5L V 6 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0249	1	Engine: 4.6L V-8 DOHC with variable valve timing and four valves per cylinder
0250	1	Engine: 4.6L V-8 DOHC with variable valve timing and four valves per cylinder
0251	1	Engine: 4.6L V 8 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0252	1	Engine: 4.6L V 8 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0253	1	Engine: 5.0L V-8 DOHC with variable valve timing and four valves per cylinder
0254	1	Engine: 5.0L V 8 double overhead cam with VVT ( 11.8 :1 compression ratio ; four valves per cylinder)
0255	1	Engine: 5.7L V-8 DOHC with variable valve timing and four valves per cylinder
0256	1	Engine: 5.7L V 8 double overhead cam with VVT ( 10.2 :1 compression ratio ; four valves per cylinder)
0257	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0258	1	Engine: 3.5L V 6 double overhead cam with VVT ( 10.8 :1 compression ratio ; four valves per cylinder)
0259	1	Engine: 3.5L V-6 DOHC with variable valve timing and four valves per cylinder
0260	1	Engine: 3.5L V 6 double overhead cam with VVT ( 10.8 :1 compression ratio ; four valves per cylinder)
0261	1	Engine: 4.3L V-8 DOHC with variable valve timing and four valves per cylinder
0262	1	Engine: 3.5L V-6 OHC and four valves per cylinder
0263	1	Engine: 3.5L V-6 OHC and four valves per cylinder
0264	1	Engine: 5.7L V-8 OHV with variable valve timing and two valves per cylinder
0265	1	Engine: 3.5L V-6 OHC and four valves per cylinder
0266	1	Engine: 5.7L HEMI V-8 OHV with variable valve timing and two valves per cylinder
0267	1	Engine: 6.1L HEMI V-8 OHV and two valves per cylinder
0268	1	Engine: 5.7L V-8 OHV and two valves per cylinder
0269	1	Engine: 2.4L in-linefour-cylinder DOHC and four valves per cylinder
0270	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0271	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0272	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0273	1	Engine: 2.7L V-6 DOHC and four valves per cylinder
0274	1	Engine: 3.5L V-6 OHC and four valves per cylinder
0275	1	Engine: 3.6L V 6 double overhead cam with VVT
0276	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0277	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0278	1	Engine: 3.6L V-6 DOHC with variable valve timing and four valves per cylinder
0279	1	Engine: 3.8L V-6 OHV and two valves per cylinder
0280	1	Engine: 3.8L V 6 overhead valve ( 9.6 :1 compression ratio ; two valves per cylinder)
0281	1	Engine: 3.8L V-6 OHV and two valves per cylinder
0282	1	Engine: 4.0L V-6 OHC and four valves per cylinder
0283	1	Engine: 3.7L Duratec V-6 DOHC with variable valve timing and four valves per cylinder
0284	1	Engine: 3.5L EcoBoost V-6 DOHC with variable valve timing and four valves per cylinder
0285	1	Engine: 3.5L EcoBoost V-6 DOHC with variable valve timing and four valves per cylinder
0286	1	Engine: 3.7L V 6 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0287	1	Engine: 3.5L Duratec V-6 DOHC with variable valve timing and four valves per cylinder
0288	1	Engine: 2.5L Duratec in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0289	1	Engine: 4.6L V-8 OHC and two valves per cylinder
0290	1	Engine: 4.6L V-8 OHC and two valves per cylinder
0291	1	Engine: 2.5L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0292	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0293	1	Engine: 1.8L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0294	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0295	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0296	1	Engine: 2.4L in-linefour-cylinder DOHC with variable valve timing and four valves per cylinder
0297	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0298	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0299	1	Engine: 2.4L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0300	1	Engine: 2.0L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
0301	1	Engine: 2.0L in-line 4 double overhead cam with VVT ( 10.5 :1 compression ratio ; four valves per cylinder)
