auto	motortrend	fuel_economy
0018	2	25 mpg	Fuel economy: EPA 08, 25 MPG city, 34 MPG highway, 28 MPG combined and 385 mi. range
0019	2	22 mpg	Fuel economy: EPA (08):, 22 MPG city, 32 MPG highway, 25 MPG combined and 410 mi. range
0020	2	20 mpg	Fuel economy: EPA (08):, 20 MPG city, 28 MPG highway, 23 MPG combined and 377 mi. range
0021	2	22 mpg	Fuel economy: EPA (08):, 22 MPG city, 32 MPG highway, 25 MPG combined and 410 mi. range
0022	2	28 mpg	Fuel economy: EPA (08):, 28 MPG city, 34 MPG highway, 31 MPG combined and 368 mi. range
0023	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 36 MPG highway, 30 MPG combined and 357 mi. range
0024	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 36 MPG highway, 30 MPG combined and 357 mi. range
0025	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 34 (mpg); combined= 31 (mpg); vehicle range: 368 miles
0026	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 36 (mpg); combined= 30 (mpg); vehicle range: 357 miles
0027	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 36 (mpg); combined= 30 (mpg); vehicle range: 357 miles
0028	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 36 MPG highway, 30 MPG combined and 357 mi. range
0029	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 36 MPG highway, 30 MPG combined and 357 mi. range
0030	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 36 (mpg); combined= 30 (mpg); vehicle range: 357 miles
0031	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 36 (mpg); combined= 30 (mpg); vehicle range: 357 miles
0032	2	18 mpg	Fuel economy: EPA (08):, 18 MPG city, 25 MPG highway, 21 MPG combined and 443 mi. range
0033	2	18 mpg	Fuel economy: EPA (08):, 18 MPG city, 25 MPG highway, 21 MPG combined and 443 mi. range
0034	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 23 (mpg); combined= 19 (mpg); vehicle range: 401 miles
0035	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 23 (mpg); combined= 19 (mpg); vehicle range: 401 miles
0036	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 23 (mpg); combined= 19 (mpg); vehicle range: 401 miles
0037	2	20 mpg	Fuel economy: EPA 08, 20 MPG city, 27 MPG highway, 22 MPG combined and 396 mi. range
0038	2	21 mpg	Fuel economy: EPA 08, 21 MPG city, 29 MPG highway, 24 MPG combined and 432 mi. range
0039	2	21 mpg	Fuel economy: EPA 08, 21 MPG city, 29 MPG highway, 24 MPG combined and 432 mi. range
0040	2	19 mpg	Fuel economy: EPA (08):, 19 MPG city, 25 MPG highway, 21 MPG combined and 378 mi. range
0041	2	26 mpg	Fuel economy: EPA (08):, 26 MPG city, 31 MPG highway, 28 MPG combined and 355 mi. range
0042	2	24 mpg	Fuel economy: EPA (08):, 24 MPG city, 30 MPG highway, 26 MPG combined and 330 mi. range
0043	2	24 mpg	Fuel economy: EPA (08):, 24 MPG city, 30 MPG highway, 26 MPG combined and 330 mi. range
0044	2	24 mpg	Fuel economy: EPA (08):, 24 MPG city, 30 MPG highway, 26 MPG combined and 330 mi. range
0045	2	26 mpg	Fuel consumption: city= 26 (mpg); highway= 31 (mpg); combined= 28 (mpg); vehicle range: 355 miles
0046	2	24 mpg	Fuel consumption: city= 24 (mpg); highway= 30 (mpg); combined= 26 (mpg); vehicle range: 330 miles
0047	2	24 mpg	Fuel consumption: city= 24 (mpg); highway= 30 (mpg); combined= 26 (mpg); vehicle range: 330 miles
0048	2	21 mpg	Fuel economy: EPA (08):, 21 MPG city, 29 MPG highway, 24 MPG combined and 348 mi. range
0049	2	21 mpg	Fuel economy: EPA (08):, 21 MPG city, 28 MPG highway, 23 MPG combined and 334 mi. range
0050	2	21 mpg	Fuel economy: EPA (08):, 22 MPG city, 31 MPG highway, 25 MPG combined and 362 mi. range
0051	2	18 mpg	Fuel consumption: city= 18 (mpg); highway= 23 (mpg); combined= 20 (mpg); vehicle range: 344 miles
0052	2	18 mpg	Fuel consumption: city= 18 (mpg); highway= 23 (mpg); combined= 20 (mpg); vehicle range: 344 miles
0053	2	14 mpg	Fuel consumption: EPA 08 city (mpg): 14, highway (mpg): 21 and combined (mpg): 16
0054	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 23 (mpg); combined= 18 (mpg); vehicle range: 319 miles
0055	2	15 mpg	Fuel consumption: city= 15 (mpg); highway= 24 (mpg); combined= 18 (mpg); vehicle range: 319 miles
0056	2	19 mpg	Fuel economy: EPA (08):, 19 MPG city, 27 MPG highway, 22 MPG combined and 314 mi. range
0057	2	15 mpg	Fuel economy: EPA (08):, 15 MPG city, 22 MPG highway, 18 MPG combined and 475 mi. range
0058	2	16 mpg	Fuel economy: EPA (08):, 16 MPG city, 22 MPG highway, 18 MPG combined and 475 mi. range
0059	2	21 mpg	Fuel economy: EPA (08):, 21 MPG city, 25 MPG highway, 23 MPG combined and 608 mi. range
0060	2	15 mpg	Fuel economy: EPA (08):, 15 MPG city, 22 MPG highway, 17 MPG combined and 449 mi. range
0061	2	14 mpg	Fuel consumption: city= 14 (mpg); highway= 20 (mpg); combined= 16 (mpg); vehicle range: 423 miles
0062	2	13 mpg	Fuel consumption: city= 13 (mpg); highway= 19 (mpg); combined= 15 (mpg); vehicle range: 396 miles
0063	2	13 mpg	Fuel consumption: city= 13 (mpg); highway= 18 (mpg); combined= 15 (mpg); vehicle range: 396 miles
0064	2	12 mpg	Fuel consumption: city= 12 (mpg); highway= 19 (mpg); combined= 14 (mpg); vehicle range: 370 miles
0065	2	12 mpg	Fuel consumption: city= 12 (mpg); highway= 19 (mpg); combined= 14 (mpg); vehicle range: 370 miles
0066	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 24 (mpg);
0067	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 24 (mpg);
0068	2	15 mpg	Fuel consumption: city= 15 (mpg); highway= 23 (mpg);
0069	2	17 mpg	Fuel economy: EPA 08, 16 MPG city, 22 MPG highway, 18 MPG combined and 396 mi. range
0070	2	17 mpg	Fuel economy: EPA 08, 16 MPG city, 22 MPG highway, 18 MPG combined and 396 mi. range
0071	2	19 mpg	Fuel economy: EPA 08, 19 MPG city, 30 MPG highway, 23 MPG combined and 423 mi. range
0072	2	16 mpg	Fuel economy: EPA 08, 16 MPG city, 26 MPG highway, 20 MPG combined and 390 mi. range
0073	2	17 mpg	Fuel economy: EPA 08, 17 MPG city, 27 MPG highway, 20 MPG combined and 368 mi. range
0074	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 26 (mpg); combined= 20 (mpg); vehicle range: 368 miles
0075	2	17 mpg	Fuel consumption: city= 16 (mpg); highway= 25 (mpg); combined= 19 (mpg); vehicle range: 370 miles
0076	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 27 (mpg); combined= 21 (mpg); vehicle range: 386 miles
0077	2	13 mpg	Fuel economy: EPA (08):, 13 MPG city, 20 MPG highway, 15 MPG combined and 270 mi. range
0078	2	13 mpg	Fuel economy: EPA (08):, 13 MPG city, 20 MPG highway, 15 MPG combined and 270 mi. range
0079	2	13 mpg	Fuel economy: EPA (08):, 13 MPG city, 20 MPG highway, 15 MPG combined and 270 mi. range
0080	2	15 mpg	Fuel economy: EPA (08):, 15 MPG city, 23 MPG highway, 18 MPG combined and 324 mi. range
0081	2	19 mpg	Fuel economy: EPA (08):, 19 MPG city, 30 MPG highway, 23 MPG combined and 414 mi. range
0082	2	12 mpg	Fuel economy: EPA (08):, 12 MPG city, 20 MPG highway, 15 MPG combined and 357 mi. range
0083	2	12 mpg	Fuel economy: EPA (08):, 12 MPG city, 20 MPG highway, 15 MPG combined and 357 mi. range
0084	2	8 mpg	Fuel economy: EPA (08):, 8 MPG city, 13 MPG highway, 10 MPG combined and 264 mi. range
0085	2	8 mpg	Fuel economy: EPA (08):, 8 MPG city, 13 MPG highway, 10 MPG combined and 264 mi. range
0086	2	9 mpg	Fuel economy: EPA (08):, 9 MPG city, 14 MPG highway, 11 MPG combined and 291 mi. range
0087	2	13 mpg	Fuel economy: EPA (08):, 13 MPG city, 20 MPG highway, 15 MPG combined and 327 mi. range
0088	2	11 mpg	Fuel economy: EPA (08):, 11 MPG city, 18 MPG highway, 14 MPG combined and 370 mi. range
0089	2	11 mpg	Fuel economy: EPA (08):, 11 MPG city, 18 MPG highway, 14 MPG combined and 370 mi. range
0090	2	11 mpg	Fuel economy: EPA (08):, 11 MPG city, 18 MPG highway, 14 MPG combined and 295 mi. range
0091	2	11 mpg	Fuel economy: EPA (08):, 11 MPG city, 18 MPG highway, 14 MPG combined and 370 mi. range
0092	2	16 mpg	Fuel economy: EPA 08, 18 MPG city, 26 MPG highway, 21 MPG combined and 378 mi. range
0093	2	17 mpg	Fuel economy: EPA 08, 17 MPG city and 26 MPG highway
0094	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 26 MPG highway, 21 MPG combined and 378 mi. range
0095	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 26 MPG highway, 21 MPG combined and 378 mi. range
0096	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 26 MPG highway, 21 MPG combined and 378 mi. range
0097	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 26 MPG highway, 21 MPG combined and 378 mi. range
0098	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 26 MPG highway, 21 MPG combined and 378 mi. range
0099	2	17 mpg	Fuel economy: EPA 08, 17 MPG city and 26 MPG highway
0100	2	17 mpg	Fuel economy: EPA 08, 17 MPG city and 26 MPG highway
0101	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 27 MPG highway, 21 MPG combined and 378 mi. range
0102	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 26 MPG highway, 21 MPG combined and 378 mi. range
0103	2	18 mpg	Fuel consumption: city= 18 (mpg); highway= 26 (mpg); combined= 21 (mpg); vehicle range: 378 miles
0104	2	18 mpg	Fuel consumption: city= 18 (mpg); highway= 27 (mpg); combined= 21 (mpg); vehicle range: 378 miles
0105	2	14 mpg	Fuel economy: EPA 08, 14 MPG city, 19 MPG highway, 16 MPG combined and 288 mi. range
0106	2	17 mpg	Fuel economy: EPA 08, 17 MPG city and 25 MPG highway
0107	2	14 mpg	Fuel consumption: city= 14 (mpg); highway= 19 (mpg); combined= 16 (mpg); vehicle range: 288 miles
0108	2	15 mpg	Fuel economy: EPA 08, 15 MPG city, 23 MPG highway, 18 MPG combined and 333 mi. range
0109	2	15 mpg	Fuel economy: EPA 08, 15 MPG city, 23 MPG highway, 18 MPG combined and 333 mi. range
0110	2	15 mpg	Fuel economy: EPA 08, 15 MPG city, 23 MPG highway, 18 MPG combined and 333 mi. range
0111	2	15 mpg	Fuel economy: EPA 08, 15 MPG city, 22 MPG highway, 18 MPG combined and 333 mi. range
0112	2	10 mpg	Fuel consumption: city= 10 (mpg); highway= 16 (mpg); combined= 12 (mpg); vehicle range: 312 miles
0113	2	N/A	Fuel consumption:
0114	2	20 mpg	Fuel economy: EPA 08, 20 MPG city, 23 MPG highway, 21 MPG combined and 514 mi. range
0115	2	9 mpg	Fuel economy: EPA 08, 9 MPG city, 13 MPG highway, 10 MPG combined and 310 mi. range
0116	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 25 MPG highway, 20 MPG combined and 420 mi. range
0117	2	17 mpg	Fuel economy: EPA 08, 17 MPG city, 23 MPG highway, 19 MPG combined and 399 mi. range
0118	2	17 mpg	Fuel economy: EPA 08, 17 MPG city, 23 MPG highway, 19 MPG combined and 399 mi. range
0119	2	17 mpg	Fuel economy: EPA 08, 17 MPG city, 23 MPG highway, 19 MPG combined and 399 mi. range
0120	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 27 MPG highway, 21 MPG combined and 357 mi. range
0121	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 27 MPG highway, 21 MPG combined and 357 mi. range
0122	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 27 MPG highway, 21 MPG combined and 357 mi. range
0123	2	15 mpg	Fuel economy: EPA 08, 15 MPG city, 22 MPG highway, 17 MPG combined and 314 mi. range
0124	2	15 mpg	Fuel consumption: city= 15 (mpg); highway= 22 (mpg); combined= 17 (mpg); vehicle range: 314 miles
0125	2	12 mpg	Fuel economy: EPA 08, 12 MPG city, 17 MPG highway, 14 MPG combined and 319 mi. range
0126	2	12 mpg	Fuel consumption: city= 12 (mpg); highway= 17 (mpg); combined= 14 (mpg); vehicle range: 319 miles
0127	2	12 mpg	Fuel economy: EPA 08, 12 MPG city, 18 MPG highway, 14 MPG combined and 386 mi. range
0128	2	12 mpg	Fuel economy: EPA 08, 12 MPG city, 18 MPG highway, 14 MPG combined and 386 mi. range
0129	2	13 mpg	Fuel economy: EPA 08, 13 MPG city, 18 MPG highway, 15 MPG combined and 349 mi. range
0130	2	12 mpg	Fuel economy: EPA 08, 12 MPG city, 17 MPG highway, 14 MPG combined and 326 mi. range
0131	2	13 mpg	Fuel consumption: city= 13 (mpg); highway= 18 (mpg); combined= 15 (mpg); vehicle range: 349 miles
0132	2	29 mpg	Fuel economy: EPA (08):, 29 MPG city, 37 MPG highway, 32 MPG combined and 423 mi. range
0133	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 35 MPG highway, 31 MPG combined and 409 mi. range
0134	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 36 MPG highway, 30 MPG combined and 396 mi. range
0135	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 36 MPG highway, 30 MPG combined and 396 mi. range
0136	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 35 MPG highway, 31 MPG combined and 409 mi. range
0137	2	27 mpg	Fuel economy: EPA (08):, 27 MPG city, 36 MPG highway, 30 MPG combined and 396 mi. range
0138	2	25 mpg	Fuel economy: EPA (08):, 25 MPG city, 33 MPG highway, 28 MPG combined and 370 mi. range
0139	2	25 mpg	Fuel economy: EPA (08):, 25 MPG city, 33 MPG highway, 28 MPG combined and 370 mi. range
0140	2	25 mpg	Fuel economy: EPA (08):, 25 MPG city, 33 MPG highway, 28 MPG combined and 370 mi. range
0141	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 37 (mpg); combined= 32 (mpg); vehicle range: 423 miles
0142	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 36 (mpg); combined= 31 (mpg); vehicle range: 409 miles
0143	2	26 mpg	Fuel consumption: city= 26 (mpg); highway= 34 (mpg); combined= 29 (mpg); vehicle range: 383 miles
0144	2	26 mpg	Fuel consumption: city= 26 (mpg); highway= 34 (mpg); combined= 29 (mpg); vehicle range: 383 miles
0145	2	28 mpg	Fuel consumption: city= 28 (mpg); highway= 36 (mpg); combined= 31 (mpg); vehicle range: 329 miles
0146	2	26 mpg	Fuel consumption: city= 26 (mpg); highway= 34 (mpg); combined= 29 (mpg); vehicle range: 383 miles
0147	2	25 mpg	Fuel consumption: city= 25 (mpg); highway= 33 (mpg); combined= 28 (mpg); vehicle range: 370 miles
0148	2	25 mpg	Fuel consumption: city= 25 (mpg); highway= 33 (mpg); combined= 28 (mpg); vehicle range: 370 miles
0149	2	25 mpg	Fuel consumption: city= 25 (mpg); highway= 33 (mpg); combined= 28 (mpg); vehicle range: 370 miles
0150	2	21 mpg	Fuel consumption: city= 17 (mpg); highway= 27 (mpg); combined= 21 (mpg); vehicle range: 336 miles
0151	2	21 mpg	Fuel consumption: city= 21 (mpg); highway= 31 (mpg); combined= 24 (mpg); vehicle range: 384 miles
0152	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 27 (mpg); combined= 21 (mpg); vehicle range: 336 miles
0153	2	19 mpg	Fuel consumption: city= 19 (mpg); highway= 27 (mpg); combined= 22 (mpg); vehicle range: 352 miles
0154	2	20 mpg	Fuel consumption: city= 20 (mpg); highway= 29 (mpg); combined= 23 (mpg); vehicle range: 368 miles
0155	2	19 mpg	Fuel consumption: city= 19 (mpg); highway= 27 (mpg); combined= 22 (mpg); vehicle range: 352 miles
0156	2	15 mpg	Fuel consumption: city= 15 (mpg); highway= 24 (mpg); combined= 18 (mpg); vehicle range: 295 miles
0157	2	19 mpg	Fuel consumption: city= 19 (mpg); highway= 27 (mpg); combined= 22 (mpg); vehicle range: 352 miles
0158	2	20 mpg	Fuel economy: EPA (08):, 20 MPG city and 33 MPG highway
0159	2	17 mpg	Fuel economy: EPA (08):, 17 MPG city, 27 MPG highway, 20 MPG combined and 370 mi. range
0160	2	17 mpg	Fuel economy: EPA (08):, 17 MPG city, 27 MPG highway, 20 MPG combined and 370 mi. range
0161	2	16 mpg	Fuel economy: EPA 08, 16 MPG city, 27 MPG highway, 20 MPG combined and 370 mi. range
0162	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 403 miles
0163	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 403 miles
0164	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 403 miles
0165	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 403 miles
0166	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 403 miles
0167	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 403 miles
0168	2	27 mpg	Fuel economy: EPA 08, 27 MPG city, 35 MPG highway, 30 MPG combined and 360 mi. range
0169	2	27 mpg	Fuel economy: EPA 08, 27 MPG city, 35 MPG highway, 30 MPG combined and 360 mi. range
0170	2	27 mpg	Fuel economy: EPA 08, 27 MPG city, 35 MPG highway, 30 MPG combined and 360 mi. range
0171	2	27 mpg	Fuel economy: EPA 08, 27 MPG city, 35 MPG highway, 30 MPG combined and 360 mi. range
0172	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 29 (mpg); combined= 21 (mpg); vehicle range: 399 miles
0173	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 29 (mpg); combined= 21 (mpg); vehicle range: 399 miles
0174	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 24 (mpg); combined= 19 (mpg); vehicle range: 361 miles
0175	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 25 MPG highway, 21 MPG combined and 399 mi. range
0176	2	18 mpg	Fuel economy: EPA 08, 18 MPG city, 25 MPG highway, 21 MPG combined and 399 mi. range
0177	2	17 mpg	Fuel economy: EPA 08, 17 MPG city, 23 MPG highway, 19 MPG combined and 361 mi. range
0178	2	16 mpg	Fuel economy: EPA (08):, 16 MPG city, 26 MPG highway, 19 MPG combined and 341 mi. range
0179	2	16 mpg	Fuel economy: EPA (08):, 16 MPG city, 26 MPG highway, 19 MPG combined and 341 mi. range
0180	2	16 mpg	Fuel economy: EPA (08):, 16 MPG city, 26 MPG highway, 19 MPG combined and 341 mi. range
0181	2	16 mpg	Fuel economy: EPA (08):, 16 MPG city, 26 MPG highway, 19 MPG combined and 341 mi. range
0182	2	15 mpg	Fuel economy: EPA (08):, 15 MPG city, 24 MPG highway, 18 MPG combined and 323 mi. range
0183	2	14 mpg	Fuel economy: EPA (08):, 14 MPG city, 20 MPG highway, 16 MPG combined and 288 mi. range
0184	2	N/A	Fuel economy: EPA 08
0185	2	24 mpg	Fuel economy: EPA 08, 24 MPG city, 36 MPG highway, 28 MPG combined and 420 mi. range
0186	2	24 mpg	Fuel economy: EPA 08, 24 MPG city, 36 MPG highway, 28 MPG combined and 420 mi. range
0187	2	24 mpg	Fuel economy: EPA 08, 24 MPG city, 36 MPG highway, 28 MPG combined and 420 mi. range
0188	2	20 mpg	Fuel economy: EPA (08):, 20 MPG city, 29 MPG highway, 23 MPG combined and 432 mi. range
0189	2	22 mpg	Fuel economy: EPA (08):, 20 MPG city, 29 MPG highway, 23 MPG combined and 432 mi. range
0190	2	20 mpg	Fuel economy: EPA (08):, 20 MPG city, 29 MPG highway, 23 MPG combined and 432 mi. range
0191	2	20 mpg	Fuel consumption: city= 20 (mpg); highway= 29 (mpg); combined= 23 (mpg); vehicle range: 432 miles
0192	2	22 mpg	Fuel consumption: city= 20 (mpg); highway= 29 (mpg); combined= 23 (mpg); vehicle range: 432 miles
0193	2	20 mpg	Fuel consumption: city= 20 (mpg); highway= 29 (mpg); combined= 23 (mpg); vehicle range: 432 miles
0194	2	9 mpg	Fuel economy: EPA (08):, 9 MPG city, 12 MPG highway, 10 MPG combined and 310 mi. range
0195	2	8 mpg	Fuel economy: EPA (08):, 8 MPG city, 12 MPG highway, 10 MPG combined and 310 mi. range
0196	2	16 mpg	Fuel economy: EPA 08, 16 MPG city, 23 MPG highway, 19 MPG combined and 308 mi. range
0197	2	16 mpg	Fuel economy: EPA 08, 16 MPG city, 23 MPG highway, 19 MPG combined and 308 mi. range
0198	2	16 mpg	Fuel economy: EPA 08, 16 MPG city, 23 MPG highway, 19 MPG combined and 308 mi. range
0199	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 23 (mpg); combined= 19 (mpg); vehicle range: 308 miles
0200	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 23 (mpg); combined= 19 (mpg); vehicle range: 308 miles
0201	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 23 (mpg); combined= 19 (mpg); vehicle range: 308 miles
0202	2	16 mpg	Fuel consumption: city= 16 (mpg); highway= 23 (mpg); combined= 19 (mpg); vehicle range: 308 miles
0203	2	21 mpg	Fuel consumption: city= 21 (mpg); highway= 29 (mpg); combined= 24 (mpg); vehicle range: 389 miles
0204	2	14 mpg	Fuel economy: EPA 08, 14 MPG city, 22 MPG highway, 17 MPG combined and 298 mi. range
0205	2	14 mpg	Fuel economy: EPA 08, 14 MPG city, 22 MPG highway, 17 MPG combined and 298 mi. range
0206	2	13 mpg	Fuel economy: EPA 08, 13 MPG city, 20 MPG highway, 15 MPG combined and 262 mi. range
0207	2	22 mpg	Fuel economy: EPA 08, 22 MPG city, 33 MPG highway, 26 MPG combined and 416 mi. range
0208	2	22 mpg	Fuel consumption: city= 22 (mpg); highway= 33 (mpg); combined= 26 (mpg); vehicle range: 416 miles
0209	2	22 mpg	Fuel consumption: city= 22 (mpg); highway= 33 (mpg); combined= 26 (mpg); vehicle range: 416 miles
0210	2	22 mpg	Fuel consumption: city= 22 (mpg); highway= 30 (mpg); combined= 25 (mpg); vehicle range: 400 miles
0211	2	22 mpg	Fuel consumption: city= 22 (mpg); highway= 33 (mpg); combined= 26 (mpg); vehicle range: 416 miles
0212	2	22 mpg	Fuel consumption: city= 22 (mpg); highway= 33 (mpg); combined= 26 (mpg); vehicle range: 416 miles
0213	2	10 mpg	Fuel economy: EPA (08):, 10 MPG city, 14 MPG highway, 12 MPG combined and 312 mi. range
0214	2	15 mpg	Fuel economy: EPA (08):, 15 MPG city, 20 MPG highway, 17 MPG combined and 578 mi. range
0215	2	11 mpg	Fuel economy: EPA 08, 11 MPG city, 16 MPG highway, 13 MPG combined and 338 mi. range
0216	2	11 mpg	Fuel economy: EPA (08):, 11 MPG city, 16 MPG highway, 13 MPG combined and 442 mi. range
0217	2	20 mpg	Fuel economy: EPA 08, 20 MPG city, 23 MPG highway, 21 MPG combined and 546 mi. range
0218	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 338 miles
0219	2	10 mpg	Fuel consumption: city= 10 (mpg); highway= 14 (mpg); combined= 12 (mpg); vehicle range: 312 miles
0220	2	11 mpg	Fuel consumption: city= 11 (mpg); highway= 16 (mpg); combined= 13 (mpg); vehicle range: 442 miles
0221	2	21 mpg	Fuel consumption: city= 21 (mpg); highway= 22 (mpg); combined= 22 (mpg); vehicle range: 572 miles
0222	2	11 mpg	Fuel economy: EPA 08, 11 MPG city, 16 MPG highway, 13 MPG combined and 403 mi. range
0223	2	11 mpg	Fuel economy: EPA 08, 11 MPG city, 16 MPG highway, 13 MPG combined and 403 mi. range
0224	2	11 mpg	Fuel economy: EPA (08):, 11 MPG city, 16 MPG highway, 13 MPG combined and 403 mi. range
0225	2	19 mpg	Fuel economy: EPA 08, 19 MPG city, 27 MPG highway, 22 MPG combined and 407 mi. range
0226	2	19 mpg	Fuel consumption: city= 19 (mpg); highway= 27 (mpg); combined= 22 (mpg); vehicle range: 407 miles
0227	2	19 mpg	Fuel economy: EPA 08, 19 MPG city, 26 MPG highway, 22 MPG combined and 413 mi. range
0228	2	19 mpg	Fuel consumption: city= 19 (mpg); highway= 26 (mpg); combined= 22 (mpg); vehicle range: 413 miles
0229	2	22 mpg	Fuel economy: EPA 08, 22 MPG city, 25 MPG highway, 23 MPG combined and 396 mi. range
0230	2	22 mpg	Fuel consumption: city= 22 (mpg); highway= 25 (mpg); combined= 23 (mpg); vehicle range: 396 miles
0231	2	17 mpg	Fuel economy: EPA 08, 17 MPG city, 24 MPG highway, 20 MPG combined and 375 mi. range
0232	2	17 mpg	Fuel consumption: city= 17 (mpg); highway= 24 (mpg); combined= 20 (mpg); vehicle range: 375 miles
0233	2	15 mpg	Fuel economy: EPA 08, 15 MPG city, 20 MPG highway, 17 MPG combined and 391 mi. range
0234	2	15 mpg	Fuel economy: EPA 08, 15 MPG city, 20 MPG highway, 17 MPG combined and 391 mi. range
