auto	automotive	engine
0164	1	1.6L L4
0165	1	3.5L V6
0166	1	3.9L V6
0167	1	3.5L V6
0168	1	3.5L V6
0169	1	3.9L V6
0170	1	3.5L V6
0171	1	1.6L L4
0172	1	1.6L L4
0173	1	1.6L L4
0174	1	1.6L L4
0175	1	2.4L L4
0176	1	2.4L L4
0177	1	2.4L L4
0178	1	2.4L L4
0179	1	2.4L L4
0180	1	2.4L L4
0181	1	2.4L L4
0182	1	3.6L V6
0183	1	6.2L V8
0184	1	3.6L V6
0185	1	3.6L V6
0186	1	6.2L V8
0187	1	3.6L V6
0188	1	5.3L V8
0189	1	6.0L V8
0190	1	6.0L V8
0191	1	6.0L V8
0192	1	5.3L V8
0193	1	6.0L V8
0194	1	4.3L V6
0195	1	6.0L V8
0196	1	4.8L V8
0197	1	6.0L V8
0198	1	5.3L V8
0199	1	6.0L V8
0200	1	6.0L V8
0201	1	6.0L V8
0202	1	6.0L V8
0203	1	6.0L V8
0204	1	6.0L V8
0205	1	5.3L V8
0206	1	6.0L V8
0207	1	4.8L V8
0208	1	6.0L V8
0209	1	4.8L V8
0210	1	6.0L V8
0211	1	4.8L V8
0212	1	6.0L V8
0213	1	4.8L V8
0214	1	6.0L V8
0215	1	6.0L V8
0216	1	6.0L V8
0217	1	2.2L L4
0218	1	2.2L L4
0219	1	2.2L L4
0220	1	2.0L L4
0221	1	2.2L L4
0222	1	5.3L V8
0223	1	6.0L V8
0224	1	5.3L V8
0225	1	6.0L V8
0226	1	5.3L V8
0227	1	5.3L V8
0228	1	6.0L V8
0229	1	3.7L L5
0230	1	2.9L L4
0231	1	2.9L L4
0232	1	2.9L L4
0233	1	2.9L L4
0234	1	2.9L L4
0235	1	6.0L V8
0236	1	5.3L V8
0237	1	5.3L V8
0238	1	5.3L V8
0239	1	6.0L V8
0240	1	5.3L V8
0241	1	5.3L V8
0242	1	5.3L V8
0243	1	6.2L V8
0244	1	6.2L V8
0245	1	6.2L V8
0246	1	7.0L V8
0247	1	6.2L V8
0248	1	6.2L V8
0249	1	6.2L V8
0250	1	7.0L V8
0251	1	6.2L V8
0252	1	6.2L V8
0253	1	4.2L L6
0254	1	6.0L V8
0255	1	1.4L L4
0256	1	1.4L L4
0257	1	1.8L L4
0258	1	1.4L L4
0259	1	3.6L V6
0260	1	3.6L V6
0261	1	3.6L V6
0262	1	3.6L V6
0263	1	3.6L V6
0264	1	3.6L V6
0265	1	2.4L L4
0266	1	2.4L L4
0267	1	2.4L L4
0268	1	2.4L L4
0269	1	2.4L L4
0270	1	2.4L L4
0271	1	1.4L L4
0272	1	5.3L V8
0273	1	6.6L V8
0274	1	5.3L V8
0275	1	6.6L V8
0276	1	5.3L V8
0277	1	6.6L V8
0278	1	6.6L V8
0279	1	6.6L V8
0280	1	6.6L V8
0281	1	6.6L V8
0282	1	4.8L V8
0283	1	6.6L V8
0284	1	4.8L V8
0285	1	5.3L V8
0286	1	6.6L V8
0287	1	5.3L V8
0288	1	6.6L V8
0289	1	6.6L V8
0290	1	N/AL N/A
0291	1	6.6L V8
0292	1	6.0L V8
0293	1	N/AL N/A
0294	1	3.5L V6
0295	1	3.5L V6
0296	1	3.5L V6
0297	1	3.5L V6
0298	1	3.5L V6
0299	1	3.5L V6
0300	1	3.5L V6
0301	1	3.5L V6
0302	1	4.6L V8
0303	1	4.6L V8
0304	1	4.6L V8
0305	1	4.6L V8
0306	1	3.5L V6
0307	1	3.5L V6
0308	1	5.0L V8
0309	1	5.0L V8
0310	1	5.0L V8
0311	1	4.6L V8
0312	1	4.6L V8
0313	1	5.7L V8
0314	1	5.7L V8
0315	1	4.6L V8
0316	1	4.6L V8
0317	1	4.6L V8
0318	1	3.5L V6
0319	1	3.5L V6
0320	1	2.4L L4
0321	1	2.4L L4
0322	1	2.4L L4
0323	1	3.5L V6
0324	1	3.5L V6
0325	1	5.0L V8
0326	1	5.0L V8
0327	1	4.3L V8
0328	1	2.5L V6
0329	1	2.5L V6
0330	1	2.5L V6
0331	1	2.5L V6
0332	1	1.8L L4
0333	1	1.8L L4
0334	1	2.4L L4
0335	1	2.0L L4
0336	1	2.4L L4
0337	1	3.6L V6
0338	1	2.4L L4
0339	1	2.4L L4
0340	1	3.5L V6
0341	1	3.6L V6
0342	1	3.6L V6
0343	1	3.6L V6
0344	1	3.6L V6
0345	1	2.4L L4
0346	1	2.4L L4
0347	1	2.4L L4
0348	1	4.0L V6
0349	1	4.0L V6
0350	1	4.0L V6
0351	1	N/AL N/A
0352	1	N/AL N/A
0353	1	N/AL N/A
0354	1	5.7L V8
0355	1	6.1L V8
0356	1	3.5L V6
0357	1	3.5L V6
0358	1	5.7L V8
0359	1	3.5L V6
0360	1	2.4L L4
0361	1	5.7L V8
0362	1	4.7L V8
0363	1	3.5L V6
0364	1	2.7L V6
0365	1	2.4L L4
0366	1	2.4L L4
0367	1	2.4L L4
0368	1	3.2L V6
0369	1	3.2L V6
0370	1	3.6L V6
0371	1	3.6L V6
0372	1	3.6L V6
0373	1	3.6L V6
0374	1	4.0L V6
0375	1	3.8L V6
0376	1	3.8L V6
0377	1	3.8L V6
0378	1	3.7L V6
0379	1	3.5L V6
0380	1	3.7L V6
0381	1	3.5L V6
0382	1	3.5L V6
0383	1	2.5L L4
0384	1	3.5L V6
0385	1	3.5L V6
0386	1	3.5L V6
0387	1	5.4L V8
0388	1	5.4L V8
0389	1	5.4L V8
0390	1	5.4L V8
0391	1	3.7L V6
0392	1	3.5L V6
0393	1	4.6L V8
0394	1	4.6L V8
0395	1	4.6L V8
0396	1	4.6L V8
0397	1	2.5L L4
0398	1	2.4L L4
0399	1	1.8L L4
0400	1	1.8L L4
0401	1	2.4L L4
0402	1	2.4L L4
0403	1	2.4L L4
0404	1	2.4L L4
0405	1	2.4L L4
0406	1	2.4L L4
0407	1	2.4L L4
0408	1	2.4L L4
0409	1	4.0L V6
0410	1	4.0L V6
0411	1	3.7L V6
0412	1	4.0L V6
0413	1	4.0L V6
0414	1	3.7L V6
0415	1	3.7L V6
0416	1	3.7L V6
0417	1	2.0L L4
0418	1	2.4L L4
0419	1	2.0L L4
0420	1	2.0L L4
0421	1	2.0L L4
0422	1	2.0L L4
0423	1	2.0L L4
0424	1	2.0L L4
0425	1	2.4L L4
0426	1	2.0L L4
0427	1	2.0L L4
0428	1	2.4L L4
0429	1	2.0L L4
0430	1	2.4L L4
0431	1	4.7L V8
0432	1	4.7L V8
0433	1	3.7L V6
0434	1	3.7L V6
0435	1	4.7L V8
0436	1	4.7L V8
0437	1	3.7L V6
0438	1	3.7L V6
0439	1	5.7L V8
0440	1	6.4L V8
0441	1	3.6L V6
0442	1	5.7L V8
0443	1	6.1L V8
0444	1	3.5L V6
0445	1	5.7L V8
0446	1	5.7L V8
0447	1	5.7L V8
0448	1	5.7L V8
0449	1	5.7L V8
0450	1	5.7L V8
0451	1	5.7L V8
0452	1	5.7L V8
0453	1	3.6L V6
0454	1	5.7L V8
0455	1	3.5L V6
0456	1	6.1L V8
0457	1	5.7L V8
0458	1	3.5L V6
0459	1	2.7L V6
0460	1	6.7L L6
0461	1	6.7L L6
0462	1	6.7L L6
0463	1	6.7L L6
0464	1	6.7L L6
0465	1	6.7L L6
0466	1	6.7L L6
0467	1	6.7L L6
0468	1	3.7L V6
0469	1	3.7L V6
0470	1	3.7L V6
0471	1	4.7L V8
0472	1	3.7L V6
0473	1	3.7L V6
0474	1	3.7L V6
0475	1	3.7L V6
0476	1	3.7L V6
0477	1	3.7L V6
0478	1	4.7L V6
0479	1	3.0L V6
0480	1	3.0L V6
0481	1	3.0L V6
0482	1	3.0L V6
0483	1	3.6L V6
0484	1	3.6L V6
0485	1	3.6L V6
0486	1	5.7L V8
0487	1	3.7L V6
0488	1	5.7L V8
0489	1	3.7L V6
0490	1	3.0L V6
0491	1	3.6L V6
0492	1	3.6L V6
0493	1	3.6L V6
0494	1	3.6L V6
0495	1	3.3L V6
0496	1	3.3L V6
0497	1	4.0L V6
0498	1	3.8L V6
0499	1	3.8L V6
0500	1	8.4L V10
0501	1	8.4L V10
0502	1	8.4L V10
0503	1	8.4L V10
0504	1	3.6L V6
0505	1	3.6L V6
0506	1	2.4L L4
0507	1	3.6L V6
0508	1	3.6L V6
0509	1	3.5L V6
0510	1	3.5L V6
0511	1	2.4L L4
0512	1	1.8L L4
0513	1	1.8L L4
0514	1	1.8L L4
0515	1	1.8L L4
0516	1	3.5L V6
0517	1	N/AL N/A
0518	1	1.0L L3
0519	1	N/AL N/A
0520	1	1.0L L3
0521	1	1.0L L3
0522	1	1.0L L3
0523	1	1.0L L3
0524	1	1.0L L3
0525	1	5.9L V12
0526	1	5.9L V12
0527	1	5.9L V12
0528	1	5.9L V12
0529	1	5.9L V12
0530	1	5.9L V12
0531	1	5.9L V12
0532	1	5.9L V12
0533	1	5.9L V12
0534	1	4.7L V8
0535	1	4.7L V8
0536	1	4.7L V8
0537	1	4.7L V8
0538	1	5.9L V12
0539	1	5.9L V12
0540	1	4.3L V8
0541	1	4.7L V8
0542	1	4.7L V8
0543	1	4.2L V8
0544	1	4.2L V8
0545	1	4.7L V8
0546	1	4.7L V8
0547	1	2.5L H4
0548	1	2.5L H4
0549	1	2.5L H4
0550	1	2.5L H4
0551	1	2.5L H4
0552	1	2.5L H4
0553	1	2.5L H4
0554	1	2.5L H4
0555	1	2.5L H4
0556	1	2.5L H4
0557	1	2.5L H4
0558	1	2.5L H4
0559	1	3.6L H6
0560	1	2.5L H4
0561	1	3.6L H6
0562	1	2.5L H4
0563	1	3.6L H6
0564	1	2.5L H4
0565	1	3.6L H6
0566	1	2.5L H4
0567	1	3.6L H6
0568	1	2.5L H4
0569	1	2.5L H4
0570	1	2.5L H4
0571	1	2.5L H4
0572	1	2.5L H4
0573	1	2.5L H4
0574	1	2.5L H4
0575	1	2.5L H4
0576	1	2.5L H4
0577	1	2.5L H4
0578	1	2.5L H4
0579	1	2.5L H4
0580	1	2.5L H4
0581	1	2.5L H4
0582	1	2.5L H4
0583	1	2.5L H4
0584	1	2.5L H4
0585	1	2.5L H4
0586	1	2.5L H4
0587	1	2.5L H4
0588	1	2.5L H4
0589	1	2.5L H4
0590	1	3.6L H6
0591	1	3.6L H6
0592	1	3.6L H6
0593	1	3.6L H6
0594	1	3.6L H6
0595	1	3.6L H6
0596	1	2.5L H4
0597	1	3.6L H6
0598	1	2.5L H4
0599	1	3.6L H6
0600	1	2.5L H4
0601	1	3.6L H6
0602	1	2.5L H4
0603	1	2.5L H4
0604	1	2.5L H4
0605	1	2.5L H4
0606	1	3.6L H6
0607	1	2.5L H4
0608	1	3.6L H6
0609	1	2.5L H4
0610	1	4.6L V8
0611	1	4.6L V8
0612	1	4.6L V8
0613	1	4.6L V8
0614	1	4.6L V8
0615	1	4.6L V8
0616	1	4.6L V8
0617	1	6.7L V8
0618	1	6.4L V8
0619	1	4.6L V8
0620	1	4.6L V8
0621	1	4.6L V8
0622	1	4.6L V8
0623	1	1.6L L4
0624	1	1.6L L4
0625	1	1.6L L4
0626	1	1.6L L4
0627	1	1.6L L4
0628	1	5.4L V8
0629	1	5.4L V8
0630	1	5.4L V8
0631	1	5.4L V8
0632	1	5.4L V8
0633	1	5.4L V8
0634	1	5.4L V8
0635	1	5.4L V8
0636	1	5.4L V8
0637	1	5.4L V8
0638	1	3.5L V6
0639	1	3.5L V6
0640	1	3.5L V6
0641	1	3.5L V6
0642	1	3.5L V6
0643	1	3.5L V6
0644	1	3.5L V6
0645	1	3.5L V6
0646	1	3.5L V6
0647	1	3.5L V6
0648	1	3.5L V6
0649	1	3.5L V6
0650	1	3.5L V6
0651	1	3.5L V6
0652	1	3.5L V6
0653	1	3.7L V6
0654	1	3.5L V6
0655	1	3.5L V6
0656	1	3.5L V6
0657	1	3.5L V6
0658	1	2.0L L4
0659	1	2.0L L4
0660	1	2.0L L4
0661	1	2.0L L4
0662	1	2.0L L4
0663	1	2.0L L4
0664	1	2.0L L4
0665	1	2.0L L4
0666	1	2.0L L4
0667	1	2.0L L4
0668	1	2.0L L4
0669	1	2.0L L4
0670	1	2.0L L4
0671	1	2.0L L4
0672	1	2.0L L4
0673	1	2.0L L4
0674	1	2.0L L4
0675	1	2.5L L4
0676	1	2.5L L4
0677	1	2.5L L4
0678	1	2.5L L4
0679	1	2.5L L4
0680	1	2.5L L4
0681	1	2.5L L4
0682	1	2.5L L4
0683	1	2.5L L4
0684	1	2.5L L4
0685	1	2.5L L4
0686	1	3.0L V6
0687	1	2.5L L4
0688	1	3.5L V6
0689	1	2.5L L4
0690	1	2.5L L4
0691	1	3.0L V6
0692	1	2.5L L4
0693	1	3.5L V6
0694	1	2.5L L4
0695	1	5.4L V8
0696	1	5.4L V8
0697	1	5.4L V8
0698	1	5.4L V8
0699	1	5.4L V8
0700	1	5.4L V8
0701	1	5.4L V8
0702	1	5.4L V8
0703	1	5.4L V8
0704	1	5.4L V8
0705	1	5.4L V8
0706	1	5.4L V8
0707	1	5.4L V8
0708	1	5.4L V8
0709	1	5.4L V8
0710	1	5.4L V8
0711	1	3.7L V6
0712	1	5.0L V8
0713	1	3.7L V6
0714	1	5.0L V8
0715	1	5.0L V8
0716	1	3.7L V6
0717	1	5.0L V8
0718	1	3.7L V6
0719	1	4.0L V6
0720	1	4.6L V8
0721	1	4.0L V6
0722	1	4.6L V8
0723	1	4.6L V8
0724	1	4.0L V6
0725	1	4.6L V8
0726	1	4.0L V6
0727	1	3.5L V6
0728	1	3.5L V6
0729	1	3.5L V6
0730	1	4.0L V6
0731	1	4.0L V6
0732	1	4.0L V6
0733	1	4.0L V6
0734	1	2.3L L4
0735	1	4.0L V6
0736	1	4.0L V6
0737	1	2.3L L4
0738	1	2.3L L4
0739	1	4.0L V6
0740	1	2.3L L4
0741	1	2.3L L4
0742	1	2.3L L4
0743	1	2.3L L4
0744	1	2.3L L4
0745	1	4.0L V6
0746	1	4.0L V6
0747	1	5.4L V8
0748	1	5.4L V8
0749	1	5.4L V8
0750	1	5.4L V8
0751	1	3.8L V6
0752	1	3.8L V6
0753	1	3.8L V6
0754	1	3.8L V8
0755	1	5.0L V8
0756	1	6.2L V8
0757	1	4.6L V8
0758	1	4.6L V8
0759	1	4.6L V8
0760	1	4.6L V8
0761	1	4.6L V8
0762	1	5.4L V8
0763	1	3.5L V6
0764	1	3.5L V6
0765	1	3.5L V6
0766	1	3.5L V6
0767	1	3.5L V6
0768	1	3.5L V6
0769	1	3.5L V6
0770	1	3.5L V6
0771	1	6.2L V8
0772	1	6.2L V8
0773	1	6.2L V8
0774	1	6.2L V8
0775	1	6.2L V8
0776	1	5.4L V8
0777	1	5.4L V8
0778	1	5.4L V8
0779	1	5.4L V8
0780	1	5.4L V8
0781	1	2.0L L4
0782	1	2.0L L4
0783	1	2.0L L4
0784	1	2.0L L4
0785	1	2.0L L4
0786	1	2.0L L4
0787	1	2.0L L4
0788	1	6.2L V8
0789	1	6.2L V8
0790	1	6.2L V8
0791	1	6.2L V8
0792	1	6.2L V8
0793	1	6.2L V8
0794	1	6.2L V8
0795	1	6.2L V8
0796	1	6.8L V10
0797	1	5.4L V8
0798	1	5.4L V8
0799	1	5.4L V8
0800	1	5.4L V8
0801	1	5.4L V8
0802	1	5.4L V8
0803	1	5.4L V8
0804	1	5.5L V12
0805	1	6.0L V12
0806	1	6.0L V12
0807	1	5.5L V12
0808	1	6.0L V12
0809	1	2.5L L4
0810	1	4.0L V6
0811	1	2.5L L4
0812	1	4.0L V6
0813	1	4.0L V6
0814	1	4.0L V6
0815	1	2.5L L4
0816	1	4.0L V6
0817	1	2.5L L4
0818	1	4.0L V6
0819	1	2.5L L4
0820	1	4.0L V6
0821	1	4.0L V6
0822	1	2.0L L4
0823	1	2.4L L4
0824	1	2.4L L4
0825	1	2.4L L4
0826	1	2.4L L4
0827	1	2.4L L4
0828	1	2.4L L4
0829	1	2.4L L4
0830	1	2.0L L4
0831	1	2.0L L4
0832	1	2.0L L4
0833	1	2.0L L4
0834	1	2.0L L4
0835	1	2.0L L4
0836	1	2.0L L4
0837	1	2.0L L4
0838	1	2.4L L4
0839	1	2.4L L4
0840	1	2.4L L4
0841	1	2.4L L4
0842	1	2.4L L4
0843	1	2.4L L4
0844	1	2.4L L4
0845	1	2.4L L4
0846	1	2.0L L4
0847	1	2.0L L4
0848	1	2.0L L4
0849	1	3.6L V6
0850	1	3.6L V6
0851	1	3.6L V6
0852	1	3.6L V6
0853	1	3.6L V6
0854	1	3.6L V6
0855	1	3.6L V6
0856	1	3.6L V6
0857	1	3.6L V6
0858	1	3.6L V6
0859	1	2.4L L4
0860	1	2.4L L4
0861	1	2.4L L4
0862	1	2.4L L4
0863	1	2.9L L4
0864	1	3.7L L5
0865	1	2.9L L4
0866	1	2.9L L4
0867	1	2.9L L4
0868	1	2.9L L4
0869	1	3.7L L5
0870	1	3.7L L5
0871	1	2.9L L4
0872	1	2.9L L4
0873	1	6.0L V8
0874	1	5.3L V8
0875	1	6.2L V8
0876	1	5.3L V8
0877	1	6.0L V8
0878	1	5.3L V8
0879	1	6.0L V8
0880	1	6.2L V8
0881	1	4.2L L6
0882	1	5.3L V8
0883	1	6.2L V8
0884	1	6.2L V8
0885	1	5.3L V8
0886	1	6.6L V8
0887	1	5.3L V8
0888	1	6.6L V8
0889	1	N/AL N/A
0890	1	6.6L V8
0891	1	6.6L V8
0892	1	6.6L V8
0893	1	6.6L V8
0894	1	N/AL N/A
0895	1	4.8L V8
0896	1	N/AL N/A
0897	1	N/AL N/A
0898	1	5.3L V8
0899	1	4.8L V8
0900	1	5.3L V8
0901	1	4.8L V8
0902	1	4.8L V8
0903	1	6.0L V8
0904	1	4.8L V8
0905	1	6.0L V8
0906	1	6.0L V8
0907	1	5.3L V8
0908	1	5.3L V8
0909	1	5.3L V8
0910	1	4.8L V8
0911	1	6.0L V8
0912	1	6.2L V8
0913	1	6.0L V8
0914	1	6.0L V8
0915	1	6.0L V8
0916	1	5.3L V8
0917	1	6.0L V8
0918	1	4.3L V6
0919	1	6.0L V8
0920	1	4.8L V8
0921	1	6.0L V8
0922	1	4.8L V8
0923	1	6.0L V8
0924	1	6.0L V8
0925	1	6.0L V8
0926	1	6.0L V8
0927	1	6.0L V8
0928	1	5.3L V8
0929	1	6.0L V8
0930	1	6.0L V8
0931	1	6.0L V8
0932	1	5.3L V8
0933	1	6.0L V8
0934	1	4.3L V6
0935	1	6.0L V8
0936	1	4.8L V8
0937	1	6.0L V8
0938	1	4.8L V8
0939	1	6.0L V8
0940	1	5.3L V8
0941	1	6.0L V8
0942	1	6.0L V8
0943	1	6.2L V8
0944	1	6.0L V8
0945	1	6.0L V8
0946	1	6.0L V8
0947	1	2.5L L4
0948	1	2.3L L4
0949	1	2.5L L4
0950	1	2.3L L4
0951	1	2.5L L4
0952	1	2.5L L4
0953	1	2.3L L4
0954	1	2.5L L4
0955	1	2.3L L4
0956	1	2.5L L4
0957	1	2.5L L4
0958	1	2.5L L4
0959	1	3.7L V6
0960	1	2.5L L4
0961	1	3.7L V6
0962	1	2.5L L4
0963	1	2.5L L4
0964	1	2.5L L4
0965	1	3.7L V6
0966	1	2.5L L4
0967	1	3.7L V6
0968	1	2.5L L4
0969	1	3.7L V6
0970	1	3.7L V6
0971	1	3.7L V6
0972	1	3.7L V6
0973	1	3.7L V6
0974	1	3.7L V6
0975	1	2.3L L4
0976	1	2.3L L4
0977	1	1.5L L4
0978	1	1.5L L4
0979	1	2.0L L4
0980	1	2.0L L4
0981	1	2.0L L4
0982	1	2.0L L4
0983	1	2.0L L4
0984	1	2.0L L4
0985	1	2.0L L4
0986	1	2.0L L4
0987	1	2.0L L4
0988	1	2.0L L4
0989	1	2.0L L4
0990	1	2.5L L4
0991	1	2.0L L4
0992	1	2.5L L4
0993	1	2.0L L4
0994	1	2.5L L4
0995	1	2.5L L4
0996	1	2.0L L4
0997	1	2.5L L4
0998	1	2.0L L4
0999	1	2.5L L4
1000	1	2.0L L4
1001	1	2.5L L4
1002	1	2.5L L4
1003	1	1.3L R2
1004	1	1.3L R2
1005	1	1.3L R2
1006	1	1.3L R2
1007	1	1.3L R2
1008	1	1.3L R2
1009	1	2.3L L4
1010	1	2.3L L4
1011	1	2.3L L4
1012	1	2.5L L4
1013	1	2.5L L4
1014	1	2.5L L4
1015	1	3.0L V6
1016	1	2.5L L4
1017	1	2.5L L4
1018	1	2.5L L4
1019	1	3.0L V6
1020	1	4.0L V6
1021	1	4.0L V6
1022	1	4.0L V6
1023	1	4.0L V6
1024	1	4.0L V6
1025	1	4.0L V6
1026	1	1.8L L4
1027	1	1.8L L4
1028	1	1.8L L4
1029	1	1.8L L4
1030	1	1.8L L4
1031	1	3.5L V6
1032	1	3.5L V6
1033	1	3.5L V6
1034	1	3.5L V6
1035	1	3.5L V6
1036	1	2.5L L4
1037	1	2.5L L4
1038	1	3.5L V6
1039	1	2.5L L4
1040	1	2.5L L4
1041	1	3.5L V6
1042	1	2.5L L4
1043	1	2.5L L4
1044	1	2.4L L4
1045	1	2.5L L4
1046	1	2.5L L4
1047	1	2.5L L4
1048	1	2.5L L4
1049	1	2.4L L4
1050	1	2.5L L4
1051	1	2.5L L4
1052	1	5.7L V8
1053	1	5.7L V8
1054	1	5.7L V8
1055	1	5.7L V8
1056	1	5.7L V8
1057	1	5.7L V8
1058	1	1.8L L4
1059	1	1.8L L4
1060	1	1.8L L4
1061	1	2.4L L4
1062	1	1.8L L4
1063	1	2.7L L4
1064	1	3.5L V6
1065	1	3.5L V6
1066	1	3.5L V6
1067	1	3.5L V6
1068	1	3.5L V6
1069	1	3.5L V6
1070	1	3.5L V6
1071	1	3.5L V6
1072	1	3.5L V6
1073	1	3.5L V6
1074	1	3.5L V6
1075	1	3.5L V6
1076	1	4.0L V6
1077	1	4.0L V6
1078	1	4.0L V6
1079	1	2.7L L4
1080	1	4.0L V6
1081	1	2.7L L4
1082	1	4.0L V6
1083	1	4.0L V6
1084	1	2.7L L4
1085	1	4.0L V6
1086	1	4.0L V6
1087	1	2.7L L4
1088	1	4.0L V6
1089	1	4.0L V6
1090	1	4.0L V6
1091	1	2.7L L4
1092	1	2.7L L4
1093	1	4.0L V6
1094	1	4.0L V6
1095	1	3.5L V6
1096	1	3.5L V6
1097	1	3.5L V6
1098	1	3.5L V6
1099	1	3.5L V6
1100	1	3.5L V6
1101	1	4.6L V8
1102	1	4.0L V6
1103	1	5.7L V8
1104	1	5.7L V8
1105	1	5.7L V8
1106	1	5.7L V8
1107	1	4.0L V6
1108	1	5.7L V8
1109	1	4.0L V6
1110	1	5.7L V8
1111	1	4.6L V8
1112	1	5.7L V8
1113	1	4.6L V8
1114	1	4.0L V6
1115	1	3.5L V6
1116	1	3.5L V6
1117	1	3.3L V6
1118	1	3.3L V6
1119	1	2.7L L4
1120	1	2.7L L4
1121	1	5.7L V8
1122	1	5.7L V8
1123	1	1.5L L4
1124	1	1.5L L4
1125	1	1.5L L4
1126	1	1.5L L4
1127	1	1.8L L4
1128	1	2.4L L4
1129	1	2.4L L4
1130	1	2.4L L4
1131	1	2.4L L4
1132	1	3.5L V6
1133	1	2.4L L4
1134	1	3.5L V6
1135	1	2.4L L4
1136	1	3.5L V6
1137	1	2.4L L4
1138	1	2.4L L4
1139	1	2.4L L4
1140	1	3.5L V6
1141	1	2.4L L4
1142	1	3.5L V6
1143	1	2.4L L4
1144	1	3.5L V6
1145	1	1.5L L4
1146	1	1.5L L4
1147	1	3.5L V6
1148	1	3.5L V6
1149	1	1.3L L4
1150	1	1.3L L4
1151	1	1.8L L4
1152	1	1.3L L4
1153	1	1.8L L4
1154	1	1.8L L4
1155	1	1.8L L4
1156	1	1.8L L4
1157	1	1.8L L4
1158	1	1.8L L4
1159	1	1.8L L4
1160	1	2.0L L4
1161	1	1.8L L4
1162	1	2.0L L4
