auto	kbb	engine
0111	1	4-Cyl, VTEC, 1.3 Liter
0112	1	4-Cyl, VTEC, 1.3 Liter
0113	1	4-Cyl, VTEC, 1.3 Liter
0114	1	V6, VTEC, 3.5 Liter
0115	1	V6, VTEC, 3.5 Liter
0116	1	V6, VTEC, 3.5 Liter
0117	1	V6, VTEC, 3.5 Liter
0118	1	V6, VTEC, 3.5 Liter
0119	1	V6, VTEC, 3.5 Liter
0120	1	V6, VTEC, 3.5 Liter
0121	1	V6, VTEC, 3.5 Liter
0122	1	V6, VTEC, 3.5 Liter
0123	1	V6, VTEC, 3.5 Liter
0124	1	V6, VTEC, 3.5 Liter
0125	1	V6, VTEC, 3.5 Liter
0126	1	V6, VTEC, 3.5 Liter
0127	1	V6, VTEC, 3.5 Liter
0128	1	V6, VTEC, 3.5 Liter
0129	1	V6, VTEC, 3.5 Liter
0130	1	V6, VTEC, 3.5 Liter
0131	1	V6, VTEC, 3.5 Liter
0132	1	V6, VTEC, 3.5 Liter
0133	1	V6, VTEC, 3.5 Liter
0134	1	V6, VTEC, 3.5 Liter
0135	1	V6, VTEC, 3.5 Liter
0136	1	V6, VTEC, 3.5 Liter
0137	1	V6, VTEC, 3.5 Liter
0138	1	V6, VTEC, 3.5 Liter
0139	1	V6, VTEC, 3.5 Liter
0140	1	5-Cyl, 3.7 Liter
0141	1	5-Cyl, 3.7 Liter
0142	1	4-Cyl, 1.6 Liter
0143	1	4-Cyl, 1.6 Liter
0144	1	4-Cyl, 1.6 Liter
0145	1	4-Cyl, 1.6 Liter
0146	1	4-Cyl, 1.6 Liter
0147	1	4-Cyl, 1.6 Liter
0148	1	4-Cyl, 1.6 Liter
0149	1	4-Cyl, 1.6 Liter
0150	1	4-Cyl, 1.6 Liter
0151	1	4-Cyl, 1.6 Liter
0152	1	4-Cyl, 1.6 Liter
0153	1	V6, 3.3 Liter
0154	1	V6, 3.8 Liter
0155	1	4-Cyl, 2.0 Liter
0156	1	4-Cyl, 2.0 Liter
0157	1	4-Cyl, 2.0 Liter
0158	1	4-Cyl, 1.8 Liter
0159	1	4-Cyl, 1.8 Liter
0160	1	4-Cyl, 2.0 Liter
0161	1	4-Cyl, 2.0 Liter
0162	1	4-Cyl, 2.0 Liter
0163	1	4-Cyl, 2.0 Liter
0164	1	V6, 3.8 Liter
0165	1	V6, 3.8 Liter
0166	1	4-Cyl, Turbo, 2.0 Liter
0167	1	4-Cyl, Turbo, 2.0 Liter
0168	1	4-Cyl, Turbo, 2.0 Liter
0169	1	V6, 3.8 Liter
0170	1	V6, 3.8 Liter
0171	1	V6, 3.8 Liter
0172	1	4-Cyl, Turbo, 2.0 Liter
0173	1	4-Cyl, Turbo, 2.0 Liter
0174	1	4-Cyl, Turbo, 2.0 Liter
0175	1	V6, 3.8 Liter
0176	1	4-Cyl, 2.4 Liter
0177	1	V6, 3.5 Liter
0178	1	V6, 3.5 Liter
0179	1	V6, 3.5 Liter
0180	1	V6, 3.5 Liter
0181	1	4-Cyl, 2.4 Liter
0182	1	4-Cyl, 2.4 Liter
0183	1	V6, 3.5 Liter
0184	1	4-Cyl, 2.4 Liter
0185	1	4-Cyl, 2.4 Liter
0186	1	4-Cyl, 2.4 Liter
0187	1	4-Cyl, 2.4 Liter
0188	1	4-Cyl, 2.4 Liter
0189	1	4-Cyl, 2.4 Liter
0190	1	4-Cyl, 2.4 Liter
0191	1	4-Cyl, 2.4 Liter
0192	1	4-Cyl, 2.0 Liter
0193	1	4-Cyl, 2.4 Liter
0194	1	V6, 3.8 Liter
0195	1	V6, 3.8 Liter
0196	1	V6, 3.8 Liter
0197	1	V6, 3.8 Liter
0198	1	V6, 3.8 Liter
0199	1	V6, 3.5 Liter
0200	1	V6, 3.5 Liter
0201	1	V6, 3.5 Liter
0202	1	V6, 3.5 Liter
0203	1	V8, 5.0 Liter
0204	1	V6, 3.5 Liter
0205	1	V8, 5.0 Liter
0206	1	V6, 3.7 Liter
0207	1	V6, 3.7 Liter
0208	1	V6, 3.7 Liter
0209	1	V6, 3.7 Liter
0210	1	V6, 3.7 Liter
0211	1	V6, 3.7 Liter
0212	1	V6, 3.7 Liter
0213	1	V6, 3.7 Liter
0214	1	V6, 3.7 Liter
0215	1	V6, 3.7 Liter
0216	1	V6, 3.7 Liter
0217	1	V6, 3.7 Liter
0218	1	V6, 3.7 Liter
0219	1	V6, 2.5 Liter
0220	1	V6, 3.7 Liter
0221	1	V6, 3.5 Liter
0222	1	V6, 3.5 Liter
0223	1	V8, 4.5 Liter
0224	1	V6, 3.7 Liter
0225	1	V8, 5.6 Liter
0226	1	V8, 5.6 Liter
0227	1	V8, 4.2 Liter
0228	1	V8, 5.0 Liter
0229	1	V8, Supercharged, 5.0 Liter
0230	1	V8, Supercharged, 5.0 Liter
0231	1	V8, 5.0 Liter
0232	1	V8, 5.0 Liter
0233	1	V8, Supercharged, 5.0 Liter
0234	1	V8, 5.0 Liter
0235	1	V8, Supercharged, 5.0 Liter
0236	1	V8, Supercharged, 5.0 Liter
0237	1	V8, 5.0 Liter
0238	1	V8, Supercharged, 5.0 Liter
0239	1	V8, 5.0 Liter
0240	1	V8, Supercharged, 5.0 Liter
0241	1	V6, 3.7 Liter
0242	1	V8, HEMI, 5.7 Liter
0243	1	V8, HEMI, 5.7 Liter
0244	1	4-Cyl, 2.0 Liter
0245	1	4-Cyl, 2.4 Liter
0246	1	4-Cyl, 2.4 Liter
0247	1	4-Cyl, 2.4 Liter
0248	1	V6, Flex Fuel, 3.6 Liter
0249	1	V6, Flex Fuel, 3.6 Liter
0250	1	V6, Flex Fuel, 3.6 Liter
0251	1	V6, 3.7 Liter
0252	1	V6, 3.7 Liter
0253	1	V6, 3.7 Liter
0254	1	V6, 3.7 Liter
0255	1	V6, 3.7 Liter
0256	1	4-Cyl, 2.4 Liter
0257	1	4-Cyl, 2.4 Liter
0258	1	4-Cyl, 2.4 Liter
0259	1	4-Cyl, 2.0 Liter
0260	1	4-Cyl, 2.4 Liter
0261	1	4-Cyl, 2.4 Liter
0262	1	V6, 3.8 Liter
0263	1	V6, 3.8 Liter
0264	1	V6, 3.8 Liter
0265	1	V6, 3.8 Liter
0266	1	V6, 3.8 Liter
0267	1	V6, 3.8 Liter
0268	1	V6, 3.8 Liter
0269	1	V6, 3.8 Liter
0270	1	V6, 3.8 Liter
0271	1	V6, 3.8 Liter
0272	1	4-Cyl, 2.0 Liter
0273	1	4-Cyl, 2.0 Liter
0274	1	4-Cyl, 2.4 Liter
0275	1	4-Cyl, 2.0 Liter
0276	1	4-Cyl, 2.4 Liter
0277	1	V6, 2.7 Liter
0278	1	4-Cyl, 1.6 Liter
0279	1	4-Cyl, 1.6 Liter
0280	1	4-Cyl, 1.6 Liter
0281	1	4-Cyl, 1.6 Liter
0282	1	4-Cyl, 1.6 Liter
0283	1	4-Cyl, 1.6 Liter
0284	1	4-Cyl, 1.6 Liter
0285	1	4-Cyl, 1.6 Liter
0286	1	4-Cyl, 1.6 Liter
0287	1	V6, 3.8 Liter
0288	1	V6, 3.8 Liter
0289	1	V6, 3.8 Liter
0290	1	V6, 3.5 Liter
0291	1	V6, 3.5 Liter
0292	1	V6, 3.5 Liter
0293	1	V6, 3.5 Liter
0294	1	V6, 3.5 Liter
0295	1	V6, 3.5 Liter
0296	1	4-Cyl, 1.6 Liter
0297	1	4-Cyl, 2.0 Liter
0298	1	4-Cyl, 2.0 Liter
0299	1	4-Cyl, 2.0 Liter
0300	1	4-Cyl, 1.6 Liter
0301	1	4-Cyl, 2.0 Liter
0302	1	4-Cyl, 2.0 Liter
0303	1	V6, 2.7 Liter
0304	1	V6, 2.7 Liter
0305	1	4-Cyl, 2.4 Liter
0306	1	4-Cyl, 2.4 Liter
0307	1	6-Cyl, 3.2 Liter
0308	1	V8, 5.0 Liter
0309	1	V8, 5.0 Liter
0310	1	V8, Supercharged, 5.0 Liter
0311	1	V8, 5.0 Liter
0312	1	V8, Supercharged, 5.0 Liter
0313	1	V8, 5.0 Liter
0314	1	V8, Supercharged, 5.0 Liter
0315	1	V6, 3.5 Liter
0316	1	V6, 3.5 Liter
0317	1	V6, 3.5 Liter
0318	1	V6, Hybrid, 3.5 Liter
0319	1	V8, 4.6 Liter
0320	1	V8, 4.6 Liter
0321	1	V8, 4.6 Liter
0322	1	4-Cyl, Hybrid, 2.4 Liter
0323	1	4-Cyl, Hybrid, 2.4 Liter
0324	1	4-Cyl, Hybrid, 2.4 Liter
0325	1	V6, 2.5 Liter
0326	1	V6, 2.5 Liter
0327	1	V6, 2.5 Liter
0328	1	V6, 3.5 Liter
0329	1	V6, 2.5 Liter
0330	1	V6, 2.5 Liter
0331	1	V6, 2.5 Liter
0332	1	V6, 3.5 Liter
0333	1	V8, 4.6 Liter
0334	1	V8, 4.6 Liter
0335	1	V8, 4.6 Liter
0336	1	V8, Hybrid, 5.0 Liter
0337	1	V8, 4.6 Liter
0338	1	V8, 4.6 Liter
0339	1	V8, 4.6 Liter
0340	1	V8, Hybrid, 5.0 Liter
0341	1	V8, VVT, 5.7 Liter
0342	1	V8, VVT, 5.7 Liter
0343	1	V6, 3.5 Liter
0344	1	V6, 3.5 Liter
0345	1	V6, Hybrid, 3.5 Liter
0346	1	V6, Hybrid, 3.5 Liter
0347	1	V6, Hybrid, 3.5 Liter
0348	1	V6, Hybrid, 3.5 Liter
0349	1	V6, 3.7 Liter
0350	1	V6, 3.7 Liter
0351	1	V6, 3.7 Liter
0352	1	V6, 3.7 Liter
0353	1	V6, 3.5 Liter
0354	1	V6, 3.5 Liter
0355	1	V6, 3.5 Liter
0356	1	V6, 3.5 Liter
0357	1	4-Cyl, Hybrid, 2.5 Liter
0358	1	V8, Flex Fuel, 5.4 Liter
0359	1	V8, Flex Fuel, 5.4 Liter
0360	1	V8, Flex Fuel, 5.4 Liter
0361	1	V8, Flex Fuel, 5.4 Liter
0362	1	V8, Flex Fuel, 4.6 Liter
0363	1	V8, Flex Fuel, 4.6 Liter
0364	1	V8, Flex Fuel, 4.6 Liter
0365	1	4-Cyl, Supercharged, 1.8 Liter
0366	1	V6, 3.5 Liter
0367	1	V8, 4.7 Liter
0368	1	V12, Twin Turbo, 5.5 Liter
0369	1	V12, Twin Turbo, 6.0 Liter
0370	1	4-Cyl, 2.5 Liter
0371	1	4-Cyl, 2.5 Liter
0372	1	4-Cyl, Turbo, 2.3 Liter
0373	1	4-Cyl, Turbo, 2.3 Liter
0374	1	4-Cyl, Turbo, 2.3 Liter
0375	1	4-Cyl, 2.5 Liter
0376	1	4-Cyl, 2.5 Liter
0377	1	4-Cyl, Turbo, 2.3 Liter
0378	1	4-Cyl, Turbo, 2.3 Liter
0379	1	4-Cyl, Turbo, 2.3 Liter
0380	1	V6, 3.7 Liter
0381	1	V6, 3.7 Liter
0382	1	V6, 3.7 Liter
0383	1	V6, 3.7 Liter
0384	1	V6, 3.7 Liter
0385	1	V6, 3.7 Liter
0386	1	V6, 3.7 Liter
0387	1	4-Cyl, 1.5 Liter
0388	1	4-Cyl, 2.5 Liter
0389	1	4-Cyl, Turbo, 2.3 Liter
0390	1	4-Cyl, 2.0 Liter
0391	1	4-Cyl, 2.5 Liter
0392	1	4-Cyl, 2.5 Liter
0393	1	4-Cyl, 2.5 Liter
0394	1	4-Cyl, 2.5 Liter
0395	1	4-Cyl, 2.5 Liter
0396	1	4-Cyl, 2.5 Liter
0397	1	4-Cyl, Turbo, 2.3 Liter
0398	1	4-Cyl, 2.0 Liter
0399	1	4-Cyl, 2.0 Liter
0400	1	4-Cyl, 2.0 Liter
0401	1	4-Cyl, 2.5 Liter
0402	1	4-Cyl, 2.5 Liter
0403	1	4-Cyl, 2.3 Liter
0404	1	4-Cyl, 2.5 Liter
0405	1	4-Cyl, 2.5 Liter
0406	1	4-Cyl, 2.5 Liter
0407	1	4-Cyl, 2.5 Liter
0408	1	4-Cyl, 2.5 Liter
0409	1	4-Cyl, 2.5 Liter
0410	1	V6, 3.7 Liter
0411	1	4-Cyl, 2.5 Liter
0412	1	4-Cyl, 2.5 Liter
0413	1	V6, 3.7 Liter
0414	1	4-Cyl, 2.0 Liter
0415	1	4-Cyl, 2.0 Liter
0416	1	4-Cyl, 2.0 Liter
0417	1	4-Cyl, 2.0 Liter
0418	1	4-Cyl, 2.0 Liter
0419	1	4-Cyl, 2.0 Liter
0420	1	4-Cyl, 2.0 Liter
0421	1	4-Cyl, 2.0 Liter
0422	1	4-Cyl, 2.0 Liter
0423	1	4-Cyl, 2.0 Liter
0424	1	4-Cyl, 2.0 Liter
0425	1	Rotary, 1.3 Liter
0426	1	Rotary, 1.3 Liter
0427	1	4-Cyl, 2.5 Liter
0428	1	4-Cyl, 2.5 Liter
0429	1	4-Cyl, 2.5 Liter
0430	1	4-Cyl, 2.5 Liter
0431	1	4-Cyl, 2.5 Liter
0432	1	V6, 3.0 Liter
0433	1	4-Cyl, 2.5 Liter
0434	1	4-Cyl, 2.5 Liter
0435	1	4-Cyl, 2.5 Liter
0436	1	4-Cyl, 2.5 Liter
0437	1	4-Cyl, 2.5 Liter
0438	1	V6, 3.0 Liter
0439	1	V6, 3.0 Liter
0440	1	V6, 3.0 Liter
0441	1	V8, 6.3 Liter
0442	1	V6, 3.0 Liter
0443	1	V6, 3.0 Liter
0444	1	V8, 6.3 Liter
0445	1	V12, Twin Turbo, 6.0 Liter
0446	1	V8, Twin Turbo, 4.6 Liter
0447	1	V8, Twin Turbo, 5.5 Liter
0448	1	V12, Twin Turbo, 5.5 Liter
0449	1	V12, Twin Turbo, 6.0 Liter
0450	1	V8, 6.3 Liter
0451	1	V8, 5.5 Liter
0452	1	V8, 6.3 Liter
0453	1	V8, 5.5 Liter
0454	1	V6, 3.5 Liter
0455	1	V8, 5.5 Liter
0456	1	V6, VTEC, 3.7 Liter
0457	1	V6, VTEC, 3.7 Liter
0458	1	V6, VTEC, 3.7 Liter
0459	1	V6, 3.5 Liter
0460	1	V8, 5.5 Liter
0461	1	V8, 5.5 Liter
0462	1	V8, 5.5 Liter
0463	1	V8, 5.5 Liter
0464	1	V8, 6.3 Liter
0465	1	V6, 3.5 Liter
0466	1	V8, 5.5 Liter
0467	1	V6, Turbo Diesel, 3.0 Liter
0468	1	V8, 5.5 Liter
0469	1	V8, 4.6 Liter
0470	1	V6, 3.5 Liter
0471	1	V6, 3.5 Liter
0472	1	V6, 3.5 Liter
0473	1	V6, 3.5 Liter
0474	1	V6, 3.5 Liter
0475	1	V6, Turbo Diesel, 3.0 Liter
0476	1	V6, Hybrid, 3.5 Liter
0477	1	V8, 5.5 Liter
0478	1	V8, 6.3 Liter
0479	1	V6, 3.5 Liter
0480	1	V6, Turbo Diesel, 3.0 Liter
0481	1	V6, Hybrid, 3.5 Liter
0482	1	V8, 5.5 Liter
0483	1	V6, 3.5 Liter
0484	1	V6, VTEC, 3.7 Liter
0485	1	V6, VTEC, 3.7 Liter
0486	1	V6, VTEC, 3.7 Liter
0487	1	V6, VTEC, 3.7 Liter
0488	1	V8, 5.5 Liter
0489	1	V8, 5.5 Liter
0490	1	V8, 6.3 Liter
0491	1	V12, Twin Turbo, 5.5 Liter
0492	1	V8, 5.5 Liter
0493	1	V12, Twin Turbo, 5.5 Liter
0494	1	V12, Twin Turbo, 6.0 Liter
0495	1	V8, 5.5 Liter
0496	1	V6, 3.0 Liter
0497	1	V8, 5.5 Liter
0498	1	V6, 3.5 Liter
0499	1	V8, 6.3 Liter
0500	1	4-Cyl, 2.5 Liter
0501	1	4-Cyl, 2.5 Liter
0502	1	4-Cyl, Hybrid, 2.5 Liter
0503	1	4-Cyl, Turbo, 2.3 Liter
0504	1	4-Cyl, 2.5 Liter
0505	1	4-Cyl, 2.5 Liter
0506	1	4-Cyl, 2.5 Liter
0507	1	4-Cyl, Hybrid, 2.5 Liter
0508	1	4-Cyl, Hybrid, 2.5 Liter
0509	1	4-Cyl, Hybrid, 2.5 Liter
0510	1	4-Cyl, 2.5 Liter
0511	1	V6, Flex Fuel, 3.0 Liter
0512	1	V6, 4.0 Liter
0513	1	V6, 4.0 Liter
0514	1	4-Cyl, Turbocharged, 1.6 Liter
0515	1	4-Cyl, 1.6 Liter
0516	1	4-Cyl, Turbocharged, 1.6 Liter
0517	1	4-Cyl, 1.6 Liter
0518	1	4-Cyl, Turbocharged, 1.6 Liter
0519	1	4-Cyl, Turbocharged, 1.6 Liter
0520	1	4-Cyl, Turbocharged, 1.6 Liter
0521	1	4-Cyl, Turbocharged, 1.6 Liter
0522	1	4-Cyl, Turbocharged, 1.6 Liter
0523	1	4-Cyl, Turbocharged, 1.6 Liter
0524	1	4-Cyl, Turbocharged, 1.6 Liter
0525	1	4-Cyl, Turbocharged, 1.6 Liter
0526	1	4-Cyl, 2.4 Liter
0527	1	4-Cyl, 2.4 Liter
0528	1	4-Cyl, 2.4 Liter
0529	1	4-Cyl, Turbo, 2.3 Liter
0530	1	4-Cyl, 2.4 Liter
0531	1	4-Cyl, 2.4 Liter
0532	1	V6, 3.8 Liter
0533	1	V6, 3.8 Liter
0534	1	V6, 3.8 Liter
0535	1	V6, 3.8 Liter
0536	1	V6, 3.8 Liter
0537	1	V6, 3.8 Liter
0538	1	V6, 3.8 Liter
0539	1	4-Cyl, 2.4 Liter
0540	1	4-Cyl, 2.4 Liter
0541	1	4-Cyl, 2.4 Liter
0542	1	4-Cyl, 2.4 Liter
0543	1	4-Cyl, 2.0 Liter
0544	1	4-Cyl, 2.0 Liter
0545	1	4-Cyl, 2.0 Liter
0546	1	4-Cyl, 2.4 Liter
0547	1	4-Cyl, Turbo, 2.0 Liter
0548	1	4-Cyl, Turbo, 2.0 Liter
0549	1	4-Cyl, Turbo, 2.0 Liter
0550	1	4-Cyl, Turbo, 2.0 Liter
0551	1	4-Cyl, Turbo, 2.0 Liter
0552	1	4-Cyl, 2.0 Liter
0553	1	4-Cyl, 2.0 Liter
0554	1	4-Cyl, 2.4 Liter
0555	1	4-Cyl, 2.0 Liter
0556	1	4-Cyl, 2.0 Liter
0557	1	4-Cyl, 2.4 Liter
0558	1	4-Cyl, 2.4 Liter
0559	1	4-Cyl, Turbo, 2.0 Liter
0560	1	4-Cyl, 2.4 Liter
0561	1	4-Cyl, 2.4 Liter
0562	1	4-Cyl, 2.4 Liter
0563	1	V6, 3.0 Liter
0564	1	4-Cyl, 2.4 Liter
0565	1	4-Cyl, 2.4 Liter
0566	1	4-Cyl, 2.4 Liter
0567	1	V6, 3.0 Liter
0568	1	4-Cyl, 2.0 Liter
0569	1	V6, VTEC, 3.7 Liter
0570	1	V6, VTEC, 3.7 Liter
0571	1	V6, VTEC, 3.7 Liter
0572	1	V6, VTEC, 3.7 Liter
0573	1	V6, 3.7 Liter
0574	1	V6, 3.7 Liter
0575	1	V6, 3.7 Liter
0576	1	V6, 3.7 Liter
0577	1	V6, 3.7 Liter
0578	1	V6, 3.7 Liter
0579	1	V6, 3.7 Liter
0580	1	V6, 3.7 Liter
0581	1	V6, 3.7 Liter
0582	1	4-Cyl, 2.5 Liter
0583	1	4-Cyl, 2.5 Liter
0584	1	4-Cyl, 2.5 Liter
0585	1	V6, 3.5 Liter
0586	1	4-Cyl, 2.5 Liter
0587	1	V6, 3.5 Liter
0588	1	4-Cyl, Hybrid, 2.5 Liter
0589	1	V8, 5.6 Liter
0590	1	V8, 5.6 Liter
0591	1	V8, 5.6 Liter
0592	1	V8, 5.6 Liter
0593	1	V8, 5.6 Liter
0594	1	V8, 5.6 Liter
0595	1	V8, 5.6 Liter
0596	1	4-Cyl, 1.8 Liter
0597	1	4-Cyl, 1.8 Liter
0598	1	4-Cyl, 1.8 Liter
0599	1	4-Cyl, 1.8 Liter
0600	1	4-Cyl, 1.8 Liter
0601	1	V6, 4.0 Liter
0602	1	V6, 4.0 Liter
0603	1	V6, 4.0 Liter
0604	1	V6, 4.0 Liter
0605	1	V6, 4.0 Liter
0606	1	V6, 4.0 Liter
0607	1	V6, 4.0 Liter
0608	1	V6, 4.0 Liter
0609	1	V6, 4.0 Liter
0610	1	V6, 4.0 Liter
0611	1	V6, 4.0 Liter
0612	1	V6, 4.0 Liter
0613	1	V6, 4.0 Liter
0614	1	V6, 4.0 Liter
0615	1	V6, 4.0 Liter
0616	1	4-Cyl, 2.5 Liter
0617	1	4-Cyl, 2.5 Liter
0618	1	4-Cyl, 2.5 Liter
0619	1	V6, 4.0 Liter
0620	1	V6, 4.0 Liter
0621	1	V6, 4.0 Liter
0622	1	V6, 4.0 Liter
0623	1	V6, 4.0 Liter
0624	1	V6, 4.0 Liter
0625	1	V6, 4.0 Liter
0626	1	V6, 4.0 Liter
0627	1	V6, VTEC, 3.5 Liter
0628	1	V6, VTEC, 3.7 Liter
0629	1	V6, VTEC, 3.7 Liter
0630	1	V6, VTEC, 3.7 Liter
0631	1	4-Cyl, 2.5 Liter
0632	1	4-Cyl, 2.5 Liter
0633	1	4-Cyl, 2.5 Liter
0634	1	V6, 4.0 Liter
0635	1	V6, 4.0 Liter
0636	1	V6, 4.0 Liter
0637	1	V6, 4.0 Liter
0638	1	V6, 4.0 Liter
0639	1	V6, Twin Turbo, 3.8 Liter
0640	1	V6, Twin Turbo, 3.8 Liter
0641	1	V6, Twin Turbo, 3.8 Liter
0642	1	4-Cyl, Turbocharged, 1.6 Liter
0643	1	4-Cyl, Turbocharged, 1.6 Liter
0644	1	4-Cyl, Turbocharged, 1.6 Liter
0645	1	4-Cyl, Turbocharged, 1.6 Liter
0646	1	4-Cyl, Turbocharged, 1.6 Liter
0647	1	4-Cyl, Turbocharged, 1.6 Liter
0648	1	AC Electric Motor
0649	1	V6, 3.5 Liter
0650	1	V6, 3.5 Liter
0651	1	V6, 3.5 Liter
0652	1	V6, 3.5 Liter
0653	1	V6, 3.5 Liter
0654	1	V6, 3.5 Liter
0655	1	V6, 3.5 Liter
0656	1	V6, 3.5 Liter
0657	1	V6, 3.5 Liter
0658	1	V6, 3.5 Liter
0659	1	V6, 3.5 Liter
0660	1	V6, 3.5 Liter
0661	1	V6, 3.5 Liter
0662	1	V6, 3.5 Liter
0663	1	V6, 3.5 Liter
0664	1	V6, VTEC, 3.5 Liter
0665	1	V6, VTEC, 3.5 Liter
