auto	msn	price
0282	2	$29,460	$23,935&nbsp;- $42,455
0283	2	$29,470	$23,935&nbsp;- $42,455
0284	2	$30,715	$23,935&nbsp;- $42,455
0285	2	$30,715	$23,935&nbsp;- $42,455
0286	2	$31,705	$23,935&nbsp;- $42,455
0287	2	$33,540	$23,935&nbsp;- $42,455
0288	2	$33,540	$23,935&nbsp;- $42,455
0289	2	$39,920	$23,935&nbsp;- $42,455
0290	2	$23,935	$23,935&nbsp;- $42,455
0291	2	$24,265	$23,935&nbsp;- $42,455
0292	2	$26,275	$23,935&nbsp;- $42,455
0293	2	$26,410	$23,935&nbsp;- $42,455
0294	2	$27,665	$23,935&nbsp;- $42,455
0295	2	$28,655	$23,935&nbsp;- $42,455
0296	2	$29,245	$23,935&nbsp;- $42,455
0297	2	$30,490	$23,935&nbsp;- $42,455
0298	2	$36,860	$23,935&nbsp;- $42,455
0299	2	$177,600	$177,600&nbsp;- $202,500
0300	2	$182,800	$182,800&nbsp;- $207,700
0301	2	$207,700	$182,800&nbsp;- $207,700
0302	2	$231,400	$201,500&nbsp;- $231,400
0303	2	$224,990	$224,990&nbsp;- $267,990
0304	2	$246,990	$224,990&nbsp;- $267,990
0305	2	$267,990	$224,990&nbsp;- $267,990
0306	1	$267,000
0307	1	$334,990
0308	1	$340,990
0309	2	$21,230	$20,230&nbsp;- $21,730
0310	2	$21,730	$20,230&nbsp;- $21,730
0311	2	$24,590	$24,590&nbsp;- $38,180
0312	2	$26,645	$24,590&nbsp;- $38,180
0313	2	$29,490	$24,590&nbsp;- $38,180
0314	2	$32,005	$24,590&nbsp;- $38,180
0315	2	$32,345	$24,590&nbsp;- $38,180
0316	2	$38,180	$24,590&nbsp;- $38,180
0317	2	$90,255	$90,255&nbsp;- $91,005
0318	2	$23,990	$20,845&nbsp;- $29,745
0319	2	$29,745	$20,845&nbsp;- $29,745
0320	2	$23,995	$22,245&nbsp;- $28,995
0321	2	$27,995	$22,245&nbsp;- $28,995
0322	2	$28,995	$22,245&nbsp;- $28,995
0323	2	$28,130	$28,130&nbsp;- $39,785
0324	2	$31,410	$28,130&nbsp;- $39,785
0325	2	$34,545	$28,130&nbsp;- $39,785
0326	2	$37,565	$28,130&nbsp;- $39,785
0327	2	$39,785	$28,130&nbsp;- $39,785
0328	2	$21,800	$21,800&nbsp;- $28,360
0329	2	$28,360	$21,800&nbsp;- $28,360
0330	2	$9,985	$9,985&nbsp;- $15,345
0331	2	$12,695	$9,985&nbsp;- $15,345
0332	2	$15,345	$9,985&nbsp;- $15,345
0333	2	$17,845	$14,145&nbsp;- $17,845
0334	2	$19,495	$15,995&nbsp;- $20,295
0335	2	$19,195	$19,195&nbsp;- $27,045
0336	2	$20,195	$19,195&nbsp;- $27,045
0337	2	$20,195	$19,195&nbsp;- $27,045
0338	2	$22,595	$19,195&nbsp;- $27,045
0339	2	$24,145	$19,195&nbsp;- $27,045
0340	2	$25,295	$19,195&nbsp;- $27,045
0341	2	$22,250	$22,250&nbsp;- $32,250
0342	2	$23,500	$22,250&nbsp;- $32,250
0343	2	$29,750	$22,250&nbsp;- $32,250
0344	2	$30,750	$22,250&nbsp;- $32,250
0345	2	$32,250	$22,250&nbsp;- $32,250
0346	2	$25,495	$25,495&nbsp;- $30,095
0347	2	$33,000	$33,000&nbsp;- $43,000
0348	2	$43,000	$33,000&nbsp;- $43,000
0349	2	$58,000	$58,000&nbsp;- $64,500
0350	2	$18,745	$18,745&nbsp;- $26,195
0351	2	$21,845	$18,745&nbsp;- $26,195
0352	2	$21,845	$18,745&nbsp;- $26,195
0353	2	$23,495	$18,745&nbsp;- $26,195
0354	2	$24,695	$18,745&nbsp;- $26,195
0355	2	$24,695	$18,745&nbsp;- $26,195
0356	2	$26,195	$18,745&nbsp;- $26,195
0357	2	$22,995	$21,695&nbsp;- $30,295
0358	2	$24,695	$21,695&nbsp;- $30,295
0359	2	$25,995	$21,695&nbsp;- $30,295
0360	2	$26,645	$21,695&nbsp;- $30,295
0361	2	$27,895	$21,695&nbsp;- $30,295
0362	2	$28,595	$21,695&nbsp;- $30,295
0363	2	$30,295	$21,695&nbsp;- $30,295
0364	2	$28,145	$28,145&nbsp;- $35,895
0365	2	$34,195	$28,145&nbsp;- $35,895
0366	2	$35,895	$28,145&nbsp;- $35,895
0367	2	N/A	Not released
0368	2	$229,100	$205,000&nbsp;- $229,100
0369	2	$360,400	$360,400&nbsp;- $455,400
0370	2	$388,800	$360,400&nbsp;- $455,400
0371	2	$422,700	$360,400&nbsp;- $455,400
0372	2	$455,400	$360,400&nbsp;- $455,400
0373	2	$366,000	$366,000&nbsp;- $405,500
0374	2	$9,990	$9,990&nbsp;- $16,900
0375	2	$11,240	$9,990&nbsp;- $16,900
0376	2	$13,520	$9,990&nbsp;- $16,900
0377	2	$13,570	$9,990&nbsp;- $16,900
0378	2	$16,900	$9,990&nbsp;- $16,900
0379	2	$13,990	$13,990&nbsp;- $20,440
0380	2	$20,440	$13,990&nbsp;- $20,440
0381	2	$17,450	$15,520&nbsp;- $20,080
0382	2	$17,450	$15,520&nbsp;- $20,080
0383	2	$18,850	$15,520&nbsp;- $20,080
0384	2	$19,580	$15,520&nbsp;- $20,080
0385	2	$20,080	$15,520&nbsp;- $20,080
0386	2	$22,940	$19,900&nbsp;- $30,100
0387	2	$30,100	$19,900&nbsp;- $30,100
0388	2	$19,900	$19,900&nbsp;- $30,100
0389	2	$24,740	$19,900&nbsp;- $30,100
0390	2	$37,520	$30,610&nbsp;- $41,070
0391	2	$39,990	$30,610&nbsp;- $41,070
0392	2	$33,530	$30,810&nbsp;- $33,530
0393	2	$33,720	$32,780&nbsp;- $33,720
0394	1	$84,060
0395	2	$20,260	$18,960&nbsp;- $24,550
0396	2	$20,460	$18,960&nbsp;- $24,550
0397	2	$25,660	$20,810&nbsp;- $25,660
0398	2	$23,220	$20,810&nbsp;- $25,660
0399	2	$24,410	$20,810&nbsp;- $25,660
0400	2	$23,850	$23,850&nbsp;- $29,050
0401	2	$25,900	$23,850&nbsp;- $29,050
0402	2	$37,490	$27,840&nbsp;- $42,600
0403	2	$39,670	$27,840&nbsp;- $42,600
0404	2	$42,600	$27,840&nbsp;- $42,600
0405	2	$27,840	$27,840&nbsp;- $42,600
0406	2	$30,100	$28,500&nbsp;- $39,140
0407	2	$37,050	$28,500&nbsp;- $39,140
0408	2	$35,450	$28,500&nbsp;- $39,140
0409	2	$37,540	$28,500&nbsp;- $39,140
0410	2	$43,510	$37,910&nbsp;- $52,890
0411	2	$45,640	$37,910&nbsp;- $52,890
0412	2	$37,910	$37,910&nbsp;- $52,890
0413	2	$42,840	$37,910&nbsp;- $52,890
0414	2	$23,140	$17,540&nbsp;- $29,820
0415	2	$24,990	$17,540&nbsp;- $29,820
0416	2	$25,790	$17,540&nbsp;- $29,820
0417	2	$27,620	$17,540&nbsp;- $29,820
0418	2	$27,710	$17,540&nbsp;- $29,820
0419	2	$29,270	$17,540&nbsp;- $29,820
0420	2	$29,820	$17,540&nbsp;- $29,820
0421	2	$17,540	$17,540&nbsp;- $29,820
0422	2	$25,010	$17,540&nbsp;- $29,820
0423	2	$27,120	$17,540&nbsp;- $29,820
0424	2	$31,390	$26,540&nbsp;- $39,340
0425	2	$31,940	$26,540&nbsp;- $39,340
0426	2	$36,470	$26,540&nbsp;- $39,340
0427	2	$29,090	$26,540&nbsp;- $39,340
0428	2	$30,740	$26,540&nbsp;- $39,340
0429	2	$51,150	$51,150&nbsp;- $79,150
0430	2	$56,150	$51,150&nbsp;- $79,150
0431	2	$67,150	$51,150&nbsp;- $79,150
0432	2	$72,700	$72,700&nbsp;- $113,200
0433	2	$87,700	$72,700&nbsp;- $113,200
0434	2	$110,200	$72,700&nbsp;- $113,200
0435	2	$88,150	$82,150&nbsp;- $101,150
0436	2	$101,150	$82,150&nbsp;- $101,150
0437	2	$82,150	$82,150&nbsp;- $101,150
0438	2	$14,995	$14,995&nbsp;- $24,195
0439	2	$15,995	$14,995&nbsp;- $24,195
0440	2	$18,195	$14,995&nbsp;- $24,195
0441	2	$19,545	$14,995&nbsp;- $24,195
0442	2	$20,795	$14,995&nbsp;- $24,195
0443	2	$21,395	$14,995&nbsp;- $24,195
0444	2	$22,995	$14,995&nbsp;- $24,195
0445	2	$22,995	$14,995&nbsp;- $24,195
0446	2	$24,195	$14,995&nbsp;- $24,195
0447	2	$16,300	$16,300&nbsp;- $19,340
0448	2	$16,300	$16,300&nbsp;- $19,340
0449	2	$19,340	$16,300&nbsp;- $19,340
0450	2	$17,965	$17,965&nbsp;- $23,435
0451	2	$17,965	$17,965&nbsp;- $23,435
0452	2	$19,685	$17,965&nbsp;- $23,435
0453	2	$22,810	$17,965&nbsp;- $23,435
0454	2	$23,435	$17,965&nbsp;- $23,435
0455	2	$20,390	$18,690&nbsp;- $27,390
0456	2	$20,390	$18,690&nbsp;- $27,390
0457	2	$20,390	$18,690&nbsp;- $27,390
0458	2	$26,390	$18,690&nbsp;- $27,390
0459	2	$27,390	$18,690&nbsp;- $27,390
0460	2	$27,390	$18,690&nbsp;- $27,390
0461	2	$19,510	$19,510&nbsp;- $24,615
0462	2	$19,510	$19,510&nbsp;- $24,615
0463	2	$23,240	$19,510&nbsp;- $24,615
0464	2	$24,615	$19,510&nbsp;- $24,615
0465	2	$24,290	$23,690&nbsp;- $29,605
0466	2	$25,440	$23,690&nbsp;- $29,605
0467	2	$26,040	$23,690&nbsp;- $29,605
0468	2	$29,005	$23,690&nbsp;- $29,605
0469	2	$29,605	$23,690&nbsp;- $29,605
0470	1	$24,770
0471	1	$24,770
0472	1	$27,915
0473	1	$27,915
0474	1	$27,915
0475	2	$28,200	$28,200&nbsp;- $39,990
0476	2	$33,575	$28,200&nbsp;- $39,990
0477	2	$34,375	$28,200&nbsp;- $39,990
0478	2	$39,990	$28,200&nbsp;- $39,990
0479	1	$28,755
0480	1	$28,755
0481	2	$36,100	$32,940&nbsp;- $36,100
0482	2	$23,485	$23,485&nbsp;- $37,050
0483	2	$26,540	$23,485&nbsp;- $37,050
0484	2	$29,900	$23,485&nbsp;- $37,050
0485	2	$32,090	$23,485&nbsp;- $37,050
0486	2	$32,820	$23,485&nbsp;- $37,050
0487	2	$44,450	$44,450&nbsp;- $57,500
0488	2	$47,950	$44,450&nbsp;- $57,500
0489	2	$48,300	$44,450&nbsp;- $57,500
0490	2	$54,000	$44,450&nbsp;- $57,500
0491	2	$57,500	$44,450&nbsp;- $57,500
0492	2	$25,900	$25,900&nbsp;- $42,500
0493	2	$30,600	$25,900&nbsp;- $42,500
0494	2	$32,600	$25,900&nbsp;- $42,500
0495	2	$33,600	$25,900&nbsp;- $42,500
0496	2	$38,600	$25,900&nbsp;- $42,500
0497	2	$38,600	$25,900&nbsp;- $42,500
0498	2	$42,500	$25,900&nbsp;- $42,500
0499	2	$34,500	$29,450&nbsp;- $40,650
0500	2	$40,650	$29,450&nbsp;- $40,650
0501	2	$35,650	$33,650&nbsp;- $58,700
0502	2	$43,150	$33,650&nbsp;- $58,700
0503	2	$44,150	$33,650&nbsp;- $58,700
0504	2	$45,500	$33,650&nbsp;- $58,700
0505	2	$50,150	$33,650&nbsp;- $58,700
0506	2	$51,700	$33,650&nbsp;- $58,700
0507	2	$58,700	$33,650&nbsp;- $58,700
0508	2	$38,200	$36,200&nbsp;- $38,200
0509	2	$44,550	$44,550&nbsp;- $62,000
0510	1	$55,950
0511	2	$56,000	$56,000&nbsp;- $63,900
0512	2	$78,450	$78,450&nbsp;- $85,550
0513	2	$82,000	$82,000&nbsp;- $137,000
0514	2	$85,000	$82,000&nbsp;- $137,000
0515	2	$58,400	$55,400&nbsp;- $67,050
0516	2	$67,050	$55,400&nbsp;- $67,050
0517	1	$85,700
0518	2	$102,350	$102,350&nbsp;- $108,150
0519	2	$52,400	$46,500&nbsp;- $61,550
0520	2	$61,550	$46,500&nbsp;- $61,550
0521	2	$46,300	$46,300&nbsp;- $85,700
0522	2	$52,100	$46,300&nbsp;- $85,700
0523	2	$67,200	$56,500&nbsp;- $89,000
0524	2	$89,000	$56,500&nbsp;- $89,000
0525	1	$88,900
0526	2	N/A	Not released
0527	2	$186,925	$186,925&nbsp;- $217,310
0528	2	$217,310	$186,925&nbsp;- $217,310
0529	2	N/A	$286,968
0530	1	$319,038
0531	2	$30,950	$30,950&nbsp;- $44,000
0532	2	$32,350	$30,950&nbsp;- $44,000
0533	2	$35,050	$30,950&nbsp;- $44,000
0534	2	$36,650	$30,950&nbsp;- $44,000
0535	2	$39,200	$30,950&nbsp;- $44,000
0536	2	$39,450	$30,950&nbsp;- $44,000
0537	2	$40,800	$30,950&nbsp;- $44,000
0538	2	$44,500	$44,500&nbsp;- $56,750
0539	2	$56,750	$44,500&nbsp;- $56,750
0540	2	$46,500	$46,500&nbsp;- $60,400
0541	2	$57,900	$46,500&nbsp;- $60,400
0542	2	$36,200	$36,200&nbsp;- $49,850
0543	2	$39,300	$36,200&nbsp;- $49,850
0544	2	$42,400	$36,200&nbsp;- $49,850
0545	2	$47,950	$36,200&nbsp;- $49,850
0546	2	$49,850	$36,200&nbsp;- $49,850
0547	2	$33,800	$33,800&nbsp;- $37,400
0548	2	$36,000	$33,800&nbsp;- $37,400
0549	2	$37,400	$33,800&nbsp;- $37,400
