auto	yahoo	engine
0109	1	3.5L V6, 12 valves, 211 hp @ 5800 rpm
0110	1	3.5L V6, 12 valves, 211 hp @ 5800 rpm
0111	1	3.9L V6, 12 valves, 230 hp @ 5700 rpm
0112	1	4.3L V6, 12 valves, 195 hp @ 4600 rpm
0113	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0114	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0115	1	3.5L V6, 12 valves, 211 hp @ 5800 rpm
0116	1	3.5L V6, 24 valves, 271 hp @ 6300 rpm
0117	1	3.5L V6, 24 valves, 271 hp @ 6300 rpm
0118	1	2.5L I5, 20 valves, 227 hp @ 5000 rpm
0119	1	2.5L I5, 20 valves, 227 hp @ 5000 rpm
0120	1	2.9L I4, 16 valves, 185 hp @ 5600 rpm
0121	1	2.9L I4, 16 valves, 185 hp @ 5600 rpm
0122	1	2.5L I4, 16 valves, 171 hp @ 6000 rpm
0123	1	2.5L I4, 16 valves, 171 hp @ 6000 rpm
0124	1	2.5L I4, 16 valves, 171 hp @ 6000 rpm
0125	1	3.0L V6, 24 valves, 240 hp @ 6550 rpm
0126	1	3.0L V6, 24 valves, 240 hp @ 6550 rpm
0127	1	2.4L I4, 16 valves, 166 hp @ 5800 rpm
0128	1	2.4L I4, 16 valves, 166 hp @ 5800 rpm
0129	1	2.4L I4, 16 valves, 166 hp @ 5800 rpm
0130	1	2.4L I4, 16 valves, 166 hp @ 5800 rpm
0131	1	2.5L I4, 16 valves, 170 hp @ 6000 rpm
0132	1	2.0L I4, 16 valves, 167 hp @ 7000 rpm
0133	1	2.0L I4, 16 valves, 167 hp @ 7000 rpm
0134	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0135	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0136	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0137	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0138	1	4.0L V6, 24 valves, 260 hp @ 5600 rpm
0139	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0140	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0141	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0142	1	4.0L V6, 12 valves, 207 hp @ 5250 rpm
0143	1	4.0L V6, 12 valves, 207 hp @ 5250 rpm
0144	1	2.5L H4, 16 valves, 265 hp @ 6000 rpm
0145	1	2.5L H4, 16 valves, 265 hp @ 6000 rpm
0146	1	2.5L H4, 16 valves, 305 hp @ 6000 rpm
0147	1	2.5L H4, 16 valves, 305 hp @ 6000 rpm
0148	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0149	1	1.8L I4, 16 valves, 113 hp @ 6300 rpm
0150	1	3.8L V6, 24 valves, 283 hp @ 6200 rpm
0151	1	3.8L V6, 12 valves, 202 hp @ 5200 rpm
0152	1	3.8L V6, 12 valves, 202 hp @ 5200 rpm
0153	1	3.8L V6, 12 valves, 202 hp @ 5200 rpm
0154	1	2.4L I4, 16 valves, 176 hp @ 6000 rpm
0155	1	2.4L I4, 16 valves, 176 hp @ 6000 rpm
0156	1	2.4L I4, 16 valves, 170 hp @ 6000 rpm
0157	1	2.4L I4, 16 valves, 170 hp @ 6000 rpm
0158	1	2.4L I4, 16 valves, 176 hp @ 6000 rpm
0159	1	2.9L I4, 16 valves, 185 hp @ 5600 rpm
0160	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0161	1	2.5L I4, 16 valves, 169 hp @ 6000 rpm
0162	1	2.5L I4, 16 valves, 169 hp @ 6000 rpm
0163	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0164	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0165	1	3.5L V6, 24 valves, 268 hp @ 6200 rpm
0166	1	2.4L I4, 16 valves, 177 hp @ 6500 rpm
0167	1	2.4L I4, 16 valves, 177 hp @ 6500 rpm
0168	1	2.4L I4, 16 valves, 177 hp @ 6500 rpm
0169	1	2.4L I4, 16 valves, 190 hp @ 7000 rpm
0170	1	2.4L I4, 16 valves, 190 hp @ 7000 rpm
0171	1	2.4L I4, 16 valves, 190 hp @ 7000 rpm
0172	1	3.5L V6, 24 valves, 271 hp @ 6200 rpm
0173	1	3.5L V6, 24 valves, 271 hp @ 6200 rpm
0174	1	3.8L V6, 12 valves, 202 hp @ 5200 rpm
0175	1	4.0L V6, 24 valves, 236 hp @ 5200 rpm
0176	1	4.0L V6, 12 valves, 207 hp @ 5250 rpm
0177	1	4.0L V6, 12 valves, 207 hp @ 5250 rpm
0178	1	4.6L V8, 16 valves, 225 hp @ 4800 rpm
0179	1	4.6L V8, 16 valves, 225 hp @ 4800 rpm
0180	1	5.4L V8, 16 valves, 255 hp @ 4500 rpm
0181	1	4.6L V8, 16 valves, 248 hp @ 4750 rpm
0182	1	4.6L V8, 16 valves, 248 hp @ 4750 rpm
0183	1	4.6L V8, 16 valves, 248 hp @ 4750 rpm
0184	1	4.6L V8, 24 valves, 292 hp @ 5700 rpm
0185	1	5.4L V8, 24 valves, 310 hp @ 5000 rpm
0186	1	2.4L I4, 16 valves, 187 hp @ 6000 rpm
0187	1	2.7L I4, 16 valves, 182 hp @ 5800 rpm
0188	1	2.7L I4, 16 valves, 182 hp @ 5800 rpm
0189	1	3.5L V6, 24 valves, 268 hp @ 6200 rpm
0190	1	2.7L I4, 16 valves, 182 hp @ 5800 rpm
0191	1	3.5L V6, 24 valves, 268 hp @ 6200 rpm
0192	1	2.4L I4, 16 valves, 187 hp @ 6000 rpm
0193	1	2.5L H4, 16 valves, 170 hp @ 5800 rpm
0194	1	2.5L H4, 16 valves, 170 hp @ 5800 rpm
0195	1	2.5L H4, 16 valves, 224 hp @ 5200 rpm
0196	1	2.5L H4, 16 valves, 170 hp @ 5800 rpm
0197	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0198	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0199	1	4.3L V6, 12 valves, 195 hp @ 4600 rpm
0200	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0201	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0202	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0203	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0204	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0205	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0206	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0207	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0208	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0209	1	2.4L I4, 16 valves, 169 hp @ 6400 rpm
0210	1	2.4L I4, 16 valves, 169 hp @ 6400 rpm
0211	1	2.4L I4, 16 valves, 169 hp @ 6400 rpm
0212	1	2.4L I4, 16 valves, 169 hp @ 6400 rpm
0213	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0214	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0215	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0216	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0217	1	2.5L I4, 16 valves, 179 hp @ 6000 rpm
0218	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0219	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0220	1	3.5L V6, 24 valves, 269 hp @ 6200 rpm
0221	1	2.4L I4, 16 valves, 169 hp @ 6400 rpm
0222	1	2.4L I4, 16 valves, 169 hp @ 6400 rpm
0223	1	2.4L I4, 16 valves, 169 hp @ 6400 rpm
0224	1	3.7L V6, 24 valves, 302 hp @ 6500 rpm
0225	1	3.7L V6, 24 valves, 302 hp @ 6500 rpm
0226	1	3.7L V6, 24 valves, 302 hp @ 6500 rpm
0227	1	1.8L I4, 16 valves, 134 hp @ 5200 rpm
0228	1	2.0L I4, 16 valves, 167 hp @ 7000 rpm
0229	1	3.3L V6, 12 valves, 175 hp @ 5000 rpm
0230	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0231	1	2.5L I4, 16 valves, 158 hp @ 5200 rpm
0232	1	3.7L V6, 24 valves, 302 hp @ 6500 rpm
0233	1	3.7L V6, 24 valves, 302 hp @ 6500 rpm
0234	1	3.7L V6, 24 valves, 302 hp @ 6500 rpm
0235	1	2.0L I4, 16 valves, 152 hp @ 6000 rpm
0236	1	2.4L I4, 16 valves, 168 hp @ 6000 rpm
0237	1	2.0L I4, 16 valves, 237 hp @ 6000 rpm
0238	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0239	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0240	1	3.8L V6, 12 valves, 202 hp @ 5200 rpm
0241	1	3.8L V6, 12 valves, 202 hp @ 5200 rpm
0242	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0243	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0244	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0245	1	3.5L V6, 24 valves, 263 hp @ 6250 rpm
0246	1	4.3L V6, 12 valves, 195 hp @ 4600 rpm
0247	1	4.8L V8, 16 valves, 302 hp @ 5600 rpm
0248	1	2.5L I5, 20 valves, 150 hp @ 5000 rpm
0249	1	2.5L I5, 20 valves, 150 hp @ 5000 rpm
0250	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0251	1	2.0L I4, 16 valves, 140 hp @ 4200 rpm
0252	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0253	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0254	1	2.0L I4, 16 valves, 140 hp @ 4200 rpm
0255	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0256	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0257	1	2.7L I4, 16 valves, 187 hp @ 5800 rpm
0258	1	3.5L V6, 24 valves, 270 hp @ 6200 rpm
0259	1	2.7L I4, 16 valves, 187 hp @ 5800 rpm
0260	1	3.5L V6, 24 valves, 270 hp @ 6200 rpm
0261	1	3.5L V6, 24 valves, 270 hp @ 6200 rpm
0262	1	3.5L V6, 24 valves, 270 hp @ 6200 rpm
0263	1	3.5L V6, 24 valves, 265 hp @ 6250 rpm
0264	1	3.5L V6, 24 valves, 265 hp @ 6250 rpm
0265	1	3.5L V6, 24 valves, 265 hp @ 6250 rpm
0266	1	3.5L V6, 24 valves, 265 hp @ 6250 rpm
0267	1	6.0L V8, 16 valves, 360 hp @ 5400 rpm
0268	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0269	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0270	1	2.0L I4, 16 valves, 148 hp @ 6000 rpm
0271	1	2.5L I4, 16 valves, 152 hp @ 5200 rpm
0272	1	2.5L I4, 16 valves, 152 hp @ 5200 rpm
0273	1	2.4L I4, 16 valves, 180 hp @ 6800 rpm
0274	1	2.4L I4, 16 valves, 180 hp @ 6800 rpm
0275	1	2.4L I4, 16 valves, 180 hp @ 6800 rpm
0276	1	2.5L I4, 16 valves, 175 hp @ 5600 rpm
0277	1	2.5L I4, 16 valves, 175 hp @ 5600 rpm
0278	1	3.5L V6, 24 valves, 270 hp @ 6000 rpm
0279	1	3.5L V6, 24 valves, 270 hp @ 6000 rpm
0280	1	3.5L V6, 24 valves, 270 hp @ 6000 rpm
0281	1	3.5L V6, 24 valves, 270 hp @ 6000 rpm
0282	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0283	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0284	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0285	1	2.9L I4, 16 valves, 185 hp @ 5600 rpm
0286	1	4.3L V6, 12 valves, 195 hp @ 4600 rpm
0287	1	6.6L V8, 32 valves, 260 hp @ 3100 rpm
0288	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0289	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0290	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0291	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0292	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0293	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0294	1	3.6L V6, 24 valves, 280 hp @ 6200 rpm
0295	1	3.8L V6, 24 valves, 265 hp @ 5750 rpm
0296	1	3.5L V6, 24 valves, 235 hp @ 6400 rpm
0297	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0298	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0299	1	2.5L I4, 16 valves, 175 hp @ 6000 rpm
0300	1	2.5L I4, 16 valves, 175 hp @ 6000 rpm
0301	1	3.5L V6, 24 valves, 263 hp @ 6250 rpm
0302	1	3.5L V6, 24 valves, 263 hp @ 6250 rpm
0303	1	2.4L I4, 16 valves, 173 hp @ 6000 rpm
0304	1	3.5L V6, 24 valves, 235 hp @ 6400 rpm
0305	1	3.5L V6, 24 valves, 235 hp @ 6400 rpm
0306	1	3.5L V6, 24 valves, 235 hp @ 6400 rpm
0307	1	3.5L V6, 24 valves, 235 hp @ 6400 rpm
0308	1	3.5L V6, 24 valves, 235 hp @ 6400 rpm
0309	1	3.5L V6, 24 valves, 235 hp @ 6400 rpm
0310	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0311	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0312	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0313	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0314	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0315	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0316	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0317	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0318	1	3.0L V6, 24 valves, 240 hp @ 6500 rpm
0319	1	2.5L I4, 16 valves, 175 hp @ 6000 rpm
0320	1	2.9L I4, 16 valves, 185 hp @ 5600 rpm
0321	1	2.9L I4, 16 valves, 185 hp @ 5600 rpm
0322	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0323	1	2.4L I4, 16 valves, 182 hp @ 6700 rpm
0324	1	2.4L I4, 16 valves, 182 hp @ 6700 rpm
0325	1	2.4L I4, 16 valves, 182 hp @ 6700 rpm
0326	1	2.5L H4, 16 valves, 170 hp @ 5600 rpm
0327	1	2.5L H4, 16 valves, 170 hp @ 5600 rpm
0328	1	3.6L H6, 24 valves, 256 hp @ 6000 rpm
0329	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0330	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0331	1	2.5L H4, 16 valves, 265 hp @ 6000 rpm
0332	1	2.5L H4, 16 valves, 265 hp @ 6000 rpm
0333	1	2.5L H4, 16 valves, 305 hp @ 6000 rpm
0334	1	2.5L H4, 16 valves, 305 hp @ 6000 rpm
0335	1	5.4L V8, 24 valves, 300 hp @ 5000 rpm
0336	1	3.8L V6, 24 valves, 225 hp @ 5000 rpm
0337	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0338	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0339	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0340	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0341	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0342	1	2.5L I4, 16 valves, 156 hp @ 6000 rpm
0343	1	3.8L V6, 24 valves, 244 hp @ 6000 rpm
0344	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0345	1	3.7L V6, 12 valves, 210 hp @ 5200 rpm
0346	1	4.0L V6, 24 valves, 260 hp @ 6000 rpm
0347	1	4.0L V6, 24 valves, 260 hp @ 6000 rpm
0348	1	4.0L V6, 24 valves, 260 hp @ 6000 rpm
0349	1	2.4L I4, 16 valves, 190 hp @ 7000 rpm
0350	1	2.4L I4, 16 valves, 190 hp @ 7000 rpm
0351	1	2.4L I4, 16 valves, 190 hp @ 7000 rpm
0352	1	2.4L I4, 16 valves, 190 hp @ 7000 rpm
0353	1	3.5L V6, 24 valves, 271 hp @ 6200 rpm
0354	1	3.5L V6, 24 valves, 271 hp @ 6200 rpm
0355	1	3.5L V6, 24 valves, 271 hp @ 6200 rpm
0356	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0357	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0358	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0359	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0360	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0361	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0362	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0363	1	3.5L V6, 24 valves, 266 hp @ 6200 rpm
0364	1	3.5L V6, 24 valves, 266 hp @ 6200 rpm
0365	1	3.5L V6, 24 valves, 266 hp @ 6200 rpm
0366	1	3.5L V6, 24 valves, 266 hp @ 6200 rpm
0367	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0368	1	3.7L I5, 20 valves, 242 hp @ 5600 rpm
0369	1	4.6L V8, 32 valves, 310 hp @ 5600 rpm
0370	1	5.7L V8, 32 valves, 381 hp @ 5600 rpm
0371	1	2.4L I5, 20 valves, 168 hp @ 6000 rpm
0372	1	2.5L I5, 20 valves, 227 hp @ 5000 rpm
0373	1	2.0L I4, 16 valves, 200 hp @ 5100 rpm
0374	1	2.0L I4, 16 valves, 210 hp @ 5500 rpm
0375	1	2.0L I4, 16 valves, 210 hp @ 5500 rpm
0376	1	2.0L I4, 16 valves, 210 hp @ 5500 rpm
0377	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0378	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0379	1	3.5L V6, 24 valves, 250 hp @ 5700 rpm
0380	1	3.7L V6, 12 valves, 215 hp @ 5200 rpm
0381	1	4.7L V8, 16 valves, 310 hp @ 5650 rpm
0382	1	4.7L V8, 16 valves, 310 hp @ 5650 rpm
0383	1	4.7L V8, 16 valves, 310 hp @ 5650 rpm
0384	1	5.7L V8, 16 valves, 390 hp @ 5600 rpm
0385	1	4.0L V6, 12 valves, 210 hp @ 5300 rpm
0386	1	4.0L V6, 12 valves, 210 hp @ 5300 rpm
0387	1	4.0L V6, 12 valves, 210 hp @ 5300 rpm
0388	1	4.6L V8, 24 valves, 315 hp @ 6000 rpm
0389	1	4.6L V8, 24 valves, 315 hp @ 6000 rpm
0390	1	4.6L V8, 24 valves, 315 hp @ 6000 rpm
0391	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0392	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0393	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0394	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0395	1	4.0L V6, 24 valves, 261 hp @ 5600 rpm
0396	1	2.4L I4, 16 valves, 182 hp @ 6200 rpm
0397	1	2.4L I4, 16 valves, 182 hp @ 6200 rpm
0398	1	2.4L I4, 16 valves, 182 hp @ 6200 rpm
0399	1	2.4L I4, 16 valves, 182 hp @ 6200 rpm
0400	1	2.4L I4, 16 valves, 182 hp @ 6200 rpm
0401	1	2.4L I4, 16 valves, 182 hp @ 6700 rpm
0402	1	2.4L I4, 16 valves, 182 hp @ 6700 rpm
0403	1	2.4L I4, 16 valves, 182 hp @ 6700 rpm
0404	1	2.4L I4, 16 valves, 182 hp @ 6700 rpm
0405	1	4.3L V6, 12 valves, 195 hp @ 4600 rpm
0406	1	4.8L V8, 16 valves, 280 hp @ 5200 rpm
0407	1	5.3L V8, 16 valves, 310 hp @ 5200 rpm
0408	1	4.8L V8, 16 valves, 280 hp @ 5200 rpm
0409	1	6.6L V8, 32 valves, 250 hp @ 3200 rpm
0410	1	4.6L V8, 16 valves, 248 hp @ 4750 rpm
0411	1	4.6L V8, 16 valves, 248 hp @ 4750 rpm
0412	1	4.6L V8, 16 valves, 248 hp @ 4750 rpm
0413	1	5.6L V8, 32 valves, 317 hp @ 5200 rpm
0414	1	5.6L V8, 32 valves, 317 hp @ 5200 rpm
0415	1	5.6L V8, 32 valves, 317 hp @ 5200 rpm
0416	1	5.7L V8, 32 valves, 381 hp @ 5600 rpm
0417	1	5.7L V8, 32 valves, 381 hp @ 5600 rpm
0418	1	5.7L V8, 32 valves, 381 hp @ 5600 rpm
0419	1	5.7L V8, 32 valves, 381 hp @ 5600 rpm
0420	1	5.6L V8, 32 valves, 317 hp @ 5200 rpm
0421	1	5.6L V8, 32 valves, 317 hp @ 5200 rpm
0422	1	5.6L V8, 32 valves, 317 hp @ 5200 rpm
