auto	cars	fuel_economy
0050	0	<NULL>
0051	0	<NULL>
0052	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 24
0053	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 21 &#150; 24
0054	1	City: 24 &nbsp;&nbsp;Highway: 34 &#150; 35
0055	1	City: 25 &nbsp;&nbsp;Highway: 34 &#150; 35
0056	1	City: 17 &#150; 23 &nbsp;&nbsp;Highway: 24 &#150; 33
0057	1	City: 41 &nbsp;&nbsp;Highway: 36
0058	1	City: 14 &#150; 22 &nbsp;&nbsp;Highway: 18 &#150; 27
0059	1	City: 14 &#150; 22 &nbsp;&nbsp;Highway: 18 &#150; 27
0060	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 25 &#150; 28
0061	1	City: 21 &nbsp;&nbsp;Highway: 26
0062	1	City: 17 &#150; 22 &nbsp;&nbsp;Highway: 24 &#150; 32
0063	0	<NULL>
0064	0	<NULL>
0065	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 23 &#150; 24
0066	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 23 &#150; 24
0067	1	City: 14 &#150; 18 &nbsp;&nbsp;Highway: 19 &#150; 25
0068	1	City: 14 &#150; 18 &nbsp;&nbsp;Highway: 19 &#150; 25
0069	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 17 &#150; 20
0070	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 17 &#150; 20
0071	0	<NULL>
0072	1	City: 10 &#150; 11 &nbsp;&nbsp;Highway: 16
0073	0	<NULL>
0074	1	City: 10 &#150; 11 &nbsp;&nbsp;Highway: 16
0075	1	City: 12 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 22
0076	1	City: 12 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 22
0077	1	City: 21 &nbsp;&nbsp;Highway: 22
0078	1	City: 20 &nbsp;&nbsp;Highway: 23
0079	0	<NULL>
0080	0	<NULL>
0081	1	City: 20 &#150; 22 &nbsp;&nbsp;Highway: 29 &#150; 32
0082	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 20 &#150; 21
0083	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 21
0084	1	City: 21 &nbsp;&nbsp;Highway: 22
0085	1	City: 20 &nbsp;&nbsp;Highway: 23
0086	1	City: 12 &#150; 15 &nbsp;&nbsp;Highway: 19 &#150; 21
0087	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 21
0088	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 25 &#150; 27
0089	1	City: 31 &#150; 35 &nbsp;&nbsp;Highway: 37 &#150; 39
0090	1	City: 40 &nbsp;&nbsp;Highway: 43
0091	1	City: 18 &#150; 19 &nbsp;&nbsp;Highway: 27 &#150; 28
0092	1	City: 17 &#150; 22 &nbsp;&nbsp;Highway: 25 &#150; 31
0093	1	City: 17 &#150; 23 &nbsp;&nbsp;Highway: 26 &#150; 34
0094	1	City: 21 &#150; 26 &nbsp;&nbsp;Highway: 29 &#150; 36
0095	1	City: 21 &#150; 26 &nbsp;&nbsp;Highway: 29 &#150; 36
0096	1	City: 40 &nbsp;&nbsp;Highway: 45
0097	1	City: 40 &nbsp;&nbsp;Highway: 43
0098	1	City: 21 &nbsp;&nbsp;Highway: 27 &#150; 28
0099	1	City: 21 &nbsp;&nbsp;Highway: 27 &#150; 28
0100	1	City: 19 &#150; 20 &nbsp;&nbsp;Highway: 24 &#150; 25
0101	1	City: 19 &#150; 20 &nbsp;&nbsp;Highway: 24 &#150; 25
0102	1	City: 27 &#150; 28 &nbsp;&nbsp;Highway: 33 &#150; 35
0103	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 23 &#150; 25
0104	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 23
0105	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 23
0106	1	City: 15 &nbsp;&nbsp;Highway: 20
0107	1	City: 15 &nbsp;&nbsp;Highway: 20
0108	1	City: 13 &#150; 14 &nbsp;&nbsp;Highway: 16 &#150; 18
0109	1	City: 13 &#150; 14 &nbsp;&nbsp;Highway: 16 &#150; 18
0110	0	<NULL>
0111	1	City: 17 &#150; 21 &nbsp;&nbsp;Highway: 26 &#150; 30
0112	0	<NULL>
0113	1	City: 19 &#150; 20 &nbsp;&nbsp;Highway: 27 &#150; 28
0114	1	City: 19 &#150; 21 &nbsp;&nbsp;Highway: 26 &#150; 28
0115	1	City: 22 &#150; 24 &nbsp;&nbsp;Highway: 33 &#150; 35
0116	1	City: 27 &#150; 28 &nbsp;&nbsp;Highway: 34 &#150; 36
0117	1	City: 27 &#150; 28 &nbsp;&nbsp;Highway: 34 &#150; 36
0118	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 26
0119	1	City: 25 &#150; 26 &nbsp;&nbsp;Highway: 34
0120	1	City: 23 &nbsp;&nbsp;Highway: 30 &#150; 31
0121	1	City: 23 &nbsp;&nbsp;Highway: 30 &#150; 31
0122	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 25 &#150; 27
0123	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 25 &#150; 27
0124	1	City: 17 &#150; 21 &nbsp;&nbsp;Highway: 26 &#150; 30
0125	1	City: 19 &#150; 20 &nbsp;&nbsp;Highway: 25 &#150; 28
0126	1	City: 19 &#150; 22 &nbsp;&nbsp;Highway: 29 &#150; 32
0127	1	City: 21 &#150; 23 &nbsp;&nbsp;Highway: 28 &#150; 31
0128	1	City: 20 &#150; 23 &nbsp;&nbsp;Highway: 27 &#150; 31
0129	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 23
0130	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 23
0131	1	City: 20 &nbsp;&nbsp;Highway: 29
0132	1	City: 16 &#150; 19 &nbsp;&nbsp;Highway: 24 &#150; 27
0133	1	City: 18 &nbsp;&nbsp;Highway: 26
0134	1	City: 16 &nbsp;&nbsp;Highway: 25
0135	1	City: 14 &nbsp;&nbsp;Highway: 20
0136	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 23 &#150; 24
0137	1	City: 17 &nbsp;&nbsp;Highway: 24
0138	1	City: 16 &nbsp;&nbsp;Highway: 21 &#150; 23
0139	1	City: 16 &nbsp;&nbsp;Highway: 21 &#150; 23
0140	1	City: 14 &nbsp;&nbsp;Highway: 20
0141	1	City: 14 &nbsp;&nbsp;Highway: 20
0142	1	City: 17 &#150; 19 &nbsp;&nbsp;Highway: 25 &#150; 27
0143	1	City: 17 &nbsp;&nbsp;Highway: 25
0144	1	City: 16 &nbsp;&nbsp;Highway: 21
0145	1	City: 12 &nbsp;&nbsp;Highway: 17 &#150; 18
0146	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 21 &#150; 25
0147	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 21 &#150; 23
0148	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 21 &#150; 23
0149	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 21 &#150; 23
0150	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 22 &#150; 24
0151	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 22 &#150; 24
0152	1	City: 13 &#150; 16 &nbsp;&nbsp;Highway: 19 &#150; 23
0153	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 19 &#150; 20
0154	1	City: 21 &#150; 23 &nbsp;&nbsp;Highway: 24 &#150; 29
0155	1	City: 12 &#150; 16 &nbsp;&nbsp;Highway: 16 &#150; 21
0156	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 21 &#150; 22
0157	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 21 &#150; 22
0158	1	City: 20 &#150; 23 &nbsp;&nbsp;Highway: 22 &#150; 29
0159	1	City: 20 &#150; 23 &nbsp;&nbsp;Highway: 23 &#150; 29
0160	1	City: 15 &nbsp;&nbsp;Highway: 19
0161	1	City: 15 &nbsp;&nbsp;Highway: 19
0162	1	City: 15 &nbsp;&nbsp;Highway: 19 &#150; 20
0163	1	City: 15 &nbsp;&nbsp;Highway: 19
0164	1	City: 22 &#150; 27 &nbsp;&nbsp;Highway: 31 &#150; 36
0165	1	City: 22 &#150; 25 &nbsp;&nbsp;Highway: 31 &#150; 34
0166	1	City: 24 &#150; 26 &nbsp;&nbsp;Highway: 30 &#150; 31
0167	1	City: 22 &#150; 24 &nbsp;&nbsp;Highway: 34 &#150; 35
0168	1	City: 19 &#150; 21 &nbsp;&nbsp;Highway: 25 &#150; 29
0169	1	City: 21 &#150; 22 &nbsp;&nbsp;Highway: 28 &#150; 31
0170	1	City: 22 &#150; 26 &nbsp;&nbsp;Highway: 31 &#150; 36
0171	1	City: 22 &#150; 25 &nbsp;&nbsp;Highway: 31 &#150; 34
0172	1	City: 20 &#150; 22 &nbsp;&nbsp;Highway: 28 &#150; 32
0173	1	City: 27 &#150; 28 &nbsp;&nbsp;Highway: 34 &#150; 36
0174	1	City: 27 &#150; 28 &nbsp;&nbsp;Highway: 34 &#150; 36
0175	1	City: 27 &#150; 28 &nbsp;&nbsp;Highway: 34 &#150; 36
0176	1	City: 27 &nbsp;&nbsp;Highway: 36
0177	0	<NULL>
0178	1	City: 17 &nbsp;&nbsp;Highway: 23
0179	1	City: 18 &nbsp;&nbsp;Highway: 25
0180	1	City: 24 &#150; 26 &nbsp;&nbsp;Highway: 30 &#150; 31
0181	1	City: 18 &#150; 20 &nbsp;&nbsp;Highway: 23 &#150; 25
0182	1	City: 17 &nbsp;&nbsp;Highway: 27
0183	1	City: 13 &#150; 17 &nbsp;&nbsp;Highway: 18 &#150; 25
0184	1	City: 11 &#150; 13 &nbsp;&nbsp;Highway: 19 &#150; 21
0185	1	City: 18 &nbsp;&nbsp;Highway: 27 &#150; 28
0186	1	City: 22 &nbsp;&nbsp;Highway: 31
0187	1	City: 21 &nbsp;&nbsp;Highway: 29
0188	1	City: 21 &#150; 30 &nbsp;&nbsp;Highway: 28 &#150; 42
0189	1	City: 21 &#150; 30 &nbsp;&nbsp;Highway: 28 &#150; 42
0190	1	City: 21 &#150; 23 &nbsp;&nbsp;Highway: 27 &#150; 30
0191	1	City: 21 &#150; 22 &nbsp;&nbsp;Highway: 29 &#150; 31
0192	1	City: 18 &#150; 23 &nbsp;&nbsp;Highway: 26 &#150; 30
0193	1	City: 21 &#150; 22 &nbsp;&nbsp;Highway: 29 &#150; 31
0194	1	City: 16 &#150; 18 &nbsp;&nbsp;Highway: 23 &#150; 28
0195	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 26 &#150; 30
0196	1	City: 16 &nbsp;&nbsp;Highway: 23
0197	1	City: 18 &nbsp;&nbsp;Highway: 23
0198	1	City: 18 &#150; 20 &nbsp;&nbsp;Highway: 23 &#150; 27
0199	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 25
0200	1	City: 12 &#150; 13 &nbsp;&nbsp;Highway: 18 &#150; 20
0201	1	City: 18 &nbsp;&nbsp;Highway: 27 &#150; 28
0202	1	City: 14 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 26
0203	1	City: 14 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 26
0204	1	City: 14 &nbsp;&nbsp;Highway: 19
0205	0	<NULL>
0206	1	City: 21 &nbsp;&nbsp;Highway: 29
0207	1	City: 21 &nbsp;&nbsp;Highway: 29
0208	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 20
0209	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 20
0210	1	City: 8 &#150; 9 &nbsp;&nbsp;Highway: 13 &#150; 14
0211	1	City: 12 &nbsp;&nbsp;Highway: 17
0212	1	City: 15 &nbsp;&nbsp;Highway: 22
0213	1	City: 15 &nbsp;&nbsp;Highway: 22
0214	1	City: 12 &nbsp;&nbsp;Highway: 17
0215	1	City: 12 &nbsp;&nbsp;Highway: 18
0216	1	City: 12 &nbsp;&nbsp;Highway: 18
0217	1	City: 12 &#150; 13 &nbsp;&nbsp;Highway: 17 &#150; 18
0218	1	City: 12 &#150; 13 &nbsp;&nbsp;Highway: 17 &#150; 18
0219	0	<NULL>
0220	1	City: 35 &nbsp;&nbsp;Highway: 34
0221	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 26 &#150; 29
0222	1	City: 18 &nbsp;&nbsp;Highway: 25
0223	1	City: 15 &nbsp;&nbsp;Highway: 20
0224	1	City: 18 &nbsp;&nbsp;Highway: 24 &#150; 25
0225	1	City: 30 &#150; 32 &nbsp;&nbsp;Highway: 28
0226	1	City: 19 &nbsp;&nbsp;Highway: 27
0227	1	City: 19 &nbsp;&nbsp;Highway: 27
0228	1	City: 18 &#150; 19 &nbsp;&nbsp;Highway: 25 &#150; 26
0229	1	City: 18 &#150; 19 &nbsp;&nbsp;Highway: 25 &#150; 26
0230	1	City: 22 &nbsp;&nbsp;Highway: 25
0231	1	City: 22 &nbsp;&nbsp;Highway: 25
0232	1	City: 17 &nbsp;&nbsp;Highway: 24
0233	1	City: 17 &nbsp;&nbsp;Highway: 24
0234	1	City: 15 &nbsp;&nbsp;Highway: 20
0235	1	City: 35 &nbsp;&nbsp;Highway: 34
0236	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 26 &#150; 29
0237	1	City: 19 &#150; 21 &nbsp;&nbsp;Highway: 27 &#150; 30
0238	1	City: 19 &#150; 21 &nbsp;&nbsp;Highway: 27 &#150; 30
0239	1	City: 18 &nbsp;&nbsp;Highway: 25
0240	1	City: 18 &#150; 20 &nbsp;&nbsp;Highway: 25 &#150; 27
0241	1	City: 20 &nbsp;&nbsp;Highway: 27
0242	1	City: 16 &nbsp;&nbsp;Highway: 23
0243	1	City: 16 &nbsp;&nbsp;Highway: 23
0244	1	City: 16 &nbsp;&nbsp;Highway: 23 &#150; 24
0245	1	City: 16 &nbsp;&nbsp;Highway: 23 &#150; 24
0246	1	City: 20 &nbsp;&nbsp;Highway: 22
0247	1	City: 19 &nbsp;&nbsp;Highway: 23
0248	1	City: 12 &nbsp;&nbsp;Highway: 18
0249	1	City: 12 &nbsp;&nbsp;Highway: 18
0250	1	City: 18 &nbsp;&nbsp;Highway: 24 &#150; 25
0251	1	City: 30 &#150; 32 &nbsp;&nbsp;Highway: 28
0252	1	City: 16 &nbsp;&nbsp;Highway: 23
0253	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 23
0254	1	City: 41 &nbsp;&nbsp;Highway: 36
0255	1	City: 17 &#150; 19 &nbsp;&nbsp;Highway: 23 &#150; 26
0256	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 24 &#150; 27
0257	1	City: 17 &#150; 18 &nbsp;&nbsp;Highway: 24 &#150; 27
0258	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 23 &#150; 25
0259	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 23 &#150; 25
0260	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 21 &#150; 23
0261	1	City: 15 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 24
0262	1	City: 14 &nbsp;&nbsp;Highway: 20
0263	1	City: 13 &#150; 14 &nbsp;&nbsp;Highway: 18 &#150; 20
0264	1	City: 16 &nbsp;&nbsp;Highway: 24
0265	1	City: 16 &nbsp;&nbsp;Highway: 24
0266	0	<NULL>
0267	1	City: 20 &#150; 21 &nbsp;&nbsp;Highway: 26 &#150; 27
0268	1	City: 20 &nbsp;&nbsp;Highway: 26
0269	1	City: 11 &#150; 12 &nbsp;&nbsp;Highway: 18 &#150; 19
0270	1	City: 11 &nbsp;&nbsp;Highway: 17 &#150; 18
0271	1	City: 10 &nbsp;&nbsp;Highway: 16
0272	1	City: 10 &nbsp;&nbsp;Highway: 16
0273	1	City: 10 &nbsp;&nbsp;Highway: 16
0274	1	City: 10 &nbsp;&nbsp;Highway: 16
0275	1	City: 10 &nbsp;&nbsp;Highway: 16
0276	1	City: 27 &#150; 29 &nbsp;&nbsp;Highway: 33 &#150; 35
0277	1	City: 17 &#150; 20 &nbsp;&nbsp;Highway: 23 &#150; 28
0278	1	City: 15 &#150; 16 &nbsp;&nbsp;Highway: 21 &#150; 22
0279	1	City: 21 &#150; 25 &nbsp;&nbsp;Highway: 29 &#150; 33
0280	1	City: 18 &nbsp;&nbsp;Highway: 25
0281	1	City: 17 &#150; 20 &nbsp;&nbsp;Highway: 21 &#150; 28
0282	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22 &#150; 24
0283	1	City: 20 &#150; 25 &nbsp;&nbsp;Highway: 28 &#150; 33
0284	1	City: 21 &#150; 22 &nbsp;&nbsp;Highway: 27 &#150; 28
0285	1	City: 17 &#150; 21 &nbsp;&nbsp;Highway: 25 &#150; 30
0286	1	City: 18 &#150; 22 &nbsp;&nbsp;Highway: 27 &#150; 31
0287	1	City: 18 &nbsp;&nbsp;Highway: 25
0288	1	City: 21 &#150; 22 &nbsp;&nbsp;Highway: 28
0289	1	City: 21 &#150; 22 &nbsp;&nbsp;Highway: 28
0290	1	City: 16 &nbsp;&nbsp;Highway: 22 &#150; 23
0291	1	City: 16 &nbsp;&nbsp;Highway: 22 &#150; 23
0292	1	City: 18 &#150; 22 &nbsp;&nbsp;Highway: 23 &#150; 28
0293	1	City: 18 &#150; 23 &nbsp;&nbsp;Highway: 23 &#150; 28
0294	0	<NULL>
0295	1	City: 16 &nbsp;&nbsp;Highway: 21 &#150; 22
0296	1	City: 14 &nbsp;&nbsp;Highway: 20
0297	1	City: 13 &#150; 18 &nbsp;&nbsp;Highway: 20 &#150; 26
0298	1	City: 13 &#150; 22 &nbsp;&nbsp;Highway: 20 &#150; 33
0299	1	City: 15 &#150; 18 &nbsp;&nbsp;Highway: 19 &#150; 24
0300	1	City: 12 &#150; 18 &nbsp;&nbsp;Highway: 19 &#150; 26
0301	1	City: 13 &#150; 18 &nbsp;&nbsp;Highway: 19 &#150; 26
0302	1	City: 11 &#150; 14 &nbsp;&nbsp;Highway: 17 &#150; 21
0303	1	City: 12 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 23
0304	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 18 &#150; 21
0305	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 18 &#150; 21
0306	1	City: 11 &nbsp;&nbsp;Highway: 15
0307	1	City: 11 &nbsp;&nbsp;Highway: 13 &#150; 15
0308	1	City: 12 &#150; 17 &nbsp;&nbsp;Highway: 17 &#150; 23
0309	1	City: 12 &#150; 17 &nbsp;&nbsp;Highway: 17 &#150; 21
0310	1	City: 16 &nbsp;&nbsp;Highway: 21 &#150; 23
0311	1	City: 11 &#150; 21 &nbsp;&nbsp;Highway: 15 &#150; 25
0312	1	City: 11 &#150; 20 &nbsp;&nbsp;Highway: 15 &#150; 25
0313	1	City: 14 &#150; 18 &nbsp;&nbsp;Highway: 19 &#150; 24
0314	1	City: 11 &#150; 19 &nbsp;&nbsp;Highway: 17 &#150; 25
0315	1	City: 12 &#150; 19 &nbsp;&nbsp;Highway: 19 &#150; 25
0316	1	City: 12 &#150; 14 &nbsp;&nbsp;Highway: 18 &#150; 22
0317	1	City: 14 &#150; 19 &nbsp;&nbsp;Highway: 22 &#150; 26
0318	1	City: 17 &#150; 19 &nbsp;&nbsp;Highway: 25 &#150; 26
0319	0	<NULL>
0320	0	<NULL>
0321	1	City: 41 &nbsp;&nbsp;Highway: 36
0322	1	City: 18 &#150; 23 &nbsp;&nbsp;Highway: 25 &#150; 34
0323	1	City: 16 &nbsp;&nbsp;Highway: 24
0324	1	City: 16 &nbsp;&nbsp;Highway: 24
0325	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 23 &#150; 28
0326	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 23 &#150; 28
0327	1	City: 30 &#150; 34 &nbsp;&nbsp;Highway: 27 &#150; 31
0328	1	City: 30 &#150; 34 &nbsp;&nbsp;Highway: 27 &#150; 31
0329	1	City: 18 &#150; 23 &nbsp;&nbsp;Highway: 25 &#150; 34
0330	1	City: 41 &nbsp;&nbsp;Highway: 36
0331	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 19 &#150; 21
0332	0	<NULL>
0333	1	City: 9 &nbsp;&nbsp;Highway: 15
0334	1	City: 9 &nbsp;&nbsp;Highway: 15
0335	1	City: 10 &#150; 11 &nbsp;&nbsp;Highway: 17 &#150; 18
0336	1	City: 10 &#150; 11 &nbsp;&nbsp;Highway: 17 &#150; 18
0337	1	City: 10 &nbsp;&nbsp;Highway: 17
0338	0	<NULL>
0339	1	City: 10 &#150; 11 &nbsp;&nbsp;Highway: 17 &#150; 18
0340	1	City: 10 &#150; 11 &nbsp;&nbsp;Highway: 17 &#150; 18
0341	1	City: 12 &nbsp;&nbsp;Highway: 19
0342	0	<NULL>
0343	0	<NULL>
0344	1	City: 25 &#150; 28 &nbsp;&nbsp;Highway: 33 &#150; 37
0345	1	City: 27 &#150; 29 &nbsp;&nbsp;Highway: 35 &#150; 37
0346	1	City: 25 &#150; 28 &nbsp;&nbsp;Highway: 33 &#150; 36
0347	1	City: 27 &nbsp;&nbsp;Highway: 35 &#150; 36
0348	1	City: 24 &#150; 26 &nbsp;&nbsp;Highway: 32 &#150; 34
0349	1	City: 26 &#150; 27 &nbsp;&nbsp;Highway: 34 &#150; 36
0350	1	City: 24 &#150; 26 &nbsp;&nbsp;Highway: 32 &#150; 34
0351	1	City: 26 &#150; 27 &nbsp;&nbsp;Highway: 34 &#150; 36
0352	1	City: 17 &#150; 21 &nbsp;&nbsp;Highway: 25 &#150; 27
0353	1	City: 24 &#150; 25 &nbsp;&nbsp;Highway: 29 &#150; 31
0354	1	City: 16 &#150; 20 &nbsp;&nbsp;Highway: 24 &#150; 28
0355	1	City: 17 &#150; 20 &nbsp;&nbsp;Highway: 25 &#150; 28
0356	1	City: 15 &nbsp;&nbsp;Highway: 19 &#150; 21
0357	1	City: 15 &nbsp;&nbsp;Highway: 19 &#150; 21
0358	1	City: 21 &nbsp;&nbsp;Highway: 30
0359	1	City: 21 &nbsp;&nbsp;Highway: 30
0360	1	City: 17 &#150; 23 &nbsp;&nbsp;Highway: 25 &#150; 31
0361	1	City: 17 &#150; 25 &nbsp;&nbsp;Highway: 25 &#150; 33
0362	1	City: 16 &#150; 17 &nbsp;&nbsp;Highway: 22
0363	1	City: 17 &nbsp;&nbsp;Highway: 22 &#150; 23
0364	1	City: 17 &#150; 25 &nbsp;&nbsp;Highway: 25 &#150; 32
0365	1	City: 18 &#150; 21 &nbsp;&nbsp;Highway: 24 &#150; 27
0366	1	City: 19 &#150; 23 &nbsp;&nbsp;Highway: 25 &#150; 28
0367	1	City: 24 &#150; 27 &nbsp;&nbsp;Highway: 30 &#150; 32
0368	0	<NULL>
0369	1	City: 18 &#150; 19 &nbsp;&nbsp;Highway: 25 &#150; 26
0370	1	City: 18 &#150; 23 &nbsp;&nbsp;Highway: 27 &#150; 32
0371	1	City: 18 &#150; 23 &nbsp;&nbsp;Highway: 27 &#150; 32
0372	1	City: 35 &nbsp;&nbsp;Highway: 33
0373	1	City: 33 &nbsp;&nbsp;Highway: 33
0374	1	City: 12 &nbsp;&nbsp;Highway: 18
0375	1	City: 12 &#150; 13 &nbsp;&nbsp;Highway: 18 &#150; 19
0376	1	City: 25 &#150; 27 &nbsp;&nbsp;Highway: 30 &#150; 31
0377	1	City: 14 &#150; 19 &nbsp;&nbsp;Highway: 19 &#150; 23
0378	1	City: 14 &#150; 19 &nbsp;&nbsp;Highway: 19 &#150; 23
0379	1	City: 15 &nbsp;&nbsp;Highway: 21
0380	1	City: 15 &nbsp;&nbsp;Highway: 21
0381	1	City: 19 &nbsp;&nbsp;Highway: 26
0382	1	City: 19 &nbsp;&nbsp;Highway: 26
0383	1	City: 18 &nbsp;&nbsp;Highway: 23
0384	1	City: 18 &nbsp;&nbsp;Highway: 23
0385	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 22
0386	1	City: 13 &#150; 15 &nbsp;&nbsp;Highway: 18 &#150; 22
