auto	automotive	price
0100	1	$47,250 |
0101	1	$59,645 |
0102	1	$74,545 |
0103	1	$59,645 |
0104	1	$73,345 |
0105	1	$24,850 |
0106	1	$34,300 |
0107	1	$19,400 |
0108	1	$29,100 |
0109	1	$21,100 |
0110	1	$27,850 |
0111	1	$24,800 |
0112	1	$23,000 |
0113	1	$31,300 |
0114	1	$24,250 |
0115	1	$34,000 |
0116	1	$18,800 |
0117	1	$28,800 |
0118	1	$20,450 |
0119	1	$27,150 |
0120	1	$24,050 |
0121	1	$22,300 |
0122	1	$31,000 |
0123	1	$39,990 |
0124	1	$45,080 |
0125	1	$32,395 |
0126	1	$38,115 |
0127	1	$30,330 |
0128	1	$37,020 |
0129	1	$44,455 |
0130	1	$51,330 |
0131	1	$30,360 |
0132	1	$43,605 |
0133	1	$31,790 |
0134	1	$44,885 |
0135	1	$49,565 |
0136	1	$48,030 |
0137	1	$38,525 |
0138	1	$47,565 |
0139	1	$41,425 |
0140	1	$40,405 |
0141	1	$42,790 |
0142	1	$41,675 |
0143	1	$36,975 |
0144	1	$42,615 |
0145	1	$49,105 |
0146	1	$45,345 |
0147	1	$36,110 |
0148	1	$46,005 |
0149	1	$39,215 |
0150	1	$35,725 |
0151	1	$45,815 |
0152	1	$38,830 |
0153	1	$18,720 |
0154	1	$19,030 |
0155	1	$19,720 |
0156	1	$18,720 |
0157	1	$20,030 |
0158	1	$19,720 |
0159	1	$26,255 |
0160	1	$19,030 |
0161	1	$11,965 |
0162	1	$14,100 |
0163	1	$11,965 |
0164	1	$14,100 |
0165	1	$24,390 |
0166	1	$29,930 |
0167	1	$25,605 |
0168	1	$23,890 |
0169	1	$29,630 |
0170	1	$25,055 |
0171	1	$12,115 |
0172	1	$14,250 |
0173	1	$11,965 |
0174	1	$14,100 |
0175	1	$21,975 |
0176	1	$27,015 |
0177	1	$22,825 |
0178	1	$25,925 |
0179	1	$22,715 |
0180	1	$21,825 |
0181	1	$26,955 |
0182	1	$22,680 |
0183	1	$30,945 |
0184	1	$23,880 |
0185	1	$22,680 |
0186	1	$33,945 |
0187	1	$26,875 |
0188	1	$38,625 |
0189	1	$27,965 |
0190	1	$38,340 |
0191	1	$32,045 |
0192	1	$30,235 |
0193	1	$30,145 |
0194	1	$21,240 |
0195	1	$32,000 |
0196	1	$26,810 |
0197	1	$33,965 |
0198	1	$35,280 |
0199	1	$29,260 |
0200	1	$32,240 |
0201	1	$33,770 |
0202	1	$30,340 |
0203	1	$38,340 |
0204	1	$32,950 |
0205	1	$35,580 |
0206	1	$30,260 |
0207	1	$26,935 |
0208	1	$35,015 |
0209	1	$30,360 |
0210	1	$32,905 |
0211	1	$26,810 |
0212	1	$36,515 |
0213	1	$28,140 |
0214	1	$34,270 |
0215	1	$35,060 |
0216	1	$30,200 |
0217	1	$15,670 |
0218	1	$16,470 |
0219	1	$15,670 |
0220	1	$24,535 |
0221	1	$16,470 |
0222	1	$43,770 |
0223	1	$45,375 |
0224	1	$47,280 |
0225	1	$48,870 |
0226	1	$56,170 |
0227	1	$55,625 |
0228	1	$48,580 |
0229	1	$26,415 |
0230	1	$18,170 |
0231	1	$20,745 |
0232	1	$23,785 |
0233	1	$18,110 |
0234	1	$20,685 |
0235	1	$50,735 |
0236	1	$42,420 |
0237	1	$37,570 |
0238	1	$51,055 |
0239	1	$50,720 |
0240	1	$50,765 |
0241	1	$37,280 |
0242	1	$42,130 |
0243	1	$53,600 |
0244	1	$54,790 |
0245	1	$48,950 |
0246	1	$74,305 |
0247	1	$58,600 |
0248	1	$109,800 |
0249	1	$53,580 |
0250	1	$74,285 |
0251	1	$48,930 |
0252	1	$106,880 |
0253	1	$31,330 |
0254	1	$39,330 |
0255	1	$20,675 |
0256	1	$18,175 |
0257	1	$16,275 |
0258	1	$21,975 |
0259	1	$31,224 |
0260	1	$39,975 |
0261	1	$33,865 |
0262	1	$31,224 |
0263	1	$39,985 |
0264	1	$33,745 |
0265	1	$24,495 |
0266	1	$30,070 |
0267	1	$25,660 |
0268	1	$24,365 |
0269	1	$29,970 |
0270	1	$27,370 |
0271	1	$40,280 |
0272	1	$29,910 |
0273	1	$41,295 |
0274	1	$32,265 |
0275	1	$42,180 |
0276	1	$32,265 |
0277	1	$46,375 |
0278	1	$37,975 |
0279	1	$44,505 |
0280	1	$39,835 |
0281	1	$46,375 |
0282	1	$29,220 |
0283	1	$44,505 |
0284	1	$29,220 |
0285	1	$29,705 |
0286	1	$41,090 |
0287	1	$32,315 |
0288	1	$41,975 |
0289	1	$37,770 |
0290	1	N/A |
0291	1	$39,630 |
0292	1	$32,070 |
0293	1	N/A |
0294	1	$35,525 |
0295	1	$35,175 |
0296	1	$41,030 |
0297	1	$45,340 |
0298	1	$37,595 |
0299	1	$44,890 |
0300	1	$47,950 |
0301	1	$47,550 |
0302	1	$67,685 |
0303	1	$73,230 |
0304	1	$68,905 |
0305	1	$74,450 |
0306	1	$57,950 |
0307	1	$57,450 |
0308	1	$110,000 |
0309	1	$108,800 |
0310	1	$106,035 |
0311	1	$54,470 |
0312	1	$54,070 |
0313	1	$77,755 |
0314	1	$76,905 |
0315	1	$52,345 |
0316	1	$57,140 |
0317	1	$51,970 |
0318	1	$39,375 |
0319	1	$39,025 |
0320	1	$35,100 |
0321	1	$37,870 |
0322	1	$34,650 |
0323	1	$44,825 |
0324	1	$44,275 |
0325	1	$59,010 |
0326	1	$58,460 |
0327	1	$68,405 |
0328	1	$35,775 |
0329	1	$41,060 |
0330	1	$35,775 |
0331	1	$40,610 |
0332	1	$17,045 |
0333	1	$19,545 |
0334	1	$27,595 |
0335	1	$31,905 |
0336	1	$26,325 |
0337	1	$27,250 |
0338	1	$22,655 |
0339	1	$27,930 |
0340	1	$25,955 |
0341	1	$30,935 |
0342	1	$28,435 |
0343	1	$32,625 |
0344	1	$36,450 |
0345	1	$23,745 |
0346	1	$21,245 |
0347	1	$19,245 |
0348	1	$36,195 |
0349	1	$30,310 |
0350	1	$27,225 |
0351	1	N/A |
0352	1	N/A |
0353	1	N/A |
0354	1	$40,050 |
0355	1	$44,865 |
0356	1	$38,230 |
0357	1	$28,350 |
0358	1	$38,010 |
0359	1	$28,350 |
0360	1	$18,275 |
0361	1	$45,270 |
0362	1	$37,115 |
0363	1	$32,710 |
0364	1	$29,210 |
0365	1	$22,115 |
0366	1	$20,120 |
0367	1	$27,850 |
0368	1	$34,735 |
0369	1	$39,130 |
0370	1	$38,660 |
0371	1	$30,160 |
0372	1	$26,935 |
0373	1	$32,160 |
0374	1	$35,875 |
0375	1	$28,625 |
0376	1	$26,025 |
0377	1	$32,660 |
0378	1	$43,160 |
0379	1	$48,160 |
0380	1	$42,760 |
0381	1	$47,760 |
0382	1	$36,220 |
0383	1	$34,330 |
0384	1	$36,005 |
0385	1	$49,200 |
0386	1	$49,200 |
0387	1	$60,055 |
0388	1	$62,220 |
0389	1	$57,300 |
0390	1	$59,465 |
0391	1	$40,995 |
0392	1	$40,195 |
0393	1	$52,595 |
0394	1	$46,925 |
0395	1	$52,195 |
0396	1	$46,525 |
0397	1	$19,275 |
0398	1	$17,800 |
0399	1	$15,845 |
0400	1	$15,600 |
0401	1	$16,950 |
0402	1	$16,700 |
0403	1	$19,245 |
0404	1	$21,245 |
0405	1	$23,545 |
0406	1	$21,230 |
0407	1	$20,230 |
0408	1	$21,730 |
0409	1	$26,245 |
0410	1	$27,245 |
0411	1	$22,245 |
0412	1	$25,750 |
0413	1	$26,750 |
0414	1	$21,590 |
0415	1	$23,235 |
0416	1	$21,590 |
0417	1	$16,880 |
0418	1	$20,085 |
0419	1	$18,085 |
0420	1	$20,085 |
0421	1	$18,240 |
0422	1	$16,880 |
0423	1	$16,915 |
0424	1	$17,995 |
0425	1	$25,205 |
0426	1	$18,060 |
0427	1	$18,345 |
0428	1	$20,960 |
0429	1	$19,995 |
0430	1	$19,995 |
0431	1	$29,010 |
0432	1	$25,155 |
0433	1	$24,665 |
0434	1	$20,610 |
0435	1	$29,450 |
0436	1	$26,745 |
0437	1	$25,605 |
0438	1	$21,550 |
0439	1	$32,770 |
0440	1	$43,100 |
0441	1	$25,305 |
0442	1	$30,860 |
0443	1	$41,230 |
0444	1	$22,735 |
0445	1	$38,830 |
0446	1	$38,630 |
0447	1	$33,540 |
0448	1	$39,330 |
0449	1	$38,680 |
0450	1	$38,480 |
0451	1	$33,575 |
0452	1	$39,180 |
0453	1	$25,170 |
0454	1	$32,320 |
0455	1	$32,005 |
0456	1	$38,180 |
0457	1	$34,445 |
0458	1	$29,490 |
0459	1	$24,390 |
0460	1	$46,950 |
0461	1	$46,750 |
0462	1	$41,465 |
0463	1	$47,450 |
0464	1	$46,630 |
0465	1	$46,430 |
0466	1	$41,490 |
0467	1	$47,130 |
0468	1	$29,630 |
0469	1	$27,360 |
0470	1	$28,235 |
0471	1	$31,720 |
0472	1	$33,535 |
0473	1	$26,325 |
0474	1	$25,305 |
0475	1	$23,630 |
0476	1	$22,755 |
0477	1	$30,180 |
0478	1	$31,835 |
0479	1	$44,305 |
0480	1	$38,425 |
0481	1	$47,220 |
0482	1	$42,150 |
0483	1	$41,795 |
0484	1	$29,195 |
0485	1	$33,195 |
0486	1	$45,040 |
0487	1	$28,130 |
0488	1	$37,860 |
0489	1	$31,265 |
0490	1	$45,495 |
0491	1	$21,800 |
0492	1	$24,995 |
0493	1	$28,695 |
0494	1	$25,995 |
0495	1	$21,800 |
0496	1	$23,175 |
0497	1	$27,975 |
0498	1	$26,730 |
0499	1	$24,855 |
0500	1	$90,255 |
0501	1	$91,005 |
0502	1	$86,140 |
0503	1	$86,890 |
0504	1	$30,940 |
0505	1	$25,945 |
0506	1	$22,245 |
0507	1	$29,945 |
0508	1	$34,440 |
0509	1	$29,545 |
0510	1	$26,280 |
0511	1	$20,490 |
0512	1	$47,250 |
0513	1	$54,990 |
0514	1	$65,690 |
0515	1	$74,995 |
0516	1	$73,500 |
0517	1	N/A |
0518	1	$13,990 |
0519	1	N/A |
0520	1	$11,990 |
0521	1	$16,990 |
0522	1	$16,990 |
0523	1	$11,990 |
0524	1	$13,990 |
0525	1	$191,615 |
0526	1	$204,715 |
0527	1	$187,070 |
0528	1	$200,570 |
0529	1	$179,995 |
0530	1	$273,000 |
0531	1	$286,500 |
0532	1	$273,000 |
0533	1	$286,500 |
0534	1	$124,750 |
0535	1	$137,750 |
0536	1	$120,750 |
0537	1	$133,750 |
0538	1	$199,950 |
0539	1	$199,950 |
0540	1	$192,000 |
0541	1	$135,800 |
0542	1	$122,000 |
0543	1	$118,000 |
0544	1	$120,250 |
0545	1	$134,200 |
0546	1	$126,250 |
0547	1	$26,495 |
0548	1	$27,995 |
0549	1	$24,195 |
0550	1	$26,995 |
0551	1	$21,695 |
0552	1	$29,995 |
0553	1	$25,995 |
0554	1	$28,495 |
0555	1	$23,795 |
0556	1	$26,495 |
0557	1	$21,495 |
0558	1	$28,495 |
0559	1	$31,495 |
0560	1	$25,495 |
0561	1	$29,195 |
0562	1	$24,195 |
0563	1	$28,195 |
0564	1	$27,995 |
0565	1	$30,995 |
0566	1	$23,995 |
0567	1	$27,995 |
0568	1	$19,495 |
0569	1	$27,995 |
0570	1	$19,995 |
0571	1	$27,995 |
0572	1	$17,495 |
0573	1	$25,495 |
0574	1	$18,995 |
0575	1	$37,345 |
0576	1	$20,995 |
0577	1	$33,995 |
0578	1	$28,995 |
0579	1	$35,995 |
0580	1	$28,995 |
0581	1	$25,495 |
0582	1	$26,995 |
0583	1	$20,995 |
0584	1	$27,495 |
0585	1	$24,995 |
0586	1	$17,495 |
0587	1	$34,995 |
0588	1	$18,995 |
0589	1	$25,495 |
0590	1	$32,495 |
0591	1	$35,795 |
0592	1	$30,495 |
0593	1	$32,495 |
0594	1	$35,795 |
0595	1	$30,495 |
0596	1	$31,395 |
0597	1	$28,295 |
0598	1	$25,295 |
0599	1	$25,995 |
0600	1	$21,995 |
0601	1	$24,995 |
0602	1	$20,995 |
0603	1	$29,995 |
0604	1	$20,995 |
0605	1	$27,995 |
0606	1	$27,995 |
0607	1	$24,995 |
0608	1	$24,995 |
0609	1	$21,995 |
0610	1	$25,840 |
0611	1	$27,970 |
0612	1	$27,050 |
0613	1	$30,425 |
0614	1	$25,250 |
0615	1	$30,165 |
0616	1	$26,215 |
0617	1	$53,705 |
0618	1	$52,965 |
0619	1	$26,840 |
0620	1	$28,195 |
0621	1	$26,250 |
0622	1	$27,360 |
0623	1	$13,320 |
0624	1	$16,320 |
0625	1	$15,120 |
0626	1	$17,120 |
0627	1	$14,320 |
0628	1	$29,770 |
0629	1	$31,065 |
0630	1	$30,670 |
0631	1	$34,845 |
0632	1	$33,370 |
0633	1	$33,545 |
0634	1	$28,940 |
0635	1	$34,585 |
0636	1	$29,840 |
0637	1	$30,565 |
0638	1	$42,690 |
0639	1	$33,725 |
0640	1	$39,695 |
0641	1	$45,185 |
0642	1	$29,075 |
0643	1	$42,190 |
0644	1	$36,720 |
0645	1	$42,010 |
0646	1	$36,115 |
0647	1	$39,015 |
0648	1	$33,120 |
0649	1	$28,495 |
0650	1	$36,070 |
0651	1	$32,070 |
0652	1	$27,220 |
0653	1	$38,070 |
0654	1	$34,570 |
0655	1	$31,770 |
0656	1	$26,920 |
0657	1	$35,770 |
0658	1	$16,270 |
0659	1	$20,270 |
0660	1	$18,065 |
0661	1	$22,765 |
0662	1	$17,270 |
0663	1	$22,270 |
0664	1	$21,065 |
0665	1	$16,640 |
0666	1	$19,670 |
0667	1	$17,270 |
0668	1	$18,870 |
0669	1	$15,995 |
0670	1	$18,485 |
0671	1	$16,875 |
0672	1	$18,485 |
0673	1	$16,875 |
0674	1	$18,485 |
0675	1	$34,125 |
0676	1	$22,810 |
0677	1	$31,615 |
0678	1	$25,800 |
0679	1	$27,380 |
0680	1	$34,010 |
0681	1	$22,265 |
0682	1	$31,500 |
0683	1	$25,290 |
0684	1	$27,020 |
0685	1	$28,100 |
0686	1	$28,265 |
0687	1	$19,695 |
0688	1	$28,505 |
0689	1	$21,375 |
0690	1	$27,270 |
0691	1	$27,435 |
0692	1	$19,270 |
0693	1	$27,675 |
0694	1	$20,545 |
0695	1	$51,690 |
0696	1	$42,015 |
0697	1	$49,040 |
0698	1	$38,490 |
0699	1	$50,420 |
0700	1	$43,810 |
0701	1	$47,770 |
0702	1	$41,100 |
0703	1	$45,970 |
0704	1	$48,210 |
0705	1	$43,790 |
0706	1	$45,560 |
0707	1	$50,740 |
0708	1	$41,510 |
0709	1	$48,090 |
0710	1	$37,985 |
0711	1	$27,145 |
0712	1	$37,845 |
0713	1	$22,145 |
0714	1	$32,845 |
0715	1	$34,645 |
0716	1	$30,845 |
0717	1	$29,645 |
0718	1	$25,845 |
0719	1	$26,395 |
0720	1	$36,395 |
0721	1	$21,395 |
0722	1	$31,395 |
0723	1	$33,395 |
0724	1	$29,395 |
0725	1	$28,395 |
0726	1	$24,395 |
0727	1	$28,190 |
0728	1	$31,190 |
0729	1	$37,190 |
0730	1	$32,880 |
0731	1	$28,880 |
0732	1	$35,880 |
0733	1	$26,025 |
0734	1	$17,935 |
0735	1	$23,680 |
0736	1	$25,015 |
0737	1	$19,220 |
0738	1	$19,075 |
0739	1	$21,925 |
0740	1	$17,820 |
0741	1	$19,135 |
0742	1	$20,200 |
0743	1	$19,105 |
0744	1	$18,960 |
0745	1	$32,665 |
0746	1	$27,810 |
0747	1	$53,645 |
0748	1	$48,645 |
0749	1	$51,725 |
0750	1	$46,725 |
0751	1	$26,540 |
0752	1	$22,415 |
0753	1	$22,715 |
0754	1	$30,995 |
0755	1	$34,110 |
0756	1	$47,195 |
0757	1	$29,295 |
0758	1	$24,405 |
0759	1	$25,875 |
0760	1	$33,540 |
0761	1	$30,880 |
0762	1	$42,690 |
0763	1	$33,620 |
0764	1	$29,220 |
0765	1	$25,170 |
0766	1	$37,770 |
0767	1	$33,020 |
0768	1	$29,020 |
0769	1	$25,170 |
0770	1	$37,170 |
0771	1	$36,345 |
0772	1	$36,160 |
0773	1	$34,095 |
0774	1	$33,910 |
0775	1	$31,300 |
0776	1	$30,235 |
0777	1	$35,190 |
0778	1	$33,125 |
0779	1	$32,940 |
0780	1	$28,845 |
0781	1	$21,455 |
0782	1	$23,200 |
0783	1	$22,670 |
0784	1	$21,035 |
0785	1	$22,250 |
0786	1	$21,135 |
0787	1	$22,350 |
0788	1	$39,730 |
0789	1	$35,720 |
0790	1	$37,360 |
0791	1	$32,355 |
0792	1	$34,010 |
0793	1	$37,650 |
0794	1	$37,835 |
0795	1	$35,525 |
0796	1	$41,030 |
0797	1	$37,640 |
0798	1	$38,370 |
0799	1	$29,900 |
0800	1	$32,035 |
0801	1	$39,855 |
0802	1	$40,045 |
0803	1	$37,440 |
0804	1	$366,000 |
0805	1	$455,500 |
0806	1	$405,500 |
0807	1	$358,000 |
0808	1	$397,500 |
0809	1	$17,595 |
0810	1	$25,779 |
0811	1	$22,379 |
0812	1	$28,079 |
0813	1	$28,950 |
0814	1	$25,079 |
0815	1	$17,520 |
0816	1	$25,595 |
0817	1	$18,775 |
0818	1	$27,775 |
0819	1	$22,025 |
0820	1	$24,725 |
0821	1	$28,850 |
0822	1	$17,949 |
0823	1	$19,199 |
0824	1	$20,999 |
0825	1	$23,199 |
0826	1	$18,999 |
0827	1	$20,549 |
0828	1	$23,949 |
0829	1	$22,449 |
0830	1	$18,899 |
0831	1	$17,749 |
0832	1	$16,379 |
0833	1	$18,849 |
0834	1	$17,249 |
0835	1	$16,499 |
0836	1	$17,699 |
0837	1	$14,949 |
0838	1	$25,349 |
0839	1	$23,249 |
0840	1	$21,999 |
0841	1	$27,149 |
0842	1	$23,599 |
0843	1	$21,499 |
0844	1	$20,499 |
0845	1	$25,499 |
0846	1	$19,099 |
0847	1	$13,499 |
0848	1	$15,195 |
0849	1	$29,930 |
0850	1	$27,395 |
0851	1	$29,079 |
0852	1	$45,220 |
0853	1	$36,465 |
0854	1	$33,840 |
0855	1	$40,185 |
0856	1	$33,740 |
0857	1	$42,185 |
0858	1	$36,315 |
0859	1	$26,000 |
0860	1	$29,600 |
0861	1	$26,000 |
0862	1	$29,200 |
0863	1	$23,935 |
0864	1	$25,690 |
0865	1	$20,815 |
0866	1	$19,290 |
0867	1	$18,240 |
0868	1	$17,045 |
0869	1	$27,240 |
0870	1	$27,180 |
0871	1	$18,180 |
0872	1	$20,755 |
0873	1	$61,360 |
0874	1	$42,595 |
0875	1	$56,235 |
0876	1	$46,905 |
0877	1	$54,010 |
0878	1	$42,080 |
0879	1	$53,995 |
0880	1	$55,995 |
0881	1	$32,760 |
0882	1	$38,670 |
0883	1	$58,990 |
0884	1	$55,935 |
0885	1	$29,910 |
0886	1	$41,295 |
0887	1	$32,265 |
0888	1	$42,180 |
0889	1	N/A |
0890	1	$46,375 |
0891	1	$37,975 |
0892	1	$44,505 |
0893	1	$39,835 |
0894	1	N/A |
0895	1	$29,220 |
0896	1	N/A |
0897	1	N/A |
0898	1	$29,705 |
0899	1	$29,980 |
0900	1	$32,070 |
0901	1	$29,095 |
0902	1	$25,775 |
0903	1	$34,185 |
0904	1	$27,635 |
0905	1	$32,315 |
0906	1	$30,020 |
0907	1	$44,845 |
0908	1	$49,005 |
0909	1	$48,765 |
0910	1	$30,565 |
0911	1	$30,340 |
0912	1	$43,495 |
0913	1	$27,965 |
0914	1	$38,710 |
0915	1	$32,045 |
0916	1	$36,080 |
0917	1	$30,145 |
0918	1	$21,240 |
0919	1	$43,415 |
0920	1	$28,340 |
0921	1	$32,000 |
0922	1	$27,225 |
0923	1	$33,965 |
0924	1	$32,045 |
0925	1	$29,260 |
0926	1	$32,240 |
0927	1	$33,770 |
0928	1	$39,125 |
0929	1	$33,365 |
0930	1	$38,710 |
0931	1	$30,675 |
0932	1	$36,080 |
0933	1	$35,425 |
0934	1	$21,240 |
0935	1	$33,320 |
0936	1	$28,340 |
0937	1	$36,930 |
0938	1	$27,225 |
0939	1	$34,685 |
0940	1	$35,780 |
0941	1	$30,615 |
0942	1	$35,470 |
0943	1	$43,285 |
0944	1	$46,615 |
0945	1	$50,745 |
0946	1	$50,355 |
0947	1	$22,795 |
0948	1	$33,340 |
0949	1	$21,990 |
0950	1	$27,955 |
0951	1	$26,390 |
0952	1	$22,340 |
0953	1	$32,885 |
0954	1	$21,550 |
0955	1	$27,500 |
0956	1	$26,820 |
0957	1	$22,635 |
0958	1	$20,990 |
0959	1	$29,320 |
0960	1	$24,240 |
0961	1	$27,080 |
0962	1	$26,085 |
0963	1	$21,050 |
0964	1	$20,470 |
0965	1	$28,540 |
0966	1	$18,600 |
0967	1	$26,600 |
0968	1	$23,900 |
0969	1	$34,535 |
0970	1	$32,445 |
0971	1	$30,525 |
0972	1	$34,045 |
0973	1	$31,955 |
0974	1	$30,035 |
0975	1	$23,340 |
0976	1	$23,195 |
0977	1	$13,980 |
0978	1	$15,435 |
0979	1	$27,660 |
0980	1	$26,400 |
0981	1	$28,400 |
0982	1	$27,000 |
0983	1	$22,960 |
0984	1	$27,510 |
0985	1	$26,250 |
0986	1	$28,250 |
0987	1	$26,850 |
0988	1	$22,810 |
0989	1	$17,205 |
0990	1	$23,195 |
0991	1	$15,450 |
0992	1	$20,485 |
0993	1	$17,950 |
0994	1	$19,985 |
0995	1	$22,895 |
0996	1	$16,825 |
0997	1	$22,300 |
0998	1	$15,045 |
0999	1	$20,030 |
1000	1	$17,500 |
1001	1	$19,540 |
1002	1	$21,500 |
1003	1	$32,960 |
1004	1	$26,795 |
1005	1	$32,290 |
1006	1	$32,660 |
1007	1	$26,495 |
1008	1	$31,990 |
1009	1	$23,005 |
1010	1	$21,250 |
1011	1	$19,435 |
1012	1	$27,305 |
1013	1	$25,345 |
1014	1	$24,200 |
1015	1	$28,915 |
1016	1	$26,990 |
1017	1	$25,030 |
1018	1	$23,885 |
1019	1	$28,600 |
1020	1	$39,685 |
1021	1	$35,805 |
1022	1	$31,265 |
1023	1	$39,800 |
1024	1	$35,700 |
1025	1	$30,915 |
1026	1	$21,000 |
1027	1	$26,600 |
1028	1	$22,800 |
1029	1	$28,070 |
1030	1	$23,800 |
1031	1	$32,445 |
1032	1	$35,685 |
1033	1	$35,285 |
1034	1	$32,245 |
1035	1	$27,945 |
1036	1	$21,925 |
1037	1	$23,625 |
1038	1	$26,835 |
1039	1	$21,675 |
1040	1	$23,375 |
1041	1	$26,585 |
1042	1	$20,770 |
1043	1	$23,490 |
1044	1	$26,575 |
1045	1	$26,250 |
1046	1	$22,225 |
1047	1	$20,445 |
1048	1	$23,165 |
1049	1	$26,150 |
1050	1	$25,925 |
1051	1	$21,900 |
1052	1	$52,915 |
1053	1	$43,430 |
1054	1	$59,955 |
1055	1	$52,365 |
1056	1	$42,880 |
1057	1	$59,405 |
1058	1	$16,250 |
1059	1	$17,750 |
1060	1	$16,850 |
1061	1	$20,150 |
1062	1	$17,350 |
1063	1	$24,460 |
1064	1	$30,750 |
1065	1	$31,330 |
1066	1	$34,715 |
1067	1	$29,100 |
1068	1	$32,375 |
1069	1	$39,970 |
1070	1	$24,540 |
1071	1	$26,215 |
1072	1	$24,690 |
1073	1	$37,865 |
1074	1	$29,235 |
1075	1	$29,725 |
1076	1	$25,290 |
1077	1	$24,180 |
1078	1	$26,145 |
1079	1	$22,515 |
1080	1	$25,925 |
1081	1	$21,315 |
1082	1	$27,525 |
1083	1	$24,450 |
1084	1	$21,350 |
1085	1	$25,735 |
1086	1	$25,870 |
1087	1	$20,140 |
1088	1	$25,650 |
1089	1	$24,175 |
1090	1	$27,250 |
1091	1	$16,230 |
1092	1	$19,305 |
1093	1	$25,460 |
1094	1	$23,675 |
1095	1	$29,995 |
1096	1	$34,600 |
1097	1	$36,345 |
1098	1	$29,200 |
1099	1	$31,650 |
1100	1	$34,670 |
1101	1	$29,245 |
1102	1	$23,935 |
1103	1	$28,655 |
1104	1	$39,395 |
1105	1	$26,410 |
1106	1	$36,860 |
1107	1	$26,275 |
1108	1	$28,230 |
1109	1	$23,455 |
1110	1	$25,985 |
1111	1	$38,105 |
1112	1	$30,065 |
1113	1	$35,570 |
1114	1	$25,795 |
1115	1	$37,290 |
1116	1	$42,945 |
1117	1	$34,900 |
1118	1	$41,220 |
1119	1	$27,925 |
1120	1	$27,725 |
1121	1	$67,370 |
1122	1	$65,970 |
1123	1	$14,415 |
1124	1	$13,655 |
1125	1	$14,165 |
1126	1	$13,405 |
1127	1	$17,510 |
1128	1	$22,110 |
1129	1	$20,910 |
1130	1	$25,255 |
1131	1	$21,980 |
1132	1	$27,080 |
1133	1	$22,980 |
1134	1	$29,730 |
1135	1	$23,580 |
1136	1	$29,430 |
1137	1	$23,730 |
1138	1	$24,680 |
1139	1	$21,855 |
1140	1	$26,805 |
1141	1	$22,855 |
1142	1	$29,305 |
1143	1	$23,355 |
1144	1	$29,105 |
1145	1	$15,700 |
1146	1	$17,260 |
1147	1	$29,670 |
1148	1	$32,570 |
1149	1	$23,100 |
1150	1	$19,800 |
1151	1	$15,605 |
1152	1	$23,950 |
1153	1	$16,605 |
1154	1	$17,555 |
1155	1	$19,605 |
1156	1	$18,555 |
1157	1	$20,405 |
1158	1	$19,155 |
1159	1	$21,955 |
1160	1	$22,205 |
1161	1	$21,955 |
1162	1	$22,405 |
1163	1	$25,490 |
1164	1	$17,355 |
1165	1	$15,455 |
