auto	autobytel	fuel_economy
0115	1	15 MPG City / 21 MPG Hwy
0116	1	15 MPG City / 21 MPG Hwy
0117	1	15 MPG City / 21 MPG Hwy
0118	1	16 MPG City / 23 MPG Hwy
0119	1	15 MPG City / 21 MPG Hwy
0120	1	16 MPG City / 22 MPG Hwy
0121	1	15 MPG City / 22 MPG Hwy
0122	1	15 MPG City / 22 MPG Hwy
0123	1	15 MPG City / 22 MPG Hwy
0124	1	16 MPG City / 22 MPG Hwy
0125	1	16 MPG City / 22 MPG Hwy
0126	1	15 MPG City / 22 MPG Hwy
0127	1	13 MPG City / 19 MPG Hwy
0128	1	15 MPG City / 20 MPG Hwy
0129	1	14 MPG City / 19 MPG Hwy
0130	1	22 MPG City / 28 MPG Hwy
0131	1	23 MPG City / 28 MPG Hwy
0132	1	23 MPG City / 29 MPG Hwy
0133	1	23 MPG City / 28 MPG Hwy
0134	1	23 MPG City / 29 MPG Hwy
0135	1	23 MPG City / 28 MPG Hwy
0136	1	16 MPG City / 22 MPG Hwy
0137	1	16 MPG City / 23 MPG Hwy
0138	1	16 MPG City / 22 MPG Hwy
0139	1	16 MPG City / 21 MPG Hwy
0140	1	15 MPG City / 20 MPG Hwy
0141	1	16 MPG City / 21 MPG Hwy
0142	1	15 MPG City / 20 MPG Hwy
0143	1	12 MPG City / 16 MPG Hwy
0144	1	15 MPG City / 21 MPG Hwy
0145	1	16 MPG City / 22 MPG Hwy
0146	1	15 MPG City / 21 MPG Hwy
0147	1	22 MPG City / 28 MPG Hwy
0148	1	23 MPG City / 28 MPG Hwy
0149	1	22 MPG City / 28 MPG Hwy
0150	1	23 MPG City / 28 MPG Hwy
0151	1	23 MPG City / 29 MPG Hwy
0152	1	23 MPG City / 28 MPG Hwy
0153	1	15 MPG City / 19 MPG Hwy
0154	1	15 MPG City / 19 MPG Hwy
0155	1	15 MPG City / 19 MPG Hwy
0156	1	15 MPG City / 19 MPG Hwy
0157	1	15 MPG City / 19 MPG Hwy
0158	1	15 MPG City / 19 MPG Hwy
0159	1	15 MPG City / 19 MPG Hwy
0160	1	15 MPG City / 19 MPG Hwy
0161	1	15 MPG City / 20 MPG Hwy
0162	1	15 MPG City / 19 MPG Hwy
0163	1	15 MPG City / 19 MPG Hwy
0164	1	26 MPG City / 36 MPG Hwy
0165	1	26 MPG City / 36 MPG Hwy
0166	1	25 MPG City / 34 MPG Hwy
0167	1	23 MPG City / 32 MPG Hwy
0168	1	25 MPG City / 34 MPG Hwy
0169	1	25 MPG City / 34 MPG Hwy
0170	1	27 MPG City / 36 MPG Hwy
0171	1	25 MPG City / 34 MPG Hwy
0172	1	25 MPG City / 34 MPG Hwy
0173	1	23 MPG City / 31 MPG Hwy
0174	1	25 MPG City / 34 MPG Hwy
0175	1	23 MPG City / 31 MPG Hwy
0176	1	22 MPG City / 32 MPG Hwy
0177	1	23 MPG City / 31 MPG Hwy
0178	1	24 MPG City / 34 MPG Hwy
0179	1	24 MPG City / 34 MPG Hwy
0180	1	22 MPG City / 32 MPG Hwy
0181	1	20 MPG City / 28 MPG Hwy
0182	1	22 MPG City / 32 MPG Hwy
0183	1	22 MPG City / 32 MPG Hwy
0184	1	20 MPG City / 28 MPG Hwy
0185	1	27 MPG City / 36 MPG Hwy
0186	1	28 MPG City / 34 MPG Hwy
0187	1	27 MPG City / 36 MPG Hwy
0188	1	28 MPG City / 34 MPG Hwy
0189	1	28 MPG City / 34 MPG Hwy
0190	1	28 MPG City / 34 MPG Hwy
0191	1	28 MPG City / 34 MPG Hwy
0192	1	18 MPG City / 25 MPG Hwy
0193	1	17 MPG City / 23 MPG Hwy
0194	1	17 MPG City / 23 MPG Hwy
0195	1	20 MPG City / 27 MPG Hwy
0196	1	20 MPG City / 26 MPG Hwy
0197	1	21 MPG City / 29 MPG Hwy
0198	1	20 MPG City / 26 MPG Hwy
0199	1	24 MPG City / 30 MPG Hwy
0200	1	26 MPG City / 31 MPG Hwy
0201	1	24 MPG City / 30 MPG Hwy
0202	1	24 MPG City / 30 MPG Hwy
0203	1	24 MPG City / 30 MPG Hwy
0204	1	26 MPG City / 31 MPG Hwy
0205	1	24 MPG City / 30 MPG Hwy
0206	1	24 MPG City / 30 MPG Hwy
0207	1	22 MPG City / 31 MPG Hwy
0208	1	22 MPG City / 31 MPG Hwy
0209	1	21 MPG City / 28 MPG Hwy
0210	1	18 MPG City / 23 MPG Hwy
0211	1	19 MPG City / 24 MPG Hwy
0212	1	18 MPG City / 23 MPG Hwy
0213	1	12 MPG City / 20 MPG Hwy
0214	1	13 MPG City / 20 MPG Hwy
0215	1	12 MPG City / 20 MPG Hwy
0216	1	12 MPG City / 20 MPG Hwy
0217	1	9 MPG City / 14 MPG Hwy
0218	1	30 MPG City / 42 MPG Hwy
0219	1	21 MPG City / 30 MPG Hwy
0220	1	21 MPG City / 28 MPG Hwy
0221	1	21 MPG City / 30 MPG Hwy
0222	1	22 MPG City / 28 MPG Hwy
0223	1	21 MPG City / 31 MPG Hwy
0224	1	22 MPG City / 30 MPG Hwy
0225	1	21 MPG City / 29 MPG Hwy
0226	1	22 MPG City / 30 MPG Hwy
0227	1	21 MPG City / 27 MPG Hwy
0228	1	21 MPG City / 27 MPG Hwy
0229	1	21 MPG City / 31 MPG Hwy
0230	1	22 MPG City / 30 MPG Hwy
0231	1	21 MPG City / 27 MPG Hwy
0232	1	18 MPG City / 27 MPG Hwy
0233	1	20 MPG City / 26 MPG Hwy
0234	1	18 MPG City / 26 MPG Hwy
0235	1	18 MPG City / 28 MPG Hwy
0236	1	17 MPG City / 27 MPG Hwy
0237	1	20 MPG City / 27 MPG Hwy
0238	1	18 MPG City / 23 MPG Hwy
0239	1	18 MPG City / 23 MPG Hwy
0240	1	16 MPG City / 22 MPG Hwy
0241	1	17 MPG City / 25 MPG Hwy
0242	1	14 MPG City / 19 MPG Hwy
0243	1	11 MPG City / 20 MPG Hwy
0244	1	13 MPG City / 21 MPG Hwy
0245	1	13 MPG City / 21 MPG Hwy
0246	1	12 MPG City / 19 MPG Hwy
0247	1	13 MPG City / 19 MPG Hwy
0248	1	13 MPG City / 18 MPG Hwy
0249	1	13 MPG City / 20 MPG Hwy
0250	1	12 MPG City / 20 MPG Hwy
0251	1	18 MPG City / 28 MPG Hwy
0252	1	18 MPG City / 27 MPG Hwy
0253	1	18 MPG City / 28 MPG Hwy
0254	1	14 MPG City / 22 MPG Hwy
0255	1	17 MPG City / 26 MPG Hwy
0256	1	17 MPG City / 26 MPG Hwy
0257	1	22 MPG City / 31 MPG Hwy
0258	1	21 MPG City / 29 MPG Hwy
0259	1	21 MPG City / 29 MPG Hwy
0260	1	21 MPG City / 29 MPG Hwy
0261	1	21 MPG City / 29 MPG Hwy
0262	1	15 MPG City / 22 MPG Hwy
0263	1	15 MPG City / 22 MPG Hwy
0264	1	12 MPG City / 17 MPG Hwy
0265	1	12 MPG City / 17 MPG Hwy
0266	1	12 MPG City / 18 MPG Hwy
0267	1	12 MPG City / 18 MPG Hwy
0268	1	12 MPG City / 18 MPG Hwy
0269	1	12 MPG City / 17 MPG Hwy
0270	1	19 MPG City / 27 MPG Hwy
0271	1	19 MPG City / 27 MPG Hwy
0272	1	18 MPG City / 25 MPG Hwy
0273	1	17 MPG City / 24 MPG Hwy
0274	1	17 MPG City / 24 MPG Hwy
0275	1	15 MPG City / 20 MPG Hwy
0276	1	35 MPG City / 34 MPG Hwy
0277	1	35 MPG City / 34 MPG Hwy
0278	1	35 MPG City / 34 MPG Hwy
0279	1	35 MPG City / 34 MPG Hwy
0280	1	21 MPG City / 30 MPG Hwy
0281	1	19 MPG City / 27 MPG Hwy
0282	1	21 MPG City / 29 MPG Hwy
0283	1	18 MPG City / 26 MPG Hwy
0284	1	20 MPG City / 26 MPG Hwy
0285	1	19 MPG City / 27 MPG Hwy
0286	1	21 MPG City / 29 MPG Hwy
0287	1	18 MPG City / 25 MPG Hwy
0288	1	20 MPG City / 27 MPG Hwy
0289	1	18 MPG City / 25 MPG Hwy
0290	1	18 MPG City / 25 MPG Hwy
0291	1	16 MPG City / 23 MPG Hwy
0292	1	16 MPG City / 23 MPG Hwy
0293	1	16 MPG City / 23 MPG Hwy
0294	1	16 MPG City / 24 MPG Hwy
0295	1	16 MPG City / 23 MPG Hwy
0296	1	16 MPG City / 23 MPG Hwy
0297	1	16 MPG City / 24 MPG Hwy
0298	1	20 MPG City / 22 MPG Hwy
0299	1	12 MPG City / 18 MPG Hwy
0300	1	18 MPG City / 24 MPG Hwy
0301	1	18 MPG City / 25 MPG Hwy
0302	1	18 MPG City / 24 MPG Hwy
0303	1	18 MPG City / 25 MPG Hwy
0304	1	30 MPG City / 28 MPG Hwy
0305	1	32 MPG City / 28 MPG Hwy
0306	1	32 MPG City / 28 MPG Hwy
0307	1	16 MPG City / 23 MPG Hwy
0308	1	17 MPG City / 24 MPG Hwy
0309	1	17 MPG City / 23 MPG Hwy
0310	1	16 MPG City / 22 MPG Hwy
0311	1	17 MPG City / 23 MPG Hwy
0312	1	19 MPG City / 26 MPG Hwy
0313	1	15 MPG City / 22 MPG Hwy
0314	1	18 MPG City / 27 MPG Hwy
0315	1	17 MPG City / 24 MPG Hwy
0316	1	18 MPG City / 27 MPG Hwy
0317	1	14 MPG City / 20 MPG Hwy
0318	1	13 MPG City / 18 MPG Hwy
0319	1	14 MPG City / 20 MPG Hwy
0320	1	16 MPG City / 24 MPG Hwy
0321	1	16 MPG City / 24 MPG Hwy
0322	1	20 MPG City / 26 MPG Hwy
0323	1	11 MPG City / 18 MPG Hwy
0324	1	12 MPG City / 19 MPG Hwy
0325	1	11 MPG City / 18 MPG Hwy
0326	1	11 MPG City / 18 MPG Hwy
0327	1	10 MPG City / 16 MPG Hwy
0328	1	10 MPG City / 16 MPG Hwy
0329	1	10 MPG City / 16 MPG Hwy
0330	1	10 MPG City / 16 MPG Hwy
0331	1	20 MPG City / 28 MPG Hwy
0332	1	18 MPG City / 24 MPG Hwy
0333	1	17 MPG City / 23 MPG Hwy
0334	1	20 MPG City / 28 MPG Hwy
0335	1	16 MPG City / 22 MPG Hwy
0336	1	17 MPG City / 24 MPG Hwy
0337	1	17 MPG City / 24 MPG Hwy
0338	1	16 MPG City / 22 MPG Hwy
0339	1	17 MPG City / 24 MPG Hwy
0340	1	15 MPG City / 21 MPG Hwy
0341	1	16 MPG City / 22 MPG Hwy
0342	1	15 MPG City / 21 MPG Hwy
0343	1	15 MPG City / 21 MPG Hwy
0344	1	16 MPG City / 22 MPG Hwy
0345	1	27 MPG City / 33 MPG Hwy
0346	1	27 MPG City / 33 MPG Hwy
0347	1	22 MPG City / 29 MPG Hwy
0348	1	20 MPG City / 28 MPG Hwy
0349	1	25 MPG City / 33 MPG Hwy
0350	1	20 MPG City / 28 MPG Hwy
0351	1	25 MPG City / 33 MPG Hwy
0352	1	25 MPG City / 33 MPG Hwy
0353	1	24 MPG City / 33 MPG Hwy
0354	1	22 MPG City / 29 MPG Hwy
0355	1	21 MPG City / 29 MPG Hwy
0356	1	21 MPG City / 28 MPG Hwy
0357	1	21 MPG City / 28 MPG Hwy
0358	1	21 MPG City / 28 MPG Hwy
0359	1	21 MPG City / 27 MPG Hwy
0360	1	21 MPG City / 27 MPG Hwy
0361	1	22 MPG City / 28 MPG Hwy
0362	1	21 MPG City / 27 MPG Hwy
0363	1	22 MPG City / 31 MPG Hwy
0364	1	22 MPG City / 31 MPG Hwy
0365	1	22 MPG City / 31 MPG Hwy
0366	1	18 MPG City / 27 MPG Hwy
0367	1	21 MPG City / 30 MPG Hwy
0368	1	21 MPG City / 30 MPG Hwy
0369	1	20 MPG City / 29 MPG Hwy
0370	1	21 MPG City / 30 MPG Hwy
0371	1	17 MPG City / 25 MPG Hwy
0372	1	17 MPG City / 25 MPG Hwy
0373	1	18 MPG City / 25 MPG Hwy
0374	1	18 MPG City / 25 MPG Hwy
0375	1	21 MPG City / 28 MPG Hwy
0376	1	21 MPG City / 28 MPG Hwy
0377	1	21 MPG City / 28 MPG Hwy
0378	1	21 MPG City / 28 MPG Hwy
0379	1	21 MPG City / 28 MPG Hwy
0380	1	21 MPG City / 28 MPG Hwy
0381	1	21 MPG City / 28 MPG Hwy
0382	1	16 MPG City / 22 MPG Hwy
0383	1	16 MPG City / 22 MPG Hwy
0384	1	16 MPG City / 22 MPG Hwy
0385	1	16 MPG City / 22 MPG Hwy
0386	1	16 MPG City / 22 MPG Hwy
0387	1	16 MPG City / 23 MPG Hwy
0388	1	21 MPG City / 28 MPG Hwy
0389	1	23 MPG City / 28 MPG Hwy
0390	1	20 MPG City / 26 MPG Hwy
0391	1	19 MPG City / 25 MPG Hwy
0392	1	21 MPG City / 28 MPG Hwy
0393	1	20 MPG City / 26 MPG Hwy
0394	1	21 MPG City / 28 MPG Hwy
0395	1	20 MPG City / 26 MPG Hwy
0396	1	19 MPG City / 25 MPG Hwy
0397	1	34 MPG City / 31 MPG Hwy
0398	1	30 MPG City / 27 MPG Hwy
0399	1	17 MPG City / 25 MPG Hwy
0400	1	13 MPG City / 19 MPG Hwy
0401	1	17 MPG City / 24 MPG Hwy
0402	1	18 MPG City / 26 MPG Hwy
0403	1	17 MPG City / 24 MPG Hwy
0404	1	18 MPG City / 26 MPG Hwy
0405	1	17 MPG City / 25 MPG Hwy
0406	1	12 MPG City / 19 MPG Hwy
0407	1	18 MPG City / 26 MPG Hwy
0408	1	18 MPG City / 25 MPG Hwy
0409	1	18 MPG City / 26 MPG Hwy
0410	1	12 MPG City / 18 MPG Hwy
0411	1	12 MPG City / 18 MPG Hwy
0412	1	14 MPG City / 21 MPG Hwy
0413	1	11 MPG City / 17 MPG Hwy
0414	1	14 MPG City / 21 MPG Hwy
0415	1	12 MPG City / 18 MPG Hwy
0416	1	17 MPG City / 24 MPG Hwy
0417	1	17 MPG City / 24 MPG Hwy
0418	1	15 MPG City / 23 MPG Hwy
0419	1	15 MPG City / 22 MPG Hwy
0420	1	15 MPG City / 23 MPG Hwy
0421	1	15 MPG City / 23 MPG Hwy
0422	1	11 MPG City / 13 MPG Hwy
0423	1	11 MPG City / 15 MPG Hwy
0424	1	11 MPG City / 15 MPG Hwy
0425	1	12 MPG City / 17 MPG Hwy
0426	1	16 MPG City / 21 MPG Hwy
0427	1	16 MPG City / 20 MPG Hwy
0428	1	15 MPG City / 20 MPG Hwy
0429	1	20 MPG City / 24 MPG Hwy
0430	1	13 MPG City / 18 MPG Hwy
0431	1	11 MPG City / 15 MPG Hwy
0432	1	16 MPG City / 21 MPG Hwy
0433	1	15 MPG City / 20 MPG Hwy
0434	1	21 MPG City / 24 MPG Hwy
0435	1	15 MPG City / 19 MPG Hwy
0436	1	18 MPG City / 24 MPG Hwy
0437	1	14 MPG City / 21 MPG Hwy
0438	1	15 MPG City / 23 MPG Hwy
0439	1	12 MPG City / 19 MPG Hwy
0440	1	14 MPG City / 22 MPG Hwy
0441	1	19 MPG City / 25 MPG Hwy
0442	1	14 MPG City / 21 MPG Hwy
0443	1	15 MPG City / 23 MPG Hwy
0444	1	11 MPG City / 17 MPG Hwy
0445	1	11 MPG City / 18 MPG Hwy
0446	1	11 MPG City / 17 MPG Hwy
0447	1	14 MPG City / 22 MPG Hwy
0448	1	12 MPG City / 19 MPG Hwy
0449	1	18 MPG City / 26 MPG Hwy
0450	1	18 MPG City / 25 MPG Hwy
0451	1	14 MPG City / 22 MPG Hwy
0452	0	<NULL>
0453	0	<NULL>
0454	0	<NULL>
0455	0	<NULL>
0456	0	<NULL>
0457	0	<NULL>
0458	1	16 MPG City / 24 MPG Hwy
0459	1	20 MPG City / 26 MPG Hwy
0460	1	21 MPG City / 28 MPG Hwy
0461	1	21 MPG City / 28 MPG Hwy
0462	1	20 MPG City / 26 MPG Hwy
0463	1	30 MPG City / 27 MPG Hwy
0464	1	34 MPG City / 31 MPG Hwy
0465	1	22 MPG City / 31 MPG Hwy
0466	1	22 MPG City / 31 MPG Hwy
0467	1	22 MPG City / 31 MPG Hwy
0468	1	41 MPG City / 36 MPG Hwy
0469	1	13 MPG City / 19 MPG Hwy
0470	1	14 MPG City / 20 MPG Hwy
0471	1	13 MPG City / 19 MPG Hwy
0472	1	28 MPG City / 36 MPG Hwy
0473	1	28 MPG City / 37 MPG Hwy
0474	1	27 MPG City / 35 MPG Hwy
0475	1	27 MPG City / 36 MPG Hwy
0476	1	27 MPG City / 36 MPG Hwy
0477	1	26 MPG City / 34 MPG Hwy
0478	1	27 MPG City / 36 MPG Hwy
0479	1	25 MPG City / 33 MPG Hwy
0480	1	25 MPG City / 33 MPG Hwy
0481	1	25 MPG City / 33 MPG Hwy
0482	1	11 MPG City / 18 MPG Hwy
0483	1	10 MPG City / 17 MPG Hwy
0484	1	10 MPG City / 17 MPG Hwy
0485	1	10 MPG City / 17 MPG Hwy
0486	1	11 MPG City / 18 MPG Hwy
0487	1	10 MPG City / 17 MPG Hwy
0488	1	12 MPG City / 19 MPG Hwy
0489	1	20 MPG City / 28 MPG Hwy
0490	1	20 MPG City / 28 MPG Hwy
0491	1	20 MPG City / 28 MPG Hwy
0492	1	20 MPG City / 27 MPG Hwy
0493	1	20 MPG City / 27 MPG Hwy
0494	1	16 MPG City / 24 MPG Hwy
0495	1	19 MPG City / 26 MPG Hwy
0496	1	16 MPG City / 24 MPG Hwy
0497	1	15 MPG City / 19 MPG Hwy
0498	1	15 MPG City / 21 MPG Hwy
0499	1	15 MPG City / 21 MPG Hwy
0500	1	15 MPG City / 21 MPG Hwy
0501	1	21 MPG City / 30 MPG Hwy
0502	1	21 MPG City / 30 MPG Hwy
0503	1	21 MPG City / 30 MPG Hwy
0504	1	24 MPG City / 33 MPG Hwy
0505	1	22 MPG City / 31 MPG Hwy
0506	1	22 MPG City / 31 MPG Hwy
0507	1	22 MPG City / 31 MPG Hwy
0508	1	17 MPG City / 22 MPG Hwy
0509	1	17 MPG City / 22 MPG Hwy
0510	1	17 MPG City / 22 MPG Hwy
0511	1	24 MPG City / 32 MPG Hwy
0512	1	23 MPG City / 28 MPG Hwy
0513	1	19 MPG City / 25 MPG Hwy
0514	1	22 MPG City / 27 MPG Hwy
0515	1	21 MPG City / 25 MPG Hwy
0516	1	21 MPG City / 25 MPG Hwy
0517	1	21 MPG City / 27 MPG Hwy
0518	1	24 MPG City / 29 MPG Hwy
0519	1	24 MPG City / 31 MPG Hwy
0520	1	25 MPG City / 31 MPG Hwy
0521	1	19 MPG City / 26 MPG Hwy
0522	1	18 MPG City / 25 MPG Hwy
0523	1	18 MPG City / 25 MPG Hwy
0524	1	18 MPG City / 25 MPG Hwy
0525	1	23 MPG City / 32 MPG Hwy
0526	1	23 MPG City / 31 MPG Hwy
0527	1	23 MPG City / 32 MPG Hwy
0528	1	23 MPG City / 32 MPG Hwy
0529	1	18 MPG City / 27 MPG Hwy
0530	1	20 MPG City / 27 MPG Hwy
0531	1	23 MPG City / 32 MPG Hwy
0532	1	23 MPG City / 31 MPG Hwy
0533	1	23 MPG City / 32 MPG Hwy
0534	1	23 MPG City / 32 MPG Hwy
0535	1	20 MPG City / 27 MPG Hwy
0536	1	18 MPG City / 27 MPG Hwy
0537	1	20 MPG City / 27 MPG Hwy
0538	1	35 MPG City / 33 MPG Hwy
0539	1	13 MPG City / 19 MPG Hwy
0540	1	13 MPG City / 19 MPG Hwy
0541	1	27 MPG City / 31 MPG Hwy
0542	1	27 MPG City / 31 MPG Hwy
0543	1	25 MPG City / 30 MPG Hwy
0544	1	27 MPG City / 31 MPG Hwy
0545	1	27 MPG City / 31 MPG Hwy
0546	1	15 MPG City / 20 MPG Hwy
0547	1	14 MPG City / 19 MPG Hwy
0548	1	15 MPG City / 19 MPG Hwy
0549	1	19 MPG City / 23 MPG Hwy
0550	1	16 MPG City / 20 MPG Hwy
0551	1	15 MPG City / 19 MPG Hwy
0552	1	15 MPG City / 20 MPG Hwy
0553	1	15 MPG City / 20 MPG Hwy
0554	1	14 MPG City / 19 MPG Hwy
0555	1	15 MPG City / 20 MPG Hwy
0556	1	16 MPG City / 20 MPG Hwy
0557	1	16 MPG City / 20 MPG Hwy
0558	1	14 MPG City / 19 MPG Hwy
0559	1	17 MPG City / 22 MPG Hwy
0560	1	15 MPG City / 20 MPG Hwy
0561	1	15 MPG City / 20 MPG Hwy
0562	1	15 MPG City / 20 MPG Hwy
0563	1	14 MPG City / 19 MPG Hwy
0564	1	14 MPG City / 19 MPG Hwy
0565	1	15 MPG City / 20 MPG Hwy
0566	1	14 MPG City / 19 MPG Hwy
0567	1	14 MPG City / 19 MPG Hwy
0568	1	15 MPG City / 19 MPG Hwy
0569	1	15 MPG City / 20 MPG Hwy
0570	1	14 MPG City / 19 MPG Hwy
0571	1	14 MPG City / 19 MPG Hwy
0572	1	15 MPG City / 19 MPG Hwy
0573	1	15 MPG City / 19 MPG Hwy
0574	1	19 MPG City / 23 MPG Hwy
0575	1	17 MPG City / 22 MPG Hwy
0576	1	19 MPG City / 23 MPG Hwy
0577	1	15 MPG City / 21 MPG Hwy
0578	1	15 MPG City / 21 MPG Hwy
0579	1	25 MPG City / 30 MPG Hwy
0580	1	24 MPG City / 31 MPG Hwy
0581	1	18 MPG City / 23 MPG Hwy
0582	1	18 MPG City / 23 MPG Hwy
0583	1	18 MPG City / 23 MPG Hwy
0584	1	18 MPG City / 23 MPG Hwy
0585	1	18 MPG City / 23 MPG Hwy
0586	1	18 MPG City / 23 MPG Hwy
0587	1	18 MPG City / 23 MPG Hwy
0588	1	18 MPG City / 23 MPG Hwy
0589	1	15 MPG City / 22 MPG Hwy
0590	1	14 MPG City / 20 MPG Hwy
0591	1	13 MPG City / 18 MPG Hwy
0592	1	15 MPG City / 22 MPG Hwy
0593	1	15 MPG City / 22 MPG Hwy
0594	1	14 MPG City / 20 MPG Hwy
0595	1	13 MPG City / 18 MPG Hwy
0596	1	15 MPG City / 22 MPG Hwy
0597	1	16 MPG City / 24 MPG Hwy
0598	1	16 MPG City / 24 MPG Hwy
0599	1	22 MPG City / 26 MPG Hwy
0600	1	21 MPG City / 26 MPG Hwy
0601	1	21 MPG City / 26 MPG Hwy
0602	1	22 MPG City / 27 MPG Hwy
0603	1	27 MPG City / 34 MPG Hwy
0604	1	27 MPG City / 34 MPG Hwy
0605	1	24 MPG City / 30 MPG Hwy
0606	1	24 MPG City / 31 MPG Hwy
0607	1	26 MPG City / 34 MPG Hwy
0608	1	26 MPG City / 34 MPG Hwy
0609	1	21 MPG City / 28 MPG Hwy
