auto	autoweb	engine
0084	1	Vortec 5.3L V8 SFI FlexFuel
0085	1	Vortec 5.3L V8 SFI FlexFuel
0086	1	Vortec 5.3L V8 SFI FlexFuel
0087	1	Vortec 5.3L V8 SFI FlexFuel
0088	1	Vortec 6.0L V8 SFI FlexFuel
0089	1	Vortec 4.8L V8 SFI FlexFuel
0090	1	Duramax 6.6L V8 Turbo Diesel
0091	1	Duramax 6.6L V8 Turbo Diesel
0092	1	Vortec 6.0L V8 SFI FlexFuel
0093	1	Vortec 6.0L V8 SFI FlexFuel
0094	1	Vortec 4.8L V8 SFI FlexFuel
0095	1	Duramax 6.6L V8 Turbo Diesel
0096	1	Duramax 6.6L V8 Turbo Diesel
0097	1	Duramax 6.6L V8 Turbo Diesel
0098	1	Vortec 6.0L V8 SFI FlexFuel
0099	1	Vortec 6.0L V8 SFI FlexFuel
0100	1	Vortec 6.0L V8 SFI FlexFuel
0101	1	Vortec 4.8L V8 SFI FlexFuel
0102	1	Vortec 4.8L V8 SFI FlexFuel
0103	1	Duramax 6.6L V8 Turbo Diesel
0104	1	Vortec 6.0L V8 SFI FlexFuel
0105	1	Vortec 6.0L V8 SFI FlexFuel
0106	1	Vortec 6.0L V8 SFI FlexFuel
0107	1	Vortec 4.8L V8 SFI FlexFuel
0108	1	Vortec 6.2L VVT V8 SFI FlexFuel
0109	1	Vortec 6.2L VVT V8 SFI FlexFuel
0110	1	Vortec 4.8L VVT V8 SFI FlexFuel
0111	1	Vortec 4.8L VVT V8 SFI FlexFuel
0112	1	Vortec 4.8L VVT V8 SFI FlexFuel
0113	1	Vortec 4.8L VVT V8 SFI FlexFuel
0114	1	Vortec 4.8L VVT V8 SFI FlexFuel
0115	1	Vortec 4.8L VVT V8 SFI FlexFuel
0116	1	Vortec 4.8L VVT V8 SFI FlexFuel
0117	1	Vortec 4.8L VVT V8 SFI FlexFuel
0118	1	Vortec 5.3L VVT V8 SFI FlexFuel
0119	1	Vortec 4.8L VVT V8 SFI FlexFuel
0120	1	Vortec 5.3L VVT V8 SFI FlexFuel
0121	1	Vortec 5.3L VVT V8 SFI FlexFuel
0122	1	Vortec 5.3L VVT V8 SFI FlexFuel
0123	1	Vortec 4.3L V6 MFI
0124	1	Vortec 4.8L VVT V8 SFI FlexFuel
0125	1	Vortec 4.8L VVT V8 SFI FlexFuel
0126	1	Vortec 4.3L V6 MFI
0127	1	Vortec 5.3L VVT V8 SFI FlexFuel
0128	1	Vortec 6.2L VVT V8 SFI FlexFuel
0129	1	Vortec 4.8L VVT V8 SFI FlexFuel
0130	1	Vortec 4.8L VVT V8 SFI FlexFuel
0131	1	Vortec 4.8L VVT V8 SFI FlexFuel
0132	1	Vortec 4.8L VVT V8 SFI FlexFuel
0133	1	Vortec 5.3L VVT V8 SFI FlexFuel
0134	1	Vortec 4.8L VVT V8 SFI FlexFuel
0135	1	Vortec 4.8L VVT V8 SFI FlexFuel
0136	1	Vortec 5.3L VVT V8 SFI FlexFuel
0137	1	Vortec 4.8L VVT V8 SFI FlexFuel
0138	1	Vortec 5.3L VVT V8 SFI FlexFuel
0139	1	Vortec 5.3L VVT V8 SFI FlexFuel
0140	1	Vortec 5.3L VVT V8 SFI FlexFuel
0141	1	Vortec 5.3L VVT V8 SFI FlexFuel
0142	1	Vortec 4.3L V6 MFI
0143	1	Vortec 4.3L V6 MFI
0144	1	Vortec 4.8L VVT V8 SFI FlexFuel
0145	1	Vortec 4.8L VVT V8 SFI FlexFuel
0146	1	Vortec 5.3L VVT V8 SFI FlexFuel
0147	1	Vortec 5.3L VVT V8 SFI FlexFuel
0148	1	Vortec 6.0L VVT V8 SFI LIVC
0149	1	Vortec 6.0L VVT V8 SFI LIVC
0150	1	Vortec 6.0L VVT V8 SFI LIVC
0151	1	Vortec 6.0L Variable Valve Timing V8 SFI
0152	1	Vortec 6.0L Variable Valve Timing V8 SFI
0153	1	Vortec 6.0L Variable Valve Timing V8 SFI
0154	1	Vortec 6.0L VVT V8 SFI
0155	1	Vortec 6.0L VVT V8 SFI
0156	1	Vortec 6.0L VVT V8 SFI
0157	1	Vortec 6.0L VVT V8 SFI
0158	1	Vortec 6.0L VVT V8 SFI
0159	1	Vortec 6.0L VVT V8 SFI
0160	1	Vortec 6.0L VVT V8 SFI
0161	1	Vortec 6.0L VVT V8 SFI
0162	1	Vortec 6.0L VVT V8 SFI
0163	1	Vortec 6.0L VVT V8 SFI
0164	1	Vortec 6.0L VVT V8 SFI
0165	1	Vortec 6.0L VVT V8 SFI
0166	1	Vortec 6.0L VVT V8 SFI
0167	1	Vortec 6.0L VVT V8 SFI
0168	1	Vortec 6.0L V8 SFI
0169	1	Vortec 6.0L V8 SFI
0170	1	Vortec 6.0L V8 SFI
0171	1	Vortec 6.0L V8 SFI
0172	1	Vortec 6.0L V8 SFI
0173	1	Vortec 6.0L V8 SFI
0174	1	Vortec 6.0L V8 SFI
0175	1	Vortec 6.0L V8 SFI
0176	1	Vortec 6.0L V8 SFI
0177	1	Vortec 6.0L V8 SFI
0178	1	Vortec 6.0L V8 SFI
0179	1	Vortec 6.0L Variable Valve Timing V8 SFI
0180	1	Vortec 6.0L Variable Valve Timing V8 SFI
0181	1	Vortec 6.0L Variable Valve Timing V8 SFI
0182	1	Vortec 6.0L Variable Valve Timing V8 SFI
0183	1	Vortec 6.0L Variable Valve Timing V8 SFI
0184	1	Vortec 6.0L Variable Valve Timing V8 SFI
0185	1	Vortec 6.0L Variable Valve Timing V8 SFI
0186	1	Vortec 6.0L Variable Valve Timing V8 SFI
0187	1	Vortec 6.0L Variable Valve Timing V8 SFI
0188	1	Vortec 6.0L Variable Valve Timing V8 SFI
0189	1	Vortec 6.0L Variable Valve Timing V8 SFI
0190	1	Vortec 6.0L Variable Valve Timing V8 SFI
0191	1	Vortec 6.0L Variable Valve Timing V8 SFI
0192	1	Vortec 6.0L Variable Valve Timing V8 SFI
0193	1	Vortec 6.0L Variable Valve Timing V8 SFI
0194	1	Vortec 6.0L Variable Valve Timing V8 SFI
0195	1	Vortec 6.0L Variable Valve Timing V8 SFI
0196	1	Vortec 6.0L Variable Valve Timing V8 SFI
0197	1	Vortec 6.0L Variable Valve Timing V8 SFI
0198	1	Vortec 6.0L Variable Valve Timing V8 SFI
0199	1	Vortec 6.0L Variable Valve Timing V8 SFI
0200	1	Vortec 6.0L V8 SFI
0201	1	Vortec 6.0L V8 SFI
0202	1	Vortec 6.0L V8 SFI
0203	1	Vortec 6.0L V8 SFI
0204	1	Vortec 6.0L V8 SFI
0205	1	Vortec 6.0L V8 SFI
0206	1	Vortec 6.0L V8 SFI
0207	1	Vortec 6.0L V8 SFI
0208	1	Vortec 6.0L V8 SFI
0209	1	Vortec 6.0L V8 SFI
0210	1	Vortec 6.0L V8 SFI
0211	1	Vortec 6.0L V8 SFI
0212	1	2.4L DOHC 4-Cylinder SIDI w/VVT
0213	1	2.4L DOHC 4-Cylinder SIDI w/VVT
0214	1	2.4L DOHC 4-Cylinder SIDI w/VVT
0215	1	2.4L DOHC 4-Cylinder SIDI w/VVT
0216	1	2.4L I-4 SIDI VVT
0217	1	2.4L I-4 SIDI VVT
0218	1	2.4L I-4 SIDI VVT
0219	1	Vortec 6.2L V8 SFI Flex Fuel w/VVT
0220	1	Vortec 6.2L V8 SFI Flex Fuel w/VVT
0221	1	Vortec 5.3L SFI V8 Iron Block Flex-Fuel
0222	1	Vortec 6.0L V8 SFI LIVC
0223	1	Vortec 6.0L V8 SFI LIVC
0224	1	Vortec 6.0L V8 SFI LIVC
0225	1	Vortec 5.3L V8 SFI FlexFuel
0226	1	Vortec 6.2L V8 SFI Flex Fuel w/VVT
0227	1	Vortec 5.3L SFI V8 Iron Block Flex-Fuel
0228	1	Vortec 5.3L SFI V8 Aluminum Block FlexFuel
0229	1	Vortec 6.0L Variable Valve Timing V8 SFI
0230	1	Vortec 6.0L Variable Valve Timing V8 SFI
0231	1	Vortec 6.0L VVT V8 SFI
0232	1	Vortec 6.0L VVT V8 SFI
0233	1	Vortec 6.0L VVT V8 SFI
0234	1	3.5L V6 DOHC 24V Dual VVT-i
0235	1	3.5L V6 24V DOHC
0236	1	3.5L V6 24V DOHC
0237	1	4.6L V8 32V DOHC
0238	1	4.6L V8 DOHC 32V w/Dual VVT-i
0239	1	2.4L I4 DOHC 16-Valve VVT-i
0240	1	2.4L I4 DOHC 16-Valve VVT-i
0241	1	2.5L V6 DOHC 24V VVT-i
0242	1	2.5L V6 DOHC 24V VVT-i
0243	1	2.5L V6 DOHC 24V VVT-i
0244	1	2.5L V6 DOHC 24V VVT-i
0245	1	2.5L V6 DOHC 24V VVT-i
0246	1	2.5L V6 DOHC 24V VVT-i
0247	1	3.5L V6 DOHC 24V VVT-i
0248	1	3.5L V6 DOHC 24V VVT-i
0249	1	3.5L V6 DOHC 24V VVT-i
0250	1	3.5L V6 DOHC 24V VVT-i
0251	1	4.6L V8 32V DOHC SFI
0252	1	4.6L 32V DOHC V8
0253	1	4.6L 32V DOHC V8
0254	1	4.6L 32V DOHC V8
0255	1	5.7L V8 DOHC 32V w/Dual VVT-i
0256	1	3.5L V6 DOHC 24-Valve VVT-i
0257	1	3.5L V6 DOHC 24-Valve VVT-i
0258	1	2.4L SOHC 16V I4 MIVEC
0259	1	2.4L SOHC 16V I4 MIVEC
0260	1	2.4L SOHC 16V I4 MIVEC
0261	1	3.8L SOHC 24V V6 MIVEC
0262	1	3.8L SOHC 24V V6 MPI
0263	1	3.8L SOHC 24V V6 MPI
0264	1	3.8L SOHC 24V V6 MPI
0265	1	2.4L MIVEC SOHC 16V I-4
0266	1	2.4L MIVEC SOHC 16V I-4
0267	1	2.0L MIVEC DOHC I-4 Turbo/Intercooled
0268	1	2.0L MIVEC DOHC I-4
0269	1	2.0L MIVEC DOHC I-4
0270	1	2.4L MIVEC DOHC I-4
0271	1	2.0L MIVEC DOHC I-4 Turbo/Intercooled
0272	1	2.0L MIVEC DOHC I-4 Turbo/Intercooled
0273	1	2.4L MIVEC DOHC I-4
0274	1	2.0L MIVEC DOHC I-4 Turbo/Intercooled
0275	1	2.4L MIVEC DOHC I-4
0276	1	2.4L DOHC I4 MIVEC 16 Valve
0277	1	2.4L DOHC I4 MIVEC 16 Valve
0278	1	3.0L SOHC V6 MIVEC 24 Valve
0279	1	2.4L DOHC I4 MIVEC 16 Valve
0280	1	2.4L DOHC I4 MIVEC 16 Valve
0281	1	2.4L DOHC I4 MIVEC 16 Valve
0282	1	2.4L DOHC I4 MIVEC 16 Valve
0283	1	3.0L SOHC V6 MIVEC 24 Valve
0284	1	3.0L SOHC V6 MIVEC 24 Valve
0285	1	2.0L MIVEC DOHC I-4
0286	1	2.0L MIVEC DOHC I-4
0287	1	3-Phase/4-Pole Electric
0288	1	2.0L I4 DOHC CVVT
0289	1	2.4L I4 DOHC CVVT
0290	1	2.4L I4 DOHC CVVT
0291	1	2.0L I4 DOHC CVVT
0292	1	2.0L I4 DOHC CVVT
0293	1	2.4L I4 DOHC CVVT
0294	1	2.4L I4 DOHC CVVT
0295	1	2.0L I4 DOHC CVVT
0296	1	2.4L I4 DOHC CVVT
0297	1	2.4L I4 DOHC CVVT
0298	1	2.4L DOHC I4
0299	1	2.0L DOHC I4 Turbo
0300	1	2.4L DOHC I4
0301	1	2.4L DOHC I4
0302	1	2.7L DOHC V6
0303	1	1.6L DOHC 16-Valve CVVT 4-Cylinder
0304	1	1.6L DOHC 16-Valve CVVT 4-Cylinder
0305	1	1.6L DOHC 16-Valve CVVT 4-Cylinder
0306	1	1.6L DOHC 16-Valve CVVT 4-Cylinder
0307	1	1.6L DOHC 16-Valve CVVT 4-Cylinder
0308	1	1.6L DOHC 16-Valve CVVT 4-Cylinder
0309	1	3.8L DOHC 24V V6
0310	1	3.5L V6 DOHC Dual CVVT
0311	1	2.4L I4 DOHC Dual CVVT
0312	1	3.5L V6 DOHC Dual CVVT
0313	1	3.5L V6 DOHC Dual CVVT
0314	1	3.5L V6 DOHC Dual CVVT
0315	1	2.0L 4 Cylinder w/CVVT
0316	1	2.0L 4 Cylinder w/CVVT
0317	1	2.0L 4 Cylinder w/CVVT
0318	1	2.0L 4 Cylinder w/CVVT
0319	1	2.4L DOHC 16V I4
0320	1	2.4L DOHC 16V I4
0321	1	2.0L 16V DOHC I4
0322	1	2.0L 16V DOHC I4
0323	1	2.0L 16V DOHC I4
0324	1	2.7L 24V DOHC V6
0325	1	3.0L 24V DOHC I-6
0326	1	3.0L 24V DOHC I-6
0327	1	3.0L 24V DOHC I-6
0328	1	3.0L 24V DOHC I-6
0329	1	3.0L I-6 DOHC 24V Twin-Turbo
0330	1	3.0L I-6 DOHC 24V Twin-Turbo
0331	1	3.0L DOHC 6-Cylinder
0332	1	3.0L DOHC 6-Cylinder
0333	1	3.0L DOHC 6-Cylinder
0334	1	3.0L DOHC 6-Cylinder
0335	1	3.0L DOHC 6-Cylinder
0336	1	3.0L DOHC 6-Cylinder
0337	1	3.0L DOHC 6-Cylinder
0338	1	3.0L DOHC 6-Cylinder
0339	1	3.0L DOHC 6-Cylinder
0340	1	3.0L DOHC 6-Cylinder
0341	1	3.0L DOHC 6-Cylinder
0342	1	3.0L DOHC 6-Cylinder Turbocharged
0343	1	3.0L DOHC 6-Cylinder Turbocharged
0344	1	3.0L DOHC 6-Cylinder Twin-Turbocharged
0345	1	3.0L DOHC 6-Cylinder Twin-Turbocharged
0346	1	3.0L DOHC 6-Cylinder Turbocharged
0347	1	3.0L DOHC 6-Cylinder Turbocharged
0348	1	3.0L DOHC 6-Cylinder Twin-Turbocharged
0349	1	3.0L 24V DOHC 6 Cylinder
0350	1	3.0L 24V DOHC Twin Turbocharged 6 Cylinder
0351	1	3.0L 24V DOHC Twin Turbocharged 6 Cylinder
0352	1	3.0L 24V DOHC Twin Turbocharged 6 Cylinder
0353	1	3.0L DOHC 24V I6 w/TwinPower Turbo
0354	1	3.0L DOHC 24V I6 w/TwinPower Turbo
0355	1	3.0L DOHC 24V I6 w/TwinPower Turbo
0356	1	3.0L 24V DOHC Twin Turbocharged 6 Cylinder
0357	1	4.4L 32V V8 w/Advanced Turbo Technology
0358	1	4.4L 32V V8 w/Advanced Turbo Technology
0359	1	4.8L DOHC V8 32V Valvetronic
0360	1	3.0L Twin Turbocharged Inline 6
0361	1	3.0L Twin Turbocharged Inline 6
0362	1	4.4L 32V Twin Turbocharged V8
0363	1	4.4L 32V Twin Turbocharged V8
0364	1	4.4L Twin-Turbocharged V8
0365	1	4.4L Twin-Turbocharged V8
0366	1	4.0L V8 DOHC 32v
0367	1	3.0L DOHC 24V Inline 6-Cylinder
0368	1	3.0L DOHC 24V I-6 TwinPower Turbo
0369	1	3.0L DOHC I-6 24V TwinPower Turbo
0370	1	3.0L DOHC 24 Valve I6 Valvetronic
0371	1	4.8L 32 Valve V8 Valvetronic
0372	1	3.0L DOHC 24 Valve Inline 6 Turbocharged
0373	1	4.4L 32 Valve V8 Turbocharged
0374	1	M TwinPower Turbo V8 32V 4.4L
0375	1	3.0L DOHC 24V Inline 6-Cylinder
0376	1	3.0L DOHC 24V Inline 6-Cylinder
0377	1	3.0L DOHC 24V Inline 6-Cylinder
0378	1	3.0L DOHC 24V Inline 6-Cylinder
0379	1	2.4L 16-Valve DOHC i-VTEC I-4
0380	1	2.4L 16-Valve DOHC i-VTEC I-4
0381	1	2.4L 16-Valve DOHC i-VTEC I-4
0382	1	2.4L 16-Valve DOHC i-VTEC I-4
0383	1	2.4L 16-Valve DOHC i-VTEC I-4
0384	1	2.4L 16-Valve DOHC i-VTEC I-4
0385	1	2.4L 16-Valve DOHC i-VTEC I-4
0386	1	2.4L 16-Valve DOHC i-VTEC I-4
0387	1	3.5L 24-Valve SOHC i-VTEC V-6
0388	1	3.5L 24-Valve SOHC VTEC V-6
0389	1	2.4L 16-Valve DOHC i-VTEC I-4
0390	1	2.4L 16-Valve DOHC i-VTEC I-4
0391	1	2.4L 16-Valve DOHC i-VTEC I-4
0392	1	2.4L 16-Valve DOHC i-VTEC I-4
0393	1	2.4L 16-Valve DOHC i-VTEC I-4
0394	1	3.5L 24-Valve SOHC i-VTEC V-6
0395	1	3.5L 24-Valve SOHC VTEC V-6
0396	1	3.5L 24-Valve SOHC i-VTEC V-6
0397	1	3.5L 24-Valve SOHC i-VTEC V-6
0398	1	3.5L 24-Valve SOHC VTEC V-6
0399	1	3.5L 24-Valve SOHC i-VTEC V-6
0400	1	3.5L 24-Valve SOHC i-VTEC V-6
0401	1	3.5L 24-Valve SOHC i-VTEC V-6
0402	1	3.5L 24-Valve SOHC i-VTEC V-6
0403	1	1.8L I-4 SOHC 16-Valve i-VTEC
0404	1	1.8L I-4 SOHC 16-Valve i-VTEC
0405	1	1.8L I-4 SOHC 16-Valve i-VTEC
0406	1	1.8L I-4 SOHC 16-Valve i-VTEC
0407	1	1.8L I-4 SOHC 16-Valve i-VTEC
0408	1	1.8L I-4 SOHC 16-Valve i-VTEC
0409	1	1.8L I-4 SOHC 16-Valve i-VTEC
0410	1	1.8L I-4 SOHC 16-Valve i-VTEC
0411	1	1.8L I-4 SOHC 16-Valve i-VTEC
0412	1	1.8L I-4 SOHC 16-Valve i-VTEC
0413	1	1.8L I-4 SOHC 16-Valve i-VTEC
0414	1	2.0L I-4 DOHC 16-Valve i-VTEC
0415	1	2.0L I-4 DOHC 16-Valve i-VTEC
0416	1	2.0L I-4 DOHC 16-Valve i-VTEC
0417	1	2.0L I-4 DOHC 16-Valve i-VTEC
0418	1	1.8L I-4 SOHC 16-Valve i-VTEC
0419	1	1.8L I-4 SOHC 16-Valve i-VTEC
0420	1	1.8L I-4 SOHC 16-Valve i-VTEC
0421	1	1.8L I-4 SOHC 16-Valve i-VTEC
0422	1	1.8L I-4 SOHC 16-Valve i-VTEC
0423	1	1.8L I-4 SOHC 16-Valve i-VTEC
0424	1	1.8L I-4 SOHC 16-Valve i-VTEC
0425	1	1.8L I-4 SOHC 16-Valve i-VTEC
0426	1	1.8L I-4 SOHC 16-Valve i-VTEC
0427	1	1.8L I-4 SOHC 16-Valve i-VTEC
0428	1	2.0L I-4 DOHC 16-Valve i-VTEC
0429	1	2.0L I-4 DOHC 16-Valve i-VTEC
0430	1	2.0L I-4 DOHC 16-Valve i-VTEC
0431	1	2.0L I-4 DOHC 16-Valve i-VTEC
0432	1	2.0L I-4 DOHC 16-Valve i-VTEC
0433	1	1.8L I-4 SOHC 16-Valve i-VTEC
0434	1	1.3L I-4 SOHC 8-Valve i-VTEC
0435	1	1.3L I-4 SOHC 8-Valve i-VTEC
0436	1	1.3L I-4 SOHC 8-Valve i-VTEC
0437	1	2.4L I-4 16-Valve DOHC i-VTEC
0438	1	2.4L I-4 16-Valve DOHC i-VTEC
0439	1	2.4L I-4 16-Valve DOHC i-VTEC
0440	1	2.4L I-4 16-Valve DOHC i-VTEC
0441	1	2.4L I-4 16-Valve DOHC i-VTEC
0442	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0443	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0444	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0445	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0446	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0447	1	2.4L 16-Valve DOHC i-VTEC I-4
0448	1	2.4L 16-Valve DOHC i-VTEC I-4
0449	1	2.4L 16-Valve DOHC i-VTEC I-4
0450	1	2.4L 16-Valve DOHC i-VTEC I-4
0451	1	2.4L 16-Valve DOHC i-VTEC I-4
0452	1	2.4L 16-Valve DOHC i-VTEC I-4
0453	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0454	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0455	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0456	1	1.5L 16-Valve 4-Cylinder SOHC i-VTEC
0457	1	1.3L I-4 8-Valve SOHC i-VTEC
0458	1	1.3L I-4 8-Valve SOHC i-VTEC
0459	1	3.5L V6 SOHC 24-Valve i-VTEC
0460	1	3.5L V6 SOHC 24-Valve i-VTEC
0461	1	3.5L V6 SOHC 24-Valve i-VTEC
0462	1	3.5L V6 SOHC 24-Valve i-VTEC
0463	1	3.5L V6 SOHC 24-Valve i-VTEC
0464	1	3.5L V6 SOHC 24-Valve VTEC
0465	1	3.5L V6 SOHC 24V i-VTEC w/VCM
0466	1	3.5L V6 SOHC 24V i-VTEC w/VCM
0467	1	3.5L V6 SOHC 24V i-VTEC w/VCM
0468	1	3.5L V6 SOHC 24V i-VTEC w/VCM
0469	1	3.5L V6 SOHC 24V i-VTEC w/VCM
0470	1	3.5L V6 SOHC 24V i-VTEC w/VCM
0471	1	3.5L 24V SOHC VTEC V6
0472	1	3.5L 24V SOHC VTEC V6
0473	1	3.5L 24V SOHC VTEC V6
0474	1	3.7L 24-Valve Duratec V6 w/VCT
0475	1	3.7L 24-Valve Duratec V6 w/VCT
0476	1	3.5L 24V V6 w/Ecoboost
0477	1	3.7L V6
0478	1	3.7L V6
0479	1	3.5L Duratec V6
0480	1	3.5L 24V Duratec DOHC V6
0481	1	3.5L 24V Duratec DOHC V6
0482	1	5.4L 3V SOHC V8 FFV
0483	1	5.4L 3V SOHC V8 FFV
0484	1	5.4L 3V SOHC V8 FFV
0485	1	4.6L OHC FFV V8
0486	1	4.6L OHC FFV V8
0487	1	3.7L DOHC V6
0488	1	3.7L DOHC V6
0489	1	3.7L DOHC V6
0490	1	3.7L DOHC V6
0491	1	2.5L DOHC 16-Valve I-4
0492	1	2.5L DOHC 16-Valve I-4
0493	1	2.5L DOHC 16-Valve I-4
0494	1	3.5L DOHC 24-Valve V6
0495	1	2.5L DOHC 16-Valve I-4
0496	1	3.5L DOHC 24-Valve V6
0497	1	5.6L DOHC 32V Endurance V8
0498	1	5.6L DOHC 32V Endurance V8
0499	1	5.6L DOHC 32V Endurance V8
0500	1	5.6L DOHC 32V Endurance V8
0501	1	5.6L DOHC 32V Endurance V8
0502	1	5.6L DOHC 32V Endurance V8
0503	1	1.8L DOHC 16 Valve 4-Cylinder
0504	1	1.8L DOHC 16 Valve 4-Cylinder
0505	1	1.8L DOHC 16 Valve 4-Cylinder
0506	1	1.8L DOHC 16 Valve 4-Cylinder
0507	1	1.8L DOHC 16 Valve 4-Cylinder
0508	1	1.8L DOHC 16 Valve 4-Cylinder
0509	1	4.0L DOHC V6
0510	1	4.0L DOHC V6
0511	1	4.0L DOHC V6
0512	1	4.0L DOHC V6
0513	1	4.0L DOHC V6
0514	1	4.0L DOHC V6
0515	1	4.0L DOHC V6
0516	1	4.0L DOHC V6
0517	1	4.0L DOHC V6
0518	1	2.5L DOHC I4
0519	1	4.0L V6 DOHC
0520	1	4.0L V6 DOHC
0521	1	4.0L V6 DOHC
0522	1	4.0L V6 DOHC
0523	1	4.0L V6 DOHC
0524	1	4.0L V6 DOHC
0525	1	4.0L V6 DOHC
0526	1	4.0L V6 DOHC
0527	1	4.0L V6 DOHC
0528	1	4.0L V6 DOHC
0529	1	4.0L V6 DOHC
0530	1	4.0L V6 DOHC
0531	1	4.0L V6 DOHC
0532	1	4.0L V6 DOHC
0533	1	4.0L V6 DOHC
0534	1	2.5L 4 Cylinder 16-Valve DOHC
0535	1	2.5L 4 Cylinder 16-Valve DOHC
0536	1	2.5L 4 Cylinder 16-Valve DOHC
0537	1	2.5L 4 Cylinder 16-Valve DOHC
0538	1	3.8L 24V DOHC V6 Twin Turbo (VR38DETT)
0539	1	3.8L 24V DOHC V6 Twin Turbo (VR38DETT)
