auto	yahoo	fuel_economy
0375	1	17 mpg city / 27 mpg hwy
0376	1	17 mpg city / 27 mpg hwy
0377	1	15 mpg city / 20 mpg hwy
0378	1	15 mpg city / 20 mpg hwy
0379	1	15 mpg city / 20 mpg hwy
0380	1	14 mpg city / 20 mpg hwy
0381	1	14 mpg city / 19 mpg hwy
0382	1	14 mpg city / 19 mpg hwy
0383	1	14 mpg city / 19 mpg hwy
0384	1	14 mpg city / 20 mpg hwy
0385	1	18 mpg city / 26 mpg hwy
0386	1	18 mpg city / 26 mpg hwy
0387	1	18 mpg city / 26 mpg hwy
0388	1	16 mpg city / 24 mpg hwy
0389	1	16 mpg city / 24 mpg hwy
0390	1	16 mpg city / 24 mpg hwy
0391	1	16 mpg city / 20 mpg hwy
0392	1	15 mpg city / 21 mpg hwy
0393	1	15 mpg city / 20 mpg hwy
0394	1	16 mpg city / 20 mpg hwy
0395	1	15 mpg city / 20 mpg hwy
0396	1	22 mpg city / 32 mpg hwy
0397	1	20 mpg city / 29 mpg hwy
0398	1	20 mpg city / 29 mpg hwy
0399	1	22 mpg city / 32 mpg hwy
0400	1	20 mpg city / 29 mpg hwy
0401	1	22 mpg city / 32 mpg hwy
0402	1	22 mpg city / 32 mpg hwy
0403	1	22 mpg city / 32 mpg hwy
0404	1	20 mpg city / 29 mpg hwy
0405	1	15 mpg city / 20 mpg hwy
0406	1	NL mpg city / NL mpg hwy
0407	1	NL mpg city / NL mpg hwy
0408	1	NL mpg city / NL mpg hwy
0409	1	NL mpg city / NL mpg hwy
0410	1	14 mpg city / 18 mpg hwy
0411	1	14 mpg city / 18 mpg hwy
0412	1	14 mpg city / 18 mpg hwy
0413	1	13 mpg city / 18 mpg hwy
0414	1	12 mpg city / 17 mpg hwy
0415	1	12 mpg city / 17 mpg hwy
0416	1	13 mpg city / 17 mpg hwy
0417	1	13 mpg city / 17 mpg hwy
0418	1	13 mpg city / 17 mpg hwy
0419	1	13 mpg city / 17 mpg hwy
0420	1	13 mpg city / 18 mpg hwy
0421	1	12 mpg city / 17 mpg hwy
0422	1	12 mpg city / 17 mpg hwy
0423	1	12 mpg city / 17 mpg hwy
0424	1	13 mpg city / 18 mpg hwy
0425	1	14 mpg city / 19 mpg hwy
0426	1	15 mpg city / 22 mpg hwy
0427	1	14 mpg city / 18 mpg hwy
0428	1	18 mpg city / 27 mpg hwy
0429	1	17 mpg city / 25 mpg hwy
0430	1	18 mpg city / 27 mpg hwy
0431	1	17 mpg city / 25 mpg hwy
0432	1	16 mpg city / 24 mpg hwy
0433	1	21 mpg city / 30 mpg hwy
0434	1	20 mpg city / 30 mpg hwy
0435	1	21 mpg city / 30 mpg hwy
0436	1	17 mpg city / 26 mpg hwy
0437	1	20 mpg city / 30 mpg hwy
0438	1	17 mpg city / 27 mpg hwy
0439	1	21 mpg city / 30 mpg hwy
0440	1	17 mpg city / 26 mpg hwy
0441	1	17 mpg city / 26 mpg hwy
0442	1	17 mpg city / 26 mpg hwy
0443	1	17 mpg city / 27 mpg hwy
0444	1	18 mpg city / 26 mpg hwy
0445	1	20 mpg city / 25 mpg hwy
0446	1	20 mpg city / 25 mpg hwy
0447	1	19 mpg city / 25 mpg hwy
0448	1	20 mpg city / 25 mpg hwy
0449	1	19 mpg city / 25 mpg hwy
0450	1	14 mpg city / 18 mpg hwy
0451	1	14 mpg city / 18 mpg hwy
0452	1	13 mpg city / 18 mpg hwy
0453	1	15 mpg city / 20 mpg hwy
0454	1	NA mpg city / NA mpg hwy
0455	1	NA mpg city / NA mpg hwy
0456	1	NA mpg city / NA mpg hwy
0457	1	NA mpg city / NA mpg hwy
0458	1	20 mpg city / 27 mpg hwy
0459	1	18 mpg city / 24 mpg hwy
0460	1	18 mpg city / 24 mpg hwy
0461	1	18 mpg city / 24 mpg hwy
0462	1	17 mpg city / 23 mpg hwy
0463	1	17 mpg city / 23 mpg hwy
0464	1	NA mpg city / NA mpg hwy
0465	1	NA mpg city / NA mpg hwy
0466	1	NL mpg city / NL mpg hwy
0467	1	NL mpg city / NL mpg hwy
0468	1	NL mpg city / NL mpg hwy
0469	1	NA mpg city / NA mpg hwy
0470	1	NA mpg city / NA mpg hwy
0471	1	NA mpg city / NA mpg hwy
0472	1	15 mpg city / 20 mpg hwy
0473	1	14 mpg city / 18 mpg hwy
0474	1	15 mpg city / 20 mpg hwy
0475	1	14 mpg city / 18 mpg hwy
0476	1	14 mpg city / 19 mpg hwy
0477	1	13 mpg city / 17 mpg hwy
0478	1	13 mpg city / 17 mpg hwy
0479	1	13 mpg city / 17 mpg hwy
0480	1	14 mpg city / 19 mpg hwy
0481	1	13 mpg city / 17 mpg hwy
0482	1	16 mpg city / 24 mpg hwy
0483	1	NA mpg city / NA mpg hwy
0484	1	NA mpg city / NA mpg hwy
0485	1	21 mpg city / 31 mpg hwy
0486	1	17 mpg city / 27 mpg hwy
0487	1	26 mpg city / 31 mpg hwy
0488	1	24 mpg city / 30 mpg hwy
0489	1	24 mpg city / 30 mpg hwy
0490	1	25 mpg city / 30 mpg hwy
0491	1	27 mpg city / 31 mpg hwy
0492	1	26 mpg city / 35 mpg hwy
0493	1	26 mpg city / 35 mpg hwy
0494	1	26 mpg city / 34 mpg hwy
0495	1	26 mpg city / 34 mpg hwy
0496	1	22 mpg city / 30 mpg hwy
0497	1	22 mpg city / 30 mpg hwy
0498	1	21 mpg city / 28 mpg hwy
0499	1	22 mpg city / 30 mpg hwy
0500	1	23 mpg city / 30 mpg hwy
0501	1	23 mpg city / 29 mpg hwy
0502	1	22 mpg city / 28 mpg hwy
0503	1	22 mpg city / 28 mpg hwy
0504	1	24 mpg city / 35 mpg hwy
0505	1	24 mpg city / 35 mpg hwy
0506	1	24 mpg city / 35 mpg hwy
0507	1	24 mpg city / 35 mpg hwy
0508	1	21 mpg city / 25 mpg hwy
0509	1	19 mpg city / 25 mpg hwy
0510	1	19 mpg city / 25 mpg hwy
0511	1	19 mpg city / 25 mpg hwy
0512	1	19 mpg city / 25 mpg hwy
0513	1	17 mpg city / 21 mpg hwy
0514	1	17 mpg city / 21 mpg hwy
0515	1	17 mpg city / 21 mpg hwy
0516	1	15 mpg city / 19 mpg hwy
0517	1	24 mpg city / 35 mpg hwy
0518	1	24 mpg city / 35 mpg hwy
0519	1	26 mpg city / 32 mpg hwy
0520	1	25 mpg city / 31 mpg hwy
0521	1	21 mpg city / 29 mpg hwy
0522	1	21 mpg city / 28 mpg hwy
0523	1	21 mpg city / 29 mpg hwy
0524	1	24 mpg city / 32 mpg hwy
0525	1	24 mpg city / 32 mpg hwy
0526	1	23 mpg city / 27 mpg hwy
0527	1	18 mpg city / 24 mpg hwy
0528	1	20 mpg city / 25 mpg hwy
0529	1	20 mpg city / 25 mpg hwy
0530	1	18 mpg city / 23 mpg hwy
0531	1	18 mpg city / 23 mpg hwy
0532	1	18 mpg city / 25 mpg hwy
0533	1	18 mpg city / 25 mpg hwy
0534	1	23 mpg city / 30 mpg hwy
0535	1	23 mpg city / 30 mpg hwy
0536	1	30 mpg city / 41 mpg hwy
0537	1	30 mpg city / 41 mpg hwy
0538	1	20 mpg city / 28 mpg hwy
0539	1	20 mpg city / 26 mpg hwy
0540	1	20 mpg city / 26 mpg hwy
0541	1	20 mpg city / 26 mpg hwy
0542	1	20 mpg city / 30 mpg hwy
0543	1	20 mpg city / 30 mpg hwy
0544	1	17 mpg city / 26 mpg hwy
0545	1	17 mpg city / 27 mpg hwy
0546	1	17 mpg city / 27 mpg hwy
0547	1	15 mpg city / 20 mpg hwy
0548	1	14 mpg city / 19 mpg hwy
0549	1	15 mpg city / 21 mpg hwy
0550	1	15 mpg city / 19 mpg hwy
0551	1	15 mpg city / 19 mpg hwy
0552	1	NA mpg city / NA mpg hwy
0553	1	16 mpg city / 24 mpg hwy
0554	1	16 mpg city / 24 mpg hwy
0555	1	16 mpg city / 24 mpg hwy
0556	1	15 mpg city / 22 mpg hwy
0557	1	14 mpg city / 20 mpg hwy
0558	1	14 mpg city / 20 mpg hwy
0559	1	13 mpg city / 18 mpg hwy
0560	1	NA mpg city / NL mpg hwy
0561	1	NA mpg city / NL mpg hwy
0562	1	NA mpg city / NL mpg hwy
0563	1	NA mpg city / NL mpg hwy
0564	1	NA mpg city / NL mpg hwy
0565	1	14 mpg city / 20 mpg hwy
0566	1	16 mpg city / 22 mpg hwy
0567	1	16 mpg city / 22 mpg hwy
0568	1	16 mpg city / 22 mpg hwy
0569	1	15 mpg city / 21 mpg hwy
0570	1	17 mpg city / 24 mpg hwy
0571	1	17 mpg city / 24 mpg hwy
0572	1	16 mpg city / 22 mpg hwy
0573	1	NL mpg city / NL mpg hwy
0574	1	NL mpg city / NL mpg hwy
0575	1	NL mpg city / NL mpg hwy
0576	1	14 mpg city / 20 mpg hwy
0577	1	NA mpg city / NA mpg hwy
0578	1	NA mpg city / NA mpg hwy
0579	1	NA mpg city / NA mpg hwy
0580	1	NA mpg city / NA mpg hwy
0581	1	NA mpg city / NA mpg hwy
0582	1	17 mpg city / 28 mpg hwy
0583	1	17 mpg city / 28 mpg hwy
0584	1	16 mpg city / 24 mpg hwy
0585	1	16 mpg city / 24 mpg hwy
0586	1	19 mpg city / 27 mpg hwy
0587	1	19 mpg city / 27 mpg hwy
0588	1	18 mpg city / 25 mpg hwy
0589	1	22 mpg city / 29 mpg hwy
0590	1	18 mpg city / 25 mpg hwy
0591	1	18 mpg city / 25 mpg hwy
0592	1	21 mpg city / 29 mpg hwy
0593	1	13 mpg city / 18 mpg hwy
0594	1	12 mpg city / 17 mpg hwy
0595	1	18 mpg city / 23 mpg hwy
0596	1	17 mpg city / 23 mpg hwy
0597	1	21 mpg city / 30 mpg hwy
0598	1	21 mpg city / 30 mpg hwy
0599	1	15 mpg city / 20 mpg hwy
0600	1	13 mpg city / 18 mpg hwy
0601	1	13 mpg city / 18 mpg hwy
0602	1	12 mpg city / 17 mpg hwy
0603	1	13 mpg city / 18 mpg hwy
0604	1	12 mpg city / 17 mpg hwy
0605	1	16 mpg city / 23 mpg hwy
0606	1	17 mpg city / 24 mpg hwy
0607	1	16 mpg city / 23 mpg hwy
0608	1	17 mpg city / 24 mpg hwy
0609	1	16 mpg city / 23 mpg hwy
0610	1	NA mpg city / NA mpg hwy
0611	1	NA mpg city / NA mpg hwy
0612	1	NA mpg city / NA mpg hwy
0613	1	NA mpg city / NA mpg hwy
0614	1	NA mpg city / NA mpg hwy
0615	1	23 mpg city / 30 mpg hwy
0616	1	22 mpg city / 30 mpg hwy
0617	1	21 mpg city / 27 mpg hwy
0618	1	21 mpg city / 27 mpg hwy
0619	1	NA mpg city / NA mpg hwy
0620	1	NA mpg city / NA mpg hwy
0621	1	NA mpg city / NA mpg hwy
0622	1	22 mpg city / 33 mpg hwy
0623	1	22 mpg city / 33 mpg hwy
0624	1	17 mpg city / 26 mpg hwy
0625	1	17 mpg city / 26 mpg hwy
0626	1	21 mpg city / 28 mpg hwy
0627	1	21 mpg city / 28 mpg hwy
0628	1	30 mpg city / 29 mpg hwy
0629	1	18 mpg city / 28 mpg hwy
0630	1	18 mpg city / 27 mpg hwy
0631	1	17 mpg city / 25 mpg hwy
0632	1	17 mpg city / 26 mpg hwy
0633	1	17 mpg city / 26 mpg hwy
0634	1	18 mpg city / 26 mpg hwy
0635	1	17 mpg city / 25 mpg hwy
