auto	kbb	fuel_economy
0058	1	25 mpg City / 36 mpg Hwy
0059	1	25 mpg City / 36 mpg Hwy
0060	1	26 mpg City / 34 mpg Hwy
0061	1	25 mpg City / 36 mpg Hwy
0062	1	26 mpg City / 34 mpg Hwy
0063	1	26 mpg City / 34 mpg Hwy
0064	1	25 mpg City / 36 mpg Hwy
0065	1	25 mpg City / 36 mpg Hwy
0066	1	21 mpg City / 29 mpg Hwy
0067	1	21 mpg City / 29 mpg Hwy
0068	1	21 mpg City / 29 mpg Hwy
0069	1	40 mpg City / 45 mpg Hwy
0070	1	24 mpg City / 36 mpg Hwy
0071	1	25 mpg City / 36 mpg Hwy
0072	1	26 mpg City / 34 mpg Hwy
0073	1	25 mpg City / 36 mpg Hwy
0074	1	25 mpg City / 36 mpg Hwy
0075	1	21 mpg City / 29 mpg Hwy
0076	1	21 mpg City / 29 mpg Hwy
0077	1	21 mpg City / 29 mpg Hwy
0078	1	26 mpg City / 34 mpg Hwy
0079	1	25 mpg City / 36 mpg Hwy
0080	1	26 mpg City / 34 mpg Hwy
0081	1	25 mpg City / 36 mpg Hwy
0082	1	21 mpg City / 29 mpg Hwy
0083	1	40 mpg City / 43 mpg Hwy
0084	1	40 mpg City / 43 mpg Hwy
0085	1	40 mpg City / 43 mpg Hwy
0086	1	40 mpg City / 43 mpg Hwy
0087	1	24 mpg City / 36 mpg Hwy
0088	1	21 mpg City / 27 mpg Hwy
0089	1	21 mpg City / 28 mpg Hwy
0090	1	21 mpg City / 27 mpg Hwy
0091	1	21 mpg City / 28 mpg Hwy
0092	1	21 mpg City / 28 mpg Hwy
0093	1	21 mpg City / 27 mpg Hwy
0094	1	21 mpg City / 28 mpg Hwy
0095	1	21 mpg City / 27 mpg Hwy
0096	1	31 mpg City / 37 mpg Hwy
0097	1	20 mpg City / 25 mpg Hwy
0098	1	19 mpg City / 24 mpg Hwy
0099	1	18 mpg City / 23 mpg Hwy
0100	1	20 mpg City / 25 mpg Hwy
0101	1	20 mpg City / 25 mpg Hwy
0102	1	20 mpg City / 25 mpg Hwy
0103	1	19 mpg City / 24 mpg Hwy
0104	1	19 mpg City / 24 mpg Hwy
0105	1	27 mpg City / 33 mpg Hwy
0106	1	28 mpg City / 35 mpg Hwy
0107	1	28 mpg City / 35 mpg Hwy
0108	1	28 mpg City / 35 mpg Hwy
0109	1	28 mpg City / 35 mpg Hwy
0110	1	28 mpg City / 35 mpg Hwy
0111	1	40 mpg City / 43 mpg Hwy
0112	1	40 mpg City / 43 mpg Hwy
0113	1	40 mpg City / 43 mpg Hwy
0114	1	16 mpg City / 23 mpg Hwy
0115	1	16 mpg City / 23 mpg Hwy
0116	1	16 mpg City / 23 mpg Hwy
0117	1	16 mpg City / 23 mpg Hwy
0118	1	18 mpg City / 27 mpg Hwy
0119	1	18 mpg City / 27 mpg Hwy
0120	1	18 mpg City / 27 mpg Hwy
0121	1	18 mpg City / 27 mpg Hwy
0122	1	19 mpg City / 28 mpg Hwy
0123	1	19 mpg City / 28 mpg Hwy
0124	1	17 mpg City / 23 mpg Hwy
0125	1	16 mpg City / 22 mpg Hwy
0126	1	17 mpg City / 23 mpg Hwy
0127	1	16 mpg City / 22 mpg Hwy
0128	1	17 mpg City / 23 mpg Hwy
0129	1	17 mpg City / 23 mpg Hwy
0130	1	16 mpg City / 22 mpg Hwy
0131	1	17 mpg City / 23 mpg Hwy
0132	1	16 mpg City / 22 mpg Hwy
0133	1	16 mpg City / 22 mpg Hwy
0134	1	17 mpg City / 23 mpg Hwy
0135	1	16 mpg City / 22 mpg Hwy
0136	1	16 mpg City / 22 mpg Hwy
0137	1	17 mpg City / 23 mpg Hwy
0138	1	15 mpg City / 20 mpg Hwy
0139	1	15 mpg City / 20 mpg Hwy
0140	1	14 mpg City / 18 mpg Hwy
0141	1	14 mpg City / 18 mpg Hwy
0142	1	27 mpg City / 36 mpg Hwy
0143	1	28 mpg City / 34 mpg Hwy
0144	1	28 mpg City / 34 mpg Hwy
0145	1	27 mpg City / 36 mpg Hwy
0146	1	28 mpg City / 34 mpg Hwy
0147	1	27 mpg City / 36 mpg Hwy
0148	1	28 mpg City / 34 mpg Hwy
0149	1	28 mpg City / 34 mpg Hwy
0150	1	28 mpg City / 34 mpg Hwy
0151	1	27 mpg City / 36 mpg Hwy
0152	1	27 mpg City / 36 mpg Hwy
0153	1	18 mpg City / 26 mpg Hwy
0154	1	19 mpg City / 27 mpg Hwy
0155	1	26 mpg City / 35 mpg Hwy
0156	1	26 mpg City / 34 mpg Hwy
0157	1	23 mpg City / 30 mpg Hwy
0158	1	29 mpg City / 40 mpg Hwy
0159	1	29 mpg City / 40 mpg Hwy
0160	1	23 mpg City / 31 mpg Hwy
0161	1	23 mpg City / 30 mpg Hwy
0162	1	23 mpg City / 31 mpg Hwy
0163	1	23 mpg City / 30 mpg Hwy
0164	1	18 mpg City / 27 mpg Hwy
0165	1	18 mpg City / 27 mpg Hwy
0166	1	20 mpg City / 30 mpg Hwy
0167	1	21 mpg City / 30 mpg Hwy
0168	1	20 mpg City / 30 mpg Hwy
0169	1	17 mpg City / 27 mpg Hwy
0170	1	17 mpg City / 26 mpg Hwy
0171	1	17 mpg City / 27 mpg Hwy
0172	1	20 mpg City / 30 mpg Hwy
0173	1	21 mpg City / 30 mpg Hwy
0174	1	20 mpg City / 30 mpg Hwy
0175	1	17 mpg City / 27 mpg Hwy
0176	1	19 mpg City / 26 mpg Hwy
0177	1	20 mpg City / 26 mpg Hwy
0178	1	20 mpg City / 26 mpg Hwy
0179	1	20 mpg City / 26 mpg Hwy
0180	1	20 mpg City / 26 mpg Hwy
0181	1	20 mpg City / 28 mpg Hwy
0182	1	20 mpg City / 25 mpg Hwy
0183	1	20 mpg City / 26 mpg Hwy
0184	1	22 mpg City / 32 mpg Hwy
0185	1	22 mpg City / 32 mpg Hwy
0186	1	22 mpg City / 32 mpg Hwy
0187	1	24 mpg City / 35 mpg Hwy
0188	1	22 mpg City / 35 mpg Hwy
0189	1	22 mpg City / 35 mpg Hwy
0190	1	22 mpg City / 35 mpg Hwy
0191	1	21 mpg City / 28 mpg Hwy
0192	1	23 mpg City / 31 mpg Hwy
0193	1	21 mpg City / 28 mpg Hwy
0194	1	16 mpg City / 22 mpg Hwy
0195	1	16 mpg City / 22 mpg Hwy
0196	1	17 mpg City / 23 mpg Hwy
0197	1	16 mpg City / 22 mpg Hwy
0198	1	17 mpg City / 23 mpg Hwy
0199	1	17 mpg City / 24 mpg Hwy
0200	1	17 mpg City / 24 mpg Hwy
0201	1	16 mpg City / 23 mpg Hwy
0202	1	16 mpg City / 21 mpg Hwy
0203	1	14 mpg City / 20 mpg Hwy
0204	1	16 mpg City / 21 mpg Hwy
0205	1	14 mpg City / 20 mpg Hwy
0206	1	18 mpg City / 26 mpg Hwy
0207	1	18 mpg City / 25 mpg Hwy
0208	1	17 mpg City / 25 mpg Hwy
0209	1	16 mpg City / 24 mpg Hwy
0210	1	18 mpg City / 26 mpg Hwy
0211	1	17 mpg City / 25 mpg Hwy
0212	1	-
0213	1	-
0214	1	18 mpg City / 26 mpg Hwy
0215	1	18 mpg City / 25 mpg Hwy
0216	1	-
0217	1	16 mpg City / 24 mpg Hwy
0218	1	-
0219	1	20 mpg City / 29 mpg Hwy
0220	1	18 mpg City / 25 mpg Hwy
0221	1	17 mpg City / 25 mpg Hwy
0222	1	16 mpg City / 22 mpg Hwy
0223	1	16 mpg City / 21 mpg Hwy
0224	1	18 mpg City / 26 mpg Hwy
0225	1	16 mpg City / 23 mpg Hwy
0226	1	12 mpg City / 18 mpg Hwy
0227	1	15 mpg City / 25 mpg Hwy
0228	1	16 mpg City / 23 mpg Hwy
0229	1	15 mpg City / 21 mpg Hwy
0230	1	15 mpg City / 21 mpg Hwy
0231	1	16 mpg City / 23 mpg Hwy
0232	1	16 mpg City / 23 mpg Hwy
0233	1	15 mpg City / 21 mpg Hwy
0234	1	16 mpg City / 23 mpg Hwy
0235	1	15 mpg City / 21 mpg Hwy
0236	1	15 mpg City / 21 mpg Hwy
0237	1	16 mpg City / 25 mpg Hwy
0238	1	15 mpg City / 22 mpg Hwy
0239	1	16 mpg City / 22 mpg Hwy
0240	1	15 mpg City / 22 mpg Hwy
0241	1	14 mpg City / 19 mpg Hwy
0242	1	14 mpg City / 20 mpg Hwy
0243	1	13 mpg City / 19 mpg Hwy
0244	1	23 mpg City / 29 mpg Hwy
0245	1	23 mpg City / 28 mpg Hwy
0246	1	23 mpg City / 28 mpg Hwy
0247	1	23 mpg City / 28 mpg Hwy
0248	1	16 mpg City / 22 mpg Hwy
0249	1	16 mpg City / 23 mpg Hwy
0250	1	16 mpg City / 22 mpg Hwy
0251	1	16 mpg City / 22 mpg Hwy
0252	1	15 mpg City / 21 mpg Hwy
0253	1	16 mpg City / 22 mpg Hwy
0254	1	15 mpg City / 21 mpg Hwy
0255	1	15 mpg City / 21 mpg Hwy
0256	1	23 mpg City / 28 mpg Hwy
0257	1	23 mpg City / 28 mpg Hwy
0258	1	23 mpg City / 28 mpg Hwy
0259	1	23 mpg City / 29 mpg Hwy
0260	1	23 mpg City / 28 mpg Hwy
0261	1	22 mpg City / 28 mpg Hwy
0262	1	-
0263	1	-
0264	1	15 mpg City / 20 mpg Hwy
0265	1	-
0266	1	-
0267	1	15 mpg City / 19 mpg Hwy
0268	1	15 mpg City / 19 mpg Hwy
0269	1	15 mpg City / 19 mpg Hwy
0270	1	15 mpg City / 19 mpg Hwy
0271	1	15 mpg City / 19 mpg Hwy
0272	1	25 mpg City / 34 mpg Hwy
0273	1	25 mpg City / 34 mpg Hwy
0274	1	22 mpg City / 32 mpg Hwy
0275	1	25 mpg City / 34 mpg Hwy
0276	1	23 mpg City / 31 mpg Hwy
0277	1	20 mpg City / 28 mpg Hwy
0278	1	28 mpg City / 34 mpg Hwy
0279	1	27 mpg City / 36 mpg Hwy
0280	1	28 mpg City / 34 mpg Hwy
0281	1	28 mpg City / 34 mpg Hwy
0282	1	27 mpg City / 36 mpg Hwy
0283	1	27 mpg City / 36 mpg Hwy
0284	1	28 mpg City / 34 mpg Hwy
0285	1	27 mpg City / 36 mpg Hwy
0286	1	27 mpg City / 36 mpg Hwy
0287	1	17 mpg City / 23 mpg Hwy
0288	1	17 mpg City / 23 mpg Hwy
0289	1	17 mpg City / 23 mpg Hwy
0290	1	18 mpg City / 25 mpg Hwy
0291	1	18 mpg City / 25 mpg Hwy
0292	1	20 mpg City / 26 mpg Hwy
0293	1	19 mpg City / 25 mpg Hwy
0294	1	20 mpg City / 26 mpg Hwy
0295	1	19 mpg City / 25 mpg Hwy
0296	1	26 mpg City / 31 mpg Hwy
0297	1	24 mpg City / 30 mpg Hwy
0298	1	24 mpg City / 30 mpg Hwy
0299	1	24 mpg City / 30 mpg Hwy
0300	1	26 mpg City / 31 mpg Hwy
0301	1	24 mpg City / 30 mpg Hwy
0302	1	24 mpg City / 30 mpg Hwy
0303	1	18 mpg City / 23 mpg Hwy
0304	1	18 mpg City / 23 mpg Hwy
0305	1	21 mpg City / 29 mpg Hwy
0306	1	22 mpg City / 31 mpg Hwy
0307	1	15 mpg City / 22 mpg Hwy
0308	1	12 mpg City / 17 mpg Hwy
0309	1	12 mpg City / 18 mpg Hwy
0310	1	12 mpg City / 18 mpg Hwy
0311	1	13 mpg City / 18 mpg Hwy
0312	1	12 mpg City / 17 mpg Hwy
0313	1	13 mpg City / 18 mpg Hwy
0314	1	12 mpg City / 17 mpg Hwy
0315	1	19 mpg City / 27 mpg Hwy
0316	1	19 mpg City / 27 mpg Hwy
0317	1	19 mpg City / 26 mpg Hwy
0318	1	22 mpg City / 25 mpg Hwy
0319	1	15 mpg City / 20 mpg Hwy
0320	1	15 mpg City / 20 mpg Hwy
0321	1	15 mpg City / 20 mpg Hwy
0322	1	35 mpg City / 34 mpg Hwy
0323	1	35 mpg City / 34 mpg Hwy
0324	1	35 mpg City / 34 mpg Hwy
0325	1	21 mpg City / 29 mpg Hwy
0326	1	21 mpg City / 29 mpg Hwy
0327	1	20 mpg City / 26 mpg Hwy
0328	1	18 mpg City / 25 mpg Hwy
0329	1	19 mpg City / 27 mpg Hwy
0330	1	21 mpg City / 30 mpg Hwy
0331	1	21 mpg City / 30 mpg Hwy
0332	1	20 mpg City / 27 mpg Hwy
0333	1	16 mpg City / 24 mpg Hwy
0334	1	16 mpg City / 23 mpg Hwy
0335	1	16 mpg City / 23 mpg Hwy
0336	1	20 mpg City / 22 mpg Hwy
0337	1	16 mpg City / 24 mpg Hwy
0338	1	16 mpg City / 24 mpg Hwy
0339	1	16 mpg City / 24 mpg Hwy
0340	1	19 mpg City / 23 mpg Hwy
0341	1	12 mpg City / 18 mpg Hwy
0342	1	12 mpg City / 18 mpg Hwy
0343	1	18 mpg City / 25 mpg Hwy
0344	1	18 mpg City / 24 mpg Hwy
0345	1	32 mpg City / 28 mpg Hwy
0346	1	30 mpg City / 28 mpg Hwy
0347	1	32 mpg City / 28 mpg Hwy
0348	1	30 mpg City / 28 mpg Hwy
0349	1	17 mpg City / 24 mpg Hwy
0350	1	-
0351	1	16 mpg City / 23 mpg Hwy
0352	1	17 mpg City / 23 mpg Hwy
0353	1	18 mpg City / 27 mpg Hwy
0354	1	17 mpg City / 24 mpg Hwy
0355	1	18 mpg City / 27 mpg Hwy
0356	1	17 mpg City / 24 mpg Hwy
0357	1	41 mpg City / 36 mpg Hwy
0358	1	14 mpg City / 20 mpg Hwy
0359	1	14 mpg City / 20 mpg Hwy
0360	1	13 mpg City / 18 mpg Hwy
0361	1	13 mpg City / 18 mpg Hwy
0362	1	16 mpg City / 24 mpg Hwy
0363	1	16 mpg City / 24 mpg Hwy
0364	1	16 mpg City / 24 mpg Hwy
0365	1	20 mpg City / 26 mpg Hwy
0366	1	-
0367	1	12 mpg City / 19 mpg Hwy
0368	1	10 mpg City / 16 mpg Hwy
0369	1	10 mpg City / 16 mpg Hwy
0370	1	20 mpg City / 28 mpg Hwy
0371	1	20 mpg City / 28 mpg Hwy
0372	1	18 mpg City / 25 mpg Hwy
0373	1	17 mpg City / 23 mpg Hwy
0374	1	17 mpg City / 23 mpg Hwy
0375	1	20 mpg City / 28 mpg Hwy
0376	1	20 mpg City / 28 mpg Hwy
0377	1	18 mpg City / 24 mpg Hwy
0378	1	17 mpg City / 21 mpg Hwy
0379	1	17 mpg City / 21 mpg Hwy
0380	1	16 mpg City / 22 mpg Hwy
0381	1	15 mpg City / 21 mpg Hwy
0382	1	16 mpg City / 22 mpg Hwy
0383	1	15 mpg City / 21 mpg Hwy
0384	1	16 mpg City / 22 mpg Hwy
0385	1	17 mpg City / 24 mpg Hwy
0386	1	17 mpg City / 24 mpg Hwy
0387	1	27 mpg City / 33 mpg Hwy
0388	1	21 mpg City / 29 mpg Hwy
0389	1	18 mpg City / 25 mpg Hwy
0390	1	25 mpg City / 33 mpg Hwy
0391	1	21 mpg City / 29 mpg Hwy
0392	1	22 mpg City / 29 mpg Hwy
0393	1	21 mpg City / 29 mpg Hwy
0394	1	20 mpg City / 29 mpg Hwy
0395	1	22 mpg City / 28 mpg Hwy
0396	1	20 mpg City / 29 mpg Hwy
0397	1	18 mpg City / 25 mpg Hwy
0398	1	25 mpg City / 33 mpg Hwy
0399	1	25 mpg City / 33 mpg Hwy
0400	1	24 mpg City / 33 mpg Hwy
0401	1	22 mpg City / 28 mpg Hwy
0402	1	20 mpg City / 29 mpg Hwy
0403	1	21 mpg City / 27 mpg Hwy
0404	1	21 mpg City / 28 mpg Hwy
0405	1	21 mpg City / 28 mpg Hwy
0406	1	21 mpg City / 28 mpg Hwy
0407	1	20 mpg City / 29 mpg Hwy
0408	1	21 mpg City / 30 mpg Hwy
0409	1	21 mpg City / 30 mpg Hwy
0410	1	17 mpg City / 25 mpg Hwy
0411	1	22 mpg City / 31 mpg Hwy
0412	1	22 mpg City / 31 mpg Hwy
0413	1	18 mpg City / 27 mpg Hwy
0414	1	21 mpg City / 28 mpg Hwy
0415	1	21 mpg City / 28 mpg Hwy
0416	1	21 mpg City / 28 mpg Hwy
0417	1	21 mpg City / 28 mpg Hwy
0418	1	21 mpg City / 28 mpg Hwy
0419	1	22 mpg City / 28 mpg Hwy
0420	1	21 mpg City / 28 mpg Hwy
0421	1	21 mpg City / 28 mpg Hwy
0422	1	21 mpg City / 28 mpg Hwy
0423	1	21 mpg City / 28 mpg Hwy
0424	1	21 mpg City / 28 mpg Hwy
0425	1	16 mpg City / 22 mpg Hwy
0426	1	16 mpg City / 23 mpg Hwy
0427	1	22 mpg City / 28 mpg Hwy
0428	1	19 mpg City / 23 mpg Hwy
0429	1	19 mpg City / 23 mpg Hwy
0430	1	21 mpg City / 28 mpg Hwy
0431	1	19 mpg City / 23 mpg Hwy
0432	1	19 mpg City / 25 mpg Hwy
0433	1	21 mpg City / 28 mpg Hwy
0434	1	21 mpg City / 28 mpg Hwy
0435	1	20 mpg City / 26 mpg Hwy
0436	1	20 mpg City / 26 mpg Hwy
0437	1	20 mpg City / 26 mpg Hwy
0438	1	18 mpg City / 23 mpg Hwy
0439	1	18 mpg City / 26 mpg Hwy
0440	1	18 mpg City / 25 mpg Hwy
0441	1	12 mpg City / 19 mpg Hwy
0442	1	18 mpg City / 26 mpg Hwy
0443	1	17 mpg City / 24 mpg Hwy
0444	1	13 mpg City / 19 mpg Hwy
0445	1	11 mpg City / 17 mpg Hwy
0446	1	15 mpg City / 22 mpg Hwy
0447	1	15 mpg City / 21 mpg Hwy
0448	1	12 mpg City / 18 mpg Hwy
0449	1	12 mpg City / 18 mpg Hwy
0450	1	12 mpg City / 18 mpg Hwy
0451	1	14 mpg City / 21 mpg Hwy
0452	1	12 mpg City / 18 mpg Hwy
0453	1	15 mpg City / 22 mpg Hwy
0454	1	-
0455	1	13 mpg City / 19 mpg Hwy
0456	1	16 mpg City / 21 mpg Hwy
0457	1	16 mpg City / 21 mpg Hwy
0458	1	16 mpg City / 21 mpg Hwy
0459	1	17 mpg City / 26 mpg Hwy
0460	1	15 mpg City / 23 mpg Hwy
0461	1	15 mpg City / 22 mpg Hwy
0462	1	15 mpg City / 23 mpg Hwy
0463	1	15 mpg City / 23 mpg Hwy
0464	1	13 mpg City / 20 mpg Hwy
0465	1	16 mpg City / 23 mpg Hwy
0466	1	11 mpg City / 15 mpg Hwy
0467	1	17 mpg City / 23 mpg Hwy
0468	1	17 mpg City / 17 mpg Hwy
0469	1	13 mpg City / 18 mpg Hwy
0470	1	16 mpg City / 22 mpg Hwy
0471	1	16 mpg City / 21 mpg Hwy
0472	1	16 mpg City / 23 mpg Hwy
0473	1	16 mpg City / 21 mpg Hwy
0474	1	15 mpg City / 20 mpg Hwy
0475	1	18 mpg City / 25 mpg Hwy
0476	1	21 mpg City / 24 mpg Hwy
0477	1	13 mpg City / 18 mpg Hwy
0478	1	11 mpg City / 15 mpg Hwy
0479	1	16 mpg City / 20 mpg Hwy
0480	1	18 mpg City / 25 mpg Hwy
0481	1	21 mpg City / 23 mpg Hwy
0482	1	13 mpg City / 18 mpg Hwy
0483	1	14 mpg City / 19 mpg Hwy
0484	1	16 mpg City / 21 mpg Hwy
0485	1	16 mpg City / 21 mpg Hwy
0486	1	16 mpg City / 21 mpg Hwy
0487	1	16 mpg City / 21 mpg Hwy
0488	1	15 mpg City / 23 mpg Hwy
0489	1	14 mpg City / 21 mpg Hwy
0490	1	11 mpg City / 18 mpg Hwy
0491	1	11 mpg City / 17 mpg Hwy
0492	1	14 mpg City / 21 mpg Hwy
0493	1	12 mpg City / 19 mpg Hwy
0494	1	12 mpg City / 19 mpg Hwy
0495	1	13 mpg City / 21 mpg Hwy
0496	1	18 mpg City / 26 mpg Hwy
0497	1	14 mpg City / 22 mpg Hwy
0498	1	19 mpg City / 25 mpg Hwy
0499	1	14 mpg City / 20 mpg Hwy
0500	1	20 mpg City / 26 mpg Hwy
0501	1	21 mpg City / 28 mpg Hwy
0502	1	34 mpg City / 31 mpg Hwy
0503	1	19 mpg City / 24 mpg Hwy
0504	1	20 mpg City / 26 mpg Hwy
0505	1	21 mpg City / 28 mpg Hwy
0506	1	20 mpg City / 26 mpg Hwy
0507	1	34 mpg City / 31 mpg Hwy
0508	1	30 mpg City / 27 mpg Hwy
0509	1	41 mpg City / 36 mpg Hwy
0510	1	23 mpg City / 33 mpg Hwy
0511	1	18 mpg City / 26 mpg Hwy
0512	1	14 mpg City / 20 mpg Hwy
0513	1	13 mpg City / 19 mpg Hwy
0514	1	26 mpg City / 34 mpg Hwy
0515	1	28 mpg City / 36 mpg Hwy
0516	1	26 mpg City / 34 mpg Hwy
0517	1	29 mpg City / 37 mpg Hwy
0518	1	27 mpg City / 36 mpg Hwy
0519	1	25 mpg City / 33 mpg Hwy
0520	1	27 mpg City / 36 mpg Hwy
0521	1	25 mpg City / 33 mpg Hwy
0522	1	26 mpg City / 34 mpg Hwy
0523	1	25 mpg City / 33 mpg Hwy
0524	1	27 mpg City / 36 mpg Hwy
0525	1	25 mpg City / 33 mpg Hwy
0526	1	20 mpg City / 28 mpg Hwy
0527	1	20 mpg City / 26 mpg Hwy
0528	1	20 mpg City / 26 mpg Hwy
0529	1	17 mpg City / 22 mpg Hwy
0530	1	20 mpg City / 28 mpg Hwy
0531	1	20 mpg City / 28 mpg Hwy
0532	1	17 mpg City / 25 mpg Hwy
0533	1	16 mpg City / 25 mpg Hwy
0534	1	15 mpg City / 21 mpg Hwy
0535	1	15 mpg City / 19 mpg Hwy
0536	1	15 mpg City / 21 mpg Hwy
0537	1	15 mpg City / 21 mpg Hwy
0538	1	15 mpg City / 19 mpg Hwy
0539	1	21 mpg City / 30 mpg Hwy
0540	1	21 mpg City / 30 mpg Hwy
0541	1	21 mpg City / 30 mpg Hwy
0542	1	21 mpg City / 27 mpg Hwy
0543	1	22 mpg City / 31 mpg Hwy
0544	1	22 mpg City / 31 mpg Hwy
0545	1	23 mpg City / 30 mpg Hwy
0546	1	22 mpg City / 29 mpg Hwy
0547	1	17 mpg City / 25 mpg Hwy
0548	1	16 mpg City / 22 mpg Hwy
0549	1	17 mpg City / 22 mpg Hwy
0550	1	17 mpg City / 22 mpg Hwy
0551	1	17 mpg City / 22 mpg Hwy
0552	1	24 mpg City / 32 mpg Hwy
0553	1	25 mpg City / 32 mpg Hwy
0554	1	22 mpg City / 31 mpg Hwy
0555	1	24 mpg City / 33 mpg Hwy
0556	1	25 mpg City / 33 mpg Hwy
0557	1	22 mpg City / 31 mpg Hwy
0558	1	23 mpg City / 30 mpg Hwy
0559	1	17 mpg City / 25 mpg Hwy
0560	1	21 mpg City / 25 mpg Hwy
0561	1	21 mpg City / 27 mpg Hwy
0562	1	21 mpg City / 25 mpg Hwy
0563	1	18 mpg City / 24 mpg Hwy
0564	1	23 mpg City / 28 mpg Hwy
0565	1	23 mpg City / 28 mpg Hwy
0566	1	22 mpg City / 27 mpg Hwy
0567	1	19 mpg City / 25 mpg Hwy
0568	1	25 mpg City / 31 mpg Hwy
0569	1	16 mpg City / 22 mpg Hwy
0570	1	16 mpg City / 22 mpg Hwy
0571	1	16 mpg City / 22 mpg Hwy
0572	1	16 mpg City / 22 mpg Hwy
0573	1	18 mpg City / 25 mpg Hwy
0574	1	18 mpg City / 25 mpg Hwy
0575	1	18 mpg City / 25 mpg Hwy
0576	1	18 mpg City / 25 mpg Hwy
0577	1	18 mpg City / 25 mpg Hwy
0578	1	18 mpg City / 25 mpg Hwy
0579	1	18 mpg City / 25 mpg Hwy
0580	1	18 mpg City / 25 mpg Hwy
0581	1	18 mpg City / 25 mpg Hwy
0582	1	23 mpg City / 31 mpg Hwy
0583	1	23 mpg City / 32 mpg Hwy
0584	1	23 mpg City / 32 mpg Hwy
0585	1	18 mpg City / 27 mpg Hwy
0586	1	23 mpg City / 32 mpg Hwy
0587	1	20 mpg City / 27 mpg Hwy
0588	1	33 mpg City / 33 mpg Hwy
0589	1	12 mpg City / 18 mpg Hwy
0590	1	12 mpg City / 18 mpg Hwy
0591	1	12 mpg City / 18 mpg Hwy
0592	1	12 mpg City / 18 mpg Hwy
0593	1	12 mpg City / 18 mpg Hwy
0594	1	13 mpg City / 19 mpg Hwy
0595	1	12 mpg City / 18 mpg Hwy
0596	1	25 mpg City / 30 mpg Hwy
0597	1	25 mpg City / 30 mpg Hwy
0598	1	27 mpg City / 31 mpg Hwy
0599	1	27 mpg City / 31 mpg Hwy
0600	1	27 mpg City / 31 mpg Hwy
0601	1	16 mpg City / 20 mpg Hwy
0602	1	16 mpg City / 20 mpg Hwy
0603	1	15 mpg City / 20 mpg Hwy
0604	1	14 mpg City / 19 mpg Hwy
0605	1	14 mpg City / 19 mpg Hwy
0606	1	15 mpg City / 20 mpg Hwy
0607	1	15 mpg City / 20 mpg Hwy
0608	1	15 mpg City / 20 mpg Hwy
0609	1	14 mpg City / 19 mpg Hwy
0610	1	16 mpg City / 20 mpg Hwy
0611	1	15 mpg City / 20 mpg Hwy
0612	1	14 mpg City / 19 mpg Hwy
0613	1	15 mpg City / 20 mpg Hwy
0614	1	14 mpg City / 19 mpg Hwy
0615	1	14 mpg City / 19 mpg Hwy
