auto	autobytel	model
0061	2	2011 Hyundai Santa Fe	2011 Hyundai Santa Fe Limited V6 (A6) FWD
0062	2	2011 Hyundai Santa Fe	2011 Hyundai Santa Fe SE AWD
0063	2	2010 Hyundai Santa Fe	2010 Hyundai Santa Fe GLS (A6) FWD
0064	2	2010 Hyundai Santa Fe	2010 Hyundai Santa Fe Limited V6 (A6) FWD
0065	2	2011 Hyundai Sonata	2011 Hyundai Sonata GLS (A6)
0066	2	2011 Hyundai Sonata	2011 Hyundai Sonata Limited 2.0T (A6)
0067	2	2011 Hyundai Sonata	2011 Hyundai Sonata Limited 2.0T w/Wine Interior (A6)
0068	2	2011 Hyundai Sonata	2011 Hyundai Sonata Limited w/Wine Interior (A6)
0069	2	2011 Hyundai Sonata	2011 Hyundai Sonata Limited w/Wine Interior/PZEV (A6)
0070	2	2011 Hyundai Sonata	2011 Hyundai Sonata SE (A6)
0071	2	2010 Hyundai Sonata	2010 Hyundai Sonata GLS (A5)
0072	2	2010 Hyundai Sonata	2010 Hyundai Sonata GLS (M5)
0073	2	2010 Hyundai Sonata	2010 Hyundai Sonata Limited (A5)
0074	2	2010 Hyundai Sonata	2010 Hyundai Sonata Limited V6 (A5)
0075	2	2010 Hyundai Sonata	2010 Hyundai Sonata Limited w/PZEV (A5)
0076	2	2011 Hyundai Tucson	2011 Hyundai Tucson GL (A6) FWD
0077	2	2011 Hyundai Tucson	2011 Hyundai Tucson GL (M5) FWD
0078	2	2011 Hyundai Tucson	2011 Hyundai Tucson GLS w/PZEV (A6) FWD
0079	2	2011 Hyundai Tucson	2011 Hyundai Tucson Limited (A6) FWD
0080	2	2011 Hyundai Tucson	2011 Hyundai Tucson Limited 4x4
0081	2	2011 Hyundai Tucson	2011 Hyundai Tucson Limited w/PZEV 4x4
0082	2	2010 Hyundai Tucson	2010 Hyundai Tucson GLS (A6) FWD
0083	2	2010 Hyundai Tucson	2010 Hyundai Tucson GLS (M6) FWD
0084	2	2010 Hyundai Tucson	2010 Hyundai Tucson GLS 4x4
0085	2	2010 Hyundai Tucson	2010 Hyundai Tucson GLS w/PZEV (A6) FWD
0086	2	2010 Hyundai Tucson	2010 Hyundai Tucson Limited 4x4
0087	2	2011 Hyundai Veracruz	2011 Hyundai Veracruz GLS AWD
0088	2	2010 Hyundai Veracruz	2010 Hyundai Veracruz Limited FWD
0089	2	2011 Infiniti EX35	2011 Infiniti EX35 Base AWD
0090	2	2011 Infiniti EX35	2011 Infiniti EX35 Journey AWD
0091	2	2011 Infiniti FX35	2011 Infiniti FX35 AWD
0092	2	2010 Infiniti FX35	2010 Infiniti FX35 4x2
0093	2	2010 Infiniti FX35	2010 Infiniti FX35 AWD
0094	2	2011 Infiniti G37	2011 Infiniti G37 Base (A7) Coupe
0095	2	2011 Infiniti G37	2011 Infiniti G37 IPL (M6) Coupe
0096	2	2011 Infiniti G37	2011 Infiniti G37 Journey (A7) Coupe
0097	2	2011 Infiniti G37	2011 Infiniti G37 Limited Edition (A7) Sedan
0098	2	2011 Infiniti G37	2011 Infiniti G37 Sport (M6) Sedan
0099	2	2011 Infiniti G37	2011 Infiniti G37 Sport Appearance Edition (A7) Sedan
0100	2	2010 Infiniti G37	2010 Infiniti G37 Anniversary Edition Convertible
0101	2	2010 Infiniti G37	2010 Infiniti G37 Anniversary Edition Coupe
0102	2	2010 Infiniti G37	2010 Infiniti G37 Anniversary Edition Sedan
0103	2	2010 Infiniti G37	2010 Infiniti G37 Base (A7) Sedan
0104	2	2010 Infiniti G37	2010 Infiniti G37 Sport (M6) Convertible
0105	2	2010 Infiniti G37	2010 Infiniti G37 Sport (M6) Coupe
0106	2	2011 Infiniti G37x	2011 Infiniti G37x Base Sedan
0107	2	2010 Infiniti G37x	2010 Infiniti G37x Anniversary Edition Sedan
0108	2	2011 Infiniti QX56	2011 Infiniti QX56 4x2 w/Split Bench Seat Package (A7)
0109	2	2010 Infiniti QX56	2010 Infiniti QX56 4x2
0110	2	2010 Infiniti QX56	2010 Infiniti QX56 4x4
0111	2	2011 Jaguar XF	2011 Jaguar XF Premium
0112	2	2010 Jaguar XF	2010 Jaguar XF Premium
0113	2	2010 Jaguar XF	2010 Jaguar XF Supercharged
0114	2	2011 Jaguar XJ	2011 Jaguar XJ Supersport
0115	2	2011 Jaguar XJ	2011 Jaguar XJ XJL Supercharged
0116	2	2010 Jaguar XJ	2010 Jaguar XJ Supercharged
0117	2	2010 Jaguar XJ	2010 Jaguar XJ Supersport
0118	2	2010 Jaguar XJ	2010 Jaguar XJ XJ
0119	2	2010 Jaguar XJ	2010 Jaguar XJ XJL Supersport
0120	2	2011 Jaguar XK	2011 Jaguar XK Base Convertible
0121	2	2011 Jaguar XK	2011 Jaguar XK XKR (A6) Coupe
0122	2	2011 Jaguar XK	2011 Jaguar XK XKR Convertible
0123	2	2011 Jaguar XK	2011 Jaguar XK XKR175 75th Anniversary Coupe
0124	2	2010 Jaguar XK	2010 Jaguar XK Base Convertible
0125	2	2010 Jaguar XK	2010 Jaguar XK XKR Convertible
0126	2	2010 Jaguar XK	2010 Jaguar XK XKR Coupe
0127	2	2010 Jeep Commander	2010 Jeep Commander Limited 4x4
0128	2	2010 Jeep Commander	2010 Jeep Commander Sport 4x2
0129	2	2010 Jeep Commander	2010 Jeep Commander Sport 4x4
0130	2	2011 Jeep Compass	2011 Jeep Compass Limited 4x4
0131	2	2011 Jeep Compass	2011 Jeep Compass Limited FWD
0132	2	2011 Jeep Compass	2011 Jeep Compass Sport FWD
0133	2	2010 Jeep Compass	2010 Jeep Compass Limited FWD
0134	2	2010 Jeep Compass	2010 Jeep Compass Sport FWD
0135	2	2010 Jeep Compass	2010 Jeep Compass Sport FWD Original Model Code
0136	2	2011 Jeep Grand Cherokee	2011 Jeep Grand Cherokee Laredo 4x4
0137	2	2011 Jeep Grand Cherokee	2011 Jeep Grand Cherokee Overland 4x2
0138	2	2011 Jeep Grand Cherokee	2011 Jeep Grand Cherokee Overland 4x4
0139	2	2010 Jeep Grand Cherokee	2010 Jeep Grand Cherokee Laredo 4x2
0140	2	2010 Jeep Grand Cherokee	2010 Jeep Grand Cherokee Laredo 4x4
0141	2	2010 Jeep Grand Cherokee	2010 Jeep Grand Cherokee Limited 4x2
0142	2	2010 Jeep Grand Cherokee	2010 Jeep Grand Cherokee Limited 4x4
0143	2	2010 Jeep Grand Cherokee	2010 Jeep Grand Cherokee SRT8 4x4
0144	2	2011 Jeep Liberty	2011 Jeep Liberty Sport 4x4
0145	2	2010 Jeep Liberty	2010 Jeep Liberty Sport 4x2
0146	2	2010 Jeep Liberty	2010 Jeep Liberty Sport 4x4
0147	2	2011 Jeep Patriot	2011 Jeep Patriot Latitude X 4x4
0148	2	2011 Jeep Patriot	2011 Jeep Patriot Latitude X FWD
0149	2	2011 Jeep Patriot	2011 Jeep Patriot Sport 4x4
0150	2	2010 Jeep Patriot	2010 Jeep Patriot Limited 4x4
0151	2	2010 Jeep Patriot	2010 Jeep Patriot Sport FWD
0152	2	2010 Jeep Patriot	2010 Jeep Patriot Sport FWD Original Model Code
0153	2	2011 Jeep Wrangler	2011 Jeep Wrangler Rubicon
0154	2	2011 Jeep Wrangler	2011 Jeep Wrangler Sahara
0155	2	2011 Jeep Wrangler	2011 Jeep Wrangler Sport
0156	2	2010 Jeep Wrangler	2010 Jeep Wrangler Sport
0157	2	2011 Jeep Wrangler Unlimited	2011 Jeep Wrangler Unlimited Rubicon
0158	2	2011 Jeep Wrangler Unlimited	2011 Jeep Wrangler Unlimited Sahara
0159	2	2011 Jeep Wrangler Unlimited	2011 Jeep Wrangler Unlimited Sport
0160	2	2010 Jeep Wrangler Unlimited	2010 Jeep Wrangler Unlimited Sahara 4x4
0161	2	2010 Jeep Wrangler Unlimited	2010 Jeep Wrangler Unlimited Sport 4x2
0162	2	2010 Jeep Wrangler Unlimited	2010 Jeep Wrangler Unlimited Sport 4x4
0163	2	2010 Jeep Wrangler Unlimited	2010 Jeep Wrangler Unlimited Sport RHD 4x4
0164	2	2011 Kia Forte	2011 Kia Forte EX (A6) Sedan
0165	2	2011 Kia Forte	2011 Kia Forte LX (A6) Sedan
0166	2	2011 Kia Forte	2011 Kia Forte LX (M6) Sedan
0167	2	2011 Kia Forte	2011 Kia Forte SX (A6) Sedan
0168	2	2010 Kia Forte	2010 Kia Forte EX (A4)
0169	2	2010 Kia Forte	2010 Kia Forte EX (M5)
0170	2	2010 Kia Forte	2010 Kia Forte EX w/Fuel Economy Package (A5)
0171	2	2010 Kia Forte	2010 Kia Forte LX (A4)
0172	2	2010 Kia Forte	2010 Kia Forte LX (M5)
0173	2	2010 Kia Forte	2010 Kia Forte SX (A5)
0174	2	2011 Kia Forte Koup	2011 Kia Forte Koup EX (A6)
0175	2	2011 Kia Forte Koup	2011 Kia Forte Koup SX (A6)
0176	2	2011 Kia Forte Koup	2011 Kia Forte Koup SX (M6)
0177	2	2010 Kia Forte Koup	2010 Kia Forte Koup SX (A5)
0178	2	2011 Kia Optima	2011 Kia Optima EX (A6)
0179	2	2011 Kia Optima	2011 Kia Optima LX (A6)
0180	2	2010 Kia Optima	2010 Kia Optima EX (A5)
0181	2	2010 Kia Optima	2010 Kia Optima EX V6 (A5)
0182	2	2010 Kia Optima	2010 Kia Optima LX (A5)
0183	2	2010 Kia Optima	2010 Kia Optima SX (A5)
0184	2	2010 Kia Optima	2010 Kia Optima SX V6 (A5)
0185	2	2011 Kia Rio	2011 Kia Rio SX (A4)
0186	2	2010 Kia Rio	2010 Kia Rio Base (M5)
0187	2	2010 Kia Rio	2010 Kia Rio LX (A4)
0188	2	2010 Kia Rio	2010 Kia Rio LX (M5)
0189	2	2010 Kia Rio	2010 Kia Rio SX (M5)
0190	2	2010 Kia Rio5	2010 Kia Rio5 LX (M5)
0191	2	2010 Kia Rio5	2010 Kia Rio5 SX (M5)
0192	2	2011 Kia Sedona	2011 Kia Sedona EX
0193	1	2010 Kia Sedona
0194	2	2010 Kia Sedona	2010 Kia Sedona EX Long Wheelbase
0195	2	2011 Kia Sorento	2011 Kia Sorento Base (M6) FWD
0196	2	2011 Kia Sorento	2011 Kia Sorento EX V6 (A6) FWD
0197	2	2011 Kia Sorento	2011 Kia Sorento LX (A6) FWD
0198	2	2011 Kia Sorento	2011 Kia Sorento LX V6 (A6) FWD
0199	2	2011 Kia Soul	2011 Kia Soul + (A4)
0200	2	2011 Kia Soul	2011 Kia Soul Base (M5)
0201	2	2010 Kia Soul	2010 Kia Soul ! (M5)
0202	2	2010 Kia Soul	2010 Kia Soul + (A4)
0203	2	2010 Kia Soul	2010 Kia Soul + (M5)
0204	2	2010 Kia Soul	2010 Kia Soul Base (M5)
0205	2	2010 Kia Soul	2010 Kia Soul sport (A4)
0206	2	2010 Kia Soul	2010 Kia Soul sport (M5)
0207	2	2011 Kia Sportage	2011 Kia Sportage EX (A6) FWD
0208	2	2011 Kia Sportage	2011 Kia Sportage LX (A6) FWD
0209	2	2011 Kia Sportage	2011 Kia Sportage LX AWD
0210	2	2010 Kia Sportage	2010 Kia Sportage EX V6 (A4) 4x4
0211	2	2010 Kia Sportage	2010 Kia Sportage LX (M5) 4x4
0212	2	2010 Kia Sportage	2010 Kia Sportage LX V6 (A4) FWD
0213	2	2011 Lamborghini Gallardo	2011 Lamborghini Gallardo AWD Convertible
0214	2	2011 Lamborghini Gallardo	2011 Lamborghini Gallardo LP570-4 Superleggara AWD Coupe
0215	2	2010 Lamborghini Gallardo	2010 Lamborghini Gallardo AWD Coupe
0216	2	2010 Lamborghini Gallardo	2010 Lamborghini Gallardo RWD Coupe
0217	2	2010 Lamborghini Murcielago	2010 Lamborghini Murcielago LP670-4 SV Coupe
0218	2	2011 Audi A3	2011 Audi A3 2.0 TDI FrontTrak
0219	2	2011 Audi A3	2011 Audi A3 2.0T (M6) FrontTrak
0220	2	2011 Audi A3	2011 Audi A3 quattro
0221	2	2010 Audi A3	2010 Audi A3 2.0T w/PZEV (M6) FrontTrak
0222	2	2010 Audi A3	2010 Audi A3 2.0T w/PZEV FrontTrak
0223	2	2011 Audi A4	2011 Audi A4 (M6) quattro Sedan
0224	2	2011 Audi A4	2011 Audi A4 FrontTrak Sedan w/o Sunroof
0225	2	2011 Audi A4	2011 Audi A4 quattro Avant w/o Sunroof
0226	2	2010 Audi A4	2010 Audi A4 (M6) quattro Sedan
0227	2	2010 Audi A4	2010 Audi A4 quattro Avant w/o Sunroof
0228	2	2010 Audi A4	2010 Audi A4 quattro Sedan
0229	2	2011 Audi A5	2011 Audi A5 (M6) quattro Coupe
0230	2	2011 Audi A5	2011 Audi A5 FrontTrak Cabriolet
0231	2	2010 Audi A5	2010 Audi A5 2.0T quattro Coupe
0232	2	2010 Audi A5	2010 Audi A5 3.2 Plus quattro Coupe
0233	2	2010 Audi A5	2010 Audi A5 quattro Cabriolet
0234	2	2010 Audi A6	2010 Audi A6 3.0 Premium quattro Sedan
0235	2	2010 Audi A6	2010 Audi A6 FrontTrak Sedan
0236	1	2011 Audi A8
0237	2	2011 Audi Q5	2011 Audi Q5 2.0T
0238	2	2011 Audi Q5	2011 Audi Q5 3.2 Plus
0239	2	2010 Audi Q5	2010 Audi Q5 Base
0240	2	2011 Audi Q7	2011 Audi Q7 3.0T Premium
0241	2	2010 Audi Q7	2010 Audi Q7 3.0 Premium
0242	2	2010 Audi Q7	2010 Audi Q7 3.6 Premium
0243	2	2011 Audi R8	2011 Audi R8 4.2 (M6)
0244	2	2011 Audi R8	2011 Audi R8 4.2
0245	2	2011 Audi R8	2011 Audi R8 4.2
0246	2	2011 Audi R8	2011 Audi R8 5.2 (M6)
0247	2	2011 Audi R8	2011 Audi R8 5.2
0248	2	2010 Audi R8	2010 Audi R8 4.2
0249	2	2010 Audi R8	2010 Audi R8 5.2
0250	2	2010 Audi R8	2010 Audi R8 5.2 (M6)
0251	2	2011 Audi S4	2011 Audi S4 Base
0252	2	2010 Audi S4	2010 Audi S4 (M6)
0253	2	2010 Audi S4	2010 Audi S4 Base
0254	2	2011 Audi S5	2011 Audi S5 (M6) Coupe
0255	2	2011 Audi S5	2011 Audi S5 Cabriolet
0256	2	2010 Audi S5	2010 Audi S5 Cabriolet
0257	2	2011 Audi TT	2011 Audi TT Coupe
0258	2	2010 Audi TT	2010 Audi TT Coupe
0259	2	2010 Audi TT	2010 Audi TT Roadster
0260	2	2011 Audi TTS	2011 Audi TTS Coupe
0261	2	2011 Audi TTS	2011 Audi TTS Roadster
0262	2	2011 Land Rover LR2	2011 Land Rover LR2 Base
0263	2	2010 Land Rover LR2	2010 Land Rover LR2 Base
0264	2	2011 Land Rover LR4	2011 Land Rover LR4 Base
0265	2	2010 Land Rover LR4	2010 Land Rover LR4 Base
0266	2	2011 Land Rover Range Rover	2011 Land Rover Range Rover Supercharged
0267	2	2010 Land Rover Range Rover	2010 Land Rover Range Rover HSE
0268	2	2010 Land Rover Range Rover	2010 Land Rover Range Rover Supercharged
0269	2	2010 Land Rover Range Rover Sport	2010 Land Rover Range Rover Sport Supercharged
0270	2	2011 Lexus ES 350	2011 Lexus ES 350 Base
0271	2	2010 Lexus ES 350	2010 Lexus ES 350 Base
0272	2	2011 Lexus GS 350	2011 Lexus GS 350 AWD
0273	2	2011 Lexus GS 460	2011 Lexus GS 460 Base
0274	2	2010 Lexus GS 460	2010 Lexus GS 460 Base
0275	2	2011 Lexus GX 460	2011 Lexus GX 460 Base
0276	2	2011 Lexus HS 250h	2011 Lexus HS 250h Base
0277	2	2011 Lexus HS 250h	2011 Lexus HS 250h Premium
0278	2	2010 Lexus HS 250h	2010 Lexus HS 250h Base
0279	2	2010 Lexus HS 250h	2010 Lexus HS 250h Premium
0280	2	2011 Lexus IS 250	2011 Lexus IS 250 (A6) RWD
0281	2	2011 Lexus IS 250	2011 Lexus IS 250 (M6) RWD
0282	2	2010 Lexus IS 250	2010 Lexus IS 250 (A6) RWD
0283	2	2010 Lexus IS 250	2010 Lexus IS 250 (M6) RWD
0284	2	2010 Lexus IS 250	2010 Lexus IS 250 AWD
0285	2	2011 Lexus IS 250C	2011 Lexus IS 250C (M6)
0286	2	2010 Lexus IS 250C	2010 Lexus IS 250C (A6)
0287	2	2011 Lexus IS 350	2011 Lexus IS 350 AWD
0288	2	2011 Lexus IS 350	2011 Lexus IS 350 RWD
0289	2	2010 Lexus IS 350	2010 Lexus IS 350 Base
0290	2	2010 Lexus IS 350C	2010 Lexus IS 350C Base
0291	2	2011 Lexus IS-F	2011 Lexus IS-F Base
0292	2	2011 Lexus LS 460	2011 Lexus LS 460 AWD
0293	2	2011 Lexus LS 460	2011 Lexus LS 460 AWD Long Wheelbase
0294	2	2011 Lexus LS 460	2011 Lexus LS 460 RWD Long Wheelbase
0295	2	2010 Lexus LS 460	2010 Lexus LS 460 AWD
0296	2	2010 Lexus LS 460	2010 Lexus LS 460 AWD Long Wheelbase
0297	2	2010 Lexus LS 460	2010 Lexus LS 460 RWD Long Wheelbase
0298	2	2010 Lexus LS 600h	2010 Lexus LS 600h Base
0299	2	2010 Lexus LX 570	2010 Lexus LX 570 Base
0300	2	2011 Lexus RX 350	2011 Lexus RX 350 AWD
0301	2	2011 Lexus RX 350	2011 Lexus RX 350 FWD
0302	2	2010 Lexus RX 350	2010 Lexus RX 350 AWD
0303	2	2010 Lexus RX 350	2010 Lexus RX 350 FWD
0304	2	2011 Lexus RX 450h	2011 Lexus RX 450h AWD
0305	2	2011 Lexus RX 450h	2011 Lexus RX 450h FWD
0306	2	2010 Lexus RX 450h	2010 Lexus RX 450h FWD
0307	2	2011 Lincoln MKS	2011 Lincoln MKS Base AWD
0308	2	2010 Lincoln MKS	2010 Lincoln MKS FWD
0309	2	2011 Lincoln MKT	2011 Lincoln MKT FWD
0310	2	2010 Lincoln MKT	2010 Lincoln MKT EcoBoost AWD
0311	2	2011 Lincoln MKX	2011 Lincoln MKX AWD
0312	2	2011 Lincoln MKX	2011 Lincoln MKX FWD
0313	2	2010 Lincoln MKX	2010 Lincoln MKX AWD
0314	2	2011 Lincoln MKZ	2011 Lincoln MKZ FWD
0315	2	2010 Lincoln MKZ	2010 Lincoln MKZ AWD
0316	2	2010 Lincoln MKZ	2010 Lincoln MKZ FWD
0317	2	2011 Lincoln Navigator	2011 Lincoln Navigator 4x2
0318	2	2011 Lincoln Navigator	2011 Lincoln Navigator 4x4
0319	2	2011 Lincoln Navigator L	2011 Lincoln Navigator L 4x2
0320	2	2011 Lincoln Town Car	2011 Lincoln Town Car Signature L
0321	2	2010 Lincoln Town Car	2010 Lincoln Town Car Signature L
0322	2	2010 Lotus Elise	2010 Lotus Elise SC
0323	2	2010 Maserati GranTurismo	2010 Maserati GranTurismo Convertible
0324	2	2010 Maserati GranTurismo	2010 Maserati GranTurismo S Automatic Coupe
0325	2	2010 Maserati Quattroporte	2010 Maserati Quattroporte S
0326	2	2010 Maserati Quattroporte	2010 Maserati Quattroporte Sport GT S
0327	2	2010 Maybach 57	2010 Maybach 57 S
0328	2	2010 Maybach 57	2010 Maybach 57 Zeppelin
0329	2	2010 Maybach 62	2010 Maybach 62 S
0330	2	2010 Maybach 62	2010 Maybach 62 Zeppelin
0331	2	2011 Mazda CX-7	2011 Mazda CX-7 i Sport (A5) FWD
0332	2	2011 Mazda CX-7	2011 Mazda CX-7 s Grand Touring (A6) FWD
0333	2	2010 Mazda CX-7	2010 Mazda CX-7 Grand AWD
0334	2	2010 Mazda CX-7	2010 Mazda CX-7 i Sport (A5) FWD
0335	2	2011 Mazda CX-9	2011 Mazda CX-9 Grand Touring AWD
0336	2	2011 Mazda CX-9	2011 Mazda CX-9 Grand Touring FWD
0337	2	2011 Mazda CX-9	2011 Mazda CX-9 Sport FWD
0338	2	2011 Mazda CX-9	2011 Mazda CX-9 Touring AWD
0339	2	2011 Mazda CX-9	2011 Mazda CX-9 Touring FWD
0340	2	2010 Mazda CX-9	2010 Mazda CX-9 Grand Touring AWD
0341	2	2010 Mazda CX-9	2010 Mazda CX-9 Grand Touring FWD
0342	2	2010 Mazda CX-9	2010 Mazda CX-9 Sport AWD
0343	2	2010 Mazda CX-9	2010 Mazda CX-9 Touring AWD
0344	2	2010 Mazda CX-9	2010 Mazda CX-9 Touring FWD
0345	2	2011 Mazda Mazda2	2011 Mazda Mazda2 Sport (A4)
0346	2	2011 Mazda Mazda2	2011 Mazda Mazda2 Touring (A4)
0347	2	2011 Mazda Mazda3	2011 Mazda Mazda3 Grand Touring (A5) Hatchback
0348	2	2011 Mazda Mazda3	2011 Mazda Mazda3 Grand Touring (M6) Hatchback
0349	2	2011 Mazda Mazda3	2011 Mazda Mazda3 i Sport (M5) Sedan
0350	2	2011 Mazda Mazda3	2011 Mazda Mazda3 Sport (M6) Hatchback
0351	2	2010 Mazda MAZDA3	2010 Mazda MAZDA3 i Sport (M5) Sedan
0352	2	2010 Mazda MAZDA3	2010 Mazda MAZDA3 i SV (M5) Sedan
0353	2	2010 Mazda MAZDA3	2010 Mazda MAZDA3 i Touring (A5) Sedan
0354	2	2010 Mazda MAZDA3	2010 Mazda MAZDA3 Sport (A5) Hatchback
0355	2	2010 Mazda MAZDA3	2010 Mazda MAZDA3 Sport (M6) Hatchback
0356	2	2012 Mazda Mazda5	2012 Mazda Mazda5 Sport (A5)
0357	2	2012 Mazda Mazda5	2012 Mazda Mazda5 Sport (M6)
0358	2	2012 Mazda Mazda5	2012 Mazda Mazda5 Touring (A5)
0359	2	2010 Mazda Mazda5	2010 Mazda Mazda5 Grand Touring (A5)
0360	2	2010 Mazda Mazda5	2010 Mazda Mazda5 Sport (A5)
0361	2	2010 Mazda Mazda5	2010 Mazda Mazda5 Sport (M5)
0362	2	2010 Mazda Mazda5	2010 Mazda Mazda5 Touring (A5)
0363	2	2011 Mazda Mazda6	2011 Mazda Mazda6 i Grand Touring (A5)
0364	2	2011 Mazda Mazda6	2011 Mazda Mazda6 i Touring (A5)
0365	2	2011 Mazda Mazda6	2011 Mazda Mazda6 i Touring Plus (A5)
0366	2	2011 Mazda Mazda6	2011 Mazda Mazda6 s Grand Touring (A6)
0367	2	2010 Mazda MAZDA6	2010 Mazda MAZDA6 i Grand Touring (A5)
0368	2	2010 Mazda MAZDA6	2010 Mazda MAZDA6 i Sport (A5)
0369	2	2010 Mazda MAZDA6	2010 Mazda MAZDA6 i Sport (M6)
0370	2	2010 Mazda MAZDA6	2010 Mazda MAZDA6 i Touring Plus (A5)
0371	2	2010 Mazda MAZDA6	2010 Mazda MAZDA6 s Grand Touring (A6)
0372	2	2010 Mazda MAZDA6	2010 Mazda MAZDA6 s Touring Plus (A6)
0373	2	2011 Mazda MazdaSpeed3	2011 Mazda MazdaSpeed3 Base
0374	2	2010 Mazda MAZDASPEED3	2010 Mazda MAZDASPEED3 Base
0375	2	2011 Mazda MX-5 Miata	2011 Mazda MX-5 Miata Grand Touring (A6) Power Retractable Hard Top
