nbaplayer	usatoday	name
0163	1	Kevin Love
0164	1	Kosta Koufos
0165	1	Nikola Pekovic
0166	1	Anthony Tolliver
0167	1	Darko Milicic
0168	1	Lazar Hayward
0169	1	Michael Beasley
0170	1	Jonny Flynn
0171	1	Wayne Ellington
0172	1	Sundiata Gaines
0173	1	Wesley Johnson
0174	1	Luke Ridnour
0175	1	Sebastian Telfair
0176	1	Martell Webster
0177	1	Corey Brewer
0178	1	Etan Thomas
0179	1	Jason Collins
0180	1	Zaza Pachulia
0181	1	Josh Powell
0182	1	Al Horford
0183	1	Marvin Williams
0184	1	Pape Sy
0185	1	Josh Smith
0186	1	Damien Wilkins
0187	1	Maurice Evans
0188	1	Joe Johnson
0189	1	Mike Bibby
0190	1	Jamal Crawford
0191	1	Jeff Teague
0192	1	Jordan Crawford
0193	1	Chris Kaman
0194	1	Jarron Collins
0195	1	DeAndre Jordan
0196	1	Blake Griffin
0197	1	Al-Farouq Aminu
0198	1	Craig Smith
0199	1	Brian Cook
0200	1	Ryan Gomes
0201	1	Randy Foye
0202	1	Eric Gordon
0203	1	Rasual Butler
0204	1	Eric Bledsoe
0205	1	Willie Warren
0206	1	Stephen Dennis
0207	1	Baron Davis
0208	1	Marc Gasol
0209	1	Darrell Arthur
0210	1	Hamed Haddadi
0211	1	Hasheem Thabeet
0212	1	Zach Randolph
0213	1	DeMarre Carroll
0214	1	Sam Young
0215	1	Rudy Gay
0216	1	Mike Conley
0217	1	O.J. Mayo
0218	1	Xavier Henry
0219	1	Greivis Vasquez
0220	1	Tony Allen
0221	1	Serge Ibaka
0222	1	B.J. Mullens
0223	1	Cole Aldrich
0224	1	Nenad Krstic
0225	1	Nick Collison
0226	1	D.J. White
0227	1	Kevin Durant
0228	1	Jeff Green
0229	1	Daequan Cook
0230	1	Russell Westbrook
0231	1	James Harden
0232	1	Eric Maynor
0233	1	Morris Peterson
0234	1	Royal Ivey
0235	1	Thabo Sefolosha
0236	1	Andrew Bynum
0237	1	Theo Ratliff
0238	1	Pau Gasol
0239	1	Lamar Odom
0240	1	Devin Ebanks
0241	1	Derrick Caracter
0242	1	Luke Walton
0243	1	Steve Blake
0244	1	Sasha Vujacic
0245	1	Shannon Brown
0246	1	Kobe Bryant
0247	1	Derek Fisher
0248	1	Ron Artest
0249	1	Matt Barnes
0250	1	Jason Smith
0251	1	Aaron Gray
0252	1	David Andersen
0253	1	Emeka Okafor
0254	1	D.J. Mbenga
0255	1	Quincy Pondexter
0256	1	David West
0257	1	Pops Mensah-Bonsu
0258	1	Marco Belinelli
0259	1	Chris Paul
0260	1	Jarrett Jack
0261	1	Willie Green
0262	1	Marcus Thornton
0263	1	Trevor Ariza
0264	1	LaMarcus Aldridge
0265	1	Greg Oden
0266	1	Marcus Camby
0267	1	Sean Marks
0268	1	Joel Przybilla
0269	1	Dante Cunningham
0270	1	Luke Babbitt
0271	1	Elliot Williams
0272	1	Armon Johnson
0273	1	Patrick Mills
0274	1	Wesley Matthews
0275	1	Rudy Fernandez
0276	1	Nicolas Batum
0277	1	Brandon Roy
0278	1	Andre Miller
0279	1	Earl Barron
0280	1	Channing Frye
0281	1	Robin Lopez
0282	1	Garrett Siler
0283	1	Earl Clark
0284	1	Hakim Warrick
0285	1	Jared Dudley
0286	1	Josh Childress
0287	1	Goran Dragic
0288	1	Grant Hill
0289	1	Steve Nash
0290	1	Hedo Turkoglu
0291	1	Jason Richardson
0292	1	Matt Bonner
0293	1	Tiago Splitter
0294	1	Marcus Cousin
0295	1	Antonio McDyess
0296	1	Tim Duncan
0297	1	DeJuan Blair
0298	1	Richard Jefferson
0299	1	Tony Parker
0300	1	James Anderson
0301	1	Gary Neal
0302	1	Manu Ginobili
0303	1	Ime Udoka
0304	1	George Hill
0305	1	Chris Quinn
0306	1	Al Jefferson
0307	1	Mehmet Okur
0308	1	Kyrylo Fesenko
0309	1	Francisco Elson
0310	1	Jeremy Evans
0311	1	Andrei Kirilenko
0312	1	Paul Millsap
0313	1	Raja Bell
0314	1	Gordon Hayward
0315	1	Earl Watson
0316	1	Deron Williams
0317	1	C.J. Miles
0318	1	Ronnie Price
0319	1	Jason Thompson
0320	1	DeMarcus Cousins
0321	1	Hassan Whiteside
0322	1	Samuel Dalembert
0323	1	Carl Landry
0324	1	Darnell Jackson
0325	1	Tyreke Evans
0326	1	Omri Casspi
0327	1	Donte Greene
0328	1	Beno Udrih
0329	1	Francisco Garcia
0330	1	Luther Head
0331	1	Pooh Jeter
0332	1	Troy Murphy
0333	1	Johan Petro
0334	1	Brook Lopez
0335	1	Joe Smith
0336	1	Kris Humphries
0337	1	Derrick Favors
0338	1	Damion James
0339	1	Travis Outlaw
0340	1	Quinton Ross
0341	1	Devin Harris
0342	1	Anthony Morrow
0343	1	Terrence Williams
0344	1	Stephen Graham
0345	1	Jordan Farmar
0346	1	Ben Uzoh
0347	1	Anderson Varejao
0348	1	Ryan Hollins
0349	1	J.J. Hickson
0350	1	Samardo Samuels
0351	1	Jamario Moon
0352	1	Antawn Jamison
0353	1	Leon Powe
0354	1	Mo Williams
0355	1	Ramon Sessions
0356	1	Joey Graham
0357	1	Jawad Williams
0358	1	Daniel Gibson
0359	1	Manny Harris
0360	1	Anthony Parker
0361	1	Christian Eyenga
0362	1	DeSagana Diop
0363	1	Nazr Mohammed
0364	1	Eduardo Najera
0365	1	Kwame Brown
0366	1	Derrick Brown
0367	1	Gerald Wallace
0368	1	Boris Diaw
0369	1	Tyrus Thomas
0370	1	Dominic McGuire
0371	1	D.J. Augustin
0372	1	Gerald Henderson
0373	1	Matt Carroll
0374	1	Shaun Livingston
0375	1	Sherron Collins
0376	1	Stephen Jackson
0377	1	Amare Stoudemire
0378	1	Ronny Turiaf
0379	1	Anthony Randolph
0380	1	Timofey Mozgov
0381	1	Eddy Curry
0382	1	Shawne Williams
0383	1	Danilo Gallinari
0384	1	Wilson Chandler
0385	1	Bill Walker
0386	1	Toney Douglas
0387	1	Andy Rautins
0388	1	Landry Fields
0389	1	Kelenna Azubuike
0390	1	Roger Mason Jr.
0391	1	Raymond Felton
0392	1	Chris Wilcox
0393	1	Jason Maxiell
0394	1	Greg Monroe
0395	1	Ben Wallace
0396	1	DaJuan Summers
0397	1	Jonas Jerebko
0398	1	Tayshaun Prince
0399	1	Charlie Villanueva
0400	1	Richard Hamilton
0401	1	Ben Gordon
0402	1	Will Bynum
0403	1	Rodney Stuckey
0404	1	Austin Daye
0405	1	Terrico White
0406	1	Tracy McGrady
0407	1	Jamaal Magloire
0408	1	Chris Bosh
0409	1	Udonis Haslem
0410	1	Joel Anthony
0411	1	Dexter Pittman
0412	1	Juwan Howard
0413	1	Erick Dampier
0414	1	Zydrunas Ilgauskas
0415	1	LeBron James
0416	1	James Jones
0417	1	Mario Chalmers
0418	1	Dwyane Wade
0419	1	Eddie House
0420	1	Carlos Arroyo
0421	1	Mike Miller
0422	1	Spencer Hawes
0423	1	Marreese Speights
0424	1	Tony Battie
0425	1	Elton Brand
0426	1	Darius Songaila
0427	1	Craig Brackins
0428	1	Thaddeus Young
0429	1	Andres Nocioni
0430	1	Lou Williams
0431	1	Jrue Holiday
0432	1	Jodie Meeks
0433	1	Evan Turner
0434	1	Andre Iguodala
0435	1	Jason Kapono
