nbaplayer	msnca	height
0185	1	6-1
0186	1	7-0
0187	1	6-10
0188	1	6-10
0189	1	6-7
0190	1	6-8
0191	1	6-9
0192	1	6-2
0193	1	6-10
0194	1	6-1
0195	1	6-11
0196	1	6-8
0197	1	6-1
0198	1	6-9
0199	1	7-3
0200	1	6-8
0201	1	6-8
0202	1	6-11
0203	1	6-8
0204	1	6-11
0205	1	6-4
0206	1	7-0
0207	1	5-5
0208	1	6-7
0209	1	6-6
0210	1	6-3
0211	1	6-7
0212	1	6-10
0213	1	6-9
0214	1	6-1
0215	1	6-6
0216	1	6-8
0217	1	6-6
0218	1	6-6
0219	1	6-11
0220	1	6-9
0221	1	6-10
0222	1	6-9
0223	1	6-4
0224	1	6-0
0225	1	6-1
0226	1	6-6
0227	1	6-7
0228	1	7-0
0229	1	6-10
0230	1	7-0
0231	1	6-11
0232	1	6-2
0233	1	6-0
0234	1	6-9
0235	1	6-7
0236	1	6-2
0237	1	6-10
0238	1	6-6
0239	1	6-3
0240	1	6-9
0241	1	6-7
0242	1	7-0
0243	1	6-5
0244	1	6-11
0245	1	6-9
0246	1	7-0
0247	1	6-6
0248	1	6-10
0249	1	6-3
0250	1	6-6
0251	1	6-5
0252	1	6-8
0253	1	7-0
0254	1	6-2
0255	1	6-1
0256	1	6-7
0257	1	6-10
0258	1	6-5
0259	1	7-1
0260	1	6-11
0261	1	6-4
0262	1	6-10
0263	1	6-10
0264	1	6-6
0265	1	6-9
0266	1	6-10
0267	1	6-10
0268	1	6-8
0269	1	6-6
0270	1	6-1
0271	1	6-11
0272	1	6-11
0273	1	6-10
0274	1	6-0
0275	1	6-10
0276	1	6-6
0277	1	6-4
0278	1	6-6
0279	1	6-1
0280	1	6-11
0281	1	6-10
0282	1	6-9
0283	1	7-1
0284	1	6-4
0285	1	6-6
0286	1	6-8
0287	1	6-4
0288	1	6-7
0289	1	6-9
0290	1	6-10
0291	1	6-7
0292	1	6-1
0293	1	6-8
0294	1	7-0
0295	1	6-8
0296	1	6-10
0297	1	6-3
0298	1	6-7
0299	1	6-11
0300	1	6-8
0301	1	6-9
0302	1	7-0
0303	1	6-3
0304	1	6-6
0305	1	6-11
0306	1	6-10
0307	1	6-9
0308	1	6-11
0309	1	6-9
0310	1	6-8
0311	1	6-11
0312	1	6-8
0313	1	6-6
0314	1	6-3
0315	1	6-10
0316	1	6-5
0317	1	6-2
0318	1	6-0
0319	1	7-0
0320	1	7-1
0321	1	6-6
0322	1	6-5
0323	1	6-9
0324	1	6-11
0325	1	6-11
0326	1	6-6
0327	1	6-7
0328	1	6-11
0329	1	6-3
0330	1	6-9
0331	1	5-11
0332	1	6-9
0333	1	6-11
0334	1	6-3
0335	1	7-0
0336	1	6-6
0337	1	6-8
0338	1	6-10
0339	1	6-11
0340	1	6-6
0341	1	6-2
0342	1	6-7
0343	1	6-9
0344	1	6-4
0345	1	6-2
0346	1	6-2
0347	1	6-11
0348	1	6-6
0349	1	6-11
0350	1	6-10
0351	1	6-5
0352	1	6-9
0353	1	6-9
0354	1	6-5
0355	1	6-10
0356	1	6-4
0357	1	7-0
0358	1	6-3
0359	1	7-0
0360	1	6-7
0361	1	6-7
0362	1	6-3
0363	1	6-9
0364	1	6-5
0365	1	7-0
0366	1	6-9
0367	1	7-1
0368	1	6-9
0369	1	6-10
0370	1	6-9
0371	1	6-6
0372	1	6-8
0373	1	6-11
0374	1	6-2
0375	1	6-1
0376	1	6-3
0377	1	6-4
0378	1	6-11
0379	1	6-11
0380	1	6-8
0381	1	6-6
0382	1	6-4
0383	1	6-7
0384	1	7-0
0385	1	6-7
0386	1	7-0
0387	1	7-0
0388	1	6-9
0389	1	6-8
0390	1	6-4
0391	1	6-7
0392	1	7-1
0393	1	6-3
0394	1	7-0
0395	1	6-3
0396	1	6-3
0397	1	6-10
0398	1	6-7
0399	1	6-8
0400	1	6-8
0401	1	6-9
0402	1	6-8
0403	1	6-10
0404	1	6-6
0405	1	6-8
0406	1	6-4
0407	1	6-9
0408	1	6-8
0409	1	6-1
0410	1	7-1
0411	1	6-8
0412	1	7-2
0413	1	6-6
0414	1	6-4
0415	1	6-9
0416	1	7-3
0417	1	6-6
0418	1	6-6
0419	1	6-0
0420	1	6-8
0421	1	6-11
0422	1	6-6
0423	1	5-11
0424	1	6-8
0425	1	7-0
0426	1	6-5
0427	1	6-8
0428	1	6-7
0429	1	6-9
0430	1	6-10
0431	1	6-8
0432	1	6-10
0433	1	6-7
