nbaplayer	foxsports	weight
0272	1	225&nbsp;&nbsp;
0273	1	270&nbsp;&nbsp;
0274	1	250&nbsp;&nbsp;
0275	1	220&nbsp;&nbsp;
0276	1	195&nbsp;&nbsp;
0277	1	226&nbsp;&nbsp;
0278	1	185&nbsp;&nbsp;
0279	1	253&nbsp;&nbsp;
0280	1	175&nbsp;&nbsp;
0281	1	248&nbsp;&nbsp;
0282	1	250&nbsp;&nbsp;
0283	1	205&nbsp;&nbsp;
0284	1	235&nbsp;&nbsp;
0285	1	215&nbsp;&nbsp;
0286	1	230&nbsp;&nbsp;
0287	1	238&nbsp;&nbsp;
0288	1	210&nbsp;&nbsp;
0289	1	202&nbsp;&nbsp;
0290	1	195&nbsp;&nbsp;
0291	1	245&nbsp;&nbsp;
0292	1	220&nbsp;&nbsp;
0293	1	250&nbsp;&nbsp;
0294	1	250&nbsp;&nbsp;
0295	1	195&nbsp;&nbsp;
0296	1	240&nbsp;&nbsp;
0297	1	220&nbsp;&nbsp;
0298	1	250&nbsp;&nbsp;
0299	1	230&nbsp;&nbsp;
0300	1	188&nbsp;&nbsp;
0301	1	200&nbsp;&nbsp;
0302	1	195&nbsp;&nbsp;
0303	1	225&nbsp;&nbsp;
0304	1	215&nbsp;&nbsp;
0305	1	275&nbsp;&nbsp;
0306	1	260&nbsp;&nbsp;
0307	1	275&nbsp;&nbsp;
0308	1	290&nbsp;&nbsp;
0309	1	175&nbsp;&nbsp;
0310	1	170&nbsp;&nbsp;
0311	1	240&nbsp;&nbsp;
0312	1	230&nbsp;&nbsp;
0313	1	246&nbsp;&nbsp;
0314	1	217&nbsp;&nbsp;
0315	1	210&nbsp;&nbsp;
0316	1	235&nbsp;&nbsp;
0317	1	227&nbsp;&nbsp;
0318	1	179&nbsp;&nbsp;
0319	1	195&nbsp;&nbsp;
0320	1	250&nbsp;&nbsp;
0321	1	200&nbsp;&nbsp;
0322	1	200&nbsp;&nbsp;
0323	1	185&nbsp;&nbsp;
0324	1	285&nbsp;&nbsp;
0325	1	259&nbsp;&nbsp;
0326	1	211&nbsp;&nbsp;
0327	1	183&nbsp;&nbsp;
0328	1	245&nbsp;&nbsp;
0329	1	255&nbsp;&nbsp;
0330	1	210&nbsp;&nbsp;
0331	1	230&nbsp;&nbsp;
0332	1	235&nbsp;&nbsp;
0333	1	220&nbsp;&nbsp;
0334	1	240&nbsp;&nbsp;
0335	1	215&nbsp;&nbsp;
0336	1	240&nbsp;&nbsp;
0337	1	170&nbsp;&nbsp;
0338	1	275&nbsp;&nbsp;
0339	1	220&nbsp;&nbsp;
0340	1	215&nbsp;&nbsp;
0341	1	190&nbsp;&nbsp;
0342	1	251&nbsp;&nbsp;
0343	1	205&nbsp;&nbsp;
0344	1	240&nbsp;&nbsp;
0345	1	196&nbsp;&nbsp;
0346	1	280&nbsp;&nbsp;
0347	1	207&nbsp;&nbsp;
0348	1	280&nbsp;&nbsp;
0349	1	235&nbsp;&nbsp;
0350	1	232&nbsp;&nbsp;
0351	1	250&nbsp;&nbsp;
0352	1	265&nbsp;&nbsp;
0353	1	187&nbsp;&nbsp;
0354	1	185&nbsp;&nbsp;
0355	1	207&nbsp;&nbsp;
0356	1	262&nbsp;&nbsp;
0357	1	175&nbsp;&nbsp;
0358	1	182&nbsp;&nbsp;
0359	1	228&nbsp;&nbsp;
0360	1	241&nbsp;&nbsp;
0361	1	235&nbsp;&nbsp;
0362	1	263&nbsp;&nbsp;
0363	1	215&nbsp;&nbsp;
0364	1	210&nbsp;&nbsp;
0365	1	230&nbsp;&nbsp;
0366	1	228&nbsp;&nbsp;
0367	1	220&nbsp;&nbsp;
0368	1	245&nbsp;&nbsp;
0369	1	218&nbsp;&nbsp;
0370	1	180&nbsp;&nbsp;
0371	1	220&nbsp;&nbsp;
0372	1	161&nbsp;&nbsp;
0373	1	218&nbsp;&nbsp;
0374	1	238&nbsp;&nbsp;
0375	1	235&nbsp;&nbsp;
0376	1	240&nbsp;&nbsp;
0377	1	200&nbsp;&nbsp;
0378	1	205&nbsp;&nbsp;
0379	1	185&nbsp;&nbsp;
0380	1	261&nbsp;&nbsp;
0381	1	310&nbsp;&nbsp;
0382	1	235&nbsp;&nbsp;
0383	1	245&nbsp;&nbsp;
0384	1	175&nbsp;&nbsp;
0385	1	210&nbsp;&nbsp;
0386	1	213&nbsp;&nbsp;
0387	1	235&nbsp;&nbsp;
0388	1	212&nbsp;&nbsp;
0389	1	185&nbsp;&nbsp;
0390	1	265&nbsp;&nbsp;
0391	1	230&nbsp;&nbsp;
0392	1	265&nbsp;&nbsp;
0393	1	220&nbsp;&nbsp;
0394	1	210&nbsp;&nbsp;
0395	1	260&nbsp;&nbsp;
0396	1	267&nbsp;&nbsp;
0397	1	220&nbsp;&nbsp;
0398	1	245&nbsp;&nbsp;
0399	1	210&nbsp;&nbsp;
0400	1	205&nbsp;&nbsp;
0401	1	200&nbsp;&nbsp;
0402	1	270&nbsp;&nbsp;
0403	1	201&nbsp;&nbsp;
0404	1	200&nbsp;&nbsp;
0405	1	255&nbsp;&nbsp;
0406	1	235&nbsp;&nbsp;
0407	1	255&nbsp;&nbsp;
0408	1	175&nbsp;&nbsp;
0409	1	225&nbsp;&nbsp;
0410	1	240&nbsp;&nbsp;
0411	1	205&nbsp;&nbsp;
0412	1	240&nbsp;&nbsp;
0413	1	215&nbsp;&nbsp;
0414	1	270&nbsp;&nbsp;
0415	1	235&nbsp;&nbsp;
0416	1	255&nbsp;&nbsp;
0417	1	205&nbsp;&nbsp;
0418	1	180&nbsp;&nbsp;
0419	1	230&nbsp;&nbsp;
0420	1	245&nbsp;&nbsp;
0421	1	210&nbsp;&nbsp;
0422	1	185&nbsp;&nbsp;
0423	1	175&nbsp;&nbsp;
0424	1	215&nbsp;&nbsp;
