nbaplayer	espn	name
0163	1	Antawn Jamison&nbsp;&nbsp;#4&nbsp;&nbsp;PF
0164	1	Jamario Moon&nbsp;&nbsp;#15&nbsp;&nbsp;SF
0165	1	Anthony Parker&nbsp;&nbsp;#18&nbsp;&nbsp;SG
0166	1	Leon Powe&nbsp;&nbsp;#44&nbsp;&nbsp;PF
0167	1	Samardo Samuels&nbsp;&nbsp;#24&nbsp;&nbsp;PF
0168	1	Ramon Sessions&nbsp;&nbsp;#3&nbsp;&nbsp;PG
0169	1	Anderson Varejao&nbsp;&nbsp;#17&nbsp;&nbsp;PF
0170	1	Jawad Williams&nbsp;&nbsp;#31&nbsp;&nbsp;F
0171	1	Mo Williams&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0172	1	Will Bynum&nbsp;&nbsp;#12&nbsp;&nbsp;PG
0173	1	Austin Daye&nbsp;&nbsp;#5&nbsp;&nbsp;SF
0174	1	Ben Gordon&nbsp;&nbsp;#7&nbsp;&nbsp;SG
0175	1	Richard Hamilton&nbsp;&nbsp;#32&nbsp;&nbsp;SG
0176	1	Jonas Jerebko&nbsp;&nbsp;#33&nbsp;&nbsp;F
0177	1	Jason Maxiell&nbsp;&nbsp;#54&nbsp;&nbsp;PF
0178	1	Tracy McGrady&nbsp;&nbsp;#1&nbsp;&nbsp;SG
0179	1	Greg Monroe&nbsp;&nbsp;#10&nbsp;&nbsp;PF
0180	1	Tayshaun Prince&nbsp;&nbsp;#22&nbsp;&nbsp;SF
0181	1	Rodney Stuckey&nbsp;&nbsp;#3&nbsp;&nbsp;PG
0182	1	DaJuan Summers&nbsp;&nbsp;#35&nbsp;&nbsp;F
0183	1	Charlie Villanueva&nbsp;&nbsp;#31&nbsp;&nbsp;PF
0184	1	Ben Wallace&nbsp;&nbsp;#6&nbsp;&nbsp;C
0185	1	Terrico White&nbsp;&nbsp;#23&nbsp;&nbsp;SG
0186	1	Chris Wilcox&nbsp;&nbsp;#9&nbsp;&nbsp;PF
0187	1	Darren Collison&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0188	1	Mike Dunleavy&nbsp;&nbsp;#17&nbsp;&nbsp;SF
0189	1	T.J. Ford&nbsp;&nbsp;#5&nbsp;&nbsp;PG
0190	1	Jeff Foster&nbsp;&nbsp;#10&nbsp;&nbsp;C
0191	1	Paul George&nbsp;&nbsp;#24&nbsp;&nbsp;SF
0192	1	Danny Granger&nbsp;&nbsp;#33&nbsp;&nbsp;SF
0193	1	Tyler Hansbrough&nbsp;&nbsp;#50&nbsp;&nbsp;PF
0194	1	Roy Hibbert&nbsp;&nbsp;#55&nbsp;&nbsp;C
0195	1	Dahntay Jones&nbsp;&nbsp;#1&nbsp;&nbsp;SG
0196	1	Solomon Jones&nbsp;&nbsp;#44&nbsp;&nbsp;C
0197	1	Josh McRoberts&nbsp;&nbsp;#32&nbsp;&nbsp;PF
0198	1	James Posey&nbsp;&nbsp;#41&nbsp;&nbsp;SF
0199	1	A.J. Price&nbsp;&nbsp;#12&nbsp;&nbsp;G
0200	1	Brandon Rush&nbsp;&nbsp;#25&nbsp;&nbsp;SG
0201	1	Lance Stephenson&nbsp;&nbsp;#6&nbsp;&nbsp;SG
0202	1	Andrew Bogut&nbsp;&nbsp;#6&nbsp;&nbsp;C
0203	1	Earl Boykins&nbsp;&nbsp;#11&nbsp;&nbsp;PG
0204	1	Jon Brockman&nbsp;&nbsp;#40&nbsp;&nbsp;F
0205	1	Carlos Delfino&nbsp;&nbsp;#10&nbsp;&nbsp;SF
0206	1	Keyon Dooling&nbsp;&nbsp;#55&nbsp;&nbsp;G
0207	1	Chris Douglas-Roberts&nbsp;&nbsp;#17&nbsp;&nbsp;SF
0208	1	Drew Gooden&nbsp;&nbsp;#0&nbsp;&nbsp;PF
0209	1	Ersan Ilyasova&nbsp;&nbsp;#7&nbsp;&nbsp;PF
0210	1	Brandon Jennings&nbsp;&nbsp;#3&nbsp;&nbsp;PG
0211	1	Corey Maggette&nbsp;&nbsp;#5&nbsp;&nbsp;SF
0212	1	Luc Richard Mbah a Moute&nbsp;&nbsp;#12&nbsp;&nbsp;SF
0213	1	Michael Redd&nbsp;&nbsp;#22&nbsp;&nbsp;SG
0214	1	John Salmons&nbsp;&nbsp;#15&nbsp;&nbsp;SG
0215	1	Larry Sanders&nbsp;&nbsp;#8&nbsp;&nbsp;PF
0216	1	Brian Skinner&nbsp;&nbsp;#54&nbsp;&nbsp;FC
0217	1	Alexis Ajinca&nbsp;&nbsp;#8&nbsp;&nbsp;C
0218	1	Jose Juan Barea&nbsp;&nbsp;#11&nbsp;&nbsp;PG
0219	1	Rodrigue Beaubois&nbsp;&nbsp;#3&nbsp;&nbsp;G
0220	1	Caron Butler&nbsp;&nbsp;#4&nbsp;&nbsp;SF
0221	1	Brian Cardinal&nbsp;&nbsp;#35&nbsp;&nbsp;PF
0222	1	Tyson Chandler&nbsp;&nbsp;#6&nbsp;&nbsp;C
0223	1	Brendan Haywood&nbsp;&nbsp;#33&nbsp;&nbsp;C
0224	1	Dominique Jones&nbsp;&nbsp;#20&nbsp;&nbsp;SG
0225	1	Jason Kidd&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0226	1	Ian Mahinmi&nbsp;&nbsp;#28&nbsp;&nbsp;C
0227	1	Shawn Marion&nbsp;&nbsp;#0&nbsp;&nbsp;SF
0228	1	Steve Novak&nbsp;&nbsp;#21&nbsp;&nbsp;SF
0229	1	Dirk Nowitzki&nbsp;&nbsp;#41&nbsp;&nbsp;PF
0230	1	DeShawn Stevenson&nbsp;&nbsp;#92&nbsp;&nbsp;SG
0231	1	Jason Terry&nbsp;&nbsp;#31&nbsp;&nbsp;SG
0232	1	Shane Battier&nbsp;&nbsp;#31&nbsp;&nbsp;SF
0233	1	Aaron Brooks&nbsp;&nbsp;#0&nbsp;&nbsp;PG
0234	1	Chase Budinger&nbsp;&nbsp;#10&nbsp;&nbsp;SF
0235	1	Chuck Hayes&nbsp;&nbsp;#44&nbsp;&nbsp;C
0236	1	Jordan Hill&nbsp;&nbsp;#27&nbsp;&nbsp;F
0237	1	Jared Jeffries&nbsp;&nbsp;#20&nbsp;&nbsp;PF
0238	1	Courtney Lee&nbsp;&nbsp;#5&nbsp;&nbsp;SG
0239	1	Kyle Lowry&nbsp;&nbsp;#7&nbsp;&nbsp;PG
0240	1	Kevin Martin&nbsp;&nbsp;#12&nbsp;&nbsp;SG
0241	1	Brad Miller&nbsp;&nbsp;#52&nbsp;&nbsp;C
0242	1	Yao Ming&nbsp;&nbsp;#11&nbsp;&nbsp;C
0243	1	Patrick Patterson&nbsp;&nbsp;#54&nbsp;&nbsp;PF
0244	1	Luis Scola&nbsp;&nbsp;#4&nbsp;&nbsp;PF
0245	1	Ishmael Smith&nbsp;&nbsp;#13&nbsp;&nbsp;PG
0246	1	Jermaine Taylor&nbsp;&nbsp;#8&nbsp;&nbsp;G
0247	1	Tony Allen&nbsp;&nbsp;#9&nbsp;&nbsp;SG
0248	1	Darrell Arthur&nbsp;&nbsp;#0&nbsp;&nbsp;PF
0249	1	DeMarre Carroll&nbsp;&nbsp;#1&nbsp;&nbsp;F
0250	1	Mike Conley&nbsp;&nbsp;#11&nbsp;&nbsp;PG
0251	1	Marc Gasol&nbsp;&nbsp;#33&nbsp;&nbsp;C
0252	1	Rudy Gay&nbsp;&nbsp;#22&nbsp;&nbsp;SF
0253	1	Hamed Haddadi&nbsp;&nbsp;#15&nbsp;&nbsp;C
0254	1	Xavier Henry&nbsp;&nbsp;#13&nbsp;&nbsp;SG
0255	1	O.J. Mayo&nbsp;&nbsp;#32&nbsp;&nbsp;SG
0256	1	Zach Randolph&nbsp;&nbsp;#50&nbsp;&nbsp;PF
0257	1	Hasheem Thabeet&nbsp;&nbsp;#34&nbsp;&nbsp;C
0258	1	Greivis Vasquez&nbsp;&nbsp;#21&nbsp;&nbsp;G
0259	1	Sam Young&nbsp;&nbsp;#4&nbsp;&nbsp;SG
0260	1	David Andersen&nbsp;&nbsp;#11&nbsp;&nbsp;C
0261	1	Trevor Ariza&nbsp;&nbsp;#1&nbsp;&nbsp;SF
0262	1	Marcus Banks&nbsp;&nbsp;#15&nbsp;&nbsp;PG
0263	1	Marco Belinelli&nbsp;&nbsp;#8&nbsp;&nbsp;SG
0264	1	Aaron Gray&nbsp;&nbsp;#34&nbsp;&nbsp;C
0265	1	Willie Green&nbsp;&nbsp;#33&nbsp;&nbsp;SG
0266	1	Jarrett Jack&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0267	1	D.J. Mbenga&nbsp;&nbsp;#28&nbsp;&nbsp;C
0268	1	Pops Mensah-Bonsu&nbsp;&nbsp;#44&nbsp;&nbsp;C
0269	1	Emeka Okafor&nbsp;&nbsp;#50&nbsp;&nbsp;C
0270	1	Chris Paul&nbsp;&nbsp;#3&nbsp;&nbsp;PG
0271	1	Quincy Pondexter&nbsp;&nbsp;#20&nbsp;&nbsp;SF
0272	1	Jason Smith&nbsp;&nbsp;#14&nbsp;&nbsp;PF
0273	1	Marcus Thornton&nbsp;&nbsp;#5&nbsp;&nbsp;G
0274	1	David West&nbsp;&nbsp;#30&nbsp;&nbsp;PF
0275	1	James Anderson&nbsp;&nbsp;#25&nbsp;&nbsp;SG
0276	1	DeJuan Blair&nbsp;&nbsp;#45&nbsp;&nbsp;F
0277	1	Matt Bonner&nbsp;&nbsp;#15&nbsp;&nbsp;PF
0278	1	Tim Duncan&nbsp;&nbsp;#21&nbsp;&nbsp;C
0279	1	Manu Ginobili&nbsp;&nbsp;#20&nbsp;&nbsp;SG
0280	1	George Hill&nbsp;&nbsp;#3&nbsp;&nbsp;PG
0281	1	Richard Jefferson&nbsp;&nbsp;#24&nbsp;&nbsp;SF
0282	1	Antonio McDyess&nbsp;&nbsp;#34&nbsp;&nbsp;PF
0283	1	Gary Neal&nbsp;&nbsp;#14&nbsp;&nbsp;PG
0284	1	Tony Parker&nbsp;&nbsp;#9&nbsp;&nbsp;PG
0285	1	Chris Quinn&nbsp;&nbsp;#11&nbsp;&nbsp;PG
0286	1	Tiago Splitter&nbsp;&nbsp;#22&nbsp;&nbsp;F
0287	1	Ime Udoka&nbsp;&nbsp;#5&nbsp;&nbsp;SF
0288	1	Mike Bibby&nbsp;&nbsp;#10&nbsp;&nbsp;PG
0289	1	Jason Collins&nbsp;&nbsp;#34&nbsp;&nbsp;C
0290	1	Jamal Crawford&nbsp;&nbsp;#11&nbsp;&nbsp;G
0291	1	Jordan Crawford&nbsp;&nbsp;#55&nbsp;&nbsp;SG
0292	1	Maurice Evans&nbsp;&nbsp;#1&nbsp;&nbsp;SF
0293	1	Al Horford&nbsp;&nbsp;#15&nbsp;&nbsp;C
0294	1	Joe Johnson&nbsp;&nbsp;#2&nbsp;&nbsp;SG
0295	1	Zaza Pachulia&nbsp;&nbsp;#27&nbsp;&nbsp;C
0296	1	Josh Powell&nbsp;&nbsp;#12&nbsp;&nbsp;C
0297	1	Josh Smith&nbsp;&nbsp;#5&nbsp;&nbsp;PF
0298	1	Pape Sy&nbsp;&nbsp;#19&nbsp;&nbsp;F
0299	1	Jeff Teague&nbsp;&nbsp;#0&nbsp;&nbsp;G
0300	1	Etan Thomas&nbsp;&nbsp;#36&nbsp;&nbsp;C
0301	1	Damien Wilkins&nbsp;&nbsp;#3&nbsp;&nbsp;SF
0302	1	Marvin Williams&nbsp;&nbsp;#24&nbsp;&nbsp;SF
0303	1	D.J. Augustin&nbsp;&nbsp;#14&nbsp;&nbsp;PG
0304	1	Derrick Brown&nbsp;&nbsp;#4&nbsp;&nbsp;F
0305	1	Kwame Brown&nbsp;&nbsp;#54&nbsp;&nbsp;C
0306	1	Matt Carroll&nbsp;&nbsp;#33&nbsp;&nbsp;SG
0307	1	Sherron Collins&nbsp;&nbsp;#11&nbsp;&nbsp;PG
0308	1	Boris Diaw&nbsp;&nbsp;#32&nbsp;&nbsp;PF
0309	1	DeSagana Diop&nbsp;&nbsp;#7&nbsp;&nbsp;C
0310	1	Gerald Henderson&nbsp;&nbsp;#15&nbsp;&nbsp;G
0311	1	Stephen Jackson&nbsp;&nbsp;#1&nbsp;&nbsp;SG
0312	1	Shaun Livingston&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0313	1	Dominic McGuire&nbsp;&nbsp;#5&nbsp;&nbsp;SF
0314	1	Nazr Mohammed&nbsp;&nbsp;#13&nbsp;&nbsp;C
0315	1	Eduardo Najera&nbsp;&nbsp;#21&nbsp;&nbsp;PF
0316	1	Tyrus Thomas&nbsp;&nbsp;#12&nbsp;&nbsp;PF
0317	1	Gerald Wallace&nbsp;&nbsp;#3&nbsp;&nbsp;SF
0318	1	Joel Anthony&nbsp;&nbsp;#50&nbsp;&nbsp;C
0319	1	Carlos Arroyo&nbsp;&nbsp;#8&nbsp;&nbsp;PG
0320	1	Chris Bosh&nbsp;&nbsp;#1&nbsp;&nbsp;PF
0321	1	Mario Chalmers&nbsp;&nbsp;#15&nbsp;&nbsp;PG
0322	1	Erick Dampier&nbsp;&nbsp;#25&nbsp;&nbsp;C
0323	1	Udonis Haslem&nbsp;&nbsp;#40&nbsp;&nbsp;PF
0324	1	Eddie House&nbsp;&nbsp;#55&nbsp;&nbsp;PG
0325	1	Juwan Howard&nbsp;&nbsp;#5&nbsp;&nbsp;PF
0326	1	Zydrunas Ilgauskas&nbsp;&nbsp;#11&nbsp;&nbsp;C
0327	1	LeBron James&nbsp;&nbsp;#6&nbsp;&nbsp;SF
0328	1	James Jones&nbsp;&nbsp;#22&nbsp;&nbsp;SF
0329	1	Jamaal Magloire&nbsp;&nbsp;#21&nbsp;&nbsp;C
0330	1	Mike Miller&nbsp;&nbsp;#13&nbsp;&nbsp;SG
0331	1	Dexter Pittman&nbsp;&nbsp;#45&nbsp;&nbsp;C
0332	1	Dwyane Wade&nbsp;&nbsp;#3&nbsp;&nbsp;SG
0333	1	Malik Allen&nbsp;&nbsp;#35&nbsp;&nbsp;PF
0334	1	Ryan Anderson&nbsp;&nbsp;#33&nbsp;&nbsp;PF
0335	1	Brandon Bass&nbsp;&nbsp;#30&nbsp;&nbsp;PF
0336	1	Vince Carter&nbsp;&nbsp;#15&nbsp;&nbsp;SG
0337	1	Chris Duhon&nbsp;&nbsp;#25&nbsp;&nbsp;PG
0338	1	Marcin Gortat&nbsp;&nbsp;#13&nbsp;&nbsp;C
0339	1	Dwight Howard&nbsp;&nbsp;#12&nbsp;&nbsp;C
