nbaplayer	nba	name
0245	1	Ime Udoka
0246	1	Derek Fisher
0247	1	Ron Artest
0248	1	Matt Barnes
0249	1	Steve Blake
0250	1	Shannon Brown
0251	1	Kobe Bryant
0252	1	Andrew Bynum
0253	1	Derrick Caracter
0254	1	Devin Ebanks
0255	1	Pau Gasol
0256	1	Lamar Odom
0257	1	Theo Ratliff
0258	1	Sasha Vujacic
0259	1	Luke Walton
0260	1	Solomon Alabi
0261	1	Leandro Barbosa
0262	1	Andrea Bargnani
0263	1	Jerryd Bayless
0264	1	Jose Calderon
0265	1	Ed Davis
0266	1	DeMar DeRozan
0267	1	Joey Dorsey
0268	1	Reggie Evans
0269	1	Amir Johnson
0270	1	Linas Kleiza
0271	1	Peja Stojakovic
0272	1	Sonny Weems
0273	1	Julian Wright
0274	1	Tony Allen
0275	1	Darrell Arthur
0276	1	DeMarre Carroll
0277	1	Mike Conley
0278	1	Marc Gasol
0279	1	Rudy Gay
0280	1	Hamed Haddadi
0281	1	Xavier Henry
0282	1	O.J. Mayo
0283	1	Zach Randolph
0284	1	Hasheem Thabeet
0285	1	Greivis Vasquez
0286	1	Sam Young
0287	1	Raja Bell
0288	1	Francisco Elson
0289	1	Jeremy Evans
0290	1	Kyrylo Fesenko
0291	1	Gordon Hayward
0292	1	Al Jefferson
0293	1	Andrei Kirilenko
0294	1	C.J. Miles
0295	1	Paul Millsap
0296	1	Mehmet Okur
0297	1	Ronnie Price
0298	1	Earl Watson
0299	1	Deron Williams
0300	1	Joel Anthony
0301	1	Carlos Arroyo
0302	1	Chris Bosh
0303	1	Mario Chalmers
0304	1	Erick Dampier
0305	1	Udonis Haslem
0306	1	Eddie House
0307	1	Juwan Howard
0308	1	Zydrunas Ilgauskas
0309	1	LeBron James
0310	1	James Jones
0311	1	Jamaal Magloire
0312	1	Mike Miller
0313	1	Dexter Pittman
0314	1	Dwyane Wade
0315	1	Cartier Martin
0316	1	Gilbert Arenas
0317	1	Hilton Armstrong
0318	1	Andray Blatche
0319	1	Trevor Booker
0320	1	Alonzo Gee
0321	1	Kirk Hinrich
0322	1	Josh Howard
0323	1	JaVale McGee
0324	1	Hamady N'Diaye
0325	1	Kevin Seraphin
0326	1	Al Thornton
0327	1	John Wall
0328	1	Yi Jianlian
0329	1	Nick Young
0330	1	Michael Beasley
0331	1	Corey Brewer
0332	1	Wayne Ellington
0333	1	Jonny Flynn
0334	1	Sundiata Gaines
0335	1	Lazar Hayward
0336	1	Wesley Johnson
0337	1	Kosta Koufos
0338	1	Kevin Love
0339	1	Darko Milicic
0340	1	Nikola Pekovic
0341	1	Luke Ridnour
0342	1	Sebastian Telfair
0343	1	Anthony Tolliver
0344	1	Martell Webster
0345	1	D.J. Augustin
0346	1	Derrick Brown
0347	1	Kwame Brown
0348	1	Matt Carroll
0349	1	Sherron Collins
0350	1	Boris Diaw
0351	1	DeSagana Diop
0352	1	Gerald Henderson
0353	1	Stephen Jackson
0354	1	Shaun Livingston
0355	1	Dominic McGuire
0356	1	Nazr Mohammed
0357	1	Eduardo Najera
0358	1	Tyrus Thomas
0359	1	Gerald Wallace
0360	1	Jordan Farmar
0361	1	Derrick Favors
0362	1	Stephen Graham
0363	1	Devin Harris
0364	1	Kris Humphries
0365	1	Damion James
0366	1	Brook Lopez
0367	1	Anthony Morrow
0368	1	Troy Murphy
0369	1	Travis Outlaw
0370	1	Johan Petro
0371	1	Quinton Ross
0372	1	Joe Smith
0373	1	Ben Uzoh
0374	1	Terrence Williams
0375	1	Omer Asik
0376	1	Keith Bogans
0377	1	Carlos Boozer
0378	1	Ronnie Brewer
0379	1	Luol Deng
0380	1	Taj Gibson
0381	1	James Johnson
0382	1	Kyle Korver
0383	1	JohnIII Lucas
0384	1	Joakim Noah
0385	1	Derrick Rose
0386	1	Brian Scalabrine
0387	1	Kurt Thomas
0388	1	C.J. Watson
0389	1	David Andersen
0390	1	Trevor Ariza
0391	1	Marcus Banks
0392	1	Marco Belinelli
0393	1	Aaron Gray
0394	1	Willie Green
0395	1	Didier Ilunga-Mbenga
0396	1	Jarrett Jack
0397	1	Pops Mensah-Bonsu
0398	1	Emeka Okafor
0399	1	Chris Paul
0400	1	Quincy Pondexter
0401	1	Jason Smith
0402	1	Marcus Thornton
0403	1	David West
0404	1	Christian Eyenga
0405	1	Daniel Gibson
0406	1	Joey Graham
0407	1	Manny Harris
0408	1	J.J. Hickson
0409	1	Ryan Hollins
0410	1	Antawn Jamison
0411	1	Jamario Moon
0412	1	Anthony Parker
0413	1	Leon Powe
0414	1	Samardo Samuels
0415	1	Ramon Sessions
0416	1	Anderson Varejao
0417	1	Jawad Williams
0418	1	Mo Williams
0419	1	Kelenna Azubuike
0420	1	Wilson Chandler
0421	1	Eddy Curry
0422	1	Toney Douglas
0423	1	Raymond Felton
0424	1	Landry Fields
0425	1	Danilo Gallinari
0426	1	Roger Mason Jr.
0427	1	Timofey Mozgov
0428	1	Anthony Randolph
0429	1	Andy Rautins
0430	1	Amar'e Stoudemire
0431	1	Ronny Turiaf
0432	1	Bill Walker
0433	1	Shawne Williams
