nbaplayer	espn	weight
0115	1	235 lbs.
0116	1	250 lbs.
0117	1	209 lbs.
0118	1	225 lbs.
0119	1	190 lbs.
0120	1	225 lbs.
0121	1	245 lbs.
0122	1	225 lbs.
0123	1	234 lbs.
0124	1	255 lbs.
0125	1	178 lbs.
0126	1	225 lbs.
0127	1	305 lbs.
0128	1	220 lbs.
0129	1	219 lbs.
0130	1	225 lbs.
0131	1	270 lbs.
0132	1	250 lbs.
0133	1	220 lbs.
0134	1	195 lbs.
0135	1	226 lbs.
0136	1	185 lbs.
0137	1	253 lbs.
0138	1	175 lbs.
0139	1	248 lbs.
0140	1	250 lbs.
0141	1	205 lbs.
0142	1	235 lbs.
0143	1	255 lbs.
0144	1	215 lbs.
0145	1	266 lbs.
0146	1	227 lbs.
0147	1	220 lbs.
0148	1	225 lbs.
0149	1	245 lbs.
0150	1	212 lbs.
0151	1	165 lbs.
0152	1	232 lbs.
0153	1	190 lbs.
0154	1	235 lbs.
0155	1	230 lbs.
0156	1	175 lbs.
0157	1	210 lbs.
0158	1	200 lbs.
0159	1	230 lbs.
0160	1	185 lbs.
0161	1	242 lbs.
0162	1	240 lbs.
0163	1	235 lbs.
0164	1	205 lbs.
0165	1	215 lbs.
0166	1	240 lbs.
0167	1	260 lbs.
0168	1	190 lbs.
0169	1	260 lbs.
0170	1	225 lbs.
0171	1	195 lbs.
0172	1	185 lbs.
0173	1	200 lbs.
0174	1	200 lbs.
0175	1	193 lbs.
0176	1	231 lbs.
0177	1	260 lbs.
0178	1	223 lbs.
0179	1	250 lbs.
0180	1	215 lbs.
0181	1	205 lbs.
0182	1	240 lbs.
0183	1	232 lbs.
0184	1	240 lbs.
0185	1	213 lbs.
0186	1	235 lbs.
0187	1	160 lbs.
0188	1	230 lbs.
0189	1	165 lbs.
0190	1	250 lbs.
0191	1	210 lbs.
0192	1	228 lbs.
0193	1	250 lbs.
0194	1	278 lbs.
0195	1	210 lbs.
0196	1	245 lbs.
0197	1	240 lbs.
0198	1	217 lbs.
0199	1	181 lbs.
0200	1	210 lbs.
0201	1	210 lbs.
0202	1	260 lbs.
0203	1	133 lbs.
0204	1	255 lbs.
0205	1	230 lbs.
0206	1	195 lbs.
0207	1	210 lbs.
0208	1	250 lbs.
0209	1	235 lbs.
0210	1	169 lbs.
0211	1	225 lbs.
0212	1	230 lbs.
0213	1	215 lbs.
0214	1	207 lbs.
0215	1	235 lbs.
0216	1	255 lbs.
0217	1	220 lbs.
0218	1	175 lbs.
0219	1	170 lbs.
0220	1	228 lbs.
0221	1	240 lbs.
0222	1	235 lbs.
0223	1	263 lbs.
0224	1	215 lbs.
0225	1	210 lbs.
0226	1	230 lbs.
0227	1	228 lbs.
0228	1	240 lbs.
0229	1	245 lbs.
0230	1	218 lbs.
0231	1	180 lbs.
0232	1	220 lbs.
0233	1	161 lbs.
0234	1	218 lbs.
0235	1	238 lbs.
0236	1	235 lbs.
0237	1	240 lbs.
0238	1	200 lbs.
0239	1	205 lbs.
0240	1	185 lbs.
0241	1	261 lbs.
0242	1	310 lbs.
0243	1	235 lbs.
0244	1	245 lbs.
0245	1	175 lbs.
0246	1	210 lbs.
0247	1	213 lbs.
0248	1	235 lbs.
0249	1	212 lbs.
0250	1	185 lbs.
0251	1	265 lbs.
0252	1	230 lbs.
0253	1	265 lbs.
0254	1	220 lbs.
0255	1	210 lbs.
0256	1	260 lbs.
0257	1	267 lbs.
0258	1	211 lbs.
0259	1	220 lbs.
0260	1	247 lbs.
0261	1	210 lbs.
0262	1	205 lbs.
0263	1	200 lbs.
0264	1	270 lbs.
0265	1	201 lbs.
0266	1	197 lbs.
0267	1	255 lbs.
0268	1	235 lbs.
0269	1	255 lbs.
0270	1	175 lbs.
0271	1	225 lbs.
0272	1	240 lbs.
0273	1	205 lbs.
0274	1	240 lbs.
0275	1	215 lbs.
0276	1	270 lbs.
0277	1	235 lbs.
0278	1	255 lbs.
0279	1	205 lbs.
0280	1	180 lbs.
0281	1	230 lbs.
0282	1	245 lbs.
0283	1	210 lbs.
0284	1	185 lbs.
0285	1	175 lbs.
0286	1	240 lbs.
0287	1	220 lbs.
0288	1	195 lbs.
0289	1	255 lbs.
0290	1	200 lbs.
0291	1	195 lbs.
0292	1	220 lbs.
0293	1	245 lbs.
0294	1	240 lbs.
0295	1	275 lbs.
0296	1	240 lbs.
0297	1	240 lbs.
0298	1	225 lbs.
0299	1	180 lbs.
0300	1	260 lbs.
0301	1	225 lbs.
0302	1	240 lbs.
0303	1	180 lbs.
0304	1	227 lbs.
0305	1	270 lbs.
0306	1	212 lbs.
0307	1	205 lbs.
0308	1	235 lbs.
0309	1	280 lbs.
0310	1	215 lbs.
0311	1	215 lbs.
0312	1	185 lbs.
0313	1	220 lbs.
0314	1	250 lbs.
0315	1	235 lbs.
0316	1	225 lbs.
0317	1	220 lbs.
0318	1	245 lbs.
0319	1	200 lbs.
0320	1	235 lbs.
0321	1	190 lbs.
0322	1	265 lbs.
0323	1	235 lbs.
0324	1	190 lbs.
0325	1	250 lbs.
0326	1	260 lbs.
0327	1	250 lbs.
0328	1	215 lbs.
0329	1	255 lbs.
0330	1	218 lbs.
0331	1	308 lbs.
0332	1	220 lbs.
0333	1	255 lbs.
0334	1	240 lbs.
0335	1	250 lbs.
0336	1	220 lbs.
0337	1	190 lbs.
0338	1	240 lbs.
0339	1	265 lbs.
0340	1	230 lbs.
0341	1	190 lbs.
0342	1	255 lbs.
0343	1	215 lbs.
0344	1	190 lbs.
0345	1	228 lbs.
0346	1	180 lbs.
0347	1	215 lbs.
0348	1	235 lbs.
0349	1	260 lbs.
0350	1	240 lbs.
0351	1	220 lbs.
0352	1	190 lbs.
0353	1	210 lbs.
0354	1	250 lbs.
0355	1	220 lbs.
0356	1	252 lbs.
0357	1	235 lbs.
0358	1	275 lbs.
0359	1	235 lbs.
0360	1	195 lbs.
0361	1	210 lbs.
0362	1	215 lbs.
0363	1	228 lbs.
0364	1	230 lbs.
0365	1	208 lbs.
0366	1	202 lbs.
0367	1	195 lbs.
0368	1	261 lbs.
0369	1	220 lbs.
0370	1	250 lbs.
0371	1	250 lbs.
0372	1	195 lbs.
0373	1	240 lbs.
0374	1	220 lbs.
0375	1	250 lbs.
0376	1	235 lbs.
0377	1	188 lbs.
0378	1	200 lbs.
0379	1	185 lbs.
0380	1	200 lbs.
0381	1	225 lbs.
0382	1	205 lbs.
0383	1	265 lbs.
0384	1	260 lbs.
0385	1	275 lbs.
0386	1	243 lbs.
0387	1	175 lbs.
0388	1	175 lbs.
0389	1	243 lbs.
0390	1	235 lbs.
0391	1	245 lbs.
0392	1	255 lbs.
0393	1	210 lbs.
0394	1	230 lbs.
0395	1	235 lbs.
0396	1	220 lbs.
0397	1	235 lbs.
0398	1	215 lbs.
0399	1	240 lbs.
0400	1	175 lbs.
0401	1	275 lbs.
0402	1	220 lbs.
0403	1	215 lbs.
0404	1	187 lbs.
0405	1	251 lbs.
0406	1	240 lbs.
0407	1	225 lbs.
0408	1	200 lbs.
0409	1	235 lbs.
0410	1	230 lbs.
0411	1	185 lbs.
0412	1	195 lbs.
0413	1	250 lbs.
0414	1	220 lbs.
0415	1	200 lbs.
0416	1	185 lbs.
0417	1	285 lbs.
0418	1	245 lbs.
0419	1	211 lbs.
0420	1	180 lbs.
0421	1	206 lbs.
0422	1	240 lbs.
0423	1	196 lbs.
0424	1	280 lbs.
0425	1	207 lbs.
0426	1	280 lbs.
0427	1	235 lbs.
0428	1	232 lbs.
0429	1	250 lbs.
0430	1	265 lbs.
0431	1	187 lbs.
0432	1	195 lbs.
0433	1	209 lbs.
