nbaplayer	yahoo	height
0203	1	6-7
0204	1	6-7
0205	1	6-3
0206	1	6-4
0207	1	6-6
0208	1	7-0
0209	1	6-9
0210	1	6-9
0211	1	6-1
0212	1	7-0
0213	1	6-5
0214	1	6-10
0215	1	6-10
0216	1	6-10
0217	1	6-8
0218	1	6-9
0219	1	6-1
0220	1	6-9
0221	1	6-9
0222	1	6-4
0223	1	6-7
0224	1	6-3
0225	1	6-10
0226	1	6-11
0227	1	7-0
0228	1	6-8
0229	1	6-7
0230	1	6-4
0231	1	6-1
0232	1	6-0
0233	1	6-6
0234	1	6-8
0235	1	6-3
0236	1	6-7
0237	1	6-11
0238	1	6-11
0239	1	6-8
0240	1	6-9
0241	1	7-0
0242	1	6-3
0243	1	6-6
0244	1	6-11
0245	1	6-9
0246	1	6-9
0247	1	6-11
0248	1	6-11
0249	1	6-6
0250	1	6-6
0251	1	6-7
0252	1	6-11
0253	1	6-9
0254	1	5-11
0255	1	6-4
0256	1	6-11
0257	1	6-4
0258	1	6-3
0259	1	7-0
0260	1	6-0
0261	1	6-2
0262	1	6-9
0263	1	6-7
0264	1	6-8
0265	1	7-1
0266	1	7-0
0267	1	6-4
0268	1	6-4
0269	1	6-11
0270	1	6-7
0271	1	7-0
0272	1	6-5
0273	1	6-10
0274	1	6-2
0275	1	6-5
0276	1	6-7
0277	1	6-11
0278	1	6-3
0279	1	6-6
0280	1	6-10
0281	1	6-5
0282	1	6-0
0283	1	6-7
0284	1	7-0
0285	1	7-6
0286	1	6-9
0287	1	6-9
0288	1	7-3
0289	1	6-6
0290	1	6-4
0291	1	6-9
0292	1	6-8
0293	1	6-1
0294	1	7-1
0295	1	6-8
0296	1	7-2
0297	1	6-6
0298	1	6-4
0299	1	6-8
0300	1	6-9
0301	1	6-0
0302	1	6-6
0303	1	6-6
0304	1	6-11
0305	1	6-8
0306	1	6-2
0307	1	6-5
0308	1	6-8
0309	1	7-0
0310	1	6-3
0311	1	6-3
0312	1	6-9
0313	1	7-0
0314	1	6-10
0315	1	6-0
0316	1	6-6
0317	1	7-0
0318	1	6-9
0319	1	6-6
0320	1	6-8
0321	1	6-10
0322	1	6-7
0323	1	6-11
0324	1	6-6
0325	1	6-6
0326	1	6-2
0327	1	6-7
0328	1	6-9
0329	1	6-4
0330	1	6-10
0331	1	6-2
0332	1	6-2
0333	1	6-11
0334	1	6-11
0335	1	6-10
0336	1	6-9
0337	1	6-4
0338	1	7-1
0339	1	6-4
0340	1	6-6
0341	1	6-8
0342	1	6-4
0343	1	6-7
0344	1	6-9
0345	1	6-10
0346	1	6-7
0347	1	6-1
0348	1	6-8
0349	1	7-0
0350	1	7-1
0351	1	6-3
0352	1	7-0
0353	1	6-3
0354	1	6-3
0355	1	6-10
0356	1	6-7
0357	1	6-8
0358	1	6-8
0359	1	6-9
0360	1	6-9
0361	1	6-8
0362	1	6-6
0363	1	6-8
0364	1	7-0
0365	1	6-5
0366	1	6-9
0367	1	6-7
0368	1	6-7
0369	1	6-9
0370	1	6-9
0371	1	6-7
0372	1	5-11
0373	1	6-11
0374	1	6-1
0375	1	6-3
0376	1	6-9
0377	1	6-9
0378	1	6-2
0379	1	6-3
0380	1	7-0
0381	1	6-5
0382	1	6-6
0383	1	6-2
0384	1	6-7
0385	1	6-8
0386	1	6-5
0387	1	6-9
0388	1	7-0
0389	1	6-9
0390	1	6-6
0391	1	6-9
0392	1	6-3
0393	1	6-11
0394	1	6-0
0395	1	6-11
0396	1	6-3
0397	1	6-7
0398	1	6-10
0399	1	6-7
0400	1	6-8
0401	1	6-11
0402	1	6-9
0403	1	6-5
0404	1	6-8
0405	1	6-11
0406	1	6-9
0407	1	6-5
0408	1	6-10
0409	1	6-0
0410	1	6-9
0411	1	6-0
0412	1	6-11
0413	1	6-8
0414	1	6-9
0415	1	6-9
0416	1	7-2
0417	1	6-6
0418	1	6-10
0419	1	6-10
0420	1	6-8
0421	1	6-2
0422	1	6-6
0423	1	6-5
0424	1	7-0
0425	1	5-5
0426	1	6-7
0427	1	6-6
0428	1	6-3
0429	1	6-7
0430	1	6-10
0431	1	6-9
0432	1	6-1
0433	1	6-6
0434	1	6-8
0435	1	6-6
0436	1	6-6
0437	1	6-11
