nbaplayer	msnca	name
0244	1	Troy Murphy
0245	1	Travis Outlaw
0246	1	Johan Petro
0247	1	Quinton Ross
0248	1	Joe Smith
0249	1	Ben Uzoh
0250	1	Terrence Williams
0251	1	Kelenna Azubuike
0252	1	Wilson Chandler
0253	1	Eddy Curry
0254	1	Toney Douglas
0255	1	Raymond Felton
0256	1	Landry Fields
0257	1	Danilo Gallinari
0258	1	Roger Mason
0259	1	Timofey Mozgov
0260	1	Anthony Randolph
0261	1	Andy Rautins
0262	1	Amar'e Stoudemire
0263	1	Ronny Turiaf
0264	1	Bill Walker
0265	1	Shawne Williams
0266	1	Malik Allen
0267	1	Ryan Anderson
0268	1	Brandon Bass
0269	1	Vince Carter
0270	1	Chris Duhon
0271	1	Marcin Gortat
0272	1	Dwight Howard
0273	1	Rashard Lewis
0274	1	Jameer Nelson
0275	1	Daniel Orton
0276	1	Mickael Pietrus
0277	1	J.J. Redick
0278	1	Quentin Richardson
0279	1	Jason Williams
0280	1	Tony Battie
0281	1	Craig Brackins
0282	1	Elton Brand
0283	1	Spencer Hawes
0284	1	Jrue Holiday
0285	1	Andre Iguodala
0286	1	Jason Kapono
0287	1	Jodie Meeks
0288	1	Andres Nocioni
0289	1	Darius Songaila
0290	1	Marreese Speights
0291	1	Evan Turner
0292	1	Louis Williams
0293	1	Thaddeus Young
0294	1	Earl Barron
0295	1	Josh Childress
0296	1	Earl Clark
0297	1	Goran Dragic
0298	1	Jared Dudley
0299	1	Channing Frye
0300	1	Grant Hill
0301	1	Gani Lawal
0302	1	Robin Lopez
0303	1	Steve Nash
0304	1	Jason Richardson
0305	1	Garrett Siler
0306	1	Hedo Turkoglu
0307	1	Hakim Warrick
0308	1	LaMarcus Aldridge
0309	1	Luke Babbitt
0310	1	Nicolas Batum
0311	1	Marcus Camby
0312	1	Dante Cunningham
0313	1	Rudy Fernandez
0314	1	Armon Johnson
0315	1	Sean Marks
0316	1	Wesley Matthews
0317	1	Andre Miller
0318	1	Patrick Mills
0319	1	Greg Oden
0320	1	Joel Przybilla
0321	1	Brandon Roy
0322	1	Elliot Williams
0323	1	Omri Casspi
0324	1	DeMarcus Cousins
0325	1	Samuel Dalembert
0326	1	Tyreke Evans
0327	1	Francisco Garcia
0328	1	Donte Greene
0329	1	Luther Head
0330	1	Darnell Jackson
0331	1	Pooh Jeter
0332	1	Carl Landry
0333	1	Jason Thompson
0334	1	Beno Udrih
0335	1	Hassan Whiteside
0336	1	James Anderson
0337	1	DeJuan Blair
0338	1	Matt Bonner
0339	1	Tim Duncan
0340	1	Manu Ginobili
0341	1	George Hill
0342	1	Richard Jefferson
0343	1	Antonio McDyess
0344	1	Gary Neal
0345	1	Tony Parker
0346	1	Chris Quinn
0347	1	Tiago Splitter
0348	1	Ime Udoka
0349	1	Cole Aldrich
0350	1	Nick Collison
0351	1	Daequan Cook
0352	1	Kevin Durant
0353	1	Jeff Green
0354	1	James Harden
0355	1	Serge Ibaka
0356	1	Royal Ivey
0357	1	Nenad Krstic
0358	1	Eric Maynor
0359	1	Byron Mullens
0360	1	Morris Peterson
0361	1	Thabo Sefolosha
0362	1	Russell Westbrook
0363	1	D.J. White
0364	1	Raja Bell
0365	1	Francisco Elson
0366	1	Jeremy Evans
0367	1	Kyrylo Fesenko
0368	1	Gordon Hayward
0369	1	Al Jefferson
0370	1	Andrei Kirilenko
0371	1	C.J. Miles
0372	1	Paul Millsap
0373	1	Mehmet Okur
0374	1	Ronnie Price
0375	1	Earl Watson
0376	1	Deron Williams
0377	1	Gilbert Arenas
0378	1	Hilton Armstrong
0379	1	Andray Blatche
0380	1	Trevor Booker
0381	1	Alonzo Gee
0382	1	Kirk Hinrich
0383	1	Josh Howard
0384	1	Yi Jianlian
0385	1	Cartier Martin
0386	1	JaVale McGee
0387	1	Hamady N'diaye
0388	1	Kevin Seraphin
0389	1	Al Thornton
0390	1	John Wall
0391	1	Nick Young
0392	1	Solomon Alabi
0393	1	Leandro Barbosa
0394	1	Andrea Bargnani
0395	1	Jerryd Bayless
0396	1	Jose Calderon
0397	1	Ed Davis
0398	1	DeMar DeRozan
0399	1	Joey Dorsey
0400	1	Reggie Evans
0401	1	Amir Johnson
0402	1	Linas Kleiza
0403	1	Peja Stojakovic
0404	1	Sonny Weems
0405	1	Julian Wright
0406	1	Tony Allen
0407	1	Darrell Arthur
0408	1	DeMarre Carroll
0409	1	Mike Conley
0410	1	Marc Gasol
0411	1	Rudy Gay
0412	1	Hamed Haddadi
0413	1	Xavier Henry
0414	1	O.J. Mayo
0415	1	Zach Randolph
0416	1	Hasheem Thabeet
0417	1	Greivis Vasquez
0418	1	Sam Young
0419	1	D.J. Augustin
0420	1	Derrick Brown
0421	1	Kwame Brown
0422	1	Matt Carroll
0423	1	Sherron Collins
0424	1	Boris Diaw
0425	1	DeSagana Diop
0426	1	Gerald Henderson
0427	1	Stephen Jackson
0428	1	Shaun Livingston
0429	1	Dominic McGuire
0430	1	Nazr Mohammed
0431	1	Eduardo Najera
0432	1	Tyrus Thomas
0433	1	Gerald Wallace
