nbaplayer	nba	height
0073	1	6-9&nbsp;/&nbsp;2.06
0074	1	6-10&nbsp;/&nbsp;2.08
0075	1	6-10&nbsp;/&nbsp;2.08
0076	1	6-8&nbsp;/&nbsp;2.03
0077	1	6-6&nbsp;/&nbsp;1.98
0078	1	6-1&nbsp;/&nbsp;1.85
0079	1	6-11&nbsp;/&nbsp;2.11
0080	1	6-11&nbsp;/&nbsp;2.11
0081	1	6-10&nbsp;/&nbsp;2.08
0082	1	6-0&nbsp;/&nbsp;1.83
0083	1	6-10&nbsp;/&nbsp;2.08
0084	1	6-6&nbsp;/&nbsp;1.98
0085	1	6-4&nbsp;/&nbsp;1.93
0086	1	6-6&nbsp;/&nbsp;1.98
0087	1	6-1&nbsp;/&nbsp;1.85
0088	1	6-0&nbsp;/&nbsp;1.83
0089	1	6-11&nbsp;/&nbsp;2.11
0090	1	6-3&nbsp;/&nbsp;1.91
0091	1	6-7&nbsp;/&nbsp;2.01
0092	1	6-10&nbsp;/&nbsp;2.08
0093	1	6-7&nbsp;/&nbsp;2.01
0094	1	6-8&nbsp;/&nbsp;2.03
0095	1	6-11&nbsp;/&nbsp;2.11
0096	1	6-9&nbsp;/&nbsp;2.06
0097	1	6-5&nbsp;/&nbsp;1.96
0098	1	6-8&nbsp;/&nbsp;2.03
0099	1	6-11&nbsp;/&nbsp;2.11
0100	1	6-9&nbsp;/&nbsp;2.06
0101	1	6-5&nbsp;/&nbsp;1.96
0102	1	6-10&nbsp;/&nbsp;2.08
0103	1	6-11&nbsp;/&nbsp;2.11
0104	1	6-10&nbsp;/&nbsp;2.08
0105	1	6-9&nbsp;/&nbsp;2.06
0106	1	7-1&nbsp;/&nbsp;2.16
0107	1	6-4&nbsp;/&nbsp;1.93
0108	1	6-6&nbsp;/&nbsp;1.98
0109	1	6-8&nbsp;/&nbsp;2.03
0110	1	6-4&nbsp;/&nbsp;1.93
0111	1	6-7&nbsp;/&nbsp;2.01
0112	1	6-9&nbsp;/&nbsp;2.06
0113	1	6-10&nbsp;/&nbsp;2.08
0114	1	6-7&nbsp;/&nbsp;2.01
0115	1	6-1&nbsp;/&nbsp;1.85
0116	1	6-8&nbsp;/&nbsp;2.03
0117	1	6-7&nbsp;/&nbsp;2.01
0118	1	6-9&nbsp;/&nbsp;2.06
0119	1	6-3&nbsp;/&nbsp;1.91
0120	1	7-0&nbsp;/&nbsp;2.13
0121	1	6-7&nbsp;/&nbsp;2.01
0122	1	6-3&nbsp;/&nbsp;1.91
0123	1	6-3&nbsp;/&nbsp;1.91
0124	1	6-11&nbsp;/&nbsp;2.11
0125	1	6-9&nbsp;/&nbsp;2.06
0126	1	6-3&nbsp;/&nbsp;1.91
0127	1	6-10&nbsp;/&nbsp;2.08
0128	1	6-10&nbsp;/&nbsp;2.08
0129	1	6-6&nbsp;/&nbsp;1.98
0130	1	6-10&nbsp;/&nbsp;2.08
0131	1	6-9&nbsp;/&nbsp;2.06
0132	1	7-0&nbsp;/&nbsp;2.13
0133	1	6-8&nbsp;/&nbsp;2.03
0134	1	6-10&nbsp;/&nbsp;2.08
0135	1	6-3&nbsp;/&nbsp;1.91
0136	1	6-7&nbsp;/&nbsp;2.01
0137	1	6-11&nbsp;/&nbsp;2.11
0138	1	6-8&nbsp;/&nbsp;2.03
0139	1	6-9&nbsp;/&nbsp;2.06
0140	1	7-0&nbsp;/&nbsp;2.13
0141	1	6-3&nbsp;/&nbsp;1.91
0142	1	6-6&nbsp;/&nbsp;1.98
0143	1	6-11&nbsp;/&nbsp;2.11
0144	1	6-10&nbsp;/&nbsp;2.08
0145	1	6-9&nbsp;/&nbsp;2.06
0146	1	6-8&nbsp;/&nbsp;2.03
0147	1	6-0&nbsp;/&nbsp;1.83
0148	1	6-7&nbsp;/&nbsp;2.01
0149	1	6-6&nbsp;/&nbsp;1.98
0150	1	6-10&nbsp;/&nbsp;2.08
0151	1	6-11&nbsp;/&nbsp;2.11
0152	1	6-5&nbsp;/&nbsp;1.96
0153	1	6-0&nbsp;/&nbsp;1.83
0154	1	6-7&nbsp;/&nbsp;2.01
0155	1	7-0&nbsp;/&nbsp;2.13
0156	1	6-9&nbsp;/&nbsp;2.06
0157	1	6-9&nbsp;/&nbsp;2.06
0158	1	6-0&nbsp;/&nbsp;1.83
0159	1	6-4&nbsp;/&nbsp;1.93
0160	1	7-6&nbsp;/&nbsp;2.29
0161	1	6-11&nbsp;/&nbsp;2.11
0162	1	6-9&nbsp;/&nbsp;2.06
0163	1	6-8&nbsp;/&nbsp;2.03
0164	1	6-11&nbsp;/&nbsp;2.11
0165	1	6-8&nbsp;/&nbsp;2.03
0166	1	6-6&nbsp;/&nbsp;1.98
0167	1	6-3&nbsp;/&nbsp;1.91
0168	1	6-10&nbsp;/&nbsp;2.08
0169	1	6-5&nbsp;/&nbsp;1.96
0170	1	6-2&nbsp;/&nbsp;1.88
0171	1	6-0&nbsp;/&nbsp;1.83
0172	1	7-0&nbsp;/&nbsp;2.13
0173	1	7-1&nbsp;/&nbsp;2.16
0174	1	6-6&nbsp;/&nbsp;1.98
0175	1	6-5&nbsp;/&nbsp;1.96
0176	1	6-5&nbsp;/&nbsp;1.96
0177	1	6-2&nbsp;/&nbsp;1.88
0178	1	6-6&nbsp;/&nbsp;1.98
0179	1	6-9&nbsp;/&nbsp;2.06
0180	1	6-11&nbsp;/&nbsp;2.11
0181	1	6-11&nbsp;/&nbsp;2.11
0182	1	6-7&nbsp;/&nbsp;2.01
0183	1	6-11&nbsp;/&nbsp;2.11
0184	1	7-1&nbsp;/&nbsp;2.16
0185	1	6-10&nbsp;/&nbsp;2.08
0186	1	6-7&nbsp;/&nbsp;2.01
0187	1	5-9&nbsp;/&nbsp;1.75
0188	1	6-1&nbsp;/&nbsp;1.85
0189	1	6-5&nbsp;/&nbsp;1.96
0190	1	6-3&nbsp;/&nbsp;1.91
0191	1	6-0&nbsp;/&nbsp;1.83
0192	1	6-9&nbsp;/&nbsp;2.06
0193	1	6-0&nbsp;/&nbsp;1.83
0194	1	6-11&nbsp;/&nbsp;2.11
0195	1	6-8&nbsp;/&nbsp;2.03
0196	1	6-8&nbsp;/&nbsp;2.03
0197	1	6-9&nbsp;/&nbsp;2.06
0198	1	7-2&nbsp;/&nbsp;2.18
0199	1	6-6&nbsp;/&nbsp;1.98
0200	1	6-10&nbsp;/&nbsp;2.08
0201	1	6-10&nbsp;/&nbsp;2.08
0202	1	6-8&nbsp;/&nbsp;2.03
0203	1	6-2&nbsp;/&nbsp;1.88
0204	1	6-6&nbsp;/&nbsp;1.98
0205	1	6-5&nbsp;/&nbsp;1.96
0206	1	6-9&nbsp;/&nbsp;2.06
0207	1	6-11&nbsp;/&nbsp;2.11
0208	1	6-11&nbsp;/&nbsp;2.11
0209	1	6-6&nbsp;/&nbsp;1.98
0210	1	6-7&nbsp;/&nbsp;2.01
0211	1	6-11&nbsp;/&nbsp;2.11
0212	1	6-3&nbsp;/&nbsp;1.91
0213	1	6-9&nbsp;/&nbsp;2.06
0214	1	5-11&nbsp;/&nbsp;1.80
0215	1	6-9&nbsp;/&nbsp;2.06
0216	1	6-11&nbsp;/&nbsp;2.11
0217	1	6-3&nbsp;/&nbsp;1.91
0218	1	7-0&nbsp;/&nbsp;2.13
0219	1	6-9&nbsp;/&nbsp;2.06
0220	1	6-1&nbsp;/&nbsp;1.85
0221	1	6-7&nbsp;/&nbsp;2.01
0222	1	6-11&nbsp;/&nbsp;2.11
0223	1	6-9&nbsp;/&nbsp;2.06
0224	1	6-3&nbsp;/&nbsp;1.91
0225	1	6-4&nbsp;/&nbsp;1.93
0226	1	6-7&nbsp;/&nbsp;2.01
0227	1	6-3&nbsp;/&nbsp;1.91
0228	1	6-10&nbsp;/&nbsp;2.08
0229	1	6-11&nbsp;/&nbsp;2.11
0230	1	7-0&nbsp;/&nbsp;2.13
0231	1	6-7&nbsp;/&nbsp;2.01
0232	1	6-4&nbsp;/&nbsp;1.93
0233	1	6-6&nbsp;/&nbsp;1.98
0234	1	6-7&nbsp;/&nbsp;2.01
0235	1	6-10&nbsp;/&nbsp;2.08
0236	1	6-11&nbsp;/&nbsp;2.11
0237	1	6-6&nbsp;/&nbsp;1.98
0238	1	6-2&nbsp;/&nbsp;1.88
0239	1	6-7&nbsp;/&nbsp;2.01
0240	1	6-9&nbsp;/&nbsp;2.06
0241	1	6-4&nbsp;/&nbsp;1.93
0242	1	6-2&nbsp;/&nbsp;1.88
0243	1	6-2&nbsp;/&nbsp;1.88
0244	1	6-11&nbsp;/&nbsp;2.11
0245	1	6-5&nbsp;/&nbsp;1.96
0246	1	6-1&nbsp;/&nbsp;1.85
0247	1	6-7&nbsp;/&nbsp;2.01
0248	1	6-7&nbsp;/&nbsp;2.01
0249	1	6-3&nbsp;/&nbsp;1.91
0250	1	6-4&nbsp;/&nbsp;1.93
0251	1	6-6&nbsp;/&nbsp;1.98
0252	1	7-0&nbsp;/&nbsp;2.13
0253	1	6-9&nbsp;/&nbsp;2.06
0254	1	6-9&nbsp;/&nbsp;2.06
0255	1	7-0&nbsp;/&nbsp;2.13
0256	1	6-10&nbsp;/&nbsp;2.08
0257	1	6-10&nbsp;/&nbsp;2.08
0258	1	6-7&nbsp;/&nbsp;2.01
0259	1	6-8&nbsp;/&nbsp;2.03
0260	1	7-1&nbsp;/&nbsp;2.16
0261	1	6-3&nbsp;/&nbsp;1.91
0262	1	7-0&nbsp;/&nbsp;2.13
0263	1	6-3&nbsp;/&nbsp;1.91
0264	1	6-3&nbsp;/&nbsp;1.91
0265	1	6-10&nbsp;/&nbsp;2.08
0266	1	6-7&nbsp;/&nbsp;2.01
0267	1	6-8&nbsp;/&nbsp;2.03
0268	1	6-8&nbsp;/&nbsp;2.03
0269	1	6-9&nbsp;/&nbsp;2.06
0270	1	6-8&nbsp;/&nbsp;2.03
0271	1	6-10&nbsp;/&nbsp;2.08
0272	1	6-6&nbsp;/&nbsp;1.98
0273	1	6-8&nbsp;/&nbsp;2.03
0274	1	6-4&nbsp;/&nbsp;1.93
0275	1	6-9&nbsp;/&nbsp;2.06
0276	1	6-8&nbsp;/&nbsp;2.03
0277	1	6-1&nbsp;/&nbsp;1.85
0278	1	7-1&nbsp;/&nbsp;2.16
0279	1	6-8&nbsp;/&nbsp;2.03
0280	1	7-2&nbsp;/&nbsp;2.18
0281	1	6-6&nbsp;/&nbsp;1.98
0282	1	6-4&nbsp;/&nbsp;1.93
0283	1	6-9&nbsp;/&nbsp;2.06
0284	1	7-3&nbsp;/&nbsp;2.21
0285	1	6-6&nbsp;/&nbsp;1.98
0286	1	6-6&nbsp;/&nbsp;1.98
0287	1	6-5&nbsp;/&nbsp;1.96
0288	1	7-0&nbsp;/&nbsp;2.13
0289	1	6-9&nbsp;/&nbsp;2.06
0290	1	7-1&nbsp;/&nbsp;2.16
0291	1	6-8&nbsp;/&nbsp;2.03
0292	1	6-10&nbsp;/&nbsp;2.08
0293	1	6-9&nbsp;/&nbsp;2.06
0294	1	6-6&nbsp;/&nbsp;1.98
0295	1	6-8&nbsp;/&nbsp;2.03
0296	1	6-11&nbsp;/&nbsp;2.11
0297	1	6-2&nbsp;/&nbsp;1.88
0298	1	6-1&nbsp;/&nbsp;1.85
0299	1	6-3&nbsp;/&nbsp;1.91
0300	1	6-9&nbsp;/&nbsp;2.06
0301	1	6-2&nbsp;/&nbsp;1.88
0302	1	6-11&nbsp;/&nbsp;2.11
0303	1	6-2&nbsp;/&nbsp;1.88
0304	1	6-11&nbsp;/&nbsp;2.11
0305	1	6-8&nbsp;/&nbsp;2.03
0306	1	6-1&nbsp;/&nbsp;1.85
0307	1	6-9&nbsp;/&nbsp;2.06
0308	1	7-3&nbsp;/&nbsp;2.21
0309	1	6-8&nbsp;/&nbsp;2.03
0310	1	6-8&nbsp;/&nbsp;2.03
0311	1	6-11&nbsp;/&nbsp;2.11
0312	1	6-8&nbsp;/&nbsp;2.03
0313	1	6-11&nbsp;/&nbsp;2.11
0314	1	6-4&nbsp;/&nbsp;1.93
0315	1	6-7&nbsp;/&nbsp;2.01
0316	1	6-4&nbsp;/&nbsp;1.93
0317	1	6-11&nbsp;/&nbsp;2.11
0318	1	6-11&nbsp;/&nbsp;2.11
0319	1	6-8&nbsp;/&nbsp;2.03
0320	1	6-6&nbsp;/&nbsp;1.98
0321	1	6-4&nbsp;/&nbsp;1.93
0322	1	6-7&nbsp;/&nbsp;2.01
0323	1	7-0&nbsp;/&nbsp;2.13
0324	1	7-0&nbsp;/&nbsp;2.13
0325	1	6-9&nbsp;/&nbsp;2.06
0326	1	6-8&nbsp;/&nbsp;2.03
0327	1	6-4&nbsp;/&nbsp;1.93
0328	1	7-0&nbsp;/&nbsp;2.13
0329	1	6-7&nbsp;/&nbsp;2.01
0330	1	6-10&nbsp;/&nbsp;2.08
0331	1	6-9&nbsp;/&nbsp;2.06
0332	1	6-4&nbsp;/&nbsp;1.93
0333	1	6-0&nbsp;/&nbsp;1.83
0334	1	6-1&nbsp;/&nbsp;1.85
0335	1	6-6&nbsp;/&nbsp;1.98
0336	1	6-7&nbsp;/&nbsp;2.01
0337	1	7-0&nbsp;/&nbsp;2.13
0338	1	6-10&nbsp;/&nbsp;2.08
0339	1	7-0&nbsp;/&nbsp;2.13
0340	1	6-11&nbsp;/&nbsp;2.11
0341	1	6-2&nbsp;/&nbsp;1.88
0342	1	6-0&nbsp;/&nbsp;1.83
0343	1	6-9&nbsp;/&nbsp;2.06
0344	1	6-7&nbsp;/&nbsp;2.01
0345	1	6-0&nbsp;/&nbsp;1.83
0346	1	6-8&nbsp;/&nbsp;2.03
0347	1	6-11&nbsp;/&nbsp;2.11
0348	1	6-6&nbsp;/&nbsp;1.98
0349	1	5-11&nbsp;/&nbsp;1.80
0350	1	6-8&nbsp;/&nbsp;2.03
0351	1	7-0&nbsp;/&nbsp;2.13
0352	1	6-4&nbsp;/&nbsp;1.93
0353	1	6-8&nbsp;/&nbsp;2.03
0354	1	6-7&nbsp;/&nbsp;2.01
0355	1	6-9&nbsp;/&nbsp;2.06
0356	1	6-10&nbsp;/&nbsp;2.08
0357	1	6-8&nbsp;/&nbsp;2.03
0358	1	6-10&nbsp;/&nbsp;2.08
0359	1	6-7&nbsp;/&nbsp;2.01
0360	1	6-2&nbsp;/&nbsp;1.88
0361	1	6-10&nbsp;/&nbsp;2.08
0362	1	6-6&nbsp;/&nbsp;1.98
0363	1	6-3&nbsp;/&nbsp;1.91
0364	1	6-9&nbsp;/&nbsp;2.06
0365	1	6-7&nbsp;/&nbsp;2.01
0366	1	7-0&nbsp;/&nbsp;2.13
0367	1	6-5&nbsp;/&nbsp;1.96
0368	1	6-11&nbsp;/&nbsp;2.11
0369	1	6-9&nbsp;/&nbsp;2.06
0370	1	7-0&nbsp;/&nbsp;2.13
0371	1	6-6&nbsp;/&nbsp;1.98
0372	1	6-10&nbsp;/&nbsp;2.08
0373	1	6-3&nbsp;/&nbsp;1.91
0374	1	6-6&nbsp;/&nbsp;1.98
0375	1	7-0&nbsp;/&nbsp;2.13
0376	1	6-5&nbsp;/&nbsp;1.96
0377	1	6-9&nbsp;/&nbsp;2.06
0378	1	6-7&nbsp;/&nbsp;2.01
0379	1	6-9&nbsp;/&nbsp;2.06
0380	1	6-9&nbsp;/&nbsp;2.06
0381	1	6-9&nbsp;/&nbsp;2.06
0382	1	6-7&nbsp;/&nbsp;2.01
0383	1	5-11&nbsp;/&nbsp;1.80
0384	1	6-11&nbsp;/&nbsp;2.11
0385	1	6-3&nbsp;/&nbsp;1.91
0386	1	6-9&nbsp;/&nbsp;2.06
0387	1	6-9&nbsp;/&nbsp;2.06
0388	1	6-2&nbsp;/&nbsp;1.88
0389	1	6-11&nbsp;/&nbsp;2.11
0390	1	6-8&nbsp;/&nbsp;2.03
0391	1	6-2&nbsp;/&nbsp;1.88
0392	1	6-5&nbsp;/&nbsp;1.96
0393	1	7-0&nbsp;/&nbsp;2.13
0394	1	6-3&nbsp;/&nbsp;1.91
0395	1	7-0&nbsp;/&nbsp;2.13
0396	1	6-3&nbsp;/&nbsp;1.91
0397	1	6-9&nbsp;/&nbsp;2.06
0398	1	6-10&nbsp;/&nbsp;2.08
0399	1	6-0&nbsp;/&nbsp;1.83
0400	1	6-6&nbsp;/&nbsp;1.98
0401	1	7-0&nbsp;/&nbsp;2.13
0402	1	6-4&nbsp;/&nbsp;1.93
0403	1	6-9&nbsp;/&nbsp;2.06
0404	1	6-5&nbsp;/&nbsp;1.96
0405	1	6-2&nbsp;/&nbsp;1.88
0406	1	6-7&nbsp;/&nbsp;2.01
0407	1	6-5&nbsp;/&nbsp;1.96
0408	1	6-9&nbsp;/&nbsp;2.06
0409	1	7-0&nbsp;/&nbsp;2.13
0410	1	6-9&nbsp;/&nbsp;2.06
0411	1	6-8&nbsp;/&nbsp;2.03
0412	1	6-6&nbsp;/&nbsp;1.98
0413	1	6-8&nbsp;/&nbsp;2.03
0414	1	6-9&nbsp;/&nbsp;2.06
0415	1	6-3&nbsp;/&nbsp;1.91
0416	1	6-11&nbsp;/&nbsp;2.11
0417	1	6-9&nbsp;/&nbsp;2.06
0418	1	6-1&nbsp;/&nbsp;1.85
0419	1	6-5&nbsp;/&nbsp;1.96
0420	1	6-8&nbsp;/&nbsp;2.03
0421	1	7-0&nbsp;/&nbsp;2.13
0422	1	6-2&nbsp;/&nbsp;1.88
0423	1	6-1&nbsp;/&nbsp;1.85
0424	1	6-7&nbsp;/&nbsp;2.01
0425	1	6-10&nbsp;/&nbsp;2.08
0426	1	6-5&nbsp;/&nbsp;1.96
0427	1	7-1&nbsp;/&nbsp;2.16
0428	1	6-11&nbsp;/&nbsp;2.11
0429	1	6-4&nbsp;/&nbsp;1.93
0430	1	6-10&nbsp;/&nbsp;2.08
0431	1	6-10&nbsp;/&nbsp;2.08
0432	1	6-6&nbsp;/&nbsp;1.98
0433	1	6-9&nbsp;/&nbsp;2.06
