nbaplayer	slam	height
0106	1	6'3"
0107	1	6'2"
0108	1	6'10"
0109	1	6'7"
0110	1	6'9"
0111	1	5'11"
0112	1	6'9"
0113	1	6'11"
0114	1	6'6"
0115	1	6'9"
0116	1	6'10"
0117	1	6'9"
0118	1	6'4"
0119	1	6'1"
0120	1	6'6"
0121	1	6'7"
0122	1	7'0"
0123	1	6'10"
0124	1	7'0"
0125	1	6'11"
0126	1	6'2"
0127	1	6'0"
0128	1	6'9"
0129	1	6'7"
0130	1	6'10"
0131	1	6'5"
0132	1	6'9"
0133	1	6'9"
0134	1	6'5"
0135	1	6'10"
0136	1	6'4"
0137	1	7'0"
0138	1	6'3"
0139	1	7'0"
0140	1	6'7"
0141	1	6'7"
0142	1	6'3"
0143	1	6'9"
0144	1	6'11"
0145	1	6'9"
0146	1	6'8"
0147	1	6'11"
0148	1	6'8"
0149	1	6'6"
0150	1	6'3"
0151	1	6'10"
0152	1	6'5"
0153	1	6'2"
0154	1	6'0"
0155	1	7'0"
0156	1	7'1"
0157	1	6'6"
0158	1	6'5"
0159	1	6'5"
0160	1	7'0"
0161	1	6'9"
0162	1	7'1"
0163	1	6'8"
0164	1	6'10"
0165	1	6'9"
0166	1	6'6"
0167	1	6'8"
0168	1	6'11"
0169	1	6'2"
0170	1	6'1"
0171	1	6'3"
0172	1	6'5"
0173	1	6'8"
0174	1	7'0"
0175	1	6'2"
0176	1	6'1"
0177	1	6'7"
0178	1	6'10"
0179	1	6'5"
0180	1	7'1"
0181	1	6'11"
0182	1	6'4"
0183	1	6'10"
0184	1	6'10"
0185	1	6'6"
0186	1	6'9"
0187	1	6'7"
0188	1	6'9"
0189	1	6'3"
0190	1	6'11"
0191	1	6'7"
0192	1	6'3"
0193	1	6'3"
0194	1	6'11"
0195	1	6'9"
0196	1	6'3"
0197	1	6'10"
0198	1	6'10"
0199	1	6'6"
0200	1	6'10"
0201	1	6'9"
0202	1	6'9"
0203	1	6'1"
0204	1	6'7"
0205	1	6'11"
0206	1	6'9"
0207	1	6'3"
0208	1	6'4"
0209	1	6'7"
0210	1	6'3"
0211	1	6'10"
0212	1	6'11"
0213	1	7'0"
0214	1	6'7"
0215	1	6'4"
0216	1	6'7"
0217	1	6'7"
0218	1	6'3"
0219	1	6'4"
0220	1	6'6"
0221	1	7'0"
0222	1	6'9"
0223	1	6'9"
0224	1	6'1"
0225	1	7'0"
0226	1	6'10"
0227	1	6'10"
0228	1	6'7"
0229	1	6'8"
0230	1	7'0"
0231	1	6'8"
0232	1	6'10"
0233	1	6'3"
0234	1	6'7"
0235	1	6'11"
0236	1	6'8"
0237	1	7'0"
0238	1	6'3"
0239	1	6'6"
0240	1	6'11"
0241	1	6'10"
0242	1	6'9"
0243	1	6'9"
0244	1	6'11"
0245	1	6'11"
0246	1	6'6"
0247	1	6'7"
0248	1	6'11"
0249	1	6'3"
0250	1	6'9"
0251	1	5'11"
0252	1	6'9"
0253	1	6'11"
0254	1	6'3"
0255	1	7'0"
0256	1	7'0"
0257	1	6'0"
0258	1	6'7"
0259	1	6'8"
0260	1	7'1"
0261	1	7'0"
0262	1	6'4"
0263	1	6'11"
0264	1	6'7"
0265	1	6'10"
0266	1	7'0"
0267	1	6'5"
0268	1	6'2"
0269	1	6'8"
0270	1	6'0"
0271	1	6'7"
0272	1	6'6"
0273	1	6'10"
0274	1	6'11"
0275	1	6'5"
0276	1	6'0"
0277	1	6'7"
0278	1	7'0"
0279	1	7'6"
0280	1	6'9"
0281	1	6'0"
0282	1	6'4"
0283	1	6'4"
0284	1	6'9"
0285	1	6'7"
0286	1	6'1"
0287	1	7'1"
0288	1	6'8"
0289	1	7'2"
0290	1	6'6"
0291	1	6'4"
0292	1	6'9"
0293	1	7'3"
0294	1	6'6"
0295	1	6'6"
0296	1	6'11"
0297	1	6'8"
0298	1	6'2"
0299	1	6'5"
0300	1	7'0"
0301	1	6'3"
0302	1	7'0"
0303	1	6'3"
0304	1	6'9"
0305	1	6'10"
0306	1	6'0"
0307	1	6'6"
0308	1	7'0"
0309	1	6'4"
0310	1	6'9"
0311	1	6'6"
0312	1	6'7"
0313	1	6'10"
0314	1	6'11"
0315	1	6'6"
0316	1	6'2"
0317	1	6'7"
0318	1	6'9"
0319	1	6'4"
0320	1	6'2"
0321	1	6'2"
0322	1	6'11"
0323	1	6'5"
0324	1	6'11"
0325	1	6'9"
0326	1	7'1"
0327	1	6'4"
0328	1	6'6"
0329	1	6'8"
0330	1	6'4"
0331	1	6'7"
0332	1	6'9"
0333	1	6'10"
0334	1	6'7"
0335	1	6'1"
0336	1	6'8"
0337	1	6'3"
0338	1	7'0"
0339	1	6'3"
0340	1	6'3"
0341	1	6'10"
0342	1	6'7"
0343	1	6'8"
0344	1	6'8"
0345	1	6'9"
0346	1	6'8"
0347	1	6'10"
0348	1	6'6"
0349	1	6'8"
0350	1	7'0"
0351	1	6'5"
0352	1	6'9"
0353	1	6'7"
0354	1	6'9"
0355	1	6'9"
0356	1	6'9"
0357	1	6'7"
0358	1	5'11"
0359	1	6'11"
0360	1	6'3"
0361	1	6'9"
0362	1	6'9"
0363	1	6'2"
0364	1	6'2"
0365	1	6'7"
0366	1	6'5"
0367	1	6'9"
0368	1	7'0"
0369	1	6'9"
0370	1	6'8"
0371	1	6'6"
0372	1	6'8"
0373	1	6'9"
0374	1	6'3"
0375	1	6'11"
0376	1	6'9"
0377	1	6'1"
0378	1	6'0"
0379	1	6'11"
0380	1	6'3"
0381	1	6'7"
0382	1	6'10"
0383	1	6'7"
0384	1	6'8"
0385	1	6'11"
0386	1	6'9"
0387	1	6'5"
0388	1	6'8"
0389	1	6'11"
0390	1	6'9"
0391	1	6'5"
0392	1	6'10"
0393	1	6'0"
0394	1	6'9"
0395	1	6'0"
0396	1	6'11"
0397	1	6'8"
0398	1	6'8"
0399	1	6'9"
0400	1	7'2"
0401	1	6'6"
0402	1	6'10"
0403	1	6'10"
0404	1	6'8"
0405	1	6'2"
0406	1	6'6"
0407	1	6'5"
0408	1	7'0"
0409	1	5'5"
0410	1	6'7"
0411	1	6'6"
0412	1	6'3"
0413	1	6'7"
0414	1	6'10"
0415	1	6'10"
0416	1	6'1"
0417	1	6'6"
0418	1	6'8"
0419	1	6'6"
0420	1	6'6"
0421	1	6'11"
0422	1	6'9"
