nbaplayer	fanhouse	height
0142	1	6' 10"
0143	1	6' 10"
0144	1	6' 6"
0145	1	6' 10"
0146	1	6' 9"
0147	1	6' 8"
0148	1	6' 0"
0149	1	6' 7"
0150	1	6' 6"
0151	1	6' 10"
0152	1	6' 11"
0153	1	6' 5"
0154	1	6' 0"
0155	1	6' 7"
0156	1	7' 0"
0157	1	7' 6"
0158	1	6' 9"
0159	1	6' 9"
0160	1	6' 0"
0161	1	6' 4"
0162	1	6' 9"
0163	1	6' 1"
0164	1	6' 7"
0165	1	6' 11"
0166	1	6' 9"
0167	1	6' 3"
0168	1	6' 4"
0169	1	6' 7"
0170	1	6' 3"
0171	1	6' 10"
0172	1	6' 11"
0173	1	7' 0"
0174	1	6' 7"
0175	1	6' 4"
0176	1	6' 0"
0177	1	6' 8"
0178	1	6' 11"
0179	1	6' 6"
0180	1	5' 11"
0181	1	6' 8"
0182	1	7' 0"
0183	1	6' 5"
0184	1	6' 8"
0185	1	6' 7"
0186	1	6' 9"
0187	1	6' 10"
0188	1	6' 8"
0189	1	6' 10"
0190	1	6' 7"
0191	1	6' 7"
0192	1	6' 7"
0193	1	6' 3"
0194	1	6' 4"
0195	1	6' 6"
0196	1	7' 0"
0197	1	6' 9"
0198	1	6' 9"
0199	1	6' 1"
0200	1	7' 0"
0201	1	6' 10"
0202	1	6' 10"
0203	1	6' 7"
0204	1	6' 8"
0205	1	6' 4"
0206	1	6' 9"
0207	1	6' 8"
0208	1	6' 1"
0209	1	7' 1"
0210	1	6' 8"
0211	1	7' 2"
0212	1	6' 6"
0213	1	6' 3"
0214	1	6' 4"
0215	1	6' 9"
0216	1	7' 3"
0217	1	6' 6"
0218	1	6' 6"
0219	1	6' 5"
0220	1	6' 10"
0221	1	6' 9"
0222	1	6' 4"
0223	1	6' 0"
0224	1	6' 1"
0225	1	6' 6"
0226	1	6' 7"
0227	1	7' 0"
0228	1	6' 10"
0229	1	7' 0"
0230	1	6' 11"
0231	1	6' 2"
0232	1	6' 0"
0233	1	6' 9"
0234	1	6' 7"
0235	1	6' 8"
0236	1	6' 11"
0237	1	6' 8"
0238	1	6' 2"
0239	1	6' 5"
0240	1	7' 0"
0241	1	6' 3"
0242	1	6' 3"
0243	1	7' 0"
0244	1	6' 9"
0245	1	6' 10"
0246	1	6' 0"
0247	1	6' 6"
0248	1	7' 0"
0249	1	6' 4"
0250	1	6' 9"
0251	1	6' 11"
0252	1	6' 10"
0253	1	6' 5"
0254	1	6' 9"
0255	1	6' 9"
0256	1	6' 5"
0257	1	6' 10"
0258	1	6' 4"
0259	1	7' 0"
0260	1	6' 3"
0261	1	7' 0"
0262	1	6' 7"
0263	1	6' 7"
0264	1	6' 3"
0265	1	6' 9"
0266	1	7' 0"
0267	1	6' 8"
0268	1	6' 10"
0269	1	6' 3"
0270	1	6' 7"
0271	1	6' 11"
0272	1	6' 8"
0273	1	6' 4"
0274	1	6' 9"
0275	1	7' 0"
0276	1	6' 3"
0277	1	6' 6"
0278	1	6' 11"
0279	1	6' 10"
0280	1	6' 9"
0281	1	6' 11"
0282	1	6' 9"
0283	1	6' 8"
0284	1	6' 11"
0285	1	6' 8"
0286	1	6' 6"
0287	1	6' 3"
0288	1	6' 10"
0289	1	6' 5"
0290	1	6' 2"
0291	1	6' 0"
0292	1	6' 10"
0293	1	7' 0"
0294	1	7' 1"
0295	1	6' 6"
0296	1	6' 5"
0297	1	6' 9"
0298	1	6' 11"
0299	1	6' 11"
0300	1	6' 6"
0301	1	6' 7"
0302	1	6' 11"
0303	1	6' 3"
0304	1	6' 9"
0305	1	5' 11"
0306	1	6' 9"
0307	1	6' 11"
0308	1	6' 3"
0309	1	7' 0"
0310	1	6' 7"
0311	1	6' 6"
0312	1	6' 8"
0313	1	6' 10"
0314	1	6' 11"
0315	1	6' 6"
0316	1	6' 6"
0317	1	6' 2"
0318	1	6' 7"
0319	1	6' 9"
0320	1	6' 4"
0321	1	6' 2"
0322	1	6' 2"
0323	1	6' 6"
0324	1	6' 11"
0325	1	6' 6"
0326	1	6' 6"
0327	1	6' 5"
0328	1	7' 0"
0329	1	6' 9"
0330	1	7' 1"
0331	1	6' 9"
0332	1	6' 10"
0333	1	6' 9"
0334	1	6' 6"
0335	1	6' 8"
0336	1	6' 11"
0337	1	6' 2"
0338	1	6' 1"
0339	1	6' 3"
0340	1	7' 0"
0341	1	6' 5"
0342	1	6' 9"
0343	1	6' 7"
0344	1	6' 9"
0345	1	6' 9"
0346	1	6' 9"
0347	1	6' 7"
0348	1	5' 11"
0349	1	6' 11"
0350	1	6' 3"
0351	1	6' 9"
0352	1	6' 9"
0353	1	6' 2"
0354	1	6' 5"
0355	1	6' 2"
0356	1	6' 7"
0357	1	6' 5"
0358	1	6' 9"
0359	1	7' 0"
0360	1	6' 9"
0361	1	6' 8"
0362	1	6' 6"
0363	1	6' 8"
0364	1	6' 9"
0365	1	6' 3"
0366	1	6' 11"
0367	1	6' 1"
0368	1	6' 9"
0369	1	6' 0"
0370	1	6' 11"
0371	1	6' 3"
0372	1	6' 7"
0373	1	6' 10"
0374	1	6' 7"
0375	1	6' 8"
0376	1	6' 11"
0377	1	6' 9"
0378	1	6' 5"
0379	1	6' 8"
0380	1	6' 11"
0381	1	6' 9"
0382	1	6' 5"
0383	1	6' 10"
0384	1	6' 0"
0385	1	6' 9"
0386	1	6' 0"
0387	1	6' 11"
0388	1	6' 8"
0389	1	6' 9"
0390	1	6' 9"
0391	1	7' 2"
0392	1	6' 10"
0393	1	6' 6"
0394	1	6' 10"
0395	1	6' 8"
0396	1	6' 2"
0397	1	6' 6"
0398	1	6' 5"
0399	1	6' 9"
0400	1	6' 2"
0401	1	6' 10"
0402	1	6' 1"
0403	1	6' 11"
0404	1	6' 8"
0405	1	6' 1"
0406	1	6' 9"
0407	1	7' 3"
0408	1	6' 8"
0409	1	6' 8"
0410	1	6' 11"
0411	1	6' 8"
0412	1	6' 11"
0413	1	6' 6"
0414	1	6' 4"
0415	1	7' 0"
0416	1	5' 5"
0417	1	6' 7"
0418	1	6' 6"
0419	1	6' 3"
0420	1	6' 7"
0421	1	6' 10"
0422	1	6' 7"
0423	1	6' 9"
0424	1	6' 1"
0425	1	6' 6"
0426	1	6' 8"
0427	1	6' 6"
0428	1	6' 6"
0429	1	6' 11"
0430	1	6' 9"
0431	1	6' 2"
0432	1	6' 10"
0433	1	6' 6"
0434	1	6' 3"
0435	1	6' 9"
0436	1	6' 7"
0437	1	7' 0"
0438	1	6' 5"
0439	1	6' 11"
0440	1	6' 9"
0441	1	7' 0"
0442	1	6' 6"
0443	1	6' 10"
0444	1	6' 3"
0445	1	6' 6"
