nbaplayer	foxsports	height
0143	1	6' 11"&nbsp;&nbsp;
0144	1	6' 9"&nbsp;&nbsp;
0145	1	6' 5"&nbsp;&nbsp;
0146	1	6' 2"&nbsp;&nbsp;
0147	1	6' 6"&nbsp;&nbsp;
0148	1	6' 9"&nbsp;&nbsp;
0149	1	7' 0"&nbsp;&nbsp;
0150	1	6' 11"&nbsp;&nbsp;
0151	1	6' 8"&nbsp;&nbsp;
0152	1	6' 11"&nbsp;&nbsp;
0153	1	7' 1"&nbsp;&nbsp;
0154	1	6' 10"&nbsp;&nbsp;
0155	1	6' 7"&nbsp;&nbsp;
0156	1	5' 9"&nbsp;&nbsp;
0157	1	6' 1"&nbsp;&nbsp;
0158	1	6' 5"&nbsp;&nbsp;
0159	1	6' 3"&nbsp;&nbsp;
0160	1	6' 2"&nbsp;&nbsp;
0161	1	6' 10"&nbsp;&nbsp;
0162	1	6' 6"&nbsp;&nbsp;
0163	1	6' 3"&nbsp;&nbsp;
0164	1	6' 9"&nbsp;&nbsp;
0165	1	6' 7"&nbsp;&nbsp;
0166	1	7' 0"&nbsp;&nbsp;
0167	1	6' 5"&nbsp;&nbsp;
0168	1	6' 11"&nbsp;&nbsp;
0169	1	6' 9"&nbsp;&nbsp;
0170	1	7' 0"&nbsp;&nbsp;
0171	1	6' 6"&nbsp;&nbsp;
0172	1	6' 10"&nbsp;&nbsp;
0173	1	6' 3"&nbsp;&nbsp;
0174	1	6' 6"&nbsp;&nbsp;
0175	1	6' 5"&nbsp;&nbsp;
0176	1	6' 8"&nbsp;&nbsp;
0177	1	7' 0"&nbsp;&nbsp;
0178	1	6' 2"&nbsp;&nbsp;
0179	1	6' 1"&nbsp;&nbsp;
0180	1	6' 7"&nbsp;&nbsp;
0181	1	6' 10"&nbsp;&nbsp;
0182	1	6' 5"&nbsp;&nbsp;
0183	1	7' 1"&nbsp;&nbsp;
0184	1	6' 11"&nbsp;&nbsp;
0185	1	6' 4"&nbsp;&nbsp;
0186	1	6' 10"&nbsp;&nbsp;
0187	1	6' 10"&nbsp;&nbsp;
0188	1	6' 6"&nbsp;&nbsp;
0189	1	6' 9"&nbsp;&nbsp;
0190	1	6' 11"&nbsp;&nbsp;
0191	1	6' 10"&nbsp;&nbsp;
0192	1	6' 9"&nbsp;&nbsp;
0193	1	7' 1"&nbsp;&nbsp;
0194	1	6' 4"&nbsp;&nbsp;
0195	1	6' 6"&nbsp;&nbsp;
0196	1	6' 8"&nbsp;&nbsp;
0197	1	6' 4"&nbsp;&nbsp;
0198	1	6' 7"&nbsp;&nbsp;
0199	1	6' 9"&nbsp;&nbsp;
0200	1	6' 10"&nbsp;&nbsp;
0201	1	6' 7"&nbsp;&nbsp;
0202	1	6' 1"&nbsp;&nbsp;
0203	1	6' 8"&nbsp;&nbsp;
0204	1	7' 1"&nbsp;&nbsp;
0205	1	6' 3"&nbsp;&nbsp;
0206	1	7' 0"&nbsp;&nbsp;
0207	1	6' 3"&nbsp;&nbsp;
0208	1	6' 3"&nbsp;&nbsp;
0209	1	6' 10"&nbsp;&nbsp;
0210	1	6' 7"&nbsp;&nbsp;
0211	1	6' 8"&nbsp;&nbsp;
0212	1	6' 8"&nbsp;&nbsp;
0213	1	6' 9"&nbsp;&nbsp;
0214	1	6' 8"&nbsp;&nbsp;
0215	1	6' 10"&nbsp;&nbsp;
0216	1	6' 6"&nbsp;&nbsp;
0217	1	6' 8"&nbsp;&nbsp;
0218	1	6' 7"&nbsp;&nbsp;
0219	1	6' 9"&nbsp;&nbsp;
0220	1	6' 3"&nbsp;&nbsp;
0221	1	7' 0"&nbsp;&nbsp;
0222	1	6' 7"&nbsp;&nbsp;
0223	1	6' 3"&nbsp;&nbsp;
0224	1	6' 3"&nbsp;&nbsp;
0225	1	6' 11"&nbsp;&nbsp;
0226	1	6' 9"&nbsp;&nbsp;
0227	1	6' 3"&nbsp;&nbsp;
0228	1	6' 10"&nbsp;&nbsp;
0229	1	6' 10"&nbsp;&nbsp;
0230	1	6' 10"&nbsp;&nbsp;
0231	1	6' 9"&nbsp;&nbsp;
0232	1	6' 9"&nbsp;&nbsp;
0233	1	6' 1"&nbsp;&nbsp;
0234	1	6' 7"&nbsp;&nbsp;
0235	1	6' 11"&nbsp;&nbsp;
0236	1	6' 9"&nbsp;&nbsp;
0237	1	6' 3"&nbsp;&nbsp;
0238	1	6' 4"&nbsp;&nbsp;
0239	1	6' 7"&nbsp;&nbsp;
0240	1	6' 3"&nbsp;&nbsp;
0241	1	6' 10"&nbsp;&nbsp;
0242	1	6' 11"&nbsp;&nbsp;
0243	1	7' 0"&nbsp;&nbsp;
0244	1	6' 7"&nbsp;&nbsp;
0245	1	6' 4"&nbsp;&nbsp;
0246	1	6' 7"&nbsp;&nbsp;
0247	1	6' 7"&nbsp;&nbsp;
0248	1	6' 3"&nbsp;&nbsp;
0249	1	6' 4"&nbsp;&nbsp;
0250	1	6' 6"&nbsp;&nbsp;
0251	1	7' 0"&nbsp;&nbsp;
0252	1	6' 9"&nbsp;&nbsp;
0253	1	6' 9"&nbsp;&nbsp;
0254	1	6' 1"&nbsp;&nbsp;
0255	1	7' 0"&nbsp;&nbsp;
0256	1	6' 10"&nbsp;&nbsp;
0257	1	6' 10"&nbsp;&nbsp;
0258	1	6' 7"&nbsp;&nbsp;
0259	1	6' 8"&nbsp;&nbsp;
0260	1	7' 0"&nbsp;&nbsp;
0261	1	6' 10"&nbsp;&nbsp;
0262	1	6' 3"&nbsp;&nbsp;
0263	1	6' 7"&nbsp;&nbsp;
0264	1	6' 11"&nbsp;&nbsp;
0265	1	6' 8"&nbsp;&nbsp;
0266	1	6' 9"&nbsp;&nbsp;
0267	1	7' 0"&nbsp;&nbsp;
0268	1	6' 3"&nbsp;&nbsp;
0269	1	6' 6"&nbsp;&nbsp;
0270	1	6' 10"&nbsp;&nbsp;
0271	1	6' 9"&nbsp;&nbsp;
0272	1	6' 9"&nbsp;&nbsp;
0273	1	6' 11"&nbsp;&nbsp;
0274	1	6' 11"&nbsp;&nbsp;
0275	1	6' 6"&nbsp;&nbsp;
0276	1	6' 7"&nbsp;&nbsp;
0277	1	6' 11"&nbsp;&nbsp;
0278	1	6' 3"&nbsp;&nbsp;
0279	1	6' 9"&nbsp;&nbsp;
0280	1	5' 11"&nbsp;&nbsp;
0281	1	6' 9"&nbsp;&nbsp;
0282	1	6' 11"&nbsp;&nbsp;
0283	1	6' 3"&nbsp;&nbsp;
0284	1	7' 0"&nbsp;&nbsp;
0285	1	6' 5"&nbsp;&nbsp;
0286	1	6' 10"&nbsp;&nbsp;
0287	1	6' 8"&nbsp;&nbsp;
0288	1	6' 8"&nbsp;&nbsp;
0289	1	6' 3"&nbsp;&nbsp;
0290	1	6' 2"&nbsp;&nbsp;
0291	1	6' 10"&nbsp;&nbsp;
0292	1	6' 7"&nbsp;&nbsp;
0293	1	6' 9"&nbsp;&nbsp;
0294	1	6' 11"&nbsp;&nbsp;
0295	1	5' 11"&nbsp;&nbsp;
0296	1	6' 9"&nbsp;&nbsp;
0297	1	6' 6"&nbsp;&nbsp;
0298	1	6' 9"&nbsp;&nbsp;
0299	1	6' 10"&nbsp;&nbsp;
0300	1	6' 9"&nbsp;&nbsp;
0301	1	6' 4"&nbsp;&nbsp;
0302	1	6' 0"&nbsp;&nbsp;
0303	1	6' 6"&nbsp;&nbsp;
0304	1	6' 7"&nbsp;&nbsp;
0305	1	7' 0"&nbsp;&nbsp;
0306	1	6' 10"&nbsp;&nbsp;
0307	1	7' 0"&nbsp;&nbsp;
0308	1	6' 11"&nbsp;&nbsp;
0309	1	6' 2"&nbsp;&nbsp;
0310	1	6' 0"&nbsp;&nbsp;
0311	1	6' 9"&nbsp;&nbsp;
0312	1	6' 7"&nbsp;&nbsp;
0313	1	6' 11"&nbsp;&nbsp;
0314	1	6' 9"&nbsp;&nbsp;
0315	1	6' 8"&nbsp;&nbsp;
0316	1	6' 11"&nbsp;&nbsp;
0317	1	6' 8"&nbsp;&nbsp;
0318	1	6' 6"&nbsp;&nbsp;
0319	1	6' 3"&nbsp;&nbsp;
0320	1	6' 10"&nbsp;&nbsp;
0321	1	6' 5"&nbsp;&nbsp;
0322	1	6' 2"&nbsp;&nbsp;
0323	1	6' 0"&nbsp;&nbsp;
0324	1	7' 0"&nbsp;&nbsp;
0325	1	7' 1"&nbsp;&nbsp;
0326	1	6' 6"&nbsp;&nbsp;
0327	1	6' 5"&nbsp;&nbsp;
0328	1	6' 11"&nbsp;&nbsp;
0329	1	6' 10"&nbsp;&nbsp;
0330	1	6' 5"&nbsp;&nbsp;
0331	1	6' 9"&nbsp;&nbsp;
0332	1	6' 9"&nbsp;&nbsp;
0333	1	6' 5"&nbsp;&nbsp;
0334	1	6' 10"&nbsp;&nbsp;
0335	1	6' 4"&nbsp;&nbsp;
0336	1	7' 0"&nbsp;&nbsp;
0337	1	6' 3"&nbsp;&nbsp;
0338	1	7' 0"&nbsp;&nbsp;
0339	1	6' 7"&nbsp;&nbsp;
0340	1	6' 7"&nbsp;&nbsp;
0341	1	6' 3"&nbsp;&nbsp;
0342	1	6' 9"&nbsp;&nbsp;
0343	1	6' 5"&nbsp;&nbsp;
0344	1	7' 0"&nbsp;&nbsp;
0345	1	6' 9"&nbsp;&nbsp;
0346	1	7' 1"&nbsp;&nbsp;
0347	1	6' 9"&nbsp;&nbsp;
0348	1	6' 10"&nbsp;&nbsp;
0349	1	6' 9"&nbsp;&nbsp;
0350	1	6' 6"&nbsp;&nbsp;
0351	1	6' 8"&nbsp;&nbsp;
0352	1	6' 11"&nbsp;&nbsp;
0353	1	6' 2"&nbsp;&nbsp;
0354	1	6' 1"&nbsp;&nbsp;
0355	1	6' 3"&nbsp;&nbsp;
0356	1	7' 0"&nbsp;&nbsp;
0357	1	6' 0"&nbsp;&nbsp;
0358	1	6' 2"&nbsp;&nbsp;
0359	1	6' 7"&nbsp;&nbsp;
0360	1	6' 8"&nbsp;&nbsp;
0361	1	7' 1"&nbsp;&nbsp;
0362	1	7' 0"&nbsp;&nbsp;
0363	1	6' 4"&nbsp;&nbsp;
0364	1	6' 4"&nbsp;&nbsp;
0365	1	6' 11"&nbsp;&nbsp;
0366	1	6' 7"&nbsp;&nbsp;
0367	1	6' 10"&nbsp;&nbsp;
0368	1	7' 0"&nbsp;&nbsp;
0369	1	6' 5"&nbsp;&nbsp;
0370	1	6' 2"&nbsp;&nbsp;
0371	1	6' 8"&nbsp;&nbsp;
0372	1	6' 0"&nbsp;&nbsp;
0373	1	6' 7"&nbsp;&nbsp;
0374	1	6' 6"&nbsp;&nbsp;
0375	1	6' 10"&nbsp;&nbsp;
0376	1	6' 11"&nbsp;&nbsp;
0377	1	6' 5"&nbsp;&nbsp;
0378	1	6' 0"&nbsp;&nbsp;
0379	1	6' 7"&nbsp;&nbsp;
0380	1	7' 0"&nbsp;&nbsp;
0381	1	7' 6"&nbsp;&nbsp;
0382	1	6' 9"&nbsp;&nbsp;
0383	1	6' 9"&nbsp;&nbsp;
0384	1	6' 0"&nbsp;&nbsp;
0385	1	6' 4"&nbsp;&nbsp;
0386	1	6' 4"&nbsp;&nbsp;
0387	1	6' 9"&nbsp;&nbsp;
0388	1	6' 8"&nbsp;&nbsp;
0389	1	6' 1"&nbsp;&nbsp;
0390	1	7' 1"&nbsp;&nbsp;
0391	1	6' 8"&nbsp;&nbsp;
0392	1	7' 2"&nbsp;&nbsp;
0393	1	6' 6"&nbsp;&nbsp;
0394	1	6' 4"&nbsp;&nbsp;
0395	1	6' 9"&nbsp;&nbsp;
0396	1	7' 3"&nbsp;&nbsp;
0397	1	6' 6"&nbsp;&nbsp;
0398	1	6' 11"&nbsp;&nbsp;
0399	1	6' 8"&nbsp;&nbsp;
0400	1	6' 2"&nbsp;&nbsp;
0401	1	6' 5"&nbsp;&nbsp;
0402	1	7' 0"&nbsp;&nbsp;
0403	1	6' 3"&nbsp;&nbsp;
0404	1	6' 3"&nbsp;&nbsp;
0405	1	7' 0"&nbsp;&nbsp;
0406	1	6' 9"&nbsp;&nbsp;
0407	1	6' 10"&nbsp;&nbsp;
0408	1	6' 0"&nbsp;&nbsp;
0409	1	6' 6"&nbsp;&nbsp;
0410	1	7' 0"&nbsp;&nbsp;
0411	1	6' 4"&nbsp;&nbsp;
0412	1	6' 9"&nbsp;&nbsp;
0413	1	6' 6"&nbsp;&nbsp;
0414	1	6' 8"&nbsp;&nbsp;
0415	1	6' 10"&nbsp;&nbsp;
0416	1	6' 11"&nbsp;&nbsp;
0417	1	6' 6"&nbsp;&nbsp;
0418	1	6' 2"&nbsp;&nbsp;
0419	1	6' 7"&nbsp;&nbsp;
0420	1	6' 9"&nbsp;&nbsp;
0421	1	6' 4"&nbsp;&nbsp;
0422	1	6' 2"&nbsp;&nbsp;
0423	1	6' 2"&nbsp;&nbsp;
0424	1	6' 6"&nbsp;&nbsp;
