nbaplayer	nba	weight
0108	1	207 lbs.&nbsp;/&nbsp;93.9 kg.
0109	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0110	1	208 lbs.&nbsp;/&nbsp;94.3 kg.
0111	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0112	1	248 lbs.&nbsp;/&nbsp;112.5 kg.
0113	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0114	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0115	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0116	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0117	1	243 lbs.&nbsp;/&nbsp;110.2 kg.
0118	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0119	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0120	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0121	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0122	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0123	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0124	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0125	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0126	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0127	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0128	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0129	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0130	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0131	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0132	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0133	1	209 lbs.&nbsp;/&nbsp;94.8 kg.
0134	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0135	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0136	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0137	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0138	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0139	1	234 lbs.&nbsp;/&nbsp;106.1 kg.
0140	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0141	1	178 lbs.&nbsp;/&nbsp;80.7 kg.
0142	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0143	1	305 lbs.&nbsp;/&nbsp;138.3 kg.
0144	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0145	1	219 lbs.&nbsp;/&nbsp;99.3 kg.
0146	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0147	1	161 lbs.&nbsp;/&nbsp;73.0 kg.
0148	1	218 lbs.&nbsp;/&nbsp;98.9 kg.
0149	1	238 lbs.&nbsp;/&nbsp;108.0 kg.
0150	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0151	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0152	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0153	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0154	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0155	1	261 lbs.&nbsp;/&nbsp;118.4 kg.
0156	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0157	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0158	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0159	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0160	1	310 lbs.&nbsp;/&nbsp;140.6 kg.
0161	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0162	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0163	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0164	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0165	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0166	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0167	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0168	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0169	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0170	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0171	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0172	1	285 lbs.&nbsp;/&nbsp;129.3 kg.
0173	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0174	1	211 lbs.&nbsp;/&nbsp;95.7 kg.
0175	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0176	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0177	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0178	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0179	1	289 lbs.&nbsp;/&nbsp;131.1 kg.
0180	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0181	1	253 lbs.&nbsp;/&nbsp;114.8 kg.
0182	1	251 lbs.&nbsp;/&nbsp;113.9 kg.
0183	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0184	1	325 lbs.&nbsp;/&nbsp;147.4 kg.
0185	1	280 lbs.&nbsp;/&nbsp;127.0 kg.
0186	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0187	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0188	1	171 lbs.&nbsp;/&nbsp;77.6 kg.
0189	1	209 lbs.&nbsp;/&nbsp;94.8 kg.
0190	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0191	1	160 lbs.&nbsp;/&nbsp;72.6 kg.
0192	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0193	1	165 lbs.&nbsp;/&nbsp;74.8 kg.
0194	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0195	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0196	1	228 lbs.&nbsp;/&nbsp;103.4 kg.
0197	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0198	1	278 lbs.&nbsp;/&nbsp;126.1 kg.
0199	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0200	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0201	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0202	1	217 lbs.&nbsp;/&nbsp;98.4 kg.
0203	1	181 lbs.&nbsp;/&nbsp;82.1 kg.
0204	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0205	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0206	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0207	1	270 lbs.&nbsp;/&nbsp;122.5 kg.
0208	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0209	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0210	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0211	1	226 lbs.&nbsp;/&nbsp;102.5 kg.
0212	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0213	1	253 lbs.&nbsp;/&nbsp;114.8 kg.
0214	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0215	1	248 lbs.&nbsp;/&nbsp;112.5 kg.
0216	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0217	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0218	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0219	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0220	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0221	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0222	1	249 lbs.&nbsp;/&nbsp;112.9 kg.
0223	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0224	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0225	1	213 lbs.&nbsp;/&nbsp;96.6 kg.
0226	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0227	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0228	1	251 lbs.&nbsp;/&nbsp;113.9 kg.
0229	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0230	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0231	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0232	1	203 lbs.&nbsp;/&nbsp;92.1 kg.
0233	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0234	1	270 lbs.&nbsp;/&nbsp;122.5 kg.
0235	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0236	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0237	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0238	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0239	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0240	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0241	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0242	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0243	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0244	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0245	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0246	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0247	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0248	1	226 lbs.&nbsp;/&nbsp;102.5 kg.
0249	1	172 lbs.&nbsp;/&nbsp;78.0 kg.
0250	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0251	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0252	1	285 lbs.&nbsp;/&nbsp;129.3 kg.
0253	1	275 lbs.&nbsp;/&nbsp;124.7 kg.
0254	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0255	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0256	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0257	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0258	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0259	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0260	1	251 lbs.&nbsp;/&nbsp;113.9 kg.
0261	1	202 lbs.&nbsp;/&nbsp;91.6 kg.
0262	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0263	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0264	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0265	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0266	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0267	1	268 lbs.&nbsp;/&nbsp;121.6 kg.
0268	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0269	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0270	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0271	1	229 lbs.&nbsp;/&nbsp;103.9 kg.
0272	1	203 lbs.&nbsp;/&nbsp;92.1 kg.
0273	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0274	1	213 lbs.&nbsp;/&nbsp;96.6 kg.
0275	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0276	1	212 lbs.&nbsp;/&nbsp;96.2 kg.
0277	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0278	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0279	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0280	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0281	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0282	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0283	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0284	1	267 lbs.&nbsp;/&nbsp;121.1 kg.
0285	1	211 lbs.&nbsp;/&nbsp;95.7 kg.
0286	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0287	1	206 lbs.&nbsp;/&nbsp;93.4 kg.
0288	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0289	1	196 lbs.&nbsp;/&nbsp;88.9 kg.
0290	1	280 lbs.&nbsp;/&nbsp;127.0 kg.
0291	1	207 lbs.&nbsp;/&nbsp;93.9 kg.
0292	1	280 lbs.&nbsp;/&nbsp;127.0 kg.
0293	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0294	1	232 lbs.&nbsp;/&nbsp;105.2 kg.
0295	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0296	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0297	1	187 lbs.&nbsp;/&nbsp;84.8 kg.
0298	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0299	1	209 lbs.&nbsp;/&nbsp;94.8 kg.
0300	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0301	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0302	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0303	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0304	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0305	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0306	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0307	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0308	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0309	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0310	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0311	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0312	1	218 lbs.&nbsp;/&nbsp;98.9 kg.
0313	1	308 lbs.&nbsp;/&nbsp;139.7 kg.
0314	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0315	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0316	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0317	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0318	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0319	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0320	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0321	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0322	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0323	1	252 lbs.&nbsp;/&nbsp;114.3 kg.
0324	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0325	1	275 lbs.&nbsp;/&nbsp;124.7 kg.
0326	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0327	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0328	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0329	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0330	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0331	1	188 lbs.&nbsp;/&nbsp;85.3 kg.
0332	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0333	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0334	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0335	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0336	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0337	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0338	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0339	1	275 lbs.&nbsp;/&nbsp;124.7 kg.
0340	1	243 lbs.&nbsp;/&nbsp;110.2 kg.
0341	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0342	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0343	1	243 lbs.&nbsp;/&nbsp;110.2 kg.
0344	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0345	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0346	1	227 lbs.&nbsp;/&nbsp;103.0 kg.
0347	1	270 lbs.&nbsp;/&nbsp;122.5 kg.
0348	1	212 lbs.&nbsp;/&nbsp;96.2 kg.
0349	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0350	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0351	1	280 lbs.&nbsp;/&nbsp;127.0 kg.
0352	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0353	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0354	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0355	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0356	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0357	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0358	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0359	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0360	1	180 lbs.&nbsp;/&nbsp;81.6 kg.
0361	1	246 lbs.&nbsp;/&nbsp;111.6 kg.
0362	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0363	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0364	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0365	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0366	1	265 lbs.&nbsp;/&nbsp;120.2 kg.
0367	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0368	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0369	1	207 lbs.&nbsp;/&nbsp;93.9 kg.
0370	1	247 lbs.&nbsp;/&nbsp;112.0 kg.
0371	1	193 lbs.&nbsp;/&nbsp;87.5 kg.
0372	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0373	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0374	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0375	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0376	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0377	1	266 lbs.&nbsp;/&nbsp;120.7 kg.
0378	1	227 lbs.&nbsp;/&nbsp;103.0 kg.
0379	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0380	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0381	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0382	1	212 lbs.&nbsp;/&nbsp;96.2 kg.
0383	1	165 lbs.&nbsp;/&nbsp;74.8 kg.
0384	1	232 lbs.&nbsp;/&nbsp;105.2 kg.
0385	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0386	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0387	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0388	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0389	1	247 lbs.&nbsp;/&nbsp;112.0 kg.
0390	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0391	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0392	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0393	1	270 lbs.&nbsp;/&nbsp;122.5 kg.
0394	1	201 lbs.&nbsp;/&nbsp;91.2 kg.
0395	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0396	1	197 lbs.&nbsp;/&nbsp;89.4 kg.
0397	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0398	1	255 lbs.&nbsp;/&nbsp;115.7 kg.
0399	1	175 lbs.&nbsp;/&nbsp;79.4 kg.
0400	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0401	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0402	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0403	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0404	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0405	1	200 lbs.&nbsp;/&nbsp;90.7 kg.
0406	1	230 lbs.&nbsp;/&nbsp;104.3 kg.
0407	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0408	1	242 lbs.&nbsp;/&nbsp;109.8 kg.
0409	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0410	1	235 lbs.&nbsp;/&nbsp;106.6 kg.
0411	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0412	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0413	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0414	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0415	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0416	1	260 lbs.&nbsp;/&nbsp;117.9 kg.
0417	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0418	1	195 lbs.&nbsp;/&nbsp;88.5 kg.
0419	1	215 lbs.&nbsp;/&nbsp;97.5 kg.
0420	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0421	1	295 lbs.&nbsp;/&nbsp;133.8 kg.
0422	1	185 lbs.&nbsp;/&nbsp;83.9 kg.
0423	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0424	1	210 lbs.&nbsp;/&nbsp;95.3 kg.
0425	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0426	1	205 lbs.&nbsp;/&nbsp;93.0 kg.
0427	1	250 lbs.&nbsp;/&nbsp;113.4 kg.
0428	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
0429	1	190 lbs.&nbsp;/&nbsp;86.2 kg.
0430	1	240 lbs.&nbsp;/&nbsp;108.9 kg.
0431	1	245 lbs.&nbsp;/&nbsp;111.1 kg.
0432	1	220 lbs.&nbsp;/&nbsp;99.8 kg.
0433	1	225 lbs.&nbsp;/&nbsp;102.1 kg.
