nbaplayer	yahoo	team
0168	1	Utah Jazz
0169	1	Utah Jazz
0170	1	Utah Jazz
0171	1	Utah Jazz
0172	1	Utah Jazz
0173	1	Utah Jazz
0174	1	New York Knicks
0175	1	New York Knicks
0176	1	New York Knicks
0177	1	New York Knicks
0178	1	New York Knicks
0179	1	New York Knicks
0180	1	New York Knicks
0181	1	New York Knicks
0182	1	New York Knicks
0183	1	New York Knicks
0184	1	New York Knicks
0185	1	New York Knicks
0186	1	New York Knicks
0187	1	New York Knicks
0188	1	New York Knicks
0189	1	Golden State Warriors
0190	1	Golden State Warriors
0191	1	Golden State Warriors
0192	1	Golden State Warriors
0193	1	Golden State Warriors
0194	1	Golden State Warriors
0195	1	Golden State Warriors
0196	1	Golden State Warriors
0197	1	Golden State Warriors
0198	1	Golden State Warriors
0199	1	Golden State Warriors
0200	1	Golden State Warriors
0201	1	Golden State Warriors
0202	1	Golden State Warriors
0203	1	Los Angeles Lakers
0204	1	Los Angeles Lakers
0205	1	Los Angeles Lakers
0206	1	Los Angeles Lakers
0207	1	Los Angeles Lakers
0208	1	Los Angeles Lakers
0209	1	Los Angeles Lakers
0210	1	Los Angeles Lakers
0211	1	Los Angeles Lakers
0212	1	Los Angeles Lakers
0213	1	Los Angeles Lakers
0214	1	Los Angeles Lakers
0215	1	Los Angeles Lakers
0216	1	Los Angeles Lakers
0217	1	Los Angeles Lakers
0218	1	Los Angeles Clippers
0219	1	Los Angeles Clippers
0220	1	Los Angeles Clippers
0221	1	Los Angeles Clippers
0222	1	Los Angeles Clippers
0223	1	Los Angeles Clippers
0224	1	Los Angeles Clippers
0225	1	Los Angeles Clippers
0226	1	Los Angeles Clippers
0227	1	Los Angeles Clippers
0228	1	Los Angeles Clippers
0229	1	Los Angeles Clippers
0230	1	Los Angeles Clippers
0231	1	Los Angeles Clippers
0232	1	Phoenix Suns
0233	1	Phoenix Suns
0234	1	Phoenix Suns
0235	1	Phoenix Suns
0236	1	Phoenix Suns
0237	1	Phoenix Suns
0238	1	Phoenix Suns
0239	1	Phoenix Suns
0240	1	Phoenix Suns
0241	1	Phoenix Suns
0242	1	Phoenix Suns
0243	1	Phoenix Suns
0244	1	Phoenix Suns
0245	1	Phoenix Suns
0246	1	Sacramento Kings
0247	1	Sacramento Kings
0248	1	Sacramento Kings
0249	1	Sacramento Kings
0250	1	Sacramento Kings
0251	1	Sacramento Kings
0252	1	Sacramento Kings
0253	1	Sacramento Kings
0254	1	Sacramento Kings
0255	1	Sacramento Kings
0256	1	Sacramento Kings
0257	1	Sacramento Kings
0258	1	Sacramento Kings
0259	1	Sacramento Kings
0260	1	Dallas Mavericks
0261	1	Dallas Mavericks
0262	1	Dallas Mavericks
0263	1	Dallas Mavericks
0264	1	Dallas Mavericks
0265	1	Dallas Mavericks
0266	1	Dallas Mavericks
0267	1	Dallas Mavericks
0268	1	Dallas Mavericks
0269	1	Dallas Mavericks
0270	1	Dallas Mavericks
0271	1	Dallas Mavericks
0272	1	Dallas Mavericks
0273	1	Dallas Mavericks
0274	1	Dallas Mavericks
0275	1	Houston Rockets
0276	1	Houston Rockets
0277	1	Houston Rockets
0278	1	Houston Rockets
0279	1	Houston Rockets
0280	1	Houston Rockets
0281	1	Houston Rockets
0282	1	Houston Rockets
0283	1	Houston Rockets
0284	1	Houston Rockets
0285	1	Houston Rockets
0286	1	Houston Rockets
0287	1	Houston Rockets
0288	1	Houston Rockets
0289	1	Houston Rockets
0290	1	Memphis Grizzlies
0291	1	Memphis Grizzlies
0292	1	Memphis Grizzlies
0293	1	Memphis Grizzlies
0294	1	Memphis Grizzlies
0295	1	Memphis Grizzlies
0296	1	Memphis Grizzlies
0297	1	Memphis Grizzlies
0298	1	Memphis Grizzlies
0299	1	Memphis Grizzlies
0300	1	Memphis Grizzlies
0301	1	Memphis Grizzlies
0302	1	Memphis Grizzlies
0303	1	Memphis Grizzlies
0304	1	New Orleans Hornets
0305	1	New Orleans Hornets
0306	1	New Orleans Hornets
0307	1	New Orleans Hornets
0308	1	New Orleans Hornets
0309	1	New Orleans Hornets
0310	1	New Orleans Hornets
0311	1	New Orleans Hornets
0312	1	New Orleans Hornets
0313	1	New Orleans Hornets
0314	1	New Orleans Hornets
0315	1	New Orleans Hornets
0316	1	New Orleans Hornets
0317	1	New Orleans Hornets
0318	1	New Orleans Hornets
0319	1	San Antonio Spurs
0320	1	San Antonio Spurs
0321	1	San Antonio Spurs
0322	1	San Antonio Spurs
0323	1	San Antonio Spurs
0324	1	San Antonio Spurs
0325	1	San Antonio Spurs
0326	1	San Antonio Spurs
0327	1	San Antonio Spurs
0328	1	San Antonio Spurs
0329	1	San Antonio Spurs
0330	1	San Antonio Spurs
0331	1	San Antonio Spurs
0332	1	San Antonio Spurs
0333	1	San Antonio Spurs
0334	1	Philadelphia 76ers
0335	1	Philadelphia 76ers
0336	1	Philadelphia 76ers
0337	1	Philadelphia 76ers
0338	1	Philadelphia 76ers
0339	1	Philadelphia 76ers
0340	1	Philadelphia 76ers
0341	1	Philadelphia 76ers
0342	1	Philadelphia 76ers
0343	1	Philadelphia 76ers
0344	1	Philadelphia 76ers
0345	1	Philadelphia 76ers
0346	1	Philadelphia 76ers
0347	1	Philadelphia 76ers
0348	1	Philadelphia 76ers
0349	1	Toronto Raptors
0350	1	Toronto Raptors
0351	1	Toronto Raptors
0352	1	Toronto Raptors
0353	1	Toronto Raptors
0354	1	Toronto Raptors
0355	1	Toronto Raptors
0356	1	Toronto Raptors
0357	1	Toronto Raptors
0358	1	Toronto Raptors
0359	1	Toronto Raptors
0360	1	Toronto Raptors
0361	1	Toronto Raptors
0362	1	Toronto Raptors
0363	1	Toronto Raptors
0364	1	Chicago Bulls
0365	1	Chicago Bulls
0366	1	Chicago Bulls
0367	1	Chicago Bulls
0368	1	Chicago Bulls
0369	1	Chicago Bulls
0370	1	Chicago Bulls
0371	1	Chicago Bulls
0372	1	Chicago Bulls
0373	1	Chicago Bulls
0374	1	Chicago Bulls
0375	1	Chicago Bulls
0376	1	Chicago Bulls
0377	1	Chicago Bulls
0378	1	Chicago Bulls
0379	1	Cleveland Cavaliers
0380	1	Cleveland Cavaliers
0381	1	Cleveland Cavaliers
0382	1	Cleveland Cavaliers
0383	1	Cleveland Cavaliers
0384	1	Cleveland Cavaliers
0385	1	Cleveland Cavaliers
0386	1	Cleveland Cavaliers
0387	1	Cleveland Cavaliers
0388	1	Cleveland Cavaliers
0389	1	Cleveland Cavaliers
0390	1	Cleveland Cavaliers
0391	1	Cleveland Cavaliers
0392	1	Cleveland Cavaliers
0393	1	Cleveland Cavaliers
0394	1	Detroit Pistons
0395	1	Detroit Pistons
0396	1	Detroit Pistons
0397	1	Detroit Pistons
0398	1	Detroit Pistons
0399	1	Detroit Pistons
0400	1	Detroit Pistons
0401	1	Detroit Pistons
0402	1	Detroit Pistons
0403	1	Detroit Pistons
0404	1	Detroit Pistons
0405	1	Detroit Pistons
0406	1	Detroit Pistons
0407	1	Detroit Pistons
0408	1	Detroit Pistons
0409	1	Indiana Pacers
0410	1	Indiana Pacers
0411	1	Indiana Pacers
0412	1	Indiana Pacers
0413	1	Indiana Pacers
0414	1	Indiana Pacers
0415	1	Indiana Pacers
0416	1	Indiana Pacers
0417	1	Indiana Pacers
0418	1	Indiana Pacers
0419	1	Indiana Pacers
0420	1	Indiana Pacers
0421	1	Indiana Pacers
0422	1	Indiana Pacers
0423	1	Indiana Pacers
0424	1	Milwaukee Bucks
0425	1	Milwaukee Bucks
0426	1	Milwaukee Bucks
0427	1	Milwaukee Bucks
0428	1	Milwaukee Bucks
0429	1	Milwaukee Bucks
0430	1	Milwaukee Bucks
0431	1	Milwaukee Bucks
0432	1	Milwaukee Bucks
0433	1	Milwaukee Bucks
0434	1	Milwaukee Bucks
0435	1	Milwaukee Bucks
0436	1	Milwaukee Bucks
0437	1	Milwaukee Bucks
