nbaplayer	slam	team
0244	1	Sacramento Kings
0245	1	Sacramento Kings
0246	1	Sacramento Kings
0247	1	Sacramento Kings
0248	1	Sacramento Kings
0249	1	Sacramento Kings
0250	1	Sacramento Kings
0251	1	Sacramento Kings
0252	1	Sacramento Kings
0253	1	Sacramento Kings
0254	1	Sacramento Kings
0255	1	Sacramento Kings
0256	1	Dallas Mavericks
0257	1	Dallas Mavericks
0258	1	Dallas Mavericks
0259	1	Dallas Mavericks
0260	1	Dallas Mavericks
0261	1	Dallas Mavericks
0262	1	Dallas Mavericks
0263	1	Dallas Mavericks
0264	1	Dallas Mavericks
0265	1	Dallas Mavericks
0266	1	Dallas Mavericks
0267	1	Dallas Mavericks
0268	1	Dallas Mavericks
0269	1	Houston Rockets
0270	1	Houston Rockets
0271	1	Houston Rockets
0272	1	Houston Rockets
0273	1	Houston Rockets
0274	1	Houston Rockets
0275	1	Houston Rockets
0276	1	Houston Rockets
0277	1	Houston Rockets
0278	1	Houston Rockets
0279	1	Houston Rockets
0280	1	Houston Rockets
0281	1	Houston Rockets
0282	1	Houston Rockets
0283	1	Memphis Grizzlies
0284	1	Memphis Grizzlies
0285	1	Memphis Grizzlies
0286	1	Memphis Grizzlies
0287	1	Memphis Grizzlies
0288	1	Memphis Grizzlies
0289	1	Memphis Grizzlies
0290	1	Memphis Grizzlies
0291	1	Memphis Grizzlies
0292	1	Memphis Grizzlies
0293	1	Memphis Grizzlies
0294	1	Memphis Grizzlies
0295	1	Memphis Grizzlies
0296	1	New Orleans Hornets
0297	1	New Orleans Hornets
0298	1	New Orleans Hornets
0299	1	New Orleans Hornets
0300	1	New Orleans Hornets
0301	1	New Orleans Hornets
0302	1	New Orleans Hornets
0303	1	New Orleans Hornets
0304	1	New Orleans Hornets
0305	1	New Orleans Hornets
0306	1	New Orleans Hornets
0307	1	New Orleans Hornets
0308	1	New Orleans Hornets
0309	1	New Orleans Hornets
0310	1	New Orleans Hornets
0311	1	San Antonio Spurs
0312	1	San Antonio Spurs
0313	1	San Antonio Spurs
0314	1	San Antonio Spurs
0315	1	San Antonio Spurs
0316	1	San Antonio Spurs
0317	1	San Antonio Spurs
0318	1	San Antonio Spurs
0319	1	San Antonio Spurs
0320	1	San Antonio Spurs
0321	1	San Antonio Spurs
0322	1	San Antonio Spurs
0323	1	San Antonio Spurs
0324	1	Philadelphia 76ers
0325	1	Philadelphia 76ers
0326	1	Philadelphia 76ers
0327	1	Philadelphia 76ers
0328	1	Philadelphia 76ers
0329	1	Philadelphia 76ers
0330	1	Philadelphia 76ers
0331	1	Philadelphia 76ers
0332	1	Philadelphia 76ers
0333	1	Philadelphia 76ers
0334	1	Philadelphia 76ers
0335	1	Philadelphia 76ers
0336	1	Philadelphia 76ers
0337	1	Toronto Raptors
0338	1	Toronto Raptors
0339	1	Toronto Raptors
0340	1	Toronto Raptors
0341	1	Toronto Raptors
0342	1	Toronto Raptors
0343	1	Toronto Raptors
0344	1	Toronto Raptors
0345	1	Toronto Raptors
0346	1	Toronto Raptors
0347	1	Toronto Raptors
0348	1	Toronto Raptors
0349	1	Toronto Raptors
0350	1	Chicago Bulls
0351	1	Chicago Bulls
0352	1	Chicago Bulls
0353	1	Chicago Bulls
0354	1	Chicago Bulls
0355	1	Chicago Bulls
0356	1	Chicago Bulls
0357	1	Chicago Bulls
0358	1	Chicago Bulls
0359	1	Chicago Bulls
0360	1	Chicago Bulls
0361	1	Chicago Bulls
0362	1	Chicago Bulls
0363	1	Chicago Bulls
0364	1	Cleveland Cavaliers
0365	1	Cleveland Cavaliers
0366	1	Cleveland Cavaliers
0367	1	Cleveland Cavaliers
0368	1	Cleveland Cavaliers
0369	1	Cleveland Cavaliers
0370	1	Cleveland Cavaliers
0371	1	Cleveland Cavaliers
0372	1	Cleveland Cavaliers
0373	1	Cleveland Cavaliers
0374	1	Cleveland Cavaliers
0375	1	Cleveland Cavaliers
0376	1	Cleveland Cavaliers
0377	1	Cleveland Cavaliers
0378	1	Detroit Pistons
0379	1	Detroit Pistons
0380	1	Detroit Pistons
0381	1	Detroit Pistons
0382	1	Detroit Pistons
0383	1	Detroit Pistons
0384	1	Detroit Pistons
0385	1	Detroit Pistons
0386	1	Detroit Pistons
0387	1	Detroit Pistons
0388	1	Detroit Pistons
0389	1	Detroit Pistons
0390	1	Detroit Pistons
0391	1	Detroit Pistons
0392	1	Detroit Pistons
0393	1	Indiana Pacers
0394	1	Indiana Pacers
0395	1	Indiana Pacers
0396	1	Indiana Pacers
0397	1	Indiana Pacers
0398	1	Indiana Pacers
0399	1	Indiana Pacers
0400	1	Indiana Pacers
0401	1	Indiana Pacers
0402	1	Indiana Pacers
0403	1	Indiana Pacers
0404	1	Indiana Pacers
0405	1	Indiana Pacers
0406	1	Indiana Pacers
0407	1	Indiana Pacers
0408	1	Milwaukee Bucks
0409	1	Milwaukee Bucks
0410	1	Milwaukee Bucks
0411	1	Milwaukee Bucks
0412	1	Milwaukee Bucks
0413	1	Milwaukee Bucks
0414	1	Milwaukee Bucks
0415	1	Milwaukee Bucks
0416	1	Milwaukee Bucks
0417	1	Milwaukee Bucks
0418	1	Milwaukee Bucks
0419	1	Milwaukee Bucks
0420	1	Milwaukee Bucks
0421	1	Milwaukee Bucks
0422	1	Milwaukee Bucks
