nbaplayer	wiki	weight
0072	1	215&#160;lb (98 kg)
0073	1	220&#160;lb (100 kg)
0074	1	227&#160;lb (103 kg)
0075	1	232&#160;lb (105 kg)
0076	1	180&#160;lb (82 kg)
0077	1	245&#160;lb (111 kg)
0078	1	225&#160;lb (102 kg)
0079	1	235&#160;lb (107 kg)
0080	1	211&#160;lb (96 kg)
0081	1	175&#160;lb (79 kg)
0082	1	235&#160;lb (107 kg)
0083	1	200&#160;lb (91 kg)
0084	1	225&#160;lb (102 kg)
0085	1	192&#160;lb (87 kg)
0086	1	242&#160;lb (110 kg)
0087	1	230&#160;lb (104 kg)
0088	1	235&#160;lb (107 kg)
0089	1	200&#160;lb (91 kg)
0090	1	215&#160;lb (98 kg)
0091	1	265&#160;lb (120 kg)
0092	1	190&#160;lb (86 kg)
0093	1	260&#160;lb (118 kg)
0094	1	218&#160;lb (99 kg)
0095	1	190&#160;lb (86 kg)
0096	1	185&#160;lb (84 kg)
0097	1	200&#160;lb (91 kg)
0098	1	200&#160;lb (91 kg)
0099	1	193&#160;lb (88 kg)
0100	1	232&#160;lb (105 kg)
0101	1	260&#160;lb (118 kg)
0102	1	223&#160;lb (101 kg)
0103	1	250&#160;lb (113 kg)
0104	1	215&#160;lb (98 kg)
0105	1	205&#160;lb (93 kg)
0106	1	240&#160;lb (109 kg)
0107	1	240&#160;lb (109 kg)
0108	1	240&#160;lb (109 kg)
0109	1	203&#160;lb (92 kg)
0110	1	235&#160;lb (107 kg)
0111	1	160&#160;lb (73 kg)
0112	1	165&#160;lb (75 kg)
0113	1	250&#160;lb (113 kg)
0114	1	210&#160;lb (95 kg)
0115	1	228&#160;lb (103 kg)
0116	1	250&#160;lb (113 kg)
0117	1	278&#160;lb (126 kg)
0118	1	210&#160;lb (95 kg)
0119	1	245&#160;lb (111 kg)
0120	1	240&#160;lb (109 kg)
0121	1	217&#160;lb (98 kg)
0122	1	181&#160;lb (82 kg)
0123	1	210&#160;lb (95 kg)
0124	1	210&#160;lb (95 kg)
0125	1	260&#160;lb (118 kg)
0126	1	133&#160;lb (60 kg)
0127	1	255&#160;lb (116 kg)
0128	1	230&#160;lb (104 kg)
0129	1	195&#160;lb (88 kg)
0130	1	210&#160;lb (95 kg)
0131	1	250&#160;lb (113 kg)
0132	1	240&#160;lb (109 kg)
0133	1	169&#160;lb (77 kg)
0134	1	225&#160;lb (102 kg)
0135	1	230&#160;lb (104 kg)
0136	1	215&#160;lb (98 kg)
0137	1	207&#160;lb (94 kg)
0138	1	235&#160;lb (107 kg)
0139	1	255&#160;lb (116 kg)
0140	1	195&#160;lb (88 kg)
0141	1	255&#160;lb (116 kg)
0142	1	200&#160;lb (91 kg)
0143	1	195&#160;lb (88 kg)
0144	1	245&#160;lb (111 kg)
0145	1	240&#160;lb (109 kg)
0146	1	280&#160;lb (127 kg)
0147	1	240&#160;lb (109 kg)
0148	1	240&#160;lb (109 kg)
0149	1	225&#160;lb (102 kg)
0150	1	180&#160;lb (82 kg)
0151	1	260&#160;lb (118 kg)
0152	1	240&#160;lb (109 kg)
0153	1	225&#160;lb (102 kg)
0154	1	180&#160;lb (82 kg)
0155	1	227&#160;lb (103 kg)
0156	1	270&#160;lb (122 kg)
0157	1	212&#160;lb (96 kg)
0158	1	215&#160;lb (98 kg)
0159	1	235&#160;lb (107 kg)
0160	1	280&#160;lb (127 kg)
0161	1	215&#160;lb (98 kg)
0162	1	185&#160;lb (84 kg)
0163	1	220&#160;lb (100 kg)
0164	1	250&#160;lb (113 kg)
0165	1	235&#160;lb (107 kg)
0166	1	225&#160;lb (102 kg)
0167	1	220&#160;lb (100 kg)
0168	1	260&#160;lb (118 kg)
0169	1	202&#160;lb (92 kg)
0170	1	235&#160;lb (107 kg)
0171	1	195&#160;lb (88 kg)
0172	1	265&#160;lb (120 kg)
0173	1	235&#160;lb (107 kg)
0174	1	175&#160;lb (79 kg)
0175	1	253&#160;lb (115 kg)
0176	1	260&#160;lb (118 kg)
0177	1	250&#160;lb (113 kg)
0178	1	215&#160;lb (98 kg)
0179	1	265&#160;lb (120 kg)
0180	1	218&#160;lb (99 kg)
0181	1	308&#160;lb (140 kg)
0182	1	220&#160;lb (100 kg)
0183	1	228&#160;lb (103 kg)
0184	1	190&#160;lb (86 kg)
0185	1	230&#160;lb (104 kg)
0186	1	265&#160;lb (120 kg)
0187	1	240&#160;lb (109 kg)
0188	1	190&#160;lb (86 kg)
0189	1	220&#160;lb (100 kg)
0190	1	215&#160;lb (98 kg)
0191	1	255&#160;lb (116 kg)
0192	1	185&#160;lb (84 kg)
0193	1	250&#160;lb (113 kg)
0194	1	240&#160;lb (109 kg)
0195	1	255&#160;lb (116 kg)
0196	1	180&#160;lb (82 kg)
0197	1	215&#160;lb (98 kg)
0198	1	235&#160;lb (107 kg)
0199	1	260&#160;lb (118 kg)
0200	1	242&#160;lb (110 kg)
0201	1	220&#160;lb (100 kg)
0202	1	190&#160;lb (86 kg)
0203	1	210&#160;lb (95 kg)
0204	1	220&#160;lb (100 kg)
0205	1	252&#160;lb (114 kg)
0206	1	235&#160;lb (107 kg)
0207	1	264&#160;lb (120 kg)
0208	1	220&#160;lb (100 kg)
0209	1	195&#160;lb (88 kg)
0210	1	250&#160;lb (113 kg)
0211	1	210&#160;lb (95 kg)
0212	1	220&#160;lb (100 kg)
0213	1	175&#160;lb (79 kg)
0214	1	228&#160;lb (103 kg)
0215	1	245&#160;lb (111 kg)
0216	1	235&#160;lb (107 kg)
0217	1	263&#160;lb (119 kg)
0218	1	210&#160;lb (95 kg)
0219	1	230&#160;lb (104 kg)
0220	1	228&#160;lb (103 kg)
0221	1	220&#160;lb (100 kg)
0222	1	245&#160;lb (111 kg)
0223	1	218&#160;lb (99 kg)
0224	1	181&#160;lb (82 kg)
0225	1	220&#160;lb (100 kg)
0226	1	161&#160;lb (73 kg)
0227	1	218&#160;lb (99 kg)
0228	1	238&#160;lb (108 kg)
0229	1	235&#160;lb (107 kg)
0230	1	240&#160;lb (109 kg)
0231	1	200&#160;lb (91 kg)
0232	1	205&#160;lb (93 kg)
0233	1	185&#160;lb (84 kg)
0234	1	261&#160;lb (118 kg)
0235	1	245&#160;lb (111 kg)
0236	1	175&#160;lb (79 kg)
0237	1	210&#160;lb (95 kg)
0238	1	310&#160;lb (141 kg)
0239	1	213&#160;lb (97 kg)
0240	1	230&#160;lb (104 kg)
0241	1	225&#160;lb (102 kg)
0242	1	265&#160;lb (120 kg)
0243	1	230&#160;lb (104 kg)
0244	1	265&#160;lb (120 kg)
0245	1	220&#160;lb (100 kg)
0246	1	210&#160;lb (95 kg)
0247	1	260&#160;lb (118 kg)
0248	1	267&#160;lb (121 kg)
0249	1	200&#160;lb (91 kg)
0250	1	215&#160;lb (98 kg)
0251	1	247&#160;lb (112 kg)
0252	1	210&#160;lb (95 kg)
0253	1	205&#160;lb (93 kg)
0254	1	200&#160;lb (91 kg)
0255	1	270&#160;lb (122 kg)
0256	1	201&#160;lb (91 kg)
0257	1	255&#160;lb (116 kg)
0258	1	197&#160;lb (89 kg)
0259	1	240&#160;lb (109 kg)
0260	1	255&#160;lb (116 kg)
0261	1	175&#160;lb (79 kg)
0262	1	225&#160;lb (102 kg)
0263	1	240&#160;lb (109 kg)
0264	1	205&#160;lb (93 kg)
0265	1	240&#160;lb (109 kg)
0266	1	265&#160;lb (120 kg)
0267	1	249&#160;lb (113 kg)
0268	1	260&#160;lb (118 kg)
0269	1	205&#160;lb (93 kg)
0270	1	180&#160;lb (82 kg)
0271	1	225&#160;lb (102 kg)
0272	1	245&#160;lb (111 kg)
0273	1	210&#160;lb (95 kg)
0274	1	180&#160;lb (82 kg)
0275	1	175&#160;lb (79 kg)
0276	1	232&#160;lb (105 kg)
0277	1	215&#160;lb (98 kg)
0278	1	228&#160;lb (103 kg)
0279	1	228&#160;lb (103 kg)
0280	1	208&#160;lb (94 kg)
0281	1	202&#160;lb (92 kg)
0282	1	190&#160;lb (86 kg)
0283	1	261&#160;lb (118 kg)
0284	1	220&#160;lb (100 kg)
0285	1	250&#160;lb (113 kg)
0286	1	195&#160;lb (88 kg)
0287	1	240&#160;lb (109 kg)
0288	1	250&#160;lb (113 kg)
0289	1	220&#160;lb (100 kg)
0290	1	250&#160;lb (113 kg)
0291	1	235&#160;lb (107 kg)
0292	1	185&#160;lb (84 kg)
0293	1	202&#160;lb (92 kg)
0294	1	185&#160;lb (84 kg)
0295	1	195&#160;lb (88 kg)
0296	1	225&#160;lb (102 kg)
0297	1	206&#160;lb (93 kg)
0298	1	265&#160;lb (120 kg)
0299	1	260&#160;lb (118 kg)
0300	1	275&#160;lb (125 kg)
0301	1	175&#160;lb (79 kg)
0302	1	175&#160;lb (79 kg)
0303	1	242&#160;lb (110 kg)
0304	1	235&#160;lb (107 kg)
0305	1	240&#160;lb (109 kg)
0306	1	225&#160;lb (102 kg)
0307	1	200&#160;lb (91 kg)
0308	1	235&#160;lb (107 kg)
0309	1	230&#160;lb (104 kg)
0310	1	185&#160;lb (84 kg)
0311	1	195&#160;lb (88 kg)
0312	1	250&#160;lb (113 kg)
0313	1	220&#160;lb (100 kg)
0314	1	205&#160;lb (93 kg)
0315	1	185&#160;lb (84 kg)
0316	1	285&#160;lb (129 kg)
0317	1	245&#160;lb (111 kg)
0318	1	211&#160;lb (96 kg)
0319	1	180&#160;lb (82 kg)
0320	1	245&#160;lb (111 kg)
0321	1	255&#160;lb (116 kg)
0322	1	210&#160;lb (95 kg)
0323	1	230&#160;lb (104 kg)
0324	1	235&#160;lb (107 kg)
0325	1	218&#160;lb (99 kg)
0326	1	235&#160;lb (107 kg)
0327	1	215&#160;lb (98 kg)
0328	1	175&#160;lb (79 kg)
0329	1	275&#160;lb (125 kg)
0330	1	220&#160;lb (100 kg)
0331	1	215&#160;lb (98 kg)
0332	1	187&#160;lb (85 kg)
0333	1	251&#160;lb (114 kg)
0334	1	215&#160;lb (98 kg)
0335	1	235&#160;lb (107 kg)
0336	1	196&#160;lb (89 kg)
0337	1	285&#160;lb (129 kg)
0338	1	207&#160;lb (94 kg)
0339	1	265&#160;lb (120 kg)
0340	1	225&#160;lb (102 kg)
0341	1	215&#160;lb (98 kg)
0342	1	250&#160;lb (113 kg)
0343	1	263&#160;lb (119 kg)
0344	1	190&#160;lb (86 kg)
0345	1	195&#160;lb (88 kg)
0346	1	207&#160;lb (94 kg)
0347	1	243&#160;lb (110 kg)
0348	1	225&#160;lb (102 kg)
0349	1	200&#160;lb (91 kg)
0350	1	240&#160;lb (109 kg)
0351	1	205&#160;lb (93 kg)
0352	1	185&#160;lb (84 kg)
0353	1	180&#160;lb (82 kg)
0354	1	250&#160;lb (113 kg)
0355	1	200&#160;lb (91 kg)
0356	1	234&#160;lb (106 kg)
0357	1	240&#160;lb (109 kg)
0358	1	210&#160;lb (95 kg)
0359	1	210&#160;lb (95 kg)
0360	1	210&#160;lb (95 kg)
0361	1	215&#160;lb (98 kg)
0362	1	190&#160;lb (86 kg)
0363	1	205&#160;lb (93 kg)
0364	1	248&#160;lb (112 kg)
0365	1	250&#160;lb (113 kg)
0366	1	215&#160;lb (98 kg)
0367	1	213&#160;lb (97 kg)
0368	1	250&#160;lb (113 kg)
0369	1	222&#160;lb (101 kg)
0370	1	251&#160;lb (114 kg)
0371	1	250&#160;lb (113 kg)
0372	1	265&#160;lb (120 kg)
0373	1	250&#160;lb (113 kg)
0374	1	207&#160;lb (94 kg)
0375	1	260&#160;lb (118 kg)
0376	1	226&#160;lb (103 kg)
0377	1	172&#160;lb (78 kg)
0378	1	210&#160;lb (95 kg)
0379	1	205&#160;lb (93 kg)
0380	1	285&#160;lb (129 kg)
0381	1	275&#160;lb (125 kg)
0382	1	215&#160;lb (98 kg)
0383	1	210&#160;lb (95 kg)
0384	1	250&#160;lb (113 kg)
0385	1	230&#160;lb (104 kg)
0386	1	235&#160;lb (107 kg)
0387	1	205&#160;lb (93 kg)
0388	1	235&#160;lb (107 kg)
0389	1	250&#160;lb (113 kg)
0390	1	210&#160;lb (95 kg)
0391	1	225&#160;lb (102 kg)
0392	1	190&#160;lb (86 kg)
0393	1	235&#160;lb (107 kg)
0394	1	245&#160;lb (111 kg)
0395	1	225&#160;lb (102 kg)
0396	1	255&#160;lb (116 kg)
0397	1	178&#160;lb (81 kg)
0398	1	225&#160;lb (102 kg)
0399	1	280&#160;lb (127 kg)
0400	1	220&#160;lb (100 kg)
0401	1	219&#160;lb (99 kg)
0402	1	225&#160;lb (102 kg)
0403	1	270&#160;lb (122 kg)
0404	1	250&#160;lb (113 kg)
0405	1	220&#160;lb (100 kg)
0406	1	195&#160;lb (88 kg)
0407	1	226&#160;lb (103 kg)
0408	1	185&#160;lb (84 kg)
0409	1	176&#160;lb (80 kg)
0410	1	248&#160;lb (112 kg)
0411	1	250&#160;lb (113 kg)
0412	1	205&#160;lb (93 kg)
0413	1	205&#160;lb (93 kg)
0414	1	240&#160;lb (109 kg)
0415	1	265&#160;lb (120 kg)
0416	1	240&#160;lb (109 kg)
0417	1	220&#160;lb (100 kg)
0418	1	210&#160;lb (95 kg)
0419	1	260&#160;lb (118 kg)
