nbaplayer	si	weight
0295	1	&nbsp;250
0296	1	&nbsp;200
0297	1	&nbsp;230
0298	1	&nbsp;235
0299	1	&nbsp;240
0300	1	&nbsp;210
0301	1	&nbsp;220
0302	1	&nbsp;210
0303	1	&nbsp;213
0304	1	&nbsp;235
0305	1	&nbsp;212
0306	1	&nbsp;185
0307	1	&nbsp;235
0308	1	&nbsp;265
0309	1	&nbsp;230
0310	1	&nbsp;265
0311	1	&nbsp;220
0312	1	&nbsp;240
0313	1	&nbsp;215
0314	1	&nbsp;188
0315	1	&nbsp;210
0316	1	&nbsp;260
0317	1	&nbsp;267
0318	1	&nbsp;245
0319	1	&nbsp;185
0320	1	&nbsp;211
0321	1	&nbsp;205
0322	1	&nbsp;220
0323	1	&nbsp;245
0324	1	&nbsp;210
0325	1	&nbsp;205
0326	1	&nbsp;200
0327	1	&nbsp;270
0328	1	&nbsp;201
0329	1	&nbsp;200
0330	1	&nbsp;201
0331	1	&nbsp;255
0332	1	&nbsp;235
0333	1	&nbsp;255
0334	1	&nbsp;185
0335	1	&nbsp;175
0336	1	&nbsp;225
0337	1	&nbsp;190
0338	1	&nbsp;240
0339	1	&nbsp;204
0340	1	&nbsp;205
0341	1	&nbsp;258
0342	1	&nbsp;240
0343	1	&nbsp;262
0344	1	&nbsp;175
0345	1	&nbsp;182
0346	1	&nbsp;185
0347	1	&nbsp;228
0348	1	&nbsp;241
0349	1	&nbsp;235
0350	1	&nbsp;210
0351	1	&nbsp;263
0352	1	&nbsp;215
0353	1	&nbsp;210
0354	1	&nbsp;230
0355	1	&nbsp;228
0356	1	&nbsp;220
0357	1	&nbsp;245
0358	1	&nbsp;218
0359	1	&nbsp;180
0360	1	&nbsp;240
0361	1	&nbsp;214
0362	1	&nbsp;220
0363	1	&nbsp;161
0364	1	&nbsp;218
0365	1	&nbsp;240
0366	1	&nbsp;238
0367	1	&nbsp;235
0368	1	&nbsp;240
0369	1	&nbsp;240
0370	1	&nbsp;200
0371	1	&nbsp;205
0372	1	&nbsp;185
0373	1	&nbsp;200
0374	1	&nbsp;261
0375	1	&nbsp;310
0376	1	&nbsp;235
0377	1	&nbsp;245
0378	1	&nbsp;175
0379	1	&nbsp;210
0380	1	&nbsp;215
0381	1	&nbsp;270
0382	1	&nbsp;235
0383	1	&nbsp;255
0384	1	&nbsp;225
0385	1	&nbsp;205
0386	1	&nbsp;180
0387	1	&nbsp;230
0388	1	&nbsp;245
0389	1	&nbsp;210
0390	1	&nbsp;185
0391	1	&nbsp;175
0392	1	&nbsp;240
0393	1	&nbsp;215
0394	1	&nbsp;240
0395	1	&nbsp;180
0396	1	&nbsp;246
0397	1	&nbsp;215
0398	1	&nbsp;190
0399	1	&nbsp;227
0400	1	&nbsp;228
0401	1	&nbsp;235
0402	1	&nbsp;220
0403	1	&nbsp;265
0404	1	&nbsp;210
0405	1	&nbsp;245
0406	1	&nbsp;207
0407	1	&nbsp;247
0408	1	&nbsp;193
0409	1	&nbsp;225
0410	1	&nbsp;205
0411	1	&nbsp;220
0412	1	&nbsp;250
0413	1	&nbsp;202
0414	1	&nbsp;250
0415	1	&nbsp;200
0416	1	&nbsp;210
0417	1	&nbsp;215
0418	1	&nbsp;220
0419	1	&nbsp;268
0420	1	&nbsp;209
0421	1	&nbsp;245
0422	1	&nbsp;210
0423	1	&nbsp;245
0424	1	&nbsp;255
0425	1	&nbsp;250
0426	1	&nbsp;229
0427	1	&nbsp;205
0428	1	&nbsp;235
0429	1	&nbsp;260
0430	1	&nbsp;135
0431	1	&nbsp;255
0432	1	&nbsp;255
0433	1	&nbsp;230
0434	1	&nbsp;195
0435	1	&nbsp;210
0436	1	&nbsp;250
0437	1	&nbsp;235
0438	1	&nbsp;169
0439	1	&nbsp;225
0440	1	&nbsp;230
0441	1	&nbsp;215
0442	1	&nbsp;207
0443	1	&nbsp;235
0444	1	&nbsp;265
0445	1	&nbsp;255
0446	1	&nbsp;215
0447	1	&nbsp;266
0448	1	&nbsp;227
0449	1	&nbsp;210
0450	1	&nbsp;220
0451	1	&nbsp;225
0452	1	&nbsp;245
0453	1	&nbsp;212
0454	1	&nbsp;232
0455	1	&nbsp;165
0456	1	&nbsp;200
0457	1	&nbsp;232
0458	1	&nbsp;235
0459	1	&nbsp;255
0460	1	&nbsp;190
0461	1	&nbsp;235
0462	1	&nbsp;230
0463	1	&nbsp;175
0464	1	&nbsp;201
0465	1	&nbsp;210
0466	1	&nbsp;200
0467	1	&nbsp;225
0468	1	&nbsp;192
0469	1	&nbsp;242
0470	1	&nbsp;240
0471	1	&nbsp;235
0472	1	&nbsp;205
0473	1	&nbsp;210
0474	1	&nbsp;240
0475	1	&nbsp;260
0476	1	&nbsp;190
0477	1	&nbsp;260
0478	1	&nbsp;260
0479	1	&nbsp;195
0480	1	&nbsp;225
0481	1	&nbsp;250
0482	1	&nbsp;160
0483	1	&nbsp;230
0484	1	&nbsp;165
0485	1	&nbsp;250
0486	1	&nbsp;210
0487	1	&nbsp;228
0488	1	&nbsp;250
0489	1	&nbsp;278
0490	1	&nbsp;210
0491	1	&nbsp;245
0492	1	&nbsp;240
0493	1	&nbsp;217
0494	1	&nbsp;181
0495	1	&nbsp;225
0496	1	&nbsp;210
0497	1	&nbsp;210
0498	1	&nbsp;185
0499	1	&nbsp;205
0500	1	&nbsp;250
0501	1	&nbsp;200
0502	1	&nbsp;195
0503	1	&nbsp;193
0504	1	&nbsp;231
0505	1	&nbsp;260
0506	1	&nbsp;223
0507	1	&nbsp;253
0508	1	&nbsp;215
0509	1	&nbsp;205
0510	1	&nbsp;240
0511	1	&nbsp;232
0512	1	&nbsp;240
0513	1	&nbsp;213
0514	1	&nbsp;235
