nbaplayer	si	height
0241	1	&nbsp;6'6"
0242	1	&nbsp;6'7"
0243	1	&nbsp;6'5"
0244	1	&nbsp;6'11"
0245	1	&nbsp;6'3"
0246	1	&nbsp;6'9"
0247	1	&nbsp;5'11"
0248	1	&nbsp;6'9"
0249	1	&nbsp;6'7"
0250	1	&nbsp;6'11"
0251	1	&nbsp;6'3"
0252	1	&nbsp;7'0"
0253	1	&nbsp;6'7"
0254	1	&nbsp;6'7"
0255	1	&nbsp;6'3"
0256	1	&nbsp;6'4"
0257	1	&nbsp;6'6"
0258	1	&nbsp;7'0"
0259	1	&nbsp;6'9"
0260	1	&nbsp;6'9"
0261	1	&nbsp;6'1"
0262	1	&nbsp;7'0"
0263	1	&nbsp;6'5"
0264	1	&nbsp;6'10"
0265	1	&nbsp;6'10"
0266	1	&nbsp;6'7"
0267	1	&nbsp;6'8"
0268	1	&nbsp;5'11"
0269	1	&nbsp;7'0"
0270	1	&nbsp;6'8"
0271	1	&nbsp;6'10"
0272	1	&nbsp;6'3"
0273	1	&nbsp;6'7"
0274	1	&nbsp;6'11"
0275	1	&nbsp;6'8"
0276	1	&nbsp;6'11"
0277	1	&nbsp;6'9"
0278	1	&nbsp;7'0"
0279	1	&nbsp;6'3"
0280	1	&nbsp;6'6"
0281	1	&nbsp;6'11"
0282	1	&nbsp;6'10"
0283	1	&nbsp;6'9"
0284	1	&nbsp;6'7"
0285	1	&nbsp;6'9"
0286	1	&nbsp;6'3"
0287	1	&nbsp;7'0"
0288	1	&nbsp;6'7"
0289	1	&nbsp;6'3"
0290	1	&nbsp;6'3"
0291	1	&nbsp;6'3"
0292	1	&nbsp;6'11"
0293	1	&nbsp;6'8"
0294	1	&nbsp;6'11"
0295	1	&nbsp;6'9"
0296	1	&nbsp;6'3"
0297	1	&nbsp;6'9"
0298	1	&nbsp;6'10"
0299	1	&nbsp;6'10"
0300	1	&nbsp;6'6"
0301	1	&nbsp;6'10"
0302	1	&nbsp;6'9"
0303	1	&nbsp;6'4"
0304	1	&nbsp;6'9"
0305	1	&nbsp;6'8"
0306	1	&nbsp;6'1"
0307	1	&nbsp;6'8"
0308	1	&nbsp;7'1"
0309	1	&nbsp;6'8"
0310	1	&nbsp;7'2"
0311	1	&nbsp;6'6"
0312	1	&nbsp;7'0"
0313	1	&nbsp;6'7"
0314	1	&nbsp;6'0"
0315	1	&nbsp;6'4"
0316	1	&nbsp;6'9"
0317	1	&nbsp;7'3"
0318	1	&nbsp;6'7"
0319	1	&nbsp;6'3"
0320	1	&nbsp;6'6"
0321	1	&nbsp;6'3"
0322	1	&nbsp;6'6"
0323	1	&nbsp;6'11"
0324	1	&nbsp;6'8"
0325	1	&nbsp;6'2"
0326	1	&nbsp;6'5"
0327	1	&nbsp;7'0"
0328	1	&nbsp;6'3"
0329	1	&nbsp;6'3"
0330	1	&nbsp;6'1"
0331	1	&nbsp;7'0"
0332	1	&nbsp;6'9"
0333	1	&nbsp;6'10"
0334	1	&nbsp;6'1"
0335	1	&nbsp;6'0"
0336	1	&nbsp;6'6"
0337	1	&nbsp;6'3"
0338	1	&nbsp;7'0"
0339	1	&nbsp;6'5"
0340	1	&nbsp;6'4"
0341	1	&nbsp;6'11"
0342	1	&nbsp;6'9"
0343	1	&nbsp;7'0"
0344	1	&nbsp;6'0"
0345	1	&nbsp;6'2"
0346	1	&nbsp;6'0"
0347	1	&nbsp;6'7"
0348	1	&nbsp;6'8"
0349	1	&nbsp;7'1"
0350	1	&nbsp;6'5"
0351	1	&nbsp;7'0"
0352	1	&nbsp;6'4"
0353	1	&nbsp;6'4"
0354	1	&nbsp;6'11"
0355	1	&nbsp;6'7"
0356	1	&nbsp;6'10"
0357	1	&nbsp;7'0"
0358	1	&nbsp;6'5"
0359	1	&nbsp;6'2"
0360	1	&nbsp;6'10"
0361	1	&nbsp;6'6"
0362	1	&nbsp;6'8"
0363	1	&nbsp;6'0"
0364	1	&nbsp;6'7"
0365	1	&nbsp;6'6"
0366	1	&nbsp;6'6"
0367	1	&nbsp;6'10"
0368	1	&nbsp;6'11"
0369	1	&nbsp;6'10"
0370	1	&nbsp;6'5"
0371	1	&nbsp;6'0"
0372	1	&nbsp;6'7"
0373	1	&nbsp;6'3"
0374	1	&nbsp;7'0"
0375	1	&nbsp;7'6"
0376	1	&nbsp;6'9"
0377	1	&nbsp;6'9"
0378	1	&nbsp;6'0"
0379	1	&nbsp;6'4"
0380	1	&nbsp;6'6"
0381	1	&nbsp;6'8"
0382	1	&nbsp;6'10"
0383	1	&nbsp;6'11"
0384	1	&nbsp;6'5"
0385	1	&nbsp;6'6"
0386	1	&nbsp;6'2"
0387	1	&nbsp;6'7"
0388	1	&nbsp;6'9"
0389	1	&nbsp;6'4"
0390	1	&nbsp;6'2"
0391	1	&nbsp;6'2"
0392	1	&nbsp;6'11"
0393	1	&nbsp;6'6"
0394	1	&nbsp;6'10"
0395	1	&nbsp;6'2"
0396	1	&nbsp;6'10"
0397	1	&nbsp;6'6"
0398	1	&nbsp;6'3"
0399	1	&nbsp;6'5"
0400	1	&nbsp;6'8"
0401	1	&nbsp;6'9"
0402	1	&nbsp;6'7"
0403	1	&nbsp;7'0"
0404	1	&nbsp;6'5"
0405	1	&nbsp;6'11"
0406	1	&nbsp;6'9"
0407	1	&nbsp;7'0"
0408	1	&nbsp;6'6"
0409	1	&nbsp;6'10"
0410	1	&nbsp;6'3"
0411	1	&nbsp;6'6"
0412	1	&nbsp;7'1"
0413	1	&nbsp;6'3"
0414	1	&nbsp;7'0"
0415	1	&nbsp;6'3"
0416	1	&nbsp;6'3"
0417	1	&nbsp;6'10"
0418	1	&nbsp;6'7"
0419	1	&nbsp;6'8"
0420	1	&nbsp;6'7"
0421	1	&nbsp;6'8"
0422	1	&nbsp;6'9"
0423	1	&nbsp;6'8"
0424	1	&nbsp;7'0"
0425	1	&nbsp;7'0"
0426	1	&nbsp;6'10"
0427	1	&nbsp;6'6"
0428	1	&nbsp;6'8"
0429	1	&nbsp;7'0"
0430	1	&nbsp;5'5"
0431	1	&nbsp;7'1"
0432	1	&nbsp;6'7"
0433	1	&nbsp;6'6"
0434	1	&nbsp;6'3"
0435	1	&nbsp;6'7"
0436	1	&nbsp;6'10"
0437	1	&nbsp;6'9"
0438	1	&nbsp;6'1"
0439	1	&nbsp;6'6"
0440	1	&nbsp;6'8"
0441	1	&nbsp;6'6"
0442	1	&nbsp;6'6"
0443	1	&nbsp;6'11"
0444	1	&nbsp;6'9"
0445	1	&nbsp;7'0"
0446	1	&nbsp;6'5"
0447	1	&nbsp;6'9"
0448	1	&nbsp;6'7"
0449	1	&nbsp;6'5"
0450	1	&nbsp;6'9"
0451	1	&nbsp;6'9"
0452	1	&nbsp;6'9"
0453	1	&nbsp;6'7"
0454	1	&nbsp;6'9"
0455	1	&nbsp;5'11"
0456	1	&nbsp;6'3"
0457	1	&nbsp;6'11"
0458	1	&nbsp;6'6"
0459	1	&nbsp;6'9"
0460	1	&nbsp;6'3"
0461	1	&nbsp;6'9"
0462	1	&nbsp;6'9"
0463	1	&nbsp;6'2"
0464	1	&nbsp;6'6"
0465	1	&nbsp;6'5"
0466	1	&nbsp;6'2"
0467	1	&nbsp;6'7"
0468	1	&nbsp;6'5"
0469	1	&nbsp;6'9"
0470	1	&nbsp;7'0"
0471	1	&nbsp;6'9"
0472	1	&nbsp;6'8"
0473	1	&nbsp;6'6"
0474	1	&nbsp;6'8"
0475	1	&nbsp;6'9"
0476	1	&nbsp;6'3"
0477	1	&nbsp;6'11"
0478	1	&nbsp;6'11"
0479	1	&nbsp;6'1"
0480	1	&nbsp;6'9"
0481	1	&nbsp;6'11"
0482	1	&nbsp;6'0"
0483	1	&nbsp;6'9"
0484	1	&nbsp;6'0"
0485	1	&nbsp;6'11"
0486	1	&nbsp;6'8"
0487	1	&nbsp;6'9"
0488	1	&nbsp;6'9"
0489	1	&nbsp;7'2"
0490	1	&nbsp;6'6"
0491	1	&nbsp;6'10"
0492	1	&nbsp;6'10"
0493	1	&nbsp;6'8"
0494	1	&nbsp;6'2"
0495	1	&nbsp;6'11"
0496	1	&nbsp;6'6"
0497	1	&nbsp;6'5"
0498	1	&nbsp;6'0"
0499	1	&nbsp;6'11"
0500	1	&nbsp;6'9"
0501	1	&nbsp;6'3"
0502	1	&nbsp;6'0"
0503	1	&nbsp;6'7"
0504	1	&nbsp;6'10"
0505	1	&nbsp;6'7"
0506	1	&nbsp;6'8"
0507	1	&nbsp;6'11"
0508	1	&nbsp;6'9"
0509	1	&nbsp;6'5"
0510	1	&nbsp;6'8"
0511	1	&nbsp;6'11"
0512	1	&nbsp;6'9"
0513	1	&nbsp;6'5"
0514	1	&nbsp;6'10"
