nbaplayer	wiki	height
0235	1	6&#160;ft&#160;9&#160;in (2.06 m)
0236	1	6&#160;ft&#160;0&#160;in (1.83 m)
0237	1	6&#160;ft&#160;5&#160;in (1.96 m)
0238	1	7&#160;ft&#160;6&#160;in (2.29 m)
0239	1	6&#160;ft&#160;4&#160;in (1.93 m)
0240	1	6&#160;ft&#160;9&#160;in (2.06 m)
0241	1	6&#160;ft&#160;8&#160;in (2.03 m)
0242	1	7&#160;ft&#160;1&#160;in (2.16 m)
0243	1	6&#160;ft&#160;8&#160;in (2.03 m)
0244	1	7&#160;ft&#160;2&#160;in (2.18 m)
0245	1	6&#160;ft&#160;6&#160;in (1.98 m)
0246	1	6&#160;ft&#160;4&#160;in (1.93 m)
0247	1	6&#160;ft&#160;9&#160;in (2.06 m)
0248	1	7&#160;ft&#160;3&#160;in (2.21 m)
0249	1	6&#160;ft&#160;6&#160;in (1.98 m)
0250	1	6&#160;ft&#160;6&#160;in (1.98 m)
0251	1	6&#160;ft&#160;11&#160;in (2.11 m)
0252	1	6&#160;ft&#160;8&#160;in (2.03 m)
0253	1	6&#160;ft&#160;2&#160;in (1.88 m)
0254	1	6&#160;ft&#160;5&#160;in (1.96 m)
0255	1	7&#160;ft&#160;0&#160;in (2.13 m)
0256	1	6&#160;ft&#160;3&#160;in (1.91 m)
0257	1	7&#160;ft&#160;0&#160;in (2.13 m)
0258	1	6&#160;ft&#160;3&#160;in (1.91 m)
0259	1	6&#160;ft&#160;9&#160;in (2.06 m)
0260	1	6&#160;ft&#160;10&#160;in (2.08 m)
0261	1	6&#160;ft&#160;0&#160;in (1.83 m)
0262	1	6&#160;ft&#160;6&#160;in (1.98 m)
0263	1	7&#160;ft&#160;0&#160;in (2.13 m)
0264	1	6&#160;ft&#160;4&#160;in (1.93 m)
0265	1	6&#160;ft&#160;9&#160;in (2.06 m)
0266	1	6&#160;ft&#160;7&#160;in (2.01 m)
0267	1	6&#160;ft&#160;10&#160;in (2.08 m)
0268	1	6&#160;ft&#160;11&#160;in (2.11 m)
0269	1	6&#160;ft&#160;6&#160;in (1.98 m)
0270	1	6&#160;ft&#160;2&#160;in (1.88 m)
0271	1	6&#160;ft&#160;7&#160;in (2.01 m)
0272	1	6&#160;ft&#160;9&#160;in (2.06 m)
0273	1	6&#160;ft&#160;4.75&#160;in (1.95 m)
0274	1	6&#160;ft&#160;2&#160;in (1.88 m)
0275	1	6&#160;ft&#160;2&#160;in (1.88 m)
0276	1	6&#160;ft&#160;11&#160;in (2.11 m)
0277	1	6&#160;ft&#160;5&#160;in (1.96 m)
0278	1	6&#160;ft&#160;10&#160;in (2.08 m)
0279	1	6&#160;ft&#160;8&#160;in (2.03 m)
0280	1	6&#160;ft&#160;8&#160;in (2.03 m)
0281	1	6&#160;ft&#160;3&#160;in (1.91 m)
0282	1	6&#160;ft&#160;1&#160;in (1.85 m)
0283	1	6&#160;ft&#160;10&#160;in (2.08 m)
0284	1	6&#160;ft&#160;7&#160;in (2.01 m)
0285	1	6&#160;ft&#160;9&#160;in (2.06 m)
0286	1	5&#160;ft&#160;11&#160;in (1.80 m)
0287	1	6&#160;ft&#160;9&#160;in (2.06 m)
0288	1	6&#160;ft&#160;11&#160;in (2.11 m)
0289	1	6&#160;ft&#160;6&#160;in (1.98 m)
0290	1	6&#160;ft&#160;9&#160;in (2.06 m)
0291	1	6&#160;ft&#160;10&#160;in (2.08 m)
0292	1	6&#160;ft&#160;9&#160;in (2.06 m)
0293	1	6&#160;ft&#160;5&#160;in (1.96 m)
0294	1	6&#160;ft&#160;0&#160;in (1.83 m)
0295	1	6&#160;ft&#160;1&#160;in (1.85 m)
0296	1	6&#160;ft&#160;6&#160;in (1.98 m)
0297	1	6&#160;ft&#160;7&#160;in (2.01 m)
0298	1	7&#160;ft&#160;0&#160;in (2.13 m)
0299	1	6&#160;ft&#160;10&#160;in (2.08 m)
0300	1	7&#160;ft&#160;0&#160;in (2.13 m)
0301	1	6&#160;ft&#160;2&#160;in (1.88 m)
0302	1	6&#160;ft&#160;0&#160;in (1.83 m)
0303	1	6&#160;ft&#160;9&#160;in (2.06 m)
0304	1	6&#160;ft&#160;7&#160;in (2.01 m)
0305	1	6&#160;ft&#160;11&#160;in (2.11 m)
0306	1	6&#160;ft&#160;9&#160;in (2.06 m)
0307	1	6&#160;ft&#160;8&#160;in (2.03 m)
0308	1	6&#160;ft&#160;11&#160;in (2.11 m)
0309	1	6&#160;ft&#160;8&#160;in (2.03 m)
0310	1	6&#160;ft&#160;6&#160;in (1.98 m)
0311	1	6&#160;ft&#160;3&#160;in (1.91 m)
0312	1	6&#160;ft&#160;10&#160;in (2.08 m)
0313	1	6&#160;ft&#160;5&#160;in (1.96 m)
0314	1	6&#160;ft&#160;2&#160;in (1.88 m)
0315	1	6&#160;ft&#160;0&#160;in (1.83 m)
0316	1	7&#160;ft&#160;0&#160;in (2.13 m)
0317	1	7&#160;ft&#160;1&#160;in (2.16 m)
0318	1	6&#160;ft&#160;6&#160;in (1.98 m)
0319	1	6&#160;ft&#160;5&#160;in (1.96 m)
0320	1	6&#160;ft&#160;11&#160;in (2.11 m)
0321	1	6&#160;ft&#160;10&#160;in (2.08 m)
0322	1	6&#160;ft&#160;5&#160;in (1.96 m)
0323	1	6&#160;ft&#160;9&#160;in (2.06 m)
0324	1	6&#160;ft&#160;9&#160;in (2.06 m)
0325	1	6&#160;ft&#160;5&#160;in (1.96 m)
0326	1	6&#160;ft&#160;10&#160;in (2.08 m)
0327	1	6&#160;ft&#160;4&#160;in (1.93 m)
0328	1	6&#160;ft&#160;3&#160;in (1.91 m)
0329	1	7&#160;ft&#160;0&#160;in (2.13 m)
0330	1	6&#160;ft&#160;7&#160;in (2.01 m)
0331	1	6&#160;ft&#160;7&#160;in (2.01 m)
0332	1	6&#160;ft&#160;3&#160;in (1.91 m)
0333	1	6&#160;ft&#160;9&#160;in (2.06 m)
0334	1	6&#160;ft&#160;5&#160;in (1.96 m)
0335	1	7&#160;ft&#160;0&#160;in (2.13 m)
0336	1	6&#160;ft&#160;9&#160;in (2.06 m)
0337	1	7&#160;ft&#160;1&#160;in (2.16 m)
0338	1	6&#160;ft&#160;9&#160;in (2.06 m)
0339	1	6&#160;ft&#160;10&#160;in (2.08 m)
0340	1	6&#160;ft&#160;9&#160;in (2.06 m)
0341	1	6&#160;ft&#160;6&#160;in (1.98 m)
0342	1	6&#160;ft&#160;8&#160;in (2.03 m)
0343	1	6&#160;ft&#160;11&#160;in (2.11 m)
0344	1	6&#160;ft&#160;2&#160;in (1.88 m)
0345	1	6&#160;ft&#160;1&#160;in (1.85 m)
0346	1	6&#160;ft&#160;3&#160;in (1.91 m)
0347	1	6&#160;ft&#160;7&#160;in (2.01 m)
0348	1	6&#160;ft&#160;9&#160;in (2.06 m)
0349	1	6&#160;ft&#160;3&#160;in (1.91 m)
0350	1	7&#160;ft&#160;0&#160;in (2.13 m)
0351	1	6&#160;ft&#160;7&#160;in (2.01 m)
0352	1	6&#160;ft&#160;3&#160;in (1.91 m)
0353	1	6&#160;ft&#160;3&#160;in (1.91 m)
0354	1	6&#160;ft&#160;9&#160;in (2.06 m)
0355	1	6&#160;ft&#160;3&#160;in (1.91 m)
0356	1	6&#160;ft&#160;10&#160;in (2.08 m)
0357	1	6&#160;ft&#160;10&#160;in (2.08 m)
0358	1	6&#160;ft&#160;6&#160;in (1.98 m)
0359	1	6&#160;ft&#160;10&#160;in (2.08 m)
0360	1	6&#160;ft&#160;9&#160;in (2.06 m)
0361	1	6&#160;ft&#160;9&#160;in (2.06 m)
0362	1	6&#160;ft&#160;1&#160;in (1.85 m)
0363	1	6&#160;ft&#160;7&#160;in (2.01 m)
0364	1	6&#160;ft&#160;11&#160;in (2.11 m)
0365	1	6&#160;ft&#160;9&#160;in (2.06 m)
0366	1	6&#160;ft&#160;3&#160;in (1.91 m)
0367	1	6&#160;ft&#160;4&#160;in (1.93 m)
0368	1	6&#160;ft&#160;7&#160;in (2.01 m)
0369	1	6&#160;ft&#160;3&#160;in (1.91 m)
0370	1	6&#160;ft&#160;10&#160;in (2.08 m)
0371	1	6&#160;ft&#160;11&#160;in (2.11 m)
0372	1	7&#160;ft&#160;0&#160;in (2.13 m)
0373	1	6&#160;ft&#160;7&#160;in (2.01 m)
0374	1	6&#160;ft&#160;4&#160;in (1.93 m)
0375	1	6&#160;ft&#160;7&#160;in (2.01 m)
0376	1	6&#160;ft&#160;7&#160;in (2.01 m)
0377	1	6&#160;ft&#160;3&#160;in (1.91 m)
0378	1	6&#160;ft&#160;4&#160;in (1.93 m)
0379	1	6&#160;ft&#160;6&#160;in (1.98 m)
0380	1	7&#160;ft&#160;0&#160;in (2.13 m)
0381	1	6&#160;ft&#160;9&#160;in (2.06 m)
0382	1	6&#160;ft&#160;9&#160;in (2.06 m)
0383	1	6&#160;ft&#160;1&#160;in (1.85 m)
0384	1	7&#160;ft&#160;0&#160;in (2.13 m)
0385	1	6&#160;ft&#160;10&#160;in (2.08 m)
0386	1	6&#160;ft&#160;10&#160;in (2.08 m)
0387	1	6&#160;ft&#160;7&#160;in (2.01 m)
0388	1	6&#160;ft&#160;8&#160;in (2.03 m)
0389	1	7&#160;ft&#160;0&#160;in (2.13 m)
0390	1	6&#160;ft&#160;8&#160;in (2.03 m)
0391	1	6&#160;ft&#160;10&#160;in (2.08 m)
0392	1	6&#160;ft&#160;4&#160;in (1.93 m)
0393	1	6&#160;ft&#160;7&#160;in (2.01 m)
0394	1	6&#160;ft&#160;11&#160;in (2.11 m)
0395	1	6&#160;ft&#160;8&#160;in (2.03 m)
0396	1	7&#160;ft&#160;0&#160;in (2.13 m)
0397	1	6&#160;ft&#160;3&#160;in (1.91 m)
0398	1	6&#160;ft&#160;6&#160;in (1.98 m)
0399	1	7&#160;ft&#160;0&#160;in (2.13 m)
0400	1	6&#160;ft&#160;10&#160;in (2.08 m)
0401	1	6&#160;ft&#160;9&#160;in (2.06 m)
0402	1	6&#160;ft&#160;9&#160;in (2.06 m)
0403	1	6&#160;ft&#160;11&#160;in (2.11 m)
0404	1	6&#160;ft&#160;11&#160;in (2.11 m)
0405	1	6&#160;ft&#160;6&#160;in (1.98 m)
0406	1	6&#160;ft&#160;7&#160;in (2.01 m)
0407	1	6&#160;ft&#160;11&#160;in (2.11 m)
0408	1	6&#160;ft&#160;3&#160;in (1.91 m)
0409	1	5&#160;ft&#160;11&#160;in (1.80 m)
0410	1	6&#160;ft&#160;9&#160;in (2.06 m)
0411	1	6&#160;ft&#160;11&#160;in (2.11 m)
0412	1	6&#160;ft&#160;3&#160;in (1.91 m)
0413	1	6&#160;ft&#160;3&#160;in (1.91 m)
0414	1	6&#160;ft&#160;8&#160;in (2.03 m)
0415	1	6&#160;ft&#160;11&#160;in (2.11 m)
0416	1	6&#160;ft&#160;11&#160;in (2.11 m)
0417	1	6&#160;ft&#160;5&#160;in (1.96 m)
0418	1	6&#160;ft&#160;6&#160;in (1.98 m)
0419	1	7&#160;ft&#160;0&#160;in (2.13 m)
