nbaplayer	usatoday	height
0177	1	Height: 6'9'&nbsp;
0178	1	Height: 6'10'&nbsp;
0179	1	Height: 7'0'&nbsp;
0180	1	Height: 6'11'&nbsp;
0181	1	Height: 6'9'&nbsp;
0182	1	Height: 6'10'&nbsp;
0183	1	Height: 6'9'&nbsp;
0184	1	Height: 6'7'&nbsp;
0185	1	Height: 6'9'&nbsp;
0186	1	Height: 6'6'&nbsp;
0187	1	Height: 6'5'&nbsp;
0188	1	Height: 6'7'&nbsp;
0189	1	Height: 6'2'&nbsp;
0190	1	Height: 6'5'&nbsp;
0191	1	Height: 6'2'&nbsp;
0192	1	Height: 6'4'&nbsp;
0193	1	Height: 7'0'&nbsp;
0194	1	Height: 6'11'&nbsp;
0195	1	Height: 6'11'&nbsp;
0196	1	Height: 6'10'&nbsp;
0197	1	Height: 6'9'&nbsp;
0198	1	Height: 6'7'&nbsp;
0199	1	Height: 6'9'&nbsp;
0200	1	Height: 6'7'&nbsp;
0201	1	Height: 6'4'&nbsp;
0202	1	Height: 6'3'&nbsp;
0203	1	Height: 6'7'&nbsp;
0204	1	Height: 6'1'&nbsp;
0205	1	Height: 6'4'&nbsp;
0206	1	Height: 6'6'&nbsp;
0207	1	Height: 6'3'&nbsp;
0208	1	Height: 7'1'&nbsp;
0209	1	Height: 6'9'&nbsp;
0210	1	Height: 7'2'&nbsp;
0211	1	Height: 7'3'&nbsp;
0212	1	Height: 6'9'&nbsp;
0213	1	Height: 6'8'&nbsp;
0214	1	Height: 6'6'&nbsp;
0215	1	Height: 6'8'&nbsp;
0216	1	Height: 6'1'&nbsp;
0217	1	Height: 6'4'&nbsp;
0218	1	Height: 6'6'&nbsp;
0219	1	Height: 6'6'&nbsp;
0220	1	Height: 6'4'&nbsp;
0221	1	Height: 6'10'&nbsp;
0222	1	Height: 7'0'&nbsp;
0223	1	Height: 6'11'&nbsp;
0224	1	Height: 7'0'&nbsp;
0225	1	Height: 6'10'&nbsp;
0226	1	Height: 6'9'&nbsp;
0227	1	Height: 6'9'&nbsp;
0228	1	Height: 6'9'&nbsp;
0229	1	Height: 6'5'&nbsp;
0230	1	Height: 6'3'&nbsp;
0231	1	Height: 6'5'&nbsp;
0232	1	Height: 6'3'&nbsp;
0233	1	Height: 6'7'&nbsp;
0234	1	Height: 6'4'&nbsp;
0235	1	Height: 6'7'&nbsp;
0236	1	Height: 7'0'&nbsp;
0237	1	Height: 6'10'&nbsp;
0238	1	Height: 7'0'&nbsp;
0239	1	Height: 6'10'&nbsp;
0240	1	Height: 6'9'&nbsp;
0241	1	Height: 6'9'&nbsp;
0242	1	Height: 6'8'&nbsp;
0243	1	Height: 6'3'&nbsp;
0244	1	Height: 6'7'&nbsp;
0245	1	Height: 6'4'&nbsp;
0246	1	Height: 6'6'&nbsp;
0247	1	Height: 6'1'&nbsp;
0248	1	Height: 6'7'&nbsp;
0249	1	Height: 6'7'&nbsp;
0250	1	Height: 7'0'&nbsp;
0251	1	Height: 7'0'&nbsp;
0252	1	Height: 6'11'&nbsp;
0253	1	Height: 6'10'&nbsp;
0254	1	Height: 7'0'&nbsp;
0255	1	Height: 6'6'&nbsp;
0256	1	Height: 6'9'&nbsp;
0257	1	Height: 6'9'&nbsp;
0258	1	Height: 6'5'&nbsp;
0259	1	Height: 6'0'&nbsp;
0260	1	Height: 6'3'&nbsp;
0261	1	Height: 6'3'&nbsp;
0262	1	Height: 6'4'&nbsp;
0263	1	Height: 6'8'&nbsp;
0264	1	Height: 6'11'&nbsp;
0265	1	Height: 7'0'&nbsp;
0266	1	Height: 6'11'&nbsp;
0267	1	Height: 6'10'&nbsp;
0268	1	Height: 7'1'&nbsp;
0269	1	Height: 6'8'&nbsp;
0270	1	Height: 6'9'&nbsp;
0271	1	Height: 6'5'&nbsp;
0272	1	Height: 6'3'&nbsp;
0273	1	Height: 6'0'&nbsp;
0274	1	Height: 6'5'&nbsp;
0275	1	Height: 6'6'&nbsp;
0276	1	Height: 6'8'&nbsp;
0277	1	Height: 6'6'&nbsp;
0278	1	Height: 6'2'&nbsp;
0279	1	Height: 7'0'&nbsp;
0280	1	Height: 6'11'&nbsp;
0281	1	Height: 7'0'&nbsp;
0282	1	Height: 6'11'&nbsp;
0283	1	Height: 6'10'&nbsp;
0284	1	Height: 6'9'&nbsp;
0285	1	Height: 6'7'&nbsp;
0286	1	Height: 6'8'&nbsp;
0287	1	Height: 6'3'&nbsp;
0288	1	Height: 6'8'&nbsp;
0289	1	Height: 6'3'&nbsp;
0290	1	Height: 6'10'&nbsp;
0291	1	Height: 6'6'&nbsp;
0292	1	Height: 6'10'&nbsp;
0293	1	Height: 6'11'&nbsp;
0294	1	Height: 6'11'&nbsp;
0295	1	Height: 6'9'&nbsp;
0296	1	Height: 6'11'&nbsp;
0297	1	Height: 6'8'&nbsp;
0298	1	Height: 6'7'&nbsp;
0299	1	Height: 6'2'&nbsp;
0300	1	Height: 6'6'&nbsp;
0301	1	Height: 6'4'&nbsp;
0302	1	Height: 6'6'&nbsp;
0303	1	Height: 6'6'&nbsp;
0304	1	Height: 6'2'&nbsp;
0305	1	Height: 6'2'&nbsp;
0306	1	Height: 6'10'&nbsp;
0307	1	Height: 6'11'&nbsp;
0308	1	Height: 7'1'&nbsp;
0309	1	Height: 7'0'&nbsp;
0310	1	Height: 6'9'&nbsp;
0311	1	Height: 6'9'&nbsp;
0312	1	Height: 6'8'&nbsp;
0313	1	Height: 6'5'&nbsp;
0314	1	Height: 6'9'&nbsp;
0315	1	Height: 6'1'&nbsp;
0316	1	Height: 6'3'&nbsp;
0317	1	Height: 6'6'&nbsp;
0318	1	Height: 6'2'&nbsp;
0319	1	Height: 6'11'&nbsp;
0320	1	Height: 6'11'&nbsp;
0321	1	Height: 7'0'&nbsp;
0322	1	Height: 6'11'&nbsp;
0323	1	Height: 6'9'&nbsp;
0324	1	Height: 6'9'&nbsp;
0325	1	Height: 6'6'&nbsp;
0326	1	Height: 6'9'&nbsp;
0327	1	Height: 6'11'&nbsp;
0328	1	Height: 6'3'&nbsp;
0329	1	Height: 6'7'&nbsp;
0330	1	Height: 6'3'&nbsp;
0331	1	Height: 5'11'&nbsp;
0332	1	Height: 6'11'&nbsp;
0333	1	Height: 7'0'&nbsp;
0334	1	Height: 7'0'&nbsp;
0335	1	Height: 6'10'&nbsp;
0336	1	Height: 6'9'&nbsp;
0337	1	Height: 6'10'&nbsp;
0338	1	Height: 6'7'&nbsp;
0339	1	Height: 6'9'&nbsp;
0340	1	Height: 6'6'&nbsp;
0341	1	Height: 6'3'&nbsp;
0342	1	Height: 6'5'&nbsp;
0343	1	Height: 6'6'&nbsp;
0344	1	Height: 6'6'&nbsp;
0345	1	Height: 6'2'&nbsp;
0346	1	Height: 6'3'&nbsp;
0347	1	Height: 6'11'&nbsp;
0348	1	Height: 7'0'&nbsp;
0349	1	Height: 6'9'&nbsp;
0350	1	Height: 6'9'&nbsp;
0351	1	Height: 6'8'&nbsp;
0352	1	Height: 6'9'&nbsp;
0353	1	Height: 6'8'&nbsp;
0354	1	Height: 6'1'&nbsp;
0355	1	Height: 6'3'&nbsp;
0356	1	Height: 6'7'&nbsp;
0357	1	Height: 6'9'&nbsp;
0358	1	Height: 6'2'&nbsp;
0359	1	Height: 6'5'&nbsp;
0360	1	Height: 6'6'&nbsp;
0361	1	Height: 6'5'&nbsp;
0362	1	Height: 7'0'&nbsp;
0363	1	Height: 6'10'&nbsp;
0364	1	Height: 6'8'&nbsp;
0365	1	Height: 6'11'&nbsp;
0366	1	Height: 6'8'&nbsp;
0367	1	Height: 6'7'&nbsp;
0368	1	Height: 6'8'&nbsp;
0369	1	Height: 6'10'&nbsp;
0370	1	Height: 6'9'&nbsp;
0371	1	Height: 6'0'&nbsp;
0372	1	Height: 6'5'&nbsp;
0373	1	Height: 6'6'&nbsp;
0374	1	Height: 6'7'&nbsp;
0375	1	Height: 5'11'&nbsp;
0376	1	Height: 6'8'&nbsp;
0377	1	Height: 6'10'&nbsp;
0378	1	Height: 6'10'&nbsp;
0379	1	Height: 6'11'&nbsp;
0380	1	Height: 7'1'&nbsp;
0381	1	Height: 6'11'&nbsp;
0382	1	Height: 6'9'&nbsp;
0383	1	Height: 6'10'&nbsp;
0384	1	Height: 6'8'&nbsp;
0385	1	Height: 6'6'&nbsp;
0386	1	Height: 6'2'&nbsp;
0387	1	Height: 6'4'&nbsp;
0388	1	Height: 6'7'&nbsp;
0389	1	Height: 6'5'&nbsp;
0390	1	Height: 6'5'&nbsp;
0391	1	Height: 6'1'&nbsp;
0392	1	Height: 6'10'&nbsp;
0393	1	Height: 6'7'&nbsp;
0394	1	Height: 6'11'&nbsp;
0395	1	Height: 6'9'&nbsp;
0396	1	Height: 6'8'&nbsp;
0397	1	Height: 6'10'&nbsp;
0398	1	Height: 6'9'&nbsp;
0399	1	Height: 6'11'&nbsp;
0400	1	Height: 6'7'&nbsp;
0401	1	Height: 6'3'&nbsp;
0402	1	Height: 6'0'&nbsp;
0403	1	Height: 6'5'&nbsp;
0404	1	Height: 6'11'&nbsp;
0405	1	Height: 6'5'&nbsp;
0406	1	Height: 6'8'&nbsp;
0407	1	Height: 6'11'&nbsp;
0408	1	Height: 6'10'&nbsp;
0409	1	Height: 6'8'&nbsp;
0410	1	Height: 6'9'&nbsp;
0411	1	Height: 6'10'&nbsp;
0412	1	Height: 6'9'&nbsp;
0413	1	Height: 6'11'&nbsp;
0414	1	Height: 7'3'&nbsp;
0415	1	Height: 6'8'&nbsp;
0416	1	Height: 6'8'&nbsp;
0417	1	Height: 6'1'&nbsp;
0418	1	Height: 6'4'&nbsp;
0419	1	Height: 6'1'&nbsp;
0420	1	Height: 6'2'&nbsp;
0421	1	Height: 6'8'&nbsp;
0422	1	Height: 7'1'&nbsp;
0423	1	Height: 6'10'&nbsp;
0424	1	Height: 6'11'&nbsp;
0425	1	Height: 6'9'&nbsp;
0426	1	Height: 6'9'&nbsp;
0427	1	Height: 6'10'&nbsp;
0428	1	Height: 6'8'&nbsp;
0429	1	Height: 6'7'&nbsp;
0430	1	Height: 6'1'&nbsp;
0431	1	Height: 6'4'&nbsp;
0432	1	Height: 6'4'&nbsp;
0433	1	Height: 6'7'&nbsp;
0434	1	Height: 6'6'&nbsp;
0435	1	Height: 6'8'&nbsp;
