nbaplayer	si	team
0232	1	Clippers
0233	1	Clippers
0234	1	Clippers
0235	1	Mavericks
0236	1	Clippers
0237	1	Kings
0238	1	Kings
0239	1	Knicks
0240	1	Kings
0241	1	Kings
0242	1	Kings
0243	1	Knicks
0244	1	Kings
0245	1	Kings
0246	1	Kings
0247	1	Kings
0248	1	Kings
0249	1	Celtics
0250	1	Kings
0251	1	Kings
0252	1	Kings
0253	1	Lakers
0254	1	Lakers
0255	1	Lakers
0256	1	Lakers
0257	1	Lakers
0258	1	Lakers
0259	1	Lakers
0260	1	Lakers
0261	1	Lakers
0262	1	Lakers
0263	1	Cavaliers
0264	1	Lakers
0265	1	Lakers
0266	1	Lakers
0267	1	Lakers
0268	1	Pistons
0269	1	Suns
0270	1	Suns
0271	1	Suns
0272	1	Suns
0273	1	Suns
0274	1	Suns
0275	1	Suns
0276	1	Raptors
0277	1	Suns
0278	1	Suns
0279	1	Suns
0280	1	Suns
0281	1	Suns
0282	1	Suns
0283	1	Suns
0284	1	Warriors
0285	1	Warriors
0286	1	Warriors
0287	1	Warriors
0288	1	Warriors
0289	1	Warriors
0290	1	Warriors
0291	1	Mavericks
0292	1	Warriors
0293	1	Warriors
0294	1	Warriors
0295	1	Warriors
0296	1	Warriors
0297	1	Nuggets
0298	1	Warriors
0299	1	Warriors
0300	1	Warriors
0301	1	Warriors
0302	1	Warriors
0303	1	Grizzlies
0304	1	Grizzlies
0305	1	Grizzlies
0306	1	Grizzlies
0307	1	Pacers
0308	1	Grizzlies
0309	1	Grizzlies
0310	1	Grizzlies
0311	1	Grizzlies
0312	1	Grizzlies
0313	1	Trail Blazers
0314	1	Thunder
0315	1	Grizzlies
0316	1	Grizzlies
0317	1	Grizzlies
0318	1	Kings
0319	1	Grizzlies
0320	1	Grizzlies
0321	1	Grizzlies
0322	1	Grizzlies
0323	1	Hornets
0324	1	Hornets
0325	1	Hornets
0326	1	Hornets
0327	1	Hornets
0328	1	Hornets
0329	1	Hornets
0330	1	Spurs
0331	1	Hornets
0332	1	Hornets
0333	1	Hornets
0334	1	Warriors
0335	1	Hornets
0336	1	Hornets
0337	1	Thunder
0338	1	Hornets
0339	1	Rockets
0340	1	Hornets
0341	1	Cavaliers
0342	1	Hornets
0343	1	Mavericks
0344	1	Mavericks
0345	1	Mavericks
0346	1	Suns
0347	1	Mavericks
0348	1	Mavericks
0349	1	Mavericks
0350	1	Rockets
0351	1	Mavericks
0352	1	Mavericks
0353	1	Mavericks
0354	1	Mavericks
0355	1	Mavericks
0356	1	Mavericks
0357	1	Mavericks
0358	1	Mavericks
0359	1	Mavericks
0360	1	Mavericks
0361	1	Thunder
0362	1	Rockets
0363	1	Rockets
0364	1	Rockets
0365	1	Rockets
0366	1	Rockets
0367	1	Rockets
0368	1	Rockets
0369	1	Rockets
0370	1	Rockets
0371	1	Rockets
0372	1	Rockets
0373	1	Clippers
0374	1	Rockets
0375	1	Rockets
0376	1	Rockets
0377	1	Rockets
0378	1	Rockets
0379	1	Rockets
0380	1	Spurs
0381	1	Spurs
0382	1	Spurs
0383	1	Spurs
0384	1	Grizzlies
0385	1	Spurs
0386	1	Spurs
0387	1	Spurs
0388	1	Spurs
0389	1	Spurs
0390	1	Spurs
0391	1	Spurs
0392	1	Spurs
0393	1	Spurs
0394	1	Nets
0395	1	Nets
0396	1	Nets
0397	1	Nets
0398	1	Nets
0399	1	Nets
0400	1	Nets
0401	1	Nets
0402	1	Nets
0403	1	Nets
0404	1	Nets
0405	1	Nets
0406	1	Nets
0407	1	Nets
0408	1	Nets
0409	1	Nets
0410	1	Nets
0411	1	Nets
0412	1	Raptors
0413	1	Raptors
0414	1	Raptors
0415	1	Raptors
0416	1	Raptors
0417	1	Raptors
0418	1	Raptors
0419	1	Raptors
0420	1	Jazz
0421	1	Raptors
0422	1	Raptors
0423	1	Raptors
0424	1	Raptors
0425	1	Raptors
0426	1	Raptors
0427	1	Raptors
0428	1	Raptors
0429	1	Bucks
0430	1	Bucks
0431	1	Bucks
0432	1	Bucks
0433	1	Bucks
0434	1	Bucks
0435	1	Bucks
0436	1	Bucks
0437	1	Bucks
0438	1	Bucks
0439	1	Bucks
0440	1	Bucks
0441	1	Bucks
0442	1	Bucks
0443	1	Bucks
0444	1	Clippers
0445	1	Bulls
0446	1	Bulls
0447	1	Bulls
0448	1	Bulls
0449	1	Bulls
0450	1	Bulls
0451	1	Bulls
0452	1	Bulls
0453	1	Bulls
0454	1	Bulls
0455	1	Bulls
0456	1	Bulls
0457	1	Bulls
0458	1	Bulls
0459	1	Bulls
0460	1	Bulls
0461	1	Bulls
0462	1	Bulls
0463	1	Bulls
0464	1	Thunder
0465	1	Cavaliers
0466	1	Cavaliers
0467	1	Cavaliers
0468	1	Cavaliers
0469	1	Cavaliers
0470	1	Cavaliers
0471	1	Cavaliers
0472	1	Cavaliers
0473	1	Cavaliers
0474	1	Cavaliers
0475	1	Cavaliers
0476	1	Cavaliers
0477	1	Timberwolves
0478	1	Cavaliers
0479	1	Cavaliers
0480	1	Cavaliers
0481	1	Cavaliers
0482	1	Pacers
0483	1	Pacers
0484	1	Pacers
0485	1	Pacers
0486	1	Pacers
0487	1	Pacers
0488	1	Pacers
0489	1	Pacers
0490	1	Pacers
0491	1	Pacers
0492	1	Pacers
0493	1	Pacers
0494	1	Pacers
0495	1	Thunder
0496	1	Pacers
0497	1	Pacers
0498	1	Pistons
0499	1	Pistons
0500	1	Hornets
0501	1	Pistons
0502	1	Cavaliers
0503	1	Pistons
0504	1	Pistons
0505	1	Pistons
0506	1	Pistons
0507	1	Pistons
0508	1	Pistons
0509	1	Pistons
0510	1	Pistons
0511	1	Pistons
0512	1	Pistons
0513	1	Pistons
0514	1	Pistons
